-0.219641-0.277626j -0.00624084-0.0412223j -0.0345108+0.0197393j -0.0153889-0.0124732j -0.00816584+0.0109143j 0.0256725+0.00874945j 0.0021458+0.00433411j 0.0134062+0.00276189j 0.00382663-0.00238705j 0.00924758-0.00687602j -0.0108043-0.00229547j -0.00155629-0.00396909j 0.00519486+0.00319279j -0.00679331-0.00925986j -0.00198744+0.00400524j 0.019106+0.00400163j 0.00388133+0.00369329j -0.01783-0.0031589j 0.00253185+0.00281135j -0.00945685-0.00688368j 0.0159405-0.00232451j -0.00523382-0.00407939j 0.00565517-0.00190483j -0.00952655-0.00333931j 
-0.0289175+0.0939651j -0.00135572+0.0141266j 0.0128197+0.0099854j -0.0158787+0.00310216j 0.0292122-0.0172084j -0.00974192+0.00459002j -0.00264503+0.00626359j -0.00255029+0.00612999j -0.00288814+0.00475055j 0.0148911+0.0233187j 0.00894487+0.00301561j -0.000863188-0.00104176j 0.000980937+0.00813001j -0.00634768-0.0145298j -0.00629785+0.00366657j 0.0239263+0.00143004j 0.00496664-0.00109851j -0.0111846-0.00193199j 0.000561592-0.0016121j -0.015821+0.0110615j 0.00903008-0.0113161j 0.00127019+0.0104964j 0.00259114+0.000141983j -0.0048551-0.000281387j 
0.00261601+0.0143971j -0.0186069+0.00930411j -0.0369583-0.00617368j 0.00925756+0.00482007j -0.00549154-0.0176438j -0.00181543+0.00917781j -0.0200391+0.00313645j 0.00510404+0.0013672j -0.00151656-0.0062497j -0.0325663+0.00685278j -0.00146391-0.00425446j 0.00258095-0.00202725j -0.0085709+0.0123453j 0.00727113-0.0256392j -0.0046895+0.018187j -0.0048641-0.0119563j -0.000492218-0.00283074j -0.000159487+0.00117453j 0.00422335+0.00244255j -0.019555-0.0125727j -0.014809-0.00661081j 0.00434132-1.1727e-05j -0.000940144+0.000352803j 0.00200742+0.00104176j 
0.30159-0.186629j 0.072779-0.0387646j 0.00267214+0.0242595j -0.00419721-0.00186915j 0.00367101-0.00461593j -0.0170717-0.00303751j 0.00309329+0.0100446j -0.0221558-0.00137743j -0.0121998-0.0115371j -0.0171658-0.0159144j 0.0235929+0.0031143j -0.00830735-0.00376068j 0.00434448+0.000794888j -0.00882899-0.00550178j 0.00426589-0.000417799j -0.00568516-0.00101686j -0.000151389+0.000980157j 0.00764941-0.00273815j -0.000912867+4.48865e-05j -0.00220082-0.000191081j -0.0104079+0.00310744j 0.00822097+0.00356765j -0.00236424+0.000745881j 0.00309846-0.0031002j 
0.0232929-0.126819j 0.0143342+0.00723158j 0.0350286+0.0251052j 0.00369866-0.00951219j -0.0186337-0.00565541j 0.00110616+0.0066414j -0.00251786+0.0153373j -0.000123119-0.00568713j 0.000943645-0.000789925j -0.00397505+0.0249318j 0.00200429-0.00412214j 0.00247948-0.00472119j -0.0103177+0.0163354j 0.0111137-0.00570496j -0.00281106+0.0162532j 0.000233578-0.0135735j -0.000369816+0.00170316j 0.00770589+0.00795258j -0.00291864-0.000642094j 0.0243233+0.00711501j 0.00420692+0.00907982j -0.0108228-0.0155394j -0.00356251-0.00150688j 0.00554692+0.000352949j 
0.151559-0.0128454j 0.0306362-0.0192876j -0.0139561+0.0128904j 0.00723164+0.014438j -0.0187075-0.0165873j 0.00728057+0.00524597j -0.00467413+0.0014388j 0.00988285+0.00175932j 0.012488+0.00743699j 0.0254603+0.00508807j -0.00798767-0.00265397j 0.00655569-7.09936e-05j -0.00305206+0.00150968j 0.0152549-0.00581567j -0.00296743-0.000885406j 0.00374887-0.00301526j -0.00241427-0.00323904j -0.0013882-0.00130557j -0.0024456+0.00171241j 0.0166455-0.0154748j -0.00695881-0.0058291j -0.000154457+0.00886055j 0.00107015-0.000235382j 0.00234919-0.00164147j 
0.0419145+0.0877088j 0.0264646+0.0225453j -0.0148019-0.0164502j -0.00164782+0.00291437j -0.0115405+0.000601116j 0.00196151-0.0155556j 0.00178687+0.00509026j -0.0100832-0.0159517j -0.00807655-0.00836726j -0.00861719+0.00463596j 0.00754621+0.00835745j -0.00151434+0.000595928j -0.0107109+0.00145058j 0.0198059+0.0103608j -0.00982595-0.00779029j 0.00275474-0.0202501j -0.00507228-0.00796363j -0.00285546+0.00429699j -0.00333134-0.00270364j 0.0266858+0.00453148j -0.0167018+0.00289819j 0.0175566+0.0135881j 0.0014781+0.00214821j -0.00167615-0.000334402j 
0.0539098+0.211193j 0.0155222+0.056553j -0.0173673+0.0172545j 0.00292957+0.00798804j -0.0167355-0.0191624j 0.010842-0.00856447j -0.00803845+0.00475489j 0.00743162-0.0156468j 0.00500083-0.00477926j -0.00666633-0.00342973j -0.00794691+0.00659212j 0.00397208+0.00205773j -0.0141331-0.00682046j 0.0110414+0.0056512j -0.00122043-0.00873358j -0.00639929-0.0124417j -0.00140342+0.00436064j 0.00351677+0.0124055j 0.00266225-0.00601406j -0.0183366+0.0165669j 0.0192384+0.0220101j -0.00734021+0.0146459j 0.00324072+0.0029467j -0.00096575-0.00294525j 
-0.107896+0.0811931j -0.00144635+0.031204j 0.0355048-0.0166034j -0.00826393+0.00864697j -0.0168052-0.0284748j 0.0115691+0.00295334j 0.00423301+0.00844689j 0.00420782-0.00884557j -0.000842585-0.00820652j -0.00397969+0.000773282j -0.00160979+0.00158192j -0.00330781+0.000268982j 0.00434175-0.0077505j -0.00258818+0.00505357j -0.0015614-0.00279704j 0.00627532-0.0127325j 0.00647065-0.00396078j -0.000753951-0.000347192j -0.000234486+0.00409557j -0.00965955-0.0295144j 0.0166229-0.0180905j -0.00398951+0.013243j 0.00164316-0.00071157j -0.00485122-0.000552663j 
-0.136983-0.153583j -0.0574691-0.0161778j 0.0107699+0.0373066j 0.00508705-0.0100982j 0.00986151-0.000193718j 0.000527407+0.000287982j -0.00550667+0.00608284j 0.00796795-0.00440658j 0.0100407-0.00645622j 0.00131624-0.0160924j -0.00937973-0.000234587j 0.00185078-0.00289112j -0.00119815+0.00431015j 0.000316261-0.0135714j 0.00248311-0.00689911j -0.00517793-0.00287804j 0.000188126+0.00012024j 0.00161661-0.00594556j 0.00038952-0.00237809j 0.00354719+0.000533302j -0.0064575+0.00506424j 0.00945515+0.0260994j 0.00115132+0.00472928j -0.00296685-0.0102788j 
-0.141644-0.324522j -0.0476321-0.0152262j -0.0133969-0.0377564j -0.00389917-0.0271965j 0.0178413-0.00155789j -0.00148526+0.0122776j 0.00265025+0.017596j -0.00230174-0.00681413j -0.00335265-0.0121388j 0.0133567+0.0140486j -0.00210715-0.00338255j -0.00219367-0.00898755j 0.0055947+0.00514164j -0.00280267+0.00417541j -0.00141506+0.00023597j -0.00222238+0.00391603j -0.00196689-0.00102268j -0.000917542-0.0133527j -8.61248e-05+0.00297137j -0.00203313-0.00567023j 0.00748033+0.00870622j 0.000475824-0.00779073j 0.0014293+0.00373075j -0.00116961-0.00691911j 
-0.332479+0.0938003j -0.0258648+0.0381003j -0.0348185+0.0173524j -0.0259683-0.000647776j 0.006104-0.0117978j 0.00535472+0.00626861j 0.0206189-0.00532351j -0.00983571+0.0113846j -0.0162322+0.00879215j 0.0125425-0.0109808j 0.000224883-0.00394273j -0.0102798+0.0037827j 0.0107139-0.00481015j -0.0053256+0.00270668j 0.00198157+0.00476033j 0.000814684+0.00714839j -0.000431636+0.0024778j -0.0126809-0.00101007j 0.00250457+0.00055062j -0.00476016+0.00762543j 0.00614968-0.0122752j -0.00319552-0.00851525j 0.00323428-0.00287259j -0.00693582+0.00304395j 
