-0.0837436-0j -0.0732757-0j -0.0717802-0j -0.0512823-0j -0.0302247-0j 0.401765-0j 0.492059-0j 0.351544-0j 0.405928-0j 0.290009-0j 0.435597-0j 0.0926593-0j 0.0832111-0j -0.00603005-0j 0.0713238-0j 0.0902183-0j 0.0720629-0j 0.0514843-0j 0.0485398-0j 0.0300325-0j -0.00516862-0j -0.00653784-0j -0.00522218-0j -0.0037309-0j -0.00351753-0j -0.00217636-0j -0.00213195-0j 0.0815129-0j 0.0475492-0j 0.00783471-0j -0.00590699-0j -0.00344574-0j 0.0294196-0j -0.000567757-0j 
5.18274e-07-0j 3.04565e-05-0j 3.12098e-05-0j -6.61767e-05-0j -3.86765e-05-0j 0.000698436-0j -1.23742e-05-0j 2.6238e-05-0j 0.000696762-0j -0.000986788-0j -0.000769596-0j 0.000643177-0j -0.000146348-0j -3.67203e-08-0j -0.00881288-0j 0.000161258-0j -0.00879175-0j 0.0186419-0j -0.0119306-0j 0.0109213-0j -2.21125e-06-0j 4.04615e-08-0j -2.20595e-06-0j 4.67745e-06-0j -2.99351e-06-0j 2.74027e-06-0j -4.5902e-06-0j 0.0102361-0j 0.00597103-0j -0.00483523-0j 2.56834e-06-0j 1.4982e-06-0j -0.0182942-0j -1.21321e-06-0j 
-0.000705518-0j 0.000288845-0j 0.000308961-0j 0.000220733-0j 0.000151376-0j -0.00349516-0j 0.00837858-0j 0.00598594-0j -0.00323409-0j -0.00976861-0j -0.00378949-0j 0.0104442-0j -0.0328064-0j 0.00488782-0j 0.0143666-0j -0.035569-0j 0.0132935-0j 0.00949732-0j 0.0378568-0j 0.00703895-0j -0.00214048-0j 0.00529942-0j -0.00198059-0j -0.00141501-0j -0.00564028-0j -0.00104873-0j -0.000882904-0j 0.016419-0j 0.00957775-0j -0.0698103-0j -0.00244627-0j -0.00142699-0j 0.00592593-0j 0.010401-0j 
4.30885e-05-0j 0.00253211-0j 0.00259473-0j -0.00550183-0j -0.00321551-0j -0.000302101-0j 5.35233e-06-0j -1.1349e-05-0j -0.000301377-0j 0.000426824-0j 0.000332881-0j -0.000278199-0j -4.40643e-07-0j 0.00059051-0j -2.6535e-05-0j 4.85538e-07-0j -2.64714e-05-0j 5.61294e-05-0j -3.59221e-05-0j 3.28833e-05-0j 0.0355597-0j -0.000650674-0j 0.0354745-0j -0.0752195-0j 0.0481396-0j -0.0440671-0j 0.0738164-0j 3.08201e-05-0j 1.79784e-05-0j -1.45585e-05-0j -0.0413022-0j -0.024093-0j -5.50824e-05-0j 0.01951-0j 
0.00796852-0j -0.0034955-0j -0.00342416-0j -0.00244634-0j -0.00144182-0j -0.0382294-0j 0.0234729-0j 0.0167698-0j -0.0386256-0j 0.0138344-0j 0.0207795-0j 0.00442016-0j -0.00791785-0j 0.000573782-0j 0.00340239-0j 0.00430372-0j 0.00343765-0j 0.00245597-0j -0.00461875-0j 0.00143265-0j -0.000246561-0j -0.000311877-0j -0.000249116-0j -0.000177977-0j 0.000334706-0j -0.00010382-0j -0.000101701-0j 0.00388844-0j -0.0113172-0j 0.000373742-0j -0.000281783-0j 0.000820125-0j 0.00140341-0j -2.70839e-05-0j 
-0.000996065-0j 0.000436937-0j 0.00042802-0j 0.000305792-0j 0.000180227-0j 0.00965838-0j -0.00593025-0j -0.00423678-0j 0.00975847-0j -0.00349516-0j -0.00524978-0j -0.00111672-0j -0.0463168-0j 0.00690073-0j 0.0199028-0j 0.0251753-0j 0.0201091-0j 0.0143666-0j -0.0270181-0j 0.00838053-0j -0.00296532-0j -0.00375087-0j -0.00299605-0j -0.00214048-0j 0.00402543-0j -0.00124861-0j -0.00122313-0j 0.0227461-0j -0.066202-0j 0.00218627-0j -0.00338894-0j 0.00986343-0j 0.0082095-0j -0.000325732-0j 
0.00564414-0j -0.00231076-0j -0.00247169-0j -0.00176586-0j -0.00121101-0j 0.0138344-0j -0.0331638-0j -0.0236933-0j 0.012801-0j 0.0386657-0j 0.0149994-0j -0.0413399-0j -0.00560825-0j 0.000406413-0j 0.00245597-0j -0.00608052-0j 0.00227252-0j 0.00162357-0j 0.00647162-0j 0.00120331-0j -0.000177977-0j 0.000440636-0j -0.000164682-0j -0.000117655-0j -0.000468978-0j -8.72001e-05-0j -7.34117e-05-0j 0.00280683-0j 0.00163732-0j -0.0119341-0j -0.000203402-0j -0.000118651-0j 0.00101304-0j 0.000864825-0j 
-0.000422179-0j -0.0248095-0j -0.0254231-0j 0.0539067-0j 0.0315054-0j 0.00295997-0j -5.24419e-05-0j 0.000111197-0j 0.00295288-0j -0.00418201-0j -0.00326155-0j 0.00272578-0j 4.3174e-06-0j 2.99119e-05-0j 0.000259988-0j -4.75728e-06-0j 0.000259365-0j -0.000549954-0j 0.000351964-0j -0.000322189-0j 0.00180125-0j -3.29594e-05-0j 0.00179694-0j -0.00381019-0j 0.00243848-0j -0.00223219-0j 0.00373912-0j -0.000301974-0j -0.000176151-0j 0.000142644-0j -0.00209214-0j -0.00122041-0j 0.000539696-0j 0.000988267-0j 
0.0048797-0j -0.00214055-0j -0.00209686-0j -0.00149807-0j -0.00088293-0j 0.000494913-0j -0.000303877-0j -0.0002171-0j 0.000500042-0j -0.000179099-0j -0.000269008-0j -5.72229e-05-0j 5.07156e-05-0j -0.0679645-0j -2.17931e-05-0j -2.75663e-05-0j -2.20189e-05-0j -1.57311e-05-0j 2.95841e-05-0j -9.17646e-06-0j 0.0292051-0j 0.0369418-0j 0.0295077-0j 0.0210813-0j -0.0396459-0j 0.0122974-0j 0.0120465-0j -2.49064e-05-0j 7.24895e-05-0j -2.39391e-06-0j 0.0333772-0j -0.0971437-0j -8.98919e-06-0j 0.00320809-0j 
0.00345632-0j -0.00141505-0j -0.0015136-0j -0.00108136-0j -0.000741589-0j -0.000179099-0j 0.000429334-0j 0.000306731-0j -0.00016572-0j -0.000500562-0j -0.00019418-0j 0.000535181-0j 3.59221e-05-0j -0.0481396-0j -1.57311e-05-0j 3.89471e-05-0j -1.4556e-05-0j -1.03993e-05-0j -4.14522e-05-0j -7.70747e-06-0j 0.0210813-0j -0.0521934-0j 0.0195066-0j 0.0139362-0j 0.0555504-0j 0.0103288-0j 0.00869561-0j -1.79784e-05-0j -1.04874e-05-0j 7.64404e-05-0j 0.024093-0j 0.0140542-0j -6.48874e-06-0j -0.102438-0j 
4.1573e-05-0j -1.70204e-05-0j -1.82057e-05-0j -1.30068e-05-0j -8.91993e-06-0j 0.000414063-0j -0.000992589-0j -0.00070914-0j 0.000383134-0j 0.00115726-0j 0.000448931-0j -0.0012373-0j 0.0119306-0j 2.99351e-06-0j -0.00522466-0j 0.0129352-0j -0.00483439-0j -0.00345386-0j -0.0137672-0j -0.00255983-0j -1.31092e-06-0j 3.24559e-06-0j -1.213e-06-0j -8.6661e-07-0j -3.45435e-06-0j -6.42289e-07-0j -5.40728e-07-0j -0.00597103-0j -0.0034831-0j 0.0253876-0j -1.4982e-06-0j -8.73949e-07-0j -0.00215506-0j 6.37004e-06-0j 
-0.0478111-0j 0.020973-0j 0.020545-0j 0.014678-0j 0.00865092-0j -0.00484914-0j 0.00297737-0j 0.00212714-0j -0.00489939-0j 0.0017548-0j 0.00263573-0j 0.000560667-0j -0.00049691-0j -0.00344269-0j 0.000213528-0j 0.000270094-0j 0.00021574-0j 0.000154132-0j -0.000289864-0j 8.99106e-05-0j 0.00147936-0j 0.00187126-0j 0.00149469-0j 0.00106786-0j -0.00200824-0j 0.000622919-0j 0.000610206-0j 0.000244032-0j -0.000710249-0j 2.34554e-05-0j 0.0016907-0j -0.00492075-0j 8.80757e-05-0j 0.000162504-0j 
5.86937e-05-0j -2.57468e-05-0j -2.52213e-05-0j -1.8019e-05-0j -1.062e-05-0j -0.0011442-0j 0.000702542-0j 0.00050192-0j -0.00115606-0j 0.000414063-0j 0.000621928-0j 0.000132295-0j 0.0168438-0j 4.2263e-06-0j -0.00723799-0j -0.00915541-0j -0.00731299-0j -0.00522466-0j 0.00982558-0j -0.00304772-0j -1.81609e-06-0j -2.29719e-06-0j -1.83491e-06-0j -1.31092e-06-0j 2.46534e-06-0j -7.64705e-07-0j -7.49099e-07-0j -0.00827198-0j 0.0240754-0j -0.000795072-0j -2.07553e-06-0j 6.04079e-06-0j -0.00298552-0j -1.99492e-07-0j 
-0.0338649-0j 0.0138646-0j 0.0148301-0j 0.0105952-0j 0.00726606-0j 0.0017548-0j -0.00420659-0j -0.00300533-0j 0.00162372-0j 0.00490448-0j 0.00190257-0j -0.00524368-0j -0.000351964-0j -0.00243848-0j 0.000154132-0j -0.000381602-0j 0.000142619-0j 0.000101892-0j 0.000406147-0j 7.55175e-05-0j 0.00106786-0j -0.00264382-0j 0.000988095-0j 0.000705929-0j 0.00281387-0j 0.0005232-0j 0.00044047-0j 0.000176151-0j 0.000102755-0j -0.00074896-0j 0.00122041-0j 0.000711907-0j 6.35764e-05-0j -0.00518895-0j 
