-0.028308+0.00735596j 0.0350277+0.00899908j 0.017569+0.0108695j -0.0258745+0.00615195j -0.00411852-0.0224517j -0.000885299+0.0173835j 0.0120185-0.00337742j 0.0032663+0.000448541j 0.0280399-0.015815j -0.0144089-0.00604651j 0.00662802+0.0139433j 0.000542132+0.00600024j -0.00675383+0.00860338j 0.000113873-0.00580581j 0.00695781+0.00349843j 0.00252105+0.0110915j 0.0104319-0.000575796j -0.00232321-0.0171341j -0.0056863-0.00435049j -0.0119989-0.000105216j -0.00166074-0.0078816j 0.018923-0.00434499j 0.0101684-0.0110408j 0.0140556+0.00043119j 0.00811082-0.00835677j 0.00963202-0.000933044j 0.00564548-0.0024085j -0.00391609-0.00397528j -0.0136755+0.00780689j 0.00106064+0.0039531j 0.00895899-0.00224129j -0.00162846+0.0237318j -0.002695-0.0098303j 0.00874172+0.00143264j -0.0142772+0.00449796j -0.00229827-0.00640654j -0.00191894-0.00861753j 0.00355261-0.00470539j 0.0025246+0.00637312j 0.0166293+0.00426999j -0.0133701+0.00276825j 0.0119359+0.0100597j -0.000294696-0.00903503j -0.00198762+0.00531993j -0.00226167-0.00776021j -0.00392548+0.00459606j -0.00840786+0.0106333j 0.002088+0.00644138j -0.0289621-0.00673013j -0.00394008+0.013713j 0.00176982-0.00394627j -0.0078926-0.00788698j 0.000288636-0.00834062j 0.00337993+0.0004458j -0.00508843+0.000562019j 0.0106723-0.00673023j -0.012346-0.00414135j 0.0120728-0.0050778j 0.00428709-0.00242902j -0.0131428-0.000207733j 0.014789-0.0171244j -0.00207097+0.00371352j -0.0166425+0.00231447j 0.00785911-0.00732188j 0.00336682-0.00270186j 0.000343531+0.00798156j -0.0199757+0.00677398j 0.00910168+0.0033887j 0.00362641-0.0173723j 0.00460933+0.0090486j -0.0113599-0.00196727j 0.0316662-0.0185019j 0.0216298+0.0156071j 0.00320871+0.0114412j 0.0069393+0.00514827j -0.0217962+2.48509e-05j -0.00542356-0.00277363j -0.0171841-0.0111224j -0.0204111+0.015523j 0.00825071-0.00579337j -3.34597e-06+0.0116812j 0.00780767-0.0077109j -0.00711116+0.0282303j -0.0105533-0.000388329j -0.00657089+0.0025058j 0.0104564-0.0249558j -0.00573576+0.013908j 0.00486062-0.0363115j 0.00540227+0.0283673j -0.00544768+0.022457j -0.00392846-0.0121999j 0.000666402-0.225897j 0.00468973+0.0140296j -0.0027785+0.0169445j 0.0154684+0.030369j 0.0224248-0.113583j 0.20646+0.00272107j 
-0.0190613+0.00534823j 0.00145957+0.00268653j -0.0436646+0.00372692j -0.0150692+0.000588738j 0.0098741-0.0185886j -0.0213691+0.0163094j -0.0150006+0.00602047j 0.0844575+0.00370273j 0.0422074-0.0131199j 0.0389636-0.0084898j -0.0402983+0.0208519j 0.0734412+0.00429548j 0.00570058+0.0132384j 0.0103255+0.00697369j -0.00932488-0.00687868j -0.0407892+0.00887584j 0.00429833+0.0054106j -0.0858364-0.004769j -0.0737198+0.00577043j 0.067739-0.00680385j -0.000687481+0.00341017j 0.0356579-0.0122254j -0.013988+0.00474259j -0.0132153-0.00258715j 0.00771636+0.00667452j -0.0622741+0.0064186j -0.1175+0.00332758j 0.0411258+0.00573839j -0.0345406+0.00494366j -0.054437-0.00779616j -0.0155026-0.00687444j 0.180449+0.00861889j 0.225525-0.00386924j -0.0420059+0.00554352j 0.032063+0.0216405j -0.00501015-0.00998376j -0.102174-0.0103785j -0.0706795-0.0118766j 0.0193138+0.00920665j -0.416179-0.00283086j -0.0776663+0.0107546j -0.0997663+0.00559279j -0.227442-0.00305354j 0.0326511+0.0173149j -0.101583-0.00366968j -0.222803-0.0147928j -0.096792+0.0213399j 0.139996+0.0192298j -0.334776-0.00162958j 0.00997719+0.0180125j 0.139495-0.0152698j -0.0252026-0.0174027j -0.0756699-0.0352975j 0.135976-0.00320011j 0.0635111+0.00869812j 0.0678238-0.0314656j -0.094447+0.0262671j -0.052481-0.010306j 0.0911031-0.0226584j -0.146836-0.0164118j 0.00228329-0.0390506j -0.0423188+0.0201993j -0.0286187-0.0192234j 0.0100745+0.0187981j -0.170565+0.00238745j -0.051891+0.0558645j 0.0194693-0.0481642j 0.0503232-0.0121169j -0.0395026-0.0144875j -0.0501201+0.0223451j 0.0027029+0.00938557j 0.0892588-0.0398222j 0.0526352-0.00255629j -0.0527471-0.0069096j -0.0432257+0.00340716j -0.0730637+0.0271722j 0.0439176+0.0127755j -0.0193894-0.0106235j 0.0375523+0.023088j 0.00984865+0.00431501j 0.0279327-0.0399838j 0.00950638+0.0155474j -0.102118+0.000713818j 0.00598251+0.0364621j -0.0430785-0.0194226j -0.0159564+0.00839469j 0.0215348+0.0552069j 0.045558-0.0237755j -0.0760524+0.0157705j 0.0105973+0.0256173j -0.0240914+0.00982399j -0.0661358-0.046032j -0.0247577-0.106097j 0.0196041-0.00604829j 0.0184002+0.0276576j 0.10325-0.0104439j 0.0456036+0.00608688j 
-0.00653705+0.000393487j -0.00636972+0.00079235j 0.00472368-0.00147471j 0.00106136-0.00452443j -0.00052441+0.0039616j 0.0156838+0.000364489j -0.010733+0.00950866j 0.0527921+0.000154874j 0.0317505+0.00121707j -0.0235781+0.0073198j 0.0658946-0.00235276j 0.0834448+0.00574926j 0.0642434+0.00536799j 0.0407471+0.0141272j 0.0373195-0.0215387j -0.0513945+0.000341286j 0.105691+0.00147204j 0.0671654+0.0147796j 0.0191097+0.0112283j -0.0361602-0.00781532j 0.0383589+0.0152247j -0.021051-0.00886638j -0.0276967-0.000147635j -0.0143337-0.0061141j -0.0508595-0.00244496j 0.0927933+0.00593185j 0.0611021-0.00918754j 0.0559288-0.00274762j -0.058214+0.000484239j -0.0774952+0.00636792j 0.0676516+0.00703995j 0.0164996+0.000882795j -0.00130045-0.00903048j -0.184008-0.00883494j -0.133612-0.00150641j -0.318524+0.00923592j 0.173458-0.00385529j -0.0119334+0.000965106j -0.0898481+0.00235966j 0.0345137+0.00785129j 0.172321+0.0221067j -0.00372016-0.0188026j 0.0240377-0.00535328j 0.0102269-0.00750002j 0.0130638-0.0106576j -0.126911-0.00672642j 0.131507-0.0157045j -0.265658-0.00862771j -0.0894941+0.0115891j -0.0942284-0.022725j 0.0571292+0.0258569j -0.12554-0.0201949j -0.0445459+0.0112819j -0.157709+0.0447341j -0.208959-0.0206672j -0.0993055+0.00125826j -0.0240983+0.0198241j -0.196302+0.0146491j 0.0342352-4.68641e-05j 0.0337508+0.0103624j -0.059644+0.0240067j -0.0327653+0.036435j 0.058549-0.0420343j 0.109467+0.0281266j -0.0986687+0.00925759j -0.0752927-0.00172396j 0.00105058-0.102302j 0.008099-0.0358791j -0.00496864+0.0641928j 0.0298832-0.0759779j 0.0955051-0.00318426j 0.00552695-0.0656863j 0.118779+0.051768j 0.0944062-0.0456571j 0.0141902-0.0769824j -0.118413+0.0628446j -0.0592096-0.0246322j -0.0762506-0.016481j -0.0270953-0.0254964j -0.0310883-0.00927068j 0.00490091-0.028603j 0.0294526+0.0265282j -0.0191872+0.00315474j -0.0177818+0.00830945j -0.0444467-0.0234864j 0.0104579-0.0027795j 0.0756984+0.0262123j 0.0448459-0.030389j 0.0395956-0.0033717j -0.052095-0.0292501j -0.0458459+0.0196676j 0.0384149+0.0743073j -0.0493503+0.0221663j -0.0629018-0.00540644j 0.0104945+0.0240667j -0.0251158+0.0161775j -0.0514152-0.0106862j 
-0.00837089-0.00026262j 0.0127368+0.000813575j 0.0207893-0.00297935j -0.0457963-0.00268967j -0.0183448+0.000580693j 0.0118084+0.00490368j 0.0276976+0.00366156j -0.020457+0.00372436j 0.116125-0.00679649j -0.00638702+0.00817941j 0.0453549-0.00698033j 0.092011+0.0134469j -0.017159+0.000885305j -0.0584509+0.01099j -0.0433313-0.00774782j 0.0179602+0.011799j -0.0117183-0.00922431j 0.0631688-0.0105338j 0.020211+0.00560107j -0.00551164+0.00931672j -0.0847691-0.0177673j 0.0448335-0.0236905j 0.0121968+0.0041542j 0.0482897+0.00226738j 0.0815992-0.00797383j 0.128574+0.003727j 0.0897081+0.00773264j 0.0620552-0.00123637j -0.16525-0.000324449j 0.166746+0.0076556j 0.0711512+0.01619j 0.0729768+0.00528165j -0.13377-0.0191145j 0.110129+0.00570407j 0.0379792-0.0322432j 0.327972+0.00983621j -0.126522+0.00442636j 0.105085+0.0198861j 0.143665+0.00868096j -0.17866+0.000882376j 0.0929939+0.00048594j -0.190234-0.0235277j 0.0321176-0.014348j -0.00607122-0.000458459j 0.23249-0.0190537j 0.181288+0.0137033j 0.0995857-0.014544j -0.147916+0.00249349j -0.090269-0.00914064j 0.176166-0.0137073j -0.052841+0.00036845j 0.102813-0.0245357j 0.0133622+0.0243505j 0.114944+0.043294j 0.0295158-0.017731j -0.102264+0.00746797j 0.0198355+0.0550319j 0.00125088+0.00407494j 0.059514-0.0052563j 0.131829-0.00598124j -0.0638811+0.0445665j -0.148522+0.0453592j -0.0209464+0.0496844j 0.0648527+0.014728j 0.0382735+0.0250463j -0.0788267+0.0489736j -0.127774+0.0213506j 0.0746286+0.067438j 0.00332102+0.0152407j 0.00985016+0.0589992j 0.0255735-0.0225512j 0.0438708-0.0178395j 0.0484125+0.0705326j -0.041766+0.0214991j -0.00697576-0.101531j -0.102513+0.02297j -0.103949-0.00164976j -0.0467157-0.0297919j 0.0294214+0.00494953j -0.0383818-0.010988j -0.012155-0.0594443j 0.0212975+0.0473149j -0.033191-0.00209844j -0.00548386+0.00960062j -0.000522849-0.0728416j -0.0495286-0.034976j 0.0699512+0.0311505j 0.036263-0.0249754j -0.0257817+0.00625227j -0.0474833-0.0208487j -0.0540977+0.0095051j -0.0104961-0.023517j 0.00481288+0.0490313j 0.0266243+0.0102106j -0.0679931+0.0331173j -0.0523681+0.0123699j 0.0461389-0.0255057j 
0.0336355+0.00717308j 0.0274262-0.00474109j 0.0279251-0.0101394j 0.0164169+0.00930475j -0.00887114-0.00914245j -0.00278592-0.00666535j 0.0417082-0.022495j -0.116635-0.00811013j -0.0412416+0.00124239j -0.0464411+0.00628314j -0.0304224-0.0161158j -0.0696872+0.00311098j -0.0063696-0.00567752j 0.0421292-0.013817j 0.0284663+0.0109276j 0.00632463-0.0195098j 0.00764719+0.00193128j 0.035012-0.0182082j -0.0574565-0.0108688j 0.00528785+0.0143617j 0.0355556+0.012198j -0.0172613+0.00616616j 0.00425227-0.00253479j 0.0241538+0.00422619j -0.0288035-0.00610274j -0.0469232-0.012718j -0.00271569+0.00082152j -0.0278941+0.0214183j 0.0810763-0.0154644j 0.0101481+0.00728096j 0.0321438+0.00879611j -0.109548+0.00302247j -0.0204324+0.00251146j -0.149366-0.0158806j -0.0515942-0.00408377j 0.0411115-0.00449103j 0.039647-0.00126466j -0.190361-0.0159098j -0.064938-0.00969012j 0.224289+0.00377447j -0.160604-0.00485348j 0.212646+0.014556j 0.071142+0.0148994j 0.0259059-0.00917153j -0.0821846-0.0154758j 0.0773099+0.0126932j 0.0293044-0.00208362j 0.0350435-0.0182654j -0.00288029+0.0038737j 0.0596643+0.00605108j -0.119344+0.00153804j 0.00144447+0.00658359j 0.0406766+0.0161744j 0.197876-0.0286203j 0.134468+0.0229467j -0.114976+0.0385442j -0.00248357+0.0553784j -0.194946+0.0800915j -0.0265152-0.00124717j 0.0727515+0.0659769j -0.0872657+0.0512952j 0.0411579-0.0200143j 0.0869722-0.0197481j 0.00953799-0.0138245j 0.034979-0.0421163j -0.180989-0.00265702j -0.0951089+0.0155959j 0.151465+0.0324146j 0.0883249-0.0366343j -0.101827+0.00228794j 0.0612482+0.0516998j 0.170457-0.0491816j -0.0449284-0.0667553j -0.0547757+0.0269195j -0.0438565+0.0111838j -0.039305+0.0195461j 0.0696517+0.0270209j -0.0311198-0.0324516j -0.00305758+0.0505642j -0.030793-0.0252466j -0.0172267-0.0738801j 0.00955664+0.116584j -0.145498-0.0129869j -0.00843164+0.0669688j -0.121334-0.0877381j -0.0399773+0.0915338j 0.0699135+0.138297j 0.102246-0.0750115j -0.092301-0.0364004j -0.06914+0.00805036j -0.134657+0.0281529j -0.105228+0.0603024j -0.0698436-0.166027j -0.028439+0.0170796j 0.0296821+0.0165347j 0.117662+0.0108732j -0.0601856+0.0437194j 
-0.0408118-0.0106734j -0.0603953+0.00383964j 0.033588+0.0171133j -0.0024736-0.00374653j -0.00944029+0.0255284j -0.0832652+0.0203955j -0.0398547+0.0183092j -0.0500559+0.0279471j -0.000208579+0.00205491j 0.0644958+0.00910396j 0.0199282+0.0311049j 0.0912342-0.0154392j 0.00263054+0.000303268j -0.121946-0.00572934j -0.0525586+0.0117167j 0.141156+0.00889433j -0.0448309+0.00673506j 0.031363-0.000211133j -0.0546918-0.020779j -0.00847293+0.0161683j -0.0287268-0.0121793j -0.0835862-0.00360275j -0.0122579+0.00642178j -0.0532922-0.00490118j 0.0668948+0.00755457j 0.0646101+0.00548676j -0.0300307-0.00900842j 0.0884984-0.0221266j 0.140516+0.0304065j -0.0679381-0.000331377j -0.0797816-0.00683531j -0.13493+0.0115226j -0.137163-0.0221917j 0.1117-0.00619799j 0.0413247-0.00704925j 0.18341+0.0087285j -0.0688674+0.00837487j -0.172236-0.000397263j -0.178585-0.0117622j 0.0625522-0.0102012j -0.185923-0.000916731j 0.207334+0.0100633j 0.0266126-0.0189324j 0.0767409+0.00597378j -0.0449323-0.0155631j -0.034274+0.00316333j 0.100153+0.0205655j -0.077286+0.00652673j -0.20185+0.0116578j -0.0605911+0.0343934j 0.162204-0.0176995j 0.0595681-0.0140391j 0.186274-0.0267231j -0.00865459+0.00835037j -0.132919-0.00588333j -0.0476702+0.00798625j -0.164333-0.0426529j 0.18816-0.00314197j -0.0901302+0.0228829j -0.0315142+0.0143372j -0.102855-0.0118788j -0.0140034-0.0269779j -0.0682293-0.0121003j 0.0660538+0.00254318j 0.0364953+0.0367283j 0.0862322-0.000562425j 0.0261421+0.0353405j -0.0252321+0.0261893j -0.0613214+0.102073j 0.056181+0.00173918j -0.163169+0.0278588j -0.00404834-0.0848976j 0.0198608+0.0657023j 0.0316528-0.0208889j -0.0241358-0.0523765j -0.0459513-0.00479645j -0.0572787-0.000868852j -0.0437056+0.0241729j 0.05438-0.0377802j 0.0815222-0.000609985j -0.0562664-0.0272651j 0.0440928+0.00648647j 0.00651709+0.0082352j -0.0686809-0.00583239j 0.0612049-0.0075946j -0.0147894-0.0395272j -0.00590797-0.0150067j -0.0363901-0.00947435j -0.0403301+0.0216512j -0.0264158+0.0188294j -0.051248+0.0184622j 0.0273915+0.0319427j -0.0582608-0.0112119j -0.00679042-0.0310279j 0.004485+0.015901j 0.030468-0.00180933j -0.0142092-0.00397739j 
-0.052365-0.0225715j -0.0370841-0.00525345j 0.154398+0.0189419j -0.0097993+0.0014347j 0.0328815+0.038401j -0.0157026-0.0100092j 0.0558675+0.00347175j 0.00724394+0.0279243j -0.0300473-0.00916655j 0.0861656+0.00876808j 0.0967725+0.00347556j 0.0316092-0.0307436j -0.0791722-0.0105845j 0.03805-0.00746588j 0.0183582+0.0208291j -0.0458077-0.00929344j 0.00481705-0.0117478j -0.119435-0.00726417j 0.0481758+0.0165598j 0.0188375+0.0156418j 0.0385547+0.00290707j 0.0551232-0.0166019j 0.0437605-0.00717077j 0.00672267-0.0223174j 0.127815-0.00506379j 0.0288186-0.00801672j -0.0772405-0.0159544j 0.0987467-0.00647333j -0.0939884+0.0210897j 0.0992893-0.000152041j -0.0738857-0.00764492j 0.0266842+0.0172286j 0.171005-0.0169653j -0.0757612-0.0151935j -0.163249+0.00408149j 0.0984647+0.0119372j 0.0243516+0.0131875j -0.0220709+0.00786747j 0.221892+0.000520072j -0.0170455+0.00686245j 0.118042-0.00210511j 0.134766-0.00912289j 0.00964271+0.0309759j 0.119505+0.0175755j 0.20849+0.000772344j -0.0431331-0.00973983j 0.13563+0.0571873j -0.00681688+0.00888605j -0.0548289+0.0106j -0.127392+0.0209443j -0.0616792+0.000585819j 0.0795845-0.0159635j 0.151649-0.0315205j -0.0121709+0.0229538j 0.121353-0.0465558j 0.111827+0.0201632j 0.0711998-0.0223961j -0.0557241+0.0605314j -0.035229+0.042916j -0.0687474-0.0135725j 0.0588598+0.0492666j 0.0205829+0.0342224j 0.00350012+0.017498j -0.0510854-0.0158344j 0.0515764+0.0089703j 0.0311606+0.0199914j 0.0292796+0.00871554j -0.0582782+0.00601059j 0.0334482+0.0344901j -0.0133466+0.00944443j -0.0131561+0.0111416j -0.0606271-0.0329966j -0.0223007+0.00988412j 0.0268608+0.0118273j 0.041221+0.0358755j 0.000176719+0.0223425j 0.0127887+0.0281018j -0.0193734-0.0369228j 0.0606199+0.0155286j -0.0985757-0.00994873j -0.021699-0.067746j -0.042971+0.062759j 0.004956-0.0194843j 0.0147445-0.00577822j -0.0159003-0.0307709j 0.00958932+0.164674j -0.0139805+0.0454482j 0.0631431+0.0350522j 0.0129026-0.0128551j -0.0380118-0.00114461j -0.0579687-0.0615748j 0.0442821-0.0564567j 0.035586+0.034145j -0.089298+0.0620917j 0.177319-0.0438831j -0.0493755-0.003634j 0.0568084+0.00621657j 
0.0112011+0.00547866j 0.0527077+0.00206317j 0.0388891+0.00115988j 0.0719672+0.00553158j 0.0300025-0.0170689j 0.022359+0.00049675j -0.0759036-0.0100876j 0.00045327-0.00754299j -0.0699437+0.00212122j -0.0638375+0.00234946j 0.0401606+0.0035724j -0.0760155+0.0311757j 0.0387244-0.000552346j -0.0262465+0.00438453j 0.0488533-0.0118799j 0.0274574-0.0121185j 0.100299+0.00563637j 0.114976-0.00630469j -0.0601241+0.0119546j 0.0650358+0.00663539j -0.0293678-0.00148039j 0.0925406+0.00122644j -0.0737669-0.0236623j -0.0779821+0.00428217j 0.0519764+0.00328133j 0.222327-0.00533387j 0.116734-0.00771185j -0.0437556-0.0170198j -0.291286+0.00182958j -0.0841706+0.000472351j 0.15329+0.0105319j 0.120089+0.00101126j -0.0451455-0.00254293j -0.0160423-0.019552j -0.16724-0.00304116j 0.131903-0.00721588j -0.231403-0.0136163j -0.214649-0.00483696j -0.322999-0.00617287j 0.0547712-0.00707489j 0.193746+0.00614821j -0.0876568-0.00370298j -0.0228112+0.0115394j 0.0708195-0.0235953j -0.0219834+0.00256868j -0.0450645+0.00309542j 0.11693-0.0176869j 0.0770556-0.0349218j 0.111663+0.00417678j -0.03638-0.00705823j 0.0348956+0.0275255j 0.0532562+0.0135651j -0.0363282+0.0451292j 0.0511506+0.0289104j 0.121914+0.0213521j 0.143937-0.0549149j -0.00312964-0.00593046j 0.0131102-0.0127477j 0.0356226+0.00106354j -0.137354-0.0120952j 0.04218+0.0611708j -0.0271257+0.0284226j -0.00591499+0.0449133j 0.086331+0.0297816j 0.0665647+0.011025j 0.0110367+0.00951367j -0.00412185+0.0272723j 0.0505009+0.0327304j 0.066352+0.0414338j 0.0173046-0.105378j -0.0467474+0.0021335j 0.0787332-0.00135419j -0.0733053+0.0424781j 0.0649117+0.00685685j 0.0208109+0.0199488j -0.0274382+0.0109039j -0.0368441-0.0284492j -0.00112099+0.00651142j -0.0855556-0.000672257j 0.0189279+0.0313635j -0.00887556+0.0592361j -0.0136561-0.0405357j -0.04024-0.0114758j 0.0297395-0.00619458j -0.0108691+0.0377378j 0.055225-0.0484164j -0.0691565-0.0601835j -0.0452048-0.0218264j 0.0153383+0.000421958j -0.0148622+0.00414233j 0.0766812-0.00839624j -0.0134229+0.101314j -0.0584668-0.0125327j 0.034379-0.00868185j -0.0112042-0.0255889j -0.0248532+0.0301692j -0.104337+0.0223316j 
-0.0100849-0.000465832j -0.00231229-0.000201434j 0.0118141+0.00705232j 0.0452975+0.00324677j 0.0297324-0.000946537j 0.00728293-0.0055518j -0.0856405+0.00565859j 0.105104+0.00124851j 0.032628-0.00790373j 0.011618-0.00457188j 0.0530733+0.00292859j 0.0525767-0.00963175j 0.0345815+0.00202265j -0.0192587+0.0181245j 0.0160564-0.0129602j -0.0986555+0.0092736j -0.0162734-0.026913j 0.0997683+0.00522733j -0.0728727+0.00579071j -0.0832738-0.00652281j -0.0169599-0.00780295j 0.0530479-0.0124895j 0.0428895-0.00338879j 0.0870063-0.00305046j -0.155901-0.0041547j -0.0740354+0.00968712j 0.187392+0.00323364j 0.0268859-0.00700041j 0.051627+0.00678335j 0.0304753+0.00913146j 0.0218173+0.000742205j 0.175426+0.0127796j -0.164982-0.014446j 0.366127+0.000741548j 0.106755-0.00078454j -0.0819457-0.00579542j 0.155345-0.00412286j 0.107706+0.00226041j 0.0174368-0.000640584j -0.0642767+0.00181854j 0.0813686+0.000839028j -0.0444604-0.013418j 0.225367-0.024219j -0.220787-0.0127888j -0.0633986+0.0127872j -0.0213349-0.00182639j 0.0342366-0.00618863j 0.0421966+0.00791114j 0.00942788-0.0165626j -0.0147435-0.0129347j -0.0298121-0.0079535j 0.0791074+0.0212222j 0.0989426+0.00146444j 0.0363095+0.0473917j 0.0170109-0.0260928j 0.0147097+0.0104784j -0.194+0.066742j -0.110123-0.0404099j 0.0210688-0.0170994j -0.102953-0.0175425j 0.0720269-0.0118052j -0.0751626+0.00795836j -0.0504997+0.0560813j 0.0724952-0.0224636j 0.0470769+0.0247774j 0.0174238+0.0230853j -0.0441397+0.0268201j -0.0560028+0.002012j -0.0459229+0.000110062j 0.00462099+0.0234415j -0.038681+0.00346102j 0.0439607+0.0475106j 0.029919-0.0510524j 0.0244174-0.0097867j -0.0348669+0.0373539j -0.0500758-0.0223706j 0.0825036+0.00205658j -0.0742447+0.0271759j -0.0226454-0.00391446j 0.00818811+0.00397944j 0.0334812+0.0270293j -0.00217103+0.0556218j -0.0239762-0.0124809j -0.108613+0.0173863j -0.0717854-0.0109146j 0.0344257+0.0398403j 0.062252+0.0532235j 0.0286484-0.0745391j -0.00549534-0.0111704j 0.0134088-0.0066303j -0.0932912-0.022839j 0.015447+0.145555j -0.106653-0.0619642j -0.0880221-0.00826916j 0.0630589-0.0310708j 0.0392224+0.0257928j -0.119789+0.0302657j 
-0.0120637-0.00457207j 0.0109096-0.000987904j 0.0586686+0.000794846j 0.0365665-0.00395093j 0.0492693-0.000666079j 0.00628211+0.00418808j -0.0338655+0.000134195j -0.0225751+0.00210186j -0.0102696-0.00341359j -0.00969546+0.00935435j 0.072111+0.00166512j 0.0117944-0.00461855j 0.132164-0.00689511j 0.0881745+0.00540747j 0.0379206-0.0116993j -0.0676707+0.0015751j -0.0226878-0.0185105j 0.0622408-0.019524j -0.0876794-0.00381625j -0.0712187+0.00480782j 0.0266623-0.00579466j 0.0169908-0.0063069j 0.0502754+0.00756057j 0.0973531+0.00286916j -0.201364+0.002576j -0.0842975-0.0115702j 0.161888-0.0141561j -0.0055314+0.00457868j 0.186517+0.00420526j -0.0527379-0.00157213j 0.0558226+0.0193023j 0.00521349+0.00402466j -0.04808-0.00716076j 0.169084-0.00136459j 0.102583-0.00533935j 0.0910784+0.0169311j 0.0980188+0.0074586j -0.0271605+0.000572309j 0.00702411+0.00444516j 0.0371232+0.00651917j -0.0303659+0.019181j 0.0315958-0.027522j 0.227705+0.00317714j -0.14527+0.000203363j -0.12781-0.0167544j -0.311738-0.000432812j 0.00802475+0.0129447j -0.0779516-0.00541316j -0.0581739+0.0269339j -0.0705349-0.0221104j -0.00716605+0.014597j -0.0430948+0.00252752j -0.0222725+0.0226152j 0.125073+0.00763163j 0.140146-0.0474893j 0.0390497+0.0232945j 0.217183-0.032774j 0.081482-0.0192708j 0.0557532-0.0218495j 0.111526+0.0160483j -0.0392374+0.0261188j -0.0322503+0.0188836j 0.0592745+0.0112316j 0.0522004+0.0070987j 0.00466271-0.0387754j -0.0269775+0.038447j 0.040908-0.0135194j 0.0327807+0.0403492j 0.0788271+0.0273198j 0.0221042+0.00599295j 0.0263047-0.017806j -0.0678726-0.0438779j -0.104633+0.0919263j -0.00392366+0.0106705j 0.025649-0.0301669j 0.0604173+0.0774243j -0.106168-0.0113781j 0.0389499-0.0187817j 0.0349615+0.0241921j -0.0255581-0.00189355j 0.0123786-0.0621283j -0.0152349-0.0446627j -0.0772774-0.00836858j 0.163395-0.00954619j 0.0631166+0.0180488j -0.0163405+0.0239734j -0.0863201-0.0423601j -0.0188176+0.0644437j -0.0506685-0.000470654j -0.0287295+0.0341579j 0.112374+0.00469337j -0.0601261-0.159413j 0.102579-0.0210064j 0.0687137+0.034512j 0.0176997+0.00415546j 0.0093793-0.0276645j 0.112518+0.000558459j 
0.0054845-0.0136127j -0.0682636+0.000768089j -0.0230597+0.000790926j 0.0558472-0.0204816j -0.0504224+0.0297101j 0.00231412+0.00731434j -0.0775215+0.0196525j 0.21029+0.0101438j -0.00941175+0.0247785j -0.0227667+0.00885054j -0.0225631+0.00409322j -0.114085-0.00543525j 0.0134232-0.0162958j -0.102346+0.000152172j -0.0604975-0.0225419j 0.104308+0.0166584j 0.0541312-0.00905546j 0.0775063+0.0298475j 0.0501785+0.0128871j 0.0159953+0.00344029j -0.0122918+0.0102842j 0.0179021+0.010498j -0.0327121-0.00443111j -0.0932775-0.00663388j -0.0200403+0.0163224j 0.119449-0.0249995j -0.0396904-0.00582938j -0.0177713+0.0214911j 0.00195744+0.0189131j -0.0144157-0.000139642j 0.0235726-0.00735704j -0.0612632-0.00200231j -0.130739-0.026487j 0.218947+0.00421091j -0.00416622+0.0177813j -0.172023-0.0131476j -0.139881-0.0129336j 0.0648005-0.011422j -0.163669-0.0092094j -0.0516836+0.00105349j 0.202743+0.0132018j 0.0140063-0.00805443j 0.0518386-0.0512629j 0.119884-0.0396389j 0.0954269+0.0172839j 0.225947-0.0176449j 0.0344638-0.000389356j -0.113267-0.0176762j -0.140379+0.043415j -0.184727-0.0460062j 0.0635823+0.009971j -0.0304605-0.00793797j -0.121438+0.0309915j 0.0301213-0.0042131j 0.0884718-0.0189959j -0.0446745+0.0227961j 0.0901147+0.037459j 0.00712372+0.0158842j -0.0924878+0.0627135j 0.0850308-0.0652062j -0.000465932-0.0585253j 0.00887971+0.0303836j 0.0813647-0.00601793j -0.089149-0.0430247j -0.0721621+0.0445937j -0.0580249-0.0212742j 0.0266452-0.0294093j 0.0166075-0.0639584j -0.013675-0.0553761j -0.0709017+0.0381435j 0.132256+0.00441948j -0.0362209-0.0412611j -0.0847162-0.0558152j -0.0468452+0.00442361j -0.0346517+0.0655393j 0.122057-0.00776903j 0.0342681+0.00446694j 0.0819728+0.0247174j 0.0685899+0.0267729j 0.0118665+0.0453702j -0.025948-0.101274j 0.00773947+0.0695271j -0.0802392-0.0032012j 0.0559508+0.0474711j -0.0416985-0.0476241j -0.0142557+0.0918773j -0.102516+0.0663278j 0.0236015+0.108998j -0.0921261-0.0203549j -0.033306+0.0625717j -0.0623439+0.0235463j -0.054859-0.127062j 0.0501044-0.0873612j 0.053085+0.0242098j 0.0945688-0.0141802j 0.076732-0.045827j 0.0768336+0.0176135j 
