-0.0754207-0.0560065j 0.0555509+0.0248358j -0.00327451+0.0033647j -0.096763+0.0311931j 0.0149203+0.00557259j 0.0373427+0.00815113j -0.0201719+0.0211589j -0.00217257-0.0544056j -0.0469567+0.023685j 0.0320897-0.0190657j -0.0200746+0.00682683j -0.0191445-0.017315j -0.0134137+0.00306953j 0.027185-0.0037548j 0.00972769+0.00597042j 0.0193452-0.00610664j -0.0118915+0.00648884j 0.00331359+0.0210649j -0.0162589-0.00351878j 0.00419069+0.0103688j 0.026345+0.0033989j 0.00532699-0.0100291j -0.0127141-0.00633358j -0.000979238-0.00879534j -0.0173417+0.00186326j -0.0157533+0.000756771j 0.00162107-0.0109436j 0.0175069-0.00338405j 0.00843069-0.0146966j -0.0121981-0.0206872j -0.00409657+0.0135273j 0.0186577-0.0257731j 0.0170871+0.00913775j -0.00776557-0.00204254j 0.0128296+0.0022731j -0.0228301+0.00657213j -0.011522+0.00304494j -0.00485522+0.0206425j 0.0052946+0.0170526j -0.00387036-0.00298607j 0.0148547-0.0218174j 0.0130337+0.00550673j 0.0119037-0.00278518j -0.0257673-0.0048625j 0.00842048-0.00271142j -0.00280913-0.0165345j 0.0148901+0.00493195j -0.00432395+0.000796473j -0.000801435-0.00820035j -0.00902065-0.00245193j 0.0155642+0.0167845j -0.0110425+0.00786161j -0.0132801+0.0166364j -0.0107416+0.000561688j 0.00116523-0.000507806j -0.00331476-0.00459729j 0.00467314+0.0153242j -0.000628843+0.00108861j -0.00454159-0.0205481j -0.000784417-0.00564553j 0.00316712+0.00604616j 0.0107772-0.0097873j -0.00230493+0.0137095j 0.038133+0.00964527j -0.0194055-0.0259171j -0.00186201-0.0174729j 0.0123259+0.00723216j 0.00438858-0.00393079j -0.00860466-0.00687025j 0.0255925+0.00113154j -0.00438806-0.0111345j 0.00633962+0.0157477j 0.00729761-0.00919608j -0.0101795+0.00298782j 0.00919756+0.0175478j 0.0187517+0.05458j 0.00076734+0.0310333j 0.00178242+0.0522106j -0.0154967+0.0221343j 0.0393262-0.0200914j -0.0825443-0.0028123j -0.00974336-0.0483105j -0.0884327-0.000304336j 0.00843942+0.0126246j 0.051706-0.122024j 0.0236853-0.00827073j 0.0386318+0.0266702j -0.0198414-0.0357099j -0.0753507-0.0348219j -0.00247325+0.101045j -0.0369646-0.0181103j -0.0107591+0.017994j -0.00766379-0.0176809j -0.039193+0.0079387j -0.0707963-0.147138j -0.0397712+0.0117805j -0.131699-0.1384j 
-0.0130445+0.00700954j 0.0541856+0.0176354j -0.0088243-0.0181026j -0.00283933-0.0398782j 0.0146514+0.00146906j -0.0277827-0.034832j -0.00173642+0.0340038j 0.0494607-0.0212422j 0.0167683-0.039899j 0.000288424-0.0248421j 0.0273271-0.0407475j -0.0716437+0.0251962j 0.0516074+0.0152834j -0.0243939-0.11035j 0.0249787+0.0369318j 0.00725119+0.0456723j -0.00496986+0.0276819j 0.0444176-0.0440299j 0.148555+0.0607574j 0.0376247+0.0191195j -0.14273+0.0114389j -0.00854369-0.0026057j -0.0338195+0.0553446j 0.0411254-0.00966369j 0.0775101-0.0470344j -0.00950737-0.0821294j 0.0620622+0.0505685j -0.0129744+0.0714359j -0.0152397+0.0404931j -0.0458044+0.00315828j -0.0631328-0.0986594j 0.0723834-0.0545558j -0.0544994+0.0307651j -0.0648304+0.0151482j -0.0315154+0.0603605j 0.0265195-0.0996627j -0.0404653+0.000307425j -0.00911833-0.0968001j 0.0738701+0.0186278j 0.0325311+0.0145082j 0.0717384-0.0461647j 0.0708373+0.0528902j -0.0183076-0.00557515j -0.0543964+0.0672998j -0.00634806+0.0973565j -0.0712456+0.130051j -0.0300481+0.114968j 0.139541-0.0260571j 0.00268424-0.0562907j -0.0218675-0.167015j 0.139256+0.0560848j 0.00600084+0.00310309j -0.0775225-0.030272j -0.0305873+0.0154557j 0.0307861+0.0167127j -0.0811074-0.0167935j 0.00347567-0.0116271j -0.0543803-0.0763388j -0.0603515-0.0743758j 0.0101094-0.00623332j 0.0225889-0.0823755j 0.00408797-0.0251144j -0.00231391-0.00707609j 0.0417484-0.0192749j -0.0335026+0.0182018j -0.0392497+0.105568j 0.0643385-0.0355448j -0.0101184+0.0465391j -0.0199121+0.0884104j -0.0251224+0.0344115j 0.0115583-0.11423j -0.0595543+0.0777922j -0.0510629+0.0711924j -0.0439969+0.0521042j -0.0412349-0.0672262j 0.0226846+0.0299672j -0.026848-0.0189173j 0.00493223+0.0345197j -0.0136628+0.0356242j -0.055865+0.0950781j -0.0145832+0.0695074j -0.0147222-0.0441018j -0.0633792-0.0816515j 0.00827889-0.120956j 0.0609363-0.0490595j 0.118083+0.0206047j 0.0540431-0.0384154j -0.0306358-0.0304011j 0.00375505-0.0358436j 0.00723385+0.033055j 0.020549-0.0298221j 0.0233408-0.0696569j -0.0106953-0.0113406j 0.0666205-0.0507735j 0.023658-0.0610024j -0.00830338+0.0196053j -0.034133+0.0279635j 
-0.00574131+0.0111499j 0.00144525+0.0149741j 0.000211279-0.026759j -0.0174263-0.0206444j -0.0157713-0.0251235j 0.0131959+0.00471279j 0.00353667+0.0173237j 0.0394388-0.0361943j -0.00103881-0.0850673j 0.0373686+0.0195496j -0.0728707+0.000522698j -0.0349276+0.0139464j 0.0363344+0.0301418j 0.026329+0.0650038j -0.00540648-0.0169921j 0.0831931-0.0528181j 0.115374-0.0263815j 0.0521567+0.0762919j -0.00778758-0.0540252j 0.103747-0.018334j 0.0691981-0.0552215j 0.00140053-0.00116243j 0.0654819-0.0637695j 0.0310015-0.0316218j 0.0384183-0.0422875j 0.0225795+0.0593288j 0.045906-0.0623596j 0.00124097-0.0652261j 0.0133773+0.03554j -0.0969298-0.0963823j -0.00378871-0.0667414j 0.0611874-0.0334751j -0.12171+0.0455903j 0.0976455-0.00171806j -0.122125+0.0756019j 0.0562298+0.0673031j 0.0172901+0.0440577j -0.0142536-0.0620662j -0.0416208-0.0654991j -0.0167779+0.0422876j 0.0275308-0.0428178j 0.0965586+0.00784616j -0.0474434-0.0570911j 0.0235716+0.0210954j -0.0142741+0.0483612j -0.0076374+0.0345323j -0.099184-0.00718072j 0.129356+0.0275528j 0.0161108+0.00938413j 0.00825191-0.0664466j 0.0967543+0.0269877j -0.00521135-0.0313071j -0.0546202+0.0944367j -0.0233649-0.000244626j 0.0237987-0.0131904j -0.00806827+0.0155374j 0.0405153+0.0586443j -0.0216284-0.0390348j -0.0443334+0.0241523j -0.0194955+0.0553344j -0.023111-0.00563174j -0.0318227+0.0333005j 0.0550564-0.0658972j 0.00151227+0.0341326j -0.0111216-0.0227442j -0.0516858+0.0753022j 0.000337041+0.00958088j -0.0222868+0.00267788j -0.0319154+0.015552j 0.0120897+0.0321517j 0.0267994+0.00808903j -0.0426759-0.0542195j -0.0698908+0.0747188j -0.010704+0.0373779j -0.0818052+0.065104j 0.0245422-0.0538219j -0.0129904+0.00492409j 0.0319038-0.0331132j 0.0218796+0.132589j -0.00348589+0.0440917j -0.0245119-0.00657828j 0.0441348+0.0269733j -0.0503742+0.0347255j 0.0181527-0.0198774j 0.00067549-0.0402918j 0.042133+0.0195257j 0.110598-0.061079j 0.0904256+0.00151172j -0.00901293-0.0144447j 0.00857134+0.0178805j -0.0631815-0.00869482j -0.000563865+0.0339767j -0.0368352+0.0996148j -0.00856758+0.0178487j 0.0361565-0.0107084j -0.0292403+0.0107644j -0.0173195+0.0405812j 
0.0326605-0.019821j 0.0253286-0.0257177j -0.0310697+0.0317035j 0.0384625-0.00376109j 0.0199419+0.0674395j 0.019193-0.0190333j -0.0142428+0.00631155j 0.0445111+0.00840966j 0.0553529-0.0352254j 0.0326842+0.0207976j 0.0547578-0.0284197j 0.0181596-0.0225782j 0.0439213-0.0372171j -0.0852319+0.0494662j 0.0133125-0.0857731j -0.000709218-0.0459626j 0.0471174+0.10079j -0.0242389+0.10544j -0.047703-0.0124483j 0.0467698-0.0481738j 0.0232232+0.0428384j -0.116815-0.0876228j 0.107436-0.00668681j 0.0254521+0.0547182j -0.0628535-0.0722646j 0.0608522+0.0229728j 0.105454-0.0642277j 0.0778159+0.0158485j 0.0152489-0.0466008j -0.0397205-0.0928917j 0.0195673-0.0414312j -0.0352341+0.090669j 0.0356478+0.0119174j -0.0802516+0.0198369j -0.0203353-0.039588j -0.0018862-0.058891j -0.0351229-0.138277j -0.0332994-0.0311325j 0.0234348-0.0709515j -0.0898672+0.0766536j 0.0136016-0.0205066j -0.000222339+0.0442873j 0.0215774+0.0106281j 0.0603637-0.00386969j 0.021469+0.0203585j -0.046271+0.0153493j 0.0752499-0.0135872j 0.058796-0.0194795j 0.0254019+0.0146368j -0.0209419+0.00176288j 0.0345162+0.0391346j 0.0627097+0.0275626j -0.0198833+0.0228516j 0.012766+0.0748383j 0.0398525+0.0880852j -0.0570869-0.0198959j 0.00471887-0.0169752j 0.0755734-0.0035266j 0.0223566-0.0136163j 0.0749104+0.0244985j 0.0474321-0.0362405j -0.0104053-0.000204768j -0.0189548+0.00750933j 0.00443415-0.0083772j -0.00111551+0.0230608j 0.0399388+0.0026357j -0.0334456-0.0386443j 0.0332052+0.0107501j 0.0568341-0.0305573j 0.0361801-0.0195966j 0.0248587+0.000314177j -0.00672317+0.021505j 0.0281668-0.090707j 0.0575589-0.0826856j 0.0429321-0.016239j -0.052329+0.0985267j -0.0242462+0.0112765j 0.0164165+0.0325198j 0.0478933+0.0224101j -0.0405461+0.0037487j -0.0109415-0.0627593j 0.0544577-0.0299069j 0.0444306-0.0924842j -0.0471586+0.00819962j 0.0125763+0.0417643j -0.0211554+0.0677733j 0.0289035+0.0251502j 0.00897019+0.000208166j -0.0264816-0.0549409j -0.0408308+0.00810603j 0.0562263-0.00376806j -0.0359842+0.00660251j 0.00534848-0.0297278j -0.0207215-0.0192058j -0.0208517-0.0147241j 0.0139092-0.0288489j -0.0147459-0.020604j 
-0.00372825+0.00228372j 0.022729+6.44428e-05j -0.0228795-0.0065109j -0.00372659-0.00171628j 0.0651138+0.0238548j -0.0196822-0.0257276j -0.00912128+0.0338701j 0.0553983-0.000138537j 0.0121507-0.0345614j 0.0976589-0.0207339j -0.00482125+0.0378278j -0.0480502-0.0320078j -0.00551566-0.033254j 0.0286404+0.0682319j 0.0468302-0.0969309j 0.0198086+0.0124997j -0.0129111+0.0250862j 0.118858-0.0483598j 0.0583837+0.050833j -0.0448386-0.12051j 0.0655156-0.00165466j -0.0848969-0.0103896j -0.0289214+0.123125j -0.0645309+0.00257083j 0.117014+0.0833823j -0.00848369+0.11031j -0.0309707+0.0113257j -0.078327-0.0618139j 0.00434696+0.0826742j -0.0477355+0.0339342j 0.080924-0.00556036j 0.101847-0.0672941j 0.0108381+0.0163998j -0.0229127-0.0427375j -0.0769315+0.0665643j 0.0942276+0.0460899j 0.0772061+0.0746509j -0.0418431+0.0279057j -0.00951967+0.0678525j 0.117614-0.0244528j 0.0708938-0.0296386j 0.0111447+0.0185789j 0.0565453-0.00939493j 0.0191506-0.113387j -0.0507157+0.0950628j 0.0343327-0.0657154j -0.0331788+0.118632j -0.0144911+0.00548191j 0.0458331+0.0105054j 0.0165126-0.169798j -0.0546156-0.0192997j -0.0205644-0.0955058j 0.0418596+0.0433696j -0.0435313-0.00716182j -0.0604608+0.0176511j 0.0948531+0.0202985j 0.0729369-0.134542j 0.0927208-0.0912083j 0.0209206-0.0130141j 0.0780121-0.0883728j 0.00663074-0.0207232j -0.00193517+0.0234239j 0.0175704+0.00129158j 0.12453-0.0157621j -0.027293+0.00826082j -0.0135892-0.0516372j -0.0894257-0.0462816j 0.0110881+0.0347313j 0.0513901-0.0336749j -0.0340607-0.0602197j -0.022081+0.0383341j 0.0425518+0.0173007j 0.0843805-0.0512812j 0.0518077-0.0345728j 0.10336-0.0613334j -0.0451661+0.00627168j 0.0136473-0.0119509j -0.0135833+0.0617429j 0.028524-0.0347731j -0.0196593-0.0592498j -0.0393485-0.00844471j 0.0509176-0.0585355j 0.0611812+0.0980309j 0.00383462-0.0139548j 0.0544108-0.0389356j -0.0613329-0.0824276j -0.0451543+0.0685787j -0.117156+0.0695859j 0.0347234+0.0325373j -0.00422822+0.0413058j 0.0295015-0.0109193j -0.0400007+0.0196161j 0.045874-0.105679j 0.0505022-0.0350078j 0.00436045-0.013297j 0.0286782-0.00636494j -0.00110647-0.0282104j 
-0.00761394-0.0343331j 0.0150052-0.00945153j -0.0113659-0.00979765j -0.0376048+0.00835001j -0.028716+0.00245612j 0.0436227-0.0085985j 0.0117362+0.0152783j -0.00374966-0.0636864j -0.0461853-0.0199343j -0.0437756+0.0105385j -0.0647685+0.03083j -0.0958427-0.092789j -0.0558704-0.104341j 0.0171258+0.00228147j 0.0105082-0.0200364j -0.108196+0.0382936j -0.141769-0.0542907j 0.00519892-0.0685089j -0.00367645-0.0559474j -0.0913839-0.0166267j 0.0725544+0.072364j 0.0909807+0.00951805j -0.0545605-0.0568053j 0.0253528-0.0349964j -0.0792722-0.0044465j 0.0209478+0.00316246j -0.0927643+0.00803418j -0.0941547-0.0274508j -0.0271331-0.0712471j 0.0407887+0.0357174j -0.0257763-0.014639j 0.0765787-0.0718306j -0.0239899-0.039566j 0.0469135+0.0284168j 0.0974505+0.0667136j 0.0414856-0.0294743j -0.0854188-0.098506j 0.0220424-0.0365356j -0.0241978+0.120054j 0.0061923+0.0376148j -0.0441927-0.0306324j -0.119033-0.00183591j 0.0532493+0.01483j 0.00315036-0.00125971j -0.0417676+0.0253912j -0.169087-0.00103683j 0.011206+0.0171123j 0.0400637-0.0836846j 0.0478853+0.0968223j -0.103763+0.1305j -0.0137993-0.0931517j -0.0371183+0.0394915j 0.0229352-0.00380322j 0.0540944-0.00917847j 0.0311725+0.110947j 0.0274712-0.0488187j -0.0269086-0.00535394j -0.110667+0.0447852j -0.00947843-0.0542136j -0.0118717+0.0306095j -0.00547398+0.00196303j -0.045484+0.00183718j 0.0287584-0.0238333j 0.0501742-0.0264663j -0.0291438-0.0425543j -0.0108148+0.0373843j -0.0181212+0.00230933j 0.0236782+0.00159986j -0.0129089-0.0579658j -0.029366-0.0816985j 0.0908344+0.0109118j 0.035822-0.015665j -0.110231+0.0133705j -0.0348658-0.0578063j 0.0404516+0.0365649j -0.0455358+0.0288144j -0.0741493-0.0298077j -0.0138379-0.0220925j -0.0271107-0.0181684j -0.00427965-0.0692037j -0.025433+0.0243243j 0.0184854-0.00534038j 0.000627357-0.000591195j -0.0158352+0.00365785j 0.0167667+0.0159176j -0.0672587+0.0368761j -0.0266383-0.0525149j -0.0216222-0.0352701j -0.0541841+0.00694794j 0.0166101+0.020841j -0.047871+0.0544917j -0.0251415+0.0221425j -0.0458657-0.0226475j -0.0227075+0.0091192j -0.0120403-0.035997j 0.0181618+0.00473011j -0.0335255-0.0313026j 
0.0071607+0.0371128j -0.0453309-0.00441025j 0.0256525+0.00363635j 0.0240603+0.0369163j -0.0044623-0.0122194j -0.036885-0.0533581j 0.00248592-0.0105224j 0.0228074-0.00643091j -0.0141413+0.0364846j 0.00853158-0.0167211j 0.0530182-0.0178907j 0.0125152+0.00879254j -0.00187366+0.0120564j -0.070041+0.00921439j 0.0185835+0.00493601j 0.0339999+0.047712j -0.00340846+0.0393232j 0.0499392+0.0490672j -0.0026642+0.0444845j -0.0176871-0.0356945j -0.105166-0.0186803j -0.0181329+0.0033769j -0.0283028+0.0305225j -0.0277625+0.0302256j 0.0505705+0.0413609j -0.0698664-0.132966j 0.0157504+0.0229887j 0.101295+0.0790526j -0.101368-0.0285007j -0.00369347+0.11964j -0.0397299+0.00158249j 0.016726+0.0431613j -0.107097+0.000706036j 0.0179992-0.0259613j -0.130712-0.0631405j -0.0921842-0.017169j 0.0486018-0.0110564j 0.0188417+0.0277234j 0.0801612+0.121976j 0.0901782-0.0350154j 0.103866-0.0731246j 0.0068863-0.0832643j -0.00234352-0.00529556j -0.0522486+0.00473763j -0.000984084-0.0760155j -0.0673583+0.0695042j -0.0325402-0.107889j 0.0125556+0.0314401j -0.0191745-0.0338337j -0.00626015+0.0302167j -0.024577-0.0986949j 0.0295071-0.0262623j -0.0143918+0.0508092j 0.00212373-0.0209849j -0.0151637-0.0365873j 0.00327485-0.0529927j 0.0737598+0.061625j 0.00721436+0.0765838j -0.00334207-0.0225523j -0.00443899+0.0531256j -0.0270536+0.032196j -0.0236903-0.0561284j 0.0276162+0.0358931j 0.0276521+0.0063188j 0.0197344+0.000969422j -0.0490265-0.0553543j 0.0280757+0.04051j 0.0372211-0.0566784j 0.0621023-0.0294276j 0.0368268-0.0822965j -0.00286511+0.0619483j 0.055175-0.13974j -0.015824-0.00826228j 0.0369337+0.037574j 0.0326501+0.0105938j -0.00291873-0.0192652j -0.0433393+2.32988e-05j 0.0378327-0.0460542j 0.0549702+0.0674342j 0.051905-0.0638382j 0.0179462+0.0328408j 0.0794986+0.0224264j 0.0917128+0.0380937j -0.0291808+0.0344572j 0.00175501+0.0373058j -0.0441901+0.0447979j 0.0235011-0.0661791j 0.0833347+0.0322194j 0.0193324-0.0210499j 0.0169047+0.00651313j -0.0496816+0.0105867j -0.0422386+0.0599955j -0.044935+0.00111837j -0.00342881+0.0354273j 0.0249835+0.0309116j 0.00408525-0.0322497j 0.0123106+0.000674562j 
0.0210013+0.00810271j -0.00683989+0.0177673j 0.0115666+0.00931539j 0.0524532+0.0333295j -0.0262423-0.0221806j -0.00933391+0.0619238j 0.0475929+0.0231022j -0.0193294+0.0144556j 0.00408502-0.0488597j -0.0372677+0.0270607j 0.0300579-0.00509512j 0.0224301+0.0179136j -0.0327436-0.0304518j 0.0171211+0.0324112j -0.02775-0.0351527j -0.0393748+0.0204771j -0.0307313-0.0177772j -0.0634652+0.0136089j -0.0890691+0.0241354j -0.066985-0.0320806j 0.0449964+0.033834j -0.00554998-0.00837249j 0.00541683-0.00814162j -0.0402293+0.00637884j -0.0339661+0.036964j 0.0341957+0.0507204j -0.00248687+0.0116708j 0.00593034-0.0196275j 0.0610647+0.0100931j 0.0390275-0.0631771j 0.02152+0.0235881j -0.0210228+0.00805712j 9.90223e-06-0.077884j 0.0454827+0.0519571j 0.148467+0.00954447j 0.0244061+0.0962693j 0.0238177+0.0298184j 0.0381095-0.0299646j 0.0781494-0.00423929j -0.0266087+0.0808709j -0.00700568+0.00248181j -0.190414+0.0131071j 0.0595022+0.00420122j 0.00634916+0.0483356j 0.0103937+0.0733589j -0.0142378-0.119133j -0.0404776-0.0424366j 0.0166555+0.0466905j -0.0629955+0.00184199j -0.0119227-0.0688141j -0.0871963-0.00012967j -0.0143803-0.0173029j -0.0147599-0.00214433j 0.00522311+0.0880177j -0.0340287-0.0816489j -0.0999822+0.0901281j 0.00631485-0.0143864j -0.0952225-0.104139j -0.0664102+0.0217701j 0.0386516-0.0772029j 0.0374216-0.0646603j -0.00158361-0.0480879j -0.0510427+0.0355326j 0.0670062-0.0634977j 0.123171+0.0253123j -0.014281+0.0494133j 0.0269346+0.0348054j -0.00920983-0.0155498j -0.111975+0.00282277j 0.0570819+0.0657378j -0.0477066+0.0330824j -0.0969555+0.0173699j -0.0538213+0.0384537j 0.0150154+0.0176347j -0.0728096-0.00295873j -0.0302669-0.0717298j -0.0143892-0.0490513j -0.101078+0.0705014j -0.0840716-0.0469279j 0.0511922-0.0436879j 0.0800203+0.0425281j -0.042464-0.0387052j 0.0739538+0.0687729j 0.00096426-0.0259087j 0.157225-0.0280549j 0.0573655-0.0889371j -0.0778987+0.04099j 0.0787876-0.0195881j -0.00247+0.0157547j 0.0563459-0.0198659j -0.0281769-0.0447464j 0.0889909-0.0894963j 0.0814991+0.0102679j 0.00932165-0.0104999j 0.00128817+0.0596047j -0.0268259+0.0369901j 0.0334792+0.0322463j 
-0.0183009+0.041625j -0.0360151+0.00581865j 0.0555823-0.0277341j 0.0445998+0.014084j -0.0183186-0.000130677j 0.0122387+0.0715113j 0.0323423-0.0221406j 0.00338249+0.013089j 0.0425399-0.0455062j 0.00414131+0.0412757j -0.0185693-0.00217708j 0.00372129-0.0133651j -0.0204696-0.040444j 0.0354455+0.033976j 0.0308536-0.0599591j -0.0158584-0.00278168j -0.015447-0.0676067j 0.0197188+0.0526703j -0.0271603-0.0060557j -0.0112196-0.0721523j 0.0597664+0.0161276j -0.0235335+0.00866389j 0.0422566+0.0175162j -0.0192966+0.0147984j -0.0222472+0.0121918j 0.0747771+0.0781726j -0.00133818+0.0240312j 0.00856164-0.0601469j -0.094038-0.00108969j 0.00733924-0.011826j 0.0446195-0.0274629j 0.0104518-0.0408821j -0.0359976-0.0274395j -0.00266252+0.0490584j -0.0257362+0.018546j -0.00865538-0.00957181j -0.00814417-0.104188j 0.0340484-0.0588529j 0.00303767-0.0118172j 0.0276076+0.0896723j 0.0136865-0.0551499j -0.0067205-0.041309j -0.0285754-0.0075205j 0.0224842+0.00193122j 0.00502514-0.0665238j -0.131563+0.036823j -0.0710212-0.00475618j 0.114153+0.000286682j -0.0136111-0.0668606j 0.0448984+0.0162286j 0.0645802+0.0219094j 0.0211232-0.00639969j -0.0458405-0.00826377j 0.0457853+0.0516882j -0.0575172+0.00803256j 0.0685288-0.00310016j -0.0327918+0.0427877j -0.0282569+0.0123736j 0.013379+0.0206275j -0.051485+0.0425716j 0.00893664+0.0188605j 0.00954557+0.0053118j -0.0565515+0.00414026j -0.0368954+0.0384631j -0.0716607+0.0552088j 0.0395047-0.00371235j 0.0952288+0.121376j 0.00384901+0.0310228j -0.00643375-0.0912479j -0.0663141+0.0565684j -0.0428595-0.0185635j 0.00500605+0.0423973j 0.0299661+0.0100148j -0.0121171-0.0677827j -0.00877708-0.0121721j 0.0194689+0.0193065j 0.100605-0.0646401j -0.0504945-0.00809645j -0.0466666-0.0984548j 0.0481042+0.0106419j -0.048017+0.0298775j -0.118922-0.0117447j 0.0278697-0.0338481j 0.0711462-0.0356491j -0.0714759+0.0650872j 0.0837577-0.00342585j -0.00960849-0.0188655j -0.0417293-0.0263536j 0.00324061-0.0233827j -0.0427071-0.0510364j -0.0355665+0.020686j 0.0391241-0.0544846j 0.0076902+0.0067514j -0.0466474+0.021801j -0.0155605+0.0412808j -0.0440057+0.00756984j 0.00929942+0.0215521j 
0.0196411-0.00430466j 0.0461891+0.0612083j 0.0416168+0.0184161j -0.00539845-0.026236j -0.0221088-0.039776j -0.0487548-0.0176576j -0.00296876+0.00235623j 0.00541259-0.0156898j -0.0191396+0.00435711j -0.0422112-0.017611j 0.00824435-0.0289558j -0.0537217+0.0452043j 0.109204-0.0777028j -0.0660454-0.0862984j -0.00264609+0.0675515j -0.0841731-0.0309953j 0.05161+0.124873j 0.0462937-0.0113223j 0.017666+0.0359655j -0.0205187-0.00552309j -0.0456056-0.0963262j -0.00220149-0.0364746j -0.0274196+0.0541369j 0.0399317-0.00440992j 0.0100836-0.0543999j -0.00344843-0.00169781j 0.0767273+0.0327047j 0.0107329+0.0634287j 0.061528-0.0280189j -0.0248328-0.0751306j -0.001809+0.00623827j -0.0452982-0.00262154j -0.00445068-0.0145832j -0.0519417+0.023385j 0.063857+0.0652396j 0.0711538-0.0438023j -0.0406142-0.0226308j -0.077872-0.0480123j 0.0316347-0.0698699j -0.108113+0.0523616j -0.0731903-0.0119255j -0.0338328+0.0845727j -0.0141642+0.0062335j 0.0261156+0.0377204j -0.0397213+0.0782237j -0.0100424-0.00542424j 0.021543+0.0722765j 0.0837233-0.0456266j 0.0113351+0.0552337j -0.113764-0.0297323j -0.0563685-0.0195878j -0.043209-0.0104728j -0.0161296+0.0458968j -0.0372385+0.0534982j 0.0328254-0.0363754j 0.0279859+0.00776159j -0.046833-0.0786282j -0.0493535-0.0213568j -0.0810639+0.0458058j -0.0592465-0.0107142j -0.0403218+0.0322087j 0.0027567+0.0519754j 0.0484629-0.0638562j -0.052051+0.0067937j -0.0159183+0.0137397j -0.0322393+0.0175853j -0.0749339+0.0173802j -0.0661701+0.0175611j -0.022349+0.0252459j -0.0381454+0.0628158j 0.0143716-0.00182167j -0.0678422-0.0278287j 0.0431592+0.013882j -0.0178894+0.0505509j -0.0253542+0.0692914j 0.0119158-0.127755j 0.0240979+0.00964593j -0.0362802-0.0521105j -0.0372804-0.0102958j 0.0694484+0.0727143j 0.00577583-0.0831225j 0.00106614+0.0456107j -0.118788+0.131884j 0.13152-0.0500269j -0.0455317+0.0648963j -0.0379796-0.0483114j -0.0273435+0.0519989j -0.0318144+0.0521142j 0.0249924+0.0573739j -0.000223973+0.000870771j 0.0200794-0.00961402j -0.0142943+0.0209823j 0.0382816+0.0271779j -0.0340414-0.000236918j -0.0106019+0.00936711j -0.0185958+0.0757307j 0.0211633+0.0326342j 
0.0334963+0.000639362j 0.000923477+0.0122616j -0.0336133+0.0466346j 0.0566209+0.00699016j 0.0226536+0.0546389j 0.0152904-0.00463319j 0.0373457+0.0194674j -0.0172136-0.0308762j 0.0161048+0.004359j 0.0346919+0.0304015j 0.000161921-0.0080482j 0.0230048-0.00141598j -0.026293+0.0190725j 0.0298474+0.0452402j 0.0276855+0.00202045j 0.0413559+0.00809259j -0.0119689-0.029992j -0.0487083+0.0241313j 0.00929445+0.061083j 0.010025-0.0209105j -0.000321696+0.0718991j -0.0258678-0.0485351j 0.00789671+0.0254323j -0.0378864-0.0250266j 0.00619893-0.0342544j 0.0275523+0.0360722j -0.0028272-0.0246059j 0.0187579-0.0472809j 0.0980716+0.0760585j 0.046342-0.0420139j -0.0383653-0.0751946j -0.0904159+0.0488391j 0.0183959-0.0410193j 0.120868+0.0942105j 0.0854047-0.0131368j 0.00114523+0.141934j -0.099007+0.0722194j 0.0181502-0.0207876j 0.106233-0.0821653j 0.0936316+0.00914485j -0.0997998-0.114639j 0.0564524-0.0261952j -0.0594153-0.0781546j -0.0691623+0.0374732j 0.0122946-0.0401069j 0.023801+0.0836264j 0.00389556-0.0904199j 0.0284747-0.046973j -0.140424-0.0584595j 0.0222136+0.00325987j -0.0186247+0.0285962j -0.0359158-0.067045j -0.0143246+0.0715227j -0.00378447+0.0475903j 0.0696001-0.0518046j -0.00200651+0.072933j -0.0277093+0.0861792j -0.0829843-0.0549959j -0.00995862+0.0624908j -0.0214236-0.0518806j 0.0139801-0.0194976j 0.00819066+0.0260198j -0.0173894-0.103596j -0.0395582+0.0366026j -0.102441-0.038096j -0.0173754+0.0741677j -0.0395563+0.00299373j -0.0486737+0.0462706j 0.0341627+0.000188076j -0.058158-0.00297031j 0.0667208+0.039382j 0.0103965-0.0203933j -0.0745022+0.079599j -0.0513156-0.0849689j -0.0218837+0.0281951j -0.098921-0.0198963j 0.0181446-0.0207761j -0.0418207-0.0273308j -0.0182096-0.0204305j -0.0964554-0.00153959j -0.0493134-0.0230595j -0.0588015-0.0694465j -0.0387992+0.040816j 0.0025403-0.0543342j -0.0117189+0.0152563j -0.0377113-0.0542103j -0.0120805-0.0425416j -0.0251577-0.0679301j 0.0276947+0.0289261j 0.0364159+0.0072165j 0.0387315-0.0290506j 0.0831237-0.0516231j 0.00853947+0.00522673j -0.00440479+0.0171336j 0.0633457+0.0204117j -0.00579932-0.0119312j 0.0377564+0.0148153j 
