0.0631973-0.308899j -0.263886-0.0214823j -0.0666311-0.105755j 0.0124123+0.00613671j 0.162926+0.15963j 0.0696852+0.00291113j -0.175461-0.0124168j 0.0585411-0.211723j -0.0718424+0.252603j 0.0204997+0.0401906j -0.185031+0.0784422j 0.044247+0.248585j 0.0115887-0.0414502j 0.0233313-0.270503j -0.350908-0.0197109j -0.179104-0.0646195j 0.195122+0.0351156j -0.0880475-0.0994998j -0.0074584-0.0119081j 0.000538227-0.04184j 0.101234-0.0140531j -0.0533112+0.102316j 0.0237103-0.0418252j 0.0353966-0.0152705j 0.0518779-0.0554392j 0.0501472+0.0240515j -0.00528987+0.0089209j 0.015507-0.0731255j 0.0142594-0.0549274j 0.003762+0.0731919j -0.0284184+0.0445972j 0.0942253-0.117803j -0.0861154-0.0967322j 0.14299-0.0431235j 
0.000195121+0.0541664j 0.0489076-0.0377782j -0.0135482+0.0404075j 0.00654734+0.00910733j -0.0307671-0.0281634j 0.010791-0.042674j 0.00934725+0.0172572j 0.00967309-0.0254794j -0.0201563-0.000153868j -0.0272545+0.0244558j -0.0190092+0.083602j 0.0463503-0.026271j 0.00484357-0.00351099j 0.0139276-0.0157268j -0.0130839-0.0113491j 0.0186827-0.00490841j 0.0222727+0.00885018j -0.0493684+0.0022591j -0.0516706-0.021956j -0.0338429+0.0374203j -0.0394133+0.0823604j 0.0147263-0.093475j -0.0446283+0.0197482j 0.00258918+0.0426979j -0.0518495-0.0402796j -0.00549462-0.0376982j 0.0178908+0.0260022j 0.038668-0.0211598j 0.0902772+0.0230941j 0.0136246-0.0225581j 0.0120633-0.0327968j -0.0801607+0.0952963j 0.0471716+0.0207195j -0.0400508+0.0065392j 
-0.01152-0.00226761j -0.00291037-0.00969755j -0.00603596-0.00974169j 0.00740025-0.00261466j 0.0199251-0.0216919j 0.00640378+0.000908014j 0.00704123-0.0144566j -0.0170488+0.00667048j 0.0152332+0.00671132j 0.00679894-0.00501439j -0.0259187+0.039577j -0.0175658+0.0306468j 0.00326886-0.0314272j -0.00223902+0.00865016j -0.0146802-0.00635513j -0.00844482+8.84273e-06j 0.0127439+0.0201247j 0.0122636-0.027811j -0.00182282+0.0147482j -0.0220349+0.000379536j -0.0247648+0.0269914j 0.0224796+0.012426j -0.0249402+7.73052e-06j -0.030021+0.00369046j -0.0175206-0.0223865j -0.0174733+0.0140818j 0.050336+0.0156899j -0.00725935-0.00565214j 0.0198497+0.0125876j 0.0109425-0.0164237j 0.0205929-0.0166867j 0.0429041+0.010562j -0.00297563-0.00921841j 0.0686122+0.00248422j 
-0.00876389+0.00622093j 0.0071475+0.0332706j -0.0087174-0.00848578j 0.00960366+0.0120747j -0.0235455+0.0210488j -0.00839871+0.0189196j 0.0024853-0.0291447j -0.0139078+0.0216528j 0.0128824-0.013999j -0.001333-0.0122888j -0.00866927-0.00141855j 0.00376601+0.0100287j -0.0240995+0.0024866j 0.0543302-0.00698694j 0.00726362+0.00803445j 0.00015267-0.0294269j 0.0295728-0.0182056j -0.0222152+0.0514277j 0.0162085+0.00322605j -0.0120128+0.0159767j 0.0021134+0.0163307j 0.0107232-0.054601j 0.0192927-0.0113553j -0.0062148-0.0432111j -0.00230521-0.0220185j -0.0271669-0.00511721j -0.0163101+0.00831474j 0.0477204-0.0181853j 0.0207625-0.0188518j 0.0363387+0.0536245j 0.0142232+0.0213333j 0.000386016-0.0109711j -0.0292517+0.00222652j -0.00281502-0.0192535j 
0.0373351+0.0446452j 0.0219221-0.0134076j -0.000384199+0.0180231j 0.0317004-0.00812264j -0.00760231-0.0326585j -0.0137094-0.0334443j -0.0103107+0.00173684j -0.0109864+0.000796684j -0.000807696-0.00896654j -0.0129826+0.0143821j 0.0158247+0.0862637j 0.0133869+0.00260759j 0.00894242-0.0193366j -0.0131915+0.0513003j 0.0245255+0.0139335j -0.00241333-0.00175424j -0.000960967+0.00265711j 0.0329102-0.0460773j -0.0379787+0.0190152j -0.0129751-0.0271185j -0.0399639-0.00380517j 0.00937052+0.00407862j 0.0340922+0.0367751j 0.00015791+0.0342445j 0.0320067-0.0256612j 0.0405153-0.00139754j 0.000248465+0.0344537j 0.0504551-0.0130351j 0.0325663+0.032039j 0.0189262-0.0470689j 0.00269518-0.0202642j 0.0138741+0.0328416j 0.0102729-0.00730662j -0.010294+0.00605571j 
0.00292785+0.00659286j -0.00143942+0.0184573j -0.00803759+0.00378504j -0.0111298+0.00562101j -0.00580124+0.0215772j -0.00266785-0.00634694j 0.00602465+0.00365163j 0.0057491-0.014485j -0.00635003+0.0164425j 0.0155755-0.0023956j -0.0236968+0.0040524j 0.00774749-0.00373661j -0.00493814+0.013941j 0.0182698+0.0037517j 0.00623916-0.00969273j 0.01089+0.00604919j 0.00894192-0.0109017j -0.0065238+0.00470463j -0.00158624-0.00161937j -0.00759975-0.00096113j -0.0266713+0.0147438j 0.0328168+0.00140089j -0.0136651-0.0124907j -0.0020208+0.000158707j -0.0506053+0.00853338j -0.0384606-0.00146797j 0.000932779-0.00298667j -0.0278207+0.00595552j 0.000725533+0.0178722j 0.0058783+0.00379751j 0.0081408+0.00224116j 0.0252894-0.00491451j -0.00651181+0.00744274j 0.0256745+0.0184454j 
-0.000977177+0.0061347j 0.00714544-0.00680829j 0.0438045+0.0147986j -0.0192474+0.0217604j 0.00598998-0.0067046j 0.0180588+0.0100583j -0.00903985-0.00222949j 0.00195214-0.0189849j 0.00967786+0.000211261j -0.0100283+0.00889242j -0.00109774+0.0189207j 0.0112299+0.00154018j -0.00506332-0.00970492j 0.00388429+0.0146521j 0.00771048+0.00525671j -4.56955e-05+0.00105612j 0.00231117+0.006067j 0.00755578-0.0116229j -0.00990197+0.00732025j -0.00796684-0.00429097j -0.0143629+0.00264045j 0.0144815+0.000571541j 0.00534432+0.00689932j -0.00476703+0.0123562j -0.000829164-0.0125573j -0.00118994+0.000793203j 0.00790756+0.00484638j 0.00709598-0.0025637j 0.00955262+0.0113844j 0.00851408-0.0110196j 0.0010947-0.00327885j 0.0107428+0.0065044j 0.000854535-0.00395584j 0.0067308+0.0046905j 
0.000408512-0.00303622j 0.00518971-0.0111568j -0.0156925+0.0151581j -0.00560589-0.0138066j 0.0336246+0.00840905j 0.00799288+0.00905126j 0.0124967-0.0103735j 0.0078228+0.00519167j -0.000928979+0.00548965j -0.0140381+0.0139756j -0.0451324-0.00330741j -0.0180315-0.00649765j 0.00819688+0.00729984j -0.0284716-0.0176268j 0.00413735+0.00264193j -0.0145848-0.00679748j 0.0074282-0.0130339j 0.0224282+0.0427529j -0.00591724-0.02281j -0.0153338+0.0142211j -0.0234207-0.0111926j 0.0223542+0.0111555j 0.00990456-0.0028483j 0.0110093-0.0261271j -0.00526856+0.0396729j 0.00755589+0.0748505j 0.00434977+0.00993636j -0.00435827+0.0221299j -0.00352681+0.0214201j 0.0125679-0.0460458j 0.00149497-0.0122714j -0.0148333+0.00692885j 0.0255525-0.0138333j 0.00461948-0.00556771j 
-0.00752472+0.00846333j -0.00580886+0.00957648j -0.006984-0.00700543j 0.00156361-0.000356026j -0.0151197+0.00132933j -0.00249575+0.00431524j 0.0140976-0.000320942j -0.00193832+0.00987138j -0.0119069-0.00167156j 0.0249194-0.000787744j 0.00396754-0.000713614j -0.00606082-0.0136453j 0.0129108+0.00135589j -0.000587223-0.0171528j -0.00617207-0.00560637j 0.0029818+0.00159855j 0.00958171+0.00730353j 0.0015345+0.00303339j -0.0126773-0.0238041j -0.0072311-0.00412759j -0.00996302-0.0136803j -0.0100554+0.00758133j 0.000648811+0.0050792j 0.034792+0.0112693j -0.0274196-0.0152997j -0.0254773-0.00314771j -0.0177684-0.00780311j -0.0150249-0.00909911j -0.0144478-0.0126732j 0.0136486+0.0184805j 0.00332212-0.000975922j 0.0248919-0.0192513j 0.00289511+0.0115409j -0.0100029-0.00566245j 
0.00695436-0.0157409j -0.0241401+0.0124195j -0.00805139-0.0130355j 0.000344972-0.0107637j 0.0136609+0.00733454j -0.00541138-0.00155421j -0.00564203-0.00122473j -0.00119975-0.0022395j -0.0023927+0.0114385j 0.0205576-0.00430203j 0.00844869-0.0156984j -0.00276829+0.000475831j 0.0115684-0.00671425j -0.035535-0.00595431j 0.000613027-0.011316j 0.00747357-0.0041932j 0.00569503+0.000965955j 0.0293641+0.00487934j 0.0229018-0.00505895j 0.00654861+0.00628545j 0.0196703+0.00688951j -0.0233757+0.00273249j 0.00879252-0.00920019j 0.00295866-0.0118906j 0.0562079+0.0028266j 0.0769222+0.00605261j -0.0057692-0.00327877j 0.0221165+0.00283783j 0.00265495-0.00834651j -0.0463198+0.00633757j -0.0139252-0.000207263j -0.0125167-0.0155447j -0.0248358+0.00230055j 0.00784477-0.0100308j 
-0.010807+0.0153627j 0.0134552+0.0276938j -0.00731669-0.00731168j 0.00296657+0.00620105j -0.0384389+0.0199224j -0.00906608+0.00582871j -0.00548413-0.0169674j -0.00164731+0.00160589j 0.00764086+0.00646707j 0.00840799-0.0115224j 0.00975863-0.0115558j 0.0151256-0.0165048j -0.00421379-0.0131825j 0.036146-0.0152669j 0.00704569+0.00435306j 0.0054155-0.0325663j 0.0149826-0.0349968j -0.00201362+0.0160071j -0.0211309-0.0416958j -0.0107364+0.0175606j 0.0211434+0.0236452j -0.0189133+0.004543j -0.000316995-0.0139869j -0.0121646-0.0485188j -0.0218146-0.0287192j 0.0266206+0.0344423j -0.0106882-0.0154111j 0.0329441-0.00441795j 0.0241419+0.0238933j 0.064457+0.000943715j 0.00818264-0.0121861j 0.0347196+0.000373936j -0.0478184+0.0206274j -0.00659297+0.000304331j 
-0.0123809-0.00468916j -0.00504005+0.0150667j 0.00460907+0.000215023j -0.0246341+0.000557927j -0.00726707+0.00860232j -0.012316+0.00836054j 0.014056+0.00933913j -0.000714172-0.00270303j -0.0228342-0.00979204j 0.0213618-0.00875603j -0.000946126-0.00298458j 0.00794606+0.00365976j -0.013868+0.00300691j 0.0207017+0.0191567j 0.00724843-0.00990161j -0.0194554+0.017696j -0.0220453+0.00283961j -0.0264824-0.0165644j -0.00527969-0.0234902j 0.0150602+0.0287137j -0.000772047-0.0262328j 0.00207958-0.0367396j -0.0229308-0.0155251j -0.0329426-0.0484179j -0.00317447+0.037664j -0.0267399+0.000432688j 0.0142616+0.0323808j -0.0226653+0.010963j -0.0191874-0.00505111j -0.0528506-0.00687592j 0.00995188+0.0187815j 0.00690832-0.00102768j -0.00514118+0.00851456j -0.0081107-0.000306077j 
-0.00461467+0.0137052j -0.0195989-0.012955j -0.00945591+0.0182747j -0.00115283+0.00423863j 0.00204116-0.0385705j -0.0098946-0.0149238j 0.0111905+0.00412351j -0.00289859-0.00538653j -0.00130965+0.00424208j -0.0147707+0.0108003j 0.00171538+0.0273074j -0.0228138+0.00869163j 0.00227549-0.004836j 0.00759389+0.00750516j 0.00265077+0.0113143j -0.0064043+0.0136195j 4.56974e-05+0.00296202j 0.0113849-0.0308086j -0.0325059+0.00809254j -0.0118335+0.0100495j -0.0261221+0.0383224j 0.0319303-0.0272655j -0.00641608-0.00458124j -0.0237704+0.00115023j -0.00132571-0.0153875j 0.0139212-0.0139644j 0.0129527+0.000420125j 0.0142472-0.00388375j 0.0273033+0.008068j 0.000249245-0.00620736j 8.5426e-06+0.000254683j 0.018851+0.0132226j -0.0110678-0.0205062j 0.0106334+0.00935215j 
0.00390444+0.00288456j -0.00548843-0.00995343j -0.00276464-0.00292815j -0.0013651-0.0030517j -0.0101684+0.00555138j -0.000513564+0.0022625j -0.0152811+0.0120107j -0.0175065+0.000777277j 0.0142885-0.0060642j -0.0208106-0.00631447j 0.0139092-0.00732546j -0.011894+0.0119615j 0.0115656+0.0152392j 0.0192305+0.00727598j 0.00690241+0.00800521j 0.00109218+0.0078994j 0.0184287-0.0152784j -0.00239186-0.0103247j 0.00514544-0.0106652j 0.0143093-0.0118302j 0.0193965-0.00210812j 0.00337594-0.0111004j 0.00171727-0.00321543j -0.00558861-0.00841743j -0.0086337+0.00715161j -0.000117388+0.00951279j 0.00171518+0.00435194j 0.00713192-0.0118242j 0.0242563+0.0205168j 0.00833324+0.0151568j 0.0204976-0.0099014j 0.0021115+0.0017978j -0.00747097-0.0127665j -0.00455248-0.000232781j 
-0.00175494-0.0217177j -0.00827609+0.00859621j 0.00502818-0.0104816j 0.000400098+0.00937043j 0.0163352-0.0169592j 0.00322604-0.000537875j 0.000172818-0.00980333j 0.00113166-0.000922655j -0.0148957-0.00655224j 0.000772161+0.000850695j 0.000329809-0.00439744j 0.00209079+0.0189125j -0.0167665-0.0148534j -0.00285307-0.00541745j -0.0118311+0.0128j 0.0093905-0.0215791j -0.00947272+0.00826465j 0.00276429-0.00439953j -0.000601961+0.00140551j -0.0165734+0.00711267j -0.00556439+0.0141597j -0.0148267+0.0521964j -0.0196405-0.0116486j -0.0139566-0.00841663j -0.00450326-0.0152389j 0.00121108+0.014838j 0.00626807-0.034483j 0.0177964+0.0200154j 0.00629428-0.0106446j 0.00240708-0.0114962j -0.0179763+0.0222261j 0.00370319-0.00727573j -0.00634684-0.0122985j 0.0209881-0.00110011j 
0.00840973+0.0132251j -0.0084376-0.00393239j -0.00203319+0.00980259j -0.0161302+0.0103292j 0.018546+0.0163961j 0.00357394-0.00640091j -0.00126382-0.0137198j -0.0138515-0.0129879j -0.00300489+0.00193097j -0.0151844-0.00251362j -0.00360354+0.0063657j 0.000342282+0.00290722j -0.0049425-0.00907344j 0.000121965+0.00111549j 0.0013236+0.0048288j 0.0051813-0.00740094j -0.0198141+0.00727603j 0.00303162+0.0203696j 0.0137347+0.0045643j -0.0144371+0.0106796j 0.00813014+0.0129516j -0.00564824+0.0170596j -0.00567334-0.00228925j 0.013486+0.0121364j -0.00208658-0.0189346j -0.000825453-0.021313j 0.00319477-0.0420116j 0.00324493+0.0265751j -0.00993792+0.00478349j 0.00400639-0.0103231j -0.0199136+0.00793841j 0.00444049+0.000779737j 0.00389579+0.00342677j 0.00314046+0.00159904j 
0.00987754-0.00133511j -0.0339517+0.00194654j -0.0183692-0.000854919j 0.0173905+0.00139148j 0.0135462+0.00766716j -0.000852116-0.00741949j -0.0147119+0.00062782j 0.00765126-0.00643418j 0.0268026+0.0273045j -0.00681974+0.00864507j -0.0137864-0.0010505j -0.00235609+0.00992618j -0.0100751-0.011304j 0.0132756-0.000828815j -0.00653019+0.00684107j -0.0138337-0.00741252j 0.0041172+0.0160581j -0.00950819-0.00286128j 0.0178714-0.0060085j -0.00926271+0.00832329j 0.0059681-0.00395474j -0.0252065+0.00403195j -0.0116228+0.0044684j -0.0220228-0.00410506j 0.00613595-0.00462313j -0.00379693-0.000332778j 0.0144749+0.0191827j -0.000297086-0.000794872j 0.00815651-0.00711679j -0.0264027-0.00710721j -0.00332533+0.0110128j 0.0106609-0.0122138j -0.00759472-0.00855281j 0.0115808-0.00824555j 
-0.0268737-0.0113079j 0.0013833-0.00358669j -0.0235123-0.011247j -0.020541-0.0150253j 0.00158614-0.00786813j 0.00953859-0.00448141j 0.00317591-0.00541226j 0.00142809+0.00442165j 0.00541331+5.61139e-05j 0.02129-0.00630229j -0.0397746-0.0101911j -0.0134475-0.00702054j -0.00994964-0.0185606j 0.00902435+0.0183381j -0.0112429+0.00280198j -0.00785629-0.00949414j -0.00187479+0.00940567j 0.0088806+0.0080752j 0.0279019+0.00292677j -0.00947773+0.00788454j 0.00424427+0.00485497j -0.0129071+0.0118289j -0.0333067-0.00612818j -0.0322783-0.021072j -0.0256058-0.00271528j -0.0140183+0.00238492j 0.0242138-0.0102926j -0.0130407+0.0104087j 0.00563607-0.017512j -0.00885902-0.00266799j 0.0018252+0.00899057j 0.0407216-0.0137573j -0.00123814-0.0196022j 0.0344195-0.0162724j 
0.0103895-0.0073677j 0.0161247+0.00559652j -0.00654028+0.0167353j -0.0119479+0.00529118j -0.00201999+0.0235875j -0.00159283-0.00250307j -0.00313991-0.00348617j 0.00164674+0.005029j 0.0120698-0.0083076j -0.00471242+0.00295151j -0.0152934-0.00954937j -0.00333417-0.000370761j -0.0183977+0.00563326j -0.00551561-0.0199288j 0.00632364+0.00689493j -0.00262833-0.0289677j 0.00727232-0.00972952j -0.00180526+0.0146961j -0.00380979+0.0180899j 0.00767835+0.00866685j -0.000477918+0.0100276j 0.00301339+0.00778491j 0.00254023+0.016497j -0.0124961-4.64568e-05j -0.00828601+0.00144374j 0.00872139+0.0185305j -0.00400275+0.014659j -0.00362907-0.0123986j -0.0269847+0.0152976j -0.0026994-0.0182915j 0.00327148+0.00272774j -0.00142803-0.00488362j 0.00569185+0.0153659j 0.0048464-0.00171994j 
0.000325587+0.00116793j 0.012749+0.00496844j 0.00308084-0.00820377j -0.0145931-0.0101009j 0.0094217+0.00338152j -0.011229+0.00623356j 0.00260286-0.006667j -0.0100699-0.0128687j -0.00712525-0.00702823j -0.00421848-0.00799286j -0.00643165-0.00921876j -0.00538335-0.00326807j 0.0360632+0.00270979j 0.0162369+0.00633131j 0.00552234+0.00536334j -0.0355593-0.0128857j -0.024026-0.020116j -0.0268493-0.0125168j 0.00593664+0.0161743j 0.0109493+0.0165994j -0.00532588-0.0190776j -2.07356e-05+0.00998034j 0.0186839+0.0276689j -0.0173357-0.00974168j -0.00719695-0.0211484j 0.00912745+0.0288645j -0.00659953-0.0151826j -0.0261741+0.00119335j 0.0216968+0.00129431j 0.001146+0.0158379j 0.0320479+0.00667039j 0.00498641-0.000167807j 0.00205752-0.00750597j 4.5225e-05-0.00177091j 
-0.00988998+0.00639564j -0.0197265+0.001033j 0.00976209-0.00135323j -0.0042347+0.00741442j -0.0123444-0.015543j 0.00308853+0.00319657j 0.00584852-0.000289827j -0.00150011-0.00550137j 0.00469391+0.0175792j 0.0141638-0.00414908j -0.00756645+0.00179847j -0.00769349-0.00799993j 0.0167763-0.00798485j -0.00676587+0.0069741j -0.0132335+0.0132707j 0.0218433-0.026212j -0.0207653+0.000723537j -0.0178914-0.00752139j 0.0138174-0.0256751j -0.0236754-0.0107257j -0.0499577-0.00693521j -0.00323996-0.0159156j 0.011365+0.014189j 0.0135778-0.0110913j 0.0298794-0.00635377j -0.0261514+0.0261451j -0.0201074-0.00768525j -0.00802324+0.0019427j -0.00785048-0.0278365j -0.0073166+0.0210575j -0.0130592+0.0126168j -0.00891025+0.022779j -0.00230588-0.0159288j 0.00210332-0.00748941j 
