-0.00552706-0.0391219j 0.0537053+0.0331215j 0.010243+0.00739014j -0.0391002-0.0500708j -0.0387125-0.0249071j -0.0804114-0.0268854j 0.168287+0.0806914j 0.0859817+0.0470674j -0.0887867+0.243575j 0.00833088-0.0430502j -0.231908-0.0478381j 0.0442238+0.0842508j -0.034024+0.0511111j 0.140426-0.0757116j 0.00967697+0.0569253j 0.0416628-0.0264407j 0.110085+0.106978j -0.0133597-0.0949049j -0.158511+0.0625401j -0.152515-0.00380236j -0.122773+0.0014826j 0.0884457+0.00829688j -0.00956467+0.0731704j -0.0106846-0.0865583j -0.0826298-0.0223624j -0.0249434+0.0763223j 0.114471-0.0694967j 0.0685584-0.153774j -0.10399-0.164251j -0.0611536+0.174281j -0.177079+0.0737912j 0.0292774-0.0624869j -0.0461472-0.0374923j 0.0606418+0.13226j 0.171978-0.130288j -0.152306-0.230033j 
0.0144734+0.00354312j 0.00402235-0.00636821j -0.00375716+0.00269728j -0.00822287+0.00534431j 0.0199305+0.0319414j 0.0160716-0.0113801j -0.0112069-0.00936587j 0.000388019-0.00268311j 0.00384681-0.0161464j 0.0222475+0.0146991j 0.0269355+0.0119679j -0.0171604-0.0233342j 0.0149004+0.0104757j -0.00825765+0.0213762j -0.00138011+0.0161594j -0.00609775+0.0234706j 0.0205412+0.00731042j -0.0134649+0.00362621j 0.0277182-0.00833136j 0.0196097+0.00630604j -0.0418106+0.0135948j 0.020494-0.013596j 0.0143903-0.040691j 0.0101296+0.0188706j -0.00489096+0.0441446j -0.0128626-0.0152411j -0.010425+0.0339907j -0.00287979-0.00893504j 0.0573472-0.00124347j 0.00100454-0.00761469j -0.00573337+0.0229473j -0.0112076-0.00274457j -0.00889797-0.0284889j -0.0439332+0.0433938j -0.0317069-0.0115119j 0.0185856+0.0451758j 
0.0171825+0.00463113j 0.00798285+0.00607809j 0.00829299+0.0078005j -0.0062806+0.0171393j 0.0102325-0.0172155j 0.00444476-0.00622704j -0.000906728-0.00722002j -0.0149121-0.0397983j 0.00167177-0.014472j 0.0317274+0.000161467j 0.00608644+0.00501276j 0.0153052-0.0070752j 0.0117014+0.00904201j -0.0084899-0.0027917j -0.0127595+0.0232974j -0.00843395-0.0181442j -0.0194147-0.00775469j -0.0376397+0.00485244j 0.00644548-0.0199498j 0.0151183+0.0245432j 0.0295791+0.0210007j 0.013081-0.0304914j 0.0284458-0.00162462j 0.00387247-0.00115974j -0.0119321-0.00830612j 0.00785303-0.00271227j -0.0114647-0.012411j 0.00482532+0.00939645j 0.00682564+0.0258078j -0.0123083-0.0338629j -0.0261725+0.00237161j 0.00551449+0.0428838j -0.00935724+0.00387629j -0.011767+0.00999999j 0.00788041+0.0165389j 0.00932492-0.011605j 
0.021815-0.0308193j 0.0218621+0.00539245j 0.00893728-0.00794373j 0.00723436-0.026434j -0.0341971+0.0228707j -0.0168377+0.00699541j -0.00319736+0.0150045j 0.00157885-0.0284316j 0.000270793+0.00268528j 0.0060416+0.0102705j 0.0156432-0.0132682j 0.0242443+0.0208062j 0.00041186+0.00875265j -0.0240251-0.0174296j -0.00500294+0.0229343j -0.0255285+0.000945752j 0.0284203-0.0132879j -0.00528054-0.0137064j 0.00362698-0.0373923j -0.0320832+0.0220437j -0.0433325+0.0309545j -0.00928945+0.0154424j -0.000959459-0.0307012j 0.00353263+0.0224213j 0.00233583-0.0154878j 0.00773564-0.0319927j 0.00109089-0.0372824j -0.00966418-0.0277303j 0.0672095-0.00252063j 0.00976054+0.00729612j 0.0388062+0.0131919j -0.0102615+0.000603218j -0.0309665+0.0744833j -0.0267426+0.0207816j 0.0113565+0.0156948j -0.0148142-0.0616275j 
-0.0125438+0.000956528j 0.00628145-0.0110864j -0.00144922-0.0157069j 0.00332636+0.00877884j 0.0184869+0.0105272j 0.00925347-0.00067726j -0.00751033+0.0128796j -0.0239452+0.022795j 0.0112573-0.00487242j -0.0133884-0.0125422j -0.0175426+0.0278843j 0.038144-0.00990403j -0.00402626+0.0287358j -0.0161752-0.0203671j -0.0140204+0.0209569j -0.0112594+0.0058795j 0.0113347-0.0162444j 0.0569012-0.0133833j -0.00919529+0.0037087j -0.0191896-0.0155571j 0.0255666-0.0119858j 0.00230445-0.00553632j -0.015865+0.000927086j 0.00169324-0.00274473j -0.00112795-0.00232866j 0.0312702+0.00914333j -0.000602394+0.00735127j 0.016468+0.00569915j 0.0159048-1.87029e-05j 0.0167646-0.011362j 0.00343818-0.0158013j -0.00722475+0.015197j -0.0282821+0.0140483j -0.0134366+0.03325j -0.0115466+0.00267648j 0.00842664+0.00347602j 
0.0150602-0.00327735j 0.00391281-0.0117253j -0.0232425+0.00244771j 0.00439575-0.0199231j -0.00505172-0.00983967j -0.0121181-0.00601731j -0.00206987+0.0109596j -0.00719601+0.00198723j 0.00250931+0.0190563j 0.010159+0.0444897j -0.00462794+0.0132952j -0.00565264-0.0150676j 0.00557933+0.0112853j 0.0214802+0.00744303j -0.00393406-0.0251095j 0.0343038+0.0406481j 0.0264197-0.0298594j -0.00531242-0.0149904j -0.0031279-0.0149341j 0.00848131-0.0164455j -0.00963095+0.0112523j 0.00254093+0.00434455j 0.0152789-0.0125397j 0.00525386+0.0188064j -0.00406728+0.000153001j -0.01186-0.00878026j 0.00775578-0.00896543j -0.0119772-0.00256968j -0.000746681+0.00714485j -4.56157e-05-0.0130257j -0.0108368+0.00611695j 0.00694861+0.000723698j 0.00107858+0.00267102j 0.00507513-0.00896371j 0.0111316+0.00493189j -0.0103451-0.0134141j 
0.0146071-0.00483792j -0.00524755+0.0177276j 0.0203954+0.000612091j -0.00334165+0.00573102j -0.0108776-0.00287478j 0.00115081-0.00182788j -0.00530046+0.0160371j -0.00658778-0.0163998j 0.0222966-0.0172046j 0.0063407+0.0131127j -0.00628622+0.0143098j 0.0195086-0.011691j -0.0144729+0.00917683j 0.0176352+0.0031204j 0.017143-0.0223844j 0.000601752+0.0353909j 0.0127554-0.0291418j 0.0177472-0.0139821j -0.019454-0.0204016j -0.00822594+0.0084023j -0.0262551+0.00483509j 0.00531885+0.0160569j -0.00145215-0.031452j 0.00252702+0.0250088j 0.0216619+0.00875726j -0.00429074-0.00313284j 0.0154189+0.0115575j 0.0165001-0.00163368j 0.0216412-0.00613109j 0.0129228-0.0375374j -0.00545886+0.00984192j -0.00419675-0.0139973j -0.00459813-0.0180397j -0.00249593-0.00213537j 0.00452447-0.0137449j -0.0242304-0.00705534j 
-0.0109051-0.00219644j 0.0125388+0.0219176j 0.0138611-8.86108e-05j 0.00709596+0.00626917j 0.00402332-0.00203642j 0.00321761-0.0047262j -0.0206335-0.00603862j 0.00094074+0.014726j -0.00561474+0.0285713j 0.0285669+0.0146022j -0.017808+0.00781559j -0.0288204+0.00770886j 0.0370548+0.0134085j 0.0138054+0.00393909j -0.0255623-0.0210741j 0.0166786+0.039921j 0.00865879-0.0147488j -0.00731243-0.0247924j 0.0106463+0.0120708j 0.0104042-0.0384475j 0.0480425+0.00663308j -0.0129109-0.0219692j 0.0107225+0.0280803j -0.0177238-0.0222639j -0.0337661-0.0234936j 0.010304-0.000220282j -0.0320043-0.00174105j -0.00996757-0.00656086j -0.0544548+0.0153395j -0.0213671+0.0250408j 0.0140949-0.00370354j -0.00207699+0.0185233j 0.0201483+0.0145579j 0.015495-0.0114702j 0.0119799+0.0285135j 0.0289506-0.00820162j 
0.00936707-0.00732852j -0.0251167-0.00782772j -0.00184869+0.0316679j -0.00853149+0.00356836j 0.0125628+0.00556355j 0.0085594+0.00215589j -0.0230321+0.00795479j -0.0130699+0.00449241j 0.00614296-0.0223155j -0.0229543-0.00961559j -0.00586174+0.00462594j -0.00697356-0.00556428j 0.00632574-0.00267814j -0.0311615-0.00184221j -0.0142362+0.0055224j -0.0148116-0.00504615j -0.00526645-0.0138972j 0.0288012-0.0190096j 0.0144893+0.00714042j -0.0144176-0.00451262j 0.0333021+0.00662257j 0.0193049+0.0173852j 0.00349477-0.00112626j 0.00149669+0.00935662j -0.0107353+0.000836619j -0.0227648+0.00761127j -0.0236722+0.0102661j -0.0167734-0.00588824j -0.00156282+0.0198016j -0.00206971+0.00118148j -0.00245067-0.00747652j 0.000549308-0.0105059j -0.0176162-0.00892874j 0.0177192+0.0271933j -0.0201998+0.0167858j 0.0199685+0.0143147j 
-0.00482258+0.000370867j 0.00237117-0.016707j 0.00349593-0.000418245j -0.00610054+0.0215103j -0.00297301+0.0183943j -0.00270356+0.0254033j -0.00706097+0.00141251j -0.0106553+0.0099371j 0.0130518+0.0220274j 0.0194428+0.00120571j 0.0169442+0.00524808j 0.0497902+0.0133481j 0.0105776+0.0266101j 0.0171994+0.00976835j 0.00495953+0.0220668j 0.0114612+0.00729866j 0.0156756-0.0109774j -0.0203729-0.0244578j 0.0114772+0.00272061j 0.0051008-0.0113159j -0.0741238-0.0292313j -0.00609036-0.0146399j -0.022527-0.0023283j 0.00955178+0.00140335j 0.0349794+0.0205503j -0.00225624+0.00582414j 0.047484-0.000698958j 0.0148143+0.0157689j 0.0639884-0.0369681j 0.0174537-0.00271675j -0.000630058-0.0253411j -0.00329687+0.0182088j -0.0291719+0.0142807j -0.0351856+0.000652407j -0.0222128-0.0397283j -0.0246206+0.0116043j 
-0.0151423+0.000980794j 0.00438507-0.0109373j 0.000211441+0.00441256j -0.0133337-0.00896109j -0.00185381+0.0199863j 0.00238458+0.00441721j 0.0245851-0.0186092j 0.0179076-0.0105457j -0.00607289+0.0124039j 0.00965272-0.0092043j 0.0129335-0.0169652j -0.0114202+0.00591347j -0.0184228+0.0328026j 0.0302697-0.0016109j -0.00848052+0.0114909j 0.0243623+0.00513393j 0.00833597+0.0191647j -0.0198342+0.0236678j 0.00793188-0.000237787j 0.0223328+0.0146754j -0.00615896-0.00945327j -0.00723944+0.0138765j 0.0104271-0.00264487j -0.032596+0.00109583j -0.0093043-0.0164882j 0.0217267+0.00653171j 0.00795555-0.0089629j 0.0178323-0.00299604j 0.0200388-0.00146532j 0.0165791+0.000410025j 0.000450392-0.0156827j -0.00995325+0.00106835j -0.0237625+0.030771j 0.0130632+0.0354184j 0.00166089+0.00637877j -0.0132714-0.0244262j 
-0.0130275+0.0188489j -0.010049+0.00481576j -0.00846498-0.000712982j -0.00255885+0.00501139j 0.00994953+0.0118223j 0.0395235+0.00908724j -0.0194821-0.000705283j -0.0249815+0.00858187j 0.0116219-0.00276112j -0.0067175+0.00377816j 0.0143312+0.00634523j -0.0271552-0.0212965j -0.0147113+0.0167928j 0.00822684-0.00978447j 0.00647467-0.0216352j 0.00529247+0.00389066j -0.0246553-0.0172878j 0.0115296-0.000702343j 0.012575+0.0146897j -0.00332498+0.00581613j 0.0316239+8.87032e-05j -0.00667853-0.00767518j 0.00490574-0.00418178j -0.0168989+0.00380778j -0.0058018-0.0101847j -0.00439018+0.0116606j -0.0066634-0.0107128j 0.0140826-0.00345664j 0.0290423+0.0346842j 0.00484096+0.00633483j -0.000342265+0.00701997j 0.0061871+0.00330872j 0.00778839+0.00830056j 0.00855534+0.00534394j -0.00555288+0.0186156j 0.0196254+0.021192j 
-0.00448963-0.00172614j -0.0131305-0.0116386j -0.0014282-0.0172438j -0.00170553+0.0108751j 0.00674361+0.00816924j -0.00305072+0.0159947j 0.0149809-0.00266675j -0.00114076-0.00945698j -0.000526432-0.00072006j -0.0109855+0.00411575j -0.0118382-0.00484104j -0.0359227+0.00621177j -0.0130102+0.0064783j 0.0214334-0.00151552j -0.0242321+0.00396579j 0.00971199-0.000910258j -0.00663935+0.00559915j 0.00308239+0.00444456j 0.0138588+0.00866269j -0.00122152+0.00514452j 0.0160217+0.00536318j 0.00902164+0.0147745j 0.0172942+0.00011089j -0.0204266+0.0116891j -0.0322536-0.00437722j -0.00318867+0.00882703j -0.00830144-0.00983183j -0.00657794-0.00902054j -0.000347381+0.00341751j -0.00228124+0.000745207j -0.0107997-0.0034085j 0.00398093-0.0068067j -0.0201698+0.0176518j 0.0134588+0.031887j 0.000837266+0.0152074j 0.00518193-0.00496192j 
0.0104081+0.00210436j -0.00193161+0.00996209j -0.00302715-0.0040224j 0.00126909+0.00110149j -0.0176171+0.00431613j -0.000950396+0.00349508j -0.0174287+0.00954919j -0.000998749+0.0191139j 0.0120167+0.00979265j 0.00778308+0.0181716j -0.0084584+0.028179j -0.0015717+0.0159136j -0.000129155+0.00656697j 0.0031013+0.00939875j -0.00421842-0.00395237j -0.0189684+0.00997542j -0.0225651-0.0109829j 0.00994186-0.0123793j -0.00908393-0.00248803j 0.00179959+0.01328j -0.00689572-0.00573601j -0.0215643-0.00989535j -0.0113876-0.00830528j -0.00548412+0.0163436j 0.00116391+0.0176865j -0.00200664+0.0198586j -0.024015-0.0166132j 0.0182501+0.0157249j -0.00611028-0.0192941j -0.0174872-0.00669312j 0.00541893+0.00130182j 0.0198834+0.00123004j -0.00129591+0.0172407j -0.0197358-0.0163825j -0.0105442-0.00243571j -0.00444897-0.00244166j 
-0.0227644-0.000921885j 0.00281258-0.00059425j 0.00204636-0.0031588j -0.0172881-0.00887561j -0.00313352+0.00925384j -0.0152292+0.0156265j 0.00744437-0.00133314j 0.00403321-0.0120516j -0.00466466+0.000477718j -0.0150194+0.00777376j -0.0169642+0.0072984j -0.00531064-0.00863266j -0.0180218+0.00617449j 0.0196997-0.0328934j -0.0160257+0.0222994j 0.00203346-0.000964743j -0.000477093+0.000535211j 0.0161936-0.00102398j -0.00882477+0.00134602j -0.0209619-0.00219587j -0.00228414+0.00125201j 0.0104969-0.00553476j 0.00317151-0.00647092j 0.000636564-0.00900199j -0.0152788-0.00650065j 0.0103654-0.019516j 0.0365535-0.00327961j -0.000706113-0.0203756j 0.0145115+0.00031083j 0.0081723-0.00509913j -0.0122581+0.0285739j -0.0028048-0.00403462j -0.0113516+0.0425078j -0.0177251+0.0278628j 0.0238354+0.00421884j -0.00137488-0.0231057j 
0.00926008-0.0211694j 0.00141628-0.00543004j 0.00899504-0.00254443j 0.00538514-0.00596742j -0.00426501+0.0031802j -0.0293588-0.00490404j -0.0122183-0.00262962j 0.0032201+0.00206741j -0.00368011-0.00225191j 0.0107055+0.0255481j -0.00320001+0.00751752j -0.00486869-0.0116364j -0.00193592+0.00227907j -0.00326994-0.0193324j -0.00365959-0.00397977j -0.00853178+0.0161519j -0.00374475-0.01112j -0.00520673+0.00141713j -0.0143637-0.00161342j -0.0021239+0.00446899j 0.00780611+0.0126633j -0.018755+4.82567e-05j -0.0021664+0.0108239j -0.00445095+0.00698098j 0.0156866-0.0171335j 0.00176117+0.0191087j -0.0146143-0.0296743j 0.0207478-0.00720118j 0.0276278+0.0213784j 0.012747+0.00528947j 0.00671289+0.00647782j 0.00662338+0.00139387j -0.0039965+0.0136621j 0.00708416-0.000130044j 0.0317777+0.00800048j 0.00316075-0.00681433j 
-0.0171171-0.00852385j -0.00751073+0.00499039j -0.00190117-0.00233929j -4.47795e-05+0.00659923j 0.0317478-0.0245491j -0.00956741-0.00303523j 0.00426112+0.0261436j -0.000177729+0.0103546j 0.0109038+0.0205913j -0.00473725-0.0117729j -0.00597456+0.000854453j -0.00579991-0.020673j 0.00947568+0.0148355j -0.000580686+0.0281081j 0.0243784-0.00309947j -0.000838375-0.00142763j -0.00540916+0.0165831j 0.00162064+0.000803484j 0.0112445-0.00107509j -0.00451169-0.0135095j -0.0187291-0.00795374j -0.0149236-0.00469959j -0.0119332+0.00229364j -0.0138398+0.00234954j -0.00323438+0.00593407j 0.00563145+0.0204769j -0.0138395+0.00648513j 0.00742941+0.022033j -0.00517216+0.000508677j 0.00441461+0.0108907j 0.000805816-0.0170259j 0.00989657+0.00316345j 0.00947709-0.0193482j 0.00723891-0.0219185j -0.0322985-0.00953906j 0.00328133+0.0190749j 
-0.00159045+0.00332011j -0.00915144-0.0141933j 0.00309146+0.00365399j 0.0185143+0.01418j 0.0187453-0.0168995j 0.00679461+0.00727771j -0.00823073-0.0148045j -0.0173671-0.000234196j -0.0101009+0.00624656j -0.0102132-0.0264269j 0.0145717+0.0150688j -0.0333959+0.0335595j 0.00911042+0.0185072j -0.0174535+0.00816233j 0.0150194-0.0238341j 0.0210064-0.0118402j -0.0321178-0.0116622j 0.030746+0.0014591j -0.0153715+0.00924526j 0.0260291+0.034467j -0.0168005+0.00991573j -0.00397195+0.000858467j -0.0123921+0.000655837j -0.00674071-0.00468433j -0.00998135+0.0105409j 0.0197868-8.84127e-05j 0.00250889+0.0181088j 0.00772682+0.0155298j 0.00683284+0.00987397j -0.0271557+0.0123289j 0.00882692-0.0225954j -0.00157259+0.0039013j 0.00409096-0.0288402j -0.000141074-0.0251667j -0.0363471-0.00669528j 0.00997393+0.0330634j 
-0.0181636+0.0191047j -0.00522672-0.0134021j 0.000104139-0.006274j -0.0212904+0.0179777j 0.0194315-0.0151466j -0.000268507-0.00991646j 0.0183959-0.030117j -0.0197794+0.00708621j -0.0202332-0.00618064j 0.0194249-0.0128874j -0.00374801+0.00965996j -0.0034373-0.00040732j 0.0218765-0.0193095j 0.0026435-0.0103218j 0.0148911+0.0144984j 0.00517539-0.000489615j 0.0168247+0.0161849j -0.0048105-0.00648909j 0.00187741+0.00937192j -0.00556495-0.0102669j 0.0140512-0.0221251j 0.0195051+0.000762677j -0.0201575+0.0238365j 0.00724115+0.0056566j -0.0071353+0.029j -0.0264268+0.00807222j -0.00123616-0.000634918j 0.0109521-0.000374571j -0.00387816+0.00548463j -0.0301201+0.0100857j -0.0153107-0.00392515j -0.000112817-0.00568429j -0.0103652-0.0268274j -0.00180333+0.0123285j -0.0296491-0.014436j 0.0106467+0.0147434j 
