-0.0246373+0.0672091j 0.0715696-0.0568686j -0.136623-0.0641186j -0.149241+0.0675083j -0.12538+0.178704j 0.0206936-0.018111j -0.048897-0.00362863j -0.0644436+0.0955346j -0.0475772-0.0787828j 0.15624-0.0261145j -0.00384981-0.131178j -0.0232229-0.25414j 0.0334306-0.19646j -0.13199-0.214101j 0.181182+0.0919506j 0.0697009+0.0471752j -0.036685-0.0893075j -0.043713+0.118059j 0.0462956-0.0918664j -0.0212674-0.20452j 0.101251-0.163536j 0.0984309+0.0204775j -0.0605654+0.0905095j -0.16187+0.271562j 0.160494+0.000589067j 0.00579088-0.0829429j 
0.00230801+0.0142504j 0.0186678-0.0143728j -0.0352301+0.00976314j -0.0455147+0.0249339j -0.0369577+0.0422495j 0.0115825-0.0120415j -0.0111762+0.00801655j 0.0151434-0.014009j -0.0158738+0.0476243j 0.0134946-0.0253248j 0.000166818+0.00034888j -0.0122813-0.00836751j -0.0368857+0.0016749j 0.0453036-0.0438979j -0.0281448-0.022312j 0.0238328-0.0246338j -0.0158944+0.0224388j 0.00632026+0.0399517j 0.000669032-0.0205554j -0.0029945-0.0284046j 0.0395436+0.0270691j 0.00156487+0.0381213j -0.0279514-0.0114854j -0.034222+0.0180478j 0.032996-0.00113574j -0.0265722-0.0115165j 
0.0113614-0.0165073j -0.0026969-0.0132046j 0.019224-0.0120917j 0.000271654-0.0197584j 0.013762-0.0221044j 0.00431178+0.018119j 0.00222805+0.00708472j -0.000699221+0.00808618j -0.00590519-0.0083542j -0.0255062-0.0359244j -0.0318549-0.00495444j 0.0116037+0.0345222j -0.0232002+0.00805032j -0.0181948+0.0163431j -0.00427337+0.00341776j -0.009734+0.0109984j -0.00443891-0.000771442j -0.0107547-0.00207472j 0.00640006+0.0118252j -0.0180519-0.00554957j -0.0233853-0.0175521j 0.00389664-0.00772462j -0.0181941+0.00499674j -0.0282852-0.0236009j -0.000245757+0.00422224j -0.0238835+0.00532512j 
0.00704008+0.00741373j -0.017844-0.00940587j -0.0154997-0.00971622j -0.0408205+0.0143321j 0.00285248+0.0158291j 0.0275334-0.00413822j 0.0121384-0.0334488j -0.0136272+0.00957979j 0.00177456+0.0144096j -0.00320158-0.0222419j -0.0293269+0.00509307j 0.020174-0.0326786j 0.00231446+0.020754j -0.0335568+0.0291846j -0.00107467-0.00268029j -0.0161332-0.0208048j 0.0159702+0.0342133j 0.00352304+0.0011164j -0.0184005-0.00688927j 0.0109326-0.00706145j -0.035933+0.0227727j 0.0562238+0.0142211j -0.0450665-0.0254645j -0.0256805+0.0142528j 0.0257676+0.0104308j -0.0375684-0.0130774j 
-0.000759034+0.0223922j 0.00663553+0.00514671j -0.00886171+0.00396099j 0.00684434+0.0279337j -0.00790349+0.0268899j -0.00258265-0.0184099j -0.0158479-0.0229373j -0.0105792-0.0303605j -0.00528807+0.0146173j -0.00255792-0.00749512j -0.000445404+0.0152232j 0.0180083+0.0349999j 0.000352975+0.0409517j 0.0294174+0.00312018j 0.0110976-0.021871j 0.0201902-0.0410229j 0.00207233+0.0391421j -0.0111122+0.0121235j 0.0254411-0.00992265j -0.008401-0.0543346j -0.0405755+0.00267608j -0.0111261+0.0501789j 0.00646106-0.000975149j -0.0222839+0.00393269j -0.0083001-0.00511604j 0.0159099+0.00451061j 
0.00446472+0.0109438j 0.00759898+0.000857882j 0.0306253+0.018026j -0.0045374+0.01947j -0.0162247+0.00678741j 0.0240441+0.0321086j 0.00212525+0.00478011j 0.024074+0.0144847j -0.00073466+0.0186317j -0.0126103-0.0120704j 0.0137812-0.000194342j 0.00771912+0.0168253j 0.0308676+0.0243136j 0.0204892+0.00938561j -0.00156358+0.0163264j 0.0124367-0.0171931j -0.0406142+0.00465886j -0.0165011+0.00858323j 0.00453545-0.0063089j -0.0133609-0.0264286j 0.0032658+0.00324426j -0.00669524+0.0130481j 0.0165168+0.00337522j -0.000863976+0.000254064j -0.00584915-0.00176848j 0.0173877+0.00783981j 
-0.00483005-0.0118277j -0.0188366-0.00585666j 0.003076+0.00245811j -0.00211133-0.0290067j 0.0110422-0.00202645j 0.00380979+0.032434j 0.0138727+0.0052357j 0.03116-0.00551619j 0.0390043-0.00460172j -0.00687095+0.00799177j -0.00424961-0.0212528j -0.023775-0.0214022j 0.0024349-0.00309944j -0.00168604-0.00687408j 0.0132401+0.00908088j -0.0138036-0.0102019j 0.03303+0.00161497j -0.0177521+0.0099j 0.00759538-0.00124543j 0.0197424+0.0200808j -0.0259551+0.0106897j -0.0165545-0.000289996j -0.013366+0.014081j -0.00183189-0.00343222j 0.0055354+0.000166527j -0.00127231-0.00139236j 
0.00225283+0.00569337j 0.0197933-0.0142532j -0.0307393+0.0111728j 0.0210418+0.0329712j -0.024611+0.0100079j -0.0102801+0.0167465j 0.0211992-0.0144936j 0.0222576-0.0178906j -0.0245147-0.0114941j -0.000349915-0.034637j -0.0112769-0.0106607j 0.0443759+0.0123959j -0.00585506-0.00623302j 0.0240044+0.0122227j 0.00403824+0.00518069j 0.0172079+0.00730321j 0.0330946+0.00525429j 0.0250785+0.00828244j -0.0170375-0.000769942j -0.0247494-0.00708204j 0.0181792-0.0201609j 0.00600615-0.0200743j -0.00435644-0.0190944j -0.00230552+0.00373002j 0.000129436+0.00142787j -0.0114986-0.00323245j 
0.012919+0.0111534j 0.00161517-0.0181311j -0.0208907+0.0156613j -0.0232188+0.0428534j -0.0462997-0.0136061j 0.0217671-0.0144404j 0.00106594+0.0529766j -0.018018-0.00354392j -0.0448408-0.0796637j -0.00788181-0.0216886j -0.0177473-0.0421202j 0.0269763+0.00960337j -0.00588445-0.00494364j 0.0584428-0.0285813j -0.0314221-0.0112693j -0.00196603-0.0274286j -0.00933014-0.0192264j -0.00343854+0.00706146j 0.0208005+0.00502458j -0.0342497+0.00191916j -0.0230541-0.0283614j 0.00991744-0.0316916j -0.00817698-0.0147682j -0.0133786+0.0218581j 0.00352756-0.00286052j 0.00433578+0.00242693j 
-0.00365363+0.0127548j 0.000165865+0.000869634j 0.00606997-0.00744238j -0.000527427-0.0096649j -0.00760544+0.00297981j 0.0148715+0.00344331j -0.0128662-0.00349201j 0.0159644-0.00382476j -0.00618454-0.0225782j -0.0180915+0.0214731j 8.75829e-05-0.0122284j -0.021937-0.00295414j -0.00273053+0.00564393j 0.0164416-0.015487j 0.00512108+0.0195516j 0.0309028+0.0219493j -0.000456866-0.00206784j 0.00728256-0.00431492j -0.0173263+0.00833233j -0.0176609-0.0225442j 0.0309228+0.00177374j -0.00296189-0.00828171j 0.0135297+0.00926428j 0.000329624+0.000303089j -0.00269874-0.00641129j 0.0143992+0.00654191j 
-0.00580486-0.000693111j -0.00555843-0.00658644j -0.0107108-0.00878184j -0.0193472-0.0158921j 0.00545154-0.00438413j -0.00854542+0.019144j -0.0148028-0.00656901j 0.00568543-0.0106033j 0.0362859+0.0174304j -0.000736544-0.000503868j 0.00460038+0.0168146j -0.00816044+0.00580316j -0.03287+0.0384462j 0.0242077+0.00593801j -0.00785203-0.00320863j 0.0141233-0.00559556j 0.00904078+0.0220489j -0.00594936+0.0109411j 0.00742181-0.0187064j -0.00760157+0.0142336j 0.0132629+0.0199352j -0.0202794+0.0224638j 0.0183833+0.00473359j 0.0100902+0.0133773j -0.0166289-0.00736901j -0.00294696+0.00443642j 
-0.00378954-0.00522626j -0.00197551+0.0161491j 0.0102311+0.00297416j 0.0245625+0.0216781j 0.0214738-0.0199071j 0.00118428+0.00455411j 0.0166526-0.000725431j 0.00442951+0.00851927j 0.00361341+0.0267137j -0.0145998+0.0315032j -0.0131032+0.0370892j 0.000733192+0.0503537j 0.0167199-0.00519397j 0.00936046+0.00190222j -0.00474161-0.0213235j 0.00720922-0.0111963j 0.000327935-0.0156799j -0.000178926-0.00924267j -0.0341563+0.0055902j -0.00388593-0.0124126j -0.0242205+0.021058j 0.00564719+0.0204469j 0.00566772+0.00133781j 0.00602527-0.0163908j -0.0124307+0.0165263j 0.00250497+0.00950929j 
-0.0144866-0.00534884j 0.0158988-0.0274622j 0.00423235-0.0138156j -0.0266795-0.020848j -0.001186+0.0162459j 0.0129252-0.0139641j -0.0188979+0.007491j 0.00341777+0.00777852j -0.0177753+0.00128988j -0.00501727-0.00136745j 0.00549516-0.00457732j 5.60219e-05-0.00273196j -0.00482492-0.00361182j 0.005023+0.0107055j 0.00246993-0.0102756j 0.0101021-0.0219511j -0.00722282+0.0139262j -0.00134198-0.00640572j 0.00365175+0.00819042j -0.009137-0.0018058j 0.0343697+0.00818667j -0.00596545-0.0173479j 0.0113371-0.0125362j -0.000606455+0.0034872j 0.00996335+0.0114604j -0.0210161-0.00666064j 
-0.00415882+0.00882285j -0.000316988+0.00746102j 0.0223116-0.0130188j 0.00345631-0.0106571j 0.00807135+0.0116369j -0.0122088-0.00126101j 0.0198542+0.0063353j 0.00431529+0.00539663j 0.0217223-0.0175125j -0.00664302+0.0163665j 0.0258621-0.0117361j 0.0121281-0.0123885j -0.00544431-0.00816499j -0.000181781+0.0102688j 0.00918933+0.00858184j -0.016142+0.0125131j -0.0269126-0.00459805j 0.00390942-0.0079422j 0.0038634-0.0153658j 0.0095727-0.0213506j -0.00706416+0.000448348j 0.0211034-0.0131928j -0.00504129-0.00187641j 0.0120566+0.00162667j -0.000653001+0.00226553j 0.00935332-0.0102232j 
-0.0217099-0.00244614j -0.002751-0.0275885j 0.00597778+0.000190318j 0.0131102-0.0207559j 0.00456363-0.0246769j -0.000708003+0.0153853j -0.0249953+0.00563327j 7.33365e-06+0.0169971j 0.0092869-0.00643202j -0.0147586-0.0180256j -0.0022684-0.00802692j -0.00842172+0.0126083j 0.000436936-0.0128966j 0.0146913+0.0172914j -0.0146568-0.00810948j 0.012341+0.0133103j 0.0131456-0.00742281j -0.00684066+0.00536816j -0.0011705+0.00188047j -0.0026255+0.0217485j 0.0265019-0.00361344j -0.0263745-0.0167553j 0.0348493-0.00567545j 0.0239222-0.00175457j -0.0190831-0.000559665j 0.00046496+0.00755072j 
0.00120649-0.00375037j 0.00222178+0.00856107j 0.00947029+0.00331398j 0.00829894+0.00665179j -0.00154898-0.0140821j 0.0188302-0.0177593j -0.0104873-0.00280665j 0.00805052+0.0142974j -0.00396598-0.0044239j -0.0057038+0.00312528j 0.000594721-0.0102871j -0.00855918+0.00708501j 0.00673101+0.0149764j 0.00839502-0.00358322j 0.00684398+0.0246309j 0.0124798+1.17737e-05j -0.0251169+0.00127536j -0.00541209-0.00463577j -0.0103515-0.0284693j -0.00910963+0.00552788j -0.0026781-0.00907825j -0.011751+0.012063j 0.0218764+0.0155155j 0.00798981+0.000249544j -0.0093889-0.000879784j 0.0116447+0.0111513j 
0.00663133-0.00447399j 0.012983+0.00682226j -0.0065299-0.0155815j 0.0131221+0.00873962j -0.00340611-0.000206512j -0.0154716+0.00251684j -0.00243439-0.00543405j 0.00685279-0.00858324j -0.00053255-0.00450751j -0.0155521+0.00389157j 0.0111877+0.0083912j 0.018071-0.00994514j 5.6541e-05+0.00447929j 0.0188364+0.00158158j 0.00627277-0.00884085j -0.00817716+0.0054549j -0.00529255+0.0211884j 0.00576087+0.0027384j -0.0168292+0.00867703j -0.0166289-0.00693248j 0.0130224-0.00760292j -0.0276358+0.000600645j 0.024363+0.00362737j 0.0140303-0.00059908j -0.0176055+0.00258916j 0.00189989+0.002561j 
0.00922775-0.00565446j 0.0156943+0.0240794j 0.0095806-0.00514543j 0.00809273-0.00214991j 0.0104837-0.0129325j -0.00859344-0.00019332j -0.00596768-0.00541716j -0.0240547-0.0224472j -0.00500473+0.00853293j -0.00980422+0.0167181j 0.024907+0.0121275j 0.00946066+0.0107953j 0.00856364+0.020648j 0.0030574+0.0183386j -0.00824867-0.00513748j 0.00803358-0.00943892j 0.00229234-0.0281548j 0.00986797-0.0165961j 0.000521723+0.002502j -0.0251245-0.00239866j 0.0240744+0.00347382j -0.0341937-0.00442376j 0.0286356+0.00875152j 0.0296805-0.0138434j -0.0254493+0.00763518j 0.0043258+0.00299307j 
2.41536e-05+0.0134614j -0.0207286-0.0090179j -0.00849795-0.00101161j -0.0318318-0.0042039j 0.00423889+0.00495806j 0.00452838+0.00638187j -0.00144115-0.00747228j -0.00583699+0.000278994j 0.0101808+0.0184771j 0.00835209-0.00588329j -0.0118386+0.0102546j 0.00568386-0.00438344j 0.00473581+0.0139532j -0.00178452+0.0184307j -0.00837689-0.00867527j 0.0051436-0.0183337j 0.00720801+0.00994254j 0.000917192+0.00236541j 0.00217315+0.00319375j 0.013343+0.0197296j 0.0100514+0.012732j 0.0181382-0.013866j -0.0260504-0.0147497j -0.0105639+0.00122548j 0.0119655-0.00631049j -0.0127822-0.0053217j 
-0.00742865-0.042824j 0.00923091-0.00717434j 0.0115028+0.0103951j 0.014869-0.0142023j 0.0108327-0.0103418j 0.00923907+0.000244421j 0.0118604+0.0143502j 0.0172618-0.00958379j 0.0252591-0.00163652j 0.00340505+0.00168439j 0.0129868+0.00329348j -0.0381094+0.024499j -0.0386+0.0242608j 0.000152674+0.00355599j 0.00453441-0.000947046j -0.00825035-0.0119451j 0.00674434+0.0115161j -0.0193122-0.0236403j 0.0158985+0.0136598j 0.00771849+0.0378567j -0.0418019+0.0185149j -0.00225702+0.015534j 0.00711847+0.00460106j 0.0142629-0.0139068j -0.0100183-0.00181021j -0.000275845+0.00778315j 
-0.0207518-0.00633412j -0.00772909-0.0346905j -0.0260705-0.0247803j -0.0425946-0.00417705j -0.0160183+0.012826j -0.00445268-0.0153998j 0.0149031+0.0103567j -0.0136126-0.00844616j 0.00925338+0.00704772j -0.00105997-0.0233232j -0.0189169-0.0353392j -0.00460919-0.0176713j -0.0224462-0.00564032j 0.0109646-0.00260436j 0.0129002-0.0115737j 0.0031142-0.0112475j 0.0137757-0.0147753j -0.0157193+0.00956007j -0.00183064-0.011198j 0.014639+0.0321608j 0.0174327+0.00304339j 0.0241547-0.0243856j -0.0439409-0.00784675j -0.0359202+0.0106193j 0.0289746-0.0104124j -0.018111-0.0154139j 
-0.0189561+0.010479j -0.00372475-0.00151771j -0.020968-0.000833297j 0.0159664+0.0189697j 0.00491469+0.0101109j 0.0281495+0.00212497j 0.0270581-0.0116756j 0.0127062+0.0116917j -0.00430592-8.34875e-05j -0.0160418+0.0147342j 0.0400045-0.0143386j 0.0170561-0.0121568j 0.00958776-0.00902553j -0.00471951-0.00396284j -0.00965441-0.017834j 0.0146965+0.0078605j -0.0167638-0.00638724j 0.0118912+0.00281991j -0.00336974-0.00234633j -0.00106207-0.0191492j 0.0103121-0.0145025j 0.00393801+0.00365003j 0.00367633+0.00511531j -0.00433141+0.00704629j 0.00152759+0.00265795j 0.00841467-0.00326097j 
0.00659319-0.00651981j -0.0146449+0.00102015j 0.000771253-0.012093j -0.0105148-0.00499616j 0.0173146-0.0233943j 0.00343631-0.0112904j -0.00548206+0.00737415j 0.00576507-0.00191867j 0.000338104-0.00124709j 0.00215644+0.00537969j -0.00834976+0.00366727j -0.00739979+0.0131682j -0.00548737+0.00635113j 0.00458745+0.0214057j -0.00807453-0.00556054j -0.020572-0.00789912j 0.013508+0.00286739j -0.0115147-0.00323298j 0.0105037+0.00607695j -0.0151439+0.0277121j 0.00216482+0.00982552j -0.012596-0.0091222j 0.00342969-0.00519834j 0.0126564-0.0102938j -0.00655641-0.00186259j -0.00857095+0.00560086j 
-0.00558241-0.009233j 0.011385-0.0159696j 0.00805688+0.0101789j 0.00623265-0.00172537j -0.0157861-0.00388466j -0.0030559+0.015591j 0.00112328+0.00732214j -0.0111542-0.00821158j 0.00300834-0.00929895j -0.0179658-0.0154928j 0.000133713-0.00307604j 0.0042151+0.00379353j -0.00248778+0.0182443j 0.0132788+0.0153139j -0.010757-0.00650641j 0.00249801-0.0161818j -0.00025415+0.0109126j 0.00849341-0.0118987j -0.0129803+0.0156577j -0.00178867+0.018618j -0.0129417+0.0069232j -0.0082948-0.000327105j 0.0188769-0.0142544j 0.0127965-0.0145732j -0.00647057-0.00357173j 0.00503134+0.0083247j 
0.0113557+0.0101493j 0.0108196+0.0104818j -0.0151817+0.00471208j -0.000968945+0.0251619j -0.0158052+0.0112574j 0.0132677-0.0114281j -0.00819131-0.00494505j -0.000920468+0.0040695j -0.0241666-0.00587453j 0.00818889-0.00950418j 0.00455483-0.00637847j 0.0111693-0.0107105j 0.0162769-0.0190464j 0.0123003-0.0207476j -0.000724702+0.00298074j 0.0090425+0.00111127j -0.00389579-0.00929729j 0.00688499+0.0118477j -0.000951859-0.00792807j -0.00662035-0.0261127j 0.0238308-0.0115062j 0.000954279-0.00752282j -0.0119092+0.0100358j -0.0178897+0.0119724j 0.00875875+0.00106173j -0.00180439-0.00637132j 
0.00903552+9.50166e-05j -0.0252331-0.0132399j -0.0304739-0.0107862j -0.0534084-0.00175143j -0.00356935-0.00372821j 0.0106384-0.00211994j 0.0159383+0.013082j -0.000446048+0.000718193j 0.0140463-0.00538935j 0.0166164-0.0187351j -0.0299971-0.0163027j -0.000467806-0.01171j -0.0210336-0.00923153j 0.00961099+0.00574157j -0.0091234-0.013515j -0.0136725-0.0197944j 0.0146555-0.00271349j -0.00349311+0.00908381j 0.00123145-0.00354587j 0.0187203+0.0445643j 0.00114615+0.00896434j 0.0352084-0.028447j -0.0607368-0.0157205j -0.0338005+0.00431041j 0.0259877-0.00855533j -0.0312426-0.0208308j 
