-0.0135207+0.00274394j 0.0336036+0.0114877j -0.00583834+0.004715j 0.0145773-0.00644659j -0.00647243+0.00185712j -0.00806688-0.00136291j 0.00422293-0.00405122j -0.00680659+0.0194985j 0.0250721-0.0129989j 0.00564554-0.00952474j 0.0169351+0.00616356j 0.00889039-0.0086541j 0.00308479-0.021881j -0.00235078-0.0319369j 0.00281084+0.0083477j -0.000981244-0.0138315j 0.00404025+0.0143513j -0.000307508-0.010185j 0.0115243-0.00747425j 0.00012125-0.00135019j 0.00261228-0.00229503j 0.00328017-0.00567859j -0.00506502+0.00890418j -0.0266705-0.0119477j 0.0138955-0.0115704j 0.0147644+0.0139662j -0.00208068-0.0181644j 0.0199939-0.013184j 0.00786865-0.0258074j 0.0012671-0.0369683j 0.017203+0.0240454j 0.0232103-0.0112888j 0.02724+0.00946281j 0.0394081-0.0289326j -0.00727627+0.0631854j -0.0449517-0.0342224j 
0.00577231+0.0451385j 0.0296516+0.0040059j 0.0171985-0.0100125j -0.00557563-0.0370993j 0.0213711-0.0143879j -0.0281091+0.00489682j -0.0234611-0.0372063j -0.0320269-0.000846676j 0.030832-0.0132319j 0.0140899+0.00768624j -0.00368002+0.0404915j 0.00360887+0.0043368j 0.0238378+0.00142753j -0.0160031-0.0473298j 0.0252816+0.0123246j 0.00256868+0.00463662j -0.00367438-0.0105242j -0.0114652-0.0344434j 0.0296214+0.0172079j -0.00336226+0.00350842j 0.000786924+0.0266568j 0.0594573-0.0164318j -0.0224084+0.0476565j -0.0222481+0.0031744j 0.00765896-0.0128531j 0.0238792+0.0351233j -0.00203179+0.0103574j 0.0160239-0.0114881j 0.00164193+0.00727744j 0.0085055-0.0233082j 0.0104115-0.00604888j 0.0044603-0.033261j 0.0174188-0.0303745j 0.0154411+0.0122029j -0.0117711+0.00465082j -0.00818988-0.0271484j 
-0.0183332-0.0314025j -0.0174755+0.0191181j 0.0187142-0.0165201j 0.018676+0.0204319j -0.0260079+0.0265654j 0.0240905-0.0105555j 0.0199142+0.0303376j 0.0239427+0.0317432j -0.0122941+0.014709j -0.00331725-0.0148233j 0.0182647-0.0282951j -0.0263152-0.0149425j -0.0337747+0.0193779j 0.0115063+0.041901j 0.00691122-0.03273j 0.0088529-0.017386j -0.00100977+0.000107977j 0.00316762-0.0204335j 0.00501118+0.000174147j 0.00736445+0.0135051j -0.0217001+0.00576467j -0.0570828-0.00446691j 0.00622622-0.0066871j 0.0115138-0.00565917j 0.00968945-0.0382068j 0.000549284+0.0367472j -0.00160814+0.0293754j -0.0141741-0.0133842j -0.0018339+0.0504828j -0.00311656-0.00117134j 0.0041515+0.018069j -0.00611186-0.0200765j -0.0101265-0.0223193j -0.00858153+0.0295006j -0.00772379+0.0247978j 0.0030849-0.00593578j 
-0.00209965-0.00244807j -0.0181966+0.014388j -0.0129643-0.00366065j -0.00481015+0.00266285j -0.0114932-0.0056913j -0.0280199+0.0027088j 0.0164021-0.000204644j 0.0109031+0.000221648j -0.0178123+0.00167342j -0.00672803-0.0104847j -0.00121475-0.00941526j 0.00358744+0.0138962j -0.0116692-0.0367941j -0.0147403+0.0253788j -0.0153436-0.0101443j -0.00141608+0.00881517j -0.00295139-0.0243287j -0.0160938-0.020651j 0.01887+0.00027477j 0.00592961+0.0237106j 0.00191533-0.0381858j -0.00952218+0.0160117j 0.000749769-0.00876895j -0.0187337-0.0394769j -0.00761312-0.0160016j -0.00855199+0.031287j 0.0218293-0.0104464j -0.0126425-0.0135559j 0.00877757-0.005294j -0.00466866-0.00650909j 0.0184783+0.0057372j -0.00364208+0.0231762j 0.0526419+0.00259162j 0.010521-0.0374479j -0.0243694+0.0330333j -0.0160628+0.00273109j 
-0.00326972+0.00305147j -0.000708371-0.00114832j 0.00656662-0.00500188j 0.0132801+0.000409822j -0.0101725+0.00493645j -0.0653837+0.00415986j -0.018653+0.0130654j 0.00973264+0.0219877j -0.00409035+0.0110272j 0.0188392+0.0110477j -0.000383615+0.0111442j -0.0122269-0.0172072j -0.00891876+0.0161356j 0.00554654-0.00907856j -0.00735724+0.0144542j -0.0128796-0.00357006j -0.0138343+0.0210526j -0.00878598-0.000527255j -0.0130138+0.00987515j -0.0106494-0.00901058j 0.00409883+0.00707355j -0.00393557-0.00283164j -0.00156086-0.00898286j 0.00832363+0.0254057j 0.0146348+0.0096785j 0.00605036-0.0186119j -0.00758422+0.00172099j 0.00363273+0.0122751j 0.00159012-0.0147848j -0.00183708+0.0218074j -0.00765876-0.00169901j -0.00111356-0.0111892j -0.0314455+0.00301369j -0.00941684+0.0125028j 0.008828-0.0141573j 0.00608407-0.00243841j 
0.0175169+0.00683516j 0.00816249+0.0119039j -0.0220443-0.00407134j 0.0100102-0.0281444j -0.00382459+0.00257279j -0.0406254-0.00705203j 0.00558187-0.0281448j -0.00719613-0.0071745j 0.0119708+0.0150813j 0.00749868-0.0235069j -0.0112831+0.0129547j -0.00517801+0.0265362j -0.00262343-0.000395175j -0.0302364-0.00387564j 0.0256878-0.0169474j 0.0164108-0.00571397j 0.00808467-0.0197926j 0.0218013+0.0147055j 0.00688308-0.00200386j -0.0016206+0.0133681j 0.00574963+0.0273826j 0.019578-0.0229852j -0.0200372-0.0188417j 0.000138318+0.0301173j 0.0170844+0.0112979j -0.00604546-0.0120823j 0.00690332+0.00450309j -0.00747964-0.0343164j -0.00532874+0.0616921j 0.0134325-0.0320591j -0.0073717-0.000506264j 0.00225828+0.00739258j -0.0534279+0.0113018j -0.0263929+0.0339484j 0.0231509-0.00274677j 0.023222+0.0433971j 
0.00345965+0.00949686j 0.0127204+0.00354359j -0.0100307+0.00848044j 0.00459369-0.0134662j 0.00771985-0.0031572j 0.016535-0.00265508j -0.00154449-0.00736416j -0.0121325+0.00677602j 0.0016116+0.0158285j 0.0126164-0.00287268j 0.0074707+0.0281745j -0.0125191-0.0273245j 0.0349616+0.00492107j -0.00668262+0.013094j -0.0305158+0.0551577j -0.0691415-0.0163728j -0.0389701-0.0031553j -0.0466882-0.0162181j -0.00545027+0.0412169j -0.0299812+0.00916716j 0.00994179-0.0582816j -0.00299962-0.0110862j -0.0101423-0.0400213j -0.000510107+0.0143958j 0.0133218+0.0213017j -0.00373467-0.0114864j 0.0041902-0.00368848j -0.00536996-0.0230415j 0.00162638+0.0344278j -0.00489624-0.00430749j 3.01958e-05+0.00422205j 0.00130009-0.00609052j -0.0386792+0.00306146j -0.0134115+0.0274526j 0.0156701+0.00710102j 0.0104319+0.023593j 
-0.0040657-0.00237031j 0.00392403+0.00287961j -0.00200413+0.00832461j 0.0122206-0.00721188j -0.00186348+0.00402318j -0.0401475-0.00487369j -0.0063363+0.0116837j 0.0144948+0.0349469j -0.0168287+0.0195965j 0.0135469+0.0019646j -0.00766301+0.00564186j -0.0144782-0.00291792j -0.0208553+0.0012719j -0.0158122+0.00618539j -0.018853-0.00236963j 0.0021501+0.0111803j 0.00531162-0.000694123j 0.0112438+0.00157303j 0.0130199-0.0151737j -0.00226907-0.00306369j 0.00957527+0.0135869j -0.00622962-0.00139846j -0.00847545-0.0390184j 0.0111713+0.0200067j 0.0143919+0.00251383j -0.00176527-0.0212486j -0.00236191+0.00482751j -0.0106765+0.016801j 0.00133514-0.0162726j -0.000977476+0.00528729j 0.00637396-0.00594649j 0.0113098-0.004651j -0.0512271+0.00170658j -0.0159721+0.0269774j 0.0111389-0.00743476j 0.00958581+0.0178215j 
-0.0139726+0.0127541j 0.0211213+0.0165048j 0.00124977-0.00372163j 0.00642817-0.0232163j 0.0245007+0.000537216j 0.0505561+0.00214721j 0.00942413-0.00439211j -0.00983072+0.0419418j 0.0081838+0.0340122j 0.00566946-0.0129121j -0.000232075+0.00985328j -0.0104719-0.0113671j -0.00606081-0.0093435j -0.0327785-0.00515084j 0.00324277-0.0143441j 0.0207896+0.0151166j -0.00186535+0.00177817j 0.0262342-0.00573087j 0.016538-0.0161981j -0.000777221+0.000182695j 0.0173167+0.0494555j -0.00168266-0.00751647j -0.0260314-0.0438408j 0.00988919+0.0420421j 0.0295477+0.010265j 0.00675766-0.0361829j -0.00326928+0.00391055j -0.00518918+0.0189795j 0.000240303-0.0056234j 0.00205229-0.000163023j 0.00373096-0.00728538j 0.00986349-0.00282863j -0.0843758+0.00772888j -0.0341682+0.0398722j 0.024104-0.014683j 0.0163478+0.0328689j 
-0.00277537-0.0133295j -0.0164625+0.0251311j -0.00156167+0.00174757j 0.00565967-0.00220618j -0.00447193+0.0251574j -0.00560814-0.0193852j 0.00237437-0.0126103j -0.000467806+0.00372504j 0.0150576+0.016515j -0.0181493-0.0567125j 0.00052968-0.00260848j 0.00407476-0.00783747j 0.0163748+0.0137648j -0.0170103-0.0132381j -0.000801433+0.0106821j -0.000464008+0.00335346j 0.00142306-0.021652j -0.000929957+0.0154353j 0.0111042+0.00698257j -0.010068-0.00316j 0.0258062+0.00104255j -0.0214033-0.0320712j -0.00628417-0.0364979j 0.0078367+0.0410655j 0.0157162+0.00916426j 0.0121862-0.0409111j 0.000956553-0.0147568j -0.0164539-0.017578j -0.0206302+0.021221j 0.00509709-0.00849223j 0.01604-0.0115976j 0.0129177-0.00921721j -0.0580665+0.00976179j -0.0340926+0.0208394j 0.00160233-0.0152187j 0.00584351-0.0105979j 
0.00662613-0.0378837j 0.0107726-0.0138199j -0.0273268-0.00426196j -0.00952743+0.0297116j 0.0152658+0.0195551j 0.0123347-0.00967196j -0.00224393+0.0343497j 0.0106439-0.0165209j -0.0299157+0.00251846j 0.00659198+0.0285043j 0.00811809+0.0137413j -0.0122824+0.00959078j -0.0147318-0.000378423j 0.0295725+0.0084673j -0.00547404+0.0198273j -0.00216867-0.0069211j 0.00329367-0.0366844j -0.0162004+0.00191228j 0.0169027+0.0240119j 0.0106756-0.0190319j -0.00174685+0.00596805j -0.00227577+0.0056164j 0.025131+0.0418606j -0.00894922+0.00541322j -0.0204759-0.0229012j -0.0158625+0.0202309j 0.00288028-0.00550131j -0.0106378-0.0108128j -0.0147841+0.0135467j -0.00321296-0.0138029j -0.0176318+0.00165897j -0.0105769+0.0197853j 0.0433525+0.0116646j 0.0245092-0.0342844j -0.00771783-0.00018987j -0.00338143-0.0220296j 
-0.00548675+0.0166005j -0.0185502-0.00893112j -0.0191567+0.000496053j -0.00781441-0.00417698j 0.00844603-0.0229963j -0.00539118+0.0047137j -0.00631368+0.0018758j -0.00900602+0.00369735j 0.0162829+0.0303825j -0.00190635-0.00117741j 0.00742336+0.0401138j -0.020794-0.0587884j 0.00043548-0.00113167j -0.0115838+0.00182296j 0.00466037+0.00601348j -0.022547-0.0218112j -0.0114284+0.00534719j -0.00579828-0.0372555j 0.0103706+0.0126299j -0.0105335+0.010002j -0.00693608+0.0495802j 0.00412794+0.0212004j -0.0262076+0.0125677j 0.00189356+0.0460732j 0.0192196-0.0271078j 0.00845506+0.0164093j 0.00579423+0.00640294j -0.0020821+0.0127056j 0.00676367-0.00848253j 0.00522807+0.00010023j 0.0165931-0.00735678j 0.0073844+0.00539946j -0.0221583-0.00340587j -0.0262329+0.0143587j 0.00321636-0.00948087j -0.00118737+0.00972238j 
-0.00962567-0.0179499j 0.00409418+0.0154626j -0.00471219-0.00511857j -0.0174062+0.00192189j 0.00617475+0.0265823j -0.00336636-0.0102137j -0.00615278+0.00665363j 0.00759783+0.00887062j 0.00446206-0.0064369j -0.0046025-0.000581786j 0.0148173-0.000455349j -0.00565429+0.0289379j -0.0118754-0.00577613j 0.0121069-0.0151594j 0.001865+0.00677431j 0.00864884-0.00927524j 0.00105667-0.00268153j 0.00518443+0.0130523j -0.00683283+0.000794352j 0.00271649-0.00167749j 0.00833182-0.0168715j -0.000499479-0.0208467j -0.00547748+0.0251829j -0.0163255-0.0198188j -0.00356635-0.000813717j 0.00254136+0.0132051j 0.0153344-0.0119146j 0.0160485-0.0203084j 0.00868036+0.00311673j 0.00514337-0.00924258j 0.00990628+0.00173082j -0.00107413+0.00824418j 0.0313925+0.00623405j -0.00420903-0.0126405j -0.00621523+0.0165316j -0.0265753-0.000981046j 
0.00556025+0.023119j -0.00255371+0.00150259j -0.0193219-0.00123544j 0.0061625-0.00560054j 0.000211414-0.0272815j -0.0104312+0.00514422j 0.0108272-0.0136797j 0.00214854-0.00737689j -0.000620533+0.0148835j -0.0062736-0.0195502j 0.000935167+0.0156888j 0.0100186-0.0297848j 0.0185607-0.0081443j -0.00178425+0.0106476j 0.0315541-0.0140013j -0.00736818-0.0175218j 0.000205762-4.48923e-05j -0.000821842+0.0024358j -0.00137287+0.00210843j 0.00346847-0.00579336j -0.00383102+0.018852j -0.00592311+0.0215038j 0.0117817-0.00639197j -0.00427815+0.00973032j 0.00970658-0.0178255j 0.00228931+0.0148504j -0.00484777+0.00390418j -0.0130444+0.00188869j -0.0122401+0.00933053j -0.00106339-0.00566274j -0.00212825+0.00689812j 0.00161267+0.0136989j -0.0023221+0.00763273j 0.00769633-0.0153258j -0.00378087+0.00597327j -0.00164265-0.00535477j 
-0.023501+0.0274209j -0.00389214+0.0219629j 0.0083847+0.00517892j -0.0119072-0.0461956j 0.0261348-0.000213397j -0.0110689+0.000344101j -0.0100312-0.0272387j -0.022096+0.0438697j 0.00611107+0.0150861j 0.00874601-0.0197564j 0.00206177+0.026099j 0.00410854+0.00521158j 0.0115935-0.00970751j -0.0192264-0.0203552j 0.0172315-0.000372167j -0.0047991+0.00494728j -0.00813916+0.00368634j 0.0056911+0.000633264j 0.00759729-0.00342023j 0.00169924-0.00380925j 0.027245-0.00534619j 0.0228066-0.0173719j 0.000144972-0.0176527j -0.012202-0.00413429j 0.0289176+0.0021565j 0.0177943+0.00137432j -0.010465+0.0078093j -0.00945286+0.00829482j -0.0077027+0.00633729j -0.00260723+0.00819428j -0.00341868+0.013156j -5.70362e-05+0.000130025j -0.00828148+0.00011026j 0.00415327-0.0128002j -0.00153918+0.00748749j -0.0013131-0.00739313j 
-0.0192332-0.0304618j -0.0276177+0.0102775j -0.00652866-0.00519765j 0.00691427+0.00835735j -0.0116705+0.032506j 0.00488591-0.0157741j 0.00383299+0.0114504j -0.0106279+0.0113915j 0.0219098+0.00760143j 0.00271322-0.0261666j 0.00730395-0.00404823j -0.0123354-0.0066544j -0.0222962+0.00965662j -0.0172622-0.00722804j -0.0133208+0.0104577j 0.00133733-0.0116587j -0.00273614+0.00683324j 0.00813095-0.00684745j 0.00068491-0.00476342j -0.0053282+0.0165338j 0.0062695+0.0153431j -0.013735-0.029546j -0.00783015-0.0105296j -0.00260686+0.0342856j 0.0187879-0.00381798j 0.0108939-0.0198894j -0.00380904-0.00939906j -0.00815578-0.0104742j -0.00973669+0.00836403j 0.000813946-0.00626103j 0.00642986-0.00755512j 0.00305211-1.82549e-05j -0.0376269+0.00477861j -0.00203912+0.00811983j -0.00214779-0.00522881j 0.0163522-0.0039666j 
