-0.00121336-0j 0.00588148-0j 0.00582116-0j 0.00840614-0j 0.00120564-0j 0.00490358-0j 0.000703292-0j -0.0407469-0j 0.00679319-0j 0.000974307-0j -0.0465679-0j -0.0168072-0j 0.000107368-0j -0.0285169-0j 0.00843563-0j 0.00738118-0j 0.000122706-0j -0.0399153-0j 0.00516575-0j 7.51418e-05-0j 4.4287e-05-0j 0.00723054-0j 0.00304458-0j 0.000105177-0j 
-8.49504e-05-0j 0.000594174-0j -0.000605312-0j -6.11695e-06-0j -8.82905e-07-0j 0.000490667-0j 7.08217e-05-0j 4.27842e-05-0j -0.000347288-0j -5.01267e-05-0j -7.16374e-07-0j 5.34598e-05-0j 3.56535e-06-0j -3.08201e-05-0j 0.0005906-0j -0.0352726-0j -5.96978e-08-0j -4.31391e-05-0j 0.025409-0j -2.56834e-06-0j 4.45499e-06-0j 0.0355652-0j -0.0440739-0j -3.59493e-06-0j 
-9.30585e-05-0j 0.000650885-0j -0.000663086-0j 0.000644709-0j -9.67174e-07-0j -0.0517149-0j 7.75812e-05-0j -0.00450933-0j 0.0366032-0j -5.49111e-05-0j 7.55037e-05-0j -0.00563451-0j 3.90564e-06-0j 0.00324835-0j -4.43921e-06-0j 0.000265124-0j -6.53957e-08-0j 0.00454674-0j -0.000190985-0j -2.81347e-06-0j 4.88019e-06-0j -0.000267323-0j 0.000331278-0j -3.93804e-06-0j 
8.67021e-06-0j -6.06427e-05-0j 6.17794e-05-0j -0.000120759-0j 9.01111e-08-0j 0.00968658-0j -7.22821e-06-0j 0.000844631-0j -0.00685604-0j 5.11604e-06-0j -1.41424e-05-0j 0.00105539-0j -3.63887e-07-0j -0.000608439-0j -6.02779e-05-0j 0.00359999-0j 6.09288e-09-0j -0.000851637-0j -0.00259329-0j 2.6213e-07-0j -4.54685e-07-0j -0.00362986-0j 0.00449827-0j 3.66906e-07-0j 
-0.000120138-0j -0.0397478-0j 0.0404929-0j -8.65067e-06-0j 0.000119374-0j 0.000693908-0j -0.00957551-0j -0.00286209-0j -0.000491139-0j 0.00677743-0j 4.79225e-05-0j -0.00357624-0j -0.000725606-0j 0.00206174-0j -5.73099e-06-0j 0.000342273-0j 1.21495e-05-0j 0.00288583-0j -0.000246561-0j 0.000522698-0j -0.000906661-0j -0.000345113-0j 0.000427679-0j 0.000731625-0j 
1.00115e-05-0j 0.00331232-0j -0.00337441-0j 7.20889e-07-0j -9.94784e-06-0j -5.78256e-05-0j 0.00079796-0j 0.000238507-0j 4.09283e-05-0j -0.000564786-0j -3.99354e-06-0j 0.00029802-0j 6.04672e-05-0j -0.000171811-0j -0.000139683-0j 0.00834235-0j -1.01246e-06-0j -0.000240486-0j -0.0060095-0j -4.35582e-05-0j 7.55551e-05-0j -0.00841155-0j 0.010424-0j -6.09688e-05-0j 
0.00485344-0j 0.00049735-0j 0.000492249-0j 0.000349477-0j 5.04427e-05-0j 0.000203862-0j 2.94249e-05-0j 3.58123e-05-0j 0.00028242-0j 4.07638e-05-0j 4.09283e-05-0j 1.47718e-05-0j 2.98435e-06-0j 2.50634e-05-0j -0.0677166-0j -0.059252-0j 3.41069e-06-0j 3.50814e-05-0j -0.0414678-0j 2.08861e-06-0j 1.23098e-06-0j -0.0580428-0j -0.0244402-0j 2.92345e-06-0j 
-8.849e-07-0j -0.00029277-0j 0.000298258-0j 1.85192e-05-0j 8.79273e-07-0j -0.0014855-0j -7.05303e-05-0j 0.0061271-0j 0.00105142-0j 4.99205e-05-0j -0.000102591-0j 0.00765595-0j -5.34459e-06-0j -0.00441372-0j -4.22127e-08-0j 2.52108e-06-0j 8.94893e-08-0j -0.00617793-0j -1.81609e-06-0j 3.85004e-06-0j -6.67819e-06-0j -2.542e-06-0j 3.15015e-06-0j 5.38893e-06-0j 
1.34318e-05-0j 0.00898183-0j -0.00915019-0j 9.67174e-07-0j 0.000624577-0j -7.75812e-05-0j -0.0501-0j 0.000646747-0j 5.49111e-05-0j 0.0354602-0j -1.08291e-05-0j 0.000808125-0j -0.00772875-0j -0.000465891-0j 6.40744e-07-0j -3.82673e-05-0j 0.000129409-0j -0.000652112-0j 2.75663e-05-0j 0.00556749-0j -0.00965726-0j 3.85848e-05-0j -4.78159e-05-0j 0.00779287-0j 
-0.0582412-0j -0.0059682-0j -0.00590699-0j -0.00419372-0j -0.000605312-0j -0.00244634-0j -0.000353099-0j -0.000429747-0j -0.00338904-0j -0.000489166-0j -0.000491139-0j -0.000177262-0j -3.58123e-05-0j -0.00030076-0j -0.0027783-0j -0.00243102-0j -4.09283e-05-0j -0.000420977-0j -0.00170136-0j -2.50634e-05-0j -1.47718e-05-0j -0.0023814-0j -0.00100274-0j -3.50814e-05-0j 
-1.25144e-06-0j -0.00125963-0j 0.00128324-0j -9.01111e-08-0j -0.000178318-0j 7.22821e-06-0j 0.0143037-0j -9.07007e-05-0j -5.11604e-06-0j -0.010124-0j 1.51868e-06-0j -0.000113333-0j -0.0333316-0j 6.53373e-05-0j -5.96978e-08-0j 3.56535e-06-0j 0.000558101-0j 9.14532e-05-0j -2.56834e-06-0j 0.0240108-0j -0.0416486-0j -3.59493e-06-0j 4.45499e-06-0j 0.0336081-0j 
1.27724e-07-0j 0.00012856-0j -0.00013097-0j -1.77894e-06-0j 1.81995e-05-0j 0.000142697-0j -0.00145986-0j -0.00179058-0j -0.000100999-0j 0.00103327-0j 2.99813e-05-0j -0.00223737-0j 0.00340189-0j 0.00128987-0j 6.09288e-09-0j -3.63887e-07-0j -5.6961e-05-0j 0.00180544-0j 2.6213e-07-0j -0.00245059-0j 0.00425075-0j 3.66906e-07-0j -4.54685e-07-0j -0.00343012-0j 
1.04286e-07-0j 0.000140202-0j -0.00014283-0j 7.50926e-09-0j 2.9928e-05-0j -6.02351e-07-0j -0.00240066-0j 1.00954e-05-0j 4.26336e-07-0j 0.00169915-0j -1.69036e-07-0j 1.26144e-05-0j 0.0114731-0j -7.27231e-06-0j -7.2503e-07-0j 4.33012e-05-0j -0.000192104-0j -1.01791e-05-0j -3.11925e-05-0j -0.00826478-0j 0.0143359-0j -4.36604e-05-0j 5.41058e-05-0j -0.0115683-0j 
-8.24457e-09-0j -1.38693e-05-0j 1.41293e-05-0j 5.71183e-08-0j -3.9571e-06-0j -4.58171e-06-0j 0.000317416-0j 9.60864e-05-0j 3.24288e-06-0j -0.000224663-0j -1.60886e-06-0j 0.000120062-0j -0.00229154-0j -6.92169e-05-0j -3.93294e-10-0j 2.34888e-08-0j 3.83693e-05-0j -9.68835e-05-0j -1.69204e-08-0j 0.00165074-0j -0.00286333-0j -2.36836e-08-0j 2.93498e-08-0j 0.00231055-0j 
0.000770597-0j -0.00538984-0j 0.00549087-0j 5.54877e-05-0j 8.00896e-06-0j -0.00445091-0j -0.000642434-0j -0.000388102-0j 0.0031503-0j 0.000454707-0j 6.49833e-06-0j -0.000484942-0j -3.23418e-05-0j 0.000279573-0j 3.67601e-05-0j -0.00219543-0j 5.41528e-07-0j 0.000391321-0j 0.00158151-0j 2.32978e-05-0j -4.04118e-05-0j 0.00221365-0j -0.00274325-0j 3.26101e-05-0j 
2.59679e-10-0j 6.12305e-07-0j -6.23782e-07-0j 1.86985e-11-0j 2.62647e-07-0j -1.49989e-09-0j -2.10681e-05-0j 4.40897e-08-0j 1.0616e-09-0j 1.49117e-05-0j -7.38233e-10-0j 5.50911e-08-0j 0.000254738-0j -3.17605e-08-0j 1.23876e-11-0j -7.39827e-10-0j -4.26531e-06-0j -4.44555e-08-0j 5.32943e-10-0j -0.000183503-0j 0.000318301-0j 7.45965e-10-0j -9.24432e-10-0j -0.000256851-0j 
