-0.0416381-0j -0.00736065-0j -0.000613387-0j -0.0363191-0j -0.00605318-0j -0.0037068-0j -0.000756647-0j -4.45859e-05-0j -0.0228981-0j -0.0231354-0j -0.00369517-0j -0.00373346-0j -0.00301709-0j -0.00304836-0j -0.00043548-0j -0.000377137-0j -0.000439993-0j -0.000381045-0j -4.4446e-05-0j -4.49066e-05-0j -2.02867e-06-0j -2.0497e-06-0j -0.0170137-0j -0.0210534-0j -0.0122812-0j -0.00269011-0j -0.00332884-0j -0.00212672-0j -0.00194182-0j -0.00141781-0j -0.000306965-0j -0.00263168-0j -0.00175445-0j -0.000354453-0j -0.00153514-0j -0.00037985-0j -0.000125318-0j -0.00102343-0j -2.95377e-05-0j -0.000221579-0j -3.13295e-05-0j -0.000438613-0j -0.000155073-0j -0.000255857-0j -3.65511e-05-0j -2.61079e-06-0j -9.04593e-05-0j -3.87683e-05-0j -2.13215e-05-0j -9.72984e-08-0j -3.23069e-06-0j -2.26148e-05-0j -1.20401e-07-0j -1.88457e-06-0j -7.02337e-08-0j 
-0.00381636-0j 0.0644993-0j -5.62202e-05-0j -5.76749e-05-0j -9.61249e-06-0j 0.00113143-0j 0.000114875-0j -7.08027e-08-0j -0.00209874-0j 0.00204701-0j -0.000338682-0j 0.000330335-0j 0.026438-0j -0.0257863-0j -3.99141e-05-0j 0.00664406-0j 3.89303e-05-0j -0.0064803-0j 0.000389468-0j -0.000379868-0j -1.85939e-07-0j 1.81356e-07-0j -0.0015594-0j -3.3433e-05-0j 0.00219276-0j -0.000246563-0j -5.28622e-06-0j 0.0186358-0j 0.000346706-0j -0.00012995-0j -2.8135e-05-0j 0.000399545-0j -2.78608e-06-0j 0.00310597-0j -0.0262049-0j -6.03204e-07-0j 0.00331735-0j 0.00018273-0j -2.70729e-06-0j 3.95622e-05-0j 0.000551935-0j 6.65909e-05-0j 7.11228e-05-0j -0.00436748-0j -5.80434e-08-0j 2.28776e-05-0j -0.00466472-0j 1.18333e-05-0j 3.80688e-06-0j -8.91793e-09-0j 4.90488e-07-0j -0.000776107-0j -1.91197e-10-0j -3.21695e-05-0j 1.254e-08-0j 
0.000550844-0j -0.00928016-0j 0.110548-0j 8.32466e-06-0j -0.000132226-0j 8.49632e-07-0j 0.000770974-0j 0.000280403-0j 0.000302927-0j -0.00029546-0j -0.0046588-0j 0.00454397-0j 3.99141e-05-0j -3.89303e-05-0j 0.0256106-0j -0.000475487-0j -0.0249794-0j 0.000463767-0j 0.00801032-0j -0.00781289-0j 0.00123159-0j -0.00120124-0j 0.00022508-0j 4.82563e-06-0j -0.000316498-0j -0.00339164-0j -7.27155e-05-0j 2.8135e-05-0j 0.00476917-0j 1.87567e-05-0j 0.0180527-0j 6.03204e-07-0j 4.02136e-07-0j -0.000446887-0j -3.95622e-05-0j 0.000387042-0j 1.65787e-06-0j -2.63748e-05-0j 0.00532347-0j -0.0253849-0j 0.00184249-0j -9.5811e-06-0j 3.55442e-08-0j 0.000628394-0j 0.000114133-0j 0.000947682-0j -2.33123e-06-0j 3.95024e-05-0j -0.00748563-0j 8.8789e-05-0j 2.0318e-05-0j -0.00259083-0j 1.9036e-06-0j -0.00133259-0j -0.000124851-0j 
-0.00301709-0j 0.0509912-0j -4.4446e-05-0j -0.00263168-0j -0.000438613-0j 0.0516266-0j 0.0052417-0j -3.23069e-06-0j 0.00161196-0j -0.00167639-0j 0.00026013-0j -0.000270527-0j -0.020306-0j 0.0211176-0j 3.06566e-05-0j -0.00510306-0j -3.18819e-05-0j 0.00530702-0j -0.000299136-0j 0.000311092-0j 1.42813e-07-0j -1.48521e-07-0j -0.00123281-0j 0.0014821-0j -0.000889892-0j -0.000194925-0j 0.000234341-0j 0.0147329-0j -0.000140704-0j -0.000102735-0j -2.22427e-05-0j -0.0177121-0j 0.000123508-0j 0.00245549-0j 0.0106348-0j 2.67404e-05-0j 0.0026226-0j -7.41577e-05-0j -2.1403e-06-0j -1.60556e-05-0j 0.000436343-0j -0.00295201-0j -0.00315291-0j 0.00177246-0j 2.57309e-06-0j 1.80864e-05-0j 0.00189309-0j -0.000524576-0j -1.54495e-06-0j -7.05024e-09-0j -2.17436e-05-0j 0.000314969-0j 8.47587e-09-0j 1.30554e-05-0j -5.08913e-09-0j 
-0.0020114-0j 0.0339941-0j -2.96307e-05-0j -0.00175445-0j -0.000292409-0j 0.0344177-0j 0.00349447-0j -2.15379e-06-0j -0.00110613-0j -0.00111759-0j -0.000178501-0j -0.000180351-0j 0.013934-0j 0.0140784-0j -2.10366e-05-0j 0.00350173-0j -2.12546e-05-0j 0.00353801-0j 0.000205268-0j 0.000207395-0j -9.79984e-08-0j -9.90139e-08-0j 0.00405449-0j -0.00101702-0j -0.000593262-0j 0.00064107-0j -0.000160805-0j -0.0484537-0j -9.38029e-05-0j 0.000337874-0j 7.31518e-05-0j 0.012154-0j -8.47516e-05-0j -0.00807561-0j 0.00708985-0j -1.83493e-05-0j -0.00862521-0j -4.94385e-05-0j 7.03904e-06-0j -1.07037e-05-0j -0.00143505-0j 0.00202567-0j 0.00216353-0j 0.00118164-0j -1.76566e-06-0j -5.94825e-05-0j 0.00126206-0j 0.000359964-0j -1.02997e-06-0j 2.31869e-08-0j 1.49205e-05-0j 0.000209979-0j -5.81615e-09-0j 8.70362e-06-0j -3.39275e-09-0j 
0.00304836-0j -0.0515196-0j 4.49066e-05-0j -0.00256681-0j -0.000427802-0j 0.0503541-0j 0.00511251-0j -3.15106e-06-0j 0.00167639-0j -0.00169275-0j 0.000270527-0j -0.000273166-0j -0.0211176-0j 0.0213237-0j 3.18819e-05-0j -0.00530702-0j -3.21929e-05-0j 0.0053588-0j -0.000311092-0j 0.000314127-0j 1.48521e-07-0j -1.4997e-07-0j 0.00124559-0j -0.00148793-0j 0.000807266-0j 0.000196945-0j -0.000235262-0j -0.0148856-0j 0.00012764-0j 0.000103799-0j 2.24732e-05-0j 0.0177817-0j -0.000123994-0j -0.00248093-0j -0.00964734-0j -2.68455e-05-0j -0.00264977-0j 6.72722e-05-0j 2.16248e-06-0j 1.45649e-05-0j -0.000440865-0j 0.00296362-0j 0.00316531-0j -0.00160789-0j -2.58321e-06-0j -1.82738e-05-0j -0.00171732-0j 0.000526638-0j 1.4015e-06-0j 7.1233e-09-0j 2.18291e-05-0j -0.000285724-0j -8.50919e-09-0j -1.18432e-05-0j 4.61661e-09-0j 
0.00043548-0j -0.00733661-0j 0.0873961-0j 0.00037985-0j -0.00603341-0j 3.87683e-05-0j 0.0351792-0j 0.0127946-0j -0.000232667-0j 0.000241966-0j 0.00357826-0j -0.00372127-0j -3.06566e-05-0j 3.18819e-05-0j -0.0196706-0j 0.000365204-0j 0.0204568-0j -0.000379801-0j -0.00615244-0j 0.00639834-0j -0.000945941-0j 0.000983749-0j 0.000177941-0j -0.000213923-0j 0.000128445-0j -0.00268132-0j 0.00322351-0j 2.22427e-05-0j -0.00193548-0j 1.48284e-05-0j 0.0142719-0j -2.67404e-05-0j -1.78269e-05-0j -0.000353295-0j 1.60556e-05-0j -0.0171578-0j 1.31066e-06-0j 1.07037e-05-0j 0.00420857-0j 0.010302-0j 0.00145662-0j 0.000424735-0j -1.57569e-06-0j -0.000255022-0j -0.00505958-0j 0.000749209-0j 9.46086e-07-0j -0.00175116-0j 0.00303791-0j 7.01939e-05-0j -0.000900706-0j 0.00105144-0j -8.43878e-05-0j 0.000540807-0j 5.06686e-05-0j 
0.00029032-0j -0.00489108-0j 0.0582641-0j 0.000253233-0j -0.00402228-0j 2.58455e-05-0j 0.0234528-0j 0.00852976-0j 0.000159656-0j 0.000161311-0j -0.0024554-0j -0.00248085-0j 2.10366e-05-0j 2.12546e-05-0j 0.013498-0j -0.000250604-0j 0.0136379-0j -0.000253201-0j 0.00422181-0j 0.00426556-0j 0.000649106-0j 0.000655833-0j -0.000585215-0j 0.000146794-0j 8.56299e-05-0j 0.00881835-0j -0.00221198-0j -7.31518e-05-0j -0.00129032-0j -4.87679e-05-0j -0.0469374-0j 1.83493e-05-0j 1.22328e-05-0j 0.00116192-0j 1.07037e-05-0j 0.0117737-0j -4.31051e-06-0j 7.13583e-06-0j -0.0138412-0j 0.00686799-0j -0.00479053-0j -0.000291454-0j 1.08124e-06-0j -0.000170015-0j 0.00347189-0j -0.002464-0j 6.30724e-07-0j 0.00120165-0j 0.00202527-0j -0.000230854-0j 0.000618066-0j 0.000700961-0j 5.7907e-05-0j 0.000360538-0j 3.37791e-05-0j 
-0.000439993-0j 0.00741264-0j -0.0883018-0j 0.000370487-0j -0.0058847-0j 3.78127e-05-0j 0.0343121-0j 0.0124793-0j -0.000241966-0j 0.000244327-0j 0.00372127-0j -0.00375758-0j -3.18819e-05-0j 3.21929e-05-0j -0.0204568-0j 0.000379801-0j 0.0206564-0j -0.000383506-0j -0.00639834-0j 0.00646077-0j -0.000983749-0j 0.000993347-0j -0.000179785-0j 0.000214764-0j -0.000116519-0j 0.00270911-0j -0.00323619-0j -2.24732e-05-0j 0.00175577-0j -1.49821e-05-0j -0.0144198-0j 2.68455e-05-0j 1.7897e-05-0j 0.000356957-0j -1.45649e-05-0j 0.0172253-0j -1.32424e-06-0j -9.7099e-06-0j -0.00425218-0j -0.00934545-0j -0.00147171-0j -0.000426405-0j 1.58189e-06-0j 0.000231343-0j 0.00507948-0j -0.000756973-0j -8.58242e-07-0j 0.00175805-0j -0.00275584-0j -7.09213e-05-0j 0.000904248-0j -0.000953816-0j 8.47196e-05-0j -0.000490594-0j -4.59641e-05-0j 
0.00351994-0j -0.0594897-0j 5.18537e-05-0j 5.31954e-05-0j 8.86589e-06-0j -0.00104355-0j -0.000105953-0j 6.53035e-08-0j -0.00188063-0j -0.00188802-0j -0.000303485-0j -0.000304678-0j 0.0236904-0j 0.0237835-0j -3.5766e-05-0j 0.00595357-0j -3.59066e-05-0j 0.00597698-0j 0.000348992-0j 0.000350364-0j -1.66615e-07-0j -1.6727e-07-0j -0.00282853-0j -2.99584e-05-0j -0.00202245-0j -0.00044723-0j -4.73684e-06-0j 0.0338028-0j -0.000319778-0j -0.000235711-0j -5.10329e-05-0j 0.000358022-0j -2.49654e-06-0j 0.00563379-0j 0.0241696-0j -5.40516e-07-0j 0.00601721-0j -0.000168538-0j -4.91065e-06-0j -3.64895e-05-0j 0.00100113-0j 5.96704e-05-0j 6.37313e-05-0j 0.00402826-0j -5.20112e-08-0j 4.14968e-05-0j 0.00430241-0j 1.06035e-05-0j -3.5112e-06-0j -1.61759e-08-0j 4.39514e-07-0j 0.000715827-0j -1.71327e-10-0j 2.9671e-05-0j -1.1566e-08-0j 
0.00124449-0j -0.0210328-0j 1.8333e-05-0j 0.00108551-0j 0.000180919-0j -0.0212949-0j -0.00216209-0j 1.33259e-06-0j -0.00336347-0j 0.000691477-0j -0.000542778-0j 0.000111587-0j 0.0423699-0j -0.00871058-0j -6.3967e-05-0j 0.0106479-0j 1.31506e-05-0j -0.00218903-0j 0.000624168-0j -0.000128319-0j -2.97989e-07-0j 6.12617e-08-0j 0.00050851-0j -0.0030925-0j 0.000367062-0j 8.04025e-05-0j -0.000488968-0j -0.00607702-0j 5.80376e-05-0j 4.23758e-05-0j 9.17463e-06-0j 0.0369574-0j -0.000257709-0j -0.00101284-0j -0.00438662-0j -5.57956e-05-0j -0.00108177-0j 3.05885e-05-0j 8.8283e-07-0j 6.6226e-06-0j -0.000179982-0j 0.00615957-0j 0.00657876-0j -0.000731104-0j -5.36893e-06-0j -7.46024e-06-0j -0.00078086-0j 0.00109456-0j 6.3726e-07-0j 2.90808e-09-0j 4.53695e-05-0j -0.000129918-0j -1.76855e-08-0j -5.38509e-06-0j 2.09916e-09-0j 
-0.0020533-0j 0.0347023-0j -3.0248e-05-0j 0.00348891-0j 0.000581485-0j -0.0684433-0j -0.00694912-0j 4.28305e-06-0j -0.00112918-0j -0.00102433-0j -0.00018222-0j -0.000165301-0j 0.0142243-0j 0.0129036-0j -2.14748e-05-0j 0.00357468-0j -1.94809e-05-0j 0.00324277-0j 0.000209544-0j 0.000190088-0j -1.0004e-07-0j -9.07513e-08-0j 0.00164998-0j 0.00202245-0j -0.00232807-0j 0.000260884-0j 0.000319778-0j -0.0197183-0j -0.0003681-0j 0.000137498-0j 2.97692e-05-0j -0.0241696-0j 0.000168538-0j -0.00328638-0j 0.0278219-0j 3.64895e-05-0j -0.00351004-0j -0.000194006-0j 2.86454e-06-0j -4.20034e-05-0j -0.000583994-0j -0.00402826-0j -0.00430241-0j 0.00463698-0j 3.5112e-06-0j -2.42065e-05-0j 0.00495256-0j -0.000715827-0j -4.04178e-06-0j 9.43592e-09-0j -2.9671e-05-0j 0.000823997-0j 1.1566e-08-0j 3.41546e-05-0j -1.33138e-08-0j 
