-0.38487-0j -0.00831314-0j -0.325342-0j 0.315702-0j -0.296996-0j -0.007274-0j -0.00484933-0j 0.416036-0j -0.212184-0j 0.291182-0j -0.00300037-0j 0.365269-0j 0.297231-0j 0.269976-0j 0.0894371-0j -0.0519308-0j -0.00111019-0j -0.0428407-0j 0.0415712-0j -0.0383179-0j -0.0262345-0j -0.000938479-0j 0.0536763-0j -0.000856711-0j -0.0265063-0j -0.0249904-0j 0.0363748-0j 0.0242499-0j 0.04563-0j -0.000612064-0j -0.00773101-0j 0.0495073-0j 0.0150039-0j 0.031797-0j 0.0325996-0j 0.0200994-0j 0.00537914-0j -0.0345988-0j -0.0049939-0j -0.000733862-0j -0.000105924-0j -0.0280282-0j -0.00404552-0j 0.0271977-0j 0.00392565-0j -0.0247186-0j -0.00356782-0j -0.0234501-0j -0.000605405-0j -0.00338473-0j -8.73827e-05-0j 0.0346261-0j 0.00499785-0j -0.000541491-0j -0.000370734-0j -0.0167535-0j -7.81575e-05-0j -5.35108e-05-0j -0.00241817-0j 0.022991-0j -0.0216287-0j 0.00331847-0j 0.0288408-0j -0.00832491-0j -0.00312184-0j 0.0209878-0j 0.00416281-0j -0.0012016-0j -0.000374575-0j 0.00302933-0j -0.000353153-0j -5.40653e-05-0j 0.0302979-0j -0.0089214-0j -5.09733e-05-0j 0.0201986-0j 0.00437312-0j 0.0194594-0j -0.00128769-0j 0.0149944-0j 0.00291541-0j 0.00280872-0j -0.000109251-0j 0.0266008-0j 0.00216426-0j -1.5769e-05-0j 0.0124972-0j 0.00383949-0j 0.0115971-0j 0.00180382-0j 0.0139024-0j 0.0016739-0j 0.00651327-0j 0.00200664-0j 0.000940109-0j 0.00146363-0j 0.000211256-0j 
-0.00824924-0j 0.0174705-0j 0.00670588-0j -0.00622546-0j -0.00636575-0j -0.0147004-0j 0.0101911-0j -0.0175619-0j 0.0132949-0j 0.00552171-0j -0.0308017-0j -0.00327977-0j 0.036678-0j -0.0179194-0j 0.0314943-0j -0.00111307-0j 0.00233313-0j 0.000883023-0j -0.000819761-0j -0.000821299-0j -0.000562305-0j -0.00189662-0j -0.0022658-0j 0.00180042-0j 0.00166082-0j 0.000515097-0j 0.000689781-0j -0.000478194-0j -0.000409714-0j -0.00376019-0j 0.00113452-0j 0.00200967-0j 0.00144529-0j 0.00219466-0j 0.000855688-0j -0.00366531-0j 0.00299209-0j -0.000741584-0j -0.000107038-0j 0.00154225-0j 0.000222605-0j 0.000577711-0j 8.33854e-05-0j -0.000536322-0j -7.74115e-05-0j -0.000529813-0j -7.64719e-05-0j -0.000502625-0j -0.0012235-0j -7.25476e-05-0j -0.000176596-0j -0.00146165-0j -0.000210971-0j 0.00113797-0j 0.000779117-0j 0.00104973-0j 0.000164252-0j 0.000112456-0j 0.000151516-0j 0.000435982-0j 0.000445807-0j 6.29285e-05-0j -0.000258963-0j -0.000178435-0j 6.43466e-05-0j -0.000413868-0j -3.73781e-05-0j -2.57548e-05-0j -0.00230119-0j -5.97367e-05-0j -0.000713706-0j -0.000332148-0j 0.00122989-0j 0.000934097-0j -0.000103015-0j -0.000852629-0j 0.00017752-0j 0.00134311-0j 0.000134825-0j 0.000864364-0j -0.000123066-0j 0.000193861-0j -0.00157196-0j 0.000229689-0j 0.00012476-0j -0.000226893-0j 0.00257699-0j 3.31527e-05-0j 0.00219918-0j 0.000371956-0j -0.00280508-0j 0.000317425-0j -0.00220561-0j -0.000404879-0j -0.000318353-0j 0.0011735-0j 0.000169381-0j 
-0.000291594-0j -6.29839e-06-0j -0.000246493-0j 0.000239189-0j 0.000658899-0j 1.61377e-05-0j -3.67406e-06-0j -0.000922996-0j -0.000160759-0j 0.000220611-0j -2.27321e-06-0j 0.000276743-0j 0.000225194-0j 0.000204545-0j 6.77613e-05-0j 0.00374014-0j 7.9958e-05-0j 0.00308546-0j -0.00299403-0j 0.00275972-0j -0.0129549-0j 6.75909e-05-0j -0.00386586-0j -0.000180677-0j -0.00559008-0j 0.00179985-0j 0.00767131-0j -0.00174652-0j 0.00962318-0j 4.40819e-05-0j 0.000556801-0j -0.0035656-0j -0.0010806-0j -0.00229007-0j -0.00234788-0j -0.0014476-0j -0.000387415-0j 0.00249345-0j -0.0167336-0j 5.28876e-05-0j -0.00035493-0j 0.00201992-0j -0.0135558-0j -0.00196007-0j 0.0131541-0j 0.0017814-0j -0.0119551-0j -0.00494867-0j 4.363e-05-0j 0.0332107-0j -0.000292802-0j -0.00249542-0j 0.0167468-0j 3.90239e-05-0j -0.00018319-0j 0.00120739-0j -0.00026189-0j 0.00122939-0j -0.0081028-0j -0.0016569-0j -0.00456431-0j 0.0111195-0j -0.00207848-0j 0.000599955-0j 0.0306312-0j 0.00442906-0j 0.0139488-0j -0.00402631-0j -7.90466e-05-0j -0.0297236-0j 2.54508e-05-0j 0.000530484-0j 0.00639376-0j 0.000642943-0j -0.000170801-0j -0.00145566-0j -0.0429087-0j 0.00410651-0j -0.00431481-0j -0.00108061-0j 0.00976898-0j -0.0275589-0j 7.87345e-06-0j -0.00191705-0j 0.00725201-0j -5.2839e-05-0j -0.000900644-0j 0.0128654-0j -0.000835775-0j 0.00604425-0j -0.00100191-0j 0.00560891-0j -0.000469395-0j 0.00672387-0j 0.00315012-0j -0.00010548-0j 0.000707878-0j 
0.00116638-0j 0.00127289-0j -0.000948158-0j 0.00099619-0j -0.00175002-0j -0.00107106-0j -0.0036299-0j 0.000649702-0j 0.00365491-0j 0.00171796-0j -0.00224418-0j -0.000736883-0j -0.0013569-0j -0.00020169-0j 4.6242e-05-0j 0.00015738-0j 0.00016999-0j -0.000124852-0j 0.000131177-0j -0.000225784-0j 7.95053e-05-0j -0.000138186-0j 8.38235e-05-0j -0.00025505-0j -0.000234826-0j 0.000356042-0j -0.000110378-0j -0.000374079-0j 4.73443e-05-0j 0.000532673-0j -0.000160411-0j 0.000144556-0j -0.000231274-0j -4.80283e-05-0j -9.88787e-05-0j -1.20003e-05-0j 2.38273e-06-0j -0.0200524-0j 1.51344e-05-0j -0.0214892-0j 1.62188e-05-0j 0.0156213-0j -1.179e-05-0j -0.0164127-0j 1.23873e-05-0j 0.0278546-0j -2.1023e-05-0j -0.013591-0j 0.0170478-0j 1.02576e-05-0j -1.28666e-05-0j -0.0103412-0j 7.80488e-06-0j 0.0308294-0j -0.010856-0j 0.0283848-0j -2.32682e-05-0j 8.19342e-06-0j -2.14231e-05-0j 0.013342-0j -0.023438-0j -1.00697e-05-0j -0.00572278-0j 0.037793-0j 1.76896e-05-0j 0.0246254-0j 4.31921e-06-0j -2.85239e-05-0j 0.032064-0j -1.85857e-05-0j -0.0486153-0j -2.42e-05-0j 0.00870147-0j -0.0491096-0j 3.66919e-05-0j 0.0294899-0j -6.56735e-06-0j -0.00289104-0j 3.7065e-05-0j -0.0514301-0j -2.22572e-05-0j 2.18199e-06-0j 0.0219031-0j -0.0098691-0j 3.88164e-05-0j -1.65312e-05-0j 0.0182322-0j 7.4486e-06-0j 0.00267728-0j -1.37605e-05-0j 0.00603795-0j -2.02065e-06-0j 0.000619321-0j -4.55708e-06-0j -4.67426e-07-0j -0.000108449-0j 8.18509e-08-0j 
-0.00192442-0j 0.00201702-0j -0.00162677-0j 0.00164234-0j 0.00288738-0j 0.00176489-0j -0.00575195-0j -0.000947173-0j 0.00206284-0j -0.00294522-0j 0.000727981-0j 0.00569967-0j -0.000676693-0j -0.00360372-0j -0.00210812-0j 0.012212-0j -0.0126683-0j 0.0100744-0j -0.0101708-0j -0.0175199-0j 0.00616928-0j -0.0107089-0j 0.00574721-0j 0.0190074-0j 0.00623321-0j -0.0287292-0j -0.00889947-0j 0.0290042-0j 0.0172225-0j 0.0135796-0j 0.00181802-0j -0.0103065-0j -0.00367084-0j -0.0388111-0j 0.0123043-0j 0.0174894-0j 0.00723325-0j -0.000173-0j 0.0023737-0j 0.000178057-0j -0.00244308-0j -0.000140146-0j 0.00192291-0j 0.000141488-0j -0.00194132-0j 0.000240313-0j -0.00329728-0j -0.000117255-0j 0.00014689-0j 0.00160883-0j -0.00201544-0j -7.8832e-05-0j 0.00108164-0j -0.000255449-0j 8.99511e-05-0j -8.37708e-05-0j 0.00350496-0j -0.0012342-0j 0.0011494-0j 0.000119604-0j 0.000210274-0j -0.00164106-0j -0.00023146-0j 0.000326055-0j -0.00288512-0j -0.000212286-0j 0.00317582-0j -0.00447373-0j 9.08833e-05-0j 0.00291273-0j -0.000418886-0j -0.00124699-0j -6.8978e-05-0j 8.67335e-05-0j 0.00574744-0j 0.000224806-0j 0.000946431-0j -0.000259749-0j -0.00119005-0j -0.000151665-0j -0.00308451-0j 0.00356396-0j 2.65076e-05-0j 0.000415079-0j 0.00208096-0j -0.000363705-0j -2.8452e-05-0j -0.00569521-0j 0.000417188-0j 0.000390383-0j -0.000185574-0j -0.00572415-0j -0.000153524-0j 0.00254622-0j 0.00210647-0j -4.91529e-05-0j 0.000674416-0j 
1.71823e-05-0j 3.71136e-07-0j 1.45247e-05-0j -1.40943e-05-0j -3.8826e-05-0j -9.50924e-07-0j 2.16496e-07-0j 5.43881e-05-0j 9.47284e-06-0j -1.29997e-05-0j 1.3395e-07-0j -1.63073e-05-0j -1.32697e-05-0j -1.20529e-05-0j -3.99287e-06-0j -0.000443099-0j -9.4727e-06-0j -0.000365538-0j 0.000354706-0j -0.000326947-0j 0.00153478-0j -8.00756e-06-0j 0.000457992-0j 2.1405e-05-0j 0.000662262-0j -0.00021323-0j -0.000908827-0j 0.000206912-0j -0.00114007-0j -5.22242e-06-0j -6.59648e-05-0j 0.00042242-0j 0.00012802-0j 0.000271307-0j 0.000278156-0j 0.000171498-0j 4.58974e-05-0j 1.54464e-06-0j 0.00608644-0j 3.27629e-08-0j 0.000129097-0j 1.25131e-06-0j 0.00493058-0j -1.21423e-06-0j -0.00478447-0j 1.10355e-06-0j 0.00434836-0j -3.06561e-06-0j 2.7028e-08-0j -0.0120796-0j 0.0001065-0j -1.54587e-06-0j -0.00609125-0j 2.41746e-08-0j -1.13483e-07-0j 7.47954e-07-0j 9.52563e-05-0j -0.000447161-0j 0.0029472-0j -1.02642e-06-0j -2.82751e-06-0j -0.00404446-0j -1.28758e-06-0j 3.71661e-07-0j -0.0111414-0j 2.74372e-06-0j -0.00507352-0j 0.00146447-0j -4.8968e-08-0j 0.0108112-0j 1.57663e-08-0j -0.000192951-0j 3.96082e-06-0j 3.98291e-07-0j 6.21249e-05-0j -9.01755e-07-0j 0.015607-0j 2.54391e-06-0j 0.00156941-0j -6.69419e-07-0j -0.00355323-0j 0.0100239-0j 4.87746e-09-0j -1.18758e-06-0j -0.00263774-0j 1.92189e-05-0j -5.57933e-07-0j -0.00467947-0j -5.17748e-07-0j -0.00219845-0j -6.20667e-07-0j -0.00204011-0j -2.90781e-07-0j -0.00244564-0j -0.00114578-0j -6.53429e-08-0j -0.000257474-0j 
0.00263567-0j -0.0112208-0j 0.00222801-0j 0.0234431-0j 0.00203389-0j -0.00981816-0j -0.00654544-0j -0.0184429-0j 0.00145308-0j 0.0216223-0j -0.00404979-0j -0.0158942-0j -0.0131763-0j 0.0231692-0j -0.0011068-0j 0.000355633-0j -0.0014985-0j 0.000293382-0j 0.00308696-0j 0.000262409-0j 0.000179659-0j -0.00126672-0j -0.00237947-0j -0.00115635-0j 0.000181521-0j 0.00017114-0j 0.00270109-0j 0.00180073-0j -0.00198552-0j -0.00082614-0j 5.29436e-05-0j -0.00219466-0j 0.00111414-0j 0.0027288-0j -0.00141853-0j 0.00394345-0j -0.00533527-0j 0.00023694-0j 3.41993e-05-0j -0.000990539-0j -0.000142972-0j 0.000191943-0j 2.77046e-05-0j 0.00201962-0j 0.000291507-0j 0.000169278-0j 2.44332e-05-0j 0.000160591-0j -0.000817153-0j 2.31793e-05-0j -0.000117946-0j -0.00153498-0j -0.000221555-0j -0.000730884-0j -0.000500402-0j 0.000114732-0j -0.000105494-0j -7.22268e-05-0j 1.65601e-05-0j 0.00170725-0j 0.000148118-0j 0.00024642-0j -0.00125497-0j 5.70107e-05-0j 2.1379e-05-0j 0.0015585-0j -0.000181139-0j 8.22878e-06-0j -0.000505588-0j 0.00022495-0j -0.000476672-0j -7.29753e-05-0j -0.00134311-0j 6.10956e-05-0j -6.88017e-05-0j -0.000895404-0j -0.000193861-0j 0.00166999-0j 8.81839e-06-0j 0.00111344-0j -0.000129241-0j 0.000241043-0j -0.000147463-0j -0.00115749-0j 0.000160712-0j -2.12845e-05-0j -0.000554003-0j -0.00016707-0j 0.00227532-0j -7.99635e-05-0j 0.0011931-0j 0.000328415-0j -8.0603e-05-0j 0.000172209-0j -1.1634e-05-0j -0.00489725-0j -0.000706856-0j 
-0.000238085-0j -0.000259827-0j 0.000193542-0j -0.000203346-0j 0.00035722-0j 0.000218629-0j 0.000740949-0j -0.00013262-0j -0.000746056-0j -0.000350677-0j 0.000458092-0j 0.000150416-0j 0.000276977-0j 4.11698e-05-0j -9.43911e-06-0j 0.00305381-0j 0.0032985-0j -0.00242265-0j 0.00254538-0j -0.00438114-0j 0.00154273-0j -0.00268138-0j 0.00162652-0j -0.00494903-0j -0.00455659-0j 0.00690868-0j -0.00214178-0j -0.00725866-0j 0.000918675-0j 0.0103361-0j -0.00311264-0j 0.00280498-0j -0.00448767-0j -0.000931947-0j -0.00191865-0j -0.000232856-0j 4.62348e-05-0j 0.00203589-0j -0.0136629-0j 0.00218176-0j -0.0146419-0j -0.00158601-0j 0.0106437-0j 0.00166635-0j -0.0111829-0j -0.00282803-0j 0.018979-0j 0.00137987-0j -0.00173083-0j -0.00926034-0j 0.0116157-0j 0.00104992-0j -0.00704605-0j -0.00313006-0j 0.00110219-0j -0.00288186-0j 0.0210059-0j -0.00739681-0j 0.0193403-0j -0.00135459-0j 0.00237962-0j 0.00909071-0j 0.000581025-0j -0.00383706-0j -0.0159697-0j -0.00250017-0j -0.00389927-0j 0.0257506-0j -0.00325541-0j 0.0167787-0j 0.00493583-0j 0.0218471-0j -0.000883447-0j 0.00498602-0j -0.0331245-0j -0.00299407-0j 0.00592884-0j 0.000293523-0j -0.0334613-0j 0.00522162-0j 0.0200933-0j -0.00196984-0j -0.00222379-0j 0.00100199-0j -0.0350424-0j 0.0149239-0j -0.00185108-0j -0.00672441-0j -0.00027182-0j 0.0124227-0j -0.000613023-0j 0.00182419-0j -6.28786e-05-0j 0.00411402-0j 0.00042198-0j 1.10107e-05-0j -7.38929e-05-0j 
-0.00117846-0j 0.00123517-0j -0.00099619-0j 0.00100573-0j 0.00176815-0j 0.00108077-0j -0.00352233-0j -0.000580023-0j 0.00126323-0j -0.00180357-0j 0.000445795-0j 0.00349032-0j -0.000414388-0j -0.00220682-0j -0.00129095-0j -0.000159011-0j 0.000164952-0j -0.000131177-0j 0.000132433-0j 0.000228124-0j -8.03293e-05-0j 0.000139439-0j -7.48336e-05-0j -0.000247493-0j -8.11617e-05-0j 0.000374079-0j 0.000115879-0j -0.000377659-0j -0.000224251-0j -0.000176817-0j -2.36722e-05-0j 0.0001342-0j 4.77975e-05-0j 0.000505353-0j -0.000160213-0j -0.000227726-0j -9.4183e-05-0j 0.0202602-0j -1.52912e-05-0j -0.0208524-0j 1.57382e-05-0j 0.0164127-0j -1.23873e-05-0j -0.0165697-0j 1.25059e-05-0j -0.0281433-0j 2.12408e-05-0j 0.0137318-0j -0.0172024-0j -1.03639e-05-0j 1.29833e-05-0j 0.00923209-0j -6.96783e-06-0j 0.0299159-0j -0.0105343-0j 0.00981048-0j -2.25787e-05-0j 7.95063e-06-0j -7.40436e-06-0j -0.0140069-0j -0.0246254-0j 1.05716e-05-0j 0.0271065-0j -0.0381846-0j 1.85857e-05-0j 0.0248611-0j -2.04584e-05-0j 2.88195e-05-0j -0.0106434-0j -1.87636e-05-0j 0.0490562-0j 8.03302e-06-0j 0.00807808-0j -0.0101574-0j -3.70246e-05-0j -0.0263272-0j -6.09685e-06-0j 0.0304195-0j 7.66623e-06-0j 0.0177616-0j 1.98702e-05-0j -2.29588e-05-0j -0.00310433-0j -0.0486103-0j -1.34054e-05-0j 2.34297e-06-0j 0.00333204-0j 3.66882e-05-0j -0.0488573-0j -2.51482e-06-0j 0.0217327-0j 3.68746e-05-0j 0.0179793-0j -1.64026e-05-0j -1.35697e-05-0j 0.00575634-0j -4.34454e-06-0j 
-0.0016666-0j -3.59983e-05-0j 0.00411841-0j 0.00136708-0j -0.00128608-0j 9.20794e-05-0j -2.0999e-05-0j 0.00180156-0j -0.000780563-0j -0.00368598-0j -0.000160047-0j 0.00158172-0j 0.00109343-0j -0.00341754-0j 0.000387288-0j 0.0105759-0j 0.000226095-0j -0.0255048-0j -0.00846615-0j 0.00780359-0j 0.00534276-0j -0.000558715-0j -0.0109314-0j 0.000174473-0j 0.00458587-0j -0.0148778-0j 0.0216554-0j -0.00493859-0j -0.00929273-0j 0.000105893-0j 0.0495693-0j 0.0294737-0j -0.0376403-0j -0.00647558-0j -0.00564007-0j 0.011966-0j -0.00109548-0j -0.000149823-0j 0.00205568-0j -3.17783e-06-0j 4.36023e-05-0j 0.000354801-0j -0.00486814-0j 0.000117774-0j -0.00161595-0j -0.000107038-0j 0.00146865-0j -0.000101546-0j 7.66364e-06-0j 0.00139328-0j -0.000105151-0j 0.000149941-0j -0.00205731-0j -2.34481e-06-0j -1.60538e-06-0j -6.16314e-05-0j 3.21726e-05-0j 2.20271e-05-0j 0.000845631-0j -0.000291036-0j 0.000273792-0j 0.00399325-0j 0.000124889-0j -3.60492e-05-0j -0.00375663-0j 9.08833e-05-0j -0.00171357-0j 0.000494623-0j -1.37795e-06-0j -0.00124699-0j 4.47046e-06-0j 1.89066e-05-0j -0.000383532-0j -0.00047589-0j -6.13382e-05-0j 8.74656e-05-0j 0.00526235-0j 8.42646e-05-0j 0.00652958-0j 5.51602e-05-0j -0.0012001-0j -0.00115618-0j -1.48945e-05-0j -0.000336731-0j -0.00075684-0j 0.000204364-0j 0.000666634-0j 0.00462021-0j 5.02188e-05-0j -0.00914673-0j 5.1143e-05-0j -0.000689042-0j -8.24495e-05-0j -0.000701722-0j 0.00113127-0j 6.33792e-06-0j -8.69612e-05-0j 
-0.00102058-0j -2.20444e-05-0j 0.002522-0j 0.000837162-0j -0.000787557-0j 5.63869e-05-0j -1.28592e-05-0j 0.00110322-0j -0.000477995-0j -0.00225719-0j -9.80086e-05-0j 0.000968602-0j 0.000669583-0j -0.00209281-0j 0.000237165-0j -0.000137707-0j -2.94395e-06-0j 0.000332094-0j 0.000110236-0j -0.000101609-0j -6.95672e-05-0j 7.27494e-06-0j 0.000142336-0j -2.27178e-06-0j -5.97119e-05-0j 0.000193722-0j -0.000281972-0j 6.43046e-05-0j 0.000120999-0j -1.37882e-06-0j -0.000645434-0j -0.000383773-0j 0.000490108-0j 8.43175e-05-0j 7.34385e-05-0j -0.000155808-0j 1.42641e-05-0j 0.0175459-0j -1.32426e-05-0j 0.000372159-0j -2.80883e-07-0j -0.0415511-0j 3.13602e-05-0j -0.0137926-0j 1.04098e-05-0j 0.0125354-0j -9.46095e-06-0j 0.0118921-0j -0.000897497-0j -8.97544e-06-0j 6.77377e-07-0j -0.0175597-0j 1.3253e-05-0j 0.000274603-0j 0.000188008-0j 0.00721772-0j -2.07254e-07-0j -1.41897e-07-0j -5.4475e-06-0j 0.0340836-0j -0.032064-0j -2.57242e-05-0j -0.0146259-0j 0.00422176-0j 2.42e-05-0j -0.0106434-0j 1.10387e-05-0j -3.18633e-06-0j 0.000161374-0j 8.03302e-06-0j -0.00052354-0j -1.21795e-07-0j 0.0449158-0j 0.0557319-0j 3.95136e-07-0j -0.0102432-0j -3.38997e-05-0j -0.00986831-0j -4.20631e-05-0j -0.00645986-0j 7.73094e-06-0j 7.44801e-06-0j 0.00174431-0j 0.0394349-0j 4.87552e-06-0j -1.3165e-06-0j -0.0780701-0j -2.97631e-05-0j -0.00588118-0j 5.89227e-05-0j -0.00598941-0j 4.43876e-06-0j 0.00965574-0j 4.52045e-06-0j -7.28757e-06-0j -0.00074224-0j 5.60198e-07-0j 
0.00137487-0j -0.00291175-0j -0.00111765-0j 0.00103758-0j 0.00106096-0j 0.00245007-0j -0.00169852-0j 0.00292698-0j -0.00221581-0j -0.000920285-0j 0.00513362-0j 0.000546628-0j -0.006113-0j 0.00298656-0j -0.00524905-0j -0.00872468-0j 0.0182879-0j 0.00692145-0j -0.00642558-0j -0.00643764-0j -0.00440755-0j -0.0148664-0j -0.0177602-0j 0.0141124-0j 0.0130181-0j 0.00403751-0j 0.00540675-0j -0.00374826-0j -0.00321148-0j -0.0294737-0j 0.00889274-0j 0.0157525-0j 0.0113287-0j 0.0172026-0j 0.00670719-0j -0.02873-0j 0.023453-0j 0.000123597-0j -0.00169585-0j -0.000257042-0j 0.00352681-0j -9.62852e-05-0j 0.00132111-0j 8.93871e-05-0j -0.00122646-0j 8.83022e-05-0j -0.00121157-0j 8.37708e-05-0j 0.000203916-0j -0.0011494-0j -0.00279789-0j 0.000243608-0j -0.0033425-0j -0.000189662-0j -0.000129853-0j -0.000174956-0j 0.00260231-0j 0.00178168-0j 0.00240053-0j -7.26636e-05-0j -7.43011e-05-0j 0.000997001-0j 4.31605e-05-0j 2.97391e-05-0j 0.00101947-0j 6.8978e-05-0j -0.000592195-0j -0.000408043-0j 0.000383532-0j -0.000946431-0j 0.000118951-0j -0.00526235-0j -0.000204982-0j -0.000155683-0j -0.0016321-0j 0.000142105-0j 0.00281251-0j -0.000223851-0j 0.00213609-0j -0.000144061-0j -0.00194979-0j 0.00307141-0j 0.000261993-0j -3.82815e-05-0j 0.00197662-0j -0.00359475-0j -0.000429498-0j 0.000525252-0j -0.000366531-0j 0.00589305-0j 0.000467514-0j 0.00502908-0j 0.000367602-0j -0.00641465-0j -0.00504378-0j -0.000195584-0j 0.00268356-0j 
1.40293e-05-0j 1.53104e-05-0j -1.14046e-05-0j 1.19823e-05-0j -2.10494e-05-0j -1.28828e-05-0j -4.36609e-05-0j 7.8147e-06-0j 4.39618e-05-0j 2.06638e-05-0j -2.69933e-05-0j -8.86333e-06-0j -1.6321e-05-0j -2.42596e-06-0j 5.56205e-07-0j -0.000361788-0j -0.000390776-0j 0.000287013-0j -0.000301553-0j 0.000519038-0j -0.000182769-0j 0.000317666-0j -0.000192695-0j 0.000586316-0j 0.000539824-0j -0.000818478-0j 0.000253739-0j 0.000859941-0j -0.000108836-0j -0.00122452-0j 0.000368757-0j -0.000332309-0j 0.000531659-0j 0.000110409-0j 0.000227305-0j 2.75866e-05-0j -5.47749e-06-0j 1.2612e-06-0j 0.00496955-0j 1.35156e-06-0j 0.00532563-0j -9.82502e-07-0j -0.0038714-0j 1.03227e-06-0j 0.00406752-0j -1.75192e-06-0j -0.00690315-0j 8.54804e-07-0j -1.07222e-06-0j 0.00336822-0j -0.00422492-0j 6.50407e-07-0j 0.00256283-0j -1.93902e-06-0j 6.82785e-07-0j -1.78526e-06-0j -0.00764039-0j 0.00269041-0j -0.00703455-0j -8.39145e-07-0j 1.47413e-06-0j -0.00330652-0j 3.59934e-07-0j -2.37699e-06-0j 0.0058086-0j -1.54881e-06-0j 0.00141827-0j -0.00936617-0j -2.01667e-06-0j -0.00610286-0j 3.05766e-06-0j -0.00794636-0j -5.47279e-07-0j 3.08875e-06-0j 0.0120482-0j -1.85477e-06-0j -0.00215647-0j 1.81832e-07-0j 0.0121707-0j 3.2347e-06-0j -0.00730844-0j 0.000716482-0j -1.3776e-06-0j 6.20717e-07-0j 0.0127458-0j -0.00542821-0j -1.14671e-06-0j 0.00244584-0j -1.68387e-07-0j -0.00451844-0j -3.79757e-07-0j -0.000663505-0j -3.89522e-08-0j -0.00149637-0j -0.000153485-0j 6.82091e-09-0j 2.68767e-05-0j 
0.000240553-0j -0.000252127-0j 0.000203346-0j -0.000205293-0j -0.000360922-0j -0.000220611-0j 0.000718993-0j 0.000118397-0j -0.000257855-0j 0.000368153-0j -9.09976e-05-0j -0.000712459-0j 8.45866e-05-0j 0.000450465-0j 0.000263515-0j -0.00308546-0j 0.00320075-0j -0.00254538-0j 0.00256974-0j 0.00442654-0j -0.00155872-0j 0.0027057-0j -0.00145208-0j -0.00480237-0j -0.00157487-0j 0.00725866-0j 0.00224852-0j -0.00732814-0j -0.0043514-0j -0.00343098-0j -0.000459337-0j 0.00260402-0j 0.000927468-0j 0.00980593-0j -0.00310879-0j -0.00441883-0j -0.00182754-0j -0.00205699-0j 0.0138045-0j 0.00211711-0j -0.014208-0j -0.00166635-0j 0.0111829-0j 0.0016823-0j -0.01129-0j 0.00285734-0j -0.0191757-0j -0.00139417-0j 0.00174653-0j 0.00935631-0j -0.011721-0j -0.000937319-0j 0.00629038-0j -0.00303731-0j 0.00106953-0j -0.000996042-0j 0.0203835-0j -0.00717763-0j 0.00668447-0j 0.0014221-0j 0.00250017-0j -0.00954375-0j -0.00275208-0j 0.00387683-0j -0.0167787-0j -0.0025241-0j 0.0184693-0j -0.0260175-0j 0.00108061-0j 0.0169393-0j -0.00498059-0j -0.00725201-0j -0.000820154-0j 0.00103127-0j 0.0334249-0j 0.00267296-0j 0.00550408-0j -0.00308844-0j -0.00692087-0j -0.00180331-0j -0.0179383-0j 0.0207266-0j 0.000315178-0j 0.00493533-0j 0.012102-0j -0.00211517-0j -0.000338296-0j -0.0331211-0j 0.00496041-0j 0.00227032-0j -0.00220649-0j -0.0332894-0j -0.00182541-0j 0.0148078-0j 0.0122504-0j -0.000584432-0j 0.00392214-0j 
0.000841934-0j -0.00178308-0j -0.000684416-0j 0.000635383-0j 0.000649702-0j 0.00150035-0j -0.00104013-0j 0.0017924-0j -0.0013569-0j -0.000563557-0j 0.00314369-0j 0.00033474-0j -0.00374343-0j 0.00182889-0j -0.00321437-0j 0.000113603-0j -0.000238124-0j -9.01231e-05-0j 8.36665e-05-0j 8.38235e-05-0j 5.739e-05-0j 0.000193573-0j 0.000231252-0j -0.000183755-0j -0.000169506-0j -5.25718e-05-0j -7.04004e-05-0j 4.88054e-05-0j 4.18162e-05-0j 0.000383773-0j -0.000115791-0j -0.000205111-0j -0.00014751-0j -0.000223992-0j -8.73333e-05-0j 0.000374089-0j -0.000305378-0j -0.0144746-0j 1.09246e-05-0j 0.0301024-0j -2.27195e-05-0j 0.0112761-0j -8.51049e-06-0j -0.0104682-0j 7.90077e-06-0j -0.0103412-0j 7.80488e-06-0j -0.00981048-0j -0.0238808-0j 7.40436e-06-0j 1.80238e-05-0j -0.0285292-0j 2.15321e-05-0j 0.0222115-0j 0.0152072-0j 0.0204892-0j -1.67639e-05-0j -1.14775e-05-0j -1.5464e-05-0j 0.0085097-0j 0.00870147-0j -6.42261e-06-0j -0.00505457-0j -0.00348277-0j -6.56735e-06-0j -0.00807808-0j 3.81488e-06-0j 2.62859e-06-0j -0.0449158-0j 6.09685e-06-0j -0.0139305-0j 3.38997e-05-0j 0.0240057-0j 0.0182322-0j 1.05139e-05-0j -0.016642-0j -1.8118e-05-0j 0.0262154-0j -1.37605e-05-0j 0.0168711-0j 1.25604e-05-0j -1.97858e-05-0j -0.0306823-0j 0.00448318-0j -1.27333e-05-0j 2.31571e-05-0j 0.050299-0j -3.38364e-06-0j 0.0429248-0j -3.79626e-05-0j -0.054751-0j -3.2397e-05-0j -0.0430502-0j 4.13228e-05-0j 3.24917e-05-0j 0.022905-0j -1.72873e-05-0j 
