-0.0415727-0j -0.0420036-0j -0.00488403-0j -0.00604367-0j -0.00352548-0j -0.00298146-0j -0.000430337-0j -0.00347837-0j -0.00213006-0j -0.00050206-0j -0.000307448-0j -0.00304358-0j -0.000439302-0j -0.00125541-0j -0.000181203-0j -0.00217052-0j -0.000383698-0j -3.19748e-05-0j -0.00245187-0j -0.00200194-0j -0.000433433-0j -0.00202269-0j -3.61194e-05-0j -0.000353896-0j -0.0017517-0j -2.94914e-05-0j -0.000357564-0j -0.00144508-0j -0.000309659-0j -2.9797e-05-0j -0.000461709-0j -2.58049e-05-0j -0.000255456-0j -8.16194e-05-0j -2.1288e-05-0j -6.80162e-06-0j -0.00171057-0j -0.000285094-0j -0.000174584-0j -0.00189325-0j -3.56368e-05-0j -2.09992e-06-0j -0.00149675-0j -0.000315542-0j -0.00099783-0j -0.00151226-0j -0.000193229-0j -3.94427e-05-0j -0.000249458-0j -0.0017462-0j -2.32418e-06-0j -0.000166305-0j -0.000152761-0j -0.000617376-0j -0.000252043-0j -0.00101862-0j -0.000101841-0j -0.000154344-0j -3.11822e-05-0j -0.00108041-0j -0.000291034-0j -2.07881e-05-0j -1.83743e-06-0j -3.15053e-05-0j -0.000630238-0j -0.000102896-0j -0.000178221-0j -0.00016977-0j -1.22495e-06-0j -1.85647e-06-0j -0.000164413-0j -6.30107e-05-0j -0.000180068-0j -3.63792e-05-0j -0.000103962-0j -1.2862e-05-0j -0.000110269-0j -0.00010504-0j -2.12212e-05-0j -2.14367e-06-0j -2.25085e-05-0j -7.57901e-07-0j -6.43234e-05-0j -2.74022e-05-0j -1.25047e-06-0j -1.313e-05-0j -1.32633e-06-0j -1.67803e-05-0j -7.7369e-07-0j -3.42527e-06-0j -2.01836e-07-0j 
0.0387658-0j -0.0378103-0j 0.00455426-0j 9.76417e-05-0j -0.006404-0j 0.00278015-0j 0.000401281-0j 5.61966e-05-0j 0.00198624-0j 8.11128e-06-0j 0.000286689-0j -0.00273973-0j -0.000395446-0j -0.00343081-0j -0.000495195-0j 0.00202397-0j 0.000357791-0j 2.98159e-05-0j 3.96124e-05-0j 0.00186677-0j 7.00254e-06-0j -0.00182076-0j 5.83545e-07-0j 0.000330001-0j 2.83004e-05-0j 2.75001e-05-0j -0.000321868-0j -0.00262497-0j 5.00286e-06-0j -2.68223e-05-0j -0.00168484-0j 4.16905e-07-0j -0.000464034-0j -0.000297841-0j -3.86695e-05-0j -2.48201e-05-0j 0.00159507-0j 0.000265845-0j 0.000162796-0j 3.05874e-05-0j 3.32306e-05-0j 1.95813e-06-0j 0.00139569-0j 5.09789e-06-0j 0.000930457-0j -0.00136129-0j 3.12181e-06-0j 6.37237e-07-0j 0.000232614-0j 2.82117e-05-0j 3.75495e-08-0j 0.000155076-0j 0.000142447-0j 0.000575691-0j -0.000226881-0j -0.00185031-0j 9.49644e-05-0j -0.000138936-0j 2.90768e-05-0j -0.000972549-0j 4.70195e-06-0j 1.93845e-05-0j 1.71337e-06-0j -2.83601e-05-0j -0.00172233-0j 9.59485e-05-0j 2.87934e-06-0j -0.000308385-0j 1.14224e-06-0j -1.67114e-06-0j -0.000750622-0j 5.87562e-05-0j -0.000162092-0j 5.87743e-07-0j -0.000188847-0j 1.19936e-05-0j -9.92604e-05-0j -0.000287054-0j -3.85482e-05-0j 3.46331e-08-0j -2.02614e-05-0j 7.06727e-07-0j -0.000175784-0j -0.000125104-0j -2.27147e-06-0j -3.58818e-05-0j -1.19392e-06-0j -7.66101e-05-0j -2.11435e-06-0j -1.5638e-05-0j -9.21476e-07-0j 
-0.00604367-0j 0.00589471-0j 0.0334782-0j 0.00071776-0j -0.0470756-0j -0.000433433-0j 0.00596216-0j -8.76119e-06-0j -0.000309659-0j 0.000120516-0j 0.00425957-0j 0.000427131-0j -0.00587547-0j 0.000534871-0j -0.00735751-0j -0.000315542-0j 0.0026301-0j 0.000666823-0j -6.17566e-06-0j -0.000291034-0j 5.14754e-05-0j 0.000283861-0j 1.30508e-05-0j 0.00242583-0j -4.41211e-06-0j 0.000615031-0j -0.00236604-0j 0.000409239-0j 3.67758e-05-0j -0.000599872-0j 0.000262671-0j 9.32395e-06-0j -0.00341109-0j -0.00218941-0j -0.000864831-0j -0.000555093-0j -0.000248675-0j 0.00195421-0j -2.53803e-05-0j -4.76864e-06-0j 0.000493734-0j 5.84924e-05-0j -0.000217591-0j 3.74744e-05-0j -0.00014506-0j 0.000212228-0j -4.86698e-07-0j 9.46795e-06-0j 0.00170994-0j -4.39827e-06-0j 1.12166e-06-0j 0.00113996-0j -2.22078e-05-0j -8.97516e-05-0j -0.00166779-0j 0.000288468-0j -1.48052e-05-0j 2.16604e-05-0j 0.000432018-0j 0.000151623-0j 3.45638e-05-0j 0.000288012-0j 5.11809e-05-0j -0.000421369-0j 0.000268515-0j 0.000705313-0j -4.48896e-07-0j -0.00226693-0j 3.41206e-05-0j -4.99194e-05-0j 0.000117024-0j -9.16023e-06-0j -0.00119153-0j 8.73258e-06-0j 2.94417e-05-0j 0.000178198-0j 1.54749e-05-0j -0.00211012-0j -0.000572742-0j 1.03454e-06-0j -0.000301041-0j 2.1111e-05-0j 2.74052e-05-0j -0.000919632-0j -6.78524e-05-0j -0.000533125-0j -3.56641e-05-0j 1.19437e-05-0j -6.3159e-05-0j -0.000232346-0j -2.75259e-05-0j 
-0.00468141-0j 0.00456602-0j -0.000549979-0j -1.17914e-05-0j 0.000773357-0j 0.032098-0j -4.84593e-05-0j 0.000648813-0j 0.0229319-0j -9.79531e-07-0j -3.4621e-05-0j -0.0316313-0j 4.77546e-05-0j -0.0396101-0j 5.98004e-05-0j -0.000244418-0j 0.00413084-0j -3.60061e-06-0j -4.78365e-06-0j -0.000225434-0j 8.08472e-05-0j 0.000219877-0j -7.04698e-08-0j 0.00381-0j -3.4176e-06-0j -3.32095e-06-0j -0.00371609-0j 0.000316995-0j 5.77601e-05-0j 3.2391e-06-0j 0.000203464-0j -5.0346e-08-0j -0.00535746-0j -0.00343869-0j 4.66978e-06-0j 2.99731e-06-0j -0.000192623-0j -3.21038e-05-0j 0.00377875-0j -3.69378e-06-0j 0.000383661-0j -2.36467e-07-0j -0.000168545-0j -6.15629e-07-0j -0.000112363-0j 0.000164391-0j 7.24621e-05-0j 7.35716e-06-0j -2.80908e-05-0j -3.40688e-06-0j -4.53454e-09-0j -1.87272e-05-0j 0.00330641-0j -6.95213e-05-0j 2.73985e-05-0j 0.000223447-0j 0.00220427-0j -0.00322491-0j 0.000335703-0j 0.000117446-0j -5.67814e-07-0j 0.000223802-0j -2.06909e-07-0j -0.000327429-0j 0.000207991-0j -1.15869e-05-0j 6.68341e-05-0j 3.72411e-05-0j -1.37939e-07-0j 2.01809e-07-0j 9.06463e-05-0j 0.00136382-0j 1.95744e-05-0j 6.78574e-06-0j -0.00438343-0j 0.000138471-0j -0.00230399-0j 3.46651e-05-0j -0.000445055-0j -4.18234e-09-0j -0.000233927-0j -8.53454e-08-0j -0.00408023-0j 1.51077e-05-0j 2.74306e-07-0j -0.00041427-0j 1.44179e-07-0j -0.00177824-0j 2.55332e-07-0j -0.000180547-0j 1.11279e-07-0j 
0.000675703-0j -0.000659049-0j -0.00756533-0j -0.000162198-0j 0.010638-0j 4.84593e-05-0j 0.0310936-0j 9.79531e-07-0j 3.4621e-05-0j 0.00062851-0j 0.0222143-0j -4.77546e-05-0j -0.0306415-0j -5.98004e-05-0j -0.0383706-0j 3.52786e-05-0j -0.000594346-0j 0.00708004-0j 6.9046e-07-0j 3.25386e-05-0j -1.16323e-05-0j -3.17366e-05-0j 0.000138568-0j -0.000548183-0j 4.93289e-07-0j 0.00653014-0j 0.000534672-0j -4.57543e-05-0j -8.31052e-06-0j -0.00636918-0j -2.93675e-05-0j 9.89976e-05-0j 0.000770832-0j 0.000494759-0j -0.0091824-0j -0.00589373-0j 2.78027e-05-0j -0.00044161-0j 2.8376e-06-0j 5.33151e-07-0j 0.0025749-0j 0.00093649-0j 2.43274e-05-0j -8.46839e-06-0j 1.62183e-05-0j -2.37278e-05-0j 5.44144e-08-0j 4.93768e-05-0j -0.000386408-0j 4.91741e-07-0j 1.79583e-05-0j -0.000257606-0j 2.4829e-06-0j 1.00345e-05-0j 0.000376884-0j -3.22517e-05-0j 1.65527e-06-0j -2.42171e-06-0j 0.00225304-0j -1.69519e-05-0j -7.81066e-06-0j 0.00150203-0j 0.000819429-0j -0.00219751-0j -3.00208e-05-0j -0.000159385-0j 5.01881e-08-0j 0.000512276-0j 0.000546286-0j -0.000799232-0j -1.30837e-05-0j 1.02415e-06-0j 0.000269259-0j 4.55418e-05-0j -3.29168e-06-0j 0.000929332-0j -1.73015e-06-0j 0.000476841-0j -0.00298694-0j 1.65635e-05-0j -0.00156998-0j 0.000337997-0j -3.06399e-06-0j 0.000207817-0j -0.00108635-0j -0.00278033-0j -0.000570999-0j -1.33535e-06-0j -0.0010112-0j -0.00121172-0j -0.000440702-0j 
-0.00427352-0j 0.00416819-0j -0.00050206-0j -1.0764e-05-0j 0.000705975-0j -0.000306483-0j -4.4237e-05-0j -6.19509e-06-0j -0.000218962-0j -8.94185e-07-0j -3.16045e-05-0j 0.000302027-0j 4.35938e-05-0j 0.000378211-0j 5.45901e-05-0j 0.0322106-0j -3.94427e-05-0j -3.28689e-06-0j 0.000630415-0j 0.0297089-0j -7.71958e-07-0j -0.0289766-0j -6.43298e-08-0j -3.63792e-05-0j 0.00045039-0j -3.0316e-06-0j 3.54826e-05-0j -0.0417753-0j -5.51513e-07-0j 2.95688e-06-0j -0.0268136-0j -4.59594e-08-0j 5.11549e-05-0j 3.28338e-05-0j 4.26291e-06-0j 2.73615e-06-0j 0.0340123-0j 0.00423081-0j -1.79466e-05-0j 0.000652227-0j -3.66333e-06-0j -2.15864e-07-0j 0.0297608-0j 8.11309e-05-0j 0.0198405-0j -0.0290273-0j -3.44147e-07-0j -7.02488e-08-0j 0.00370196-0j 0.00060157-0j -4.13945e-09-0j 0.00246797-0j -1.57033e-05-0j 0.0122757-0j -0.00361072-0j -0.039455-0j -1.04688e-05-0j 1.53162e-05-0j -3.20541e-06-0j -0.0207381-0j 7.48295e-05-0j -2.13694e-06-0j -1.88881e-07-0j 3.12641e-06-0j -0.0367259-0j 0.00152698-0j -3.17418e-07-0j -0.00490783-0j -1.25921e-07-0j 1.84225e-07-0j -0.0160058-0j -6.47726e-06-0j -0.00257962-0j -6.47926e-08-0j 2.08184e-05-0j -1.32217e-06-0j 1.09424e-05-0j -0.00456835-0j 4.24954e-06-0j -3.81794e-09-0j 2.23361e-06-0j -7.79094e-08-0j 1.93784e-05-0j -0.00199097-0j 2.50406e-07-0j 3.95559e-06-0j 1.31617e-07-0j 8.44547e-06-0j 2.33086e-07-0j 1.72392e-06-0j 1.01583e-07-0j 
0.000755459-0j -0.000736839-0j -0.00418477-0j -8.972e-05-0j 0.00588445-0j -0.0051798-0j -0.00074527-0j -0.000104702-0j -0.00370063-0j -1.50645e-05-0j -0.000532446-0j 0.00510448-0j 0.000734433-0j 0.00639205-0j 0.000919689-0j 3.94427e-05-0j 0.0314314-0j -8.33528e-05-0j 7.71958e-07-0j 3.63792e-05-0j 0.000615164-0j -3.54826e-05-0j -1.63135e-06-0j 0.0289902-0j 5.51513e-07-0j -7.68789e-05-0j -0.0282756-0j -5.11549e-05-0j 0.000439494-0j 7.4984e-05-0j -3.28338e-05-0j -1.16549e-06-0j -0.0407647-0j -0.0261649-0j 0.000108104-0j 6.93866e-05-0j -0.00601259-0j -0.000244277-0j -0.000609794-0j -0.000115299-0j 0.00590044-0j -7.31156e-06-0j -0.00526102-0j -4.6843e-06-0j -0.00350734-0j 0.00513134-0j -1.16935e-05-0j 0.000113148-0j -0.000213742-0j -0.000106343-0j -1.40208e-07-0j -0.000142495-0j -0.00053357-0j -0.00217006-0j 0.000208474-0j 0.00697473-0j -0.000355713-0j 0.000520418-0j 0.00516289-0j 0.00366601-0j -4.32048e-06-0j 0.00344192-0j -6.39761e-06-0j -0.00503563-0j 0.00649228-0j -8.81642e-05-0j -1.07853e-05-0j 0.000283366-0j -4.26507e-06-0j 6.23992e-06-0j 0.00282946-0j -0.000220086-0j 0.000148941-0j 0.00010436-0j 0.000707373-0j 0.00212958-0j 0.000371805-0j 0.000263765-0j -0.00684463-0j -1.29318e-07-0j -0.00359763-0j -2.63888e-06-0j 0.000658444-0j 0.000114954-0j 8.48155e-06-0j -0.00637118-0j 4.45802e-06-0j 0.000286962-0j 7.89488e-06-0j -0.00277668-0j 3.44074e-06-0j 
0.00050364-0j -0.000491226-0j -0.00278985-0j -5.98133e-05-0j 0.00392296-0j 3.61194e-05-0j -0.000496846-0j 7.30099e-07-0j 2.58049e-05-0j -1.0043e-05-0j -0.000354964-0j -3.55942e-05-0j 0.000489622-0j -4.45726e-05-0j 0.000613126-0j -0.00761842-0j -0.000219175-0j -5.55686e-05-0j -0.000149105-0j -0.0070267-0j -4.28962e-06-0j 0.00685351-0j -1.08757e-06-0j -0.000202152-0j -0.000106526-0j -5.12526e-05-0j 0.00019717-0j 0.00988065-0j -3.06465e-06-0j 4.99893e-05-0j 0.00634191-0j -7.76995e-07-0j 0.000284258-0j 0.000182451-0j 7.20692e-05-0j 4.62577e-05-0j 2.07229e-05-0j 0.0471824-0j 2.11502e-06-0j 3.97387e-07-0j -4.11445e-05-0j -4.87437e-06-0j 1.81326e-05-0j 0.00090478-0j 1.20884e-05-0j -1.76856e-05-0j 4.05581e-08-0j -7.88996e-07-0j 0.0412846-0j 3.66522e-07-0j -9.34719e-08-0j 0.0275231-0j 1.85065e-06-0j 7.4793e-06-0j -0.040267-0j -2.4039e-05-0j 1.23376e-06-0j -1.80503e-06-0j -3.60015e-05-0j -1.26352e-05-0j 0.000834506-0j -2.4001e-05-0j -4.26507e-06-0j 3.51141e-05-0j -2.23762e-05-0j 0.017029-0j 3.7408e-08-0j -0.0547326-0j -2.84338e-06-0j 4.15995e-06-0j -9.75198e-06-0j 7.63353e-07-0j -0.0287682-0j -7.27715e-07-0j -2.45347e-06-0j -1.48498e-05-0j -1.28958e-06-0j -0.0509467-0j 4.77285e-05-0j -8.6212e-08-0j 2.50867e-05-0j -1.75925e-06-0j -2.28376e-06-0j -0.0222035-0j 5.65437e-06-0j 4.44271e-05-0j 2.97201e-06-0j -9.95308e-07-0j 5.26325e-06-0j 1.93622e-05-0j 2.29383e-06-0j 
-6.29549e-05-0j 6.14032e-05-0j 0.00106098-0j 2.27471e-05-0j -0.00149191-0j -4.51492e-06-0j -0.00887789-0j -9.12624e-08-0j -3.22562e-06-0j -0.000179453-0j -0.00634267-0j 4.44928e-06-0j 0.0087488-0j 5.57158e-06-0j 0.0109556-0j -3.28689e-06-0j 8.33528e-05-0j 0.0304339-0j -6.43298e-08-0j -3.0316e-06-0j 1.63135e-06-0j 2.95688e-06-0j 0.000595642-0j 7.68789e-05-0j -4.59594e-08-0j 0.0280702-0j -7.4984e-05-0j 4.26291e-06-0j 1.16549e-06-0j -0.0273783-0j 2.73615e-06-0j 0.000425547-0j -0.000108104-0j -6.93866e-05-0j -0.0394711-0j -0.0253346-0j 0.000501049-0j 6.19327e-05-0j -2.64378e-07-0j 9.60822e-06-0j -0.00073519-0j 0.00825665-0j 0.000438418-0j 1.18763e-06-0j 0.000292279-0j -0.000427612-0j -5.06977e-09-0j -1.40982e-05-0j 5.41911e-05-0j 8.86196e-06-0j 0.000158331-0j 3.61274e-05-0j -2.31331e-07-0j 0.000180838-0j -5.28554e-05-0j -0.000581227-0j -1.54221e-07-0j 2.25629e-07-0j -0.000643292-0j -0.000305501-0j 1.09539e-06-0j -0.000428861-0j 0.00722457-0j 0.000627436-0j -0.000541023-0j 2.23527e-05-0j -4.676e-09-0j -7.18432e-05-0j 0.00481638-0j -0.0070465-0j -0.000235788-0j -9.54191e-08-0j -3.77617e-05-0j -1.30032e-05-0j 3.06684e-07-0j -0.000265344-0j 1.61197e-07-0j -6.68737e-05-0j 0.000852836-0j 0.000146034-0j 0.000448262-0j 0.00297998-0j 2.8547e-07-0j -2.91448e-05-0j -0.00957788-0j 0.000793844-0j -0.00503426-0j 1.24413e-07-0j -0.00891537-0j 0.000345973-0j -0.00388549-0j 
0.000436165-0j -0.000425414-0j 5.12413e-05-0j 1.09859e-06-0j -7.20533e-05-0j -0.00601239-0j 4.51492e-06-0j -0.000121531-0j -0.00429546-0j 9.12624e-08-0j 3.22562e-06-0j 0.00592497-0j -4.44928e-06-0j 0.00741951-0j -5.57158e-06-0j -0.00328748-0j -0.000773762-0j 3.35467e-07-0j -6.43414e-05-0j -0.00303215-0j -1.51438e-05-0j 0.00295741-0j 6.56564e-09-0j -0.000713665-0j -4.59677e-05-0j 3.09412e-07-0j 0.000696075-0j 0.00426368-0j -1.08192e-05-0j -3.01785e-07-0j 0.00273665-0j 4.69072e-09-0j 0.00100352-0j 0.000644114-0j -4.35081e-07-0j -2.79258e-07-0j 1.79466e-05-0j -0.000431805-0j 0.0334822-0j 3.44147e-07-0j -7.18649e-05-0j 2.20315e-08-0j 1.57033e-05-0j -8.28039e-06-0j 1.04688e-05-0j -1.53162e-05-0j 0.000642062-0j -1.3781e-06-0j -0.00037783-0j 3.17418e-07-0j 4.22481e-10-0j -0.000251887-0j 0.0292969-0j 6.47726e-06-0j 0.000368517-0j -2.08184e-05-0j 0.0195313-0j -0.0285748-0j -6.28818e-05-0j -1.09424e-05-0j -7.63726e-06-0j -4.19212e-05-0j 1.92776e-08-0j 6.13319e-05-0j -1.93784e-05-0j -0.000155847-0j 0.000592193-0j 0.000500903-0j 1.28517e-08-0j -1.88024e-08-0j -8.44547e-06-0j 0.0120844-0j 0.000263281-0j -1.27106e-06-0j -0.0388401-0j -2.59374e-05-0j -0.0204149-0j 0.000466255-0j 8.33648e-05-0j 3.89667e-10-0j 4.38176e-05-0j 7.95159e-09-0j -0.0361535-0j 0.000203203-0j -2.5557e-08-0j 7.75983e-05-0j -1.34331e-08-0j -0.0157564-0j -2.37892e-08-0j 3.38188e-05-0j -1.03678e-08-0j 
-8.90317e-05-0j 8.68373e-05-0j 0.00099682-0j 2.13715e-05-0j -0.00140168-0j 0.000610445-0j -0.00409694-0j 1.23392e-05-0j 0.000436123-0j -8.28134e-05-0j -0.002927-0j -0.000601569-0j 0.00403737-0j -0.00075331-0j 0.00505577-0j 0.000671055-0j -0.00748702-0j -0.000932877-0j 1.31336e-05-0j 0.000618935-0j -0.000146533-0j -0.000603679-0j -1.82579e-05-0j -0.00690551-0j 9.38312e-06-0j -0.000860421-0j 0.0067353-0j -0.00087032-0j -0.000104688-0j 0.000839214-0j -0.000558616-0j -1.30441e-05-0j 0.00971023-0j 0.00623252-0j 0.00120989-0j 0.000776568-0j -3.66333e-06-0j -0.00840011-0j 7.18649e-05-0j -7.02488e-08-0j 0.0324362-0j -0.000123393-0j -3.20541e-06-0j -0.000161082-0j -2.13694e-06-0j 3.12641e-06-0j 1.3781e-06-0j 0.000622004-0j -0.00735009-0j -6.47926e-08-0j -2.36622e-06-0j -0.00490006-0j 6.28818e-05-0j -1.32217e-06-0j 0.00716893-0j 4.24954e-06-0j 4.19212e-05-0j -6.13319e-05-0j 0.0283817-0j 2.23361e-06-0j -0.000148571-0j 0.0189211-0j -0.000107969-0j -0.0276822-0j 3.95559e-06-0j -0.00303176-0j 1.27106e-06-0j 0.0097443-0j -7.19795e-05-0j 0.000105308-0j 1.72392e-06-0j 2.59374e-05-0j 0.00512173-0j 0.000573693-0j -8.33648e-05-0j 0.0117069-0j -4.38176e-05-0j 0.00907027-0j -0.0376267-0j -2.18243e-06-0j -0.0197771-0j -4.4535e-05-0j -7.75983e-05-0j 0.003953-0j 0.000143139-0j -0.035024-0j 7.52357e-05-0j -3.38188e-05-0j 0.000133238-0j -0.0152641-0j 5.80676e-05-0j 
-4.45159e-05-0j 4.34187e-05-0j 0.00024659-0j 5.2868e-06-0j -0.000346744-0j 0.000922052-0j 4.39154e-05-0j 1.86379e-05-0j 0.000658746-0j 8.87684e-07-0j 3.13747e-05-0j -0.000908646-0j -4.32769e-05-0j -0.00113785-0j -5.41932e-05-0j -2.32418e-06-0j -0.00559509-0j 4.91161e-06-0j -4.54881e-08-0j -2.14367e-06-0j -0.000109505-0j 2.09083e-06-0j 9.61283e-08-0j -0.00516052-0j -3.24982e-08-0j 4.53013e-06-0j 0.00503333-0j 3.01433e-06-0j -7.82341e-05-0j -4.41848e-06-0j 1.93475e-06-0j 6.86773e-08-0j 0.0072565-0j 0.0046576-0j -6.37008e-06-0j -4.08864e-06-0j -1.83167e-06-0j 1.43942e-05-0j -0.0103598-0j -3.51244e-08-0j -0.00105033-0j 4.30838e-07-0j -1.60271e-06-0j 2.76025e-07-0j -1.06847e-06-0j 1.5632e-06-0j -0.000198661-0j -2.01414e-05-0j 1.25949e-05-0j -3.23963e-08-0j 8.26183e-09-0j 8.39659e-06-0j -0.00906481-0j -6.61083e-07-0j -1.22844e-05-0j 2.12477e-06-0j -0.00604321-0j 0.00884138-0j -0.000919042-0j 1.11681e-06-0j 2.54587e-07-0j -0.000612695-0j 3.76983e-07-0j 0.00089639-0j 1.9778e-06-0j 5.19512e-06-0j -0.000183231-0j -1.66975e-05-0j 2.51322e-07-0j -3.67691e-07-0j 8.61962e-07-0j -0.00373904-0j -8.77643e-06-0j -1.8577e-05-0j 0.0120176-0j -0.000379086-0j 0.00631659-0j -1.55425e-05-0j 0.00121841-0j 7.62014e-09-0j 0.000640412-0j 1.55497e-07-0j 0.0111863-0j -6.77373e-06-0j -4.9978e-07-0j 0.00113413-0j -2.62691e-07-0j 0.0048752-0j -4.6521e-07-0j 0.000494276-0j -2.02747e-07-0j 
5.24625e-06-0j -5.11694e-06-0j -0.000118093-0j -2.53186e-06-0j 0.000166057-0j 3.76244e-07-0j 0.00149005-0j 7.6052e-09-0j 2.68801e-07-0j 3.01192e-05-0j 0.00106455-0j -3.70773e-07-0j -0.00146839-0j -4.64298e-07-0j -0.00183878-0j -3.95423e-05-0j -9.27757e-06-0j -0.0104768-0j -7.73907e-07-0j -3.64711e-05-0j -1.81577e-07-0j 3.55722e-05-0j -0.000205048-0j -8.55699e-06-0j -5.52906e-07-0j -0.00966307-0j 8.34608e-06-0j 5.12841e-05-0j -1.29725e-07-0j 0.00942489-0j 3.29168e-05-0j -0.000146493-0j 1.20325e-05-0j 7.72306e-06-0j 0.0135878-0j 0.00872134-0j 2.15864e-07-0j 0.000995156-0j 2.20315e-08-0j 4.13945e-09-0j 0.000123393-0j 0.0313921-0j 1.88881e-07-0j 1.90833e-05-0j 1.25921e-07-0j -1.84225e-07-0j 4.22481e-10-0j 2.36622e-06-0j 0.000870761-0j 3.81794e-09-0j 0.000601982-0j 0.000580508-0j 1.92776e-08-0j 7.79094e-08-0j -0.000849299-0j -2.50406e-07-0j 1.28517e-08-0j -1.88024e-08-0j 0.000107969-0j -1.31617e-07-0j 1.76011e-05-0j 7.19795e-05-0j 0.0274681-0j -0.000105308-0j -2.33086e-07-0j 0.000359171-0j 3.89667e-10-0j -0.0011544-0j 0.0183121-0j -0.0267911-0j -1.01583e-07-0j 7.95159e-09-0j -0.000606769-0j 2.18243e-06-0j -2.5557e-08-0j 4.4535e-05-0j -1.34331e-08-0j -0.00107455-0j -0.000143139-0j 0.000555227-0j -7.52357e-05-0j 0.01133-0j -2.37892e-08-0j -0.00046831-0j -0.0364155-0j -0.000133238-0j -0.0191405-0j -1.03678e-08-0j -0.0338966-0j -5.80676e-05-0j -0.0147728-0j 
6.42531e-06-0j -6.26694e-06-0j -0.000108286-0j -2.32162e-06-0j 0.000152268-0j -8.85709e-05-0j 0.000906096-0j -1.79033e-06-0j -6.32781e-05-0j 1.83154e-05-0j 0.000647346-0j 8.72831e-05-0j -0.000892921-0j 0.0001093-0j -0.00111815-0j 3.35467e-07-0j 0.00163516-0j -0.00310615-0j 6.56564e-09-0j 3.09412e-07-0j 3.20028e-05-0j -3.01785e-07-0j -6.07924e-05-0j 0.00150816-0j 4.69072e-09-0j -0.0028649-0j -0.00147099-0j -4.35081e-07-0j 2.28639e-05-0j 0.00279429-0j -2.79258e-07-0j -4.34322e-05-0j -0.00212071-0j -0.00136118-0j 0.0040285-0j 0.0025857-0j 2.64378e-07-0j -6.32098e-06-0j 0.00049324-0j 5.06977e-09-0j -0.0144225-0j -0.000842691-0j 2.31331e-07-0j -1.21212e-07-0j 1.54221e-07-0j -2.25629e-07-0j 9.45846e-06-0j -0.000276569-0j -5.53085e-06-0j 4.676e-09-0j -1.61596e-05-0j -3.68724e-06-0j 0.000431585-0j 9.54191e-08-0j 5.39453e-06-0j -3.06684e-07-0j 0.000287723-0j -0.000420947-0j -0.0126197-0j -1.61197e-07-0j -1.11798e-07-0j -0.00841313-0j -0.000737354-0j 0.0123086-0j -2.8547e-07-0j -2.28136e-06-0j 8.72383e-06-0j 7.33246e-06-0j -0.00049157-0j 0.00071918-0j -1.24413e-07-0j 0.00017802-0j 3.85404e-06-0j -0.000255088-0j -0.000572168-0j -0.00520536-0j -0.000300739-0j 6.82527e-06-0j 0.0167304-0j -1.49045e-05-0j 0.00879372-0j -0.000304143-0j -0.000532591-0j 2.97458e-06-0j 0.000977538-0j 0.0155731-0j 0.000513807-0j -0.000232113-0j 0.000909921-0j 0.00678707-0j 0.000396561-0j 
-4.14752e-07-0j 4.04529e-07-0j 1.16822e-05-0j 2.50463e-07-0j -1.64271e-05-0j 2.84374e-06-0j -0.000197018-0j 5.74819e-08-0j 2.03167e-06-0j -3.98242e-06-0j -0.000140757-0j -2.80239e-06-0j 0.000194153-0j -3.50928e-06-0j 0.000243127-0j -2.16543e-08-0j -8.77442e-05-0j 0.00209262-0j -4.2381e-10-0j -1.99724e-08-0j -1.7173e-06-0j 1.94802e-08-0j 4.09559e-05-0j -8.09292e-05-0j -3.02784e-10-0j 0.00193008-0j 7.89344e-05-0j 2.80844e-08-0j -1.2269e-06-0j -0.00188251-0j 1.8026e-08-0j 2.92603e-05-0j 0.000113799-0j 7.30421e-05-0j -0.002714-0j -0.00174199-0j -1.70655e-08-0j 6.81925e-07-0j 3.34781e-07-0j -3.27252e-10-0j 0.00155983-0j -0.0129586-0j -1.49323e-08-0j 1.30767e-08-0j -9.95489e-09-0j 1.45643e-08-0j 6.41982e-09-0j 2.99116e-05-0j 5.96684e-07-0j -3.01835e-10-0j -0.000248496-0j 3.9779e-07-0j 2.92933e-07-0j -6.15928e-09-0j -5.81977e-07-0j 1.97964e-08-0j 1.95289e-07-0j -2.85713e-07-0j 0.00136485-0j 1.04052e-08-0j 1.20611e-08-0j 0.0009099-0j -0.0113387-0j -0.00133121-0j 1.8427e-08-0j 2.4612e-07-0j 5.9212e-09-0j -7.91047e-07-0j -0.00755916-0j 0.0110593-0j 8.03085e-09-0j 1.20829e-07-0j -4.15785e-07-0j 2.75884e-05-0j -3.88353e-07-0j 0.000562972-0j -2.04123e-07-0j -7.36329e-07-0j -0.00180943-0j -0.000229195-0j -0.000951062-0j -0.00467699-0j -3.6149e-07-0j -3.20906e-07-0j 0.0150322-0j -0.00168427-0j 0.00790112-0j -1.57544e-07-0j 0.0139924-0j -0.000734039-0j 0.00609816-0j 
