-0.26913+0.0779484j 0.0467705+0.251669j -0.288615+0.0902483j -0.230257-0.350383j -0.223934+0.216201j 0.0619089-0.053721j 0.134152-0.0272838j -0.107824+0.0432765j 0.133355+0.274044j -0.166921-0.033065j 0.100073-0.142991j 0.140069+0.0556808j 0.216073-0.134727j -0.291468-0.0422337j -0.0184569+0.358329j -0.134392+0.00718646j 0.00636676+0.13264j -0.0578148+0.0285665j 0.0191168+0.0739439j 0.037057-0.00341208j -0.0360196-0.012595j 0.00445882-0.0353921j 0.0302075+0.00349595j 0.019797+0.0133716j -0.0153606+0.0271133j -0.01821-0.01914j 0.00906787-0.034241j 0.0105675-0.00205126j -0.00276283+0.00914778j -0.0309422+0.0121371j 0.0352876+0.0069745j 0.0088973-0.0139332j 0.0107579+0.0157638j -0.0151971+0.0211468j 0.0286538+0.0226982j -0.0136664-0.00495349j -0.0139101+0.0150313j -0.00666463+0.00487086j 0.00566694+0.00739697j -0.0102246+0.0456853j -0.0418566-0.00969701j 0.0302619+0.00121041j 0.00491671-0.0122412j -0.00352344-0.0119687j 0.00122307+0.0180711j 0.00251702+0.0171311j -0.0108232+0.0215148j 0.0274585+0.0132734j 0.00324101+0.00727474j 0.00971923-0.0201604j 0.00795951+0.00664075j 0.015675-0.00462916j -0.00409767-0.00617776j -0.0175306-0.0102034j 0.00329429-0.00957312j 0.0113298+0.00366536j -0.00844489-0.00463421j -0.00927892-0.0172764j -0.0015962+0.00404898j 0.000932628-0.00548023j 0.00172892+0.00192102j 0.00374494-0.0011957j 0.00723263+0.0191375j 0.00324248-0.011275j 0.0102111+0.00187497j -0.00531624-0.00868883j -0.00321617-0.00851406j 0.00713331-0.00553286j 0.0125485-0.0110577j 0.0020198+0.0140466j -0.00263174+0.0048079j 0.00771103+0.00796317j 0.000901981-0.00105651j 0.0124125-0.00874347j -0.0194916+0.0116276j -0.0103963+0.00791927j -0.00368112+0.00145383j 0.00160598-0.00302663j 0.00747088+0.0108342j -0.00236527-0.00553395j -0.00011659-0.00316793j -0.00271845+0.00156364j 0.00218764-0.0060489j -0.00301086+0.00310993j 0.0157475+0.0222915j -0.01563+0.00622277j 0.0130959+0.00038857j 0.00375089+0.00209081j -0.00106912-0.00849394j 0.0175363-0.00246816j 0.000334951+0.0155324j 0.00263731+0.00181025j -0.00378286-0.00392149j -0.00755981+0.00584705j -0.00545553-0.0102059j 
-0.00212519+0.00485378j -0.000329925-0.00363309j -0.00309995+0.006134j 0.000423782+0.00325067j 0.00291094-0.00317322j -0.00324383+0.00877743j 0.00747216-0.0033926j -0.00341241-0.000196727j -0.00105346-0.00219809j -0.00188979-0.00758318j 0.00405143+0.00454938j 0.00115183+0.00275476j 0.000127395-0.00478021j -0.00107103+0.00134266j 0.00115025+0.00102846j 0.00298555-6.3833e-06j 0.00183148-0.000510772j 0.00341383+0.00414174j -0.000893943-0.000854856j 0.00532944-0.0031284j -0.0107904+0.00320338j 0.00664549+0.0114253j 0.00221544+0.00185086j -0.0126964+0.00128013j -0.00140437+1.45298e-05j 0.00371037-0.00794726j 0.00545652-0.00406467j 0.00095094-0.000337634j 0.00383576-0.00164339j 0.00122175+0.00874605j 0.00218198+0.00690922j -0.000299903+0.00042789j 0.00706646-0.00044605j -0.000555249+0.00360128j -0.00346483-0.00104217j -0.00201023+0.0023656j 0.00343839+0.00138066j 0.00539695+5.46008e-05j 0.000768439+0.00358048j -0.00495399+0.00198j -0.00202287-0.00511067j 0.00380566+0.00164277j 0.00159223+0.0034657j -0.00171996-0.00031049j -0.00614465-0.00220932j 0.00389211-0.00469247j -0.00834096-0.00154463j 0.00255952-0.00297499j 0.00406854+0.0030336j -0.00967082+0.00671209j 0.00105118+0.00470608j -0.00873901+0.0078201j -0.00356737+0.00271894j 0.00754674-0.00881763j -0.0103093-0.0109339j 0.00272768+0.00559693j -0.0110963-0.00136034j -0.0144398-0.00329129j 0.00182348+0.00136647j -0.00887879-0.00431619j 0.0186189-0.00954253j 0.0076296-0.0191804j 0.00362884-0.00445346j 0.0124921-0.0120473j -0.000666385+0.012863j -0.0146322+0.0181947j -0.0238077-0.0170215j -0.0157606+0.0101217j 0.00246848-0.00718155j -0.0306583-0.00169807j 0.00993116+0.0150983j 0.00561437+0.0041763j 0.00350721-0.0160332j 0.0158535-0.00179206j 0.0151373+0.00339869j 0.00504688-0.01294j 0.00128228-0.00981314j 0.00329319+0.00974416j 0.00311606-0.0234992j -0.01296+0.00530352j -0.0192169-1.59403e-05j -0.00446331-0.0124017j -0.00349573+0.0144468j 0.00153401-0.00109894j 0.00513813-0.000789191j -0.00639459+0.00330552j -0.00632853-0.0019398j -0.00197372-0.00678529j 0.00078897+0.000704815j -0.00102734+0.00211137j -0.00133638-0.00199031j -0.00105538-0.00238357j 0.00322113-0.000330629j -0.000246396-0.000230099j 0.000378712+0.00303846j 
0.000740357+0.00164526j 0.00404743-0.00275854j 8.92767e-05+0.00646756j -0.00367671-0.00313709j 0.000355885-0.00235783j -0.00111156+0.00502172j 0.00489915+0.000901334j -0.00124923-0.00352362j -0.00242658-0.013197j 0.00924015-0.00247808j 0.00233654+0.00445997j 0.00538357-0.00203725j 0.00784485+0.00171822j 0.00115836-0.00593166j 0.00359533+0.00175698j 0.00561937-0.00380989j -0.00106772+0.000935956j 0.00294387-0.00140192j 0.00344413-0.00434848j -0.00515028-0.00401948j 0.000412722+0.00179507j 0.00538858-0.000759779j 0.0053737+0.0093272j 0.00429025+0.00556206j 0.00211536+0.0111303j -0.000248587-0.0110568j -0.0064444-0.0132845j -0.00256391-0.00827291j 0.00814428+0.00846544j 0.0177566-0.00654075j -0.00917404-0.00777279j -0.00166876+0.000764889j -0.00926761+0.0085481j -0.0027254+0.00501679j 0.0034387-0.000115785j 0.0027908+0.00156532j -0.00326456+0.000977826j -0.00087287-0.00271929j -0.00361813+0.00595845j 0.000695452-0.00429686j -0.00140099-8.54098e-05j 0.00191291-0.00287818j 0.00104366+0.00450972j 1.63219e-05+0.00421037j 0.00120841-0.000270494j -0.00357027+0.00371493j -0.00733853-0.000920158j -0.00075713-0.00626976j -0.00251931+0.00547193j 0.00145915+0.00730033j 0.00405043-0.00279708j 4.24974e-05-0.00104253j -0.00268116+0.00182382j -0.00369511-0.00169633j 0.00356295-0.000190521j 0.00124612-0.00448444j 0.00470189-0.00141182j 0.00761374+0.00563659j -0.0067259+0.00615311j -0.00197661+0.00854257j -0.0146718+0.00329808j -0.0145181+0.0120705j 0.000434045+0.00120199j 0.000529347+0.000332089j 0.000745579-0.00890709j 0.0210116-0.00756461j -0.00386345+0.00376942j -0.0185945-0.0181237j 0.00426816+0.00258337j -0.00115714-0.00623046j -0.00888542-0.00351008j 0.0042597-0.00118206j 0.00122345+0.00696665j -0.00384557+0.0121665j -0.00399643+0.0119064j -0.0065791+0.00882708j -0.000851942+0.0018952j 0.00135564+0.00611438j -0.00434105+0.012993j 0.00420747-0.00334242j 0.00693057-0.00577149j 0.00566338+0.0138295j 0.00657606-0.00298812j 0.0056435+0.00411057j -0.00458895-0.00332362j 0.000393471+0.00327066j 0.00635017+0.00453175j -0.00404086+0.00832846j 4.09845e-05+6.74105e-05j 0.000925136-0.00350636j 0.00236516+0.00155065j -0.00262111+0.000318229j 0.000692046+0.00102127j -0.000583053-0.00121026j -0.00043924-0.00116634j 
0.00291504+0.0013128j 0.00194369+0.000916547j 0.00146835+0.00133955j -0.000677631+0.00460623j 0.000491175+0.00146398j -0.00156053+0.0055906j 0.00472629-0.00358302j -0.000435049+0.00571813j -0.0067014-0.00283834j 0.00071684-0.010155j 0.0018712+0.00343166j 0.00379083-0.00071873j 2.25706e-05-0.00409032j 0.00371919+0.00182473j 0.00348704+0.0035109j 0.00459102-0.00140674j 0.000863461-0.003821j 9.31182e-05+0.00186819j 0.000763394-0.00140823j 0.00199888-0.00499155j -0.0034481+0.00154865j 0.00416666-0.000377052j -0.00756286+0.00737746j 0.00691541+0.000802448j 0.00187795+0.00571498j 0.00871935+0.00250662j -0.00196877-0.00382136j 0.00500246+0.0070844j -0.00546889+0.00293509j 0.00148908+0.00261918j -0.000312543+0.00454014j -0.00220005-0.000842652j 0.00073331-0.00380873j -0.00389266+0.00133815j -0.00193282-0.00129525j -0.000864136-0.00175015j 0.000997212-0.00249217j -0.00198372+0.00242295j 0.00277772+0.0027064j -0.00284163+0.00161038j -0.00219945-0.00497591j 0.00104574+0.00282692j -0.00391002-0.00185313j -0.000833481+0.0089367j 0.00926772+0.00148507j -0.00263442+0.0051795j -0.00976713-0.00581442j -0.000877628-0.00583437j 0.00646972+0.000657645j -0.0050579-0.00852818j -0.00456034+0.0113683j -0.0112708+0.00780726j -0.00071307-0.00440447j -0.00652738-0.00538637j 0.00167933+0.00890731j -0.00470969+0.00285128j 0.00671117+0.00112572j 0.00608986-0.00618267j -0.0092714+0.000338393j 0.00535369+0.016973j -0.00787237+0.00290586j -0.00380843+0.00729452j 0.0212516+0.000477892j -0.00949329-0.00290767j -0.0255843+0.00471637j -0.00650687+0.0112961j 5.90024e-05+0.0204273j -0.00804109-0.00788378j 0.014529-0.011323j -0.00673678+0.00260709j 0.00635128-0.00302942j 0.00443065-0.0134165j 0.0034187-0.0103357j 0.0109881+0.0181401j 0.000317735+0.00571539j -0.000128004+0.00424459j 0.00456263-0.00339377j 0.00894012-0.00156679j -0.00681485-0.00770488j -0.00570727+0.0104057j -0.00984138-0.00778748j 0.00290806-0.00924156j -0.0059575-0.00118989j 0.00691088-0.00350669j 0.00509245+0.000704716j -0.0103402-0.00200432j -0.00626848+0.00217725j -0.000719805-0.0101955j -0.00264288-0.00180001j -0.00135539-0.000638677j -0.000741941+0.00203592j 0.00140823+0.00491243j 0.000808053+0.00104886j -0.00180081+0.00241554j -0.00139824-0.00125975j 
-0.00333546-0.000204879j 0.00250342-0.00386545j 0.000212932-0.000977871j -0.0050496-0.0014468j 0.00367972+0.00234355j -0.0013738-0.00366651j -0.00587965+0.0103119j -0.00630744-0.0125916j -0.0024138+0.00346205j 0.000585864+0.00530123j -0.0121514-0.000783257j -0.0008354+0.00611842j 0.00184052+0.00261263j -0.00156659-0.000114897j -0.00188602-0.0021071j -0.00171826+0.000128164j -0.00398558+0.00063744j -0.00106953-0.000211199j 0.00515542+0.000571992j 0.0016701-3.7147e-06j 0.00479534-0.00143367j -0.00651584-0.00426488j -0.00325885+0.00868211j 0.0103533-0.000540202j 0.00931121+0.00128791j 0.00595236-0.00247564j -0.00405043+0.000501691j 0.0137869-0.00126126j 0.00197689+0.00646744j 0.0144596+0.00530334j -0.00549929+0.00513183j 0.00251848+0.00390214j -0.00699433+0.00336889j -0.0027521-0.000386716j 0.00439956-0.000747551j 0.00172763-0.000678188j -0.00386441-0.00240836j -0.00268569+0.00161801j -0.00294467+0.00103334j -0.000303653-0.00387688j 0.000371173+0.00231203j 0.000359936-0.00221149j -0.00143692+0.0003065j 0.00252811-0.00250628j -0.000115496+0.00393773j 0.00156699-0.00219903j -0.00624702+0.00136358j -0.00458699-6.50115e-05j -0.0104465-0.00128339j -0.000711698+0.00436992j 0.000921875-0.000137979j 0.00402155+0.000709208j -0.000681255-0.00149863j -0.00177381-0.00809615j -0.00936575+0.00805792j -0.00125572+0.0108277j 0.0039376+0.0158347j 0.0136487-0.00233854j 0.00840899-0.00276134j 0.00173815-0.00559844j 0.0227547+0.00251188j 0.00184159-0.0182267j -0.000866123+0.00502419j 0.00161293-0.0201419j 0.00325497+0.000333752j -0.0393572+0.00688426j 0.0295931-0.00271221j 0.0235699+0.00380777j 0.00654789+0.00457719j 0.00774462+0.00667106j -0.00888532-0.000259963j -0.0129761-0.0106679j 0.00960945-0.0115136j -0.0187957-0.0298166j -0.010646-0.00395044j 0.0156502-0.0101313j 0.00842041-0.0170926j -0.00109369+0.0155353j 0.00458738-0.0105317j 0.00660153-0.00566131j 0.0026257+0.00576828j 0.0137852+0.0026134j 0.00134539-0.00116909j 0.00291274-0.00737227j -0.00362875-0.00163983j 0.00649401+0.00190938j 0.00761511+0.000293532j -0.00441645+0.00239123j 0.00174805+0.00107189j 0.000870026-0.000467148j 0.000540581-0.000540937j -0.00195808-0.00111297j 0.00173491+0.00257526j 0.000114494+0.000264755j -0.00171274-0.000470651j 
-0.000272064-0.000122611j 0.00226216-0.00166546j 0.00215918+0.00018111j -0.0031629+0.00215882j 0.00932285+0.00330251j 0.00103418+0.00346689j 0.000875135+0.00358905j -0.00939462-0.00711741j -0.00548181+0.00884625j -0.00253591+0.00125724j -0.00482696+0.0052718j 0.00465322+0.00158732j 0.0010055+0.00101996j 0.00146929-0.00250326j 0.00229519-0.000126351j 0.00306577-0.00164391j -0.000333396+0.000591499j -0.00143156-0.000694367j -0.00161762-0.000769383j -0.00229478-0.000537351j 0.00171864+3.90874e-06j 0.00396532-0.000289852j -0.00668159+0.00328196j 0.0065238-0.00443166j 0.00553758+0.0135298j 0.00179345+0.00498234j -0.000671528-0.00751038j -0.0104009+0.0150849j 9.98718e-07+0.0048196j -0.0124034-0.00729025j -0.00656205-0.0100588j -0.00307713-0.00376723j -0.00316646+0.000446139j -0.0013513+0.0037799j 0.000635648+4.52071e-05j 0.0017367+0.00151795j 0.000986839+0.00199506j 0.00128263+0.00112741j -0.00211687+0.00150266j -0.00129005-8.87455e-05j -0.00259971+0.00285038j 4.65993e-05-0.00318518j -0.002602+0.00342459j -0.00273254-0.000913563j 0.00333242-0.000875411j 0.0024571+0.000325213j 0.00105085+0.000891565j -0.00284485-0.00231777j -0.00382718+0.00302719j -0.00578026-0.000297755j 0.0104468-0.00131185j 0.00394472+0.00635746j -0.00280602+0.000149275j -0.00330104-0.00256221j -0.00646444+0.00445621j 0.00385824+0.00914222j 0.00104958+0.0092358j 0.00463341-0.00456985j 0.00304743-0.0196853j -0.00459411+0.00789114j -0.000717783-0.00754189j -0.00318416+0.00299413j -0.00277458+0.00160383j 0.000563703+0.0221769j 0.0166722-0.0119463j -0.000902715-0.0225575j 0.00756572-0.0145123j 0.00138714-0.00138008j -0.0137136-0.00582482j -0.00277817+0.00925582j 0.00507271-0.017399j -0.00416244-0.00285538j -0.0107325+0.0112987j -0.00318065-0.00499734j 0.0129499+0.00579686j -0.00987009-0.0132918j -0.0113119-0.00325301j 0.00873274-0.014345j -0.00690711+0.0106858j -0.00426848+0.00501339j 0.00281775-0.0127104j 0.000800248+0.00941186j 0.000456359+0.00766699j -0.00631017+0.0093726j -0.000630861+0.000593162j 0.00117432+0.00654028j -0.00249204+0.00279437j -0.000878378+0.00502705j -0.00127769+0.00561805j 0.000861486+0.00317101j 0.000201337-0.00160251j 0.000183232+0.00110265j 0.00152177+0.0023994j 7.65655e-05+0.000273465j -0.00121423+0.000903302j 
-0.00187236+0.00557481j -0.00202682-0.00659294j -0.00628632+0.00839017j -0.00415585-0.0048902j -0.00496662-0.00398134j -0.0107354+0.000606212j 0.00300204+0.00462823j 0.00486418-0.0129307j 0.000171224-0.0196823j 0.00795013-0.00287668j -0.00107472+0.0049128j -0.00338682+0.00630226j 0.00382921-0.00080477j 0.000944948-0.00314807j -0.00235477-0.000342073j -0.000184517+0.000218908j 0.00198041-0.000786804j 0.0043814-0.000404152j 0.00142511-0.00221423j -0.000632249+6.59598e-05j -0.00162492-0.00235332j 0.00498908-0.000731784j -0.00381876+0.00627537j 0.0122545-0.00677143j 0.00191539+0.00706573j 0.00447422+0.000247399j 0.00162407-0.00965518j -0.00452213+0.00851447j 0.00153306+0.00296218j -0.000930787-0.00682462j -0.00329584-0.00176445j -0.00202585-0.001012j -0.00224076-0.00033786j -0.00180051+0.00420478j 0.000917719+0.0011486j -0.00135646+0.00235558j 0.00102788+0.00176967j 0.00490108-0.00428281j -0.000220828-0.000286031j -0.00129518+0.000219218j 0.000261252-0.00622159j 0.00250401+0.00210786j 0.00613255+0.00262681j 0.00092315-0.00556084j -0.00990999+0.000295386j -0.0030882-0.0128297j 0.00141483-0.00387375j 0.00898382-0.00690221j 0.00509874-0.00766536j 0.00488883-0.0105416j -0.00311885-0.00159492j 0.00294507+0.00405333j 0.00556877+0.00150266j -0.00575563-0.000657558j 0.0149777-0.000367918j 0.00124561-0.00933856j 0.00281715+0.000629268j -0.0133737+0.0137906j 0.00749226+0.0019664j 0.00411721+0.00720795j 0.0123244-0.0118625j 0.00802529+0.00782387j 0.00213738+0.00180321j -0.00625295-0.00917974j -0.0112014+0.00849126j 0.00754815+0.00941098j -0.0197516+0.00530278j -0.00695978-0.00742513j 0.00411718-0.0127581j -0.00181404+0.0096578j 0.00105232+0.00424044j -0.00691737-0.0196155j 0.00597581-0.00685925j 0.000537383+0.019889j -0.0125398-0.00774849j 0.0110334+0.00091701j 0.0134441+0.0114274j -0.00470967+0.0013734j -0.00101752-0.00184025j 0.00114489+0.000265391j -0.00187388+0.00596635j -0.00767169-0.00163828j 0.00433572-0.0020816j -0.000459652-0.00216405j 0.000615645-0.0013644j -0.00485767-0.00128379j 0.00438377-0.00519676j -0.000595071+0.00285698j 0.00173861+0.000395969j -0.00141836-0.00260006j 0.000322621-0.000921846j 0.000946763-0.00201514j 0.0014308-0.00370837j 0.000277311-0.00344977j 0.00290952+0.000861962j 
0.000753422-0.000753926j -0.00117686+0.00233999j -0.00247518-0.00291559j 0.000715744-3.34889e-05j -0.00235465+0.00218551j -0.00313054-0.00400477j 0.000224322+0.00244976j 0.00259645+0.00278839j 0.000102658-0.0024925j 0.00303943+0.000527025j -0.00282297+0.000795383j -0.000330771-0.000249355j 0.000184465+0.000422756j 0.00191862+0.000731066j -0.00122186+0.00102811j 0.00341637-0.000585885j 0.00236663+0.0014477j 0.00342985-0.000322262j -0.000959511-0.0020558j -0.000734794-0.00221964j -0.00553417+0.00296216j 0.00619015+0.00324498j 0.00534218+4.34782e-05j -0.00606923+0.00203269j -0.00174462+0.000856495j 6.18762e-05-0.00789145j 0.00505687-0.00437095j -0.00521444-0.00482732j 0.00516643-0.00345411j 0.00587048+0.00178905j 0.00249011+0.000564139j -0.000179185+0.00366452j 0.00041699+0.00319267j -0.000118842+0.00133798j 2.23961e-05+0.00235919j -0.000190014+0.00263546j 0.00246453+0.00474776j 0.00220776-0.00355339j 0.000461591+0.00277707j 0.00285072+0.00219961j 0.00060963-0.00197264j 0.000603478-0.00218002j 0.0065484+0.00269089j -0.00314294-0.00131202j -0.0015485-0.00146078j -0.00588843+0.00143507j 0.00719659-0.00044405j 0.00553194+0.00230362j 0.00443952+0.00616732j 0.00137795+0.00837842j 0.0101402+0.00191585j 0.00219178-0.01057j 0.00548541+0.00872439j 0.00308193-0.00331206j 0.00969394+0.0105827j -0.00314244+0.00408982j 0.000737527+0.00267713j -0.00706517-0.00246954j 0.0178159-0.020909j 0.005129-0.00626145j 0.00212282+0.0057233j 0.0013085+0.00105064j -0.00488599-0.00462672j -0.0026424+0.00207592j 0.0276542+0.0124157j -0.0321356+4.19059e-05j 0.0244495+0.00641445j -0.00324068-0.0128479j -0.00510169+0.00158354j -0.0044897+0.000216495j 0.0044056-0.0106549j -0.0045715+0.0174792j 0.0078581+0.0134033j -0.00861365-0.00456288j 0.00572034+0.008668j -0.00667571-0.00943212j -0.00274658-0.00747839j -0.00347407+0.00273734j 0.000697964-0.00373464j -0.00201331-0.00461532j 0.000789617+0.00844378j 0.00126025-0.00632733j 0.00136687-0.00528301j -0.00449148+0.000311726j 0.00379271+0.00234032j -0.00139526-0.00302289j -0.00140502-0.000363524j -0.000544492+0.00196622j -0.00327303-0.000690277j -0.00165954+0.00204593j -0.000519093-0.00238168j -0.00116077-0.000989547j -0.00187539-0.00393589j 0.00144574-0.00171301j 0.00234872+0.0013084j 
0.00845455+0.000394135j -0.0015683+0.00258639j -0.000359604+0.00426681j 0.000327954+0.00684748j -0.00258709+0.0031765j -0.00503139+0.0107394j 0.00680982-0.00548118j 0.00397526+0.0122061j -0.0139447-0.00865241j 0.00510268-0.0226214j 0.0068785+0.00389017j 0.0076876-0.00426685j 0.000824499-0.00721229j 0.00653731+0.00260117j 0.0018582+0.0106702j 0.00281443-0.000261669j 0.00353896-0.00224077j 0.00286403+0.000967384j -0.0010506-0.00114967j 1.3643e-05-0.00198669j -3.74925e-05+0.00158076j -0.00484402-0.00627066j -0.000637743-0.0011638j 0.00447764+0.00206161j -0.00650994-0.00407421j 0.0013956+0.00430478j 4.83917e-05+0.0120617j 0.00479267-0.00731612j -0.00642128+0.000793932j 0.00149593+0.00315024j 0.0130402+0.00714006j 0.00264774+0.00332814j 9.57229e-05-0.00821105j -0.00260501-0.0045588j -0.000350523+0.00200519j -0.00124905-0.00420135j 0.00249666-1.14845e-05j 0.0017136-0.00185037j 0.00206066-0.00164674j 0.00142928-0.002363j 0.00247401+0.00546676j -0.000976177-0.00311222j -0.00289756+0.000227565j 0.0024649-0.00205868j -0.00353807+0.0019925j 0.00106961-0.000866651j 0.00817185+0.0023985j -0.00255255+0.00148107j -0.00625131-0.00537029j -0.000550262-0.00596357j 0.00544293-0.000565701j 0.00663671+0.00280696j -0.000305796+0.00138689j -0.006256+0.00440774j -0.00499065+0.00436166j -0.00877332-0.000285384j -0.00184647+0.000184647j 0.00541956+0.00326459j 0.0055599-0.0141858j -0.00210254-0.0106618j 0.00323317+0.0107074j 0.00238509-0.00016085j -0.00960649+0.00270581j 0.00558+0.0156208j 0.012628-0.010624j -0.0159927-0.00353671j 0.0103293-0.0126157j 0.0270075+0.00293495j -0.00500649+0.00899859j 0.0155675+0.000358193j -0.00462073-0.0102896j 0.000887041+0.00327467j -0.000463506+0.0108414j -0.00760466-0.0131892j 0.0016257+0.000692j -0.000190017-0.000355736j 0.0013031+0.00159754j 0.00187185-0.00262461j -0.00704893+0.0139122j 0.00623917-0.00113911j 0.0109243+0.00904069j 0.00125606+0.0050052j 0.00231803-0.00912193j -0.00929961-0.00344742j -0.000627339+0.00879142j 0.0128886-0.00622952j -0.000963403-0.00187245j 0.0039088+1.54652e-05j -0.000914039+0.00164047j -0.00307992+0.00446416j -0.000404654+0.00461712j -0.00152923-0.00132002j 0.0020595+0.000238622j -0.000926837+0.0005979j 0.00182881+0.00103499j 
-0.00135217+0.00116665j 0.00100432+0.00213652j 0.00126352+0.00645071j 0.00489903-0.007155j -0.0095643-0.0047996j 0.00368215+0.00158306j 0.00671949-0.0109119j 0.0113349+0.00607489j 0.0100148-0.0149386j 0.00183831+0.00386187j 0.0134895-0.00260258j -0.00433068-0.0057617j 0.00139381+0.0010897j -0.00430245-0.00450043j 0.00403294-0.00427779j 0.00282135-0.00261606j -0.000522604+0.00328043j -0.00137387-0.00259094j -0.00189619-0.00345465j -0.00333997-0.000687212j -0.000940675+0.00151008j 0.00735026-0.000458281j -0.000688552+0.00151181j 0.00343607-0.00398084j 0.0082985+0.00956191j 0.00171809-0.00472599j 0.00166009-0.0110007j -0.00644277+0.00780599j 0.00703756+0.00412996j 0.00123638-0.00350261j -0.00923536-0.00786165j -0.000430957-0.000440353j -0.00494303+0.00663207j -0.00165007+0.006291j 0.0016811+0.00102657j 0.00252856+0.00386156j 0.00103784+0.00481874j -1.6715e-05-0.000615237j -0.00278359+0.000954336j -0.000918602+0.000515686j -0.00156977+0.00139098j 0.000728969-0.00229363j -0.000840838-0.000897231j 0.000123539-0.00242437j 0.00554491+0.00397449j -0.00572864-0.00176669j 0.00313608-0.00294579j 0.00227828+0.000632526j -0.000550962-0.0109637j 0.00136047-0.0124577j -0.000292702-0.000611342j 0.000968829+0.0130823j -0.000534357-0.00298569j -0.00245528+0.0129188j -0.00608321+0.00443327j -0.0104172+0.00883016j -0.002506+0.00905131j 0.00580313-0.0124224j 0.0104359-0.0108896j -0.00207405-0.0145656j 0.0015442-0.00440017j -0.00386978-0.0121889j 0.00573612+0.000383719j 0.0129538-0.0058278j -0.00380587+0.0106956j -0.021293-0.0108287j 0.00721809-0.0166205j 0.0236768+0.00947736j -0.0115487+0.00598178j 0.00363076-0.000809721j 0.0136143-0.00244718j -0.00435605+0.001988j -0.00384356-0.00634595j -0.00371931-0.0169595j 0.00372447-0.00405123j -0.00161634-0.0143883j 0.00529368-0.00855898j 0.00155937-0.0127327j -0.00426333-0.00648513j -0.00408517-0.000846879j 0.00536489+0.00180991j 0.00894438-0.00336795j -0.00882124-0.00432936j -0.00794755-0.00865491j 0.00119542-0.00300587j -0.00122531-0.000141758j 0.00326186-0.00248717j 0.00281265+0.00183591j -0.0063451-0.000882283j 0.00130224+0.00439076j 9.02903e-05-0.00402844j 0.00244067+0.00232887j -0.0026763-0.000685473j -0.000562479-0.000202983j -0.000767891-0.00090392j 
0.00316194+0.000317574j -0.0016429+0.000156206j -0.00183777+0.00135928j -0.0035241-0.000225147j -0.00655021+0.00118935j -0.00592399-0.00154322j -0.0010545+0.00365537j 0.00400578-0.00341198j -0.0060906-0.0121605j 0.0065102-0.00666777j -0.00222705-5.57035e-05j -0.00137416+0.00181624j 0.00228417-0.00246482j 0.00238949-0.000709196j -0.000811868+0.00239272j -0.000764272+0.00028943j 0.00213963-0.00291427j -0.00094363+0.000682632j -0.00355385+0.00226099j -0.00107204+0.00246727j -0.00159006-0.000737049j 0.0047496+0.00056295j -0.00391423-0.00674559j -0.00538327-0.00162646j -0.00682857+0.00373738j -0.00358424+0.00885822j -0.000823344+0.000118123j -0.0124529+0.0114409j -0.0044629-0.00242152j -0.0234799-0.00439406j -4.30216e-05-0.00570302j -0.00627719-0.00559797j 0.00306185-0.00495013j 0.00325436-0.00104915j -0.00415597-0.00025046j -0.00182619-0.00122658j 0.00190134+0.000105413j 0.0014183+0.000423526j 0.00231462-0.00161748j -0.0012583-0.000626254j 0.000280211+0.00146534j -0.00174309+0.000251351j -0.00289386+0.0010537j -0.00150893-0.000667428j -0.00228682-0.00351828j 0.00123593+0.00322639j -0.00102606+0.00401881j -0.00301144+0.00201386j -0.000587033+0.00566163j 0.00047822+0.00546498j 0.00546845+0.00627392j -0.000331602-0.00500935j 0.00216703+0.000651273j 0.0045881-0.00586379j 0.0032008+0.00599653j 0.00663259+0.00730045j 0.0079026+0.00833086j -0.00859584-0.000999985j 0.0106223-0.00290153j 0.00710933+0.00853954j 0.0115532-0.0121668j 0.00476933-0.0124568j -0.00586749+0.0066712j -0.00914197-0.00486884j 0.0145537-0.00562484j -0.0200541+0.00847794j 0.0307272+0.00797367j -0.00085882-0.00743923j 0.0177133-0.00733458j -0.00135031+0.00243377j -0.00679701+0.00316837j -0.011396-0.00259982j 0.00704451-0.00490929j -0.00961932-0.0139523j 0.00871705-0.00521439j 0.00392975-0.0116486j -0.00397805-0.0101938j 2.56313e-05+0.0014757j 0.00975413-0.00493906j 0.00373603+0.000819186j 0.00364077-0.00360834j -0.00167712+5.37797e-05j -2.86921e-05+0.00866883j -0.00168921+0.00598819j -0.000476713+0.000154827j -0.000612271+0.00269694j -0.00444028+0.000636511j -0.00165586+0.000695862j 0.00067017+0.00296488j -0.000927915-0.000548115j 0.00123975+0.0018038j 0.000807564+8.44338e-07j 0.00065491+0.00104637j -0.000271053+0.000661642j -1.0281e-05+0.000811994j 
