-0.0972495-0.0123007j -0.029277+0.0832301j -0.14546+0.135294j 0.155299+0.184189j 0.0656824+0.0830031j 0.15523+0.0658321j -0.0403238+0.350021j 0.175377+0.0125457j -0.0471837-0.0325901j 0.0289029-0.0571391j 0.133068+0.0526007j -0.136567+0.0459258j -0.191342-0.0303314j -0.0545659+0.0580255j 0.111349+0.0543681j -0.275625-0.00207483j 0.133066+0.0608265j 0.059413+0.0299705j -0.0299168+0.119092j -0.0739482-0.00878864j 0.103302-0.124117j 0.0570345+0.0690875j 0.0285231+0.113306j 0.0829429+0.0407329j 0.0421035-0.139484j 0.0550839-0.136802j -0.0409768-0.00631883j 0.0423176+0.0276466j 0.102829-0.0297585j 0.0878216+0.0047349j -0.0302527-0.0817342j 0.0392388-0.0304172j -0.0975626+0.0116372j 0.0739664-0.00563776j 0.0219225+0.0320711j 0.171522-0.186697j 0.106552-0.167747j -0.0232061-0.00380791j 0.0808659+0.276347j 0.217704-0.0184151j 0.0577824-0.0296175j 0.0714592+0.0136261j 0.121537+0.0373167j -0.0537437+0.11512j -0.0246227-0.030107j -0.0187292-0.0310037j 0.0787702-0.04135j 0.0539902+0.0669833j 0.0148571-0.000122816j -0.0215443+0.00993995j 0.00572545-0.012625j 0.00340443+0.0321549j -0.00251699-0.0135105j 0.0123529+0.0271518j 0.00207147+0.0161816j 0.00234252-0.0111153j 0.010557+0.0161675j 0.0295414+0.0101772j 0.0149644+0.00372131j 0.00975184+0.0284237j 0.0169874-0.0174536j 0.0310566+0.0114519j 0.0165394+0.0114097j 0.00866864-0.0124035j -0.0367644+0.000556685j -0.00162601+0.00775138j 0.0056956+0.0323414j -0.0097096-0.0133326j 0.0263413+0.00549194j 0.00255331+0.0112317j -0.0225417-0.0204717j 0.00274313-0.00685274j -0.00534998-0.0115244j 0.00973349-0.0260924j -0.0163516-0.00864476j 0.0098998+0.0133529j 0.0128558+0.00272011j 0.000283283+0.00944167j -0.00158069-0.0172997j -0.0085666+0.00933587j 0.00986016+0.00124359j -0.0175921-0.0241089j 0.0191979-0.00607721j -0.0198079-0.00593428j 0.00617634-0.00250894j -0.0193686-0.0261011j 0.0090961-0.0104164j -0.0508822-0.00255901j -0.00874989+0.0356859j 0.0208572+0.0148619j 0.035426+0.0131637j 0.00674337+0.0289493j 
-0.00172112-0.00487405j -0.00391649-0.000719573j -0.00706528-0.00901928j 0.00595197-0.00275456j -0.00418112-0.0125296j 0.0008991+0.00940773j 0.00507203-0.00258554j -0.00579461-0.0121087j -0.00322399+0.000936185j -0.0147691-0.0130202j 0.0139536+0.00013517j 0.00955591-0.00029904j -0.0277224+0.000808392j -0.0191267+0.00476014j 0.00336473-0.0105479j -0.00237204-0.000793331j -0.000717891+0.0295635j -0.0100309-0.00408327j -0.00105819-0.00928981j -0.00632807-0.0100442j -0.00619699+0.00613104j 0.0095313-0.0156664j -0.000408695+0.0063665j -0.0223708+0.000631012j -0.0121671-0.00759038j 0.00827849+0.00687914j 0.0280551-0.00698462j -0.00192901-0.00226749j 0.00519537+0.00323461j 0.000483407+0.01607j -0.000809936-0.00832836j 0.00325166-0.00196233j -0.00122663-0.0104228j 0.00411408-0.00209132j 0.00137182-0.00190591j -0.00020333+0.00721745j -0.00242557+0.00174472j 0.00305901+0.000151732j 0.00120167+0.00199883j 0.000965845-0.0020736j 0.00554219+0.00164868j -0.00253058+0.00235916j 0.0138509-0.0161811j 0.00955838+0.00199646j 0.0171903-0.0133003j 0.00702174-0.00670192j 0.011008+0.0055071j -0.00699228+0.000626805j 0.00341841+0.0141832j -0.013469-0.00341748j -0.00387568+0.00164571j -0.00546146-0.00940363j -0.00333645-0.000714625j 0.0100113-0.007881j 0.0128702-0.00479934j -0.0026874-0.0110494j -0.00554736-0.0285353j -0.0112494+0.00631292j -0.00497453+0.0132495j -0.0129129-0.00700624j 0.0102296-0.0182335j 0.0139239+0.00952007j -0.00212474-0.0161031j 0.00513078+0.0172876j -0.00524143-0.0107528j 0.0220037+0.0114463j 0.00957925-0.0166736j -0.0122403+0.00894596j -0.0106944-0.00172639j 0.0164779+0.0264948j -0.00251936+0.0211652j -0.00586214+0.00142677j -0.00430428+0.0143491j 0.0258391+0.0107605j 0.0066269-0.0306326j 0.0131369+0.00317368j -0.00435158-0.00121211j -0.0201044+0.0196794j -0.0117416-0.00646673j 0.0188307-0.014564j -0.00135848-0.00890897j -0.00895628-0.00432329j 0.00832142+0.0052229j -0.000848661-0.0107991j -0.00666129+0.00105009j 0.000614599+0.00171762j -0.000912781+0.00287841j -2.87152e-05+0.0040732j 0.00101902-0.00337992j -0.0027356-0.00464597j 0.00182426+0.00421907j -0.00168413+0.00164749j 
-0.00190809-0.0021017j 0.000209738+0.00394166j 0.00141459-0.000513308j 0.00245138+0.00332981j 0.00225764+0.00421711j -0.00345227+0.000135217j -0.0116288-0.00948696j 0.00143707+0.000793783j 0.0151143+0.0130636j -0.00899628+0.0126061j -0.00407708-0.0152426j -0.000171425+0.00561053j -0.0203841-0.00674619j 0.0132244-0.0124068j -0.000960414+0.00164729j -0.00292973-0.00674096j 0.00897315-0.0204299j 0.0175169-0.0121835j -0.0110733-0.00395431j -0.0110772+0.00427824j 0.00387996+0.0119213j -0.00677362-0.0243061j -0.00607887+0.0117391j -0.00790147-0.00331421j -0.000194491-0.0234996j -0.0114426-0.0153358j 0.00493874+0.00725545j -0.002713-0.0105812j -0.00221597+0.00414094j 0.0132513+0.00173083j -0.00614207+0.00903849j 0.00268454+0.00292621j 3.14555e-05-0.000296489j -0.00475947-0.00477469j -0.00149545+0.00429349j 0.00282924-0.00829189j -0.000444513+0.00319761j -0.000635892-0.00109942j 0.000460372-0.00370994j -0.00140686+0.000697633j 0.00115655-0.00349278j 0.00431765+0.000712862j 0.000812917-0.00499844j 0.000210035-0.0044946j 0.0221571-0.00819855j -0.00938951+0.00933262j -0.0156825+0.00110142j -0.0186574-0.00560382j -0.00786687-0.00812704j 0.0213446+0.0225996j -0.0199075+0.00201232j 0.0036886+0.0125173j 0.021611+0.00419193j 0.00780602-0.00856321j -0.017004+0.00356008j 0.0164043+0.0180788j -0.00304497+0.00763992j 0.00668988+0.0333523j -0.0161297+0.0145967j 0.0139306+0.0119038j -0.00166714-0.00570871j 0.0222882+0.00128743j -0.0076634+0.00230416j -0.00631442+0.0112937j -0.0228174-0.00552083j -0.00675226+0.0154604j 0.0087983+0.00152723j 0.0213603-0.0170058j -0.0108206+0.0273055j -0.00439295-0.0163851j -0.0074022+0.00146259j -0.00718783-0.00390654j -0.0134384-0.00642819j -0.00950309+0.0123141j -0.0192701-0.0202045j 0.000784304-0.0176295j -0.0262033+0.0263443j -0.00157882+0.00403376j -0.00739657-0.00514556j 0.00595307+0.00526897j -0.00400499+0.0171801j 0.0294731-0.00235321j 0.00316657-0.0125724j -0.00582939-0.00228817j 0.00739541-0.00143281j 0.00724787+0.000450837j 0.00407069+0.00326843j 0.0114438+0.0011186j -0.0055623+0.00694923j 0.00253559+0.00185515j -0.00575238+7.28917e-05j 0.000246742-0.00434823j 
0.00269663-0.00228526j -0.000603981-0.00164299j 0.00551716-0.00554757j -0.00630646-0.000845189j 0.00549185-0.00992268j 0.00139825+0.00286967j -3.30566e-05+0.0073968j -0.00649486-0.00338203j -0.000683868+0.0152039j -0.00358831-0.000890805j -0.000234132+0.00309256j 0.0110442-0.00618744j 0.000729668+0.0125276j 0.00560632-0.00473042j -0.00394841+0.0147987j -0.00658355-0.00108941j -0.00245761+0.00512139j 0.00174381+0.00725095j -0.00535829+0.00323817j 0.00528519-0.00237564j 0.00903074+0.0019286j 0.00337626+0.00663648j 0.0046606+0.00797813j 0.00466131-0.0126742j 0.00360537+0.000360565j 0.00074606+0.0086787j 0.024885-0.0182303j -0.0012852-0.00195506j -0.00693797-0.00373989j -0.00401711+0.00265045j -0.0011344-0.00260035j -0.00412076-8.03122e-05j 0.000279215+0.00819437j 0.00204884-0.00318546j -0.00115075-0.003787j -0.00224516+0.000737524j 0.000177656+0.0003299j 0.00333173-0.00145618j 0.000863674+0.000781434j 0.00073168-0.00138838j 0.00110722+0.00212309j 0.00105571+0.00233691j 0.0026366-0.00166088j 0.0076914+0.00961977j -0.0100986-0.0185057j 0.0248262+0.00417298j -0.00968706+0.00844295j 0.0182362-0.00747864j 0.039628-0.0209783j -0.0030643+0.0455504j -0.00943203-0.0126165j 0.00536571-0.0125343j 0.0305695+0.0217385j -0.0119995+0.0283251j -0.0189136+0.0206196j 0.0143467-0.0119104j 0.0169448+0.00940334j -0.00306899-0.0127538j -0.00322874+0.0123177j -0.0119874-0.00581685j -0.0080391+0.0136925j -0.00868478-0.000679223j 0.00473881+0.00468031j -0.00769641-0.0132241j -0.00222637-0.0198269j -0.00112151+0.0161569j 0.0112675+0.00771923j 0.0258117-0.00603758j 0.00113221-0.0112551j 0.0136235-0.0260208j 0.00901015+0.0250384j 0.0260049-0.00204781j -0.0454105+0.00759707j -0.0160455+0.00696324j -0.0300842+0.00150614j -0.0411388+0.00542814j 0.00469116+0.062937j -0.0408131-0.0211356j 0.00827733-0.00953771j 0.0271669+0.00637841j -0.0295946-0.00549365j -0.02091+0.0251004j 0.0148228+0.000205197j -0.00870092-0.0167476j 0.000702267+0.00423875j 0.0097205-0.00211499j -0.00594911-0.00511978j -0.000145881-0.000661895j -0.00298464-0.00256773j 0.000589004+0.00450679j 8.49841e-05-0.00140161j 1.61275e-05+0.00225541j 
0.000574259-0.0073057j -0.00321511+0.000152545j 0.0141214-0.0141727j -0.00146218+0.00809399j 0.0193411-0.013193j -0.0088539-0.0091522j -0.000185526+0.00663849j 0.0114718+0.000705948j -0.00324922+0.00646012j 0.01479+0.000628598j -0.0104168+0.0045164j 0.000976373-0.00171823j 0.0203674+0.00955747j 0.0177994-0.00648585j -0.00252656+0.0249608j -0.00334068-0.00408884j 0.0109851-0.012061j 0.00663929+0.0188629j 0.00286347-0.00137537j 0.00383196+0.000916913j 0.00370894-0.00926621j 0.000238317+0.0181994j -0.000339099-0.00591508j 0.00847616-0.0120704j 0.0162648+0.000468876j -0.00206592+0.00844937j 0.00117376-0.00600425j 0.00405707+0.00194048j 0.000399579-0.00423305j -0.0110126-0.0111281j -0.00253869+0.000375725j -0.000994074+0.00158916j 0.00546685+0.0115402j -0.00255718-0.00807593j -0.000300329+0.00409455j 0.00114507-0.00116588j 0.000696268+0.00243594j 0.00270044-0.00262101j 0.00466841-0.00157757j -0.00207775-0.00486773j 0.00435711-0.00135497j 0.00190691+0.00244944j 0.00401322-0.0189396j 0.0161688+0.00235627j 0.0222325-0.0201762j -0.000274657-0.00057424j 0.00589643+0.00220028j -0.0202168+0.0117551j -0.00415991+0.0237388j -0.010342-0.00463937j -0.0098198+0.0107447j -0.00411682+0.00306743j -0.00456086-0.00465046j 0.00964251-0.024199j 0.0121936-0.0108776j 0.00121322-0.00127477j -0.0190368-0.0293767j -0.00486222+0.0181148j -0.00706164+0.0198192j -0.00713386-0.000809624j 0.00683748-0.0263806j 0.0277083+0.00789768j -0.00651527-0.0183994j 0.0097738+0.029726j -0.0148198-0.00663645j 0.0252652+0.0108354j 0.0109365-0.019329j -0.0141766+0.0126072j -0.0180763+0.0147313j 0.0182221+0.0279921j -0.000204423+0.0178861j -0.0147492+0.00453086j -0.00263387+0.010938j 0.0339901+0.0156047j 0.00592559-0.0409993j 0.026242-0.00624579j -0.0162546-0.00440019j -0.00850823+0.034037j -0.0172826-0.00466321j 0.0163512-0.0158976j 0.000815883-0.00154784j 0.00297283-0.0131647j 0.00590698+0.0023646j -0.00101801-0.0141428j -0.00901178-0.000381366j 0.00372656+0.00509794j -0.00168837+0.00458448j 0.00538018+0.00222865j 0.00100911-2.23611e-05j -0.00541063-0.00164649j -0.00051427+0.00484798j -0.0017372+0.000155014j 
0.00432701-0.000640249j -0.00496987-0.00476403j 0.00336532+0.01153j -0.0223515+0.0056845j 0.00489606+0.0109117j -0.00314485+0.0137495j 0.0130985+0.00275658j -0.0273213-0.00240815j 0.0128223+0.00955761j 0.0104228-0.0042038j 0.00328463+0.0142768j 0.00179876+0.00725501j -0.018519-0.0208418j 0.0019548+0.000937312j 0.00714344-0.0094393j 0.000796773+0.0168897j -0.0261581-0.00121933j 0.00859025-0.0181995j 0.000902175+0.0226698j -0.0106833+0.00381809j -0.00662547+0.0169548j -0.000674776+0.000400617j 0.0102327+0.000967432j 0.00928136-0.00144675j 0.00887557+0.0097681j 0.00209575-0.0113763j 0.000258849-0.00554835j 0.0131101+0.000602301j -0.0116828+0.00207455j 0.007359+0.0035144j -0.00424241+0.00599444j -0.00306029+0.0042519j 0.00168756+0.00942371j 0.00575233+0.00959372j 0.00480367-0.00592682j 0.00489773+8.27376e-05j -0.00215731-0.00403341j -0.00635474+0.000224092j -0.000208633-0.00118131j -0.0015472-0.00174916j -0.00141986+0.00501714j -0.00320098+0.00275593j -0.0116938-0.0101798j -6.21724e-05+0.0136446j -0.00992711-0.0147304j -0.00699465-0.000877515j -0.00799434+0.0098267j -0.0145717+0.0194335j -0.00544979+0.0166363j -0.0104696+0.0105101j -0.00337599+0.0152211j 0.011296+0.0100039j 0.00362459+1.57863e-06j 0.0219956-0.0133782j 0.00361404+0.0035923j 0.00868037-0.00204461j -0.00928762-0.014132j 0.00380153-0.00839065j -0.00228907-0.000775232j 0.0037446+0.0116858j -0.000295486-0.0112511j 0.00862773+0.00890072j 0.00325263+0.00678313j -0.00372579+0.0296241j -0.00299413-0.00145016j -0.00794992+0.0013908j -0.00882708-0.00697802j -0.00537878+0.012963j -0.0180262+0.00130508j 0.00668412-0.00616844j 0.010042+0.00925094j -0.00976337+0.0120991j -0.0127661+0.00236706j 0.0204379+0.0150104j 0.006989-0.00810908j 0.0111798+0.000659201j 0.00250945-0.00203525j -0.00259449+0.0151806j -0.00500025-0.00164259j 0.00295951+0.00334414j 0.00205151-0.00533296j -0.00255804-0.0142705j -0.000655872+0.00231821j -0.00139704-0.0117564j 0.000610961+0.000483462j 0.0041728-0.000351637j -0.00445373-0.00229307j 0.00485296+0.00244833j -0.00313417+0.00430501j -0.00246125+0.00437704j -0.000499693-0.000553938j 0.00135584-0.00126246j 
-0.0027349-0.000459066j -0.00314043-0.00186141j -0.017425+0.00166699j -0.00669519-0.0220726j -0.00859094+0.00362467j -0.0151129+0.00954352j -0.0124382+0.0204307j -0.00188161-0.0251912j -0.0116688-0.00742778j 0.0266343+0.0158406j -0.00659546+0.00142103j 0.00753642+0.0131186j -0.0154791+0.0328965j 0.0086209-0.00366707j 0.0177043+0.00725067j 0.0187549-0.00267613j 0.0170458+0.0101754j -0.0146891-0.00274949j -0.00232085+0.00599167j -0.018757-0.00469809j -0.000499818+0.0104209j 0.0123074-0.00245523j -0.00300099-0.00823388j -0.000846889-0.0132205j 0.00485091-0.00837629j -0.00116298+0.00659062j -0.00605181+0.000882787j -0.0137669+0.0025787j 0.00621+0.00131619j -0.00413208+0.000911327j -0.00311925-0.00039977j -0.00244118-0.00116334j -0.00638231-0.00881155j 0.00102146+0.00155242j 0.00193349-0.00220267j 0.000574957+0.00491352j -0.00351413-0.00108747j -0.0012368+0.00417323j -0.00443454+0.00136372j 0.00280782+0.00157778j 0.000463518-0.000420631j -0.00451328+0.00110866j 0.000107355-0.006935j -0.00981414+0.00077658j -0.0120023-0.000954514j 0.00199842-0.00497615j -0.00271349-0.00175629j -0.00440235+0.00680026j 0.00609851+0.00230916j -0.00896628+0.00530841j -0.0030508+0.00468512j 0.00372385+0.000548047j -0.00237032-0.00110079j 0.00785818+0.00165457j 0.00248608-0.00269434j 0.0105155-0.00229629j -0.00903711-0.00742198j -0.00309329-0.0115619j 0.0109134-0.00308906j 0.00843655+0.00347848j -0.000210683+0.00961974j -0.00829895+0.00360546j 0.00948938+0.000545271j 0.00783465+0.0122114j 0.0035432+0.00564151j -0.00693261+0.00456818j -0.00592468+0.00418719j -0.00440015+0.010349j -0.00429645-0.00159006j 0.00171484-0.00892922j 0.003429-0.0011597j -0.00403177+0.00224044j -0.0102245-0.00047639j 0.00350578+0.00697228j 0.00435856+0.00719331j -0.00213069+0.0047009j 0.00906729-0.00127984j -0.000150209-0.0014971j 0.00117486+0.000829495j -0.00688107+0.00611889j 0.000847323-0.0059518j -0.0037671-0.00328975j 0.000318035+0.00226224j 0.00188635-0.00288942j 0.00221559+0.00150986j -0.000245259-0.00455163j -0.00169164-0.000609628j 0.00021219+0.00250941j -0.00206824+0.000613299j 0.00106795+0.00190454j 0.000687059-0.00140034j 0.00158463-0.000825786j 
-0.00322242+0.000536994j -0.000853556+0.00752858j 0.0101781+0.0151915j -0.0095242+0.00464313j 0.0146679+0.0126197j -0.00277243+0.00743526j 0.00505359+0.0052847j -0.0138645+0.00934762j 0.00725829-0.00239854j 0.0140719+0.00100178j 0.00179288+0.00131705j 0.00360918-0.000891019j -0.0190429+0.00336754j 0.00996429-0.0025178j 0.00801113+0.00554791j 0.00378139+0.00578068j 0.00168942+0.00158295j 0.00227566-0.00790329j 0.00153781+0.0086507j -0.0113681+0.00262095j -0.00109923+0.0116712j -0.00104092-0.0019604j 0.000302055-0.00303323j 0.000949799-0.00459824j 0.00654974-0.00365563j -0.00169511+0.00125356j -0.000150337-0.00157374j 0.00767982+0.00163736j -0.00274275+0.00158816j 0.00309261+0.00312932j -0.00525469+0.00131769j 0.00151434+0.00234984j 0.000767813+0.000679606j 0.00361499+0.0035534j 0.00559988-0.000103048j 0.00583445+0.00306372j -0.00168165-0.00478483j -0.00512945-0.00446338j -0.00184836-0.00492668j -0.00453278+0.00264176j 0.00218044-0.00320821j 0.00550969+0.00717868j 0.00236467+0.000441059j -0.00625312-0.0103293j 0.0450286+0.00465551j 0.00795157-0.0154853j 0.0119792-0.0226219j -0.00207351-0.0314592j -0.000482509-0.0338059j -0.00325148-0.0258775j -0.0115034-0.0312893j -0.0327578-0.00924603j -0.0122214+0.0048917j -0.0327518+0.0264718j -0.00263754-0.0202687j -0.0146714+0.0033318j 0.0102368-0.000694259j -0.0128063+0.024537j 0.00577231+0.0174165j -0.0176173-0.0210492j 0.00593455+0.00607231j -0.00516868-0.00134103j -0.0160912-0.0239711j 0.0196839-0.0434952j 0.00218116+0.00768391j 0.0244564-0.00397443j 0.0224837+0.000781368j -0.00593547-0.0169482j 0.0253811+0.00407957j 0.00538408+0.0330889j -0.0202758-0.00468946j 0.0141753-0.0246286j 0.0254165+0.000356436j -0.018153-0.0193368j -0.0123822-0.0100391j -0.00438554-0.015178j -0.0103755+0.0080221j 0.001374-0.00886924j -0.00612202+0.00347162j 0.00516199-0.0110627j 0.00365459+0.0117506j 0.0172108+0.0145821j -0.000925114-0.0114082j 0.00234449+0.0169265j -0.000961662+0.00126123j -0.00741905+0.0110327j 0.0136134-0.00172504j -0.00244685+0.000296574j 0.00432417-0.0059011j -0.00362913-0.0118381j 0.000810208+0.00325579j -0.00481004+0.00155918j 
0.00252168+0.0086524j 0.00926781-0.000428667j -0.00792678+0.00604891j -0.0109961+0.00103948j -0.0022133+0.0066927j -0.000978109+0.00453847j 7.53247e-05+0.00984938j -0.0121049-0.00312048j 0.00221634+0.00371068j 0.00927915-0.00448672j 0.00172221+0.00267475j 0.00858097+0.00149222j 0.00291871+0.00448517j 0.0033279-0.00581633j 0.00414027+0.000645225j 0.00383267-0.00061281j 0.00243997-0.000674232j 0.00128233-0.000247938j -0.000772074-0.000853853j -0.00214693+0.00596617j 0.000399825+0.0013329j -0.000847984+0.00184147j -0.00301356+0.00136825j 0.00366916-0.00406099j 0.0023406-0.00177048j -0.00158435+0.00500355j -0.00242736-0.000981085j -0.00341576-0.000654598j 0.00318205+0.00115754j -0.000427696+0.000692659j -0.00257748-0.000569644j -0.000319843+0.000509614j 0.00302602-0.00402801j 0.00376247+0.00233023j 0.000940397+0.000141628j -0.000872411+0.00270553j -0.00231176-0.00244589j -0.00109776+0.00189141j -0.00629377+0.000214794j 0.00370654+0.00559583j -0.00527625-0.00671268j 0.0113122-0.00300864j 0.00915679-0.00248017j 0.0189257+0.00222342j 0.0116329+0.0304038j 0.0159095+0.0117255j 0.0118772+0.0224668j 0.0309092-0.0112325j 0.0168959+0.0255j 0.0395264-0.0205699j 0.0370069-0.0150489j 0.0133146-0.0171864j 0.0107204-0.0154335j -0.0215193-0.0472714j 0.0158321+0.0265638j -0.0295216+0.00221342j 0.0313171+0.0149387j 0.00980368+0.0171475j -0.0598069+0.0195569j -0.00222325+0.0118769j -0.0190939-0.0490785j 0.0262541-0.03286j -0.00973111+0.0387583j -0.0548736-0.00610786j -0.022555-0.0321472j 0.00359321-0.00698562j -0.000943044-0.0163222j -0.00462181-0.0181309j -0.00951922-0.00771677j 0.00981842+0.00387096j 0.00744897+0.00569702j 0.00225769-0.0162576j 0.0275189-0.00826241j -0.016702-0.0107418j -0.00631465+0.00156805j -0.00444831+0.00300195j -0.00949944+0.00114106j 0.00160665+0.00123199j 0.00107302+0.00020595j 0.0195112-0.0138345j 0.0250939+0.0114904j -0.0107423-0.0105462j 0.0031875+0.00701505j -0.00431107+0.00129776j -0.00434005+0.00978937j 0.00912724+0.00189448j -0.00215492-0.000536309j -0.00783439+0.00363276j -0.000932774-0.0041137j 0.00179496+0.00150431j -0.000999366+0.000487035j -0.00227669+0.00200163j 
0.000779798-0.00839115j -0.00465404-0.000873505j 0.000146602-0.00981505j -0.00487248+0.00132194j 0.0016875-0.00676859j -0.000313519+0.00402415j -0.00530014-0.00388851j 3.55722e-05-0.000739404j -0.000462081-0.00179323j 0.00129771+0.000783125j 0.000408044+0.00135304j -0.000959108+0.00325095j 0.000419329-0.000181886j -0.00197927-0.00345199j 0.00192676-0.00208199j 0.00201541+0.000461724j -0.00271351+4.89086e-05j 0.00147645-0.00193979j 0.00168598+0.000562307j 0.00262384-0.000593456j 0.000599443+0.00103565j -0.000389183-0.00501418j -0.00256835+0.0028511j -0.00268819+0.00214209j -0.00321709-0.000601522j -0.000547365+0.00114389j -0.00143838+0.00404169j -0.00238257+0.00150818j 0.00102605+0.00204973j -0.00137877-0.000964071j 0.00113871-0.000193267j -0.00210586+0.00222212j -0.00133491+0.00519844j -9.54537e-05-0.00180446j -0.00282738+0.000423095j -0.00330728-0.000437194j -0.000288008+0.00440216j 0.00114808-0.00218304j 0.00305464+0.000483478j -0.00103436-0.00378976j 0.00788158+0.000887475j -0.00168717+0.00679834j 0.00564681-0.0155553j 0.000921462+0.00730836j 0.0100477-0.0290578j -0.0109332+0.0122497j -0.0204734-0.00546319j 0.00138137+0.0143385j -0.014331-0.00389557j 0.0107379-0.00149574j 0.00495839+0.0144926j -0.00299483+0.00792143j 0.00224735+0.00396109j -0.0098346-0.00477886j -0.0063932+0.00678401j -0.0071035-0.000530302j 0.00277832+0.0110235j 0.00523439-0.00894181j -0.00609607+0.00426515j 0.0120464-0.000993318j 0.0130809+0.0266478j 0.000361351+0.00271041j 0.0155194-0.0289538j 0.0158705-0.00632373j -0.00497479+0.0108894j 0.0218902+0.015193j 0.0205626-0.000936009j -0.0179848+0.00882714j -0.00789361+0.0270673j -0.0236426+0.00866559j 0.0211796-0.00513022j -0.000760975+0.0381124j -0.0256138+0.00329715j -0.00923025-0.0102251j 0.00203013+0.0124942j 0.00769352+0.00852319j -0.0337167+0.00046556j -0.00692186-0.00158141j -0.00974363+0.00168556j 0.02102-0.0163601j 0.00573211+0.0109942j 0.00225746+0.0239419j 0.00303821-0.00405708j 0.0074639-0.000440319j -0.0105712+0.0212343j -0.0197873+0.0103189j 0.00975017+0.0172922j -0.0301931+0.0196372j -9.52499e-05-0.0135595j -0.00118116-0.014486j -0.0132864+0.0124176j -0.00743416-0.0107988j 
-0.00537401+0.00011621j 0.000109008+0.00793042j -8.76415e-06+0.00684236j 0.00343194+0.00428226j 0.00960254+0.00113876j 0.00458137-0.00332456j 0.00449459+0.00469679j 0.0064002+0.000480417j -0.000818755+0.00236873j -4.42599e-05+0.00258821j 0.00162145-0.0044396j 0.000408982+0.00580681j -0.00195156+0.00121974j -0.00330551+0.000992982j 0.00356165-0.00243136j 0.000180808-0.00259764j 0.00203211+0.00191008j -0.000140147-0.00194524j 1.49157e-05-0.00165362j 0.0018284-0.00115557j -0.000442915+0.000313313j -0.00213971+0.000267545j 0.00356942+0.00351019j -0.00157695+0.00325156j -0.00117316+0.00448297j 0.00386948-0.000519916j 0.00344013+0.000817298j 0.00237818+0.00113019j 0.00256495-0.000926874j -0.000362198+0.000682454j -0.00196769-0.00256885j 0.000376441+0.000303365j -0.000662671+0.0015702j -0.000949325+0.000683772j 0.00141965+0.00216416j 0.00190957-0.000881751j 0.000194435-0.00469818j -0.00192169-0.0029051j 0.000779918-0.00405752j -0.00393387+0.00101519j 0.0010905-0.00596821j 0.00809981+0.00106278j -0.00337992+0.00525296j -0.00185459-0.0171005j 0.0257588+0.00289117j 0.00600822-0.0146886j -8.60311e-05+0.00574364j -0.0415849-0.00992157j -0.00354541-0.00313127j -0.0138262+0.0115856j 0.00261171-0.00440096j -0.000955261+0.034905j 0.0131636+0.0216764j -0.00875595-0.00595942j 0.00195991+0.00861676j -0.0239406-0.00462657j 0.00706818+0.00647747j 0.00995729-0.0216268j 0.00533915-0.00437591j -0.0154663+0.00407049j -0.00132534-0.016118j 0.0111348+0.0097739j -0.00844556-0.00942473j 0.00236297-0.0228971j -0.00408136-0.000264839j 0.0139895-0.0194996j 0.029073-4.73917e-05j -0.00909557-0.00424758j 0.0245837+0.00390871j 0.0205812+0.034492j 0.00725106-0.00932982j 0.0179111-0.0173517j -0.0176757+0.00953897j 0.0194002-0.00600544j 0.00735616+0.00412676j 0.00565751+0.000186755j -0.00419887+0.000888798j 0.0147494-0.00360076j -0.00919094-0.0184819j 0.00450775+0.00907371j 0.00892218+0.0131302j -0.00976527-0.0071889j -0.0052464-0.00250947j -0.0247777+0.0125938j -0.0104629+0.00203386j 0.00966245-0.0191068j -0.00829222-0.00494031j -0.0406243-0.0283587j -0.00419694+0.000642264j 0.0116844+0.0201087j 0.0108147+0.0108546j -0.00889291+0.0147571j 
