-0.0614561+0.015979j 0.0163003-0.0345701j -0.0743835-0.0515193j -0.00770741+0.0490247j 0.0810822+0.0404414j 0.0590737-0.0233783j -0.0863325-0.161139j -0.091332-0.0450823j -0.0969216+0.0440134j -0.108789+0.0275361j -0.0429133+0.0155151j 0.0867224-0.230638j -0.0588835-0.0289608j 0.0256158+0.0524268j -0.0438444+0.0812967j -0.0113285-0.128074j -0.0747294+0.0486066j 0.149494+0.0172013j -0.125037-0.0169055j -0.087116-0.0281775j 0.0343328-0.116142j 0.0212666-0.0349451j -0.0154353-0.03361j -0.0677528-0.0508774j -0.0305057-0.0750494j 0.137794-0.0325493j 0.079677+0.0234502j 0.0673249-0.0382524j -0.00113015+0.104938j 0.0198284+0.0951107j 0.0198629+0.124053j 0.0870572+0.00394331j 0.172765+0.113479j 0.0905642-0.0660359j -0.0386836+0.0695037j -0.0473355-0.0254061j 0.0098496-0.0335195j 0.156611-0.0142107j -0.0839978+0.0297867j -0.170115-0.00333046j -0.0708374-0.130024j -0.0575344-0.0986588j -0.0892321+0.027754j 0.0282097-0.128502j -0.067625+0.0888129j 0.0324747-0.0356794j 0.0336208+0.0626774j 0.109409+0.00272627j -0.00758738-0.0912624j -0.0259869-0.117198j -0.0896766+0.0664052j 0.0441149+0.0239063j 0.0135453-0.0231541j -0.0752645+0.00419623j 0.0738056-0.0289427j 0.0242433+0.0279857j -0.00741065-0.099703j 0.0157572-0.0083022j 0.0140958+0.075285j -0.102792-0.0930767j 0.0593197+0.0801081j 0.2145-0.00287665j -0.0449217-0.0468375j 0.134136+0.128981j 0.0340824+0.0264184j 0.260592+0.0172397j 0.0225971+0.0900019j -0.0530182-0.000531062j -0.0969646-0.0835072j -0.0169747+0.0762663j 
-0.000985211-0.00520011j 0.00490464-0.00289594j -0.00263129-0.00316485j 0.000359244-0.00540205j 0.00651901-0.000384741j -0.00293442+0.00227152j -0.00465367+0.00153454j -0.000447161-0.000732518j -0.00484061-0.00251462j 0.000486313-0.0067981j 0.00548533-0.000583574j -0.001851-0.00362932j 0.00345842+0.000364626j 0.00327747-0.00549251j -0.00370984+0.00199932j -0.00234157+0.00200475j -0.00191118+0.00340155j -0.005191+0.00438216j -0.00150054-0.00413516j 0.00239484+0.00441622j 0.00592465-0.00670923j -0.00867202+0.00458638j -0.00896359+0.0036057j 0.00421936+0.00626035j -0.0011857-0.00102729j -0.000979792-0.00251011j 0.00978871-0.00267658j 0.00648225-0.000238281j -0.00342938+0.000562723j 0.0045363-0.00488986j -0.00479638+0.000720213j 0.00793535-0.0030873j 0.00260846-0.00233768j 0.000420413-0.00186542j 0.00144277+0.00124237j 0.000646916+0.00998397j -5.71199e-05+0.00179597j -0.00808378-0.00936108j -0.00890314-0.00292475j -0.00659417+0.00484135j -0.00154513-0.00401342j -0.00326993-0.00238631j 0.00052519+0.00453762j 0.000664554+0.010012j 0.00301301+0.00157921j 0.00621037+0.00124059j -0.00260727+0.00393437j -0.00128577+0.00784975j 0.00396678-0.00820659j 0.000753387+0.00430857j 0.00180326+0.00683645j 0.000726434-0.00098065j -0.00127157+0.0016497j 0.000178532-0.00666556j -0.00545187+0.00355633j 0.00815705+0.007126j -0.00762271+0.00155754j -0.00380414+0.0158871j -0.00514919+0.00815755j -0.00302656+0.00122382j -0.00625364-0.000266094j 0.00784744+0.00850313j -0.00210422-0.00865156j 0.00661154-0.0158055j 0.0125699+0.00334369j -0.000915079+0.0181169j -0.000609628-0.000157583j 0.00658115+0.000979017j -0.00638421+0.00156626j -0.00210397+0.0047301j 
-0.00462554+0.0023537j -0.00247044-0.00248346j -0.000407597-0.00616242j 0.000583462+0.0033167j -0.00254997+0.00100518j -0.00715306-0.00560961j 0.0025029-0.00740171j -0.00696059-0.00552442j -0.00436524+0.00567841j -0.00414497-0.00134822j 0.00264591+0.0073486j 0.00175958+0.00325882j -0.00293098-0.000777052j 0.00382234+0.00837293j 0.00108382+0.00827102j 0.00218125+0.0045098j -0.00557716+0.00434344j 0.00478202-0.00739253j -0.00809212+0.00717858j -0.00662184-0.000713423j -0.00257742+0.00477479j -0.00498994-0.00387301j -0.00251869-0.000199985j -0.0112968-0.00105578j -0.0106179+0.00269579j 0.000881607+0.00226686j 0.00238467-0.00182086j -0.00914292-0.00389967j -0.000146896-0.00388054j -0.00012445+0.0018522j 0.00102924-0.0065864j -0.00193138+0.0052113j 0.0062545-0.0105377j -0.0117022-0.00225859j 0.0131517-0.00345058j 0.0111405-0.00136873j -0.00277805-0.00230361j 0.0122743+0.0152237j 0.00858775+0.00580652j 0.00964105-0.00582871j 0.00210258-0.0119647j 0.010826+0.00357583j 0.00534937-0.0133789j 0.000343594-0.00426681j -0.00377049-0.000116429j 0.00573021-0.0169281j -0.00849466-0.00602224j 0.0143533+0.00734885j -0.00750647-0.00677475j 0.00831056-0.00948798j 0.00171816-0.010556j 0.00441028-0.00764262j -0.00517122-0.000206677j 0.00341472+0.013149j 0.00886411-0.00324679j -0.0078736+0.00463175j 0.00642499+0.00361415j -0.00556024-0.0107595j 0.0126979-0.00272784j 0.0010917-0.00844576j 0.00148658-0.00330275j -0.0103351+0.00927019j 0.0121852+0.00563278j 0.00368864+0.0170753j -0.017935+0.0150506j -0.0073272-0.0100717j -0.00865131+0.0112614j -0.0127222-0.00261453j 0.00126671-0.000877556j 0.0038026-0.00190543j 
-0.00183544-0.00200913j 0.00318905-0.00101138j -0.0028083-0.000604693j 0.00124299-0.0031842j -0.00580001-0.00137277j 0.00710399+0.00197597j -0.00105846-0.00672291j -0.00104295-0.00128265j -0.00239169-0.00505961j -0.00383124-0.00801884j -0.00190867+0.00491027j 0.00175544-0.00537496j 0.00369263-0.00492466j -0.00117584-0.000228632j -0.00343045+0.00522482j -0.0056452+0.00174316j 0.00017105+0.00318647j 0.00291401+0.00157472j 0.00551252-0.00355727j -0.00609352+0.000879355j 0.00639816-0.000833121j -0.0021457+0.00169262j -0.00233744+0.000962497j 0.003371+0.00363579j 0.0023192-0.00437308j -0.0020108-0.00467189j 0.00578563+0.00243188j 0.00749377-0.00531523j 0.00176041-0.00287655j 0.0049689+0.00163762j 0.00819907+0.000338588j -0.000474567-0.0120957j 0.00498117-0.0039801j -0.0127269+0.00322933j 0.00727049-0.00688537j -0.000926205+0.0099857j -0.0103333-0.00242302j -0.01091+0.00857516j -0.00559685-0.00221755j 0.00399611+0.00880327j 0.00330923+0.00677202j 0.0100825+0.0103609j 0.00754684-0.00312912j -0.0106948+0.00464222j -0.00196437+0.00118372j 0.00908101-0.0088407j -0.00798962-0.0170191j -0.000650136+0.0113856j 0.000720461-0.00381103j 0.0105061+0.0113132j 0.0114644+0.00428746j 0.00469675-0.00271489j -0.0132456+0.0186458j 0.00915301+0.0167789j 0.000377295-0.00754073j -0.00521506+0.00929437j 0.000241861+0.00613265j -0.024477+0.00176795j 0.00245887-0.00872957j -0.00508024+0.00309279j -0.0178341+0.000747418j 0.00428783+0.0145073j 0.00530804-0.0138659j 0.0163955-0.000989189j 0.0151032+0.0212551j -0.00888133+0.00813351j -0.00390691+0.00312946j 0.00505117-0.00196438j -0.00446072-8.97269e-05j 0.00108534+0.00250437j 
-0.000387477-0.0014715j 0.0013829-0.00116911j -0.000181642-0.00101633j 0.00173123-0.0030708j 0.00794161+0.00192445j -0.000433278+0.00148183j 0.000733087-0.00152531j 0.00309389-0.00106219j -0.00289468+0.0012157j -0.000120968-0.00123653j 0.00310929-0.00302209j 0.00140633-0.00234085j -0.000516422-0.00144579j 0.00567837-0.0030633j 0.00283234-0.00411661j 0.00713563-0.00850692j -0.00431247-0.000476789j -0.00263201-0.00196673j -0.00641995-0.00121167j 0.00300969-0.00314369j 0.00305261-0.00225535j -0.00303314-0.00739831j -0.00408366-0.00041932j 0.00415109+0.00167715j -0.00380064-0.00316285j 0.00420829-0.0018138j -0.000568881+0.00319798j -0.00166207-0.00278238j 0.0024606-0.00411565j -0.00626462-0.00303377j -0.00396149+0.000216111j 0.0049101-0.000390865j -9.13428e-06+0.00189553j 0.00435614+0.0110063j 0.00706656+0.00317294j 0.00414679-0.00761468j -0.0106137+0.00484648j -0.00334059+0.00551749j -0.000155641+0.00616602j -0.000452862-0.00738863j 0.00044839+0.00510913j 0.00491715+0.00852197j -0.000563412-0.000804353j 0.000976466-0.000430508j 0.0114155-0.00125031j 0.00417035-7.01585e-05j 0.00312468-0.00261305j 0.00230289-0.00102804j -0.00154814+0.00412324j 0.00563042+0.0060766j 0.00582807+0.00733152j -0.00173399-0.00522917j -0.00974184-0.0111407j -0.000949528+0.0063719j 0.00824096-0.00303887j -0.00408746+0.00650717j -0.00424841+0.00348181j -0.00490948+0.00918956j -0.0045058+0.00505767j -0.00485967-0.00296997j -0.000147074+0.00183744j 0.00104751-0.000202615j -0.00101625+0.000211638j -0.0021488-0.00587664j -0.000426231-0.00212939j 0.00269697-0.00339317j -0.000507217-0.00181181j 0.00226049-0.00286635j -0.000591042-0.00230514j -0.00168111-4.51814e-05j 
0.00360868-0.000722143j 0.00141893+0.00263677j -0.000344811+0.00215494j -0.000842855-0.00093652j 0.00740652+0.00213402j 0.0023732+0.0037788j 0.00214412+0.00135576j 0.00476542+0.00485238j -0.00152705-0.00189524j 0.00349349+0.00470031j -0.00254346-0.00999216j 0.00283602-0.00300642j -0.00291964-0.000858342j -0.00041144-0.0033113j 0.00314731-0.008682j 0.00527615-0.00838171j -0.000338069-0.00595884j -0.00227131+0.00106432j -0.00163777-0.00947925j 0.00136035+0.000466512j 0.00705091-0.00583303j 0.00426728-0.00411805j 0.00470447-0.00190412j 0.014287+0.0030493j 0.00581916-0.00694156j -0.000544592-0.0021062j -0.0067139+0.00269004j -0.00203037+0.00378344j 0.00663333-0.00442548j -0.00331294+0.00271922j -0.00758044-0.00189137j -0.000484194-0.00822361j -0.00350394+0.00342568j 0.00819087+0.00860721j 0.000554239-0.0014987j -0.0082477-0.00461698j -0.0146952+0.000243065j -0.0130327+0.00359064j 0.000645305+0.00886836j 0.000917021+0.000181631j -0.00128024+0.0108787j -0.0039429+0.0181348j 0.00432973+0.00321965j -0.0111045-0.00977221j 0.0104248-0.00393561j 0.00497785-0.00267198j 0.00881171-0.00429824j -0.00553817-0.00545254j -0.0159481+0.0125669j 0.00760898+0.0131817j 0.00379037+0.00315462j -0.00361083+0.00316579j -0.0134413-0.00947491j 0.00776978+0.0189518j 0.00368641-0.00491976j -0.00477123+0.00782811j -0.00477883+0.00201495j -0.00937118+0.0158252j -0.00938481-0.00379327j -0.00107361-1.9726e-05j 0.00191479+0.00880616j 0.0060856-0.00581842j -0.00667355-0.00185327j -0.00304619-0.00503667j 0.00220226-0.00937499j -0.000435127-0.00228476j 0.00646301-0.00863558j 0.00695702+0.000956749j -0.000528274-0.00306162j -0.00256699-5.00271e-06j 
-0.000133738+0.000468012j 0.000569388+0.000346815j -0.00202369-0.000783307j 0.00195244+0.00160845j 0.000842533-0.00402552j 0.00240475+0.00260788j 0.00101157-0.00282751j 0.000102062+0.00269283j 0.00225975+0.000996719j 0.000368457+0.000875137j -0.000986912-0.000198521j -0.00054238-0.00120353j -0.0017849-0.00296114j 0.00240409-0.00480738j 0.000567543-0.00344608j -0.00364928+0.000112229j 0.00388877-0.00189848j 0.000879968-0.00188015j 0.00262878+0.00147067j 0.00170412+0.00123971j 0.000887639-0.000519907j -0.0019647+0.000805643j 0.000892045-0.00086667j 0.00338746+0.00351851j 0.00263277-0.00239381j 0.00258081+0.00192957j -0.000853944-0.000774397j 0.000288921+0.00924006j 0.00854093+0.00673361j 0.00223504+0.00274585j -0.00486284+0.00325001j -0.0118622-0.00557746j 0.00762542+0.00668399j 0.00613208+0.0130411j -0.000678543+0.00162509j -0.00206831-0.0126647j -0.00272329-0.00457537j -0.0127738+0.00473908j -0.00154886+0.00906355j -0.00254487-0.000724226j -0.000804279-0.00118292j 0.000413415+0.011362j 0.00140315+0.00322189j -0.00261987-0.00673554j 0.00587995-0.00650913j 0.00350362+0.00158703j 0.00430254+0.00541086j -0.00666001-0.0169502j -0.015862+0.015481j 0.00490148+0.00402086j -0.0103475+0.00327454j -0.00425079+0.00378086j -0.00198906-0.00740077j 0.00410517+0.00338487j 0.00280131+0.00449146j -0.00147822-0.000445671j -0.00193916-0.0128789j -0.00742673+0.00698124j -0.00851847-0.00910219j 0.00138846-0.0102585j 0.00576858+0.00188782j 0.00109938-0.00800015j -0.0024681-0.00419198j 0.00197056+0.00175781j 0.00220363-0.00184933j -0.000755676-0.0042343j 0.00104248-0.00242939j 0.00302519+0.00179035j -0.0023676-0.0006595j 0.00067046+0.00110844j 
-0.00359136+0.000776796j 4.0501e-05-0.00249824j -0.00258221-0.00176694j 0.00491128+0.00271137j -0.00472872-0.00420863j 0.00180686+0.00142895j -5.88602e-05-0.00313334j 0.000673333+4.22154e-05j 0.00287633-0.000569457j -0.000972407-0.00767831j -0.00156426+0.00533632j -0.00277504-0.00153301j 0.000732665-0.00251581j 0.00517773-0.00458686j -0.00202443-0.000436884j -0.003246+0.00305233j 0.0020122+0.00156408j 3.59077e-05-0.000671976j 0.00514521+0.00801383j 0.00361526-0.001213j -0.00208447+0.00738404j -0.00236014+0.00161872j -0.00351079+0.00110755j -0.00672453+0.00295979j -0.00379096+0.000742382j 0.0094496+0.00188641j 0.00107813-0.00960502j -0.000469927+0.00956831j 0.00898853+0.00998853j -0.00141094-0.000452741j -0.010957+0.012415j -0.0176919-0.00496535j 0.00202184+0.000822046j -0.00154364-0.000549205j -0.00915601-0.00829617j 0.0102301-0.00154278j -0.0070072+0.00241893j -0.0055669+0.0114406j 0.00618493-0.00325792j -0.00300888-0.00696462j -0.00865148-0.00867436j -0.00221238+0.0055553j 0.000722509-0.004136j 0.00725658-0.00853467j 0.00585219-0.00337679j -0.00448552+0.00403416j -0.000749453+0.00792539j 0.00110393-0.0104659j -0.00978402+0.014956j 0.000812674-0.00244238j -0.02356+0.00370475j -0.000328671+0.0054434j 0.00755533-0.00363575j 0.00255853+0.00474135j 0.00633827+0.00733857j 0.00743771-0.00779068j -0.0116817-0.0144683j -0.00500911+0.00335443j -0.0083193-0.00722261j 0.000274893-0.0101188j 0.00573184-0.00626217j -0.0119702-0.00734291j -0.00147828-0.0057424j 0.00591606+0.00114705j 0.000138351+0.0053479j 0.000874818-0.00626788j -0.00391883+0.00154816j 0.000420779-0.000566756j -0.00140616+0.00147609j 0.00329645+0.000348298j 
-0.00159134-0.00206279j 0.0013665-0.000968365j -0.00534304-0.00493004j -0.00355555-0.000139897j 0.000283066+0.00544204j -0.00858683+0.00145174j -0.00495092-0.00381033j -0.00221772-0.00208064j 0.00284965+0.00124325j 0.00175578-0.00196642j 0.00485316-0.00185974j -0.0016634-0.0010295j -0.00505866+0.00372251j 0.00162681-0.00292529j -0.00435434+0.00538934j 0.00559767+0.00283585j -0.00189846+0.00382727j -0.0121216+0.00696948j 0.00316187+0.00463426j 0.00917608+0.00364708j -0.00052308-0.00313371j -0.0089759+0.00647589j -0.00947604+0.00411265j 0.00448979+0.00658576j -0.00596106+0.00912764j -0.00259955+0.00255681j 0.000811219-0.00097104j -0.00427012+0.0128116j -0.00269256-0.0133813j -0.00261121-0.00986239j -0.0175606+0.00122263j 0.012847+0.0118071j -0.00488412-0.0123359j -0.00117989-0.00819452j 0.000821145+0.00482348j 0.0163057+0.00586579j 0.00387684+0.00191251j -0.00807591-0.0087298j -0.00184937+0.0111745j -0.0131621+0.000360045j -0.0160882-0.0168562j -0.00365861+0.008295j 0.00266355-0.00818225j 0.00642476-0.00101203j 0.0044587-0.00118738j 0.0103545-0.0150469j 0.0125383+0.0125305j 0.0253656+0.00766209j -0.0015428+0.00177221j -0.00334646-0.0191701j -0.00611191+0.00256029j 0.00314593-0.0040707j -0.00768686-0.0135992j 0.00633462-0.00581995j 0.00423963-0.00274222j 0.00883745+0.0109802j -0.0175071-0.00042701j 0.0194368+0.0126583j -0.00152164+0.01425j -0.0126836-0.00434916j -0.00609279-0.0125151j -0.00916931+0.00377445j -0.00658086+0.00133717j -0.00275743-0.00332893j -0.00517215+0.0015974j -0.0104723+0.00400752j 0.00138977+0.00293136j -0.00134933+0.00218458j -0.00315908+9.84813e-05j -0.000192822+0.00117217j 
0.00116363+0.000204938j -0.00120965+0.00231528j 0.00310084+0.0024114j -0.0014094-0.00559169j -0.0028856-0.000772242j -0.000263978+0.00425321j -0.000999355+0.000587305j 0.00171516-0.00256676j 0.00344769+0.00506188j -0.000776686-0.00195448j -0.0013068-0.00124492j 0.000370182+0.00220703j -0.000318378-0.00140477j 0.00213742-0.000627493j 0.00265039-0.00411768j -0.00137164-0.0112467j -0.00242524+0.00550177j -0.0049639+0.00489777j -0.00140415+0.00708249j -0.00637494-0.00213308j 0.00594821-0.00340496j -0.00276983+0.00130658j 0.00329321+0.00552236j -0.00688545+0.00606596j -0.00750707-0.000760746j 0.00220409+0.000618376j -0.000310859+0.00479632j -0.00786118-0.00138343j -0.00703724+0.00464853j -0.0134959-0.00279645j 0.0101373-0.010642j 0.00781699+0.0130861j -0.00494658+0.00168789j 0.00253337+0.00702748j -0.00916121+0.00754743j 0.00795006-0.00399214j -0.0120289+0.0094212j 0.00437819+0.00159129j -0.0035694+0.00746127j 0.00295187+0.000396598j 0.0075039+0.00559j -0.003141-0.00943097j -0.00884602+0.004521j 0.0103002+0.00700421j 0.00770193+0.00363112j 0.0135994+0.0107725j 0.00298302-0.00809359j -0.000556857+0.0118502j 0.00691686-0.003962j 0.00261257+0.00274408j 0.00435119+0.000650065j -0.0049324-0.000726995j -0.00539143-0.00655365j -0.00645666+0.00116713j -0.000562257-0.0106651j 0.00309943+0.00105988j -0.00540558-0.0015517j -0.00149992+4.22926e-05j 0.00220921+0.00575901j -0.004775+0.00386755j 0.000129388-0.00248133j -0.00078306-0.00223617j 0.000887908-0.00129776j -0.00396825-0.00147773j 0.00472079-0.00285371j 0.000693656-0.00250602j -0.000747578+0.00150777j -0.00152453-0.00202038j 0.00362107-0.00180866j -0.00186324-0.00253315j 
-0.00211594+0.000525476j -0.00063272-0.0028792j -0.00172061+0.000319304j 0.00324293+9.68705e-05j 0.000246107-0.000402451j -0.00102667-0.000332957j -0.00241472-0.00193288j 0.000427913-0.00151017j 0.00388153+0.000227563j 0.00268476-0.00257242j 0.00700387-0.00114666j -0.000922566+0.00513573j 0.00406964-0.00230076j 0.000311227-0.00254221j -0.00462424-0.00311776j -0.00202969-0.00140897j 0.00124514-0.00206663j -0.00202454-0.00748938j 0.00701772+0.00323286j 0.00322637-0.00569364j -0.00238159+0.00327873j -0.00903491+0.000511382j -0.0084644+0.00634909j -0.00375835+0.000975545j -0.0014095+0.00555119j 0.00367089+0.00170381j 0.0120648+0.0035173j 0.00148756-0.00539959j -0.000391764+0.000688651j -0.000235031-0.0124291j 0.0106447-0.00626266j 0.00544821+0.00282924j 0.0130257+0.00242475j 0.0216521+0.0188784j 0.0207394+0.00155937j -0.0114057-0.0266414j 0.00215684-0.0114276j -0.00846305+0.00481929j -0.00666619+0.0126241j 0.0031955-0.00317609j 0.00249371-0.00295717j 0.0168696-0.0194055j -0.00449522+0.00521312j 0.0171338+0.0077265j -0.000527224-0.00048316j 0.00367256+0.0054681j 0.00130555-0.00268689j -0.00924249-0.00810661j 0.00821637-0.00129103j 0.00359211+0.00519209j 0.0208003+0.00693592j -0.00938798-0.00283962j 0.00128006-0.00818392j -0.0163611-0.00767944j 0.000161477+0.00454609j -0.00258075+0.0035064j 0.00779362-0.0137907j -0.0027647-0.00173461j 0.000613333-0.000147936j -0.00620732-0.00749631j -0.00564557-0.000275822j -0.000437786-0.00572361j 0.00170156-0.00374222j 0.000270635-0.00405712j 0.00372959+0.000253113j -0.000995567-0.00435128j -0.00161112+0.000865194j -0.000210921-0.00226318j -0.00015821+0.00148166j 0.000841002-0.000801824j 
0.00188873+0.00325543j -0.00299815+0.00123013j 0.00084737-0.000741338j -0.00123169+0.00402782j 0.00118841+0.00265167j -0.00556701-0.00147517j 0.000419876+0.00277044j 0.00121186-0.000443872j 0.000756569+0.000266146j 0.00593695+0.00442587j -0.00160871-0.00379499j 0.00201557+0.00255035j -0.00377884+0.00215866j 0.000581926+0.00295197j -0.0058177-0.00508636j 0.00181791-0.00324517j -0.00114039-0.000299581j 0.0107014+0.00267756j -0.0008985-0.0101772j -0.00123794+0.000444979j 0.00434069-0.00270877j 0.00329933+0.000310759j 0.000474348+0.00146813j 0.00293085-0.00174551j -0.00957549+0.00418985j -0.000200514-0.0031829j 0.00159935-0.00421572j -0.00549458+0.00672743j 0.00321727-0.00151606j 0.00710223+0.00106673j 0.00795474+0.000971472j -0.00742381-0.00310563j -0.00995871+0.00116148j -0.011483-0.0129947j -0.0121637-0.0100184j 0.00796219+0.000634056j -0.00256167-0.0043214j 0.0052446-0.000421819j -0.00041044-0.00437982j 0.0119123+0.00696987j -0.0140804+0.011541j -0.00376263-0.000643872j 0.000774096+0.00654429j -0.00301813-0.0137127j -0.00258091-0.00272037j -0.00105657+0.00186435j -0.00386498-0.010391j 0.00405923-0.0015619j -0.0103508+0.0126461j 0.00551358+0.00408143j 0.00483144-0.000634585j 0.00248352+0.00613869j 0.00130121+0.00381404j 0.0161007+0.00673757j -0.00934379+0.000683075j -0.00252142-0.00154698j 0.00479152+0.00653381j 0.00427082+0.00254012j -0.00185252-0.00329419j 0.00535516+0.00524485j 0.00444819+0.00195102j -0.000138389-0.00172089j -0.00389042+0.0013525j -0.00135396+0.00387175j -0.00540375-0.00338817j -0.000822687+0.000441973j 0.00293161+0.000105447j -0.00182505+0.00253797j 0.00169107+0.000738596j 0.000514666-0.00110388j 
0.00235662+0.00198455j -0.00187837+0.00357135j -0.00199745-0.00376208j -0.00536062+0.00456961j 0.00309993+6.51171e-05j -0.00280437+0.00241275j -0.000662015-0.00229403j -0.00199938-0.00142943j 0.00690103-0.000206897j 0.00498781+0.00883633j -0.00148749-0.000896695j 0.00658311-0.00570259j -0.0070235+0.00017374j 0.000963397-0.00324312j -0.00358704+0.00386171j -0.000647177+0.00102537j 0.0093314-0.0012023j 0.0108802+0.000999553j -0.00740727-0.00282646j 4.30349e-05+0.00961936j 0.00113384-0.00271345j 4.86609e-05+0.00471148j -0.00176841-0.0113892j 0.00709544-0.00107554j 0.00523253-0.0108762j 0.00406941+0.0073604j 0.00533986+0.00815671j 0.00509537-0.00274554j -0.000150929+0.00316457j 0.00772039+0.000222891j -0.00156065+0.00151194j -0.000581752+0.00964974j 0.00192121-0.0071298j -0.00391044+0.00259212j 0.0098618+0.00456748j -0.00866694+0.00659362j 0.00473509-0.0189286j -0.00899447-0.00812769j 0.00269713+0.0238139j -0.0024861+0.00748241j -0.00193694+0.0125453j -0.000357466+0.0129207j 0.00669655+0.00117631j -0.0104817+0.00195059j 0.00526513-0.000468309j 0.00170179-0.0085898j 0.000515356-0.00283355j 0.00268662-0.00552273j -0.00476267+0.0114003j -0.00827546-0.00360064j 0.00203792-0.0160253j -0.00967792-0.000180865j -0.0110466+0.00436735j 0.00813337-0.00859137j -0.00776207+0.000344359j 0.00481959+0.0142566j 0.0120588-0.0019668j 0.00547581+0.000323961j 0.00368129-0.00609304j 0.00189889+0.00257174j 0.00295674+0.00470768j 0.0076171-0.00752083j -0.00442464+0.00393755j -0.00225669+0.0103822j -0.00571842+0.000384937j -0.00253741+0.00455697j 0.00477226-0.00185127j 0.00139369+0.00539627j -0.00139272-0.0034882j -0.00240999+0.00136728j 
-0.00160936+0.00166807j -0.00273817-0.0012028j 0.000947433+0.00172748j 0.00509324+0.0002773j -0.00117438-0.00114201j -0.00042585+0.00123069j 0.00269741+0.00314691j 0.00547768-0.00155109j 0.000815835-0.00231575j 0.0003654-0.00383163j 0.00298924+0.00613082j -0.00280056+0.000479032j 0.0031981-0.00397874j 0.000425358-0.00333632j -0.00112151-0.00323628j 0.0050027-0.00252034j -0.0014+0.00179035j 0.00475406-0.000522586j -0.0052262-0.00244976j -0.00328001+0.00533497j 0.00527752-0.00404522j -0.00507695-0.00452206j -0.003721-0.00335368j -0.00172072+0.00173445j -0.0080155-0.00415437j 0.0170127-0.00475343j 4.73464e-05-0.00389096j -0.00672316-0.0103897j 0.00398071+0.00435443j -0.00990172+0.00394908j -0.00133268+0.0102976j 0.00168765-0.00238582j -0.0240222+0.0107532j -0.00422257-0.0101815j 0.00161469+0.0030764j 0.00116553+0.00214773j -0.0078615+0.0215941j 0.0144787+0.00745663j 0.00502604-0.0193219j 0.00329548-0.0126578j -0.0012285+0.0220471j -0.0147535-0.00138134j -0.00797425+0.000422191j 0.00546881-0.00660173j 0.0139576+0.00378047j -0.005032+0.0167126j -0.00527876-0.0101678j 0.00912791+0.00277673j 0.00481251-0.00125173j 0.00429159+0.0106926j 0.00604437+0.000333249j 0.00175675+0.00913902j 0.00673118-0.000827689j 0.00302019+0.0189983j 0.00768488+0.00060844j 0.00965561-0.00737847j 0.000366477+0.00346937j -0.00624381+0.00344063j 0.000209833+0.00362872j 0.00412418+0.00140163j 0.00396993+0.000948379j -0.0045715-0.00144229j -0.00143901-0.00321648j -0.00373161+0.0005811j 0.00268751+0.00261793j 0.00471107-0.00122945j -0.00240569+0.000580255j -0.00151378-0.000787024j 0.00262798-2.42653e-05j 0.000212631-0.00156396j 
0.00115221-0.000576361j 0.000978549+0.00365733j 0.00262108+0.00121737j -0.00248585-0.00284469j 0.000145372-0.000106586j 0.00406364+0.00267602j 0.000230021+0.0021266j -0.00129602-0.00239517j -0.000131589-0.00115775j -0.00479272+0.000737665j -0.00379165+0.00352941j 0.000781589-0.00467644j -3.17913e-05+0.00137126j -0.00107984-0.0030938j 0.00987099+0.000488941j -0.00780474-0.00375134j 0.00361915+0.004422j -0.00441073+0.0101294j -0.00193017+0.0176318j -0.00619409+0.00672186j 0.00187194-0.00252579j 0.00424377+0.00886591j 0.0131604-0.00466522j -0.0030118+0.0110361j -0.000717794-0.0148313j 0.00236491+0.00276366j -0.00381531+0.0103006j -0.0018568-0.00298691j -0.00605026+0.0149877j -0.0126692+0.00611678j 0.000809264-0.00619046j 0.0110045+0.0171825j -0.00248102+0.00153479j -0.00172135+0.0147561j -0.012206+0.0144552j 0.00731474+0.016966j -0.00823362+0.0100522j -0.00104483+0.000119336j 0.00913461+0.0117747j -0.00337502+0.00665281j 0.0219099-0.00376863j -0.00477484+0.0114733j -0.00487206+0.000851037j 0.000500439+0.0144467j 0.0102361-0.0012035j 0.0112707+0.00345189j 0.00463723+0.00100874j -0.00652727+0.0145918j -0.00124679-0.00683826j -0.00782565+0.0019018j -0.022115-0.00110539j -0.0107881+0.00113289j -0.0127592-0.000203457j -0.00608479-0.000507175j -0.00501071-0.00962876j 0.0114547-0.00413132j -0.00566175-0.00033268j -0.00488604+0.00111997j 0.00616275-0.000226901j 0.00367538-0.00142713j -0.000656895+0.00134141j 7.52147e-07-0.00215585j 0.0025381+0.00228297j -0.000918103+0.00351003j 0.00393853-0.000757707j 0.00148965+0.00286568j -0.0011368-0.000988905j 0.00068485-0.000619719j 0.00160853-0.00334684j -0.00185746-0.00145761j 
