-0.12473-0.0430077j 0.0484147-0.126864j 0.217079-0.149533j 0.165888+0.230461j 0.140148+0.0807466j 0.0905687+0.209703j 0.22011-0.227815j -0.0965904+0.0956246j 0.125501-0.0421006j 0.185712-0.106557j -0.100098-0.211823j -0.0625172+0.10284j -0.152205-0.194547j -0.0108743+0.0147103j -0.0459345+0.144868j -0.0278227-0.0505521j 0.0684086+0.0646622j -0.140764-0.00594852j -0.029927+0.0201381j -0.177671-0.0106617j 0.182972-0.0342302j 0.00346018+0.138813j -0.0383204+0.0412104j -0.0953977-0.00569186j -0.0470367+0.152645j -0.0828914+0.210686j 0.152665+0.172932j 0.17716+0.16831j 0.198819-0.129776j 0.0797088+0.0186554j -0.0179447+0.0990236j 0.103322-0.0466881j 0.0350473+0.0854355j -0.0357917-0.0195831j 0.0140765+0.0384256j -0.0481164+0.0197099j -0.0311793-0.0208001j -0.00302136+0.00931318j -0.034823-0.0226699j -0.015303+0.0195064j -0.029988+0.0152595j -0.0311658+0.0224292j 0.0233479+0.0108121j -0.0250235-0.0140208j -0.00207944+0.0222618j 0.0224698+0.00596717j -0.00427646+0.005185j 0.0113362-0.00158598j -0.00837021+0.0111441j -0.000284746+0.0256259j -0.00443831+0.0136451j 0.0128195+0.0208854j -0.00515855+0.00725814j 0.011853+0.0272555j -0.0236187-0.0223499j 0.00899991-0.00156853j -0.0130402-0.0118261j 0.00874044+0.00889503j 0.0055173-0.00176475j -0.0184931+0.0179423j 0.018915-0.00383444j 0.00561199-0.000596077j -0.00590975-0.00290139j 0.0149183-0.0165997j -0.0285713-0.00290962j -0.0135955+0.0239839j 0.0126297+0.0178177j 0.0287589+0.00554369j -0.00353016-0.0219072j 
-0.00237219-0.0014239j 0.00110755-0.000750825j -0.00128508-0.0016483j -0.00145753+0.000667356j -0.00243794-0.00349366j 0.00446834-0.00292969j -0.00332138+5.66072e-05j -0.00279262-0.00447508j -0.00620722-0.00127451j -0.00299613-0.00716002j 0.0107999-0.0131191j -0.00369401-0.00618883j 0.00806841+0.00309704j -0.00910906-0.0106069j 0.0158806+0.00585607j -0.00723214+0.00134485j -0.00640076+0.0158296j 0.00368317-0.00276836j -0.00227167-0.0162936j -0.00207941-0.00238359j -0.00655981+0.00321662j 0.0124228+0.00423649j 0.00957896-0.013042j 0.0213292+0.00833553j -0.00349772+0.0101333j -0.000285912+0.00251404j -0.00297153-0.00234116j 6.02384e-05-0.00363802j 0.00617337-0.00218119j 0.00394344+0.00206031j -0.00180083+0.000868523j 0.00359729-0.00203759j 0.000280277-0.000433719j -0.000553001-0.00117239j 0.00232539-0.000176457j 0.00215716+0.00311399j -0.00321899-0.00252069j -0.00586361+0.0023772j 0.000475791+0.000451177j 0.0026709-0.00072488j 0.00383113+0.000358366j -0.000274954+0.00472319j 0.012059+0.00460074j -0.00390793-0.00646933j 0.00647561-0.00282701j 0.00587163+0.00663937j -0.00232387-0.000970661j 0.00267387-0.00806677j 0.00604036-0.00534202j -0.00483975+0.00360452j -0.00219224+0.00159156j -0.0021375+0.00966834j -0.00295135+0.00196772j 0.00278459-0.00276689j 0.00947759+0.0108889j 0.00612274-0.00334727j -0.00303649+0.0126183j 0.00261997+0.000382598j -0.000562034-0.00191365j -0.00016253-0.000384937j -0.0111251-0.00637993j 0.004996-0.000139264j -0.00261722-0.00538385j 0.00187103+0.00139514j 0.0113106+0.00239974j 0.00262069-0.0012448j -0.00671445-0.00271566j 0.00100562+2.95307e-06j 0.00141589+0.00233568j 
0.00528283-0.00016371j -0.00474756+0.00371183j 0.00219877+0.00736919j 0.00275288-0.00531972j -0.00233798-0.000821929j -0.000370845+0.0149892j -0.00593752+0.00504838j -0.000134511-0.0100886j -0.00272646+0.0022197j 0.00124996-0.00774927j 0.00752933+0.00417531j -0.00889732+0.0056418j -0.0110173-3.39621e-06j 0.00745128-0.0166455j -0.00898038-0.026163j -0.0193955+0.00359517j 0.00185157+0.00210821j 0.00171369+0.00719242j -0.00482208+0.00903015j -0.0123183+0.00172284j 0.0133119-0.00140004j 0.00684661+0.00313534j -0.00719228+0.000822843j -0.00925469-0.0104651j 0.00822719-0.0103735j 0.00586717-0.00480407j 0.00168164+0.00703056j 0.00356657+0.00184792j -0.00105188+0.00192971j -0.000855374-0.000488661j 0.00306923+0.0031049j 0.00232215-0.00216782j 0.00181402-6.04563e-05j 0.0020197-0.00458922j 0.00417046-0.00140627j 0.00157134-0.0029142j -0.00563417-0.0003683j -0.00625142+0.00354179j 0.00161916+5.73425e-05j -0.00133754+0.00466437j 0.00456888-0.0027064j -0.00199004+0.00312993j 0.0109082-0.00103158j 0.00509926+0.00164361j -0.00493041+0.00805448j -0.00752782+0.0018964j -0.00039636-0.00788538j 0.00769805+0.00732326j 0.000883284-0.00463906j -0.00374054-0.00211006j -0.00135613+0.00893688j 0.00237074-0.00410252j 0.00282015+0.00909791j -0.00415226-0.00451732j -0.0064523-0.00695212j -0.015698+0.00329861j 0.00716073-0.00282624j 1.84192e-05-0.00196192j 0.0015355-0.000843214j 0.0160896-0.00735341j -0.00362098-0.00313787j 0.00189479+0.00556835j 0.00228986+0.00116435j -0.00851632+0.00767835j -0.00129645+0.000562701j -0.000432447-0.00157213j 0.00623335+0.00142649j -0.00284809+0.00141423j -0.000542542+0.000462589j 
-0.000664021-0.0018412j 0.00357967+0.00268421j 0.00251358-0.00333111j 0.000595265+7.76564e-06j -0.00531436-0.00177405j 0.0122554+0.00055358j -0.000941006+0.0146764j 0.00917561+0.00583332j -0.00131825-0.00394195j 0.00563632+0.000468026j -0.00838266+0.00690412j -0.00049806-0.00125113j -0.00501426-0.0209166j -0.012984-0.0155532j 0.00582043+0.000990591j -0.00885312+0.0120008j -0.00697259-0.000809399j 0.00780468-0.00564754j 0.00365072-0.00277016j 0.00742709-0.00294115j -0.0082268-0.00547339j 0.000415789+0.0125982j -0.00361945+0.00346563j -0.00101647-0.00159777j 0.000410872-0.00473062j -0.00106637-0.00261576j 0.00207267-0.00174583j 0.00133351+0.00338284j 0.00319205-0.00240595j 0.00358921+0.000780318j -0.00180783+0.00345976j -0.000322701-0.00527581j -0.00456814-0.000174296j 0.00832205-0.00808377j 0.00302707-0.00404915j -0.00235048-0.0155573j 0.00614095-0.00954028j -0.000780901+0.0130465j -0.0122292-0.00239129j -0.00125803-0.0086673j 0.0081204-0.0103904j 0.00075402+0.00816055j 0.00942449+0.00626502j -0.00143335+0.00433715j 0.0065642-0.00772639j -0.00954442+0.0207795j 0.0206279-0.000232952j 0.00313808-0.0053337j -0.00402566+0.00890421j 0.00360566-0.00533386j 0.0111775+0.00584116j 0.0105926+0.00089451j 0.00420983+0.0115841j 0.00288451-0.0120222j 0.00275692+0.00932666j -0.0285952+0.00694971j -0.00517746+0.00248304j -0.000511417+0.00418513j -0.00953839+0.00031106j -0.007045-0.00496621j 0.00305549-0.00510178j -0.00120905-2.43254e-05j 0.000164955-0.00708634j 0.000150805+0.000844104j 0.00328728-0.00445211j 0.000376073+0.00437668j 0.000785656-0.000821519j 0.000682616+0.00437528j 0.00318218-7.07854e-07j 
0.00151366+0.00041719j -0.00168424+0.00091114j 0.00208486+0.00364704j -0.00163458-0.000140218j -0.000926549+0.00340571j -0.00482753-0.00116031j -0.000628718-0.00480389j -0.00422719-0.00209453j 0.000566838-0.00809757j 0.00571732-0.00273253j 0.0123543-0.00609649j -0.00251942+0.000211797j 0.00815125-0.00767965j -0.0257017-0.0101117j -0.00299194-0.0205257j 0.000769227-0.0170963j 0.00451054-0.0200925j 0.00213877+0.00958433j 0.0131857-0.00140426j -0.0194085+0.00312854j 0.000539026-0.0131167j 0.0192472+0.00818765j 0.00461707+0.00739054j 0.0067927+0.0107365j 0.00311947-0.00125431j -4.69406e-05-0.00111788j -0.0021916+0.00279084j -0.000193714-0.000798009j -0.00329244+0.0014827j -0.00138497-0.000973384j 0.00207238+0.000405729j -0.00212185+0.00120245j -0.000799103-0.00128523j 0.000559169+0.00277551j 0.000570804-0.00256781j -8.70202e-05-0.000674235j -0.00141112-0.00151753j 0.00474212+0.0013386j 0.00277333+0.00222649j 0.00440032-0.00492127j -0.00420164-0.00443783j 0.00239758-0.00865865j -0.0217951+0.00152923j 0.00894371-0.00248123j -0.00283434-0.0158817j 0.00167927-0.00906887j 0.00869849+0.0136849j -0.00669186-0.0119997j -0.0050268+0.0124886j -0.00450804+0.000835697j 0.00664953-0.0108385j 0.0133033-0.00254185j 0.00304391+0.00302743j -0.00340951+0.00706083j -0.00811295-0.00735767j -0.00976024-0.000266706j -0.0139007+0.0026854j -0.00489699+0.0051089j -0.00121719-0.00498366j -0.014348-0.000895507j 0.00108357+0.0168546j 0.00376952-0.00517498j 0.00616745-0.00335109j -0.00035823-0.00580527j -0.00246612-0.0022425j 0.000332069-0.000503875j 0.0012093-0.000162871j -0.000288894+0.000323935j -0.000596827-0.000472483j 
0.00211369-0.000455909j -0.00262973-0.000686186j -0.00172986+0.00485714j 0.00121253-0.000540463j -0.00208231+9.96e-05j 0.00139333+0.00030255j 0.00121316-0.00678437j 0.0169787-0.00498387j -0.00408305+0.00924905j 0.0208058-0.000809258j 0.00462317-0.0036978j -0.00427852+0.00768892j 0.00783303+0.021068j -0.00217324+0.00665026j -0.00311014+0.0249487j -0.019201+0.0204519j 0.00467824+0.000913219j -0.00113628-0.000180842j 0.0139792+0.00809216j -0.00375533-0.00355818j -0.00511499+0.00948645j -0.00699681+0.00273721j 0.00429398+0.00161414j -0.0049791+0.000461838j 0.0020768+0.000568419j 0.000743581-0.000557635j -0.00340094+0.0037685j 0.000591429-0.00258074j -0.00248017+0.00127165j -0.00166354+0.000431241j 0.000822555+0.000456622j 0.00420868+0.00366612j 0.00323276-0.000322201j 0.00587488+0.000725054j 0.00158276-0.00706027j 0.00595441+0.00403302j -0.00237597-0.00383516j 0.0136638+0.00750019j -0.0115453+0.0176164j -0.00132389+0.00408498j 0.00516119+0.0031108j -0.00865093+0.0020865j -0.00894072-0.00125036j 0.010235-0.0143201j -0.0102803-0.00146877j -0.000547046-0.00492626j -0.0154659-0.00256638j -0.00751693-0.00905867j -0.00967953-0.013402j 0.00399603+0.000857322j 0.00820677-0.0067551j -0.00781473+0.0142397j -0.00387934+0.012553j 0.000836174+0.0120824j -0.00836157+0.00477836j -0.0278026-0.000108861j 0.00409063+0.0078599j 0.00780658-0.00162281j 0.00215748+0.00675911j -0.00746669-0.00225006j -0.00613388+0.00212232j 0.00041243+0.0019017j 0.000213225+0.00370686j 0.00113066-0.00221354j -0.000537651+0.00316734j -5.65257e-05-0.00229653j -0.00250709+0.000296687j 0.000546206-0.00115523j -0.00126666-0.000734623j 
0.00186829+0.00125578j -0.00377948+0.00220949j 0.00178679-0.00136933j -0.00189355-0.000201011j 0.00226373+0.00708094j 0.000424-0.00226845j 0.00461081-4.13718e-05j -0.00229091+0.0065535j 0.00521756-0.0113318j 0.00173831+6.93984e-05j 0.00427235+0.00205265j 0.00930385+0.00335127j 0.0108418+0.00899479j 0.0182095+0.0204901j -0.00525488+0.000904421j 0.014064-0.0201095j 0.00415534-0.0110931j -0.00471192-0.000745288j 0.00128193+0.00487045j 0.00282195+0.00465333j 0.00773145-0.00664822j -0.00783073-0.0061143j 0.0104382+0.0115117j -0.0171251+0.0129366j -0.010291-0.00617949j -0.00307657-0.00134142j -0.000946606+0.00380476j 0.000127895-0.00293473j -0.000765562+0.00192798j 0.00236984-0.00115918j 0.00402822+0.00291554j -0.000408719-0.000394506j 0.00235443-0.000331241j 0.000119509+0.00292885j 0.000202513-0.00190665j -0.000372575-0.00181966j -0.00129532-0.0017524j -0.00672166+0.00425094j 0.00210711+0.00230923j 0.0118158+0.00491719j 0.00281737-0.00473744j 0.00404664+0.000161998j 0.03205+0.0046299j 0.00105846-0.0104864j 0.000633662-0.00828068j -0.000735587+0.0104864j 0.00693147-0.00264482j 0.0121328-0.00673676j 0.00660813+0.00266154j -0.0102784-0.00359542j -0.0010522+0.00210298j 0.0141851-0.000372264j 0.00985232+0.0154711j 0.000651726-0.00205169j -0.000106432-0.00182764j -0.00287166+9.99988e-05j 0.00538215+0.00887283j 0.00969038+0.00669332j 0.0047939-0.00866218j 0.0033572-0.0129304j -0.00655444-0.00423612j 0.000914694+0.00876128j 0.00360023-0.00924372j 0.00287461+0.00659063j 0.00946324+0.00705055j -0.00196335-0.00256778j -0.00372079-0.00438418j -0.000530193+0.00332923j 0.00133765+0.00116468j 
-0.00678733+0.00322051j 0.00321954-0.000224274j 0.00740429-0.0123882j -0.00783254-0.0012197j -0.000943726+0.00498663j 0.00890961-0.0101382j 0.0171016+0.00247843j 0.0071104-0.0049299j -0.00848495-0.00123603j 0.00414838-0.00360024j 0.0106305+0.0168931j -0.00946805+0.000103953j -0.00363696+0.00017639j 0.0071586+0.00209272j 0.0178831-0.0195378j -0.0157626-0.00105963j 0.0169545+0.00672347j -0.00251176-0.010375j 0.00199121+0.00489984j -0.00422285+0.0008817j 0.00297536-0.00257154j 0.000676326-0.00834339j -0.00238446+0.00163247j -0.00146042+0.00921252j -0.000718351-0.00125061j -0.00144368-0.00659181j 0.00120083-0.00324286j -0.000557922+0.0032188j 0.00532166-0.00336008j 0.00197796-0.000302392j -3.82575e-05-0.00411426j -0.0053114-0.00465832j -0.0104964+0.00333467j -0.00941388-0.00273614j -0.000206303-0.00548154j -0.00428578+0.00601788j -0.00317726-0.00695197j 0.0118343+0.00270082j 0.00122738-0.00249937j -0.00514668+0.00331212j 0.00339027+0.000276153j -0.0152735-0.00878244j 0.00764011+0.00135304j -0.00747291+0.00956402j 0.00742387-0.00713709j 0.00349499+0.00760967j 0.00237027+0.00597204j -0.00100903-0.00992419j 0.00608474-0.00284302j -0.00633877-0.00522087j 0.00325627-0.015668j -0.00600986+0.00557903j 0.0151744-0.00831374j 0.0107372+0.0134929j 0.0118612+0.00216451j 0.000113026-0.00604739j -0.00272799-0.00198778j 0.000711275+0.00191737j 0.000620322+0.0101847j 0.00203603-0.000451991j 0.00187218-0.00249717j -0.00130027-0.00636932j 0.000203072-0.0013276j 0.00193966+0.000974429j 0.000619931-0.00203965j 0.00145384-0.00226855j -0.00160301-0.00161025j 0.00186237+0.000601252j 0.00144403+0.000576439j 
0.000370592-0.000288964j -0.000226591-0.000938912j -0.00331987-0.00360562j 0.000218636+0.00157799j 0.000895845+0.00283211j 0.00664317+0.00121769j 0.00211604+0.0116201j -0.0142505+0.00625761j -0.00194095-0.00841331j -0.0201079+0.00206469j 0.00101285+0.00124127j 0.000731938-0.00803785j -0.00967305-0.00819043j 0.00826215-0.00762014j -0.00471821-0.0202886j 0.00561323-0.017658j -0.00728999+0.00699355j 0.0015194-0.000654697j -0.0152377-0.00266215j 0.00335061+0.00555494j 0.00514528-0.00954994j 0.00573801-0.00686174j -0.00012243-0.00311108j -0.00176848+0.000659027j -0.00544284-0.00497843j -0.000288437+0.000180319j 0.000169827-0.00210484j -5.30289e-05-0.00152203j 0.00403684-0.000432963j 0.000406663+0.00090903j -0.000399088-0.000548632j 0.00376318+0.00428364j 0.00477625-0.000351075j 0.00524254+0.00125422j -0.00410586-0.00323035j 0.0037478+0.000589124j 0.00241492-0.00231421j 0.01975+0.00200906j -0.013417+0.0200197j 0.000160938+0.0035082j 0.00184992+0.00472961j 0.00175956+0.00353895j -0.00608251+0.00118622j 0.00575029-0.0149222j -0.00521432+0.00218387j -0.00580666-0.00105296j -0.0149025-0.00328347j -0.00991288-0.00196399j -0.0163419-0.00911826j 0.0147119-0.00272078j 0.00921291-0.00507525j -0.00746816+0.0138561j -0.00759601+0.0107089j 0.00433197+0.0051516j -0.00399481+0.0085699j -0.0185535+0.0053598j 0.0118451+0.00484501j 0.0115078-0.00214434j 0.00337946+0.0073548j -0.0153328+0.00119586j 1.13677e-08-0.000452039j -0.00499628+0.00360203j -0.000623893+0.00420386j 0.00847956-0.00417221j 0.000934231+0.00324175j -0.00146415-0.000428206j -0.00562957-0.00174569j 0.00202261-0.00169352j -0.00132289-0.000322143j 
0.00152136-0.0016423j 0.000777554-0.000340762j -0.000724292+0.00291253j 0.00236144-0.00211479j -0.00714727+0.00220988j 0.00794699-0.00126029j -0.000416525+0.0162837j 0.00952149+0.00124042j 0.000930185-0.00291956j 0.00643238+0.000784514j -0.00977622+0.00631623j 0.00207353+0.00129774j -0.00574677-0.0158746j -0.0145596-0.0109806j -0.000391106+0.0035032j -0.000777814+0.0123227j -0.00930309-0.00473274j 0.00536614-0.00163084j 0.00393779-0.000435508j 0.00371202-0.00415861j -0.00755178-0.00414099j 0.00246411+0.01423j -0.0021825+0.00582432j -0.00757848-0.0033435j 0.0014821-0.00924013j 0.000994244-0.000217667j -0.000651886+0.000901262j -0.000284182-0.000278758j -0.000618156+0.000852403j -0.00273755+0.000331254j 8.18654e-05-0.00143245j 0.00304372+0.000605805j 0.00344001+0.00048205j -0.00224007+0.00301861j 0.00198047+0.00418857j -0.000513186+0.0082793j -0.00660462+0.0071263j -0.00416749-0.00591687j 0.00802617-0.000851309j 0.003574+0.00639515j -0.00222092-0.00184706j 0.00324182-0.00457471j 0.00516778-0.00170285j 0.00495821-0.00477162j -0.00567428+0.000976611j 0.00653293-0.008227j -0.00596284-0.00159648j 0.00240752-0.00104468j 0.0080754-0.001687j -0.00880195+0.00163149j -0.0103439-0.00216382j -0.000864154-0.00270309j 0.00206604-0.00559616j -0.0025794+0.00281182j 0.000366414-0.00377502j 0.0146345-0.000725133j -0.00224715+0.00194133j 0.00240235+0.00117582j 0.00426537-0.00180873j 0.00847314-0.000532892j -0.00411562+0.00241689j 0.00226055+0.00167131j -0.000108779+0.00155933j -0.00255323-0.000227634j 0.00101909+0.000797241j 0.00147127-0.00500272j -0.00192777-0.0011544j -0.000242757-0.00166334j -0.00102887-0.00016186j 
0.00293849-0.00199176j 0.000213286-0.000505018j -0.00329911-0.0020222j -0.00165702+0.00515278j -0.00268405+0.00566621j 0.0140475+0.00190803j 0.00380212+0.00222554j -0.00171998-0.010083j -0.00655593+0.0039026j -0.00173189-0.0115783j 0.0160249-0.00237727j -0.00594614-0.000579175j 0.00147828+0.0133134j 0.0055418-0.00841371j 0.00397475-0.00931769j -0.0189499+0.011258j 0.00197646+0.0119395j 0.00127037-0.00447926j 0.00253317-0.000229587j -0.00649028+0.00651469j 0.0055296-0.000141649j 0.00526054-0.00427173j 0.00109328-0.0042327j -0.00031988+0.00658084j -0.00173193-0.00494697j 0.000989439-0.00175316j -0.0020466-0.000754121j 0.00156436-0.00150138j 0.00607766+0.000286305j 0.00125266+0.000851207j 0.000421379+0.00152553j 0.00162284+0.00356577j 0.00891874-0.000530144j 0.00359247+0.00295461j -0.00624385+0.0046568j 0.000638768-0.0070593j 0.00779501+0.00428362j -0.00140552-0.00786853j -0.00286879+0.00671655j 0.00435926-0.0048694j -0.00924208+0.00525243j 0.0191526+0.00158355j -0.00368255+0.00110771j -0.00200938-0.00571804j 0.00297582+0.00473569j -0.0102283-0.00221165j -0.00225824+0.00234013j -0.00177582+0.0106378j -0.00983422+0.00574804j 0.0167516-0.000557328j 0.00334459+0.0082221j 0.00595849-0.00331905j -0.012006+0.00536295j -0.00421933-0.010659j -0.00333402-0.00122596j 0.0107538+0.00552735j 0.0104717-0.00310504j 0.0030075-0.000981005j 0.00126644-0.00563902j -0.0146534+0.00445231j 0.0064002+0.00263303j -0.00657077+0.00505355j 0.000105268+0.00035429j 0.00569967-0.00216735j 0.00224743+0.00483361j -0.00239401+0.00231519j -0.00333942-0.00242892j -6.24262e-06-0.000141139j -0.000642693+0.0013589j 
-0.00701377+0.00186014j -0.00363603+0.00371421j 0.0116436+0.000740043j -0.00441781-0.0150714j 6.53511e-05-0.0120922j -0.00712756+0.0086744j -0.0163958+0.00171188j -0.00382982+0.00752853j 0.00302826-0.00589008j 0.0087266+0.00674118j -0.00250225-0.0115096j -0.00559875+0.0121426j 0.00576796+0.00544066j -0.00541883+0.00745631j -0.00514054+0.00143144j -0.000220891-0.0102316j 0.00409102+0.00201675j 0.00518435+0.00706005j -0.0135099-0.00633533j 2.38134e-05-0.00342118j 0.00276467-0.0012274j -0.0023742+0.00113352j 0.00938294+0.00221885j 8.94972e-05-0.00770956j 0.00182645+0.00225904j 0.0016348-0.00400028j -0.000236497+0.00470375j 0.00298972-0.00377611j -0.00111352-0.00108769j 0.00335967-0.001061j 0.00539093-0.00314949j -0.000459365-0.00668621j -0.00956155-0.00118692j -0.000963656-0.0075686j -0.00412362-0.00453677j 0.00328918+0.00166791j 0.000646206-0.00920281j 0.0172701+0.00120262j -0.00633487+0.00323141j -0.0050034+0.00446059j 0.00380725-0.00310229j -0.0118598+0.0106599j 0.00423675+0.00234609j -0.00111091+0.00331943j 0.0011774-0.00367727j 0.00470615+0.010908j 0.00202264-0.00142953j -0.0077993-0.00639148j -0.007591-0.000730208j 0.000921584-0.00645501j 0.00372113-0.00915166j -0.000960469+0.00947242j 0.0105232-0.000799174j 0.00989775+0.00565835j 0.00897846+0.00644453j -0.0172186+0.0127325j 0.00468259+0.000716398j -0.00259294-0.00348946j 0.0014982+0.00757374j -9.46858e-05+0.000683485j 0.00057849-0.00154718j -0.0026073-0.00325492j -0.00020138+0.00600669j 0.00354243+0.00125796j -0.000660327-0.00149306j 0.00115722-0.00220098j 1.62912e-05-0.000625816j 0.00166279+0.00199794j 0.000727793-0.000225682j 
-0.00564264+0.00280565j -0.00281727+0.00304877j 0.00825884-0.00486145j -0.00859919-0.00927659j -0.00101605-0.00719039j 0.000376648+0.00409951j -0.0122095-0.00332189j -0.00214945-0.00214296j 0.000756674-0.00104749j 0.0114433-0.00147722j 0.00907992-0.0110227j -0.00768575+0.0135853j 0.0125675+0.01365j -0.00306373+0.00499896j 0.00280903-0.00245372j -0.00928754+0.00273116j 0.0123433+0.00393101j 0.00361762+0.00207862j -0.00563063-0.00620869j -0.00415788-0.000801186j 0.00517505+0.000250279j -0.00222949-0.0014219j 0.00953858+0.000629957j 0.00153136-0.00115828j 0.00163182+0.000355937j 0.000826182-0.00649132j -0.000655174+0.00314251j 0.00258905-0.00331723j 0.00146273-0.00199635j 0.00475158-0.000323285j 0.00319408-0.00104771j 0.0017322-0.00195879j -0.00304825-0.00213015j 0.000187787-0.00178688j -0.00712811+0.00955628j -0.0060319-0.00418901j 0.0133783+0.00256388j -0.00623374+0.000851149j -0.0110245-0.0124808j -0.00266823-0.00477879j -0.0123746-0.00268159j 0.0185748+0.000591385j 0.00473383-0.00662935j 0.000140418+0.00905294j 0.00873488-0.00222501j -0.000360473+0.0101195j 0.0140968-0.0105509j 0.00667514+0.00294366j 0.0027934+0.0117677j 0.0122069-0.00380402j 0.00607995+0.0161738j -0.000580786-0.0155012j -0.00907832-0.0051643j -0.00892323-0.0159955j 0.00448007+0.000727877j 0.0153022-0.00482451j -0.00173684-0.00518696j -0.00161476+0.00519663j -0.00969041-0.0012456j -0.00569418+0.00258292j 0.00815486-0.00470984j -0.00397967-0.00172657j -0.00283258-0.00141957j 0.00317804-0.0018702j -0.00162837-0.000138641j -0.000211914+0.00162107j -0.00137101-0.00303633j 0.00230074+0.0014934j -5.6421e-05-0.000175527j 
-0.00645962+0.00120744j -0.0077544+0.00690876j 0.0118498+0.00266947j 0.00249811-0.0188845j 0.00916212+0.00423507j -0.00393603-0.0210146j 0.0100614+0.00686639j 0.00911915-0.00250785j -0.00730575-0.000755378j 0.0151649+0.00180731j -0.00927899+0.00337736j -0.00981559+0.00729977j 0.00332381-0.0163066j -0.00161912+0.00811952j 0.00277507-0.0123794j -0.00807091+0.00130131j 0.00558339-0.00665377j -0.00750369+0.00572472j -0.00230645+0.0026099j 0.00228323-0.00653061j -0.00371422-0.00278599j 0.00193637-0.000192449j 0.00733928+0.0060008j -0.00283095-0.000522393j 0.00256042-0.00214374j -0.00145022-0.00645279j 0.000264399+0.00327532j -0.00131237-0.00408591j 0.000682199-0.00134012j 0.00233977+0.00094399j 0.00374516-0.00719809j 0.0110546-0.00697696j -0.00838364-0.00924978j 0.000856408-0.00221374j -0.000825282+0.00904355j 0.0110569+0.00814026j 0.016646+0.00692402j -0.00171053-0.00873881j -0.00221274+0.00171252j 0.0112105+0.00670021j -0.00929205+0.000680491j 0.0193451+0.00680659j 0.00123117+0.00745591j 0.0111176-0.02135j -0.00828643-0.00345521j 0.00799375-0.0170907j -0.00573164-0.00900444j -0.0042893-0.00778559j -0.00719845+0.00752134j 0.00904779+0.00448222j -0.00776383+0.00846201j -0.0039375+0.00152611j -0.00422023+0.00208375j 0.00302444+0.00474372j -0.00687169+0.00277824j 0.00905322-0.0093682j 0.0030943+0.00469643j -0.00470105+7.8921e-05j -0.00114456-0.0112015j 0.000679119-0.00110002j -8.78397e-05+0.0022958j 0.00171669-0.00203255j 0.00506787+0.00638544j 0.00296814-0.00212587j 0.00461261+0.00455685j -0.00119254-0.0056407j -0.00528415-0.000174879j 0.00219286-0.00232346j -0.00232753-0.00159436j 
-0.00468642+0.0067078j 0.00768099-0.00432662j 0.000667678-0.0172823j -0.0190017+0.00605061j -0.0137993-0.0119476j 0.0073109+0.01012j -0.00826626+0.00454367j -0.00607+0.012729j 0.00588212-0.00679954j 0.000872871+0.00887126j 0.0139191+0.00705062j -0.00116057+0.00663909j -0.00581127+0.0114508j -0.018354-0.00394986j 0.00641193-0.00111259j 0.00392929-0.00347514j 0.0084782+0.00463336j 0.0170799-0.0084924j -0.00352855-0.0090943j 0.00180127+0.00190687j -0.00175885-0.00574294j -0.00358041+0.00376557j 9.1697e-05+0.000729615j -0.00118216+0.00317108j -0.00299138-0.00611756j 0.000175294-0.00411602j -0.00162305-0.00460246j 0.000818102+0.002413j 0.00283296-0.00377561j 0.00375854-0.00291236j -0.0061294-0.000164206j -0.00574876-0.00228711j -0.00316539+0.00572245j -0.00178493+0.00927832j 0.00575457+0.00336677j 0.0155754+0.00289017j -0.00149673-0.000192542j -0.00781912-0.0152124j 0.00459544-0.00052444j 0.00755944+6.67133e-05j 0.0010693+0.0134403j -0.00649899+0.0036362j -0.00969681+0.00515817j 0.00324-0.00635568j 0.00562354-3.86376e-06j 0.00652592-0.00967063j -0.00560893+0.00680399j -0.00257195-0.00442106j 0.00304823-0.00789163j -0.00743867+0.00290715j -0.00664426-0.00581545j -0.00479353+0.00151379j -0.0037027+0.00123667j 0.00340185+0.011895j -0.00869506-0.0014769j 0.012345-0.0109447j 0.00608882+0.0012194j -0.00526527-0.00311683j 0.00628337-0.00745019j -3.86e-05-0.00053718j -0.000826981+0.00410815j -0.000107755-0.00239443j 0.00213631-0.00235732j 0.00159509+0.000403442j 0.00474988+0.00232538j -0.00178357-0.000863424j -0.00151874-0.00213873j -0.00105606-0.00161201j 0.000119489+0.00164186j 
