0.000674558-0j -0.00506801-0j 0.00559876-0j -1.25001e-05-0j 2.08288e-09-0j 0.0234298-0j 0.00200726-0j -1.35447e-06-0j 8.98058e-11-0j 0.000155159-0j -5.17082e-08-0j -6.43589e-10-0j -0.0601849-0j 0.000232739-0j -5.48448e-08-0j 1.45601e-05-0j -1.67209e-09-0j 4.16885e-07-0j -0.0167137-0j 1.59498e-05-0j -1.2952e-09-0j 6.08899e-07-0j 1.3923e-08-0j -0.00204277-0j 6.8077e-07-0j 1.46761e-08-0j -0.000144906-0j 1.66411e-08-0j -6.33762e-06-0j 0.00175331-0j 0.0065206-0j -1.18311e-06-0j 7.84443e-11-0j -9.41681e-05-0j 0.000191668-0j -1.78301e-05-0j -6.3875e-08-0j -9.73702e-10-0j -5.67748e-05-0j 8.99302e-06-0j -1.03277e-09-0j 3.43064e-09-0j -0.0542948-0j 4.49318e-08-0j 0.000209962-0j 0.00116888-0j -4.94774e-08-0j -2.30763e-12-0j 1.31351e-05-0j -1.50845e-09-0j -1.11545e-06-0j 5.31866e-07-0j 8.88153e-09-0j 9.05796e-11-0j -0.015389-0j -0.00190384-0j 1.46855e-05-0j -1.19254e-09-0j -2.45855e-08-0j 5.60636e-07-0j 1.28194e-08-0j -0.00417367-0j -0.00190753-0j 0.0204657-0j 6.35701e-07-0j 1.37045e-08-0j 0.000638668-0j -0.000136715-0j 1.57005e-08-0j 
-1.34663e-07-0j 2.55139e-06-0j -1.78301e-05-0j 2.38821e-05-0j -2.46814e-08-0j 0.00411488-0j -0.0239117-0j -0.00137413-0j 3.06362e-07-0j 0.102469-0j -0.000211798-0j -6.61206e-06-0j 0.000191668-0j -0.00044466-0j 6.49892e-07-0j 0.0147714-0j -5.70415e-06-0j -4.93994e-06-0j -0.00115535-0j -9.38954e-05-0j 2.56388e-08-0j 0.00124343-0j -2.75608e-07-0j 0.00390282-0j -8.06688e-06-0j 5.00657e-05-0j 0.000853052-0j -3.29415e-07-0j 7.50986e-05-0j 2.06198e-06-0j 6.08844e-05-0j 1.18495e-07-0j -2.64185e-11-0j -1.10746e-07-0j 0.00107366-0j -9.98779e-05-0j -2.21918e-06-0j -1.13353e-07-0j 1.37464e-10-0j -9.00704e-07-0j 3.47816e-10-0j 1.19189e-07-0j 2.94176e-06-0j -4.50019e-09-0j -6.82474e-06-0j -0.000475172-0j 9.97468e-09-0j 7.77166e-13-0j 0.000226715-0j -8.75485e-08-0j -3.86174e-05-0j -1.07225e-07-0j -2.99113e-09-0j 1.05447e-08-0j -1.80982e-05-0j 3.30093e-08-0j -1.47084e-06-0j 4.01624e-10-0j -2.5724e-06-0j 1.94779e-05-0j -4.31733e-09-0j -6.16045e-06-0j 6.20037e-05-0j -3.54839e-07-0j -1.28158e-07-0j 7.9539e-07-0j -3.26391e-09-0j 1.36928e-05-0j -5.28762e-09-0j 
-9.53611e-12-0j -3.87289e-08-0j 1.36733e-06-0j -1.70631e-05-0j 4.93776e-05-0j 8.19684e-07-0j 0.00184022-0j -0.0242276-0j -0.00139423-0j 0.000211798-0j 0.105242-0j -8.70518e-05-0j 6.3875e-08-0j 0.000105286-0j -0.000648677-0j -0.00113179-0j 0.00860296-0j -2.14275e-05-0j -7.76165e-07-0j -0.000824147-0j -7.7674e-05-0j 0.00539349-0j -3.62855e-06-0j 8.06688e-06-0j 0.00400841-0j 0.000659146-0j -6.53612e-05-0j 0.000496822-0j 0.000325748-0j -1.58688e-07-0j -2.32436e-06-0j 2.08922e-06-0j 1.20229e-07-0j 2.57175e-08-0j 2.21918e-06-0j 4.75045e-05-0j 0.0011027-0j -1.49236e-06-0j 7.56563e-15-0j 6.90123e-08-0j -5.24575e-07-0j -0.000178708-0j 9.80368e-10-0j -1.59032e-07-0j 1.61596e-06-0j -3.19222e-07-0j -9.95604e-06-0j -5.90151e-09-0j -1.7371e-05-0j 0.00013204-0j -0.000338956-0j -4.65098e-07-0j -3.93801e-08-0j -3.19459e-05-0j -1.21584e-08-0j -1.51308e-09-0j -1.291e-05-0j -1.21674e-06-0j -1.11581e-05-0j 8.44875e-05-0j -5.68402e-08-0j -8.16312e-10-0j 1.28158e-07-0j -7.06839e-11-0j 6.36812e-05-0j 1.04718e-05-0j 3.53386e-11-0j -1.04915e-06-0j 7.97476e-06-0j 
8.0635e-14-0j -3.67752e-12-0j 9.05796e-11-0j -1.25704e-09-0j 8.27487e-09-0j -2.08736e-08-0j 6.14501e-07-0j -8.09029e-06-0j 3.55045e-05-0j 0.000926779-0j -0.0122016-0j 0.131928-0j -9.73702e-10-0j 2.34049e-08-0j -2.17888e-07-0j 8.6968e-05-0j -0.000661058-0j 1.6562e-06-0j 1.48025e-08-0j -2.75608e-07-0j 1.48135e-06-0j -0.00083618-0j -1.5924e-05-0j -2.05426e-07-0j 2.70456e-06-0j 0.00580216-0j 2.50394e-06-0j -1.90329e-05-0j -2.51781e-05-0j -2.64185e-11-0j -6.20398e-10-0j 3.47816e-10-0j -1.52641e-09-0j 1.4189e-12-0j -1.13353e-07-0j 1.05447e-08-0j 1.49236e-06-0j 0.00112537-0j -5.75647e-17-0j -2.64381e-09-0j 2.00961e-08-0j -8.01523e-08-0j -1.49446e-11-0j -1.32093e-11-0j 3.59223e-10-0j -1.04611e-06-0j -3.34419e-09-0j 4.49029e-11-0j 1.3348e-06-0j -1.01461e-05-0j 1.94776e-05-0j 3.59489e-08-0j -1.72821e-07-0j -0.000104689-0j 2.31878e-10-0j -8.3481e-14-0j -4.31733e-09-0j 2.32049e-08-0j -0.00029783-0j -1.30985e-05-0j -2.49445e-07-0j 1.78107e-11-0j -3.26359e-09-0j 8.97393e-13-0j 4.29672e-08-0j 9.21784e-05-0j 2.93524e-15-0j 4.01921e-08-0j -3.05507e-07-0j 
3.80809e-09-0j -1.01164e-07-0j 1.18311e-06-0j -4.88285e-06-0j -1.87063e-07-0j 1.18517e-06-0j -1.38915e-05-0j 2.9774e-05-0j -2.02692e-08-0j 6.06092e-05-0j 4.6439e-06-0j 1.45258e-07-0j 0.00292656-0j -0.0209203-0j -0.00113344-0j 0.0736495-0j -8.68422e-05-0j 0.0172683-0j 0.00011567-0j -0.000350609-0j 2.92327e-07-0j -5.46851e-05-0j 0.000723106-0j -0.000797957-0j -6.11398e-05-0j -3.3124e-06-0j 0.00318533-0j -3.75591e-06-0j 0.000569181-0j 4.75041e-05-0j 2.34427e-08-0j -0.000101816-0j 6.93136e-08-0j 1.10876e-08-0j -0.000293113-0j -1.18495e-07-0j -2.24584e-05-0j -8.60366e-07-0j -3.39985e-12-0j 0.00155121-0j -1.82908e-06-0j -5.24186e-09-0j -1.95199e-07-0j -1.68039e-08-0j 1.39536e-06-0j -1.37627e-07-0j 7.55992e-08-0j 8.86105e-12-0j -4.91236e-06-0j 5.7923e-09-0j 4.17161e-07-0j 0.000187004-0j -3.41041e-08-0j -3.47816e-10-0j 1.81194e-06-0j -1.63843e-09-0j -5.49218e-06-0j 4.57922e-09-0j 3.75656e-08-0j -8.56627e-07-0j 1.13272e-05-0j -1.41741e-09-0j -1.26771e-05-0j -4.05286e-06-0j -9.71323e-07-0j -5.26238e-08-0j 1.07749e-10-0j 5.11294e-05-0j -6.02882e-08-0j 
1.20953e-13-0j 6.31921e-10-0j -3.12651e-08-0j 6.51777e-07-0j -5.72483e-06-0j 9.05796e-11-0j 3.05473e-07-0j -8.07858e-06-0j 5.32568e-05-0j 2.34049e-08-0j 3.52991e-05-0j 1.10413e-06-0j 3.36089e-07-0j 0.000925447-0j -0.0173061-0j 8.68422e-05-0j 0.0756184-0j -0.00114581-0j 2.22038e-08-0j 4.73587e-05-0j -0.000511313-0j 3.62855e-06-0j 0.00549645-0j -3.0814e-07-0j -0.000464734-0j -2.51781e-05-0j 3.75591e-06-0j 0.00327048-0j -3.77672e-05-0j -1.04461e-06-0j -3.08404e-10-0j 2.76259e-05-0j -0.000182119-0j -7.35702e-10-0j -1.13189e-07-0j 1.05295e-08-0j -0.00017071-0j -6.53978e-06-0j -8.63471e-17-0j 1.82908e-06-0j 0.00159268-0j -1.20229e-07-0j -2.24169e-11-0j 9.13862e-09-0j -6.17265e-08-0j -2.64185e-11-0j 1.1543e-06-0j -3.88485e-08-0j -5.7923e-09-0j -5.04368e-06-0j -5.63483e-08-0j -1.24084e-05-0j -2.59231e-07-0j 6.0837e-07-0j 3.47816e-10-0j 2.88148e-11-0j 7.4186e-07-0j -8.00957e-06-0j -2.49261e-09-0j 5.68402e-08-0j 8.61003e-05-0j -7.72884e-14-0j -4.89539e-09-0j -3.0975e-10-0j -7.38319e-06-0j -4.00003e-07-0j -5.04371e-13-0j 6.02882e-08-0j 5.24963e-05-0j 
-7.9404e-11-0j 2.81508e-09-0j -4.94774e-08-0j 4.11027e-07-0j -8.91438e-07-0j -3.96048e-08-0j 7.76165e-07-0j -5.08714e-06-0j -1.94885e-07-0j -5.10194e-06-0j 2.21302e-05-0j 1.39663e-06-0j 5.31866e-07-0j -7.65292e-06-0j 2.34726e-05-0j 5.46851e-05-0j 3.62855e-06-0j -0.00017842-0j 0.00186059-0j -0.0172459-0j -0.000809159-0j 0.0750234-0j 0.0086982-0j 6.71702e-05-0j -0.000291358-0j -3.18481e-05-0j -0.000544241-0j -3.61123e-05-0j 0.00271239-0j 1.15345e-08-0j -9.80368e-10-0j -7.55992e-08-0j -2.89615e-09-0j -6.19501e-10-0j -1.07225e-07-0j 9.97468e-09-0j 4.65098e-07-0j 3.59489e-08-0j 6.29965e-14-0j 5.74643e-07-0j 3.81296e-08-0j -2.49798e-08-0j -2.35009e-06-0j 2.87109e-09-0j 3.3815e-05-0j 7.68965e-09-0j -0.000103716-0j 8.51973e-11-0j -0.000241631-0j -1.60331e-05-0j -7.12756e-08-0j 0.00111491-0j 0.000189128-0j -3.34419e-09-0j -1.01239e-07-0j 5.47515e-11-0j 9.38387e-07-0j 4.40283e-08-0j 1.79016e-07-0j -4.0822e-06-0j -4.7329e-07-0j 3.94419e-11-0j 1.06713e-06-0j -5.88561e-10-0j -4.62878e-06-0j -5.05968e-07-0j -2.56865e-12-0j -8.73591e-06-0j -5.79659e-07-0j 
1.06161e-12-0j -4.84168e-11-0j 1.19254e-09-0j -1.65497e-08-0j 1.08944e-07-0j 7.95024e-10-0j -2.34049e-08-0j 3.0814e-07-0j -1.35228e-06-0j 2.05426e-07-0j -2.70456e-06-0j 9.69106e-06-0j -1.28194e-08-0j 3.0814e-07-0j -2.86862e-06-0j -3.3124e-06-0j 2.51781e-05-0j 2.18049e-05-0j 1.94885e-07-0j -3.62855e-06-0j 1.95029e-05-0j 3.18481e-05-0j -0.00020965-0j 0.000934877-0j -0.0123082-0j 0.0763889-0j 3.29659e-05-0j -0.000250579-0j -0.000331485-0j -3.47816e-10-0j 2.36295e-11-0j 4.57922e-09-0j -2.00961e-08-0j 1.86807e-11-0j 4.31733e-09-0j -4.01624e-10-0j -5.68402e-08-0j 2.49445e-07-0j -7.57875e-16-0j -3.48074e-08-0j 2.64577e-07-0j 3.05281e-09-0j -1.96755e-10-0j -1.73908e-10-0j 4.72939e-09-0j -2.31878e-10-0j -4.40283e-08-0j 5.91174e-10-0j -5.08394e-08-0j 3.86439e-07-0j 4.31733e-09-0j 4.7329e-07-0j -2.27529e-06-0j -2.32049e-08-0j -1.05525e-06-0j -1.09908e-12-0j 1.96478e-05-0j -0.000105604-0j -2.18778e-08-0j -0.00017245-0j 0.0011352-0j -6.78366e-13-0j -4.29672e-08-0j 1.18147e-11-0j 5.65689e-07-0j -3.51085e-06-0j 3.86442e-14-0j 5.29154e-07-0j -4.02219e-06-0j 
4.514e-05-0j 0.0388504-0j -0.0862127-0j 0.000289143-0j -6.4286e-08-0j 0.00156787-0j -0.0153872-0j 2.08568e-05-0j -2.07732e-09-0j 1.03829e-05-0j 3.96385e-07-0j -4.30676e-11-0j -0.00402744-0j -0.00178413-0j 8.4453e-07-0j 9.74329e-07-0j 1.28179e-08-0j 2.7897e-08-0j -0.00111845-0j -0.000122268-0j 1.99442e-08-0j 4.07462e-08-0j 9.31694e-10-0j -0.000136698-0j -5.21865e-06-0j 9.82092e-10-0j -9.69678e-06-0j -1.27568e-07-0j -4.241e-07-0j 0.0129832-0j 0.0482848-0j -1.75983e-05-0j 1.75277e-09-0j -0.00210411-0j -1.23896e-05-0j -0.000265215-0j -4.72993e-07-0j 6.29409e-11-0j 3.66997e-06-0j -5.81316e-07-0j -7.64761e-09-0j 7.66549e-08-0j 0.00350966-0j 1.33959e-06-0j 0.00155476-0j -7.55571e-05-0j -7.35955e-07-0j -8.60362e-11-0j -8.49067e-07-0j -1.117e-08-0j -8.25985e-06-0j -3.43803e-08-0j -5.7411e-10-0j 1.34733e-09-0j 0.000994756-0j -0.0283189-0j 0.000108746-0j -1.77385e-08-0j 1.58923e-09-0j -3.624e-08-0j -8.28656e-10-0j 0.00026979-0j 0.000123304-0j -0.00132292-0j 4.70735e-06-0j -8.8587e-10-0j 0.00472932-0j 8.83737e-06-0j 1.16262e-07-0j 
-3.1364e-13-0j -3.84359e-09-0j -1.55224e-05-0j -0.0146423-0j 0.128708-0j -1.56436e-10-0j -1.05974e-06-0j -0.00159597-0j 0.0069425-0j -2.01523e-08-0j -3.02156e-05-0j 5.51658e-09-0j 2.10083e-09-0j 1.0449e-05-0j 0.00736401-0j 2.16002e-07-0j -4.95427e-06-0j -7.04743e-07-0j -2.55278e-08-0j -8.17911e-05-0j 0.000881782-0j -1.02934e-06-0j -1.19342e-07-0j 2.65317e-07-0j 0.000397807-0j -1.25797e-07-0j -2.14971e-06-0j 4.93062e-05-0j 1.07137e-05-0j -9.25672e-07-0j 7.86771e-08-0j -0.00139406-0j 0.00606419-0j 0.00129716-0j -2.48941e-08-0j 0.000183935-0j -3.73253e-05-0j 8.34618e-09-0j 1.46257e-14-0j 1.33413e-07-0j -3.06e-06-0j 0.0523046-0j 1.89523e-09-0j -0.0243654-0j 9.42636e-06-0j 1.78529e-09-0j 0.00664332-0j -0.00181545-0j 1.94863e-07-0j -4.46941e-06-0j 5.72006e-06-0j -8.99119e-07-0j -7.61288e-08-0j -6.16674e-05-0j -2.35044e-08-0j 1.00963e-06-0j -7.53081e-05-0j 0.000811889-0j 4.15618e-08-0j -9.47755e-07-0j -1.09883e-07-0j 9.15713e-12-0j 2.47752e-07-0j -1.36645e-10-0j 0.000371472-0j -1.17469e-07-0j 2.06141e-10-0j -2.0282e-06-0j 4.65191e-05-0j 
3.16342e-13-0j 3.8767e-09-0j 1.56562e-05-0j 0.0147685-0j -0.129817-0j 1.57784e-10-0j 1.06887e-06-0j 0.00160973-0j -0.00700232-0j 2.03259e-08-0j 3.0476e-05-0j -5.56412e-09-0j -2.11893e-09-0j -1.0539e-05-0j -0.00742746-0j -2.17863e-07-0j 4.99696e-06-0j 7.10816e-07-0j 2.57478e-08-0j 8.24958e-05-0j -0.00088938-0j 1.03821e-06-0j 1.2037e-07-0j -2.67603e-07-0j -0.000401235-0j 1.26881e-07-0j 2.16823e-06-0j -4.97311e-05-0j -1.08061e-05-0j -9.01879e-07-0j 7.66549e-08-0j -0.00135823-0j 0.00590832-0j 0.00126382-0j -2.42542e-08-0j 0.000179207-0j -3.6366e-05-0j 8.13165e-09-0j 1.42498e-14-0j 1.29984e-07-0j -2.98135e-06-0j 0.0509602-0j 1.84652e-09-0j -0.0237392-0j 9.18408e-06-0j 1.7394e-09-0j 0.00647257-0j -0.00176879-0j 1.89854e-07-0j -4.35454e-06-0j 5.57303e-06-0j -8.76009e-07-0j -7.41721e-08-0j -6.00824e-05-0j -2.29003e-08-0j 9.83678e-07-0j -7.33724e-05-0j 0.000791021-0j 4.04935e-08-0j -9.23395e-07-0j -1.07058e-07-0j 8.92177e-12-0j 2.41385e-07-0j -1.33133e-10-0j 0.000361924-0j -1.1445e-07-0j 2.00842e-10-0j -1.97607e-06-0j 4.53235e-05-0j 
0.0507161-0j -0.059019-0j 0.000239809-0j -8.46373e-08-0j 5.60758e-12-0j -0.0180447-0j 2.7471e-05-0j -5.48022e-09-0j 1.72527e-13-0j 1.05057e-06-0j -1.3921e-10-0j -1.2364e-12-0j -0.00257786-0j 1.57586e-06-0j -1.47654e-10-0j 5.89106e-08-0j -3.21227e-12-0j 1.12235e-09-0j -0.000228742-0j 6.45333e-08-0j -2.48821e-12-0j 1.63929e-09-0j 2.67475e-11-0j -1.38314e-05-0j 1.83278e-09-0j 2.81943e-11-0j -5.86294e-07-0j 3.19694e-11-0j -1.70623e-08-0j -2.31791e-05-0j -0.00026979-0j 4.62402e-09-0j -1.45572e-13-0j 1.24492e-06-0j -1.25361e-06-0j 1.16619e-07-0j 1.66114e-10-0j 1.80694e-12-0j 0.00692285-0j -3.5148e-08-0j 1.91655e-12-0j -8.92177e-12-0j 0.00224645-0j -1.7561e-10-0j -1.37326e-06-0j -1.54528e-05-0j 1.28672e-10-0j 4.28236e-15-0j -5.13369e-08-0j 2.79929e-12-0j 4.35957e-09-0j -1.38318e-09-0j -1.64818e-11-0j -1.68092e-13-0j 0.000203445-0j -0.00141637-0j -5.73964e-08-0j 2.21304e-12-0j 6.39374e-11-0j -1.458e-09-0j -2.37894e-11-0j 0.0469502-0j 1.24763e-05-0j 0.0152255-0j -1.65321e-09-0j -2.5432e-11-0j -0.022816-0j 5.34331e-07-0j -2.9136e-11-0j 
2.16243e-06-0j -2.72364e-05-0j 9.41681e-05-0j 4.56353e-06-0j -1.5329e-09-0j -0.0328394-0j 0.0614557-0j -0.000128577-0j 1.42498e-08-0j 0.0195805-0j -1.31542e-05-0j -3.07547e-07-0j -0.00101228-0j -8.49682e-05-0j 4.0363e-08-0j 0.00138216-0j -2.65317e-07-0j -3.06806e-07-0j 0.00296937-0j -8.78577e-06-0j 1.19254e-09-0j 7.72259e-05-0j -1.28194e-08-0j 0.000745773-0j -5.01012e-07-0j 2.32871e-06-0j 7.98199e-05-0j -1.53221e-08-0j 4.66417e-06-0j -0.000311494-0j -0.0189003-0j 6.51704e-07-0j -7.22265e-11-0j 1.67299e-05-0j 0.0120589-0j -0.00112179-0j -8.10119e-06-0j -3.09898e-07-0j -1.5148e-07-0j -4.95371e-06-0j 9.50906e-10-0j 4.35103e-07-0j -0.000913209-0j -2.47502e-08-0j -7.66528e-05-0j 0.0717821-0j 3.64129e-08-0j 2.12472e-12-0j 0.00124689-0j -2.39352e-07-0j -0.000212389-0j -3.91427e-07-0j -8.17755e-09-0j 2.88286e-08-0j 0.00273401-0j -1.54841e-05-0j -8.08938e-06-0j 1.09801e-09-0j -9.39063e-06-0j 7.11047e-05-0j -1.18033e-08-0j 0.00386544-0j 0.000696401-0j 0.000166449-0j -4.67844e-07-0j 2.17454e-06-0j 2.56445e-06-0j 7.53081e-05-0j -1.4456e-08-0j 
-2.18106e-06-0j 2.7471e-05-0j -9.49795e-05-0j -4.60285e-06-0j 1.5461e-09-0j 0.0331223-0j -0.0619853-0j 0.000129685-0j -1.43726e-08-0j -0.0197492-0j 1.32676e-05-0j 3.10197e-07-0j 0.001021-0j 8.57004e-05-0j -4.07108e-08-0j -0.00139407-0j 2.67603e-07-0j 3.0945e-07-0j -0.00299496-0j 8.86147e-06-0j -1.20281e-09-0j -7.78913e-05-0j 1.29298e-08-0j -0.000752199-0j 5.0533e-07-0j -2.34877e-06-0j -8.05077e-05-0j 1.54541e-08-0j -4.70436e-06-0j -0.000303488-0j -0.0184145-0j 6.34954e-07-0j -7.03701e-11-0j 1.62999e-05-0j 0.0117489-0j -0.00109296-0j -7.89296e-06-0j -3.01933e-07-0j -1.47586e-07-0j -4.82639e-06-0j 9.26465e-10-0j 4.2392e-07-0j -0.000889737-0j -2.41141e-08-0j -7.46826e-05-0j 0.0699371-0j 3.5477e-08-0j 2.07011e-12-0j 0.00121485-0j -2.332e-07-0j -0.00020693-0j -3.81366e-07-0j -7.96736e-09-0j 2.80876e-08-0j 0.00266374-0j -1.50862e-05-0j -7.88146e-06-0j 1.06979e-09-0j -9.14926e-06-0j 6.92771e-05-0j -1.14999e-08-0j 0.00376609-0j 0.000678501-0j 0.000162171-0j -4.55819e-07-0j 2.11865e-06-0j 2.49853e-06-0j 7.33724e-05-0j -1.40844e-08-0j 
2.89245e-10-0j 8.80243e-07-0j -2.06786e-05-0j 0.000128201-0j 6.55326e-06-0j -1.55135e-05-0j -0.0208302-0j 0.0896814-0j -9.17113e-05-0j -0.00159131-0j 0.0139674-0j -5.72621e-06-0j -9.66005e-07-0j -0.000791052-0j -8.60906e-05-0j 0.00418948-0j 0.000565897-0j -2.8438e-06-0j 8.78577e-06-0j 0.00305069-0j -5.10934e-06-0j 0.000715809-0j -2.38684e-07-0j -6.06092e-05-0j 0.000531985-0j 4.33582e-05-0j 0.000241943-0j 3.26806e-05-0j 4.32324e-05-0j 0.00010558-0j 0.00206616-0j -0.000454559-0j 4.64847e-07-0j -1.71107e-05-0j -0.000980028-0j -0.0209788-0j 0.008602-0j -5.76999e-06-0j -1.51786e-11-0j -1.50153e-05-0j -2.0282e-06-0j -0.00139407-0j -8.71466e-07-0j 3.46012e-05-0j -0.000713635-0j 0.000212389-0j -7.76653e-05-0j -2.28174e-08-0j 0.00377947-0j 0.000510515-0j 0.0737479-0j -3.62815e-06-0j -1.52258e-07-0j -0.000123514-0j 8.08938e-06-0j 1.68321e-06-0j 0.00280888-0j -4.70436e-06-0j -8.70421e-05-0j 0.000659072-0j -2.19765e-07-0j 1.09053e-06-0j -5.65967e-05-0j 7.86314e-08-0j 0.000496766-0j 4.04878e-05-0j -5.51063e-08-0j 0.000228267-0j 3.08333e-05-0j 
-2.91738e-10-0j -8.87828e-07-0j 2.08568e-05-0j -0.000129305-0j -6.60973e-06-0j 1.56471e-05-0j 0.0210097-0j -0.0904542-0j 9.25015e-05-0j 0.00160502-0j -0.0140878-0j 5.77555e-06-0j 9.74329e-07-0j 0.000797868-0j 8.68325e-05-0j -0.00422558-0j -0.000570773-0j 2.8683e-06-0j -8.86147e-06-0j -0.00307697-0j 5.15337e-06-0j -0.000721977-0j 2.40741e-07-0j 6.11314e-05-0j -0.000536569-0j -4.37318e-05-0j -0.000244028-0j -3.29622e-05-0j -4.36049e-05-0j 0.000102866-0j 0.00201306-0j -0.000442875-0j 4.52899e-07-0j -1.66709e-05-0j -0.000954839-0j -0.0204396-0j 0.0083809-0j -5.62168e-06-0j -1.47885e-11-0j -1.46293e-05-0j -1.97607e-06-0j -0.00135824-0j -8.49067e-07-0j 3.37119e-05-0j -0.000695292-0j 0.00020693-0j -7.56691e-05-0j -2.22309e-08-0j 0.00368233-0j 0.000497393-0j 0.0718524-0j -3.53489e-06-0j -1.48344e-07-0j -0.00012034-0j 7.88146e-06-0j 1.63995e-06-0j 0.00273668-0j -4.58345e-06-0j -8.48049e-05-0j 0.000642132-0j -2.14116e-07-0j 1.0625e-06-0j -5.5142e-05-0j 7.66104e-08-0j 0.000483998-0j 3.94471e-05-0j -5.36899e-08-0j 0.0002224-0j 3.00408e-05-0j 
6.49619e-15-0j 6.81755e-11-0j 1.91519e-07-0j -8.04358e-06-0j 0.000106206-0j -8.38386e-10-0j -5.67946e-06-0j -0.00852819-0j 0.113265-0j -4.34518e-07-0j -0.0013164-0j -3.07775e-05-0j -7.84443e-11-0j -4.3389e-07-0j -0.000460695-0j 3.49306e-06-0j 0.00610976-0j 1.33428e-07-0j 1.19254e-09-0j 5.10934e-06-0j 0.00313212-0j -3.35851e-05-0j -1.28289e-06-0j -1.65497e-08-0j -5.01383e-05-0j 0.000233043-0j 2.01725e-07-0j 0.000352839-0j -2.02842e-06-0j 2.87869e-08-0j 3.3703e-07-0j 4.32259e-05-0j -0.000574093-0j 5.3366e-07-0j -2.67603e-07-0j 0.000653344-0j -0.000810718-0j -3.10128e-05-0j -2.72587e-16-0j -1.25193e-08-0j -2.18976e-05-0j -0.0150293-0j -7.07673e-11-0j -9.96507e-06-0j -3.91427e-07-0j 2.88286e-08-0j -0.000415609-0j 5.65396e-05-0j 3.15121e-06-0j 0.00551183-0j 0.000123514-0j 1.70229e-07-0j -8.1836e-07-0j 0.0757165-0j 1.09801e-09-0j -1.03748e-08-0j 4.70436e-06-0j 0.00288386-0j 4.08393e-06-0j -3.0923e-05-0j -1.1812e-06-0j 4.20475e-11-0j -1.54541e-08-0j 4.24944e-12-0j -4.68191e-05-0j 0.000217615-0j -3.19837e-12-0j 1.90322e-07-0j 0.000332895-0j 
-6.55217e-15-0j -6.87629e-11-0j -1.93169e-07-0j 8.11289e-06-0j -0.000107121-0j 8.4561e-10-0j 5.7284e-06-0j 0.00860167-0j -0.114241-0j 4.38262e-07-0j 0.00132774-0j 3.10427e-05-0j 7.91202e-11-0j 4.37628e-07-0j 0.000464665-0j -3.52316e-06-0j -0.00616241-0j -1.34578e-07-0j -1.20281e-09-0j -5.15337e-06-0j -0.00315911-0j 3.38745e-05-0j 1.29394e-06-0j 1.66924e-08-0j 5.05704e-05-0j -0.000235051-0j -2.03463e-07-0j -0.00035588-0j 2.0459e-06-0j 2.8047e-08-0j 3.28367e-07-0j 4.21149e-05-0j -0.000559337-0j 5.19944e-07-0j -2.60725e-07-0j 0.000636551-0j -0.000789881-0j -3.02156e-05-0j -2.6558e-16-0j -1.21975e-08-0j -2.13348e-05-0j -0.014643-0j -6.89483e-11-0j -9.70893e-06-0j -3.81366e-07-0j 2.80876e-08-0j -0.000404926-0j 5.50864e-05-0j 3.07022e-06-0j 0.00537016-0j 0.00012034-0j 1.65854e-07-0j -7.97326e-07-0j 0.0737704-0j 1.06979e-09-0j -1.01082e-08-0j 4.58345e-06-0j 0.00280974-0j 3.97896e-06-0j -3.01282e-05-0j -1.15084e-06-0j 4.09668e-11-0j -1.50569e-08-0j 4.14021e-12-0j -4.56157e-05-0j 0.000212022-0j -3.11616e-12-0j 1.8543e-07-0j 0.000324339-0j 
-3.8931e-12-0j 1.38021e-10-0j -2.42583e-09-0j 2.01523e-08-0j -4.37063e-08-0j 6.71211e-07-0j -1.31542e-05-0j 8.62154e-05-0j 3.30285e-06-0j -0.0148577-0j 0.0644467-0j 0.0122727-0j 2.60769e-08-0j -3.75215e-07-0j 1.15084e-06-0j -0.000926787-0j -6.14956e-05-0j -8.74774e-06-0j -3.16868e-07-0j 2.93706e-06-0j 1.37804e-07-0j 0.00441655-0j -1.48135e-06-0j 3.29329e-06-0j -1.4285e-05-0j 0.000539752-0j -2.66836e-05-0j -1.77055e-06-0j 0.000132986-0j 3.32403e-08-0j 9.76592e-07-0j -2.17863e-07-0j -8.34618e-09-0j -1.78529e-09-0j 0.000106812-0j -9.93626e-06-0j -0.000463307-0j 0.00615338-0j 1.81544e-13-0j 1.65602e-06-0j 1.09883e-07-0j 2.48836e-05-0j 2.35248e-08-0j 8.27395e-09-0j -3.38494e-07-0j 0.00131624-0j 1.03821e-06-0j 2.45523e-10-0j -0.000836086-0j -5.54773e-05-0j -0.0122003-0j -1.11605e-05-0j -9.44961e-07-0j -0.000572424-0j -2.91752e-07-0j 1.57784e-10-0j 2.70426e-06-0j 1.26881e-07-0j 0.0924622-0j 0.00406648-0j -1.36393e-06-0j -3.929e-08-0j 3.07527e-06-0j -1.69613e-09-0j -1.33393e-05-0j 0.000504019-0j -7.40237e-12-0j -2.51753e-05-0j -1.67047e-06-0j 
