-0.0510762-0j -0.00737222-0j -0.0420036-0j -0.00742525-0j -0.000618771-0j -0.0256411-0j -0.0259069-0j -0.00427352-0j -0.00261699-0j -0.00431781-0j -0.00053419-0j -0.00264411-0j -0.000539726-0j -3.14775e-05-0j -3.18037e-05-0j -0.0186669-0j -0.0230991-0j -0.0134745-0j -0.00301236-0j -0.00245958-0j -0.0037276-0j -0.00035501-0j -0.00217444-0j -0.000307448-0j -0.00304358-0j -0.000439302-0j -0.00177542-0j -3.6233e-05-0j -0.000380447-0j -0.00025626-0j -1.6538e-06-0j -0.000221927-0j -4.48361e-05-0j -2.61544e-05-0j -2.04648e-06-0j -1.19378e-06-0j 0.0436616-0j -0.0171631-0j -0.0105102-0j 0.00690351-0j -0.0150177-0j -0.00619448-0j 0.0054577-0j -0.00271372-0j 0.00363847-0j 0.000787751-0j -0.00166181-0j -0.0023745-0j 0.000909617-0j -0.00214538-0j -0.000979433-0j -0.00143026-0j 0.000321598-0j -0.00131377-0j 7.58014e-05-0j -0.000309659-0j -0.000875849-0j 8.03995e-05-0j -0.000189627-0j -0.00187721-0j -0.00125147-0j -0.000357564-0j -0.000270952-0j -0.00077431-0j 6.69996e-06-0j -0.000218962-0j -0.000126418-0j -0.000516206-0j -2.9797e-05-0j -0.000111762-0j 2.49693e-07-0j -7.74148e-05-0j -0.000312868-0j -3.16045e-05-0j -1.82469e-05-0j -0.000110616-0j -1.93537e-05-0j -0.000129052-0j -2.63371e-06-0j -2.60724e-05-0j -2.76539e-05-0j -1.61281e-06-0j -4.56266e-05-0j -1.07543e-05-0j -9.81524e-08-0j -2.30449e-06-0j -6.01058e-08-0j -1.14067e-05-0j -8.58834e-08-0j -9.50555e-07-0j -3.54251e-08-0j 
0.00139824-0j -0.0192338-0j -0.00449988-0j 0.0375074-0j 0.00950944-0j 0.000701942-0j 0.00743701-0j -0.00551622-0j 7.16417e-05-0j -0.0584438-0j -0.00139368-0j 0.000759036-0j -0.0147659-0j -0.000165108-0j -0.00174931-0j 0.000511018-0j -0.00247463-0j -0.00469806-0j -0.00388832-0j 6.73326e-05-0j 0.0188294-0j -0.000926204-0j 0.0357474-0j -0.00039685-0j -0.000326061-0j 0.00448519-0j -0.000619024-0j -0.000142291-0j 0.00192177-0j 0.00851509-0j -1.08547e-05-0j 0.00364845-0j 0.000689053-0j 0.00130816-0j 5.25642e-05-0j 9.97926e-05-0j 0.000402728-0j -0.0018387-0j 0.000287723-0j -0.00300243-0j 0.00431108-0j -0.00315732-0j 5.0341e-05-0j 0.0137079-0j 3.35607e-05-0j -0.000692474-0j -0.00214504-0j -0.0321401-0j -0.000395605-0j -0.000229837-0j 0.0235385-0j -0.000153225-0j 2.96637e-06-0j 3.59654e-05-0j -0.0001003-0j 0.00316156-0j 2.39769e-05-0j -7.06754e-05-0j -0.000494728-0j 0.000538885-0j 0.000359257-0j 0.00180617-0j -0.00741273-0j -0.000394664-0j -1.1841e-05-0j -0.000282634-0j -1.35433e-05-0j -0.00026311-0j 0.000457928-0j 0.00542887-0j -6.63085e-07-0j 2.11928e-06-0j -0.00423483-0j 0.000322675-0j -7.16575e-05-0j 3.17541e-05-0j -5.04929e-05-0j 0.00310147-0j 5.40614e-05-0j -0.00107368-0j -0.000756558-0j -8.45964e-06-0j -2.32558e-05-0j 0.000786331-0j 3.02738e-06-0j -0.000126755-0j -4.73731e-07-0j 0.000554082-0j -7.09812e-06-0j 9.28315e-05-0j 5.19847e-06-0j 
-0.40438-0j 0.000610503-0j 0.00347837-0j -0.0587871-0j 5.12413e-05-0j 0.00212338-0j 0.00214538-0j 0.000353896-0j -0.0416551-0j 0.000357564-0j -0.00422929-0j -0.0420868-0j -0.00427311-0j 2.60669e-06-0j 2.63371e-06-0j 0.00154583-0j 0.00191287-0j 0.00111584-0j 0.000249458-0j -0.019473-0j 0.000308688-0j 2.93989e-05-0j 0.000180068-0j -0.0048937-0j -0.0240966-0j 3.63792e-05-0j -0.0140563-0j -0.000286864-0j -0.00605565-0j 2.12212e-05-0j 1.36954e-07-0j -0.00353246-0j -0.000354976-0j -0.000207069-0j 1.69472e-07-0j 9.88585e-08-0j 0.00121825-0j 0.0014213-0j 0.000870363-0j 0.000192623-0j 0.00124363-0j 0.000512973-0j -0.0145589-0j 0.000224727-0j 0.000101521-0j 2.198e-05-0j 0.000137616-0j 0.000196636-0j -0.00242649-0j -0.0169854-0j 8.11082e-05-0j 0.000118441-0j -0.00259162-0j -0.0104014-0j 2.11502e-06-0j 2.56433e-05-0j 7.25302e-05-0j -0.000431189-0j 1.57033e-05-0j -0.0148622-0j 0.000103636-0j -0.0028309-0j 2.24379e-05-0j -0.00613035-0j -1.78728e-05-0j -0.00173357-0j -0.00302356-0j 4.27478e-05-0j 2.46753e-06-0j 9.25516e-06-0j 6.96698e-09-0j -0.00185155-0j -0.00247704-0j -0.000503054-0j 1.51105e-06-0j -0.00264562-0j -0.000308057-0j -0.00102173-0j -2.08515e-05-0j 2.15909e-06-0j -0.000440173-0j -1.27689e-05-0j -0.00109126-0j 8.90578e-07-0j 8.12814e-09-0j -1.82451e-05-0j 4.97745e-09-0j -0.000181562-0j 7.11212e-09-0j -7.52572e-06-0j 2.9336e-09-0j 
-0.000610503-0j -0.391726-0j -0.00050206-0j 0.00845829-0j -0.100758-0j -0.000306483-0j -0.000309659-0j 0.00486808-0j -3.12803e-05-0j 0.00491853-0j -0.0283844-0j -3.16045e-05-0j -0.0286786-0j -0.0103234-0j -0.0104304-0j -0.000223122-0j -0.000276099-0j -0.000161058-0j 0.00343146-0j -2.93989e-05-0j 0.00424621-0j -0.0188636-0j 0.00247696-0j 0.000350222-0j -3.63792e-05-0j -0.0233425-0j -2.12212e-05-0j -0.00590003-0j 0.000433377-0j -0.0136165-0j -0.000907133-0j 0.000252803-0j -0.00730091-0j -0.00425887-0j -0.00112252-0j -0.000654803-0j -0.00017584-0j -0.000205147-0j -0.000125626-0j 0.00264966-0j -0.000179503-0j -7.40413e-05-0j -2.198e-05-0j 0.00309127-0j -1.46533e-05-0j -0.0141033-0j 0.00189301-0j 0.00270486-0j 0.000349123-0j -2.56433e-05-0j 0.0011157-0j -1.70955e-05-0j -1.29518e-06-0j -1.57033e-05-0j -0.00415887-0j -0.0164539-0j -1.04688e-05-0j -0.00143941-0j -0.0100759-0j -2.24379e-05-0j -1.49586e-05-0j 0.00040731-0j -0.0143971-0j -9.25516e-06-0j -0.00074036-0j 0.000249426-0j -1.51105e-06-0j -6.17011e-06-0j -0.00485201-0j -0.00593852-0j -6.93649e-05-0j -9.25323e-07-0j 0.000356396-0j -0.00167932-0j -0.00297124-0j -1.32217e-06-0j -0.00102837-0j 0.000147006-0j -0.000863754-0j -0.00424551-0j -0.0014694-0j -0.000528939-0j -5.45366e-07-0j -0.00175118-0j -8.09257e-05-0j -0.000755785-0j -4.95567e-05-0j -0.000606098-0j -7.081e-05-0j -0.000311745-0j -2.92076e-05-0j 
0.447567-0j -0.000675703-0j -6.6702e-05-0j 0.00112731-0j -9.82613e-07-0j -0.00235015-0j 0.00229222-0j -0.000391692-0j 0.0461037-0j 0.000382037-0j 0.00468096-0j -0.0449674-0j -0.00456559-0j -2.88508e-06-0j 2.81397e-06-0j -0.00171092-0j -3.66816e-05-0j 0.00240583-0j -0.000276099-0j 0.0215526-0j -5.91946e-06-0j -3.25386e-05-0j 0.000388238-0j 0.00541634-0j 0.00046208-0j -6.97615e-07-0j -0.0303064-0j 0.0003175-0j 0.000116124-0j 4.57543e-05-0j -1.5158e-07-0j -0.00761622-0j 6.80709e-06-0j -0.000446455-0j -3.24982e-09-0j 2.13145e-07-0j -0.00134836-0j -2.72551e-05-0j -0.000963315-0j -0.000213195-0j 0.00132875-0j 0.00166392-0j 0.0161138-0j -4.3094e-06-0j -0.000112363-0j -2.43274e-05-0j -0.000152314-0j 0.000210095-0j 0.00268563-0j 0.000325715-0j 0.00026309-0j -2.27126e-06-0j 0.0028684-0j 0.0115122-0j -2.3409e-06-0j -4.91741e-07-0j -8.02763e-05-0j 0.000477239-0j -1.73803e-05-0j -0.0158795-0j 0.00011073-0j 5.42859e-05-0j 2.39737e-05-0j -0.019885-0j 1.97815e-05-0j 0.0019187-0j 5.79804e-05-0j 0.00013866-0j -4.73178e-08-0j 3.00208e-05-0j -7.71103e-09-0j 0.00204928-0j -0.00264658-0j 9.64667e-06-0j -1.67242e-06-0j -0.00282669-0j 0.000340956-0j -0.00331416-0j 3.99853e-07-0j 2.30687e-06-0j -0.0004703-0j 1.41326e-05-0j -0.00353971-0j 2.88876e-06-0j -1.55867e-10-0j -1.94939e-05-0j -5.50902e-09-0j -0.00058893-0j 7.59891e-09-0j -2.44111e-05-0j 9.51568e-09-0j 
0.000675703-0j 0.433561-0j 9.6276e-06-0j -0.000162198-0j 0.00193215-0j 0.000339215-0j -0.000330854-0j -0.00538798-0j 3.4621e-05-0j 0.00525518-0j 0.0314158-0j -3.37676e-05-0j -0.0306415-0j 0.0114259-0j -0.0111443-0j 0.00024695-0j 5.29453e-06-0j -0.000347251-0j -0.00379793-0j 3.25386e-05-0j -8.14262e-05-0j 0.0208782-0j 0.00534048-0j -0.000387624-0j 6.97615e-07-0j 0.000447621-0j -4.57543e-05-0j 0.00653014-0j -8.31052e-06-0j -0.029358-0j 0.00100401-0j 0.00054506-0j 0.000140004-0j -0.0091824-0j 2.15257e-05-0j -0.0014118-0j 0.000194619-0j 3.93393e-06-0j 0.000139043-0j -0.00293263-0j -0.000191789-0j -0.000240167-0j 2.43274e-05-0j -5.92787e-05-0j 1.62183e-05-0j 0.0156095-0j -0.00209517-0j 0.00288999-0j -0.000386408-0j 4.91741e-07-0j 0.00361897-0j 3.27828e-07-0j 1.4335e-06-0j 1.73803e-05-0j 0.00460302-0j 0.000315523-0j 1.15869e-05-0j 0.00159314-0j 0.011152-0j -2.39737e-05-0j -1.59824e-05-0j -7.81066e-06-0j -0.0153826-0j -3.00208e-05-0j 0.000819429-0j -0.000276063-0j 2.89761e-08-0j -2.00139e-05-0j 9.30431e-05-0j -0.0192627-0j 7.67728e-05-0j 1.02415e-06-0j 0.00038079-0j 3.22029e-05-0j 0.00328856-0j -1.41266e-06-0j 0.00113819-0j 0.000476841-0j 1.65635e-05-0j -0.00453609-0j -0.00156998-0j 0.000585428-0j -1.769e-06-0j -0.00568029-0j 1.55185e-06-0j -0.000807514-0j 5.48492e-05-0j -0.00196599-0j -7.56565e-05-0j -0.0010112-0j -9.47404e-05-0j 
0.353833-0j -0.00053419-0j -0.00304358-0j 0.0514387-0j -4.48361e-05-0j 0.00180506-0j -0.00187721-0j 0.000300844-0j -0.0354106-0j -0.000312868-0j -0.00359528-0j 0.0368259-0j 0.00373898-0j 2.21593e-06-0j -2.30449e-06-0j -0.0013526-0j 0.00162611-0j -0.000976361-0j -0.000218275-0j 0.0170388-0j 0.000262413-0j -2.5724e-05-0j -0.00015756-0j 0.00428199-0j -0.0204843-0j 3.09257e-05-0j 0.0122993-0j 0.000251006-0j -0.00514785-0j -1.85686e-05-0j -1.19835e-07-0j 0.0030909-0j -0.000301762-0j 0.000181186-0j 1.44066e-07-0j -8.65012e-08-0j 0.00316372-0j -0.00124363-0j 0.00224134-0j 0.000500228-0j 0.0010572-0j -0.000448851-0j -0.0378085-0j -0.000196636-0j 0.000263643-0j 5.70804e-05-0j 0.000354387-0j 0.000167158-0j -0.00630141-0j 0.0148622-0j -7.09697e-05-0j -0.000103636-0j -0.00673026-0j -0.0267855-0j 5.49257e-06-0j -2.24379e-05-0j 0.000186779-0j -0.00111977-0j 4.04387e-05-0j -0.0126342-0j 8.81002e-05-0j 0.00247704-0j 1.90743e-05-0j 0.00536406-0j -4.64143e-05-0j -0.00446424-0j 0.00264562-0j -3.74043e-05-0j -2.15909e-06-0j -8.09827e-06-0j 1.80927e-08-0j -0.00476806-0j -0.00210571-0j 0.000440173-0j 3.89122e-06-0j -0.00224901-0j -0.000793302-0j 0.00089401-0j 1.82451e-05-0j 1.83542e-06-0j -0.000374187-0j -3.28823e-05-0j 0.000954853-0j -7.79256e-07-0j -7.11212e-09-0j -1.551e-05-0j 1.28178e-08-0j 0.000158867-0j 6.04595e-09-0j 6.58501e-06-0j -2.5669e-09-0j 
0.235888-0j -0.000356127-0j -0.00202905-0j 0.0342925-0j -2.98907e-05-0j -0.00123864-0j -0.00125147-0j -0.00020644-0j 0.0242988-0j -0.000208579-0j 0.00246708-0j 0.0245506-0j 0.00249265-0j -1.52057e-06-0j -1.53633e-06-0j 0.00444845-0j -0.00111584-0j -0.000650907-0j 0.000717865-0j -0.0560374-0j -0.000180068-0j 8.46012e-05-0j -0.00010504-0j -0.0140826-0j 0.0140563-0j -2.12212e-05-0j 0.00819953-0j -0.000825509-0j 0.00353246-0j -1.2379e-05-0j 3.94113e-07-0j 0.0020606-0j 0.000207069-0j 0.00012079-0j -9.88585e-08-0j -5.76675e-08-0j -0.000710648-0j 0.00409007-0j -0.000507712-0j -0.000112363-0j -0.000725454-0j -0.000299234-0j 0.0084927-0j 0.000646697-0j -5.92207e-05-0j -1.28217e-05-0j -8.02763e-05-0j -0.000114704-0j 0.00141545-0j -0.048879-0j -4.73131e-05-0j 0.000340839-0j 0.00151178-0j 0.00606748-0j -1.23376e-06-0j 7.37939e-05-0j -4.23093e-05-0j 0.000251527-0j -9.16023e-06-0j 0.00866963-0j -6.04545e-05-0j -0.00814649-0j -1.30888e-05-0j 0.00357604-0j 1.04258e-05-0j 0.00101125-0j -0.00870091-0j -2.49362e-05-0j 7.10082e-06-0j -5.39884e-06-0j -4.06407e-09-0j 0.00108007-0j 0.00144494-0j -0.00144764-0j -8.81444e-07-0j 0.00154328-0j 0.0001797-0j 0.000596007-0j -6.00046e-05-0j -1.25947e-06-0j 0.000256767-0j 7.44853e-06-0j 0.000636569-0j -5.19504e-07-0j 2.33904e-08-0j 1.0643e-05-0j -2.90351e-09-0j 0.000105911-0j -4.14874e-09-0j 4.39e-06-0j -1.71127e-09-0j 
0.00053419-0j 0.34276-0j 0.000439302-0j -0.00740101-0j 0.0881632-0j -0.000260539-0j 0.000270952-0j 0.00413831-0j -2.65911e-05-0j -0.00430371-0j -0.0241293-0j 2.76539e-05-0j 0.0250938-0j -0.00877582-0j 0.00912658-0j 0.000195231-0j -0.000234709-0j 0.000140926-0j -0.00300252-0j 2.5724e-05-0j 0.00360966-0j 0.0165057-0j -0.00216734-0j -0.000306444-0j -3.09257e-05-0j -0.0198433-0j 1.85686e-05-0j 0.00516253-0j 0.00036841-0j 0.0119144-0j 0.000793741-0j -0.000221203-0j -0.00620644-0j 0.00372651-0j -0.000954244-0j 0.000572953-0j -0.000456643-0j 0.000179503-0j -0.00032351-0j 0.00688097-0j -0.000152594-0j 6.47861e-05-0j -5.70804e-05-0j -0.00270486-0j -3.80536e-05-0j -0.0366253-0j 0.00487484-0j 0.00229938-0j 0.000906647-0j 2.24379e-05-0j -0.000976235-0j 1.49586e-05-0j -3.3635e-06-0j -4.04387e-05-0j -0.0108003-0j 0.0143971-0j -2.69592e-05-0j -0.00373806-0j -0.0259473-0j -1.90743e-05-0j -1.27162e-05-0j -0.000356396-0j -0.0122389-0j 8.09827e-06-0j -0.00192266-0j 0.000642316-0j 1.32217e-06-0j 5.39884e-06-0j 0.00424551-0j 0.0051962-0j -0.000180136-0j -2.38288e-06-0j 0.000302969-0j 0.0014694-0j -0.00765147-0j -1.12396e-06-0j -0.00264823-0j -0.00012863-0j 0.000755785-0j -0.00360907-0j -0.00124913-0j -0.00136211-0j 4.77195e-07-0j 0.00153228-0j 7.081e-05-0j -0.000642486-0j -0.000127617-0j 0.000530335-0j -6.01949e-05-0j 0.000272777-0j 2.55567e-05-0j 
-0.357499-0j 0.000539726-0j -0.00296856-0j 0.0501709-0j -4.3731e-05-0j 0.00187721-0j -0.00189552-0j 0.000312868-0j -0.0368259-0j -0.000315921-0j -0.00373898-0j 0.0371852-0j 0.00377545-0j 2.30449e-06-0j -2.32698e-06-0j 0.00136662-0j -0.00163251-0j 0.000885706-0j 0.000220537-0j -0.0172154-0j -0.000263445-0j 2.59906e-05-0j 0.00014293-0j -0.00432636-0j 0.0205648-0j -3.10472e-05-0j -0.0111573-0j -0.000253607-0j 0.00516809-0j 1.68445e-05-0j 1.21076e-07-0j -0.00280391-0j 0.000302948-0j -0.000164363-0j -1.44633e-07-0j 7.84696e-08-0j -0.0031965-0j -0.00121298-0j 0.00076946-0j -0.000505412-0j -0.0010988-0j 0.00214343-0j 0.0382003-0j -0.000191789-0j -0.000266375-0j -5.7672e-05-0j 0.000121662-0j -0.000173735-0j 0.00636671-0j 0.0144959-0j 0.000338906-0j -0.000101082-0j 0.0068-0j -0.00919553-0j -5.54949e-06-0j -2.18849e-05-0j 6.41216e-05-0j 0.00113137-0j 1.38827e-05-0j 0.0131313-0j -9.15664e-05-0j 0.00241598-0j -1.98247e-05-0j -0.0256154-0j 4.68952e-05-0j -0.00153259-0j 0.00258041-0j 0.000178619-0j -2.10587e-06-0j 3.86722e-05-0j -1.82802e-08-0j -0.00163689-0j 0.00218855-0j 0.000429323-0j 1.33587e-06-0j 0.0023375-0j -0.000272343-0j -0.00426923-0j 1.77954e-05-0j -1.90763e-06-0j 0.000388909-0j -1.12886e-05-0j -0.00455978-0j 3.72123e-06-0j -6.93682e-09-0j 1.61202e-05-0j 4.4004e-09-0j -0.000758647-0j -6.28382e-09-0j -3.14458e-05-0j 1.22579e-08-0j 
0.000356127-0j 0.228507-0j 0.000292868-0j -0.00493401-0j 0.0587755-0j 0.000178782-0j 0.000180635-0j -0.00283971-0j 1.82469e-05-0j -0.00286914-0j 0.0165576-0j 1.84359e-05-0j 0.0167292-0j 0.00602198-0j 0.00608439-0j -0.000642078-0j 0.000161058-0j 9.39503e-05-0j 0.00987472-0j -8.46012e-05-0j -0.00247696-0j -0.0542839-0j -0.00144489-0j 0.00100783-0j 2.12212e-05-0j 0.0136165-0j 1.2379e-05-0j -0.0169785-0j -0.000252803-0j 0.00794294-0j -0.00261046-0j -0.000147469-0j 0.00425887-0j 0.00248434-0j 0.000654803-0j 0.000381969-0j 0.000102573-0j -0.000590351-0j 7.32819e-05-0j -0.00154563-0j 0.00010471-0j 4.31908e-05-0j 1.28217e-05-0j 0.00889575-0j 8.54777e-06-0j 0.00822694-0j -0.00110425-0j -0.00157783-0j -0.000203655-0j -7.37939e-05-0j -0.000650823-0j -4.91959e-05-0j 7.55523e-07-0j 9.16023e-06-0j 0.002426-0j -0.0473494-0j 6.10682e-06-0j 0.000839658-0j 0.00587761-0j 1.30888e-05-0j 8.72585e-06-0j 0.00117212-0j 0.00839833-0j 5.39884e-06-0j 0.000431877-0j -0.000145498-0j -4.34835e-06-0j 3.59923e-06-0j -0.0139626-0j 0.00346414-0j 4.04628e-05-0j 5.39772e-07-0j -0.000207898-0j -0.00483258-0j 0.00173322-0j 7.71263e-07-0j 0.000599881-0j -8.57535e-05-0j -0.00248563-0j 0.00247655-0j 0.000857151-0j 0.000308548-0j 3.1813e-07-0j 0.00102152-0j -0.00023288-0j 0.000440874-0j 2.89081e-05-0j 0.000353557-0j 4.13058e-05-0j 0.000181851-0j 1.70378e-05-0j 
-0.000539726-0j -0.346312-0j 0.000428475-0j -0.00721859-0j 0.0859902-0j -0.000270952-0j 0.000273595-0j 0.00430371-0j -2.76539e-05-0j -0.0043457-0j -0.0250938-0j 2.79237e-05-0j 0.0253386-0j -0.00912658-0j 0.00921562-0j -0.000197255-0j 0.000235632-0j -0.000127841-0j 0.00303364-0j -2.59906e-05-0j -0.00362386-0j -0.0166767-0j 0.0019661-0j 0.000309619-0j 3.10472e-05-0j 0.0199213-0j -1.68445e-05-0j -0.00521603-0j -0.000369858-0j -0.0108082-0j -0.000801967-0j 0.000200664-0j 0.00623084-0j -0.0033805-0j 0.000957996-0j -0.000519754-0j 0.000461376-0j 0.000175079-0j -0.000111062-0j -0.00695228-0j 0.000158598-0j -0.000309378-0j 5.7672e-05-0j -0.00263819-0j 3.8448e-05-0j 0.0370049-0j 0.00167355-0j -0.00238984-0j -0.000916043-0j 2.18849e-05-0j 0.00466188-0j 1.45899e-05-0j 3.39835e-06-0j -1.38827e-05-0j 0.0109122-0j 0.0140423-0j -9.25516e-06-0j 0.00377679-0j -0.00890778-0j 1.98247e-05-0j 1.32165e-05-0j -0.000347612-0j 0.0127204-0j -3.86722e-05-0j 0.00194259-0j 0.000220509-0j 1.28958e-06-0j -2.57815e-05-0j 0.00414087-0j -0.0248138-0j 0.000182002-0j -8.18048e-07-0j -0.000314889-0j 0.00143318-0j -0.00262677-0j 1.16818e-06-0j -0.000909146-0j 0.000614257-0j 0.000737156-0j 0.00375106-0j 0.00129827-0j -0.000467618-0j -2.27878e-06-0j -0.00731722-0j 6.90647e-05-0j 0.000667764-0j -4.38114e-05-0j -0.00253255-0j 6.25632e-05-0j -0.00130261-0j -0.000122043-0j 
-0.412805-0j 0.000623222-0j 6.15213e-05-0j -0.00103976-0j 9.06294e-07-0j -0.00210591-0j -0.00211419-0j -0.000350985-0j 0.0413124-0j -0.000352365-0j 0.00419449-0j 0.0414748-0j 0.00421098-0j -2.58525e-06-0j -2.59541e-06-0j -0.00310337-0j -3.28694e-05-0j -0.00221897-0j -0.000500805-0j 0.0390934-0j -5.30428e-06-0j -5.90204e-05-0j -0.000358084-0j 0.00982447-0j 0.000414058-0j -6.25115e-07-0j 0.0279525-0j 0.000575901-0j 0.000104056-0j -4.22006e-05-0j -2.74945e-07-0j 0.00702467-0j 6.09966e-06-0j 0.000411779-0j -2.91208e-09-0j -1.96591e-07-0j 0.00124363-0j -4.94369e-05-0j -0.0026149-0j 0.000196636-0j 0.00119066-0j -0.00153469-0j -0.0148622-0j -7.81665e-06-0j 0.000103636-0j 2.24379e-05-0j -0.000413452-0j 0.00018826-0j -0.00247704-0j 0.000590802-0j -0.000242656-0j -4.11974e-06-0j -0.00264562-0j 0.0312497-0j 2.15909e-06-0j -8.9195e-07-0j -0.000217908-0j -0.000440173-0j -4.71785e-05-0j -0.0142292-0j 9.92219e-05-0j 9.8467e-05-0j 2.14822e-05-0j 0.0183405-0j -1.82451e-05-0j 0.00520829-0j 0.000105168-0j -0.000127891-0j -8.58279e-08-0j -2.76892e-05-0j 7.11212e-09-0j 0.00556274-0j -0.00237153-0j 1.74977e-05-0j -4.53976e-06-0j -0.00253293-0j 0.000925519-0j 0.00305675-0j 7.25278e-07-0j 2.06712e-06-0j -0.000421424-0j 3.83626e-05-0j 0.00326478-0j -2.66439e-06-0j -2.8272e-10-0j -1.7468e-05-0j -1.49541e-08-0j 0.000543188-0j 6.80919e-09-0j 2.25151e-05-0j -8.77661e-09-0j 
-0.145948-0j 0.000220342-0j 0.00125541-0j -0.0212174-0j 1.8494e-05-0j -0.00376639-0j 0.00077431-0j -0.000627731-0j 0.0738866-0j 0.000129052-0j 0.00750179-0j -0.0151899-0j -0.00154225-0j -4.62368e-06-0j 9.50555e-07-0j 0.00055792-0j -0.00339299-0j 0.000402728-0j 9.0034e-05-0j -0.00702816-0j -0.000547542-0j 1.06106e-05-0j 6.499e-05-0j -0.00176623-0j 0.0427418-0j -6.45285e-05-0j -0.0050732-0j -0.000103535-0j 0.0107413-0j 7.65914e-06-0j 4.94293e-08-0j -0.00127493-0j 0.000629646-0j -7.47353e-05-0j -3.00604e-07-0j 3.56799e-08-0j 0.000439691-0j 0.000512973-0j 0.00392426-0j 6.95213e-05-0j -0.00220592-0j 0.000185142-0j -0.00525459-0j 8.11082e-05-0j 3.66409e-05-0j 7.933e-06-0j 0.00062048-0j -0.000348787-0j -0.000875765-0j -0.00613035-0j 2.92735e-05-0j 4.27478e-05-0j -0.000935366-0j -0.0468974-0j 7.63353e-07-0j 9.25516e-06-0j 0.000327022-0j -0.000155624-0j 7.08023e-05-0j 0.0263622-0j -0.000183827-0j -0.00102173-0j -3.97997e-05-0j -0.00221256-0j -6.45062e-06-0j -0.00781623-0j -0.00109126-0j 1.54285e-05-0j 8.90578e-07-0j 3.34036e-06-0j 2.51451e-09-0j -0.00834818-0j 0.0043937-0j -0.000181562-0j 6.81295e-06-0j 0.00469272-0j -0.00138895-0j -0.00036876-0j -7.52572e-06-0j -3.82973e-06-0j 0.000780766-0j -5.7572e-05-0j -0.000393857-0j 3.21427e-07-0j 2.9336e-09-0j 3.23627e-05-0j 2.24421e-08-0j -6.55292e-05-0j -1.26153e-08-0j -2.71618e-06-0j 1.05879e-09-0j 
-0.000623222-0j -0.399887-0j -8.87983e-06-0j 0.0001496-0j -0.00178209-0j 0.000303962-0j 0.000305157-0j -0.00482803-0j 3.1023e-05-0j -0.00484701-0j 0.0281509-0j 3.11449e-05-0j 0.0282616-0j 0.0102385-0j 0.0102787-0j 0.000447933-0j 4.74429e-06-0j 0.00032028-0j -0.0068889-0j 5.90204e-05-0j -7.29639e-05-0j 0.0378701-0j -0.00492569-0j -0.000703096-0j 6.25115e-07-0j 0.000401101-0j 4.22006e-05-0j 0.0118448-0j -7.44685e-06-0j 0.0270778-0j 0.00182114-0j -0.000502726-0j 0.000125454-0j 0.00846921-0j 1.92886e-05-0j 0.00130215-0j -0.000179503-0j 7.1356e-06-0j 0.000377428-0j 0.00270486-0j -0.000171857-0j 0.000221513-0j -2.24379e-05-0j -0.000107523-0j -1.49586e-05-0j -0.0143971-0j -0.00568731-0j 0.00258965-0j 0.000356396-0j 8.9195e-07-0j -0.00333789-0j 5.94633e-07-0j -1.32217e-06-0j 4.71785e-05-0j -0.00424551-0j 0.000572314-0j 3.14524e-05-0j -0.0014694-0j 0.0302718-0j -2.14822e-05-0j -1.43215e-05-0j -1.41674e-05-0j -0.0137839-0j 2.76892e-05-0j -0.000755785-0j -0.000749369-0j 5.25586e-08-0j 1.84594e-05-0j 0.000168767-0j 0.0177666-0j -7.081e-05-0j 2.78002e-06-0j 0.000341216-0j 5.84116e-05-0j 0.00892672-0j -1.26585e-06-0j 0.0030896-0j -0.000439806-0j 3.00439e-05-0j -0.00406467-0j -0.00140681-0j 0.00158913-0j 1.6316e-06-0j 0.00523911-0j 2.81483e-06-0j -0.000723593-0j 0.000148887-0j 0.00181329-0j -6.77939e-05-0j 0.000932665-0j 8.7382e-05-0j 
