-0.233536-0.034708j 0.134055+0.156716j -0.0719909-0.00347119j -0.087567+0.0225589j 0.0439304+0.104624j 0.0454344+0.0993894j 0.0755194+0.0177391j 0.0116668+0.0546439j -0.0253712-0.0509566j 0.0297241+0.0526588j 0.019553-0.0195781j -0.0206218-0.000960158j -0.00461432-0.0136605j -0.00499853-0.0346055j 0.0150795+0.0148364j -0.00856155+0.00882718j -0.00903455-0.0201604j 0.0232871+0.0310894j -0.0378076-0.0137048j -0.00730389+0.00470647j -0.012026-0.0560268j -0.0013174+0.00486909j 0.0158806+0.031336j 0.011247-0.000259345j -0.00680749-0.00412467j -0.00803402-0.0136895j 0.00740566+0.00804882j -0.0033828-0.00833555j -0.00526206+0.000926714j 0.0069851+0.00554167j -0.00732095-0.00154383j -0.01919+0.00894579j -0.0154123-0.014779j 0.0119314-0.0157532j 0.00552144+0.0111962j -0.0268369-0.00437301j 0.0221637-0.00432889j 0.00546336-0.00720364j 0.0105987+0.0331863j -0.0330357-0.050769j 
0.00176089+0.0852527j -0.106336-0.0147052j 0.145694+0.00460898j 0.0554783+0.00710056j 0.0890251-0.00947891j 0.0513884+0.0742555j -0.0315843-0.0392857j 0.0469959-0.0178249j -0.0664632+0.0152437j 0.0161804-0.012863j 0.00824167+0.0376863j 0.000212247-0.00614884j 0.00157494+0.00894766j -0.0104799-0.00479644j -0.0236319+0.02585j -0.0242846-0.0164771j 0.0202213-0.00298784j 0.013761-0.0437911j 0.0047126+0.026928j 0.00648221+0.000658213j -0.00347242-0.0130453j 0.00289775-0.00603525j 0.0140603-0.0164202j -0.0111045-0.0114342j 0.000978057-0.024225j -0.022515+0.0110722j -0.0171632+0.014344j 0.00929852+0.0126215j 0.00483309+0.00535252j -0.00999548+0.00453176j 0.00397137+0.0152868j -0.0150317+0.0076077j -0.0129933+0.00104839j -0.000872024+0.00657586j -0.00598211-0.00227507j 0.00597409-0.011851j -0.00512216+0.00760774j 0.0020693+0.00615649j -0.011324-0.0172662j -0.00745747-0.0114057j 
-0.0737862+0.0352878j -0.175367-0.131601j 0.161253+0.0765837j 0.111036+0.0434089j -0.0401573+0.143656j -0.155002+0.0428288j -0.0480112-0.0816645j 0.0437194-0.0664131j 0.0473634-0.0532728j -0.0317879-0.0150384j -0.0104196-0.0120352j 0.00925288+0.00535548j -0.0214508+0.0206522j 0.00647713-0.0233687j -0.0381967+0.00015022j 0.00675869-0.0192502j 0.0204906+0.054798j -0.043369-0.0231877j 0.019692+0.0156486j 0.000960608+0.0137829j 0.00062028-0.0121324j -0.00193486+0.0111969j -0.00633362+0.0251166j 0.00203125+0.00127243j 0.0177594-0.00079929j 0.0115536+0.00122546j 0.00698849-0.012442j 0.0126652-0.0122212j 0.00934973-0.00976203j 0.0149485-0.0140372j 0.0208864-0.0153612j 0.0013356+0.0200875j -0.0036331+0.0306112j -0.0243453-0.0129733j -0.0307411-0.00299183j 0.0264697+0.0179087j -0.0194926-0.0248276j -0.0102952-0.00511377j -0.00419784-0.0100142j 0.00373858-0.0154292j 
0.0472943-0.0468829j -0.258259-0.106057j 0.177949+0.0892295j 0.005721+0.0259551j -0.0347104-0.018102j 0.159833-0.118513j 0.0107852-0.0164007j -0.0198419+0.0330214j -0.00821896+0.00817096j 0.00937317-0.0231548j 0.0206228-0.0191622j 0.000986242-0.00642897j 0.00758556+0.0150687j 0.00393322+0.0103856j 0.0144012+0.00880202j 0.00449643+0.00762389j -0.000663281+0.0154404j -0.0378562+0.00566635j -0.00967537+0.00776618j -0.0068856-0.0061401j 0.0105647+0.012571j -0.000854969+0.00527808j -0.00193584-0.00901627j 0.0265776-0.00151515j -0.00366438+0.0338527j 0.00670645+0.00427164j -0.00998251-0.0183467j -0.0172454-0.00580999j 0.000951256+0.0213651j 0.00236917-0.0117314j -0.0271475+0.0103127j -0.0033594+0.000218191j 0.012423-0.0106377j 0.00714918+0.0101414j 0.0143299+0.0174993j 0.00296068+0.0069572j -0.0102788-0.00128589j -0.0161454-0.00349235j -0.0019743-0.00559056j 0.0161175+0.00985585j 
0.0828439+0.102009j 0.0246936-0.180413j -0.0880503+0.0983889j 0.0931368-0.071426j -0.0127101-0.11011j -0.0800377+0.174283j -0.102147+0.00949089j -0.0459341-0.0078801j 0.0318951-0.0198473j -0.0254356+0.0113602j -0.00122785+0.0134175j 0.000376021-0.00664009j 0.004648-0.0124795j -0.00075914+0.0153554j 0.00414901-0.0110935j 0.0184804+0.0191968j -0.0138461-0.0196293j 0.00190951-0.00697498j 0.0357848-0.0194026j -0.00235925-0.0301787j 0.0105924+0.0300776j -0.00505829-0.00734905j -0.00811609-0.00446283j -0.0114743-0.0131701j 0.0182553-0.0291397j -0.00185157-0.0232943j 0.00443531-0.00268145j -3.68511e-05+0.00499992j 0.0129551-0.00816586j -0.00135492+0.00169903j 0.0249951-0.00132321j -0.0129818-0.00524684j -0.0159336-0.00122769j 0.00750283-0.00423148j 0.00896969-0.00320042j -0.00491404+0.0125575j -0.0110376+0.00265971j -0.0159671-0.0244101j 0.00296334+0.0157758j 0.0198442+0.0397344j 
-0.0836886+0.0122229j 0.119009+0.0312672j -0.0488863+0.0458656j 0.120469-0.0623766j -0.0228667+0.0573479j -0.130238-0.154415j -0.124344+0.0195255j 0.0662717+0.094927j 0.00289411-0.0148043j 0.0201911-0.0134255j 0.00532443-0.00334648j -0.00835313+0.00370312j 0.033315-0.00333289j -0.00116505-0.000147436j 0.0229292-0.0274363j 0.00336686-0.0233216j -0.0201541-0.020499j 0.0292814-0.000803062j 0.0230596-0.0201111j -0.00124506+0.019011j 0.00973941+0.0173262j -0.00334791-0.00988743j 0.0147137+0.006341j 0.0149413+0.0169657j 0.00257341+0.021718j -0.0257048+0.0113187j 0.00974517+0.00145059j 0.0166751-0.00886164j -0.00153155-0.0273016j -0.00624596-0.00184963j 0.00727107-0.0254469j -0.00290306-0.000998189j 0.0120981+0.0125368j -0.0122992-0.000519804j -0.029033-0.0108096j 0.0271905-0.0158053j -0.0230239-0.0162306j -0.00845157+0.0164187j -0.0171437+0.000284593j 0.00783357+0.0227378j 
0.0280299+0.00891367j -0.110326-0.125696j 0.121861+0.372753j -0.0806032-0.123897j -0.0438772+0.0378329j 0.011301-0.0256349j 0.00191236+0.178647j 0.0787615+0.236308j -0.0101572-0.0223072j 0.0261411+0.0137794j 0.0150242-0.004207j 0.007928-0.00187777j 0.0281051+0.00646137j 0.000254113-0.0158791j 0.00234179+0.018963j -0.0333609-0.0394078j 0.0147227-0.0208629j 0.00395501+0.0524542j 0.00698182-0.0155848j 0.00318483+0.0121059j 0.00452279-0.065621j 0.00296444-0.0173687j -0.0163783-0.00114429j -0.0043529+0.00880576j 0.00544835+0.00245708j 0.00479028+0.000434801j 0.0016257-0.00431821j 0.00359527+0.00911863j 0.00526484+0.000568801j 0.000206667+0.0182142j 0.00239598+0.00629145j -0.00936985-0.000557035j -0.00793806-0.00880412j -0.00995658+0.0163809j 0.00197092-0.0163519j -0.0225545-0.0302502j -0.00208868-0.0429833j -0.0150706+0.024211j 0.00128635+0.0189666j -0.0223649-0.044399j 
-0.0268+0.0295046j 0.00714893-0.133079j -0.0962438-0.06385j -0.0241955-0.178927j 0.163029+0.356052j 0.199199-0.0482034j -0.00658182+0.127585j -0.136995-0.14937j -0.0864415-0.0944586j 0.00565309-0.118145j 0.00504524-0.027586j -0.0368381-0.0257171j 0.0350793-0.0404214j 0.0367552-0.00903927j 0.0525864+0.00677193j -0.0247784+0.0204937j -0.0156226+0.00492796j 0.00327148-0.0111473j 0.0428997-0.0498394j 0.0238565+0.0388812j -0.00806487-0.00700904j 0.0182894-0.0146138j 0.0118353+0.0114768j 0.000414818-0.0108591j -0.00833404+0.0142886j 0.00451352+0.0034609j 0.0121274+0.0166464j -0.00362884-0.00270085j 0.010185-0.0145576j -0.00258645-0.00679608j 0.0143657+0.0297663j -0.00638542-0.0112918j -0.0183595-0.000362919j 0.0133376-0.0253852j 0.0283158-0.00923219j -0.0194522-0.00199927j 0.0397324+0.0127946j -0.00153115-0.0122916j 0.00416509+0.0263231j -0.0244377-0.00710526j 
-0.0415828+0.034333j -0.0225648-0.0103744j 0.00243335-0.13646j -0.210831-0.0733815j 0.0483902+0.0554337j -0.241204-0.0718435j 0.113879+0.152701j 0.00386331-0.074305j 0.0585404-0.048217j -0.0492311-0.0535777j 0.00409442-0.0142213j 0.00794707-0.0240784j -0.0739391+0.0477038j 0.00432791-0.0184386j -0.0603853+0.0559252j 0.000911064-0.0221863j 0.0276215-0.0233723j -0.0216636+0.0040177j -0.0587088-0.0255217j 0.0264458+0.0233483j -0.0230504+0.0394143j 0.0140497-0.0193898j 0.0148389+0.00968432j -0.00873853+0.00769594j 0.0177522-0.0227531j 0.00778715-0.00329981j 0.00490242+0.00908764j 0.0108847-0.0103484j -0.0023693+0.0539826j -0.0117453+0.0300929j 0.0172452+0.0205572j 0.0121571+0.0091638j 0.00600677-0.00851126j 0.00444456-0.0055772j 0.0237777-0.0296051j -0.0234381-0.00669601j -0.0154074+0.00396696j -0.00491999-0.0456449j 0.0352977+0.00432449j 0.0276523+0.0106192j 
-0.0133997+0.026477j 0.0649687-0.0542119j 0.0828806-0.00843955j -0.0994522+0.0908325j 0.0850941-0.0175107j -0.0141739+0.134042j 0.0673163-0.0591654j 0.0640801-0.0661646j -0.0936547+0.0369738j 0.0861507-0.00169066j 0.00279082-0.00713345j 0.0138378+0.00734911j -0.00139123-0.0388713j 0.025289+0.00296607j -0.0400648-0.0272268j 0.0426243+0.00986602j 0.0550356+0.0136969j 0.00915332-0.00960647j -0.0256101-0.0252492j 0.0310664-0.00654292j 0.00703241-0.0274902j 0.00911718+0.00307034j 0.00697956-0.00143829j -0.0149756-0.00675708j -0.0222576+0.00388174j -0.000546226+0.0030928j 0.00360703-0.00115801j -0.0208235+0.00583923j -0.0035969-0.0164783j -0.0138681-0.0323511j -0.00659027-0.0101906j -0.011341+0.0164008j 0.00751421-0.0256157j 0.0348825-0.0320386j -0.0237733+0.0258958j -0.0202138+0.0340568j 0.0165153+0.0089937j 0.0407315-0.00831445j 0.0302119-0.0228874j -0.0384786-0.00814352j 
0.0138551+0.00529005j 0.017338-0.0356249j 0.064067-0.000713257j 0.100022+0.0220896j 0.0316923+0.167449j -0.193894-0.109407j -0.113742-0.0503767j 0.0792459-0.0331247j -0.0326736-0.0327935j -0.0343593-0.0320775j 0.01925+0.0172314j -0.0128126-0.0352916j 0.00387223-0.0312669j -0.00988716+0.0539092j -0.00358103-0.0105511j 0.0446551-0.0138823j 0.00437225+0.0170767j 0.0321601+0.012746j -0.000161116+0.016236j 0.0208126-0.00845598j 0.00438249-0.0147462j 0.0065003+0.0336875j 0.00975172-0.0442101j 0.0104962+0.026647j 0.0176976+0.0112042j -0.0138208-0.0120803j 0.0263119+0.00882481j 0.056272-0.0534352j 0.00960162+0.0107324j -0.023198-0.00742689j -0.0263771+0.0787115j -0.00929313-0.000203771j -0.035287+0.0142584j -0.0055406+0.0142037j -0.0465713-0.0332766j 0.0523668-0.00414454j -0.0158441-0.00633563j 0.0153253-0.00665196j -0.0172013-0.00281472j -0.00724684+0.00636718j 
-0.00332666+0.0347372j -0.113807+0.0150456j -0.090121+0.12714j 0.0319559+0.0512431j 0.296644-0.15308j -0.102054+0.0732499j 0.0123062-0.0269574j -0.095606+0.0654282j -0.0829964+0.0255682j -0.0515177+0.0219305j 0.00320069+0.0265071j 0.014247-0.0186809j 0.0401268-0.0117419j -0.0598741+0.0474305j 0.0113521-0.0181937j -0.0150214+0.0100826j -0.0474053+0.0152297j -0.0440055+0.0239638j -0.00391538-0.00161669j 0.0319938-0.0174046j 0.0188924-0.0229335j 0.0281037+0.0141382j 0.0272365-0.0155137j -0.0155225+0.0224321j -0.0176247-0.0216743j 0.010762-0.00652067j -0.0204387+0.0183053j -0.0118061-0.00418992j -0.0319554-0.00176345j 0.033526+0.00695606j -0.0160424+0.0226071j 0.00231996+0.00088734j -0.00994147-0.0230655j 0.0231503+0.0120912j 0.0196655+0.0106271j -0.00638854+0.0190927j 0.00274044+0.00750121j -0.0283774+0.0204269j -0.0066774+0.0037663j -0.0018427-0.00298368j 
0.0298231-1.27258e-05j -0.11151+0.0476143j 0.0925324-0.0266746j -0.00676153+0.00184055j -0.0508122+0.00687545j 0.0761421+0.0132423j -0.0359807+0.0519223j 0.0120142+0.027272j 0.00385037-0.0647848j 0.0206386-0.00680227j -0.051708-0.0359321j 0.0146036-0.00218694j 0.00543292-0.0325232j 0.00729674+0.0281885j 0.00150057-0.0988243j 0.0106068-0.0520159j 0.00454041-0.00283858j -0.0207322+0.0160229j -0.0226559-0.0051516j 0.0151078-0.00542257j 0.0146666+0.0433911j -0.00685368-0.018499j -0.00700972-0.0101671j 0.0140392-0.00756597j -0.00319398+0.0138447j 0.0198476+0.00345581j 0.00845348+0.00052152j -0.0205903+0.00669522j -0.000429534-0.012576j 0.0112223-0.0082176j -0.00362699-0.00566145j -0.000745284-0.00313079j -0.0024478-0.0271894j 0.00923188-0.0207021j 0.0170352+0.00394969j -0.0168745-0.012865j 0.0145303+0.000739154j -0.00381023+0.00946384j 0.000702377-0.000116891j -0.0022865+0.0319063j 
0.0147428+0.0239502j -0.070421+0.00723911j 0.0463586-0.00513027j -0.126864+0.040765j 0.167559-0.0394447j -0.0768514+0.165933j 0.110106+0.0538981j 0.00314933+0.0309311j -0.0524745-0.0282143j -0.0154812+0.085858j 0.0573902-0.0166774j -0.0237244-0.00182978j 0.00377114-0.0083256j 0.00985668+0.0600562j 0.035534-0.0072297j -0.00426957-0.00615368j -0.00338717-0.0240993j 0.00749434-0.0238685j 0.0195367+0.0186819j 0.00262949+0.0221138j -0.000470111+0.0450293j 3.90454e-05+0.0272967j -0.0158095-0.00198891j 0.0260814+0.0213006j 0.0359677+0.0490577j -0.0113576+0.0260231j -0.00196962+0.0157255j 0.0425476+0.0446325j 0.0261481+0.00135371j -0.0290066-0.0268954j 0.0105086-0.0156768j -0.0213292-0.0204139j -0.0142639+0.016821j -0.0113968-0.00579067j -0.00543558+0.0405995j -0.0129866-0.00247501j 0.0104127+0.0263391j -0.00661489+0.00331489j 0.00728385+0.000748356j -0.00933011+0.00838921j 
-0.00155655-0.0248084j 0.0677712-0.00334024j -0.050036+0.0504031j -0.0169902+0.0133776j 0.0574827-0.0256494j -0.359453-0.0455212j 0.0447936-0.0351636j 0.0464343-0.0514348j 0.00570174+0.0191176j -0.0222765+0.0347385j -0.00442232+0.00466034j 0.0136155+0.0309302j 0.0175741+0.0700659j -0.0063977-0.0320111j -0.019093+0.0214369j -0.0130732+0.0266736j 0.0071517+0.0734005j -0.0233566-0.0182933j 0.00231422-0.00792129j 0.0365703+0.0167383j 0.0520072+0.00788222j 0.0197407-0.0292965j -0.00274895-0.00641079j 0.00890666-0.000763267j 0.0501165+0.0290191j 0.0171893+0.0120868j 0.01403+0.0147165j 0.00611746+0.0179866j 0.0210505-0.00662492j 0.0031907-0.0194852j 0.0298874-0.00362389j -0.00449046-0.00944235j -0.00352903-0.0037114j -0.0153937-0.0276536j -0.0105095-0.00402101j -0.0229165+0.0203584j -0.02038-0.0184017j -0.0123952+0.0123336j 0.012163-0.0241927j 0.0139005+0.00341419j 
-0.0136346+0.0240785j 0.115847-0.0348605j 0.0285324+0.052109j -0.0148637-0.083077j -0.0687188+0.00777587j 0.160437+0.244431j -0.0213389+0.0670579j 0.0559443-0.110536j -0.0349219-0.0481309j 0.0118601+0.0404346j -0.0553917+0.0027605j -0.0168433+0.0173346j -0.00761163+0.0711498j -0.0133435-0.0564521j 0.0462321+0.0422178j -0.00493919-0.00512676j -0.0283514+0.0657754j 0.0420252-0.000870234j 0.0231347-0.00674458j -0.034704+0.0156333j -0.0317818-0.0189484j 0.00748588+0.00987762j 0.00644161+0.00450817j -0.0116158+0.0166244j -0.0134932-0.00982229j -0.0167998-0.000720298j -0.0172914+0.0117371j 0.0182576-0.00608569j -0.00722079+0.0351777j -0.00531569+0.00115208j -0.0336937+0.0163795j -0.00428599-0.0155628j 0.00439805+0.00870637j -0.00703674+0.0190363j 0.0194869+0.035894j 0.00496118-0.0111112j 0.00997599+0.0125421j 0.0145689-0.0139981j -0.00257615+0.00113769j -0.0205355-0.027459j 
