-0.100212-0.0734481j 0.0381823+0.156624j 0.0133672-3.81385e-06j -0.0405087+0.15572j -0.0999481+0.0701499j -0.0352069+0.0941227j -0.129266+0.06467j -0.0572222-0.00411328j -0.13128-0.000193014j -0.0560665+0.00422315j 0.128452+0.0655343j 0.03311+0.0934417j 0.0527402+0.0084617j -0.0431561-0.0655365j -0.0108641+0.0607065j -0.055202-0.0395275j 0.0631336-0.0634319j -0.0322577-0.0427448j -0.0386272+0.0690666j -0.0240017-0.00702287j -0.054974-0.0279194j 0.0283786+0.0165326j 0.0372623+0.0130216j 0.0390911-0.0121932j -0.0284629+0.0161529j 0.0539746-0.0266791j -0.0247994+0.00598152j 0.0379735+0.0694687j 0.0320986-0.043149j -0.0625113-0.0639016j 0.053556-0.04074j -0.0086982-0.0590053j -0.0433385+0.0645923j 0.0514684-0.0070903j 
-0.178047+0.0153833j -0.127369-0.00587744j 0.0976706+0.0699973j 0.0481881+0.114049j -0.0455212-0.17507j 0.119503-0.0257748j -0.0494232+0.0489254j 0.0702762+0.019628j -0.149434-0.106728j 0.0446854+0.0602423j -0.0308648+0.0594118j -0.0149438-0.123062j -0.0517662-0.0237453j -0.00769111+0.0150738j 0.0220268-0.0414758j 0.0393102+0.0184523j 0.0105014+0.0076062j 0.0176141-0.0468573j 0.0101943+0.0227862j 0.0032552+0.0267745j 0.00700042+0.00415491j 0.0434545+0.00487932j 0.0202307+0.0918904j 0.0938041-0.0101761j -0.0188058-0.0386797j -0.00824026-0.00523912j 0.0266197-0.0054211j -0.023646-0.00227626j 0.0381432-0.0322587j -0.0104176-0.005347j -0.0310157-0.0313432j -0.0321097+0.0341399j 0.0122201-0.0113239j -0.0389091-0.0402959j 
0.200556-0.227878j 0.232158+0.0507257j -0.0754652+0.104623j 0.0491622-0.21136j -0.0667466-0.00269222j -0.00438339-0.00934609j -0.0942295-0.0564216j 0.0441971-0.0308867j 0.0889723+0.0216803j 0.0777594-0.00422009j 0.0888588-0.0731788j -0.0347908+0.00254069j -0.0497376+0.0249236j 0.0243778+0.0160134j -0.0488762-0.058227j 0.0673168-0.0116167j -0.0139909+0.0386413j -0.0345032-0.0199354j 0.0618011-0.0242012j 0.0499779+0.066172j 0.0498386+0.0445434j 0.0707015-0.0765235j 0.0202454+0.07272j 0.0683814-0.0419197j 0.0108977+0.0199743j 0.0351092-0.0427222j -0.00212763+0.0591519j 0.0487107+0.0126257j -0.0112678-0.0258228j -0.03448-0.0256284j -0.0198735-0.00609379j 0.02456+0.000371643j -0.0172615+0.0332251j -0.00934561+0.0203159j 
0.155273-0.0931853j 0.164065-0.165998j 0.00252171-0.188884j -0.0743968+0.123096j 0.042734-0.00213244j 0.0534381+0.0658779j 0.0586575+0.0510378j -0.0385673+0.105984j -0.0415513-0.069026j -0.0882584-0.014697j -0.0805148+0.0953314j 0.0397308-0.00205892j -0.0260618+0.0360552j -0.0526309+0.02614j -0.0593495-0.0402222j 0.0223816-0.0112031j -0.0154382-0.0362742j -0.0381751+1.35742e-05j -0.0186943-0.0190255j -0.0125287-0.0108166j 0.0342658-0.0217902j -0.0540434-0.0341628j 0.0244852+0.0675203j 0.0391563-0.0653021j -0.029779+0.0399101j 0.0306071-0.024462j -0.0265835-0.0156353j 0.0282562+0.0195256j -0.033596-0.0116981j 0.0468738+0.0259092j -0.00733752+0.00125518j -0.00225475-0.00163402j 0.0146036-0.0550788j 0.0156452-0.00913496j 
0.132072+0.183392j 0.0324692+0.25314j 0.0391335+0.0356795j 0.0641287-0.0663026j -0.00999739-0.016258j 0.171262+0.0705577j -0.172241+0.00724526j 0.114059+0.125918j 0.107092-0.183155j 0.0137305-0.0295437j 0.0691439-0.0296284j 0.00242793-0.0184331j 0.0528863-0.011384j 0.017491-0.0144422j -0.0407294+0.0441941j -0.00434743-0.0263058j -0.00776831+0.035126j 0.00120127+0.0211498j -0.0173705+0.00740395j -0.000559529-0.0124112j 0.000990557-0.0361619j -0.0370132-0.0158234j 0.010815-0.0249224j -0.0562133-0.0493718j 0.0200009-0.00386271j -0.00648635-0.000997025j 0.028546+0.0219883j 0.0149656-0.0672244j 0.00505946+0.037143j -0.00938366-0.012303j -0.00120114+0.0106467j 0.00276026-0.0100366j -0.0168446+0.0228287j -0.000795382-0.0066052j 
0.00291753-0.00479135j 0.00934998+0.00196025j -0.015654+0.0167535j 0.0468964-0.00576827j -0.160907-0.166857j 0.00183721+0.0137519j 0.0314682+0.00656439j 0.0342487-0.0706904j 0.0040108-0.124833j 0.101553-0.0189488j 0.255099-0.176063j -0.232828+0.0308695j -0.0038401-0.0112657j 0.0139384-0.00319605j 0.0034552-0.00384282j 0.00281383-0.0369095j -0.000929986-0.0206151j -0.0194054-0.0353523j -0.000122398+0.031908j -0.0137241-0.0115243j -0.0346488-0.0126021j 0.0128094+0.0154828j 0.00170026+0.034231j 0.00147548+0.0441031j 0.017551+0.0113991j -0.052777+0.0153005j -0.031151-0.0568687j 0.00366432-0.127658j -0.0195616+0.0895246j 0.0710985+0.0387305j 0.138831-0.00711006j -0.027258-0.0552061j 0.137484+0.0724106j 0.100664+0.0324307j 
-0.00443807+0.00929553j -0.00502295-0.0065118j -9.88914e-05-0.00896334j -0.076029-0.0557719j 0.171385-0.235497j 0.0207696-0.0115909j -0.0219999-0.0612657j -0.0589545+0.0836922j -0.00774166+0.0454676j -0.15802+0.186066j 0.00195083+0.0676375j -0.152005-0.016138j -0.0136092+0.0198157j -0.0221361-0.0396054j -0.00830312+0.001852j -0.0375464+0.0309814j 0.00232423+0.0296379j 0.00314324+0.042297j 0.0411753-0.0157482j 0.00958049+0.0265114j 0.0111796+0.0304787j 0.00162165-0.0228682j 0.00607325-0.0595603j -0.0593079-0.0458867j -0.00531446-0.0297335j 0.0237556+0.0552259j 0.0132388-0.0173168j 0.00462939-0.047182j 0.101409-0.0137628j 0.00999968-0.0900899j -0.052923-0.0979061j -0.0200082-0.00196428j -0.00683444-0.0596877j 0.0994743-0.0500777j 
-0.00635951+0.015984j -0.00577835+0.0106048j 0.0350506+0.0292677j -0.190878-0.0306192j -0.414149+0.0323491j 0.0260265-0.012729j -0.0179874-0.0860439j -0.0938415+0.119919j -0.0744045+0.0655072j -0.0655817+0.136261j -0.165998-0.0690415j 0.0146406+0.197395j -0.0154858+0.00549824j 0.00284311-0.0456359j -0.00311039+0.00363859j -0.0233311+0.0244451j 0.0177349+0.0513437j 0.0329412+0.0199816j 0.00774898-0.00477704j 0.0096892+0.0202728j 0.0120197-0.0112088j 0.00774712+0.00136851j 0.0175932-0.0659024j -0.0716468-0.0872885j -0.004155-0.00188311j -0.00618875-0.0669186j 0.0685146+0.00488602j 0.100565-0.000933211j -0.0292307+0.0180167j -0.0264157-0.0278931j 0.0120746+0.028324j 0.0824946-0.0255403j -0.0487526+0.0177227j 0.0300169+0.0777027j 
0.0189294+0.00891509j -0.0071953+0.0634957j 0.018386+0.0312537j -0.0839236+0.22348j -0.0144081-0.0723637j 0.0036895+0.0086754j 0.0228271-0.00542463j 0.0137783+0.0937332j 0.0817551-0.0165802j 0.147338+0.0272025j 0.0575129+0.10359j 0.163181-0.0441114j -0.0204454-0.0146917j 0.0291623-0.0366171j -0.00840034+0.00310523j -0.0357774-0.0170728j -0.0213879+0.0169059j 0.0122245-0.0157667j 0.03686+0.0409467j 0.00373438+0.012611j 0.0140464-0.0321327j 0.0168068+0.0161592j 0.0866369+0.00524914j 0.0470149-0.0131193j 0.0320815-0.0255485j 0.0702438-0.0130124j -0.0706482+0.108818j -0.0114486+0.016035j 0.000888654+0.00485138j 0.0706046-0.00785021j 0.00846592+0.0434434j -0.0075597+0.0400203j 0.0752939-0.0482284j -0.0256327+0.0241784j 
0.0107494+0.0214001j 0.0983575+0.0503996j 0.179507+0.06177j 0.150191+0.133014j 0.0979814+0.287125j 0.0395032+0.0174796j 0.0397659-0.119331j -0.0700075+0.137338j 0.00342483-0.11701j -0.0761909+0.0577303j 0.141784-0.10287j -0.153953-0.0601622j -0.00949772-0.00992314j 0.02046-0.0459859j -0.00116801+0.0080964j -0.0225953+0.0290056j 0.0184644+0.0541215j 0.048415+0.034772j -0.0333446+0.0445042j 0.0453747+0.0131811j 0.0196789-0.045926j 0.0204055-0.011663j -0.012801-0.0148715j -0.0632214+0.0128789j 0.0493541+0.0551651j -0.0785281+0.073556j -0.135264+0.0598672j -0.0508576+0.0557774j 0.016521+0.043199j -0.0665618+0.0731598j -0.0631251-0.0796958j -0.0405012-0.0663811j 0.00393997-0.0419808j -0.0262094-0.00466099j 
0.00415725-0.00934525j -0.0542133+0.0291333j -0.200976-0.0631589j -0.230962+0.127588j -0.0767844+0.202397j -0.0191345-0.00423344j -0.0157488+0.0503421j 0.0836286-0.116114j -0.00318494+0.0685738j 0.0872251+0.0226433j 0.0923461+0.061334j -0.0954699-0.00316963j -0.000627471-0.00247657j 0.00642514+0.0128906j -0.0140262-0.00599731j 0.00214097-0.0228567j 0.000421567-0.0515487j -0.0186523-0.0225487j 0.0356755-0.00505858j -0.0684144+0.0107147j 0.00471118+0.0924065j -0.0412466+0.0265977j 0.00950403-0.0152383j 0.0383493+0.0115168j -0.00682287-0.0551667j -0.139065-0.0244109j 0.0683113-0.0501469j 0.0322564+0.113627j 0.103801+0.0593982j 0.0202604+0.0372291j 0.012195-0.0767181j -0.0382232-0.0871459j -0.0404269-0.0653997j -0.0461907+0.0261434j 
-0.0304153-0.0112965j -0.181602-0.0525943j 0.16565+0.0251795j -0.0469375-0.0932168j -0.0688548-0.269109j -0.0271184-0.0309135j -0.0553015+0.151177j 0.00192627-0.0305241j 0.128941-0.0973779j -0.0284959+0.0624145j 0.0198703+0.0286244j 0.00383332+0.0216971j 0.0045893+0.0141731j -0.0160537+0.0524243j -0.00998102-0.0169172j 0.0229524-0.000501788j -0.0182463-0.0578019j -0.0686646-0.00185729j -0.0210049+0.0726083j 0.0787886-0.0285164j -0.0186093-0.0516715j 0.0330712-0.100041j 0.0139899+0.000891634j -0.00721149+0.0327635j 0.0445588-0.00214716j -0.127475+0.0588415j -0.0652097+0.0605917j -0.0504967+0.105698j 0.0555287+0.068294j -0.0425833+0.0635517j -0.0263484-0.0379127j -0.0233616-0.0831009j -0.0839469-0.0297887j -0.0666927+0.0479173j 
0.0333262+0.013728j 0.196601-0.0207341j -0.142749-0.0102397j 0.155194-0.169597j 0.056076-0.321568j 0.0335969+0.0392746j 0.0831381-0.158851j -0.035651+0.050516j -0.122692+0.064002j 0.026268-0.0791314j -0.0126331-0.0433548j 0.0240199-0.0314189j -0.00282932-0.0189573j 0.0230975-0.0575696j 0.00652736+0.018204j -0.00139328+0.00733814j 0.0439909+0.0523291j 0.0879097+0.00890849j -0.00704082-0.0255685j -0.0558634+0.033792j 0.0379372+0.0468814j -0.042806+0.0926523j -0.0435552-0.023344j -0.0259616-0.0162062j -0.013503+0.0137647j -0.0881925-0.0280059j 0.0281673-0.00535474j 0.0856526+0.111154j -0.00880101+0.0101146j -0.0510679+0.085949j -0.0405366-0.014908j -0.0128307-0.0516768j -0.049438-0.019191j -0.0694749+0.0423445j 
0.00254756+0.00920531j 0.0353149+0.0230101j 0.213235-0.215127j 0.142069-0.00318086j 0.00267117-0.01538j -0.00642907-0.0261121j -0.0583049-0.0269662j 0.0667495+0.0323448j -0.134281+0.0300051j -0.102519+0.0359622j -0.168174-0.0468494j -0.0479059+0.0384049j -0.00790036-0.0080913j 0.0240788+0.00733421j -0.0244666+0.0179631j -0.0351344+0.0107054j -0.0790847-0.0254236j 0.0209343-0.048106j 0.0325122-0.064534j 0.0134253+0.072987j 0.0700283-0.0598135j -0.0319589+0.0454371j 0.0490946-0.0634981j 0.0104608+0.0517117j -0.0943484+0.00380091j -0.0694582-0.0413073j -0.072291-0.0577527j 0.0357446-0.0806669j 0.0305444-0.145015j -0.00900519-0.0460803j 0.0447453+0.0854699j -0.0516026-0.0451588j 0.025035+0.0218642j -0.0186614+0.00285403j 
-0.0174019-0.0241606j 0.0155717+0.00996531j -0.167251+0.301655j -0.0109166+0.155531j 0.0162069+0.0348774j 0.0070153-0.00488114j -0.0212438-0.0330192j -0.0873262-0.0222403j -0.0140097+0.0605969j -0.184472-0.0288343j -0.105677-0.0380578j -0.048842+0.0259503j -0.00280868+0.0108595j -0.013736-0.0104525j -0.000190691+0.0219763j 0.0302884+0.0210586j -0.0166376+0.0115391j 0.00174358-3.84864e-05j 0.108707+0.00811225j -0.00711453-0.085285j 0.0348171-0.101893j -0.0152803+0.0161166j -0.0183745-0.0678555j -0.0247722+0.0555527j -0.119498-0.116679j -0.0283149-0.119886j -0.110683+0.118066j -0.0172563-0.0268028j 0.0190929-0.0522365j -0.0405169-0.0133434j 0.0331515+0.136064j -0.0560577-0.0332878j 0.0394934-0.000295084j -0.00897022-0.00620303j 
-0.254014+0.0492394j 0.0880679-0.138837j -0.0336953+0.000903496j -0.102099-0.134316j -0.254357-0.0409352j 0.0439125-0.178095j -0.0722871+0.0405599j -0.0264697+0.0606431j 0.0460114-0.000443509j -0.0283777-0.0616934j 0.0705801+0.0364848j -0.0463363-0.177325j -0.0333744+0.0585634j 0.0181634+0.0366662j -0.0407813-0.0498613j 0.0578143+0.00366943j -0.00466956+0.00624539j 0.00807749-0.0500512j 0.0608136+0.00993722j -0.0625724-0.0484796j -0.0467452+0.0318213j 0.000650337+0.0189125j 0.0261796-0.00609142j 0.0266213+0.00636502j -0.00118956+0.0186804j 0.0450985+0.0308784j -0.0614958+0.0479243j -0.0618022+0.00879415j -0.00842175-0.0489587j 0.00508098+0.00697512j -0.0565985+0.00459295j -0.0419205+0.0495323j 0.0193299-0.034487j -0.0326301-0.0581985j 
-0.296594-0.00227512j 0.206674+0.0020761j 0.000447675-0.0137707j 0.201687+0.0510666j 0.281794+0.0715298j 0.0675728-0.167275j -0.0820739+0.0742112j -0.0980223+0.0294333j -0.0022816+0.0357431j 0.0876529+0.055307j -0.0603192-0.0875266j 0.0230566+0.18107j -0.0454239+0.0586235j -0.00464145+0.0225363j -0.0290788-0.0592598j 0.0650868-0.00852203j 0.0166581-0.0109379j -0.00891172-0.0677661j 0.0562017+0.0374316j -0.0444222-0.0313525j -0.0720653+0.036421j 0.00319725+0.0083182j 0.040372-0.0387122j -0.029187-0.0487707j 0.00593646-0.00931566j -0.0595471-0.0522831j 0.0516758-0.0189919j 0.0637792-0.0205247j -0.0246521+0.0641875j 0.0136663+0.0123032j 0.0613406+0.0257022j 0.0444719-0.0500598j -0.00265807+0.0206125j 0.0289951+0.0676777j 
-0.0879639-0.0589159j -0.0511728+0.334122j 0.00562393+0.000198842j 0.0558335+0.326175j -0.0889687+0.047349j 0.017771-0.0371317j 0.0255929+0.00577159j -0.0901444+0.00851482j -0.0156519+0.000162089j -0.0899817-0.00873624j -0.0263184+0.00452735j -0.0168867-0.0381468j -0.00506452+0.0287919j -0.0525014-0.00614048j 0.0107687-0.0138866j 0.06078-0.014793j 0.0363359+0.0096736j 0.0382032-0.034444j -0.0541255-0.00119866j 0.072693+0.081936j -0.0498143+0.0949827j -0.0765271+0.0404202j -0.0285229+0.0037528j -0.0272738-0.00276403j 0.077386+0.0399622j 0.0509032+0.0949568j 0.0727937-0.0823715j 0.0554316-0.00251909j -0.0386322-0.035638j -0.0353752+0.0109914j -0.0619522-0.0154524j 0.0115377+0.0137288j -0.0543384+0.00657552j -0.00536024-0.0281463j 
0.00372417+0.0208785j -0.103299+0.147929j -0.00705127-0.270619j -0.107708-0.146027j 0.000244528+0.023526j 0.00717853+0.0227404j 0.0804504+0.0122658j -0.047774-0.00815608j -0.00105714-0.0720742j 0.0462528-0.00974707j 0.0803198-0.0145861j 0.00561329-0.0226678j -0.00521468+0.0114079j -0.0666747-0.0488763j 0.0354299+0.00135332j 0.0506684-0.070391j 0.0165388-0.000793074j 0.00825341-0.0203984j 0.0404788+0.035078j 0.068514+0.0766256j -0.00897693-0.012865j -0.0256714+0.0636794j 0.0106825+0.0139027j -0.0109946+0.0119079j -0.0275795-0.0624689j -0.00458188+0.0140331j -0.0659496+0.0790485j 0.0397168-0.0362272j 0.00724559+0.0235962j 0.0147093-0.00159052j 0.05191+0.0686778j -0.0342276+0.0040288j 0.0670574-0.0496469j 0.00720283+0.00966786j 
-0.0250576-0.0109968j -0.0350087+0.0956865j 0.114214-0.00197516j 0.0362303+0.0927062j -0.0253159+0.00754798j -0.0160038-0.0129259j 0.0177721+0.027277j 0.146275-0.0189272j -0.140323-1.17001e-05j 0.149125+0.0187521j -0.015971+0.0273806j 0.0157331-0.0140398j 0.0065854+0.00838258j -0.0181261+0.00265221j 0.0296142-0.0212878j 0.0417818-0.0286678j 0.0579623+0.000269151j -0.0382694+0.112971j 0.0147458+0.00958651j -0.14156-0.0141968j 0.127351-0.0629208j 0.173133-0.012887j -0.0812+0.0980239j -0.0836135-0.0982142j -0.174876-0.011327j -0.128492-0.0618941j -0.140841+0.0131096j -0.0149079+0.0130812j 0.03721+0.114303j -0.0551321+0.00254418j -0.0431512-0.0310279j 0.030355+0.0208424j -0.0198863-0.00276689j 0.00577778-0.00810557j 
0.0158232-0.0373552j 0.0151291+0.155289j -0.174795-0.298298j -0.0156674+0.00782752j -0.0180333+0.0204378j 0.052424+0.0241279j 0.101084-0.0382319j -0.184383+0.029071j -0.0143335-0.0602312j -0.0895316+0.0229324j 0.0194194-0.0342987j -0.00795098-0.00490467j -0.0118343+0.00539276j 0.0392471+0.00218084j -0.058573+0.035707j -0.0351654+0.134258j 0.0371501-0.00676337j -0.0203419-0.0540044j 0.017783-0.0245078j -0.110277-0.115608j 0.0317881-0.119208j 0.116128-0.118062j -0.0237267-0.0606014j -0.0206243+0.0682169j 0.0159339+0.0164767j -0.0367219-0.103267j -0.00732756+0.0871064j -0.109572+0.00958209j 4.49606e-05-0.00194141j 0.01508+0.0102988j -0.0300491+0.0228891j -0.00243212-0.0231588j -0.0128093+0.0103966j -0.00348789-0.0102637j 
