-0.0073449-0j -0.00524415-0j -0.000756928-0j -0.00302581-0j -0.00305717-0j -0.000534893-0j -4.45744e-05-0j -0.000540436-0j -4.50363e-05-0j -0.00213823-0j -0.00264592-0j -0.000356371-0j -0.00154345-0j -0.000218232-0j -0.000440987-0j -4.45464e-05-0j -0.000270048-0j -2.62492e-06-0j -0.000257242-0j -5.51234e-05-0j -0.000157528-0j -3.24818e-06-0j -3.21553e-05-0j -1.89477e-06-0j 
-0.0014846-0j -0.00106065-0j 0.00711808-0j 6.43376e-06-0j 6.50044e-06-0j 0.0102841-0j 0.00128464-0j 0.0103906-0j 0.00129796-0j -0.000870578-0j -0.00107729-0j -7.2032e-05-0j -0.000628416-0j -8.87408e-05-0j -8.9135e-05-0j -0.039847-0j -0.000109811-0j 0.000152368-0j -5.19954e-05-0j -0.0493082-0j -6.40565e-05-0j 0.000188546-0j -0.0287631-0j 0.000109985-0j 
-0.000989731-0j 7.43374e-06-0j 0.00474539-0j -0.00123332-0j -0.0012461-0j -7.20772e-05-0j 0.000856429-0j -7.28242e-05-0j 0.000865304-0j 3.031e-06-0j 3.75067e-06-0j 0.0138082-0j 2.18789e-06-0j 3.0935e-07-0j 0.0170868-0j 0.000279273-0j 3.82801e-07-0j 0.000101579-0j 0.00996729-0j 0.000345583-0j 2.23301e-07-0j 0.000125697-0j 0.00020159-0j 7.33235e-05-0j 
0.000175882-0j -6.57056e-07-0j -0.00258903-0j -3.79113e-07-0j -3.83042e-07-0j 1.28086e-05-0j 0.0143908-0j 1.29413e-05-0j 0.0145399-0j 5.12993e-05-0j 6.34797e-05-0j 8.5337e-06-0j 3.70298e-05-0j -2.73429e-08-0j 1.05599e-05-0j -0.000152368-0j -3.38352e-08-0j -0.0385621-0j 6.15995e-06-0j -0.000188546-0j -1.97372e-08-0j -0.0477181-0j -0.000109985-0j -0.0278356-0j 
-0.000599708-0j -0.00174114-0j -0.00012492-0j -0.000752627-0j -0.000760426-0j 0.00835224-0j -1.10732e-05-0j 0.00843879-0j -1.1188e-05-0j 3.7122e-06-0j 4.59361e-06-0j 0.00416886-0j 2.67961e-06-0j 0.0068557-0j 0.0051587-0j 0.00140596-0j 0.0084835-0j -8.70967e-07-0j 0.00300924-0j 0.00173978-0j 0.00494871-0j -1.07777e-06-0j 0.00101487-0j -6.28697e-07-0j 
3.18789e-06-0j -0.000872848-0j 3.28528e-07-0j 1.31329e-06-0j 1.3269e-06-0j -8.90288e-05-0j 1.93465e-08-0j -8.99514e-05-0j 1.9547e-08-0j 9.2805e-07-0j 1.1484e-06-0j 1.54675e-07-0j 6.69902e-07-0j 0.0104288-0j 1.91401e-07-0j -7.4144e-06-0j 0.0129049-0j 1.13929e-09-0j 1.1165e-07-0j -9.17486e-06-0j 0.00752787-0j 1.4098e-09-0j -5.352e-06-0j 8.22383e-10-0j 
0.000215034-0j 0.000102061-0j -0.00209913-0j 8.86979e-05-0j 8.96171e-05-0j -0.00148958-0j 0.00568827-0j -0.00150502-0j 0.00574722-0j -4.37487e-07-0j -5.41363e-07-0j -0.00149481-0j -3.15795e-07-0j 8.53909e-06-0j -0.00184973-0j 0.011751-0j 1.05666e-05-0j 0.00138388-0j -0.00107901-0j 0.0145411-0j 6.16384e-06-0j 0.00171247-0j 0.00848229-0j 0.000998938-0j 
8.74807e-05-0j 0.000188813-0j -0.000419437-0j -3.79113e-07-0j -3.83042e-07-0j -0.00183072-0j -7.56984e-05-0j -0.00184969-0j -7.64828e-05-0j -2.67905e-07-0j -3.31516e-07-0j 4.24452e-06-0j -1.93384e-07-0j -0.00150002-0j 5.25233e-06-0j 0.00709339-0j -0.00185618-0j -8.97839e-06-0j 3.06386e-06-0j 0.00877763-0j -0.00108277-0j -1.11102e-05-0j 0.00512028-0j -6.48095e-06-0j 
-1.64039e-05-0j 4.89741e-08-0j 0.000322752-0j -4.04849e-06-0j -4.09044e-06-0j -1.19462e-06-0j -0.00271007-0j -1.207e-06-0j -0.00273815-0j 1.99685e-08-0j 2.47097e-08-0j 0.000114032-0j 1.4414e-08-0j 2.03802e-09-0j 0.000141107-0j 1.89944e-05-0j 2.52192e-09-0j 0.0150096-0j 8.23125e-05-0j 2.35044e-05-0j 1.47112e-09-0j 0.0185734-0j 1.37109e-05-0j 0.0108345-0j 
-1.79508e-05-0j -1.28247e-05-0j 0.000264242-0j 3.86931e-08-0j 3.9094e-08-0j 0.000250004-0j -0.00146875-0j 0.000252595-0j -0.00148397-0j 2.73429e-08-0j 3.38352e-08-0j -8.70967e-07-0j 1.97372e-08-0j 5.0497e-05-0j -1.07777e-06-0j -0.002974-0j 6.24869e-05-0j 0.00393572-0j -6.28697e-07-0j -0.00368014-0j 3.64507e-05-0j 0.00487021-0j -0.00214675-0j 0.00284096-0j 
1.42161e-06-0j 3.36194e-07-0j -3.50121e-05-0j -2.0393e-09-0j -2.06044e-09-0j -9.84777e-06-0j 0.000393227-0j -9.94982e-06-0j 0.000397302-0j -1.4411e-09-0j -1.78327e-09-0j 6.89761e-08-0j -1.04024e-09-0j 2.81281e-08-0j 8.53535e-08-0j 0.000195998-0j 3.48067e-08-0j -0.00329599-0j 4.97896e-08-0j 0.000242535-0j 2.03039e-08-0j -0.00407857-0j 0.000141479-0j -0.00237917-0j 
-5.17486e-08-0j 9.64086e-11-0j 1.787e-06-0j 5.56266e-11-0j 5.6203e-11-0j -3.7686e-09-0j -3.01909e-05-0j -3.80765e-09-0j -3.05038e-05-0j 3.93092e-11-0j 4.86427e-11-0j -2.51082e-09-0j 2.83749e-11-0j 4.01198e-12-0j -3.10698e-09-0j 1.05168e-07-0j 4.96457e-12-0j 0.000424293-0j -1.81241e-09-0j 1.30138e-07-0j 2.896e-12-0j 0.000525036-0j 7.59139e-08-0j 0.000306271-0j 
