-0.0460152-0j -0.0519797-0j -0.0424413-0j -0.0428811-0j -0.0371361-0j -0.0306357-0j -0.00978827-0j -0.00605923-0j -0.00670634-0j -0.00530183-0j -0.00353455-0j -0.00535677-0j -0.00618547-0j -0.00218689-0j -0.00360819-0j -0.00382706-0j -0.00223245-0j -0.00058239-0j 
-2.85014e-05-0j -3.21957e-05-0j 2.52795e-05-0j -2.65601e-05-0j 6.72409e-05-0j 1.82477e-05-0j -6.06275e-06-0j 0.000717281-0j 0.000793885-0j -0.00060355-0j 0.000418414-0j 0.000634125-0j -0.000704142-0j -0.00126462-0j 0.000427131-0j -0.00132437-0j -0.000254138-0j 6.89423e-05-0j 
2.87967e-05-0j -3.12417e-05-0j 2.65601e-05-0j -2.68143e-05-0j -2.23202e-05-0j 1.69404e-05-0j 6.37922e-05-0j -0.000724714-0j 0.00077036-0j -0.000634125-0j -0.00042275-0j 0.000640195-0j 0.000710527-0j -0.000261563-0j -0.000381322-0j 0.000457377-0j -0.00125176-0j -0.00125812-0j 
0.0169445-0j 0.0191409-0j -0.0303868-0j -0.0307017-0j 0.0136749-0j 0.0112812-0j 0.00360441-0j 0.00223124-0j 0.00246953-0j 0.00195233-0j -0.00636284-0j 0.00197256-0j -0.00442862-0j 0.000805296-0j -0.00258336-0j 0.00140927-0j 0.000822073-0j 0.000214458-0j 
-0.0209678-0j -0.000468798-0j 0.0185975-0j 0.0187662-0j 0.000979085-0j -0.0260517-0j 0.0173995-0j -0.00276102-0j -6.04835e-05-0j 0.00232323-0j -0.00161059-0j 0.0023443-0j 5.36463e-05-0j 0.00486786-0j 0.00319067-0j -0.00489608-0j -0.0028573-0j 0.00129538-0j 
0.0122312-0j -0.0268129-0j 0.0112812-0j 0.0100713-0j -0.019156-0j 0.0311227-0j -0.0326841-0j 0.00161059-0j -0.00345935-0j 0.00140927-0j 0.000939512-0j 0.00125813-0j -0.00319067-0j 0.000581294-0j 0.00366554-0j 0.00089885-0j 0.000726085-0j -0.00668535-0j 
-0.00273441-0j -0.00308885-0j 0.00490364-0j 0.00495446-0j -0.00220678-0j -0.0018205-0j -0.000581659-0j 0.0169339-0j 0.0187424-0j 0.0148172-0j -0.0482905-0j 0.0149707-0j -0.0336108-0j 0.00611176-0j -0.0196063-0j 0.0106956-0j 0.00623909-0j 0.00162762-0j 
-0.00223264-0j -0.00252203-0j 0.00400381-0j 0.0040453-0j -0.00180183-0j -0.00148643-0j -0.000474922-0j -0.000293991-0j -0.000325389-0j -0.000257242-0j 0.000838377-0j -0.000259908-0j 0.000583522-0j -0.000106107-0j 0.000340388-0j -0.000185687-0j -0.000108318-0j -2.82573e-05-0j 
0.00338366-0j 7.56519e-05-0j -0.00300117-0j -0.00302838-0j -0.000157999-0j 0.00420408-0j -0.00280783-0j -0.0209546-0j -0.000459037-0j 0.0176321-0j -0.0122235-0j 0.017792-0j 0.000407146-0j 0.0369444-0j 0.0242154-0j -0.0371586-0j -0.0216854-0j 0.00983121-0j 
0.000322254-0j 0.000364024-0j -0.0005779-0j -0.000583889-0j 0.000260072-0j 0.000214548-0j 6.85492e-05-0j -0.00403379-0j -0.00446459-0j -0.00352957-0j 0.0115032-0j -0.00356614-0j 0.00800637-0j -0.00145587-0j 0.00467039-0j -0.00254778-0j -0.0014862-0j -0.000387712-0j 
-0.0019738-0j 0.00432691-0j -0.0018205-0j -0.00162526-0j 0.00309129-0j -0.0050224-0j 0.00527437-0j 0.0122235-0j -0.0262546-0j 0.0106956-0j 0.00713039-0j 0.00954851-0j -0.0242154-0j 0.0044117-0j 0.0278195-0j 0.00682178-0j 0.00551059-0j -0.0507382-0j 
0.00276275-0j 6.17695e-05-0j -0.00245044-0j -0.00247266-0j -0.000129006-0j 0.00343262-0j -0.00229259-0j 0.000363796-0j 7.9694e-06-0j -0.000306113-0j 0.000212214-0j -0.000308889-0j -7.06852e-06-0j -0.000641397-0j -0.000420407-0j 0.000645115-0j 0.000376482-0j -0.000170681-0j 
0.00027908-0j 0.000315254-0j -0.000500476-0j -0.000505662-0j 0.000225229-0j 0.000185804-0j 5.93653e-05-0j -0.00172831-0j -0.00191289-0j -0.00151227-0j 0.00492863-0j -0.00152794-0j 0.00343039-0j -0.000623779-0j 0.00200106-0j -0.00109161-0j -0.000636775-0j -0.000166118-0j 
-0.000398769-0j -8.91566e-06-0j 0.000353691-0j 0.000356898-0j 1.86204e-05-0j -0.000495455-0j 0.000330906-0j 0.00499156-0j 0.000109346-0j -0.00420011-0j 0.00291174-0j -0.00423819-0j -9.69855e-05-0j -0.00880046-0j -0.00576832-0j 0.00885148-0j 0.00516563-0j -0.00234187-0j 
-0.0016116-0j 0.00353291-0j -0.00148643-0j -0.00132702-0j 0.00252403-0j -0.00410078-0j 0.00430651-0j -0.000212214-0j 0.00045581-0j -0.000185687-0j -0.000123792-0j -0.000165773-0j 0.000420407-0j -7.65921e-05-0j -0.000482978-0j -0.000118434-0j -9.56701e-05-0j 0.000880873-0j 
-3.28899e-05-0j -3.71531e-05-0j 5.89817e-05-0j 5.95929e-05-0j -2.65434e-05-0j -2.18972e-05-0j -6.99627e-06-0j 0.000619711-0j 0.000685894-0j 0.000542247-0j -0.00176723-0j 0.000547866-0j -0.00123002-0j 0.000223665-0j -0.000717511-0j 0.000391415-0j 0.000228325-0j 5.95642e-05-0j 
-0.000345344-0j -7.72119e-06-0j 0.000306305-0j 0.000309083-0j 1.61257e-05-0j -0.000429077-0j 0.000286573-0j 0.00213867-0j 4.68503e-05-0j -0.00179957-0j 0.00124756-0j -0.00181589-0j -4.15542e-05-0j -0.00377063-0j -0.00247148-0j 0.00379248-0j 0.00221325-0j -0.00100339-0j 
1.50121e-06-0j 1.6958e-06-0j -2.69213e-06-0j -2.72003e-06-0j 1.21154e-06-0j 9.99467e-07-0j 3.19335e-07-0j -4.72748e-05-0j -5.23236e-05-0j -4.13654e-05-0j 0.000134814-0j -4.17941e-05-0j 9.38323e-05-0j -1.70624e-05-0j 5.47355e-05-0j -2.98592e-05-0j -1.74178e-05-0j -4.54387e-06-0j 
0.000232615-0j -0.000509931-0j 0.000214548-0j 0.000191538-0j -0.000364312-0j 0.000591896-0j -0.000621591-0j -0.00291174-0j 0.00625406-0j -0.00254778-0j -0.00169852-0j -0.00227453-0j 0.00576832-0j -0.0010509-0j -0.00662683-0j -0.001625-0j -0.00131267-0j 0.0120863-0j 
4.06992e-05-0j 9.09951e-07-0j -3.60984e-05-0j -3.64258e-05-0j -1.90043e-06-0j 5.05672e-05-0j -3.3773e-05-0j -0.000766853-0j -1.67989e-05-0j 0.000645262-0j -0.000447331-0j 0.000651113-0j 1.48999e-05-0j 0.00135201-0j 0.000886186-0j -0.00135985-0j -0.000793595-0j 0.000359782-0j 
0.000201451-0j -0.000441613-0j 0.000185804-0j 0.000165877-0j -0.000315504-0j 0.000512597-0j -0.000538313-0j -0.00124756-0j 0.0026796-0j -0.00109161-0j -0.000727742-0j -0.000974541-0j 0.00247148-0j -0.000450268-0j -0.00283931-0j -0.000696245-0j -0.000562422-0j 0.00517845-0j 
-2.37412e-05-0j 5.20446e-05-0j -2.18972e-05-0j -1.95488e-05-0j 3.71825e-05-0j -6.04101e-05-0j 6.34408e-05-0j 0.000447331-0j -0.000960811-0j 0.000391415-0j 0.000260943-0j 0.000349436-0j -0.000886186-0j 0.00016145-0j 0.00101808-0j 0.000249649-0j 0.000201665-0j -0.00185681-0j 
-1.85765e-06-0j -4.15334e-08-0j 1.64766e-06-0j 1.6626e-06-0j 8.67426e-08-0j -2.30807e-06-0j 1.54152e-06-0j 5.84996e-05-0j 1.28151e-06-0j -4.9224e-05-0j 3.41247e-05-0j -4.96703e-05-0j -1.13664e-06-0j -0.000103139-0j -6.76029e-05-0j 0.000103737-0j 6.05396e-05-0j -2.7446e-05-0j 
1.08363e-06-0j -2.3755e-06-0j 9.99467e-07-0j 8.92276e-07-0j -1.69714e-06-0j 2.75733e-06-0j -2.89566e-06-0j -3.41247e-05-0j 7.32957e-05-0j -2.98592e-05-0j -1.99061e-05-0j -2.66568e-05-0j 6.76029e-05-0j -1.23163e-05-0j -7.76644e-05-0j -1.90446e-05-0j -1.53841e-05-0j 0.000141647-0j 
