-0.0717802-0j -0.00728015-0j -0.0073556-0j -0.00417687-0j -0.00060288-0j -0.00516862-0j -0.000746025-0j -0.00301503-0j -0.000435181-0j -0.002935-0j -0.000518839-0j -0.00342416-0j -4.32366e-05-0j -0.00209686-0j -0.000605312-0j -0.00299614-0j -0.000370676-0j -5.04427e-05-0j -0.00123585-0j -3.08897e-05-0j -0.000529648-0j -4.41373e-05-0j -0.000218469-0j -1.82057e-05-0j 0.442547-0j -0.000376533-0j 0.49991-0j -0.000230578-0j -4.70666e-05-0j 0.408175-0j -2.77343e-06-0j 0.412404-0j -0.000425339-0j -0.000260466-0j 0.357153-0j -0.000347288-0j -5.31674e-05-0j 0.294636-0j -0.00021267-0j -0.000350887-0j -3.13292e-06-0j 0.0941376-0j -4.3411e-05-0j -0.000303877-0j -0.000214874-0j -0.000186086-0j -4.38609e-05-0j -2.55802e-06-0j -0.000250686-0j -3.79846e-05-0j -0.000153513-0j -8.00953e-05-0j -2.58453e-06-0j -4.90482e-05-0j -3.13357e-05-0j -2.23827e-06-0j -1.84648e-06-0j -1.00119e-05-0j -5.89958e-07-0j 
8.12891e-08-0j -0.000139311-0j 0.000136747-0j 3.3232e-07-0j 0.00221512-0j 5.85331e-09-0j 3.90159e-05-0j -4.6952e-07-0j -0.00312963-0j 2.33514e-07-0j -9.92833e-06-0j 3.87777e-09-0j -0.0227814-0j 1.6683e-07-0j -1.64871e-07-0j -2.31593e-07-0j -7.09314e-06-0j -0.000378311-0j -2.89381e-07-0j -0.0162758-0j 9.84664e-06-0j 0.0225939-0j 1.23036e-05-0j 0.0282317-0j 1.79746e-07-0j -7.20521e-06-0j 2.89011e-09-0j 1.83453e-08-0j 0.000172933-0j 1.65786e-07-0j 0.138233-0j -1.62735e-07-0j -1.15851e-07-0j 2.9497e-10-0j 2.06479e-09-0j -6.64559e-06-0j 2.78057e-06-0j -2.34231e-07-0j 1.69204e-08-0j 6.52331e-06-0j 0.00222262-0j -1.5022e-07-0j 0.000159502-0j -8.27682e-08-0j -1.66091e-08-0j 2.10737e-10-0j -0.000156567-0j 0.127497-0j 9.38924e-06-0j 1.98653e-06-0j -2.39061e-08-0j 6.02163e-06-0j -0.125151-0j -1.53317e-08-0j -0.000225353-0j 0.00158792-0j -0.180134-0j -0.000144526-0j -0.115526-0j 
0.0413489-0j -0.00412645-0j 0.00423718-0j 0.00240608-0j 0.000347288-0j -0.00292961-0j -0.000422853-0j 0.0017368-0j 0.000250686-0j 0.0016907-0j 0.000298876-0j 0.00197248-0j 2.49064e-05-0j -0.00358493-0j 0.000348689-0j -0.00169824-0j -0.000633733-0j 2.90574e-05-0j 0.000711907-0j -5.2811e-05-0j -0.000300209-0j -2.50174e-05-0j 0.000125849-0j 1.04874e-05-0j 0.00130141-0j 0.000216901-0j 0.0014701-0j 0.000132824-0j 2.71127e-05-0j -0.00118107-0j 1.59763e-06-0j 0.00121277-0j 0.000245016-0j 0.000150041-0j -0.00311717-0j -0.000196846-0j 3.0627e-05-0j -0.000852545-0j -0.000120543-0j 0.000202128-0j 1.80471e-06-0j 0.000276833-0j -2.46057e-05-0j -0.000519528-0j 0.000123778-0j -0.000318145-0j 2.5266e-05-0j -1.44991e-06-0j -0.000142091-0j -6.4941e-05-0j -8.70125e-05-0j 4.61388e-05-0j 1.48881e-06-0j 2.82541e-05-0j -1.77613e-05-0j -3.82669e-06-0j -1.0466e-06-0j 5.76735e-06-0j 3.39844e-07-0j 
0.0405881-0j -0.00423718-0j 0.00427936-0j -0.00243102-0j -0.000350887-0j 0.00292259-0j 0.00042184-0j -0.00160707-0j -0.00023196-0j -0.00170822-0j -0.000301974-0j 0.00193619-0j -2.51645e-05-0j -0.00122041-0j 0.000342273-0j 0.0017431-0j -0.00021574-0j 2.85228e-05-0j -0.00343436-0j -1.79784e-05-0j 0.00030814-0j 2.56783e-05-0j -0.000607115-0j -5.05929e-05-0j -0.00131489-0j -0.000219149-0j 0.00144305-0j -0.000134201-0j -2.73936e-05-0j -0.00121277-0j -1.61419e-06-0j 0.00122484-0j 0.000240508-0j 0.00014728-0j 0.00103096-0j -0.000202128-0j 3.00635e-05-0j -0.000801723-0j -0.000123778-0j 0.00020414-0j 1.77151e-06-0j -0.00295842-0j -2.5266e-05-0j 0.000171827-0j 0.00012501-0j 0.000105222-0j 2.55175e-05-0j -1.48881e-06-0j -0.00013362-0j 2.14784e-05-0j -8.18255e-05-0j -0.000493069-0j 1.50363e-06-0j -0.000301942-0j -1.67026e-05-0j 1.26563e-06-0j -9.84208e-07-0j -6.16336e-05-0j -3.6318e-06-0j 
-0.00653784-0j -0.0308625-0j 0.0316907-0j -0.000380435-0j 0.00524978-0j 0.000463213-0j -0.00639206-0j -0.000274613-0j 0.00378949-0j -0.000267323-0j 0.00223535-0j -0.000311877-0j 0.000566714-0j 0.000566828-0j 0.00260791-0j 0.000268515-0j -0.00473981-0j 0.000661167-0j -0.000112562-0j -0.00120165-0j -0.00224532-0j -0.000569241-0j 0.000941245-0j 0.000238628-0j -0.000205771-0j 0.00162225-0j -0.000232443-0j -2.10014e-05-0j 0.000409848-0j 0.000186744-0j 4.85537e-05-0j -0.000191755-0j 0.00183252-0j -2.37236e-05-0j 0.000492868-0j -0.00147225-0j 0.000462973-0j 0.000134799-0j 1.90595e-05-0j 0.00151175-0j 5.48473e-05-0j -4.37711e-05-0j -0.000371952-0j -0.00388565-0j -1.9571e-05-0j 5.03031e-05-0j 0.000381933-0j -4.40642e-05-0j -0.00106272-0j -0.00098168-0j 1.37579e-05-0j 0.000345081-0j 4.52467e-05-0j -4.46737e-06-0j -0.000268489-0j -0.000116297-0j -3.18072e-05-0j 8.71821e-05-0j 1.03282e-05-0j 
-0.00641754-0j -0.0316907-0j 0.0320061-0j 0.000384377-0j -0.00530418-0j -0.000462102-0j 0.00637674-0j 0.0002541-0j -0.00350643-0j 0.000270094-0j -0.00225852-0j -0.000306139-0j -0.000572587-0j 0.000192964-0j 0.00255993-0j -0.000275609-0j -0.00161356-0j 0.000649002-0j 0.00054302-0j -0.000409076-0j 0.00230464-0j 0.000584279-0j -0.00454073-0j -0.00115118-0j 0.000207903-0j -0.00163906-0j -0.000228166-0j 2.1219e-05-0j -0.000414096-0j 0.000191755-0j -4.90569e-05-0j -0.000193664-0j 0.0017988-0j -2.32871e-05-0j -0.00016301-0j -0.00151175-0j 0.000454455-0j 0.000126764-0j 1.9571e-05-0j 0.0015268-0j 5.38381e-05-0j 0.000467766-0j -0.000381933-0j 0.00128513-0j -1.97658e-05-0j -1.66371e-05-0j 0.000385735-0j -4.52467e-05-0j -0.000999373-0j 0.000324678-0j 1.29377e-05-0j -0.00368776-0j 4.5697e-05-0j 4.77412e-05-0j -0.000252484-0j 3.84638e-05-0j -2.99112e-05-0j -0.000931684-0j -0.000110374-0j 
-0.00516862-0j 0.000515806-0j -0.000529648-0j 0.0289373-0j -4.3411e-05-0j -0.0352337-0j 5.28567e-05-0j 0.0208881-0j -3.13357e-05-0j -0.000211338-0j 0.00359451-0j -0.000246561-0j -3.1133e-06-0j 0.000448117-0j 0.0041936-0j 0.00021228-0j -0.00762174-0j -3.63218e-06-0j -8.89884e-05-0j 6.60138e-06-0j -0.00361054-0j 3.12718e-06-0j 0.00151355-0j -1.31092e-06-0j 0.0318661-0j -2.71127e-05-0j 0.0359965-0j 0.00321149-0j 0.000326077-0j -0.0289196-0j -1.99704e-07-0j 0.0296956-0j -3.0627e-05-0j 0.00362777-0j -0.0763265-0j 2.46057e-05-0j 0.000368343-0j -0.0208753-0j -0.00291455-0j -2.5266e-05-0j -2.25589e-07-0j 0.00677848-0j -0.000295927-0j 6.4941e-05-0j 0.00299276-0j -0.00769226-0j 0.000303868-0j 1.81238e-07-0j 1.77613e-05-0j -0.000781029-0j -0.00210383-0j -5.76735e-06-0j -1.86102e-07-0j 0.000683143-0j -0.000213611-0j 4.78336e-07-0j 1.30825e-07-0j 6.93625e-05-0j -4.24806e-08-0j 
-0.00344574-0j 0.000343871-0j -0.000353099-0j -0.000200507-0j -2.89407e-05-0j 0.000244135-0j 3.52378e-05-0j -0.000144733-0j -2.08905e-05-0j 0.041208-0j -2.49064e-05-0j 0.048076-0j -2.07553e-06-0j -0.0873768-0j -2.90574e-05-0j -0.0413917-0j 5.2811e-05-0j -2.42145e-06-0j 0.0173516-0j 4.40092e-06-0j 2.50174e-05-0j 2.08478e-06-0j -1.04874e-05-0j -8.73949e-07-0j -0.000108451-0j 0.00528661-0j -0.000122508-0j -1.10687e-05-0j -2.25939e-06-0j 9.84229e-05-0j -1.33136e-07-0j -0.000101064-0j 0.00597186-0j -1.25034e-05-0j 0.000259764-0j -0.00479779-0j -2.55225e-06-0j 7.10454e-05-0j 1.00452e-05-0j 0.00492654-0j -1.50393e-07-0j -2.30694e-05-0j 2.05048e-06-0j -0.0126626-0j -1.03148e-05-0j 2.65121e-05-0j -2.1055e-06-0j 1.20825e-07-0j -0.00346323-0j 5.41175e-06-0j 7.25104e-06-0j 0.00112456-0j -1.24068e-07-0j -2.35451e-06-0j 1.48011e-06-0j 3.1889e-07-0j 8.72165e-08-0j -4.80613e-07-0j -2.83204e-08-0j 
0.000746025-0j 0.00711782-0j -0.00730883-0j 4.3411e-05-0j 0.0280337-0j -5.28567e-05-0j -0.0341335-0j 3.13357e-05-0j 0.0202358-0j 3.0504e-05-0j -0.00051554-0j 3.55879e-05-0j 0.0061608-0j -6.46801e-05-0j -0.000601463-0j -3.06399e-05-0j 0.00109314-0j 0.0071876-0j 1.28444e-05-0j -0.0130633-0j 0.000517838-0j -0.00618827-0j -0.000217079-0j 0.00259414-0j -0.00459947-0j -0.000374139-0j -0.00519565-0j 2.39644e-06-0j 0.00218859-0j 0.00417418-0j 0.000795915-0j -0.0042862-0j -0.000422635-0j 2.70707e-06-0j 0.0110168-0j 0.000339544-0j 0.00247227-0j 0.00301308-0j -2.17486e-06-0j -0.000348656-0j 0.000899081-0j -0.00097839-0j -0.00198622-0j 0.000896147-0j 2.23322e-06-0j -5.74003e-06-0j 0.00203952-0j -0.000722321-0j 0.000245096-0j -0.00524216-0j -1.5699e-06-0j -7.9586e-05-0j 0.000741704-0j 5.09767e-07-0j -0.00143373-0j -0.0019064-0j -0.000521399-0j 0.000465551-0j 0.000169305-0j 
-0.00507351-0j 0.000529648-0j -0.00053492-0j -0.0292372-0j 4.38609e-05-0j 0.0351493-0j -5.273e-05-0j -0.0193278-0j 2.8995e-05-0j 0.000213528-0j -0.00363176-0j -0.000242024-0j 3.14556e-06-0j 0.000152552-0j 0.00411644-0j -0.000217888-0j -0.00259466-0j -3.56535e-06-0j 0.000429295-0j 2.2473e-06-0j 0.00370592-0j -3.20979e-06-0j -0.00730162-0j 6.32411e-06-0j -0.0321963-0j 2.73936e-05-0j 0.0353342-0j -0.00324478-0j -0.000329456-0j -0.0296956-0j 2.01773e-07-0j 0.0299912-0j -3.00635e-05-0j 0.00356102-0j 0.025244-0j 2.5266e-05-0j 0.000361566-0j -0.0196308-0j -0.00299276-0j -2.55175e-05-0j -2.21439e-07-0j -0.0724392-0j -0.000303868-0j -2.14784e-05-0j 0.00302255-0j 0.00254412-0j 0.000306892-0j 1.86102e-07-0j 1.67026e-05-0j 0.000258315-0j -0.00197842-0j 6.16336e-05-0j -1.87954e-07-0j -0.0073005-0j -0.000200877-0j -1.58203e-07-0j 1.23026e-07-0j -0.000741252-0j 4.53975e-07-0j 
-0.00338234-0j 0.000353099-0j -0.000356613-0j 0.000202585-0j 2.92406e-05-0j -0.000243549-0j -3.51533e-05-0j 0.000133922-0j 1.933e-05-0j -0.0416351-0j 2.51645e-05-0j 0.0471915-0j 2.09704e-06-0j -0.0297455-0j -2.85228e-05-0j 0.0424852-0j 1.79784e-05-0j -2.3769e-06-0j -0.0837069-0j 1.4982e-06-0j -2.56783e-05-0j -2.13986e-06-0j 5.05929e-05-0j 4.21608e-06-0j 0.000109575-0j -0.0053414-0j -0.000120254-0j 1.11834e-05-0j 2.2828e-06-0j 0.000101064-0j 1.34515e-07-0j -0.00010207-0j 0.00586198-0j -1.22734e-05-0j -8.59136e-05-0j -0.00492654-0j -2.50529e-06-0j 6.68102e-05-0j 1.03148e-05-0j 0.00497557-0j -1.47626e-07-0j 0.000246535-0j 2.1055e-06-0j 0.004188-0j -1.04175e-05-0j -8.76852e-06-0j -2.12646e-06-0j 1.24068e-07-0j -0.00325678-0j -1.78987e-06-0j 6.81879e-06-0j -0.0120177-0j -1.25303e-07-0j 2.51618e-05-0j 1.39188e-06-0j -1.05469e-07-0j 8.20173e-08-0j 5.13614e-06-0j 3.0265e-07-0j 
0.000732299-0j 0.00730883-0j -0.00738158-0j -4.38609e-05-0j -0.0283243-0j 5.273e-05-0j 0.0340517-0j -2.8995e-05-0j -0.0187243-0j -3.08201e-05-0j 0.000520882-0j 3.49331e-05-0j -0.00622465-0j -2.20189e-05-0j -0.000590396-0j 3.14494e-05-0j 0.000372136-0j 0.00705535-0j -6.19634e-05-0j -0.0044471-0j -0.000531518-0j 0.00635175-0j 0.00104723-0j -0.0125146-0j 0.00464713-0j 0.000378016-0j -0.00510006-0j -2.42128e-06-0j -0.00221127-0j 0.0042862-0j -0.000804163-0j -0.00432886-0j -0.000414858-0j 2.65726e-06-0j -0.00364366-0j 0.000348656-0j 0.00242678-0j 0.00283347-0j -2.23322e-06-0j -0.000352126-0j 0.000882539-0j 0.0104557-0j -0.00203952-0j -0.000296389-0j 2.25545e-06-0j 1.89844e-06-0j 0.00205982-0j -0.000741704-0j 0.000230485-0j 0.00173378-0j -1.47631e-06-0j 0.000850508-0j 0.000749087-0j -5.4477e-06-0j -0.00134826-0j 0.000630516-0j -0.000490317-0j -0.00497518-0j -0.00180931-0j 
0.000861436-0j 0.00406649-0j -0.00417562-0j -0.00482289-0j -0.000691719-0j 0.00587229-0j 0.000842228-0j -0.00348135-0j -0.000499309-0j -0.00513339-0j 0.0283383-0j -0.00598896-0j -7.46712e-05-0j 0.0108848-0j 0.0330613-0j 0.00515628-0j -0.060088-0j -8.71164e-05-0j -0.00216153-0j 0.000158332-0j -0.0284646-0j 7.50041e-05-0j 0.0119325-0j -3.1442e-05-0j 2.71127e-05-0j 0.0311519-0j 3.0627e-05-0j -0.000535249-0j 0.00519577-0j -2.46057e-05-0j -6.39751e-06-0j 2.5266e-05-0j 0.0351898-0j -0.000604628-0j -6.4941e-05-0j -0.0282715-0j 0.00586925-0j -1.77613e-05-0j 0.000485758-0j 0.0290301-0j -7.22676e-06-0j 5.76735e-06-0j -0.00471535-0j -0.0746159-0j -0.000498793-0j 0.00128204-0j 0.00484189-0j 5.80597e-06-0j -0.0204074-0j -0.0124451-0j 0.000350638-0j 0.00662657-0j -5.96177e-06-0j -0.000113857-0j -0.00340372-0j 1.53235e-05-0j 4.19097e-06-0j 0.00110523-0j -1.36087e-06-0j 
