-0.00832018-0j -0.00590699-0j -0.0008526-0j -0.00338904-0j -0.00342416-0j -0.000599103-0j -4.99253e-05-0j -0.000605312-0j -5.04427e-05-0j -0.0023814-0j -0.00294684-0j -0.000396901-0j -0.00171899-0j -0.000243051-0j -4.96126e-05-0j -0.000491139-0j -0.00030076-0j -2.92345e-06-0j -0.000286498-0j -6.13924e-05-0j -0.000175443-0j -3.61758e-06-0j -3.58123e-05-0j -2.11026e-06-0j -0.00183307-0j -0.00213859-0j -0.000295811-0j -0.00130961-0j -0.00187126-0j -0.000241529-0j -0.000771856-0j -0.000345113-0j -3.48617e-05-0j -3.01911e-05-0j -0.000211338-0j -0.000281783-0j -3.55805e-06-0j -0.000301974-0j -0.000172556-0j -4.06719e-05-0j -1.62402e-07-0j -0.000124558-0j -2.49064e-05-0j -3.52229e-05-0j -0.000246561-0j -2.15696e-05-0j -4.15106e-06-0j -3.55879e-05-0j -0.000101701-0j -3.08201e-05-0j -2.542e-06-0j -1.89469e-07-0j -1.46793e-05-0j -3.63218e-06-0j -1.16026e-07-0j -1.27126e-05-0j -1.65786e-07-0j -1.4982e-06-0j -6.8383e-08-0j 
0.00773406-0j 7.81562e-05-0j 1.12809e-05-0j 0.0031503-0j -0.00309234-0j 0.0005569-0j 4.64083e-05-0j -0.000546653-0j -4.55544e-05-0j 0.00221365-0j 3.899e-05-0j 0.000368941-0j -0.00312756-0j 0.000225929-0j 4.61176e-05-0j 6.49833e-06-0j 3.9794e-06-0j 2.71751e-06-0j -0.000521259-0j 8.12291e-07-0j -0.000319205-0j 4.78647e-08-0j -6.51574e-05-0j -3.83944e-06-0j 0.00170394-0j 2.82959e-05-0j 0.000274973-0j 0.00121736-0j -0.00168992-0j 0.000224514-0j -0.0021116-0j 4.56623e-06-0j 3.24058e-05-0j 2.80643e-05-0j 0.00019645-0j 3.72831e-06-0j 3.30741e-06-0j -0.00027271-0j 0.000160401-0j 5.38136e-07-0j 1.50962e-07-0j -0.000340758-0j 2.31519e-05-0j 4.66039e-07-0j -0.000222667-0j 2.00501e-05-0j 5.49233e-08-0j -3.21392e-05-0j -0.000278228-0j -2.78334e-05-0j 2.36293e-06-0j 2.50689e-09-0j -4.01587e-05-0j -3.2802e-06-0j 1.07852e-07-0j -3.47785e-05-0j -1.4972e-07-0j -4.09868e-06-0j -1.87078e-07-0j 
0.0570355-0j -1.21847e-05-0j 0.000168142-0j -0.000491139-0j 0.000482103-0j 0.0041069-0j 0.0010412-0j -0.00403134-0j -0.00102204-0j -0.000345113-0j -6.07863e-06-0j 0.00272079-0j 0.000487594-0j -3.52229e-05-0j 0.000687386-0j 4.79225e-05-0j -6.20398e-07-0j 8.14329e-05-0j -0.00384407-0j 1.21073e-05-0j 4.97648e-05-0j 1.43432e-06-0j -0.000971176-0j -0.000115053-0j -0.000265649-0j -4.4114e-06-0j 0.00202781-0j -0.000189789-0j 0.000263463-0j -3.50023e-05-0j 0.000329203-0j 3.36741e-05-0j 0.000483011-0j 0.000206962-0j 0.00144874-0j -5.81253e-07-0j 7.42035e-05-0j -0.00201112-0j -2.50069e-05-0j 8.02095e-06-0j 5.66054e-06-0j -0.00251295-0j 0.00034508-0j 3.43684e-06-0j 3.47143e-05-0j 0.000147861-0j 1.23223e-06-0j -0.000479037-0j 4.33764e-05-0j -0.00020526-0j 5.30135e-05-0j 9.39997e-08-0j -0.000598568-0j -7.3593e-05-0j 4.04409e-06-0j -0.000256477-0j -5.61397e-06-0j -9.19561e-05-0j -7.01478e-06-0j 
-0.000933977-0j 0.000908092-0j -1.36229e-06-0j -0.000380435-0j 0.000373435-0j 0.00647059-0j -5.60434e-06-0j -0.00635153-0j 5.50122e-06-0j -0.000267323-0j -4.70849e-06-0j -4.45539e-05-0j 0.000377688-0j 0.0052774-0j 0.000535838-0j -7.84748e-07-0j 9.29534e-05-0j -3.2817e-07-0j 6.29481e-05-0j 9.43797e-06-0j -0.0074562-0j -5.78022e-09-0j -0.00075706-0j 4.63656e-07-0j 0.0507553-0j 0.000842849-0j -3.32061e-05-0j 0.0362613-0j -0.0503377-0j 0.00260862-0j -0.0628982-0j -5.51425e-07-0j -3.91338e-06-0j 0.000655544-0j -2.37236e-05-0j 4.33191e-05-0j 3.84286e-05-0j 3.29329e-05-0j 0.00186369-0j -6.49861e-08-0j -1.82304e-08-0j 4.11504e-05-0j -2.79585e-06-0j 1.0886e-05-0j -0.00258716-0j 0.000468343-0j 6.3815e-07-0j 3.88118e-06-0j -0.00323271-0j -0.00065015-0j 2.74547e-05-0j -3.02736e-10-0j 4.84963e-06-0j -3.81124e-05-0j -1.30244e-08-0j -0.000812378-0j 1.80804e-08-0j -4.76223e-05-0j 2.25919e-08-0j 
-0.0128883-0j 1.36229e-06-0j 0.000879736-0j 5.49111e-05-0j -5.39007e-05-0j -0.000928038-0j 0.0110902-0j 0.000910963-0j -0.0108862-0j 3.85848e-05-0j 6.79612e-07-0j -0.000614817-0j -5.45146e-05-0j 3.93804e-06-0j 0.00359647-0j -1.08291e-05-0j 6.93626e-08-0j 0.00130792-0j 0.000868646-0j 6.33463e-05-0j -5.56388e-06-0j 2.30369e-05-0j -0.00508129-0j -0.00184789-0j -0.0073259-0j -0.000121655-0j -0.000458225-0j -0.00523387-0j 0.00726562-0j 3.91338e-06-0j 0.00907857-0j -7.60934e-06-0j 0.00252716-0j -4.67673e-05-0j -0.000327371-0j 6.49861e-08-0j 0.000790374-0j 0.000454455-0j 2.79585e-06-0j 4.19664e-05-0j 0.000121517-0j 0.000567852-0j 0.00180549-0j -7.76625e-07-0j -3.88118e-06-0j -3.34122e-05-0j 1.31251e-05-0j -0.00250637-0j -4.84963e-06-0j 4.63826e-05-0j 0.000564671-0j 2.01792e-06-0j -0.00313177-0j -0.000783872-0j 8.68156e-05-0j 5.79561e-05-0j -0.000120517-0j -0.000979466-0j -0.000150588-0j 
-0.0008526-0j -8.61591e-06-0j -1.2436e-06-0j 0.0506138-0j -0.0496825-0j -6.13924e-05-0j -5.11604e-06-0j 6.02628e-05-0j 5.0219e-06-0j 0.0478025-0j 0.000841968-0j 0.00592753-0j -0.0675379-0j -2.49064e-05-0j -5.08399e-06-0j 0.000104404-0j -4.38688e-07-0j -2.99577e-07-0j -0.00837473-0j -8.95467e-08-0j 3.5189e-05-0j -5.27659e-09-0j 7.18293e-06-0j 4.23258e-07-0j -0.000187842-0j -3.11933e-06-0j 0.00593789-0j -0.000134201-0j 0.000186297-0j 0.00360712-0j 0.000232782-0j 9.86054e-05-0j 0.000520643-0j -3.0938e-06-0j 0.00424223-0j 5.99003e-05-0j -3.64607e-07-0j -0.00588904-0j 0.00257705-0j 8.64587e-06-0j -1.6642e-08-0j -0.00735849-0j 0.000371965-0j -5.1376e-08-0j -0.00357744-0j -2.21031e-06-0j -6.05472e-09-0j -0.00051636-0j -0.0044701-0j 3.06834e-06-0j -2.60488e-07-0j -2.76359e-10-0j -0.000645203-0j 3.61608e-07-0j -1.18896e-08-0j 3.83397e-06-0j 1.65051e-08-0j 4.51837e-07-0j 2.06234e-08-0j 
-0.00712943-0j -0.000146543-0j -2.10178e-05-0j 6.13924e-05-0j -6.02628e-05-0j 0.0493927-0j -0.000130149-0j -0.0484839-0j 0.000127755-0j -0.00845037-0j -0.00014884-0j -0.000340098-0j 0.0119391-0j -0.000851637-0j 0.00826702-0j -5.99031e-06-0j -1.50003e-05-0j -1.01791e-05-0j 0.000480509-0j 0.000145611-0j 0.00120324-0j -1.79289e-07-0j -0.0116801-0j 1.43816e-05-0j 3.32061e-05-0j 5.51425e-07-0j 0.0496526-0j 2.37236e-05-0j -3.29329e-05-0j -0.000420964-0j -4.11504e-05-0j 0.000824537-0j -6.03764e-05-0j 0.00500404-0j 0.0354735-0j -6.99058e-06-0j 0.000892427-0j -0.0492441-0j -0.000300751-0j -1.00262e-06-0j -7.07568e-07-0j -0.0615316-0j -4.3135e-05-0j 8.30977e-05-0j 0.000417501-0j 0.00357506-0j 1.48198e-05-0j 5.98796e-05-0j 0.000521677-0j -0.00496287-0j 0.00063758-0j -1.175e-08-0j 7.4821e-05-0j -0.000885084-0j -5.05511e-07-0j -0.00620122-0j 7.01746e-07-0j -0.00110593-0j 8.76848e-07-0j 
-0.00475296-0j 1.01539e-06-0j -1.40118e-05-0j -0.0119707-0j 0.0117505-0j -0.000342242-0j -8.67663e-05-0j 0.000335945-0j 8.51698e-05-0j 2.87594e-05-0j 5.06553e-07-0j 0.0663147-0j -4.06328e-05-0j 2.93524e-06-0j -5.72822e-05-0j 0.00116803-0j 5.16998e-08-0j -6.78608e-06-0j -0.0936928-0j -1.00894e-06-0j -4.14707e-06-0j -1.19526e-07-0j 8.09313e-05-0j 9.58773e-06-0j 2.21374e-05-0j 3.67617e-07-0j -0.000168984-0j 1.58157e-05-0j -2.19553e-05-0j -0.000853123-0j -2.74336e-05-0j -2.80617e-06-0j 0.0117726-0j -1.72469e-05-0j -0.000120728-0j -1.41671e-05-0j -6.18362e-06-0j 0.000167594-0j -0.000609501-0j 0.000195497-0j -4.71712e-07-0j 0.000209412-0j 0.00841075-0j -2.86404e-07-0j 0.000846104-0j -1.23218e-05-0j -1.02686e-07-0j -0.0116757-0j 0.00105723-0j 1.7105e-05-0j -4.41779e-06-0j -7.83331e-09-0j -0.0145891-0j 6.13275e-06-0j -3.37007e-07-0j 2.1373e-05-0j 4.67831e-07-0j 7.66301e-06-0j 5.84565e-07-0j 
0.00180748-0j -1.26924e-07-0j -0.000251166-0j -5.11604e-06-0j 5.0219e-06-0j 0.000130149-0j 0.0478286-0j -0.000127755-0j -0.0469486-0j 0.000704198-0j 1.24034e-05-0j 8.62229e-05-0j -0.000994928-0j -3.66906e-07-0j -0.0010268-0j 1.51868e-06-0j -6.46248e-09-0j 0.0115683-0j -0.00012182-0j -1.80855e-05-0j 5.18383e-07-0j 0.000203758-0j 0.00145072-0j -0.0163443-0j -2.76718e-06-0j -4.59521e-08-0j -0.0125881-0j -1.97697e-06-0j 2.74441e-06-0j -3.64607e-07-0j 3.4292e-06-0j -0.000209039-0j -0.00072151-0j 6.55872e-06-0j -0.00899336-0j -6.05472e-09-0j 0.00340863-0j 0.0124845-0j -2.60488e-07-0j -1.19815e-05-0j 0.00162357-0j 0.0155997-0j -0.000515472-0j 1.08915e-07-0j 3.61608e-07-0j 4.68578e-06-0j 5.66042e-05-0j 0.000715574-0j 4.51837e-07-0j -6.50476e-06-0j 0.00243524-0j 2.69613e-05-0j 0.000894126-0j -0.00338059-0j 0.00115994-0j -8.12785e-06-0j -0.00161022-0j -0.00422412-0j -0.002012-0j 
8.70182e-05-0j -0.000170092-0j 1.26924e-07-0j -0.00516575-0j 0.0050707-0j -0.00121199-0j 5.22153e-07-0j 0.00118969-0j -5.12546e-07-0j 2.49064e-05-0j 4.38688e-07-0j -0.000604976-0j -3.5189e-05-0j 0.0470606-0j -0.000100366-0j -1.06557e-05-0j 0.000828901-0j 3.05755e-08-0j 0.000854742-0j -1.7678e-06-0j -0.0664898-0j 5.3854e-10-0j 0.000141803-0j -4.31986e-08-0j 1.91716e-05-0j 3.18365e-07-0j 3.0938e-06-0j 1.36968e-05-0j -1.90138e-05-0j 0.0712106-0j -2.37582e-05-0j 5.1376e-08-0j -5.31379e-05-0j 0.00584573-0j 2.21031e-06-0j 0.00118253-0j -7.19796e-06-0j -3.06834e-06-0j 0.0508753-0j -8.82415e-07-0j 1.69851e-09-0j -3.83397e-06-0j -3.79636e-05-0j 9.7075e-05-0j -0.0706247-0j 0.00417639-0j -1.1953e-07-0j 5.27007e-05-0j -0.0882472-0j -0.00579764-0j -5.14247e-06-0j 2.82058e-11-0j 6.58508e-05-0j 7.13873e-06-0j 1.21348e-09-0j -0.00724428-0j -1.68454e-09-0j 8.92002e-06-0j -2.10487e-09-0j 
0.00169819-0j 1.72702e-05-0j -0.000115915-0j 0.00105445-0j -0.00103505-0j -0.011765-0j -0.00146127-0j 0.0115486-0j 0.00143438-0j -5.08399e-06-0j -8.95467e-08-0j -0.0118063-0j 7.18293e-06-0j 0.000100366-0j 0.0455936-0j -0.00020795-0j 1.7678e-06-0j -0.000172333-0j 0.0166806-0j 0.000803061-0j -0.000141803-0j -3.03538e-06-0j -0.064417-0j 0.000243481-0j -3.91338e-06-0j -6.49861e-08-0j 6.03764e-05-0j -2.79585e-06-0j 3.88118e-06-0j -0.00723032-0j 4.84963e-06-0j 1.00262e-06-0j 0.0485289-0j -0.00119193-0j 4.3135e-05-0j -0.000120068-0j 0.0100198-0j -5.98796e-05-0j -0.00516559-0j 0.000805878-0j -1.60112e-05-0j -7.4821e-05-0j 0.0346707-0j -1.97933e-05-0j 0.00717084-0j -0.000851556-0j 0.00016639-0j -0.0481297-0j 0.00896013-0j 0.00118212-0j 0.0071585-0j -2.65884e-07-0j -0.0601391-0j -0.00993738-0j -1.1439e-05-0j 0.00147709-0j 1.58795e-05-0j -0.012417-0j 1.98418e-05-0j 
0.000420106-0j 2.60848e-05-0j 1.23848e-06-0j -3.61758e-06-0j 3.55102e-06-0j -0.00879197-0j 7.66913e-06-0j 0.0086302-0j -7.52802e-06-0j -2.542e-06-0j -4.47734e-08-0j 2.00405e-05-0j 3.59147e-06-0j -0.0145601-0j -0.00147154-0j 3.52982e-07-0j -0.000256454-0j 5.9981e-07-0j -2.83142e-05-0j -2.5919e-05-0j 0.0205713-0j 1.05647e-08-0j 0.00207907-0j -8.47443e-07-0j -1.95669e-06-0j -3.2493e-08-0j 1.49362e-05-0j -1.39793e-06-0j 1.94059e-06-0j 7.49323e-05-0j 2.42481e-06-0j 2.48033e-07-0j 3.55771e-06-0j 0.0855521-0j 1.06709e-05-0j 1.24434e-06-0j -0.000158853-0j -1.48133e-05-0j 5.35342e-05-0j 5.90799e-08-0j 4.16938e-08-0j -1.85096e-05-0j 2.54175e-06-0j 0.00142069-0j -7.43158e-05-0j 0.0611214-0j -2.63794e-06-0j -3.52844e-06-0j -9.28593e-05-0j -0.0848483-0j -0.00011349-0j 6.92373e-10-0j -4.40887e-06-0j 0.000157546-0j 2.97875e-08-0j -0.10602-0j -4.13508e-08-0j 0.000196858-0j -5.16688e-08-0j 
