0.00559431-0j -0.0230134-0j -0.0182582-0j 0.00153207-0j 0.0249863-0j 0.079172-0j -0.0114971-0j 0.032236-0j -0.141548-0j -0.162179-0j 0.00666919-0j 0.00571449-0j -0.023179-0j -0.018018-0j 0.0246576-0j 0.00207027-0j 0.0756495-0j -0.00634783-0j 0.0308017-0j -0.0117281-0j -0.0848283-0j 0.0476361-0j 0.0183893-0j -0.174493-0j -0.0659067-0j 0.00187623-0j 
0.0174045-0j -0.0312769-0j 0.00714964-0j -0.123542-0j -0.026849-0j 0.168744-0j 0.00138452-0j 0.165362-0j -0.00900543-0j -0.005244-0j -0.00098246-0j 0.00321975-0j -0.00570514-0j 0.0012778-0j -0.00479852-0j -0.0145337-0j -0.00234363-0j 0.0404966-0j -0.00229665-0j -0.00487475-0j 0.0258888-0j -0.000453841-0j 0.0106599-0j -0.000770321-0j -0.000281152-0j -4.12896e-05-0j 
-0.0137624-0j -0.00715113-0j 0.0961235-0j -0.00376898-0j 0.0455954-0j -0.00309653-0j -0.00109479-0j -0.00084802-0j -0.000899461-0j -0.000246327-0j -3.01688e-05-0j 0.0319901-0j 0.01639-0j 0.0126957-0j 0.00602208-0j -0.197052-0j -0.114477-0j 0.0044886-0j -0.0313507-0j 0.00388724-0j 0.00260764-0j 0.00130382-0j 0.000504967-0j 0.000618456-0j 0.000131194-0j 1.35799e-05-0j 
-0.00108333-0j 0.00947598-0j -0.000445025-0j -0.000296683-0j -0.0430344-0j 0.00410322-0j -8.61787e-05-0j 0.0977178-0j -0.0144342-0j -0.0452937-0j -0.245022-0j -0.00110661-0j 0.00954415-0j -0.00043917-0j -0.0424682-0j -0.000400906-0j 0.00392066-0j 0.00261377-0j 0.0933702-0j -0.000134468-0j -0.0183893-0j 0.000759233-0j -0.0408034-0j 0.0313173-0j -0.129078-0j -0.123237-0j 
0.0106581-0j 0.00553809-0j -0.0739478-0j 0.00291883-0j 0.00207678-0j -0.0405029-0j 0.362368-0j 0.000656736-0j 0.0872413-0j -0.00322198-0j 2.33638e-05-0j 0.00197169-0j 0.00101019-0j -0.0132161-0j 0.000371167-0j 0.000714312-0j -0.00700891-0j 0.000276652-0j 0.000113646-0j 0.0300068-0j -0.00271454-0j 0.0343459-0j 3.11233e-05-0j 0.00477405-0j -0.000136573-0j 8.36989e-07-0j 
0.0106581-0j -0.0191531-0j 0.00437824-0j -0.0756537-0j -0.0164416-0j 0.103334-0j 0.000847843-0j 0.101263-0j -0.00551468-0j -0.00321128-0j -0.000601632-0j 0.010887-0j -0.0192909-0j 0.00432064-0j -0.0162253-0j -0.049143-0j -0.00792453-0j 0.136932-0j -0.0077657-0j -0.0164831-0j 0.0875381-0j -0.00153458-0j 0.0360446-0j -0.0026047-0j -0.000950665-0j -0.000139613-0j 
0.0065267-0j 0.00339137-0j -0.0452836-0j 0.00178741-0j 0.00127176-0j -0.0248028-0j 0.221904-0j 0.000402167-0j 0.0534242-0j -0.00197305-0j 1.43074e-05-0j 0.0066669-0j 0.00341577-0j -0.0446879-0j 0.00125503-0j 0.00241531-0j -0.0236993-0j 0.000935447-0j 0.000384274-0j 0.101462-0j -0.0091787-0j 0.116134-0j 0.000105238-0j 0.0161425-0j -0.000461795-0j 2.83012e-06-0j 
-0.00714964-0j 0.0294116-0j 0.0233343-0j -0.00195801-0j -0.031933-0j -0.101183-0j 0.0146935-0j -0.0411982-0j 0.180901-0j 0.207269-0j -0.00852335-0j -0.00132265-0j 0.00536491-0j 0.00417037-0j -0.00570714-0j -0.000479175-0j -0.0175095-0j 0.00146924-0j -0.00712923-0j 0.00271454-0j 0.019634-0j -0.0110256-0j -0.0042563-0j 0.0403873-0j 0.0152545-0j -0.000434263-0j 
-0.0166825-0j 0.0299793-0j -0.00685303-0j 0.118417-0j 0.0257352-0j -0.161743-0j -0.00132708-0j -0.158501-0j 0.00863184-0j 0.00502645-0j 0.000941702-0j 0.0108685-0j -0.0192581-0j 0.0043133-0j -0.0161977-0j -0.0490594-0j -0.00791106-0j 0.136699-0j -0.0077525-0j -0.016455-0j 0.0873892-0j -0.00153197-0j 0.0359833-0j -0.00260027-0j -0.000949048-0j -0.000139376-0j 
-0.00437824-0j 0.0180109-0j 0.0142893-0j -0.00119903-0j -0.0195549-0j -0.0619619-0j 0.00899791-0j -0.0252287-0j 0.110779-0j 0.126926-0j -0.00521946-0j -0.00447229-0j 0.0181404-0j 0.0141013-0j -0.0192976-0j -0.00162024-0j -0.0592051-0j 0.00496796-0j -0.0241062-0j 0.0091787-0j 0.0663887-0j -0.0372812-0j -0.0143919-0j 0.136562-0j 0.0515801-0j -0.00146838-0j 
-0.0102159-0j -0.00530834-0j 0.07088-0j -0.00279774-0j -0.00199063-0j 0.0388226-0j -0.347335-0j -0.000629491-0j -0.083622-0j 0.00308832-0j -2.23945e-05-0j 0.00665556-0j 0.00340996-0j -0.0446119-0j 0.0012529-0j 0.00241121-0j -0.023659-0j 0.000933856-0j 0.000383621-0j 0.10129-0j -0.0091631-0j 0.115937-0j 0.000105059-0j 0.0161151-0j -0.000461009-0j 2.82531e-06-0j 
0.00753795-0j -0.0135461-0j 0.00309653-0j -0.0535064-0j -0.0116284-0j 0.0730834-0j 0.000599641-0j 0.0716186-0j -0.00390028-0j -0.00227119-0j -0.000425506-0j -0.0175217-0j 0.031047-0j -0.0069537-0j 0.0261132-0j 0.0790914-0j 0.0127539-0j -0.22038-0j 0.0124982-0j 0.0265281-0j -0.140885-0j 0.00246977-0j -0.0580106-0j 0.00419203-0j 0.00153001-0j 0.000224695-0j 
0.00138452-0j -0.0121105-0j 0.00056875-0j 0.000379167-0j 0.0549987-0j -0.005244-0j 0.000110138-0j -0.124885-0j 0.0184471-0j 0.0578862-0j 0.313143-0j 0.00025613-0j -0.00220905-0j 0.000101648-0j 0.0098295-0j 9.27919e-05-0j -0.000907459-0j -0.000604972-0j -0.021611-0j 3.11233e-05-0j 0.0042563-0j -0.000175729-0j 0.00944416-0j -0.00724856-0j 0.0298757-0j 0.0285239-0j 
0.00461603-0j 0.00239856-0j -0.032027-0j 0.00126415-0j 0.000899461-0j -0.0175419-0j 0.156943-0j 0.000284434-0j 0.0377845-0j -0.00139545-0j 1.01189e-05-0j -0.0107298-0j -0.00549739-0j 0.0719212-0j -0.00201987-0j -0.00388724-0j 0.038142-0j -0.00150552-0j -0.000618456-0j -0.163295-0j 0.0147723-0j -0.186908-0j -0.000169371-0j -0.02598-0j 0.000743219-0j -4.55484e-06-0j 
0.00685303-0j -0.0281915-0j -0.0223663-0j 0.00187678-0j 0.0306082-0j 0.0969857-0j -0.014084-0j 0.0394891-0j -0.173396-0j -0.19867-0j 0.00816975-0j -0.00446469-0j 0.0181096-0j 0.0140773-0j -0.0192648-0j -0.00161749-0j -0.0591044-0j 0.00495952-0j -0.0240652-0j 0.0091631-0j 0.0662758-0j -0.0372178-0j -0.0143674-0j 0.13633-0j 0.0514924-0j -0.00146588-0j 
0.000847843-0j -0.00741613-0j 0.000348287-0j 0.000232191-0j 0.0336797-0j -0.00321128-0j 6.74455e-05-0j -0.0764763-0j 0.0112965-0j 0.0354479-0j 0.19176-0j 0.000866056-0j -0.00746948-0j 0.000343705-0j 0.0332366-0j 0.000313758-0j -0.0030684-0j -0.0020456-0j -0.0730737-0j 0.000105238-0j 0.0143919-0j -0.000594194-0j 0.0319337-0j -0.0245097-0j 0.101019-0j 0.0964483-0j 
-0.00132708-0j 0.0116081-0j -0.000545156-0j -0.000363437-0j -0.0527171-0j 0.00502645-0j -0.000105569-0j 0.119704-0j -0.0176819-0j -0.0554848-0j -0.300152-0j 0.000864583-0j -0.00745678-0j 0.000343121-0j 0.0331801-0j 0.000313225-0j -0.00306319-0j -0.00204212-0j -0.0729495-0j 0.000105059-0j 0.0143674-0j -0.000593183-0j 0.0318794-0j -0.024468-0j 0.100847-0j 0.0962843-0j 
-0.00309653-0j 0.0127383-0j 0.0101062-0j -0.00084802-0j -0.0138303-0j -0.0438228-0j 0.00636381-0j -0.0178431-0j 0.0783488-0j 0.0897686-0j -0.00369149-0j 0.00719777-0j -0.0291955-0j -0.0226949-0j 0.0310579-0j 0.00260764-0j 0.0952854-0j -0.00799551-0j 0.0387968-0j -0.0147723-0j -0.106847-0j 0.0600008-0j 0.0231625-0j -0.219785-0j -0.0830138-0j 0.00236323-0j 
0.000599641-0j -0.00524509-0j 0.000246327-0j 0.000164218-0j 0.0238201-0j -0.00227119-0j 4.77011e-05-0j -0.0540882-0j 0.00798951-0j 0.0250707-0j 0.135623-0j -0.00139384-0j 0.0120215-0j -0.000553164-0j -0.0534915-0j -0.000504967-0j 0.00493833-0j 0.00329222-0j 0.117606-0j -0.000169371-0j -0.0231625-0j 0.000956303-0j -0.0513945-0j 0.0394462-0j -0.162582-0j -0.155225-0j 
