0.0375118+0.01787j 0.020902-0.0362537j 0.0321028+0.0215107j -0.0143558+0.0305102j 0.00247533+0.0034603j 0.00323766-0.00598334j -0.00323835-0.00184531j -0.0118219+0.0127596j -0.00569163-0.0021335j -0.00809281-0.000101313j 0.00579359+0.00113257j 0.00642286+0.0110751j -0.00660943-0.00993361j -0.000126357-0.00472299j -0.00235813+0.00549501j -0.00726475+0.00511263j 0.000221668+0.0114254j -0.004823-0.00668588j -0.00194865+0.0057648j -0.0145864+0.00254829j -0.000298455+0.00608344j -0.00520973+0.00697782j 0.00158795+0.00756164j 0.00251649-0.00109378j -0.00408743+0.00622865j 0.00230621+0.0029223j -0.0027569-0.00906377j -0.00930228-0.000789827j 0.00285378+0.00765999j -0.0112004-0.00544524j 0.00104058+0.00856345j 0.00231978-0.00475078j 0.00285918-0.00421186j -0.00528588-0.00807619j 0.00508889-0.00352375j -0.00223708-0.00377886j -0.00263984-0.00489343j 0.00283461-0.00488264j 0.00231301-0.00675934j -0.00546514+0.00065101j 0.00382326-0.00721667j -0.000236612+0.00482994j -0.00370766-0.00164928j -0.00521381+0.00579287j -0.00132241+0.00140468j 0.00224396-0.00242453j 0.00457482-0.0102202j 0.00026356+0.00276465j 0.00217729-0.000654604j 0.00403408+0.00115038j 0.00179103-0.00146041j 0.0038029-0.00111635j -0.00302622+0.010425j 0.00160606-0.00101426j -0.00413531+0.00467205j 8.95512e-05-0.00385422j 0.00148753+0.00268071j 0.00554891+0.00283224j -0.0038494+0.00351613j -0.00165859+0.00976822j 0.00781221+0.00414243j -0.00689932+0.00473382j 0.0037429+0.00323612j 0.0006256+0.00836293j -0.00174234+0.00442389j -0.00147657+0.0157658j 0.00215564-0.00275805j 0.00481996-0.00477121j -0.00523953+0.0016576j 0.00686203+0.001048j 0.00493726+0.00138538j -0.00747736-0.00135305j 0.00321804-0.00654159j 0.00460296+0.00119019j -0.00522121-0.00861517j -0.0146464-0.000852684j -0.00232152+0.00948516j 0.0109022-0.000680164j -0.00642126-0.00818821j 0.00484497+0.00510164j 0.00493721-0.014978j 0.00152645+0.0152873j -0.00820836-0.00070235j -0.017761+0.0057898j 0.0215601+0.0025606j 0.000412371+0.00239852j 0.0109652-0.0014157j 0.00408888+0.00935662j -0.0240915-0.0190169j 0.0229935-0.0240888j 0.000676311+0.0401864j -0.0407251-0.000972234j 
-0.0214587+0.00322602j 0.00145335+0.0199785j 0.000677646-0.00790409j 0.00796128+0.00160667j 0.0150778+0.0150811j 0.0079411-0.0111876j -0.0123061+0.011031j 0.0110483-0.00503214j 0.00759458+0.0234546j -0.0132304-0.00214174j 0.00201548+0.00637834j 0.00491369-0.0143307j 0.010186-0.0148373j -0.020244-0.00253334j 0.00245944-0.00675038j 0.00613663+0.00362577j -0.00761973-0.0132048j 0.0191502+0.00361487j 0.00269335-0.00994186j 0.0083307-0.00922332j -0.01246+0.00320454j 0.00213292+0.00660119j 0.00415156-0.0015652j 0.00313626-0.0113091j 0.0119374-0.000116225j -0.00258961-0.00722024j -0.0169294+0.00239805j 0.0119219-0.00340598j 0.000422331+0.00525068j 0.000640931+0.011437j -0.0063716+0.00325582j 0.0018118+0.00074085j -0.00559079+0.00420761j -0.00222906+0.00952618j 0.0150274+0.00894697j 0.00247497+0.017882j 0.0158929-0.00417954j 0.00539638+0.0102094j -0.00452447+0.00950635j 0.00351953-0.00129607j 0.0019551-0.00306277j -0.000813071+0.00107727j 0.00237906-0.000721158j 0.00137677+0.00543566j -0.00393793-0.0124459j -0.00175859+0.0127894j 0.00843107-0.0020954j 0.00831593+0.0104951j -0.0130561-0.0128513j -0.00260034+0.00996054j -0.00423759+0.0133205j 0.000928088-0.00776194j 0.0100603+0.00183778j 0.0164618+0.00214852j -0.0108042+0.000905522j -0.0110804+0.0104113j -0.00283389-0.00246772j -0.00055348+6.96373e-05j -0.00136943-0.0037122j 0.0133064+0.01162j -0.00643349-0.00321429j 0.00834914+0.00279417j -0.0119505-0.00374018j 0.000440806-0.00991266j 0.00204853-0.00339218j 0.0121625+0.00845354j -0.00157329-0.00479998j 0.00940152+0.0118922j 0.00671062+0.0105796j 0.000358668-0.003448j 0.00521461-0.0144125j 0.0130323+0.0142171j 0.0161052-0.0306218j 0.00751148+0.0057792j -0.00209932+0.0038326j 0.00421584+0.00653779j -0.0238668-0.0103045j 0.000311368-0.00181184j -0.00249467-0.0155359j 0.0177149+0.00152185j 0.0101424+0.0142785j 0.0124198-0.00209176j -0.0137846-0.00991132j 0.0133834-0.0245295j -0.0184895-0.0108655j 0.00905841+0.00192192j -0.00262975-0.0122655j 0.00027348-0.00317228j -0.00667523+0.0193635j -0.0101696-0.000520811j -0.00968541-0.0172192j 0.0157858-0.0114727j 
0.00265241+0.00833586j 0.0103938+0.00251674j -0.00252684+0.0156234j -0.0111623+0.00431811j 0.0119558+0.0130303j 0.0101854-0.019681j -0.00269259+0.012508j -0.003467-0.00898042j 0.0119893+0.0104545j -0.00889942+0.00446025j 0.00154775+0.00740912j 0.00114536-0.00311199j 0.00147561-0.0148165j -0.0110388+0.000523102j 0.0053898+0.00412783j -0.00491327+0.0159566j -0.00215698-6.80846e-05j -0.000780062+0.00153936j 0.014435+0.00327324j -0.0089326+0.0118303j 0.00372587+0.00258828j -0.00405163-0.00305236j -0.00726766-0.000595868j -0.011878+0.0167445j 0.0132047+0.00668917j -0.00775723-0.00200676j 0.0105154+0.00769265j -0.00692287+0.00181243j 0.00403988+0.00370104j -0.00781018-0.0062323j -0.000999503+0.00327657j -0.000424666-0.00562332j -0.00690149-0.011534j -0.000785983-0.00541541j -0.00804766-0.00348881j -0.00694857-0.00455772j 0.000217137-0.015367j -0.00119863+0.000370648j 0.0044659-0.0061665j -0.000158383-0.00665887j -0.00121488+0.00308342j -0.00892046+0.0160685j -0.00450854+0.0025171j -0.0131014+0.00465142j -0.00924633-0.00405787j 0.0103676-0.015687j 0.0006546-0.0038735j -0.000531798-0.00133816j -0.00663929-0.00292359j 0.00585456-0.00168978j 0.00145354+0.00390835j 0.000289903-0.00295568j -0.0162497+0.00546617j 0.00179674-0.00347187j -0.0041967-0.000222996j 0.00155681-0.00957094j 0.0058851+0.0141634j -0.00781858+0.00435339j -0.00465226-0.0111993j 0.0043219+0.0111532j 0.0038428+0.00336882j 0.00125302-0.000573683j 0.00205742+0.00462245j 0.000143426+0.00789225j 0.0045006+0.00597731j 0.0119557+0.00957798j 0.010411+0.015853j -0.0132088-0.00739925j -0.000231466+0.00842799j -0.012981+0.0135732j 0.00180022-0.00543546j 0.000764034+0.0148612j 0.0113703-0.00751749j 0.0105702-0.000989672j -0.00734139-0.00631064j -0.000332488+0.00136791j -0.00742376-0.0187129j -0.00684585-0.00770573j -0.0106104-0.00642641j 0.018688+0.0012884j 0.0107531-0.00383718j 0.0144642-0.00369591j -0.0203203-0.0114418j 0.0077548-0.00939002j -0.00764215-0.0101084j 0.00835519+0.00630328j -0.011835-0.00792333j 0.00372604-0.0123894j -0.00681228-0.00374949j -0.00137651-0.0120963j 0.00819518-0.00268511j -0.00516436+0.00599325j 
0.0118677+0.00893597j 0.0113392-0.00491464j -0.00255247-0.00107995j 0.00380948+0.00400849j -0.017738+0.0094323j 0.0194214+0.0100446j 0.00791724-0.0148648j -0.0113766-0.00396372j -0.00307935-0.0137045j 0.0055124+0.00377578j 0.00209385-0.00162194j -0.00228123+0.0136874j -0.0130063+0.00413403j 0.0134229+0.00176935j -0.000393757-0.00196981j -0.0121515+0.00615866j 0.000473257+0.00207405j -0.00554606-0.00905295j 0.00323555-0.000705063j 0.00224209+0.00218526j 0.00330409-0.00438212j 0.00332982+0.00254048j -0.0114703+0.000145853j -0.00135195-0.0143339j -0.0182732+0.000896552j 0.0101919+0.0133872j -0.00622214-0.00918077j -0.00224769+0.00390735j 0.00236737+0.00030286j -0.00290516-0.0133755j 0.0070957+0.00407093j -0.0125544+0.00963505j 0.00440682-0.00216571j -0.00222577-0.00602392j 0.0104469-0.0109083j -0.000199506-0.00246059j -0.00668292+0.00629838j -0.00129832-0.0107048j 0.000950127-0.00561984j -0.00777771-0.00304745j 0.00309821-4.49668e-05j 0.00419514+0.00556351j -0.0129078-0.00215295j -0.00188426+0.00583144j 0.00196357+0.0133726j -0.00336475+0.00424036j 0.00594685+0.00402486j -0.00173214+0.00386016j 0.00586838+0.00471966j -0.00602066+9.25711e-06j 0.0118034-0.00701281j -0.00382981+0.00686232j -0.00750178+0.0129024j 0.0003889+0.00561029j 0.00204205+0.000289912j -0.0157338+0.00182547j -0.000525052+0.00949141j 0.00451863+0.00968028j -0.00989501+0.00241988j 0.00189391+0.000205325j -0.00403847+0.00756375j 0.00166306-0.0100729j -8.66486e-05-0.00639798j -0.0044922-0.00165956j -0.0116765-0.00281193j -0.00262524+0.0155861j -0.0011568+0.00677722j 0.00698291-0.00573971j -0.0085018+2.28386e-05j 0.00510236-0.0094851j 0.00251392-0.00104957j -0.0103995+0.00305763j -0.00274479+0.00672726j -0.00816874+0.000620951j -0.00667887-0.00854638j -0.00855428+0.00677562j 0.0017911+0.0162066j -0.000774508+0.00835957j -0.000103338+0.0199513j -0.0154166+0.00134104j -0.00545946-0.0158374j -0.00436437+0.0170642j 0.0156137+0.00830811j -0.0119315+0.0161394j 0.00825445-0.00517018j -0.00925393-0.00667828j -0.00397285+0.0146915j -0.015094-0.00331874j -0.00275052+0.0040932j -0.0138387-0.00431292j 0.00436829+0.00809812j -0.0143971+0.00276829j 
-0.00478636+0.00325216j 0.000470158+0.00114593j 0.00228829-0.0126153j 0.00604892-0.0032778j -0.00615565-0.0036369j -0.00647843-0.00524547j -0.0161176-0.0035672j -0.00644155+0.0156763j 0.00738665+0.00308588j -0.00146849+0.0116991j -0.0194308-0.000179475j 0.00431271+0.0132463j -0.0108554+0.00284183j -0.00255281+0.0152405j 0.00194183+0.0107927j -0.0015977-0.00307098j -0.0021243-0.00201901j 0.00289226+0.00582878j 0.00531843+0.0010741j 0.00157004-0.0138568j -0.026311-0.00362259j -0.00501812+0.0082341j 0.0102902-0.00392918j 0.00599826-0.0081425j -0.00687588+0.00516625j -0.00599152+0.0113605j -0.00182389-0.00820858j 0.00500738-0.00662712j 0.00779183+0.00641995j 0.0044353+0.00253067j -0.00844718+0.00298365j 0.0100523-0.00126672j 0.00552445-0.00660773j -0.000735996+0.00471411j -0.00242436+0.0161344j 0.00395513+0.005146j 0.00291771-0.00374554j -0.00610949+0.000566409j -0.000610767-0.0128197j 0.00224968+0.00260284j -0.00372718-0.00607716j 0.00297904+0.00609831j 0.00450316+0.00262091j -0.00222095-0.00049653j 0.00806096+0.00640619j -0.00752543+0.00146772j -0.00435241-0.0119191j 0.00442281-0.011689j -0.00738761+0.00783871j -0.00526226-0.00336651j -0.00167575-0.00372349j 0.00541027+0.00213967j -0.00386983-0.000425576j 0.00377602+0.00494342j -0.00962959-0.0156844j -0.00301878+0.00183044j -0.00286548+0.00207718j -0.00875786-0.000520809j 0.00470296-0.003506j -0.0074741-0.00125137j -0.00310219-0.00432345j 0.00455134+0.00300814j 0.00503506-0.000916603j 0.00361242-0.0055776j -0.0121751-0.0127792j -0.00667907-0.0084083j 0.00217454+0.0018611j 0.00936382+0.000633673j 0.00520207-1.45334e-05j -0.00751713-0.00583389j -0.0125476+0.00930638j -0.00254582+0.0105892j -0.000296668+0.00234391j -0.00819257+0.00449199j -0.00449038+0.00268503j 3.93981e-05-0.00433303j 0.00906565-0.000144051j -0.0069925+0.00766082j 0.00650678-0.0033405j -0.00608212-0.00331093j 0.000410747-0.0173854j -0.00953911+0.00669298j -0.00985546-0.0135259j 0.00690487-0.00379732j -0.00512716+0.0011202j -0.000789381+0.0115007j 0.0184298+0.0043741j 0.00117859+0.00404443j 0.00114622+0.0235663j -0.0205343-0.000102767j -0.0091617+0.000848812j 0.00267239-0.0108841j 
0.0201901+0.0163594j 0.0157125-0.0185227j 0.0215759+0.00591546j -0.000440363+0.0208143j -0.00393044+0.00522402j 0.00845865-0.000603266j -0.00282044-0.00927958j -0.0149711+0.00702793j -0.00400072-0.00089807j -0.00322708-0.00460173j -0.00031519+0.00948659j 0.014338+0.00860356j 0.00854103-0.0127084j -0.00665476-0.00565864j 0.000320539+0.0176876j -0.0124695+0.0122715j 0.00171485+0.00776972j 0.00567028+0.00325767j 0.00653089-0.000350398j -0.00652884+0.00456722j -0.00188494-0.000640179j -0.0145015+0.0181574j 3.27789e-05+0.00713175j -0.00505607-0.0038969j -0.00966489-0.000566583j -0.00732208-0.00293978j -0.0141094-0.00680526j -0.0137724-0.00081618j 0.00225313+0.00815567j -0.0142451-0.0042503j -0.000699068+0.0118511j 0.0109924-0.00568321j -0.0024156-0.0118065j 0.00433431-0.0166306j 0.00950198+0.00115373j -0.00409938-0.00610576j 0.0055876-0.00931226j 0.00767207+0.000243204j 0.00733219-0.00089608j -0.00227434-0.0101262j 0.00153356-0.00566515j 0.00128353-0.000651524j -0.00323456-0.00154164j -0.0165009+0.00508617j 0.00173296-0.0115221j -0.00808307+0.00418772j -0.00101126-0.00633181j 0.0103336+0.0106674j -0.00816185-0.000136495j -0.000179306-0.00371518j 0.00549111-0.00130722j 0.00131494-0.00321878j -0.00870614+0.000176608j 0.00510736-0.000459553j -0.0154696-0.00874257j 0.000692778+0.00907227j -0.000625464+0.0016208j 0.00250401+0.0100113j -0.00639449-0.00307678j 0.0071401+0.00558856j 0.00694711-0.000174079j -0.0024297-0.00886091j -0.00196925+0.00949505j -0.0028635-0.00277388j 0.000238442-0.00494515j 0.00397945+0.00612585j 0.0071773-0.005379j 0.0239563-0.0049721j -0.00398944-0.00879471j -0.00431454-0.00157541j 0.00462654+0.00306003j -0.00227615+0.00669984j -0.00613559-0.00602778j -0.0109687-0.00558141j 0.011432-0.010038j -0.00939966-0.00255359j -0.00183286+0.00464362j 0.00253677+0.013056j 0.00279967+0.00340287j -0.00514857-0.00130731j 0.00178363-0.011925j 0.00606124+0.00108518j -0.0087433+0.000967145j -0.00452086+0.00643478j 0.00589872+0.00996216j -0.00707346+0.00609844j 0.0148976+0.00406565j -0.0121175-0.000472935j -0.0230371-0.00159021j -0.00592316-0.0139158j 0.00329322+0.0255227j -0.0261627-0.00310852j 
0.0155912+0.0047927j 0.00651387-0.0109144j -0.000919812+0.023981j -0.0171757+0.00771023j 0.00199393+0.000660376j 0.00548649-0.00380995j 0.00526274+0.00403753j -0.00422927-0.0133227j 0.00664047+0.00420824j -0.0113616-0.000139904j 0.0136936-0.000742536j -0.00673492-0.00297624j 0.0127963-0.000578142j 0.0138259-0.0188296j -0.00307997-0.00172228j -0.000867943-0.00200202j 0.00804036+0.00631912j -0.0026353-0.00398024j 0.00309803+0.000432517j -0.000308653+0.0110448j 0.0129838+6.9513e-05j -0.00248682-0.0022432j 0.000141942+0.00253196j 0.00300804-0.00226126j -0.00027026-0.00291856j 0.00698243+0.00141177j 0.00478754+0.00196796j -0.00542445-0.00241079j -0.0077193+0.00527911j -0.00406602-0.000279207j 0.00572383+0.00571709j 0.00419532-0.0121434j 0.00786631+0.0168467j -0.0164025-0.00725322j 0.00274233+0.00120832j 0.00196185+0.000449773j 0.000562757-0.00176743j 0.00458114-0.00970823j -0.00742509-0.00221586j -0.0078422+0.00880036j 0.00613931-0.00232965j -0.00219797-0.00481415j -0.0124533+0.0038447j -0.000860825+0.00589091j -0.00525156+0.00191429j 0.00790507+0.00183951j -0.00207367-0.00323238j 0.002425+0.00333358j 0.012505+0.00274438j 0.00107832-0.000976624j -0.00681635-0.00281323j 0.00798568-0.00140788j 0.00686066-0.00168806j 0.00389465-0.0048996j -0.00455803+0.00647754j 0.00893366+0.00671346j 0.00234119-0.00644208j 0.00536457+0.00529475j 0.00114893+0.00354948j 0.00445673-0.00232614j 0.00904727+0.00207489j 0.00233421-0.0035585j 0.0071783-0.00409392j -0.000278812+0.018308j 0.00220377-0.00410213j -0.00553123+0.010964j -0.00863279+0.0128623j 0.00194496+0.00281162j -0.0146333+0.00481964j 0.0100389+0.00454258j 0.000723831+0.0137047j 0.00988805+0.0060428j -0.00579086-0.000938064j -0.00386793+0.00104691j -0.00602808-0.00765149j 0.0017205-0.00279784j -0.00909336+0.023649j 0.0167552+0.0124853j 0.0107979-0.00161577j 0.00595965+0.0137039j 0.0100345-0.0080932j 0.0109255-0.0104881j -0.0209564+0.00164681j -0.00389744-0.00584725j -0.00318193-0.0154178j -0.00564021+0.00157488j -0.0146964-0.00359061j 0.00498295-0.0187012j -0.00379231-0.0239001j 0.00188572-0.00878283j 0.018292+0.00573361j -0.00809492+0.0132306j 
0.0305871+0.0197022j 0.0225244-0.0257375j 0.025312+0.0258685j -0.0133612+0.033127j 0.0083205+0.00866344j 0.013319-0.00295478j 0.010904+0.00337077j -0.00771574-0.00712116j 0.0026547+0.0047605j -0.0183486+0.00256709j 0.0144285+0.00581432j 0.00689038+0.00522892j -0.00728757-0.0113808j 0.00272796-0.00669096j -0.000279142+0.00525459j -0.0105212+0.0101473j -0.00536014+0.0146518j 0.0028599-0.00575869j 0.00481417+0.0106873j -0.0172026+0.00943462j 0.00718361+0.0099684j -0.00699806+0.00178233j 0.0135963+0.00197256j -6.89334e-05+1.80288e-05j 0.0053055+0.00964317j 0.000854496-0.00354924j 0.00144039-0.00842193j -0.00924862-0.00821976j 4.59865e-05+0.00792443j -0.0181744+0.00023103j 0.00109614+0.0169416j 0.000634581-0.00622226j 0.00333851-0.00680065j -0.00443828-0.00637537j 0.00525886-0.00197632j -0.00182522-0.00552637j 0.00320534-0.00506947j -0.00166514-0.00937119j 0.00577067-0.0127657j -0.00844654+0.00705539j 0.0097576-0.00230697j -0.00743423-0.00170475j -0.0113792-0.00256435j -0.00104605+0.00775335j 0.0041744-0.002064j 0.00679621-0.00949281j -0.000307584-0.00789967j -0.00258526-0.00216145j -0.00074933-0.00767325j 0.00548507+0.0134022j 0.0044648+0.00121221j 0.00699141-0.000987816j 0.00590591+0.00578808j -0.00593679-0.000287775j -0.00449722+0.0107527j 0.0119+0.00408981j -0.000538144+0.00488268j 0.00368849+0.00059248j -0.00357582+0.00521837j -0.00683745+0.0149552j 0.00909992+0.00834246j -0.0140973+0.0045512j -0.00429518+0.00701138j 0.000447342+0.0104605j -0.00343695+0.00467362j -0.00308694+0.0120235j 0.00782715-0.000865324j 0.00497746+0.00205773j -0.00725995+0.0100914j 0.00937912+0.0043913j 0.0140815-0.00338884j -0.00743406+0.00724958j 0.0159534-0.0109754j 0.000862873+0.00350089j -0.00196035-0.00999273j -0.0100884+0.00097605j -0.0160109+0.0174141j 0.017327+0.0037795j -0.00359733-0.0127042j 0.0097126+0.00204731j 0.00108461-0.00434241j 0.00934402+0.00531512j -0.019797-0.00209363j -0.00263864-0.0101522j 0.0151057-0.00814905j -7.36439e-06-0.00411646j 0.00730223-0.00550271j -0.00207417+0.0135276j -0.0306506-0.0278562j 0.0116151-0.0321651j 0.00803399+0.0378067j -0.040995+0.00429563j 
0.0112026+0.00926264j 0.00940864-0.00623957j 0.00578862-0.00482981j 0.00382661+0.0070302j -0.0134058+0.00732332j 0.00641944+0.00778006j -0.000452352-0.00342549j 0.00326734+0.00203197j -0.00694768-0.0142651j 0.0111248-0.00245003j 0.00788155-0.00629815j -7.13633e-05-0.00178319j -0.00162349+0.0020257j 0.00631515-0.00296593j -0.000895389-0.00207081j -0.00186022-0.00610834j 0.000216761+0.0147215j -0.00341212-0.00742511j -0.00930441+0.00257201j -0.0026702+0.00400335j 0.00541231+0.00348656j 0.00157103-0.00648825j 0.00854502-0.000402437j 0.00229557-0.00338705j 0.00175505+0.00814508j 0.00229267+0.00496085j 0.0090147-0.00438898j -0.00506906-0.00356828j 0.00278473-0.00183909j -0.00674947+0.00899306j 0.00753511+0.00339929j 0.0108509-0.0048408j 0.00792628+0.00589275j 0.000833646-0.00785564j 0.00847298-0.00399199j 0.00769303-0.00430605j -0.0107251-0.00204563j -0.00312581-0.00557608j -0.00561333-0.0075337j -0.00843592+0.00320463j 0.00183908+0.00149123j 0.00102281-0.00577726j -0.0101799+0.00564679j -0.00134301-0.00395516j -0.000963424+0.00761418j 0.00381888+0.0026579j 0.00382562-0.00201471j -0.00916498-0.00113474j 0.0150861+0.000210301j 0.00315713-0.00442606j -0.000793245-0.00634696j -0.00104629-0.00962479j 0.00359222+0.00556351j -0.0027925+0.00523558j -0.00131418+0.0062362j 0.00561152-0.000643841j -0.00200232-0.00915784j 0.00223873+0.00798233j 0.00550469+0.00861514j 0.00106062-0.000823614j 0.00353308+0.00484378j -0.00885663-0.00219049j 0.00512278+0.0108169j 0.00440032+0.005005j -0.00101456-0.00619287j 0.000680482+0.00277127j -0.00234395+0.00547616j 0.00259968+0.00743677j 0.00620122+0.0014101j 0.00493431+0.000971916j -0.00807925-0.00219625j -0.000960921-0.00226138j 0.00259479+0.00751495j -0.0100573+0.000399976j 0.00299637-0.00136263j 0.00046627-0.000907727j -0.000156311+0.00626663j 0.00372454+0.000591579j 0.00347127-0.00581935j -0.000678879+0.00543745j 0.0039201-0.00242699j -0.000621145+0.00596738j -0.00230412+0.000489428j -0.00593075+0.0023607j 0.0134408-0.00958198j -0.0200186-0.00641988j -0.00771059+0.0155297j -0.0131242-0.00105485j -0.00150043-0.000688277j -0.0028167-0.000803317j -0.000295052+0.00194567j -0.00628886-0.00101846j 
0.0163041-0.0161144j -0.0133805-0.0142612j -0.0213819+0.00818419j -0.00825992-0.0199978j -0.0116425-0.0186172j -0.0159261+0.0164354j 0.0277554-0.00239755j -0.0118951-0.0125984j 9.28188e-05-0.0172682j -0.00115131-0.00246209j 0.00389231+0.00798974j -0.00176438+0.0134702j 0.00688414+0.00240921j 0.0117993-0.0115367j -0.00631309-0.00224437j -0.00165839-0.00857442j 0.00433051+0.0102216j -0.0136319-0.00377545j -0.00641696+0.00342626j -0.00327543+0.0132954j 0.00902669-0.00264089j -0.00228862-0.00677226j -0.00843429-0.00742277j -0.000858176-0.0062239j 0.00238977-0.00937904j -0.00166081+0.00681189j 0.00594163-0.00347886j -4.40308e-05+0.0058605j 0.00578179+9.96448e-06j -0.00636787-0.010587j 0.0129895-0.0175856j -0.000482865+0.00520262j -0.0141214+0.0079126j -0.00657328-0.0087461j -0.00339346+0.000336616j -0.00254513-0.0123076j -0.0131908-0.00308057j 0.000247531+0.0108552j -0.00228832+0.00264584j -0.0100489+0.00619266j -0.00109417+0.00298434j -0.000889007-0.000719063j -0.011389+0.00610746j -0.00288483+0.00799227j -0.00779141-0.00335186j -0.000189166+0.00540856j -0.00439038+0.00219877j 0.00518033-0.00641727j 0.000755344+0.000642937j 0.00459033+0.00186185j -0.00911797+0.000625445j -0.00507134-0.0015771j -0.00354975-0.00670361j -0.0128902+0.000433154j -0.0031636+0.00522217j -0.00208276-0.00375038j -0.0109398-0.0161234j 0.00974223+0.00170211j 0.00830375+0.00201853j 0.00366716+0.00382051j -0.00103111+0.00441637j 0.00450865-0.0111835j -0.00922579-0.000609168j 0.00851325+0.00945556j 0.000319605-0.00259822j -0.00155016+0.012524j -0.00872803+0.00409647j -0.00546914+0.00945714j 0.00882752-0.00482679j 0.000606009-0.0043374j 0.0113951+0.0135772j -0.00473623-0.00486622j 0.00295206+0.0154178j 0.00276437+0.000939251j -0.00214714+0.0166921j 0.00431211-0.00402108j 0.0111155+0.0163074j 0.00153104-0.00643459j 0.011906+0.00672483j -0.00638538+0.00797817j 0.00174096-0.011953j -0.0157848+8.15021e-05j 0.014507-0.0100159j 0.00257295+0.0158471j -0.000364858+0.0107274j 0.00490136-0.00517198j -0.00904332+0.0114015j -0.00407857+0.00180673j 0.0252932-0.0194627j 0.0156937+0.00468312j 0.0215238+0.0151183j -0.0144918+0.0280183j 
0.00801254+0.000953841j -0.00129137-0.0120443j 0.0193528+0.00206734j -0.00982598+0.0113752j -0.0186155-0.0011362j -0.00955568+0.00950488j -0.0189296-0.0103914j -0.00411404+0.0209261j 0.00118653-0.00305132j 0.00351039+0.00696982j -0.00808622-0.00387367j -0.00356666-0.00292179j -0.0106956+0.0177271j 0.00660545+0.0156084j 0.00284202-0.00405358j 0.0104253-0.0180188j 0.0070551-0.00517636j -0.00923209+0.00181833j -0.00388675-0.00616661j 0.00238045-0.00186818j -0.00636755+0.00166609j 0.0059595-0.00120188j -0.00249279+0.0104768j 0.000484933-0.000385366j -0.00603183+0.00161626j -0.00665375+0.00316594j -0.00287997-0.00264824j -0.00120066+0.00774135j 0.00251241+0.000123167j 0.0205665+0.00121907j 0.00148529-0.00544507j 0.0167091-0.00123001j -0.00252163+0.00204869j 0.00729234+0.00662347j -0.00814437-0.00763763j 0.00111667+0.00449168j 0.00309097-0.00232015j -0.00604693-0.000428214j -0.00715229-0.000539185j 0.00790323+0.00222856j -0.00460837-0.0107614j 0.00811102+0.00120748j 0.0079829+0.00405755j 0.0171203-0.00425172j 0.00628805-0.00328299j -0.0026687+0.00213879j -0.00177576-0.0161693j -0.00798623+0.000732678j 0.000995777-0.00233266j -0.00502151-0.00778517j 0.00745959+0.000582603j 0.00904493+0.0102056j 0.0028964+0.000796019j -0.0066467+0.00592775j 0.00771006-0.0114718j 0.000595837-0.00818605j 0.000686935-0.00123395j 0.00908083+0.000399662j 0.000891107+0.00038955j -0.00946324-0.00875973j -0.0039643+0.000989595j -0.00588385+0.00777483j 0.00519167+0.00136487j -0.00352077+0.00325723j 0.00403749+0.00934261j 0.00545965-0.00290912j -0.00246333+0.00460326j 0.00608904-0.00612409j 0.00587789-0.0152607j -0.000973204-0.00911039j -0.00811208-0.00873735j -0.0152632-0.013414j 0.00071386+0.0115334j -0.00336093+0.00295801j 0.00160373-0.00330758j -0.00231075-0.00808193j 0.00195943-0.000596816j 0.00189778-0.00216319j -0.0121032+0.00275368j -0.0122228-0.010032j -0.00458212+0.00256026j 0.002328-0.00252501j 0.00376249+0.00675113j -0.0024258+0.00276328j -0.000445594+0.0131301j 0.0120805-0.00380862j 0.0104183-0.0108092j -0.00234167+0.00567157j 0.00360447-0.00527442j 0.0162163+0.00434052j -0.00343133+0.0126758j -0.00893525-0.00390427j 
