0.0897145-0.0839282j -0.0853445-0.0918786j -0.0635794+0.0152098j 0.0253418+0.087173j 0.0302878-0.051908j -0.0479382+0.0159839j 0.00226813+0.0171818j -0.031762+0.000669792j -0.0485948+0.0246679j 0.0191537+0.00213199j 0.00123623-0.0384564j -0.00120872-0.00881161j -0.0236088+0.010087j 0.0455979+0.0243799j -0.0279386+0.00255872j 0.00193477+0.0147755j -0.0552385-0.00609392j 0.0262228+0.0475699j 0.0167197-0.0805088j 0.0640287+0.0153661j 0.096331-0.0904989j 0.0902824+0.0956171j 
-0.00100859+0.0109626j 0.0107912+0.00104323j -0.000357385+0.000619887j -0.00200472+0.00119282j 0.00497834-0.00343886j 1.9255e-05-0.00924717j -0.010644-0.00655372j -0.00310083-0.00312749j 0.00622842-0.00356306j -0.0085338-0.00457415j -0.00376293+0.00873643j 0.00186154+0.00166615j 0.0108153-0.00478945j -0.0035577+0.000429136j 0.000264391+0.00550778j 0.00249333-3.34705e-05j -0.00146622+0.0108078j 0.0017204-0.00694325j -0.00726481-0.00255662j -5.42696e-05-0.000532099j -0.00661181+0.000642132j -0.000593619-0.00693671j 
0.00325959-0.00293347j -0.00291448-0.00232349j -0.000458995-0.00254358j -0.00233123-0.00372573j 0.00363213-0.00049804j 0.000826546-0.00393157j -0.00038912-0.00868065j -0.00031111+0.00358864j 0.00689186-0.000269076j -0.00305034+0.00280699j -0.00890085-0.00287283j 0.00210219+0.00334025j 0.00284448-0.000740611j 0.00246516+0.0070389j -0.00302308+0.00368567j -0.00771672+0.000347671j 0.00219986-0.000317324j 0.00254944-0.00394318j 0.00500969-0.00220006j -0.0031436+0.00243108j -0.00304332-0.000743558j 0.000369764-0.00389765j 
-0.000237166+0.00379745j 0.00523302-0.000286924j 0.0137415-0.00971929j -0.011354-0.0114056j -0.0049441+0.00699147j 0.00290773+0.0117828j 0.00459422+0.000313372j -0.00114454+0.00191497j 0.00986116-0.0051325j -0.0039932-0.00943668j -0.00433835+0.00945173j -0.00367232+0.0121743j -0.00328374-0.0106084j 0.000933324-0.002751j -0.00935779+0.00829168j 0.00628673-0.00249798j 0.0090125+0.0024322j -0.00693137-0.00386076j -0.00719836+0.00861451j -0.00710304+0.0015666j -0.00738343+0.00379212j -0.00410975-0.0067128j 
0.000884076-0.00813849j -0.00741483-0.00221076j 0.0125105-0.00497259j -0.00221071-0.00295928j 0.0104338-0.00619203j -0.0020407+0.000282364j -0.00239448+0.0020976j 0.00291792+0.0040645j -0.00675561-0.00665517j -0.0107583+0.000359509j 0.00347122+0.00900562j -0.00262204+0.00588445j -0.00227068+0.00819909j 0.00761098+0.003372j 0.00231805+0.0019997j -0.00338146-0.00331744j -0.00107665-0.00319929j -0.00823815+0.00142772j -0.00472844+0.00276797j 0.000210115+0.00281398j -0.0029051+0.00152709j -0.000953002-0.00229069j 
-0.00020495+0.00400154j 0.00405624-0.000825439j 0.00551516-0.00371762j 0.00751566-0.00523605j 0.00513819-0.0118419j 0.00862721+0.0070676j -0.00968491-0.00951752j -0.00704932-0.00079633j -0.000532267-0.0028844j 0.0113631-0.00382099j -0.00220298-0.00783331j 0.00794809-0.0042652j -0.000454573-0.000420146j -0.00448143-2.30596e-05j 0.00436849-0.00333324j -0.00963599+0.00557572j -0.00322232-0.00324453j -0.00340296-0.00998604j -0.00411109+0.000301058j 0.00355209-0.00256573j 0.00334975-0.00131344j 0.00227796+0.00373283j 
-0.00639969+0.00348172j 0.00387341+0.00684882j 0.000624965-0.00694356j -0.00309407-0.00463408j 0.00228504-0.00599739j -0.0017278-5.10694e-05j -0.0041189-0.00566269j 0.000224296-0.000324118j 0.017655-0.00674042j -0.00759154-0.0067142j -0.00370954+0.00102023j -0.00496181+0.0112811j 0.00104665-0.0112063j 0.00384517-0.000666318j -0.0120238+0.0145513j -0.000349364-0.0029293j 0.00948222-0.00052775j -0.00733598-0.00457632j -0.00336079+0.00644634j -0.00475329+0.000848517j -0.00415666+0.00507685j -0.00572788-0.00474883j 
-0.00650797+0.0133264j 0.013099+0.00579375j 0.00249583-0.00552696j 0.00264923-0.00391817j -0.00471231+7.04482e-05j 0.00795754+0.0122695j 0.00450936-0.00115253j -0.00568925-0.00102128j 0.00844099-0.00176646j -7.36638e-05-0.0114455j 0.00256085-0.0045005j -0.00195315+0.00685759j -0.00509303-0.00931842j -0.00576629-0.0052858j -0.0080183+0.0064316j 0.00565077-0.00569555j 0.00804612+0.00104954j -0.00593418-7.66266e-05j -0.00287744+0.0103794j -0.000491173-0.00168075j -0.00700855+0.006251j -0.0056989-0.00690279j 
-0.00183741+0.0013404j 0.000485507+0.00221934j -0.00802007-0.00270063j -0.0079471+0.00430139j -0.0132263+0.0126397j 8.44139e-05+0.000297912j 0.0133656+0.0101752j 0.00467295+0.000319657j -0.000746813+0.00878606j -0.00246703+0.00360565j 0.00298462+0.00215107j -0.00229245+0.00206756j -9.52444e-05+0.000510732j -0.00127871-0.00303576j -0.00213988-0.000317528j 0.00630336+0.000239587j 0.00107605+0.00521626j 0.00328185+0.00568532j 0.00229893+0.00214987j -0.00111832-0.000201269j -0.000597523+0.00124211j -0.00137795-0.00105704j 
-3.35742e-05+0.00441842j 0.00452437+0.0006271j 0.00208882-0.00811723j 0.000509458+0.00074457j 0.0109847+0.00347158j -0.0102238-0.00335914j -0.000285694+0.00568097j 0.0106546+0.01139j 0.00261549+0.00236538j 0.0081283+0.0117025j 0.000187409-0.0191231j -0.00036076-0.0325641j -0.00861642+0.0116339j -0.00220988+0.00305242j 0.00991638-0.0110191j 0.000143749+0.00551322j -0.00990196+0.00254039j 0.0102983-0.00335156j 0.00061727-0.00078554j -0.00215617-0.0082012j -0.00483526+0.000572648j -2.7775e-05-0.0047477j 
0.000298681+0.00296965j 0.00325039-0.000713415j 1.70681e-06-0.0101064j 0.00200112+0.00245785j 0.0043728-0.00245907j -0.00134559+0.0102136j 0.00574682+0.000198319j 0.0125349+0.0166186j 0.0135702-0.00771027j -0.0136633+0.00603311j -0.0022006+0.000561735j -0.000173427+8.74576e-05j -0.0148012+0.00312874j 0.0154416-0.00221097j -7.85302e-05+0.0208763j 0.00454568-0.0034627j 0.00721542+0.00732757j -0.00499365+0.00083027j -0.000113478+0.00314223j 0.0060805+0.00810927j 0.0030431-0.00133155j 0.00146886+0.00256126j 
-0.00189424+0.00134388j 0.000863367+0.00161677j -0.00402895+0.0010329j 0.00243832+0.000726964j -0.00516604-0.00243352j 0.0054763+0.00336799j 0.000809306-0.00114726j -0.00497604-0.00389795j 0.000457691+0.000175674j 0.000424798-0.00563903j 0.00142222-0.000395838j 0.000362835+0.00794887j -0.000150037-0.00473666j -0.00228956-0.00230045j -0.0040161+0.00339901j 1.03152e-05-0.00187418j 0.00334149-0.00216811j -0.00360617+0.00168979j 0.000619824+0.00232143j 0.00181435+0.000291773j 0.0017316+0.000587536j -0.000501495+0.00157141j 
-0.00302127-0.00405342j -0.00550549+0.0027678j -0.00383013-0.0112018j -0.00206809+0.00247993j 0.0124132-0.000843058j 0.0122894-0.00613596j 0.00353548-0.01446j -0.00234879+0.000998536j 0.00442988+0.00848027j -0.00666855-0.000344468j -0.00156364-0.00736582j -0.000423058+0.00466466j 0.00445125+0.00586625j -0.00575393+0.00817359j -0.00605702+0.00194885j -0.0135006-0.0131414j 0.0024169+0.000808105j 0.0114172-0.00710545j 0.00463611-0.00194396j -0.000184316-2.6926e-06j 0.000527988+0.00115992j 3.08571e-05-0.000614658j 
0.00232855-6.38283e-05j 0.00102451-0.00237449j 0.0106075+0.0066337j -0.0023517+0.0020332j 0.0119877+0.00447648j -0.00843974-0.00978099j -0.00169018+0.000651278j 0.00858291+0.00464952j -0.00440225-0.000692283j -0.0104952+0.00730418j 0.00197021+0.0172717j -0.00323359-0.00172108j 0.00658497+0.0104417j 0.00792847+0.00364414j 0.00693645-0.00322999j 0.000750534-0.00111238j -0.00432518+0.00609451j 0.00224732-0.00566951j -0.00774021-0.00197006j -0.00642548+0.00327595j -0.00142677-0.00214907j 0.00203893-0.000558846j 
0.000702676-0.00231761j -0.00270597-0.00112567j -0.00212781+0.00409752j 0.0110274-0.00126293j 0.00445428-0.0169308j 0.00498346-0.00131044j -0.0143503-0.00702882j -0.011171-0.00390436j -0.00253461-0.00503652j 0.0062958-0.00792255j -0.00134598-0.0072298j 0.00440098+0.000742499j -1.13744e-05-0.0033094j -0.0023007+0.00341117j -0.000133572-0.000778628j -0.00932653+0.00391145j -0.00187163-0.00881629j -0.00774356-0.00302853j -0.000470982-0.00234714j 0.00564597-0.00260797j 0.00537049-0.00249309j 0.00282112+0.00517839j 
0.00567252-0.0109483j -0.0119995-0.00570513j -0.00682398+0.0105525j 0.00151799+0.0062674j -0.00878194+0.00855886j 0.00495565-0.00121601j 0.00913307+0.00456957j -0.0127432-0.00987955j -0.0138203+0.0103522j 0.00368259-0.00719873j 0.00689446-0.00166127j 0.000897819+0.00952775j 0.000320025-0.00225506j -0.0075258+0.00176341j -0.0058169-0.00723855j 0.00197374-0.00481373j -0.00165524-0.00725124j 0.00298073+0.0138818j 0.00697513-0.00726792j 0.0078672-0.00130314j 0.00738101-0.00468497j 0.00467024+0.00726482j 
0.000810389+0.00252162j 0.0037161-3.24536e-05j -0.00487248+0.0121764j 0.00317049+0.00582553j 0.00601357+0.0109958j -0.000114588+0.00183153j 0.00308521-0.00896255j 0.00144369-0.00491981j 0.0072521-0.00508521j 0.00544718-6.53107e-05j -0.0063272+0.000677886j -0.00157414+0.000963918j -0.00450219-0.000161279j -0.00437504-0.00150214j 0.0023026+0.00603169j -0.00128846-0.00644697j 0.00219731-0.00291943j 0.00955479-0.00881738j 0.00163711-0.0092759j 1.26387e-05+0.00310713j 0.000646852+0.000412048j -0.00131118+0.00139865j 
-0.00183778-0.000972169j -0.000502665+0.0030538j -0.00616915+0.0058844j -0.00343547+0.00357447j -0.00362682-0.000879962j -0.00861964-0.00958754j -0.0056984+0.00156654j 0.00299903-0.00100856j 0.00207045+0.000323835j -0.000596157+0.00669871j 0.00114187+0.00721632j 0.000339666+0.00291071j 0.00544901-0.00559701j 0.00606351-0.000474888j -0.00103902+0.00061066j -0.00347078+0.00425879j 0.00159298-0.00424193j 0.000420177-0.00325553j 0.000464934-5.64951e-05j -0.00785085+0.00224763j -0.0011108-0.00264893j 0.00130786-0.00105026j 
0.00391467-0.00806291j -0.00852945-0.00350153j -0.00597289+0.0101114j 0.00508928+0.00145112j -0.00338495-0.010002j 0.000466519-0.00724616j -0.010957-0.00332537j -0.0125873-0.00696472j -0.00923497+0.000820321j 0.00431431-0.00423892j -0.00124987-0.00029141j 0.00592068+0.00490967j 0.00642944-0.00637457j -0.000295086+0.00400356j -0.00224367-0.00451462j -0.0050152+0.00474027j -0.00336333-0.00784998j -0.00199835+0.00623683j 0.00570707-0.00847238j 0.00547699+0.000653402j 0.0049959-0.00448359j 0.00394142+0.00456423j 
0.00335326-0.00828831j -0.00719287-0.00244942j 0.00269417+0.00743582j -0.00995058+0.00188938j 0.000262474+0.00919514j -0.00742939-0.00949817j 0.000470761-0.00226306j 0.00330879-0.00508329j -0.0039747+0.00144489j -0.00439192+0.00813739j 0.000721455+0.0180469j 0.000776945+0.00876223j 0.0118453-0.00272358j 0.00437835+0.000359588j 0.000770154-0.00288834j 0.000639188-0.00163904j 0.00199295+0.000420216j 0.00592297-0.000150657j 0.00129668-0.00348115j -0.00829621+0.00612296j -0.00466923-0.00124293j -6.07393e-05-0.00414729j 
-0.0069674+0.0142758j 0.0138681+0.00755657j -0.0100666-0.00842469j -0.00179336-0.00151667j -0.0069345-0.00181914j 0.00449235+0.00432886j 0.000846604-0.00134178j 0.00626819+0.00459056j 0.0117704-0.0030259j 0.00184392+0.00159697j -0.00670364-0.00601448j -0.00151454-0.00440712j -0.00348854-0.00265479j 2.59786e-05-0.00458865j -0.000292008+0.0066138j 0.000587389+0.00202086j 0.00579019+0.00227794j 0.000747406-0.00495876j -9.31165e-05+0.00683556j -0.00484237-0.00413646j -0.00614597+0.0045219j -0.00488506-0.00679097j 
-0.000170477-0.00862684j -0.00887866+0.00246096j -0.0212031+0.00813797j -0.00290682+0.0101299j -0.00945622+0.000791497j -0.0103009-0.0116144j -0.00277687+0.0016272j 0.00121768-0.00449538j 0.00504212+0.00452439j 0.00596065+0.00826783j -0.000958409-0.00365169j 0.00203222+0.00131231j 0.00294546-0.0093244j 0.00441132-0.000819372j -0.00492836+0.00294062j -0.00445196+0.00666421j 0.000303457-0.00859214j 0.00596134+0.00194735j 0.00826917-0.00623606j -0.00405516+0.000798392j 0.00755586-0.00572894j 0.00366613+0.00683213j 
-0.00473934+0.00666769j 0.00626977+0.0059845j -0.0149444+0.00283135j 0.00313855+0.00448257j -0.00732591-0.00179932j -0.00332874-0.00156151j -0.00136644+0.00209064j 0.00242571+0.000821877j 0.00876677-0.000329046j 0.00515932+0.00191228j -0.00370734-0.00937427j -0.000768725-0.00454804j -0.00437145-0.00444984j 0.000805112-0.00252739j -0.00212496+0.00535382j -0.00120006+0.00486468j 0.000630967-0.00334662j 0.00139975-0.00135697j 0.00404302-0.00144631j -0.000411365-0.00164816j 0.00194809+1.32895e-05j -0.000885813+0.00132394j 
-0.00262964+0.0118047j 0.0116242+0.00197984j 0.00220883-5.77095e-06j 0.0033842-0.0012959j 0.000216694+0.000295826j 0.00550279+0.0045473j 0.00177925-0.000106484j -1.75648e-05+0.00157983j -0.000138858-0.00210103j -0.00207491-0.00402995j -0.00104862+0.00135383j -0.00153252-0.000614083j -0.00138535+0.00334326j -0.00271232-0.00126665j 0.00254443+0.00053325j 0.0027211-0.00181946j 0.000424509+0.00437918j -0.00227869-0.00215157j -0.0034027+0.00280791j 0.00119854-0.0010029j -0.00583483+0.00366083j -0.00300221-0.0056799j 
