-0.00642097+0.00674733j 0.00254789+0.00531058j 0.00181773-0.0100266j 0.00583653+0.00476187j -0.00465122+0.00764838j 0.00749432-0.00498646j -0.00161821-0.0117041j -0.00709279+0.00619364j 0.0109487+0.00511151j 0.00780351+0.00797182j 0.00321206+0.00258146j -0.0021867+0.000412822j -0.00165637-0.00801356j -0.00133984-0.00442733j -0.000224701-0.0064207j 0.00475729-0.00269927j 0.00364573+0.00142007j 0.000527012-0.011966j -0.00208747-0.00368638j 0.00271599+0.00237309j -0.00358234+0.00499817j 0.00321176-0.00216199j -0.00121254+0.00776234j -0.00424459-0.00378693j -0.00203649-0.00179934j -0.00402788+0.00221947j 0.00315315-0.00275171j -0.00307119-0.00170481j 0.000644736+0.00225925j 0.0108413+0.000717838j -0.0020162-0.00114858j 0.00604277+0.000998322j 0.00111372-0.0019321j -0.00269732-0.00445316j 0.0035993+0.00121516j -0.00741817-0.0100245j 0.00165335-0.0108525j -0.00600482+0.00619416j 0.00794229+0.0106407j 0.00970025-0.00928988j 
-4.14261e-05-0.000304633j -0.000513597-0.000819239j 0.00352389-0.00453755j 0.00190338-0.000326631j 0.000813742-0.00575091j 0.0140704-0.00335362j 0.0112944+0.000822347j 0.0104167+0.00947735j 0.00743362-0.0071231j -0.0062874-0.00433893j -0.00834736-0.0100844j -0.00054752-0.00276139j -0.00920215-0.00334419j 0.00367715-0.00934627j -0.00274917-0.00744201j 0.006271-0.00293503j 0.00456964+0.011125j -0.010767-0.00119442j 0.0058549-0.00982434j 0.00310925-0.00783652j -0.0120921-0.0107599j -0.00190898+0.00197319j -0.00563687-0.00958118j 0.0210943-0.0114847j -0.00345474+0.00325068j -0.00701578+0.000102863j -0.00340462-0.0103933j 0.0096061+0.000247734j -0.00229497+0.00418749j -0.0245795-0.00595797j 0.00821802+0.00521374j -0.000617501+0.0139283j 0.00259345-0.00135664j 0.00206018+0.0098964j -0.00118756+0.00936733j -0.0031419+0.00719375j 0.00371967+0.00423268j 0.00217734+0.00165937j -0.000266321-0.00157856j -0.002144+0.000959468j 
0.00129789-0.00146502j -0.000458738-0.00255867j -0.00273548-0.00428056j 0.0039548+0.00462152j -0.00778615-0.000671349j 0.00216066-0.00416077j 0.00166264+0.00832878j 0.00823274-0.00368862j -0.00284375-0.00437025j -0.00115403-0.0170727j 0.00757604-0.014068j 0.00137691-0.0089096j -0.00795509-0.00489258j 0.0103042+0.0074985j -0.0028039+0.00193097j 0.00356626+0.00550354j 0.00596619+0.00338673j 0.000618236-0.00697425j -0.00471088-0.00168128j -0.0101829+0.00037705j 0.00330699+0.00744632j 0.00162707-0.00634722j -0.00543849+0.0115246j -0.0103152+0.00287983j 0.00440828-0.00934661j 0.00660847-0.00142941j 0.00589494+0.0172549j -0.00528866+5.5799e-05j 0.000853163+0.00333244j 0.0181541+0.00708961j -0.0117877-0.00274346j -0.00244362-0.0075372j -0.00587472+0.00514702j -0.000734966-0.00275776j -0.00370468-0.00764863j 0.00874324-0.0107073j 3.4041e-05+0.000471145j 0.00130297-0.00344289j -0.00204542-0.00234155j -0.00109007+0.00319081j 
-0.000873824-0.00292166j 0.00240931+0.0204232j 0.00837544-0.00441842j 0.0102336-0.0057452j -0.00371428+0.000524608j 0.00142234+0.00653395j 0.000983313+0.00844154j 0.00431426-0.00458067j -0.00342318-0.00735174j -0.000977761-0.00284768j -0.00229922+0.00350854j 0.00157084+0.00589321j 0.00285943+0.00283379j -0.00627184-0.00131207j 0.00400415-0.000315744j -0.000600779-0.00224169j -0.00256969-0.00600036j -0.00147065+1.5933e-05j -0.000669415-0.00118344j 0.00630077-0.00482726j -0.00328706-0.00148438j 0.00481112-0.00495415j 0.0103408-0.00266835j 0.00553423+0.0033778j 9.51524e-05-0.00222886j -0.00456891+0.0018043j -0.00593389-0.017914j 0.00167809+0.00150008j 0.00129903+0.00112535j -0.00139221-0.00160157j -0.000340305-0.000364442j 0.0116105+0.0023285j 0.000682794-0.000988128j -0.00652926+0.00367401j 0.006661+0.000314096j -0.0124561-9.81016e-05j 0.000675161-0.0115483j 0.00354826+0.00774389j 0.00773063+0.00352442j 0.00418501-0.00421659j 
-0.000989936+0.00119201j 0.000965959+0.012542j -0.000668368+0.00179609j -0.00408422+0.000773173j -0.00121287+0.00579326j -0.00832662+7.09552e-05j 8.19117e-05+0.002645j 0.00403845-0.00184814j 0.00168329-0.00708864j -0.00705842-0.00403717j -0.00178813-0.00778384j 0.0106124-5.57923e-05j -0.0102755-0.00743299j 4.91387e-05+0.00626829j -0.0103282-0.00449043j -0.00215341+0.00304771j 0.00533639+0.0131224j -0.000537266+0.0102024j 0.00992493+0.00427186j -0.00490586+0.0156275j 0.0141562-0.000762346j -0.0123757+0.000706389j -0.013286+0.00924899j -0.0102603+0.0115999j 0.000240963+0.000842634j 0.00560915+0.0129272j 0.0117909+0.00490299j -0.00420222-0.00278081j -0.000200134+0.00423567j 0.00758264-0.00218067j 0.000920075+0.000168415j 0.00599997+0.00171601j 0.00123108-0.00531293j -0.000738201-0.000451487j 0.0040526+0.00139923j -0.00477839+0.00115736j -0.00157764-0.00945131j 0.000397245-0.000503675j 0.00304134+0.00433932j 0.0058945-0.0016166j 
-0.000730733-0.00237236j 0.000164577+0.00038297j -0.0020481+0.0076124j -0.0123161+0.00289964j -0.00140958+0.0050512j -0.0165292+0.00400909j -0.0126912+0.00639263j -0.010202-0.00598764j -0.00275937+0.0117259j 0.00768376-0.00685939j 0.0090082+0.00727164j -0.00620746+0.00431701j 0.000907238+0.00603783j -0.0106844-0.0045685j -0.00092492-0.00100101j 0.00403339-0.00378989j 0.00364545+0.00178042j -0.0018751+0.00451458j -0.000601099-0.0075101j -0.00516165-0.00791281j 0.00120804-0.00819799j 0.00280547-0.0114935j -2.74819e-05+0.00411396j 0.0123164-0.00414702j 0.00417812-0.0105617j -0.00104179+0.000518585j -0.00176491+0.000888499j 0.00280314+0.00360328j 0.00367801+0.0193003j -0.00339535-0.00691012j -0.0124728-0.00293191j 0.000739672+0.00908535j -0.0121699+0.00200463j -0.00259566+0.0072791j 0.0016936-0.00854004j 0.000469351-0.00192811j -0.00236707-0.00137556j -0.00485338-0.00307522j 4.11169e-05+0.00397406j 0.00529089-0.00103559j 
0.000973133-0.00385148j -0.000887515-0.00936007j -0.00378694-0.0067007j 0.0119464+0.00492393j -0.0118629+0.00454209j 0.00091502-0.00688557j 0.00284091+0.00477029j 0.00679219-0.00671619j -0.0024289-0.00528473j -0.00271879-0.0129138j 0.005677+0.0022275j -0.00686538+0.00685944j -0.00435838-0.000627412j -0.0128503-0.00144724j -0.00154218+0.00266778j -0.00309388-0.00185528j 0.00140882-0.00276963j 0.00237537+0.00469218j 0.003022+0.00225645j 0.00161368+0.00947208j 0.00283547-0.00384564j -0.0012323+0.00657128j -0.00626883+0.000994426j -0.0066756+0.00748133j -0.00269785+0.0031215j 0.00558934+0.00184221j 0.00728282+0.00874087j -0.00390811-0.00140871j -0.00574987-0.00703482j 0.00727779+0.00176524j 0.00197551-0.00215243j -0.00539394-0.00538833j 0.00480482+0.00241728j -0.00152379-0.00356763j -0.00111039+0.00067045j 0.00392497-0.00538623j 0.00305884+0.00384736j 0.00129645-0.00241206j -0.0062432-0.00230477j -0.00330751+0.00692935j 
-0.00199906-2.98991e-05j -0.00253575-0.0162616j -0.00285618+0.00129254j -0.00432326+0.00645029j 0.00370441+0.0029111j -0.00312864-0.0028206j -2.6035e-05-0.0046886j 0.00199246+0.00567941j 0.00803615-0.00276142j -0.00396802+0.00516486j 0.00240842+0.00732196j -0.000407611+0.0128496j 0.00458868+0.00200708j -0.0144248+0.00202822j 0.00601158+0.000707655j -0.00550642-0.00168774j -0.00230186-0.00201266j 0.00706926+0.0124931j 0.000967027+0.00121093j -0.00280124+0.00890637j 0.0108617-0.00884455j -0.00353646-0.00494554j -0.000711001+0.00458754j -0.00629862+0.00924834j 0.00434309-0.00689609j 0.00512725+0.00426233j 0.00680563+0.0065806j -0.00292853+0.00153094j 0.00309339+0.00428345j 0.00551332+0.000302585j -0.0112693-0.00105002j 0.00235591+0.00071903j -0.00525337+0.00688068j -0.00283095+0.00065012j -0.000406673-0.00892764j -3.93972e-05-0.00745047j 0.00302849+0.00104719j -0.00189989+0.00306034j -0.00215917+0.00136855j 0.000246718+0.00208396j 
0.0043075+0.00101354j -0.00881122-0.0132751j -0.00572574+0.00538246j -0.0169337+0.00453227j 0.00244484-0.0183107j 0.00847815-0.00992432j 0.0138928-0.00360074j 0.0127442+0.00242702j -0.00226581+0.000868494j -0.00560014-0.00698909j 0.0124932-0.000673843j -0.00892117+0.00223038j 0.0106235+0.00355748j -0.000810606+0.00556908j -0.000954035+0.00746672j -0.0013552-0.00299943j -0.00362598-0.00788997j 0.00343891-0.00161132j 0.00383222+0.00252949j 0.00226911+0.000668083j 0.00312482+0.00386382j -0.00391714+0.00577946j -0.000384391+0.00895641j -0.00372234+0.00648136j -0.00111729+0.00461486j 0.00351991+0.00582269j 0.00580434+0.00149557j -0.00261291-9.27684e-05j 0.00299278+0.00249055j 0.00642792-0.00458694j 0.00286572+0.00285954j 0.00189685-0.00173614j 0.00157536-0.00925975j 0.00362896-0.00342497j -0.00178042+0.00124464j -0.0032139+0.00282771j -0.00567489-0.00491513j -0.00617517-0.00572269j 0.00428486+0.0110434j 0.0105961-0.00301836j 
0.00169896+0.0041496j -0.0027593+0.00648948j -0.00411966+0.00385768j -0.00895166+0.00752273j -0.00513262-0.000343318j -0.00433817-0.0112985j -0.00183764-0.0045722j 0.0040238+0.0039368j 0.00935523+0.00376143j -0.00206696-0.0091129j 0.00557445-0.011065j -0.00820646+0.00028061j -0.0043491-0.00368282j 0.00223814-0.0031232j -0.00168478+8.5608e-05j 0.00578554-0.00133641j 0.00745725+0.00318296j 0.00154167-0.00417871j 0.0022558-0.00589705j -0.00126022+0.00431587j -0.00318254-0.00725126j 0.000143641+0.00502887j -0.00535727+0.00852331j 0.00385651-0.000956188j -0.00167619-0.00209547j 0.0060442+0.00478917j 0.00711834-0.000638564j 2.46933e-05-0.00210336j 0.00127962+0.00160876j -0.00439431+0.00137205j 0.0032155-0.00044134j 0.00440771+0.00369115j -0.00266836+0.000123526j 8.16666e-05+0.00103073j 0.00356456+0.0034036j 0.000994608+0.00191086j 0.00083666-0.00102113j -0.000160236+0.00321011j 0.00325278-0.00202348j -0.000313817-0.0034627j 
0.0200306-0.00451812j -0.00223801+0.00732601j 0.00465978+0.0180637j 0.011822-0.00580325j 0.00386643-0.0123089j 0.00310887+0.00791329j 0.00173181-0.00167492j -0.00849242-0.001661j -0.00753895+0.00909506j 0.00113102+0.00969721j -0.00364504+0.00198544j 0.00183208-0.00213741j 0.0126998+0.00631545j 0.00787372+0.00464848j 0.00110915+0.00572817j -0.00364333+0.00200661j -0.00430498-0.00188378j 0.000897344+0.00583521j 0.000510428+0.00286204j -0.00389033-0.00366115j 0.000151627+0.00461357j -0.00165134+0.002661j 0.00094053-9.37307e-05j -0.00234217-0.0051206j 0.00379179+0.0033998j -0.000549829-0.00360793j -0.00202383+0.000470673j 0.00208358-0.000761283j 0.00499253+0.00366214j -0.00794816+0.00370731j 0.00317644+0.000379004j 0.000381797+0.00378825j -0.00237391-0.00482481j 0.00862471-0.00213963j -0.00235213+0.00115724j 0.00880003+0.00655906j -0.00344012+0.0049911j -0.00352369-0.00949735j -0.00489773+0.00484102j 0.00191391+0.00395542j 
0.00687017+0.0185717j -0.00409139+0.00203822j -0.015409+0.0101555j -0.00782957+0.00315878j 0.0126338-0.000751052j -0.00108294-0.00903277j -0.000816876-0.0119204j -0.00476755+0.0110143j 0.00895737+0.00866842j -0.0030616+0.00581129j 0.000651462-0.00812567j -0.00767129-0.00306873j 0.00241762+0.00546502j 0.00868664+0.00100997j 0.00564441+0.00234156j 0.00483169+0.00180407j 0.00229769-0.00247753j 0.00418151-0.00425829j -0.00314917-0.000154491j -0.00274369+0.00156162j -0.00227426-0.00528565j 0.00173999+0.0018467j -0.00253597+0.00355329j 0.000687468-0.00158423j 0.000860353-0.00318602j 0.00412775+0.00206473j 0.00412767+0.000381546j 0.0010618-0.00122989j -0.0018559-0.000707494j -0.00734178+0.0042042j 0.0012252+0.000964253j 0.00158542+0.00497415j -0.000291373+0.00280824j 0.000887195+0.00382051j 0.0026335+0.0018633j 0.000298656+0.0051092j 0.00367828+0.000889212j 0.00736505+0.00459879j -0.00366837-0.00837739j -0.00691721+0.00123402j 
