0.000221443+0.000676185j 0.00273329+0.000738153j -0.000720961+0.00754696j 0.00242864-0.0017734j 0.0038187+0.00200124j -0.00216559-0.00394193j -0.00263894-0.00517862j -0.00911199-0.00548291j 0.000303108-0.00956195j 0.00090348+0.00379665j 0.0108401-0.0074605j 0.0060495+0.00112968j -9.10018e-05+0.00304559j -0.00214545+0.00255344j 0.0075403+0.00654687j -0.00364975-0.0149509j 0.00200238-0.00587424j 0.00199951-0.00113479j 0.00372568+0.0104051j -0.00274939-0.000740385j 0.000410106+0.00351745j -0.00141649+0.00298903j 0.000842237+5.59649e-06j -0.000508385+0.000177272j -0.00470101-0.00324653j 0.00326628+0.000103501j 0.00224946-0.0007155j -0.00302073+0.00764074j -0.00128296+0.0074343j -0.00023382+0.0015308j -0.00309764+0.00687364j -0.0164064+0.00592019j -0.0182643+0.00554144j -0.00918432-0.022342j 
-0.0149684-0.00194424j -0.000856557+0.0143521j -0.0101217+0.00193278j -0.0122605-0.000262571j 0.00102386-0.00543184j -0.000351682+0.00344754j 0.014777-0.00156879j -0.0022549+0.00496354j 0.00237996-0.0117698j -0.0134156+0.00603132j -6.03143e-05-0.00245249j 0.00242802-0.0109645j 0.00953018+0.00291956j -0.00704061-0.000483181j 0.0069156+0.0137899j -0.00251621-0.00989052j 0.00536946+0.00476766j 0.00557897+0.00419633j 0.00352984+0.00068695j 0.000162325-0.005082j 0.00124401-0.0049704j -0.0121279+0.0095849j 0.000239264+0.00336408j 0.000990995+0.000347647j 0.00340877+0.00429837j 0.00196482+0.00104976j -0.00462775+0.0107648j -0.0102382-0.0015336j -0.00512161-0.00169001j -0.00134605+0.00229096j -0.00350814-0.00210326j -0.000517506+0.00368997j -0.000690998+0.0104901j -0.0120798-0.00306613j 
0.00340196+0.00659183j 0.00562523-0.00380761j 0.00908653+0.00258053j -0.000720431+0.00223373j 0.00293291+0.0026709j 0.00406052-0.0124758j -0.000386745-0.00437204j 0.000731114+0.00839902j -0.0103781-0.0020163j -0.00320919+3.33522e-05j 0.00125288+0.0052142j 0.00418863-0.00337028j 0.00417979+0.00146001j -0.0130833-0.0029153j 0.00310219+0.0139527j -0.00313383-0.00692148j 0.0074879+0.00288434j 0.000925916+0.00553193j 0.00491931+0.0100549j 0.00637616+0.00221484j 0.000413121-0.0136234j -0.0147822+0.00904458j 0.00160488+0.00280947j -0.00337981+0.00687051j 0.00432816+0.00581816j -0.00732372+0.00106051j -0.010715+0.0101495j -0.00883436-0.00316103j -0.0075746-0.0100245j -0.00271411+0.00595239j 0.000252475-0.00645209j 0.0124944+0.00166049j 0.00447478+0.00316709j -0.00625474+0.00346614j 
-0.0127503-0.00205022j -0.0045612+0.00987335j 0.00807045+0.00241654j -0.0120473+0.0127699j -0.00471547-0.00479271j 0.000448504-0.0153053j 0.00223236-0.00257831j 0.00792488+0.0152033j -0.0138739+0.00519096j -0.0132036-0.00083876j 0.00111522+0.0138257j 0.00475784-0.00272341j -0.00665878+0.0124931j -0.00190765+0.00593209j -0.000878226-0.00114148j 0.00362581+0.0062259j -0.0035857+0.00312722j 0.00172559+0.00147884j -5.6614e-05+0.00740979j -0.00833175+0.000253208j 0.00271704+0.00338173j 0.00306056-0.00401938j 0.0024296+0.000564385j -0.00368021+0.00492435j -0.00257728+0.000181042j -0.00199038-0.00529308j 0.00352882-0.00764496j 0.00671835+0.00148077j 0.00885849+0.00993084j -0.0053394-0.00581151j 0.00375337+0.00197271j -0.00562049+0.00528332j 0.00169017-0.0141121j 0.0146762+0.00218402j 
-0.00263751+0.00356299j 0.0054861+0.00726725j -0.00305871+0.00155303j -0.000549486+0.00331211j -0.0129849-0.00364457j 0.0075525-0.00159326j -0.00177944+0.00469797j 0.0111175+0.00462206j -0.00329377-0.0018061j -0.000663632-0.00361136j 0.0109732+0.00788807j -0.0019538+0.0144414j -0.0169386+0.0186191j 0.00338062+0.0133101j -0.000781513-0.00866109j 0.00638169-0.00715568j -0.0150087-0.00467021j 0.0186115+0.00911507j 0.00434849-0.00170708j -0.00379671-0.00379515j 0.00756174+0.00630976j 0.00964627-0.00992543j 0.000316288-0.0125288j 0.000179996-0.0081106j -0.00565858-0.000167343j -0.00187687-0.000555562j -0.00475506-0.00706034j 0.00322524+0.000858454j 0.00694421+0.00367441j 0.0011446+0.00222393j 0.00103238+0.00107887j -0.00388061+0.00907012j -0.00447522-0.0024813j 0.00334095-0.00425518j 
-0.00408369+0.00964574j 0.00752331+0.00225048j -0.00170641-0.0125687j -0.0144637+0.0124438j -0.00184916-0.00937155j -0.00594723-0.0175007j 0.0153715-0.00384616j 0.00519053+0.0140786j 0.00236127-0.0022444j -0.000113402-0.00892841j -0.00521737-0.00640976j 0.0135326-0.00654784j -0.00399233+0.000100163j 0.00214756-0.00442043j -0.000736564+0.00186804j -0.00330098+0.0010038j 0.00727353+0.00664429j -0.00528052-0.00191962j 0.00119059-0.000352018j 0.000655939+0.00147597j -0.00090541+0.00316084j 0.00332088+0.00678822j -0.000640668-0.00318431j 0.000998618+0.00280761j -0.00698174-0.00860737j 0.0102757-0.0052459j 0.00548688-0.00725557j -0.00472597+0.00642176j 0.0126952+0.000577399j 0.00584408-0.00364041j 0.00393323+0.0141324j -0.00636202+0.00120583j -0.00482964-0.00388462j 0.0037224-0.00438158j 
0.0103717-0.00083388j -0.00361318-0.0107709j 0.0026702-0.00684818j 0.000117383+0.00326261j 0.00398555-0.00338957j -0.00144146-0.0120296j -0.0032872-0.00522383j -0.00278929+0.000637173j 0.0011446-0.00359596j 0.00639273-0.00130197j -0.000524333-0.00252995j -0.000343939+0.0063954j -0.00751015+0.000647836j 0.0063518-0.00255332j -0.00347145-0.00368883j -0.000776702+0.00509481j 0.0049942-0.003781j -0.00701097-0.00195169j -0.000430583+0.0111978j -0.00173047+0.00362803j -0.000238102-0.0069025j -0.00356372-0.00173012j -0.0010994+0.000634178j -0.00665415+0.00559817j 0.000698676+0.00808159j -0.00543267-0.00443401j -0.00425888-0.00107637j 0.0099636+0.00142996j -0.00809395+0.00120199j -0.000467254+0.0028798j -0.00259787-0.00239543j -0.0034474-0.00516612j -0.000722454+0.00225558j -0.00338648-0.000149985j 
-0.0157128-0.00635861j -0.00587733+0.0137611j 0.00678127+0.0109647j 0.00456412-0.00289906j -0.00652895+0.00832403j 0.0054593+0.0132981j -0.00939317+0.00824343j 0.00238596-0.00721337j -0.0111708+0.0119975j -0.00927016+0.00417725j -0.00198599+0.0134377j -0.00436114-0.00506066j 0.00390307+0.000766652j -0.00368351+0.00222879j -0.00461797-0.00100944j 0.00284853+0.0121829j 0.00427141+0.0125614j -0.00214173+0.00134896j 0.00338902+0.00243362j -0.00646938+0.00247773j 0.00177515+0.00322209j -0.00398017+0.00319205j 0.00571451+0.00283115j -0.00143629+0.00594214j 0.00256184-9.49173e-05j -0.00418498-0.000395836j 0.00480806-0.00599946j -0.000783703-0.00266271j 0.00937976+0.00848549j -0.0101546-0.00183601j -0.00211557-0.00303213j -0.00167224+0.00402632j -0.00163135-0.00353464j 0.00671658-0.00127306j 
-0.00685108+0.0029447j 0.00410988+0.00552475j -0.00409199+0.00390743j -0.00699597+0.00335776j -0.000952184-0.00405656j -0.00341714+0.00728328j 0.00685632-0.000841157j 0.00557559+0.00329721j 0.00208848+0.00157037j -0.000653568-0.00639672j 0.00256857+1.95649e-05j 0.00407497-0.00184656j 0.00548105-0.00543005j -0.00612626-0.000235735j -0.00166044+0.002634j 0.00209689-0.00761387j -0.015617-0.00699416j -0.00368722-0.00541324j -0.0103915-0.0105438j 0.00250764-0.00244568j 0.00141874+0.00580367j 0.0110734-0.0103129j -0.00276432+0.00391384j 0.00542954-0.00948454j -0.00253643-0.00513064j 0.00205877+0.00323052j 0.00245127-0.00323527j -0.00283973-0.00553488j -0.0010701+0.000243315j 0.00154287-0.00257364j 0.000991432-0.00324007j 0.00528593-0.00202257j 0.000303326+0.00549681j -0.00414877+4.77373e-05j 
-0.0106791-0.00474716j -0.00803528+0.00671457j 0.00716281+0.0021405j 0.00252913-0.000428654j 0.00822928+0.00623518j -0.00114639+0.000211773j -0.00404695-0.00277602j -0.0086963-0.00424328j -0.00540361+0.00241714j -0.00593793+0.0130571j 0.00293698+0.0116363j -0.00862036-0.00312159j 0.00520338+1.14363e-05j -0.00627269+0.00248384j 0.00118768+0.00347637j 0.00376102+0.00305918j -0.000957701-0.00221672j 0.00382649+0.00212941j 0.00325596+0.00281813j -0.00323526-0.000789133j -0.000922273-0.00235485j -0.00610108+0.00102491j 0.00531968+0.00365644j 0.00113894+0.00377847j 0.00677931+0.00596285j -0.00667396+0.0030118j -0.00168317+0.00673913j 0.00403137-0.005442j -0.0049709+0.00598385j -0.00542561+0.00264474j -0.00406311-0.00571175j 0.00104522+0.000199237j 0.00322104-0.00475468j 0.00353706+0.00220025j 
0.00459584-6.67878e-05j 0.000226849-0.00542256j 0.00464652-0.00447483j -0.0010195-0.0051561j 0.00637188-0.00111517j -0.00045584+0.000621474j 0.00186992-0.00140763j 0.00331633+0.00302259j -0.00191069-0.00127745j -0.00161951+0.00711293j -0.00284028+0.00369771j -0.0035918-0.00607073j 0.0106334-0.00262816j -0.00964943-0.00569808j -0.00490852+0.00954383j -0.00201948-0.00209723j -0.00806555+0.00171827j 0.00299793-0.00422269j -0.00144423-0.00380859j 0.00732771-0.000827024j 0.00484481+0.0119033j 0.00405945-0.0036073j -0.000832916+0.0020107j 0.00362887-0.00738259j -0.00513865-0.00654925j 0.0100833+0.00656686j 0.00902028-0.00676896j -0.00389406+0.00490893j 0.0040024+0.00423127j -0.0042901-0.00378045j -0.000267589-0.000107964j -0.00684581+0.00110286j -0.00195542+0.0036878j -0.00451957-0.00244255j 
0.00470495-0.00245822j -0.00334905+0.00231761j -0.00522812-0.00311964j 0.0129399-4.47364e-05j -0.00603425+0.00380584j 0.00584765-0.018062j -0.00831931+0.000123952j -0.00209894+0.0066651j 0.00217037-0.00336389j 0.00596079-0.00470439j -0.00317574+0.00201228j -0.000642331+0.00230785j 0.000377495+0.00234518j -0.000555449-0.00324219j 0.000917929-0.000981178j 0.00367822-0.00536705j -0.00134466+0.00389785j 0.0055946+0.00243463j -0.00141519-0.00657849j 0.00169611-0.00374002j -0.000617617-0.00322289j -0.000604851+0.0025206j -0.00178904-0.00291401j 0.00264537-0.00186017j 0.000754908-0.00171273j -0.000362399+0.0033562j -0.00203885+0.00666474j -0.00877505-0.00378036j -0.000884939-0.00824094j 0.00327+0.000386517j 0.00354609-0.00219583j 0.00974199-0.000946151j 0.00154989+0.00214204j -0.00233519+0.00297642j 
-0.00591709+0.0019978j 0.00134801+0.00673423j -0.00340563-0.00231133j 0.00271145+0.000787518j -0.00304164+0.00178631j 0.000420158+0.000357249j 0.00158048+0.00405219j -0.000246645-0.00223284j 0.0110427+0.00568935j -0.000761323-0.00122658j -0.00620176-0.00385871j -0.000730172-0.00513496j 0.000821663-0.00608922j 0.00968517-0.0034838j -0.00265445-0.00997773j 0.0032582+0.00635301j 0.00459664+0.00526145j -0.010708-0.00169193j -0.00503279+1.03512e-05j -0.00838806+0.00309603j -0.00182042+0.00139891j 0.00230573-0.00150465j 0.00237748+0.0025325j 0.0010952+0.00193546j 0.000522348+0.000278138j -0.00287217-0.00191692j 0.00301672-0.00402974j 0.00258076-0.0019245j 0.00531993+0.00430631j -0.00396326-0.000340038j -0.00324019-0.00178826j -0.00258404-0.00265593j -0.0018823+0.00372442j -0.000532818-0.00110066j 
-0.00177329-0.00053508j -0.00154724+0.000892696j 0.00316752-0.00126317j 0.000102707+0.0026233j -0.00348984+0.00135776j 0.000249415-0.0010214j -0.00233824+0.00370679j -0.000264919-0.00380296j -0.00117371+0.00439118j -0.000247379-0.00308656j -0.00214368-0.00160831j 0.00174877+0.00171517j -0.00830169+0.00260495j 0.00934066-0.00102606j -0.0044097-0.00690579j 0.00068728+0.0123063j 0.0177131+0.00196879j -0.00799296+0.0030823j 0.00789016+0.00901395j -0.0060591+0.00795137j -0.0055358-0.00650783j -0.00536236+0.00919147j 0.00188092-0.00360319j -0.00396825+0.0141349j 0.0043409+0.00657181j -0.00728424-0.00588345j -0.00181978-0.000928562j 0.00575554+0.0010493j 0.00262542+0.00199832j 0.00494883-9.05832e-05j 0.000323725+0.00786991j -0.00530559-0.00304264j -0.00327624+0.000561113j 0.000894354-0.00278j 
-0.00236306+0.00726902j 0.00335542+0.00182845j -0.0014749-0.00758132j 0.00796877+0.00150295j 0.00201771+0.00629152j -0.00163125-0.0144541j -0.00492242-0.00259391j -0.00916953+0.000809018j -0.00536435-0.00353209j 0.00318686-0.00237834j -0.00139842+0.00759422j -0.00106594-0.00245708j 0.00286663+0.000613871j -0.00757612-1.31322e-05j -0.00183018+0.00259584j -0.00335022+0.00282601j -0.00422415+0.00158037j 0.00470479-0.00326686j 0.00183555-0.00384516j 0.0022054-0.00273384j 0.000221028-0.00251795j -0.000434055+0.00246019j 0.000735168+0.000436353j 0.00197217-0.000493076j 0.00205379-6.04396e-05j -0.00430209-0.000242377j -0.0019146+0.00615095j -2.79296e-08-0.00415896j -0.00116486+0.00277644j -0.00411702+0.000155465j 0.00151961-0.00618447j 0.00483211+0.00362573j -0.000688732-0.00474056j 0.00370274+0.00124979j 
0.00566363+0.00292619j 0.00411112-0.00543511j 0.00191943-0.00802161j -0.000775979-0.0047361j -0.00232553-0.00208435j 0.00352783+0.00371564j -0.00016748+0.00557837j 0.0112848-0.00317725j -0.00151375+0.00348944j 0.00570003-0.00406865j -0.00163144+0.0034691j -0.00182409+0.00255138j 0.00600109-0.00648216j -0.00831433-0.00549948j -0.0110486+0.0067791j -0.000936178+0.0036893j -0.00722641+0.00236435j -0.00650742-0.00436987j -0.00140292-0.000269456j 0.00833403+0.0011548j 0.00458413+0.00218322j 0.000201469-0.00551606j -0.000253748+0.00191303j -0.000599884-0.00268847j -0.00075327+0.00131911j 0.00026684+0.002522j -0.000515674-0.00718832j 6.46193e-07-0.00318427j -0.00172088+0.00448211j -0.00174929+0.00156259j -0.00526358-0.00475422j -0.00208061-0.00454795j -0.00292154+0.0104213j -0.00816681-0.00139487j 
-0.00231624-0.000668163j -0.00371418+0.00260171j 0.00805037-0.00659999j 0.00669694-0.00183312j 0.00428491+0.00441337j -0.00111473-0.0123567j -0.00644367+4.74532e-05j 0.00150218+0.00522718j -0.0057366+0.00454093j -0.00110834+0.00482808j -0.00427711+0.0111387j -0.0067544-0.00917262j 0.00958434-0.00695332j -0.0106789-0.00599727j -0.00782852+0.0101202j 0.00102192+0.0069439j 0.00204131+0.0113207j -0.00465183-0.00418676j -0.00315356-0.00369713j 0.00517269+0.00131747j 0.0053868+0.00807764j 0.00179681-0.000458658j 0.00214605+0.00211782j 0.00232404-0.00171948j -0.00681617-0.00585802j 0.0102067+0.0041713j 0.00907181-0.0107682j -0.00698717+0.00465627j 0.0101856+0.000246441j -0.0037177-0.00277999j 0.00116375+0.00292167j -0.00166674-0.00274875j -0.00124862+0.0029397j -0.00255538-0.000816954j 
-0.00221124+0.00562064j 0.00473362-0.00425868j -9.65974e-05-0.0053571j -0.00968251-0.000887152j 0.00225523-0.000521168j -0.000726332+0.0157983j 0.00871399+0.00237415j -0.00325749-0.00954234j -0.00261775+0.00357605j 0.000441608+0.00122098j -0.00644881+0.00193538j 0.00338556-0.00478278j 0.00316284-0.00227704j -0.00559291-0.0039392j -0.00179214+0.00407326j -0.00290569+0.00741858j 0.0128127+0.006135j 0.00532025-0.00155011j 0.00942783-0.00472512j 0.0011167-0.00236205j -0.000210611+0.000114407j -0.00483789+0.0150116j 0.000983074-0.00459132j 0.000612717+0.00443658j 7.70887e-05+0.000641424j 0.00203085-0.00635004j 0.000112082+0.000967957j -0.00112931+0.00364648j 0.00514237+0.00107963j 0.00248467-0.0014678j 0.00228243+0.00749161j -0.00397844+0.00468952j -0.00473324-0.00092301j 0.00120704-0.00449402j 
-0.00432766+0.00239575j -0.00343429-0.0034127j 0.00660345-0.00276911j -0.00785058+0.00706013j 0.0152387-0.00421844j -0.0112934+0.000992546j 0.00233812-0.011242j -0.00946262-0.0011638j -0.00467016-0.00237689j -0.000922467+0.0079782j 0.0096018+0.00419357j -0.00247586+0.00196292j -0.00138039+0.000913579j -0.00302164+0.0049297j -0.00234718+0.00334647j 0.000283309+0.000336659j -0.0130785-0.0102156j -0.000413242-0.00446171j -0.000589609+0.00336222j -0.00083209+0.00117005j 0.00271035+0.00174522j 0.00189033-0.0103162j 0.00156391+0.0025767j -0.00062543-0.00238191j 0.000288291+0.00387637j -0.00277428+0.00232916j -0.000962557-0.00159184j 0.011289-0.00406183j -0.00396188+0.00965906j -0.00262486+0.00352273j -0.00498848-0.00196926j -0.00359989+0.000709836j -0.000876182-0.00107303j -0.00192121-0.00244816j 
0.000868575-0.00361309j -0.00768277+0.00265426j -0.00934085-0.0134834j 0.0112588-0.00455992j 0.00649902+0.00247168j -0.00659544-0.0166798j -0.00402122-0.00162158j -0.0131125+0.00134474j 0.012685-0.00725865j 0.00259188+0.0102297j -0.00696246+0.000923742j -0.0110676-0.00468248j 0.00412386-0.00207714j 0.00690997-0.00461448j -0.000560447-0.00500372j 0.00372257+0.0042066j -0.00156924+0.00704472j 0.00118875-0.002034j -0.00364358-0.00216152j -0.00515454-0.00314687j 0.00441176+0.00468818j -0.00033806-0.00552078j 0.00211891+0.00208778j 0.00179484-0.00508j -0.00209712+0.000165084j 0.00436025+0.000847357j 0.00286873-0.00147188j 0.006129-3.37109e-05j 0.00578013+0.00486863j -0.0105349+0.00176959j -0.0039179-0.00550877j -0.00655584+0.00462494j 0.00109973-0.00247728j 0.00236036+0.00215323j 
