-0.426118+0.415913j -0.261512+0.416296j -0.980256+1.75408j -2.48628-0.589438j -0.657166-0.630923j -0.636624+0.413567j -0.547636-0.755803j -0.0374863+1.08336j -0.0489508+0.54778j -0.655173-0.109806j -0.185244-0.143807j 1.18571+1.06431j -0.150055+0.738038j 0.93233-0.613793j -0.171237-0.182441j -0.161687+0.483716j 0.283709-0.63874j 0.0417623+0.204554j 0.0591766+0.956544j 0.522236+0.749542j -0.307331-1.3499j -0.965598-0.440839j 0.0973617+0.642382j 1.00724+0.265046j -0.855232-0.0977655j -0.378832-0.284465j -0.2336-0.485964j 0.0739358-0.145444j 0.0438812-1.12568j 0.924599-0.838709j 0.367021+1.06846j -0.145125-0.175559j 0.325203-0.220473j -0.423213-1.08792j 0.157562-0.557874j -1.27143-1.0011j 0.165711-1.29151j 0.294532-0.326438j 1.54312-0.735702j -0.0834482-0.90701j 0.578113+2.01757j -3.65912+1.55385j 1.49602+2.78602j -2.02666+1.64231j -1.92396-2.45026j 0.610272-0.418052j -0.356939-0.461571j 0.807553-0.110416j 1.29771-0.271375j -1.29594+0.566679j 0.092544-0.734219j -0.577727-1.79979j -0.541337-2.18777j 1.33663+0.385414j -0.287724-0.298027j -0.478007+0.583411j 1.15584-0.412814j 0.953778-0.287006j -0.130683-0.393169j -0.808129+0.375731j 0.816682-0.230311j -0.617058+1.36961j -1.10361+2.24571j -0.243054-0.16198j -0.58409+0.630354j -0.076041+0.640025j -0.191744-0.358064j -0.5907-0.81654j 0.046464+0.993917j -0.999783-0.0231368j 0.686351+0.307156j -0.362753-0.0272909j -2.21368-0.513748j -0.990953+0.899601j 0.713028-0.850497j 0.825977-0.453568j -1.207+0.0377145j 0.0801862-0.357718j 0.0171635-0.408837j 0.354285+0.170055j 0.79158+0.249166j -0.763829+1.66515j -2.11968-0.882844j 0.246884-0.231128j -0.587216+0.58005j -0.59576-0.238134j -0.889045-0.980608j 0.35131+1.11501j -1.05037-0.593178j -0.054878+1.06213j -1.57696-2.13291j 1.87808-2.19431j 
0.0168664+0.182853j -0.114135-0.348725j 0.0182664-0.119668j 0.168308+0.804056j 0.0466455-0.342702j 0.177693+1.03054j 0.351882-0.439778j -0.468996+1.70769j -0.101653+0.15611j -0.306742+0.117582j 0.384453-2.59167j -0.588008+0.284525j -0.402489+3.4316j -0.016386+0.0903761j -0.594693-2.18104j -0.452419-1.92526j -0.408122-0.863338j 0.116177-0.999962j 0.606854+1.72759j 0.768778+2.20711j -0.703872+0.0588978j -0.110995+0.563783j -0.35576+0.132811j -0.390337-0.38847j 1.07607-1.92159j 1.37195-1.64588j -0.528375+0.395271j -0.706719+1.45768j 0.0101391+0.434338j 0.71007+3.45333j 0.70133+0.18525j -1.27597+1.2404j -0.0921598-0.705819j -1.11152-0.173318j 1.37318+1.00209j -0.258527-0.0324616j -1.50749-0.868217j 0.245325+0.0317741j 1.17703-2.25082j 1.9239-1.18192j -0.968269+3.60261j -0.330811-1.11177j 1.29961+2.00177j -1.90491-0.751734j -0.0831669-4.21219j -0.0239161+8.79875j -0.426873-1.50467j -0.169831+10.5644j -0.637665+14.35j -0.283427-4.73621j 0.227001+17.419j -0.012432-11.9536j 0.125865+7.61055j 0.456395+16.0583j -0.352155+7.14154j -0.502774-34.0542j -0.569755-26.0804j 0.0851315+0.259981j -0.12215+8.44272j 0.02737+1.9904j -0.291958-10.5873j 0.490207-35.3925j -0.603388-4.1175j -0.216921+31.2368j 0.595804-1.20819j 0.407376-28.5956j 0.103428+11.1582j 0.0251933-2.94454j 0.181963-27.9255j 0.0840241+3.06544j -0.524311-39.0302j 0.255991+1.12714j 1.36868-8.88448j -0.13602-8.58773j 0.200528-3.44231j -0.59485-18.7902j 0.346044+34.153j -0.597621-4.8395j -0.0546798-17.0899j 0.692488-10.0331j -0.296658-9.38859j 0.0805758+17.8767j -0.282308+1.31117j -0.670897+8.18721j -0.631784+12.7234j -0.0911221+0.189701j -0.624181-8.96215j 0.0787812-3.37988j -0.0337173-5.58392j -0.75763-2.38238j 0.59473-0.102581j 1.88439-0.110167j 
-0.133044+0.080704j -0.504077-0.66888j -0.6601+0.706169j -0.191788+2.45206j -0.5698-0.22494j -0.450491+3.66921j -0.525997-0.278378j -0.128557+5.45792j 0.191563+0.968382j 1.1271+0.0154057j 0.364545-6.01366j -1.56768-0.229395j -0.132934+6.75242j 0.286585-0.0166229j -0.487592-5.08733j 0.888748-4.18845j 1.12873-1.59292j 0.469921-3.01443j -0.749873+4.22937j -0.345965+8.50447j -0.474151+1.50466j -0.260848+2.36199j 0.852064+2.69102j -0.912982-0.313946j -0.338745-3.32287j 0.634993-5.00734j 0.558948+3.28711j -0.0889961+4.01957j 0.577892-0.249447j 0.257285+4.83618j 0.76248+1.06498j -0.741231+2.63015j -0.945595-0.124282j -0.509144+1.09707j 1.60353+1.25357j 0.0971888-0.447496j -1.10742+0.513391j 1.11288+2.86667j 0.136915-3.12057j 0.384318+1.09929j 0.885625+1.14861j 0.245271-5.15714j -1.07842+4.75121j 1.91282+1.06434j -0.691195-11.6187j -0.08468+22.1883j 0.0399516-5.98864j 0.166972+26.9839j -0.23585+36.8111j -0.389813-10.9124j 0.420832+45.2028j 0.213947-30.9457j 0.225469+19.5788j 0.124869+40.2713j 0.234756+16.221j 0.0964708-89.0768j -0.324998-68.3296j 0.020387+1.01679j 0.311993+22.1148j -0.122379+5.53953j -0.442588-27.5526j -0.194251-94.4246j 0.269643-11.1184j 0.436618+81.1924j 0.162843-2.61799j -0.457158-73.5539j 0.162682+26.0487j 0.131527-7.24963j 0.0282853-69.8259j 0.604652+6.15213j -0.113711-99.8716j 0.538254+3.8796j -0.380664-22.3581j -0.25593-24.315j -0.0948177-6.65536j 0.20268-47.1602j -0.631673+90.1754j 0.71068-14.9301j 0.0116894-43.1713j -0.56801-26.2808j -0.925547-25.6354j -0.658279+45.2207j 0.440933+3.95271j 0.501557+21.051j -0.0619011+34.0214j 1.41763+3.62454j -0.769127-22.82j -0.421611-8.33284j -0.584967-12.4316j 1.19557-7.54338j 0.201206+4.57543j -0.208678-0.635653j 
-0.0577414-0.0928077j -0.129381-0.0539121j -0.31407+0.422572j -0.19039+0.539896j -0.265803+0.0812129j -0.321968+0.940265j -0.381573+0.185492j 0.214252+1.26322j 0.148028+0.286695j 0.663874-0.0942082j -0.103062-0.979186j -0.184972-0.332739j 0.240226+0.774472j 0.312308-0.0665098j 0.147942-0.760762j 0.631125-0.396071j 0.735769-0.0569644j 0.12489-0.639367j -0.655998+0.680889j -0.741285+2.20098j 0.310627+0.532591j 0.0534842+0.65942j 0.448385+1.10659j -0.296913+0.103658j -0.819731-0.0311966j -0.508811-1.29603j 0.738934+1.14724j 0.404461+0.710876j 0.281824-0.391213j -0.440799-0.0910641j -0.0576813+0.38224j 0.495108+0.278536j -0.428098+0.50017j 0.384648+0.524674j -0.164758-0.119114j 0.123274-0.0965433j 0.487498+0.789871j 0.43676+1.21537j -0.542421+0.0142066j -0.987573+1.22053j 0.9431-1.8108j 0.266474-1.51296j -1.24472+0.633312j 2.09913+0.654457j -0.362296-2.39211j -0.0867601+4.09963j -0.0446629-1.38991j 0.0604442+4.96357j -0.0328945+6.7683j 0.159086-1.92893j 0.0582155+8.46904j 0.00523482-5.90856j -0.0311853+3.59494j -0.169502+7.55502j 0.0905792+2.63204j 0.0916482-16.9284j 0.0461759-12.9364j 0.0637151+0.244595j 0.109672+4.11935j -0.0343604+0.934905j -0.0437121-5.08799j -0.411945-17.8296j 0.275376-2.22165j 0.181307+15.1314j -0.110583-0.411723j -0.114246-13.5708j -0.375263+4.72976j 0.173105-1.28074j 0.100784-12.772j -0.0239629+1.09079j 0.391647-18.8076j 0.166751+0.94239j -0.119344-3.67123j -0.294496-4.76419j 0.171786-1.00358j 0.431752-8.97467j -0.134328+17.344j 0.143411-3.19994j 0.120139-8.06939j -0.547701-4.64579j -0.358498-4.88138j -0.233744+8.4674j 0.0727001+0.750469j 0.228422+3.83141j 0.131009+6.31274j 0.594981+0.567103j -0.117283-4.26442j -0.0267428-1.4887j 0.0414156-2.40519j 0.0175163-1.69457j 0.652649+1.06793j -0.168219+0.550516j 
-0.321028+0.64802j -0.364969-1.35406j -0.122278+1.61313j 0.909365+6.0902j -0.144509-2.18151j -0.380646+8.40764j -0.331122-0.717784j -0.419745+14.2531j -0.458855+2.64436j -0.101783+0.246215j -0.440002-15.1287j 0.331122-0.541464j 0.742464+18.1226j -0.0404076+4.44459j -0.0782593-12.9334j 0.109044-10.1037j 0.429859-2.37701j 0.0314862-7.19952j 0.321819+9.24024j -0.44909+21.3712j 0.0968874+4.68746j 0.0184871+5.89259j 0.0652939+9.20217j 0.19529+1.36824j 0.512829-7.07657j 0.507157-9.35591j 0.0202894+5.18881j 0.0717947+11.7943j 0.275269+0.219065j 0.0346708+9.45174j -0.628029+3.68997j -0.955166+5.71882j 0.81458+1.26973j 0.310187+0.586387j -0.0917529+3.82525j -0.436456-2.29446j -0.471291+0.580316j -0.0515033+3.00515j 0.793687-8.6012j 0.518746+3.06189j 1.88215+3.8019j -0.366829-12.3824j -0.20007+11.8937j 0.108256+2.98024j 0.694485-27.8516j 1.38414+56.7884j -0.139943-12.3605j 1.6735+67.5962j 3.60937+91.0465j 0.00293557-27.9893j 1.77601+112.301j -2.05652-77.9098j 0.872002+48.4006j 1.37698+101.697j 0.45932+40.8757j -5.37502-223.062j -3.69435-170.27j -0.569379+1.92228j 0.913391+55.6622j 0.76388+15.1965j -0.818495-69.6937j -6.96735-236.437j -0.597856-30.1411j 5.50654+202.912j -0.461544-4.81175j -5.07709-184.279j 2.06891+67.8154j -0.961909-17.6813j -5.21284-177.379j -0.182221+17.288j -6.35032-249.153j -0.402765+8.72504j -2.14921-55.4999j -1.25581-62.3254j -0.353624-17.0515j -3.53306-118.076j 6.77258+223.857j -0.938876-36.7499j -3.03634-110.313j -1.77235-66.8353j 0.117414-62.1288j 3.45562+111.374j 0.178732+8.23329j 0.655298+49.2559j 2.45716+84.2752j 0.0857864+6.95559j -0.776542-56.7149j -0.954898-17.022j 0.965671-27.9507j 0.765383-16.9383j 1.50156+10.9759j 0.309298-2.7469j 
0.041282+0.0922828j 0.19678+0.103696j 0.221804+0.584332j -0.110845+0.685152j 0.321809+0.193614j 0.263217+0.790669j 0.450037-0.146046j -0.319171+1.4768j -0.132725+0.0140878j -0.409218-0.57408j -0.133268-1.81333j -0.145858+1.20346j -0.50833+2.02227j -1.47721+0.260585j -0.0248652-0.59226j -0.352573-1.47723j -0.62973-1.12127j -0.0775812-1.19521j 0.378857+1.55547j -0.386574+2.31438j -0.731471+0.757956j -0.0106899+0.668482j -0.728201+0.127126j -1.05272+1.00562j 0.00708281-1.15473j -1.12001-1.95844j 1.19772+0.220011j -0.572312+1.28532j 0.449782-0.962162j 1.69006+0.700753j -0.231694-0.674892j 0.658907+1.53642j -1.06327+0.736342j 0.721773+1.17621j 0.478087-1.42597j 0.242499-0.187106j 0.53319+1.28514j 1.91556-0.774859j 0.104804-1.19697j -0.753335-0.32458j 0.355934+0.140419j -0.597769-1.82731j 0.899675+2.0504j 0.0898625-0.504136j 0.116045-3.0912j -0.17135+6.35136j -0.761438-1.83633j 0.394582+7.37371j 0.516645+10.1568j 0.0429353-3.34968j 1.10167+11.8123j -0.00537542-8.11131j 0.106099+5.59682j 0.443496+10.8557j -1.23182+4.42157j -0.397012-24.4715j -0.544236-18.6047j -0.203179-0.304737j 0.40963+6.44564j 0.167394+1.7103j -0.311663-7.80616j -0.983401-26.1845j -0.895138-2.25755j 1.22233+22.4537j 1.00585-0.745365j -0.816313-20.6781j 0.320742+7.65406j 0.322515-2.2732j -0.862447-19.2285j 0.460383+2.25891j -0.993328-27.1322j 0.100779+1.64932j 0.507877-6.66409j -0.318053-6.40019j -0.336649-2.04716j -0.648234-12.8628j 0.936422+24.2903j 0.975033-3.5991j -0.566117-11.7495j -0.532458-8.53105j 0.87139-6.77704j -0.153753+11.9669j 0.499746+1.34479j 0.154831+4.93554j 0.0312634+8.8833j 0.368737+1.66874j 0.303793-6.48605j 0.0023542-2.04305j 1.37891-2.64759j 0.581355-0.413573j -0.470288+1.8106j 0.948522+0.266357j 
0.0757921-0.0782102j -0.151956-0.899338j 0.071365-0.121968j -0.364029+1.79255j -0.508475-0.611667j -0.08186+0.901327j -0.149027-1.07295j -0.698542+3.37388j 0.0381731+0.017895j 0.592068+0.103404j 0.414951-4.39125j -0.081192-0.0572724j -0.110431+5.12282j 0.145503+1.02635j -0.394922-2.42921j 1.2376-2.03375j 0.115857+0.0150737j -0.341537-2.33152j 0.0222385+2.81716j -0.329638+5.27182j -0.129939+0.790794j -0.422592+1.02485j 0.593094+1.66297j -0.578117+0.717839j -0.0581512-2.47873j -1.02524-2.69198j 0.961602+1.18264j -1.70267+3.15386j -0.456197-0.822213j -0.0430433+2.31327j -1.18051+0.397904j -0.235395+0.976687j 0.0906336+0.79258j -0.599962+0.556449j -0.45474+0.924209j 0.47595-0.488363j 0.208592+0.0958884j -0.997611+1.28312j -0.476862-0.929381j 1.30127+1.49427j -0.824926+2.41603j 0.192576-2.76095j -0.0204221+3.35036j 0.239804+1.63882j 0.101158-6.82702j 0.498142+14.1071j 0.862246-4.3827j 0.634021+16.1925j 1.01543+22.9992j 0.063823-6.88753j -0.367378+26.8676j 0.690856-18.9315j -0.274437+12.5554j 0.160655+24.0603j -0.810969+8.90126j 0.350215-55.9661j 0.269064-41.2245j -0.405631-0.340948j -0.639936+13.1536j -0.572571+4.10741j 0.103114-17.5191j -0.339513-57.9863j 0.33775-7.05853j 0.575692+49.3931j 0.430183-1.80599j -0.381923-45.2975j 0.604+15.3911j -1.226-4.53675j 1.3625-44.0677j -0.312059+2.95468j -0.237981-60.5163j 1.50319+2.0326j -1.06609-13.7285j -1.03536-13.8167j 0.446826-2.96729j -0.434543-30.1977j 0.369229+55.4805j -0.547007-9.46642j 0.99746-26.1351j 0.11547-17.479j -0.489314-13.7621j -0.429603+27.4364j -1.26366+1.84081j 0.528062+12.2014j 0.24102+20.3551j 1.6069+1.27827j 0.0257761-13.3217j 0.31361-2.9505j 0.780762-7.26446j -1.18627-3.29673j -0.94269+2.57301j -0.053498-0.257955j 
-0.341187+0.164221j -0.737589-2.94453j -0.557843+1.6346j -0.618372+8.55947j 0.351489-2.58648j 0.237096+11.1067j -1.09286-2.14863j -0.256883+17.7358j 0.260514+3.11241j 1.18442+0.958743j 1.04676-19.5096j -0.224484+0.91193j -0.341071+25.4088j -0.225368+5.82807j -0.0678898-17.0836j 0.414725-12.5179j -0.680995-4.00535j -0.235843-10.1529j -0.103979+12.8187j 0.86113+28.4161j 0.132292+7.24473j 0.169851+8.0883j -0.618899+12.1534j -0.866548+1.72797j -1.60204-9.83106j -1.16423-12.8784j 0.424354+7.14429j -0.394562+14.5343j -1.67086-1.57604j 1.04996+12.2402j 0.112998+2.46853j -0.0495702+6.20186j 0.449765+4.25917j 0.390293+0.90437j -0.241022+2.27541j 0.077527-2.61567j -1.6489-0.948932j -0.337595+1.30829j 0.0806931-10.901j -0.224019+4.83408j 0.0470879+6.49949j -0.72834-16.6353j -0.622253+15.0656j 0.849115+4.05748j -1.0172-38.3082j 1.2004+75.6913j -1.2288-18.0316j 1.78999+91.8179j 2.48896+124.277j -0.461172-36.8363j 3.73492+153.265j -2.32071-105.049j 1.61463+65.4121j 2.6176+136.753j 1.38638+54.3073j -5.89476-300.496j -5.06912-230.923j 0.0473652+3.25569j 1.37594+74.731j 0.168697+19.7691j -1.61113-93.4548j -6.12459-319.236j -0.371799-40.0198j 5.79324+275.115j -0.76329-6.97767j -5.59591-249.421j 1.25555+90.463j -0.49779-24.007j -5.14155-239.091j -0.283127+23.3674j -8.09257-338.337j -0.298833+11.7396j -1.90116-74.9524j -0.92333-83.6888j -0.739341-23.6005j -3.77262-159.671j 7.79859+304.56j -0.67033-48.2857j -3.61209-148.788j -1.89278-89.0465j -1.47672-83.2393j 4.63451+152.406j 1.58522+12.5641j 2.41782+66.9382j 3.10317+114.488j -0.159486+10.1399j -2.65395-75.8652j -1.6997-25.7415j -1.02726-36.4002j 0.0597456-23.1052j 0.420919+13.7537j 0.630605-2.29143j 
-0.380662+0.000388722j -0.337263-1.24289j -0.286446+1.13318j -0.148602+5.17266j -0.5961-2.36199j 0.248567+5.88989j -0.644281-1.36964j -0.0602519+10.0428j -0.0738714+1.9336j -0.0168047+0.609768j 0.204221-10.7726j -0.259865-0.421297j -0.0771398+13.2226j 0.186619+4.17896j 0.351288-9.83274j -0.106192-7.92571j -0.52833-1.75706j -0.213588-5.50303j -0.739206+7.34602j -0.0591533+15.6045j -0.668653+4.27661j 1.23729+4.7569j 0.575427+6.64733j -0.73227+1.24843j -0.307471-5.97412j 0.719982-7.65888j 0.279849+4.40671j 0.0702625+8.31652j -1.22926-0.900868j -1.03938+7.74395j -0.384316+1.9414j 0.864661+3.30508j -1.35361+2.26329j 0.166794+1.16893j -0.526425+3.30423j -0.286482-2.09338j -0.669629-0.474712j -0.634941+0.0147827j -0.100787-6.01501j 0.352295+3.32996j 0.202879+3.73657j -0.256276-9.33143j 0.123268+9.18174j 0.867443+3.00552j 0.11687-19.5196j 0.421057+41.8694j -0.132621-10.3873j 1.02302+50.8597j 2.26811+68.7914j -0.924485-20.8745j 1.8975+85.2832j -1.55648-58.2678j 1.3924+36.4516j 1.7447+77.453j 0.923083+30.6532j -5.41402-166.462j -2.20084-126.44j 0.847775+0.799546j 2.42257+41.4326j 0.652159+11.2206j -1.42543-50.7818j -5.7733-177.465j -0.791007-22.7495j 4.35063+152.029j 0.241945-4.04658j -2.49811-137.698j 0.743168+49.7714j 0.133247-13.9414j -4.62481-131.701j -0.0380483+10.5147j -5.28731-187.516j 0.770261+6.96281j -0.45603-41.6052j -1.2516-46.9182j -0.26041-13.1351j -2.35003-89.2341j 3.8731+167.539j -0.772944-26.5776j -2.60859-83.1266j -1.73924-48.3142j -1.78316-44.9084j 1.56531+83.4159j 0.490221+7.0059j 1.83642+40.2571j 1.82994+61.6148j 0.0559655+4.42238j 1.13958-42.7309j -1.66657-13.7242j -1.53871-20.2072j -0.390447-13.2188j 0.472024+7.62336j 0.397559-0.975385j 
-0.133281-0.0217351j -0.207009-0.811248j -0.0376323+0.0331327j -0.106536+1.53149j -0.0107672-0.543511j 0.112917+1.72864j -0.297572-0.248949j 0.113453+2.55653j 0.259267+0.433536j 0.479258+0.300227j 0.581789-2.98663j -0.0289742-0.522241j -0.134814+4.23843j 0.901828+0.994537j 0.0684339-3.24624j 0.598497-1.91903j 0.164362-0.426193j -0.237024-1.51254j -0.237087+2.20332j 0.942432+4.85735j 0.817887+0.812596j 0.100745+1.19056j 0.704539+2.23986j 0.491999-0.0985334j -0.101927-0.780219j -0.0356146-0.87848j -0.230467+0.87767j -0.0746417+2.02427j -1.08005+0.0272447j -1.40814+2.31763j 0.0332358+0.891399j -0.541029-0.13686j 1.39931+0.77644j -0.00328727-1.15081j -0.70534+1.61083j -0.128104-0.501303j -0.288913-1.62065j -0.884183+0.745873j 0.570862-0.757209j 1.36653+2.1865j -2.07053+1.13921j -0.298571-2.66667j -0.565514+2.77262j 0.753992-0.11792j -0.454717-6.30368j 0.0689573+12.2568j -0.470351-2.9826j 0.109182+14.8498j -0.201592+19.8645j 0.515803-6.05717j 0.454061+25.1482j -0.449438-17.1522j -0.0634061+10.5794j 0.0878061+22.3406j -0.290155+8.14438j -0.800409-49.0914j -0.804748-37.8246j 0.236891+0.734241j -0.230703+11.8439j -0.0544016+3.18817j -0.101154-15.2951j -0.927227-51.1025j -0.0771159-7.31215j 0.423058+44.4142j -0.297829-0.410162j -0.336468-40.0122j -0.799621+14.8863j -0.0658905-3.7909j 0.393976-38.9665j -0.67075+4.09235j -0.728885-55.4115j 0.0637036+1.65034j 0.0870445-10.8822j -0.656324-13.444j 0.649667-3.76535j -0.0915841-26.5552j 1.80732+49.9577j -1.06323-8.17702j -0.143484-24.1805j 0.332757-13.4713j -0.660521-13.2418j 0.612374+25.0237j 0.151273+1.62592j 0.248852+9.81784j 0.56104+18.2096j 0.555434+0.907458j -0.584876-12.3476j 0.130849-4.15562j 0.52068-5.90369j -1.36869-4.56869j 1.5452+1.76925j 0.341747+1.44224j 
-0.0523936-0.0581922j -0.382618-0.699454j -0.503795-0.0883976j -0.261515+1.23652j -0.406875-0.85362j -0.282428+1.37967j -0.626656-0.579417j -0.168995+2.83722j 0.0648299+0.576195j 0.665922+0.805948j 0.276179-3.07678j 0.310201-0.565187j 0.668102+4.09662j 1.11355+1.066j -0.112815-2.8024j 0.340231-1.22622j 0.149687+0.42901j -0.0422429-1.3391j -0.371267+1.36009j -0.245161+3.91367j 0.292049+1.23437j -0.1679+1.18075j 0.0900507+2.84097j 0.270029-0.176829j -0.768503-1.87895j 0.428924-1.96061j -0.92126+1.88283j 0.1009+2.60114j -0.372397+0.466094j 0.0772896+1.689j -0.230614+0.563181j -0.438+0.732937j 0.630517+0.261234j -0.792982+0.239408j -0.163473+0.982774j 0.0190546-0.399235j -1.32762-0.164181j -2.16944+1.19553j -0.635694-1.67278j -0.51035+0.346852j 1.75016+2.05227j 0.616563-2.32316j -0.754682+1.2015j 0.00377783+3.10659j 0.0198859-6.08401j 0.383265+11.4947j 0.660803-2.7537j 0.393447+14.2702j 0.528119+19.3627j -0.265592-5.24739j 0.372719+23.8559j -0.305681-16.2182j 0.17963+9.88241j 0.593247+20.6264j 1.00661+7.98533j -0.406141-45.9044j -0.10645-35.0868j 0.0540825+0.550173j -0.12846+11.6134j -0.195352+3.1756j -0.0841892-14.3879j 0.0781486-49.6438j 0.193493-6.10742j 0.520712+42.6375j -0.675456-1.07256j -0.868054-38.611j 0.761351+13.3044j -0.364529-3.4271j -1.25073-36.9997j 0.0906029+3.42101j -1.33674-51.3649j -0.475242+1.42895j -1.06927-12.1706j 0.46153-13.0069j -0.587203-3.50367j -0.763772-23.8922j 0.464586+46.4999j 0.574993-6.71147j -0.689436-22.8012j 0.199036-14.2949j 0.259204-12.4901j 1.00211+22.9409j -0.0111109+2.37175j 0.762019+10.8345j 0.384285+18.1638j -1.02922+2.54768j -0.260698-11.2859j -0.32915-4.02956j -0.871447-5.00818j 0.51502-2.62411j -2.0227+2.45686j -0.984731-1.82093j 
0.424807+0.0327048j 0.248902+0.061081j 0.308299-0.48957j -0.606953-2.29089j 0.350186+1.15965j -0.00612135-3.15207j -0.175127+0.391238j -0.101116-3.89376j 0.128336-0.370441j 0.3963-0.416687j -0.301665+5.182j -0.645032+0.505725j 0.210643-6.52042j -0.128622-1.4569j 0.520078+5.10972j -0.115006+3.07091j -0.424428+1.84715j -0.972425+2.55663j -0.513699-2.61095j -0.599505-8.06733j 0.57533-2.13855j -0.207147-1.05786j -0.894097-3.8333j -0.125291+0.676721j -0.447733+2.51433j 0.489315+4.66258j 0.041786-2.38336j 0.0495443-3.46186j 0.836246+0.162574j -0.834039-2.7448j -0.59783-1.53816j -0.0526623-2.2556j -0.103937-0.346581j -0.0124607+0.19878j 0.769628-0.153321j 0.533773+1.50901j -0.263378+0.409688j 0.988359+0.159983j -0.503915+2.82873j -0.125728-1.83777j -0.637994-1.59271j 0.764481+4.85846j 0.086856-4.43325j -0.466463-1.04899j -0.62212+8.75215j -1.25928-18.6114j 0.030212+3.74856j -0.163034-23.1976j -2.0604-32.7265j 0.01788+9.45258j -1.46973-38.7103j 1.93656+26.0112j -0.0295325-17.0835j -2.15899-34.2821j 0.37438-13.6531j 2.90991+75.4369j 3.01521+58.4431j 1.55199-1.48335j -1.63002-20.1501j -0.119461-3.95639j 1.26588+24.6937j 3.08288+79.7835j -0.171232+9.74166j -1.99366-69.2771j -0.600374+0.831587j 3.44544+64.0758j -1.34098-22.9218j -0.00653388+4.68081j 1.12809+59.7037j -0.0747724-4.74203j 3.04058+86.0363j -0.0182245-3.04728j 0.309979+18.27j 1.36342+21.3833j 2.16492+4.86244j 1.46801+40.6026j -1.66856-77.3411j 1.17058+13.0451j 1.50385+36.8305j 0.00795365+23.5035j 0.790704+21.9473j -2.46293-38.6762j -0.765895-4.34591j 0.442442-18.1628j -1.69507-29.8835j -0.491196-1.4171j 1.9843+18.7259j 0.309348+5.0763j 1.00192+7.9505j 0.488151+5.58095j -0.575604-3.75359j -0.670217+0.360897j 
0.104695+0.0717073j 0.205443+1.834j 0.488327-0.235294j 0.0027751-4.07356j 0.604551+0.718595j 1.7863-5.93127j 0.964496+1.9001j -0.412004-10.7545j 0.699166-2.01032j 0.0539459-1.04175j 1.1768+10.2125j 0.445447+0.704629j -0.367468-13.164j -0.418285-3.53257j -0.946788+8.10803j -0.516412+7.88778j -0.860488+2.68971j 0.625157+5.18183j -0.564001-6.19237j -0.475742-16.5951j 1.19453-3.89005j 1.02441-4.42495j 0.173876-5.28269j -0.171989-1.12179j 0.973351+6.99628j 1.41202+6.11342j -0.417147-2.35582j -0.24329-10.2784j 1.20252+1.65566j 0.0761948-6.49294j -0.0895933-4.10476j -0.534633-3.93848j 0.630251-1.69348j -0.678281-1.23569j -0.337142-2.7028j 0.507485+1.71426j -1.34861+1.80366j -0.881327-2.35832j -1.01661+5.72405j -1.2927-1.78619j -0.94482-3.52841j 0.344326+8.9355j -0.325488-7.9037j -0.85707-2.86041j 0.34729+20.694j -1.17885-40.0463j 0.891369+10.1298j -0.791986-48.8987j -1.91314-66.1023j 0.531674+20.0116j -1.81741-82.7704j 1.5028+56.3754j -1.27003-35.6059j -1.69149-73.5903j -0.17717-29.6845j 4.99406+161.27j 3.14248+124.098j 0.584563-2.14998j -1.41743-40.3405j -0.470184-10.8706j 1.70777+50.4081j 4.40715+170.708j 0.0992439+21.784j -3.50389-146.979j 0.256892+4.09765j 3.86793+133.536j -0.542635-47.6318j 0.276325+12.0752j 3.51406+128.515j 0.655461-12.1144j 4.53536+181.602j -0.0132246-5.86841j 1.05973+39.4108j 0.0947135+44.3299j 0.0639972+12.7599j 3.06433+85.3809j -4.36323-163.232j 1.46013+25.39j 1.84836+80.5238j 1.90083+47.7492j 0.67613+44.7972j -2.41142-82.0855j -0.562821-8.08315j -1.08334-36.7171j -1.68545-61.447j 0.674188-4.43123j 1.23156+41.1423j -0.377428+14.3137j 1.39451+20.3104j -0.663342+11.8874j -0.486534-7.66533j -0.201497+1.05304j 
