0.01404-0.00649158j -0.00623151-0.00481321j 0.00904854-0.00447004j -0.00272067+0.0124034j -0.0119286+0.00532829j -0.0162953+0.003115j -0.0335455+0.00568474j -0.00625333+0.00911742j 0.00735917+0.00132744j 0.0184704+0.00189577j -0.0289945-0.0126127j 0.00754218-0.00322848j -0.00137441+0.0143217j -0.00161953+0.000343702j 0.000835019-0.00416359j -0.00519571+0.00366397j -0.0025-0.000883746j 0.00955674-0.00998004j -0.00130056+0.00675059j -0.0011733+0.00100787j 0.00580124-0.00156385j -0.00762985-4.66083e-05j -0.00466124+0.00739807j 0.0060502+0.00925279j 0.0124114+0.00907554j 0.00716681-0.0108697j 
0.0018178-0.0047529j 0.00926136-0.00314434j -0.00992723-0.000777704j 0.00292789-0.00165801j 0.0230162+0.00349526j -0.0176343-0.00598733j 0.00712281-0.00212752j 0.00491049+0.00714403j -0.0141667+0.000227798j 0.00919975-0.000388594j -0.00676065+0.00257365j -0.00991904-0.0139945j -0.00405453+0.000128522j 0.00983076+0.00809395j 0.00128828-0.00466734j 0.00279968-0.00795839j 0.0235599-0.0335039j 0.00282467-0.014585j -0.0126571+0.0164131j -0.00690909+0.0029944j -0.000200783-0.000201501j -0.0130114+0.0187214j -0.00773888+0.00290112j -0.0158015+0.00927441j -0.00596366-0.00115727j 0.00187854-0.00388302j 
0.0100521+0.017647j 0.0111224+0.00134847j 0.0235219+0.012621j -0.0208906-0.00981718j 0.0247697+0.0200907j -0.00144805-0.00794875j 0.00486586+0.000937127j 0.00220207-0.00230917j -0.0270657-0.00993183j 0.0236304-0.00383025j 0.00584051+0.00818745j -0.0168529-0.0134922j 0.0069558+0.00868777j 0.00207661+0.00139237j -0.0158718+0.00175642j -0.000117261+0.0018723j -0.00306659+0.00647504j 0.00574821-0.00339562j 0.00608736-0.00983084j -0.00969961+0.000980774j 0.000358409-0.0119878j 0.00206479-0.00294117j -0.00224122-0.00246116j -0.000745162+0.00117421j -0.00760119-0.0103023j -0.0073453-0.00154875j 
-0.013146-0.000561593j -0.00572234-0.00260086j -0.0236876-0.0118255j 0.0134306+0.010577j -0.000639006+0.000846999j -0.00343213-0.00221404j -0.000357391-0.00342835j 0.011708-0.03021j -0.00809669+0.00681985j 0.000139+0.00360151j -0.00874306-0.001982j 0.00220541-0.0107985j 0.00128066-0.0132917j 0.00126449-0.00575378j 0.00775016+0.0146155j 0.0111852+0.0167884j 0.0245921+0.0281529j 0.0085212-0.013482j -0.010208+0.000293408j 0.00297153+0.00678628j -0.000873454-0.0108284j -0.0137134-0.00768116j -0.000646067+0.000830945j -0.00447349+0.00570022j -0.00427616+0.00315456j -0.00561444+0.00149116j 
0.00186776-0.00800311j 0.00332916-0.00257425j -0.00245926+0.00457964j 0.00309192-0.0106848j 0.0182625-0.0136046j -0.0115223-0.000138393j 0.0023071+0.00470805j -0.00269099+0.00355996j 0.00489653-0.0137859j 0.0116463-0.00753903j -0.00110265-0.0115515j -0.013103+0.00401912j 0.00790869-0.0146981j 0.00897234+0.010611j 0.0101378+0.00816052j 0.0130245+0.0249219j 0.0245293+0.0428621j -0.0138835-0.00166994j 0.00274259-0.00932676j 0.00754415-0.00574036j -0.0170308-0.00751923j -0.0112914-0.0133948j 0.000585715-0.00559253j -0.00051538+0.00425452j 0.00270078+0.00286917j 0.00397251-0.000643977j 
0.00391964-0.00253947j 0.00216326-0.00621298j 0.00337712+0.0133632j 0.00282216-0.00833067j 0.00471765-0.00246869j -0.00459741+0.0135888j 0.00407-0.00701994j 0.0114452-0.0318707j 0.00491665+0.00298131j 0.00154761+0.0115107j -0.00126381+0.018281j -0.00720959-0.0102639j 0.0145475+0.00799528j 0.0066929-0.0164379j -0.000919487+0.00135893j -0.00150194-0.00744344j -0.0139027-0.0370369j -0.00687604-0.0108665j 0.0108519+0.012286j 0.00331792+0.0128225j -0.00559683-0.00276752j 0.00585239+0.00938108j 0.00305957+0.0113478j 0.00373412+0.00769319j 0.0014459+0.00390573j 0.000455345-0.00450197j 
0.0120173-0.0054417j -8.65792e-06+0.000954525j 0.022097-0.0158836j -0.00370503+0.0024849j -0.000210214+0.021103j 0.0108142-0.00905333j -0.000765231+0.00272311j 0.00151631-0.014148j -0.00359461-0.0163693j -0.000641306+0.00928393j -0.00349132-0.00627415j 0.0100847-0.0169024j -0.0111084-0.0116376j -0.00161233+0.000333508j -0.00167285-0.0118545j 0.00753288-0.00326669j 0.02764-0.00561766j 0.00874995+0.00822988j -0.00166839-0.00930223j -0.00129183-0.0101668j -0.00406696+0.0184097j -0.0149254+0.00756166j -0.00848818-0.00323401j 0.00197957-0.0121212j 0.00146963-0.00474652j 0.00373125+0.000192511j 
-0.00192395+0.00798002j -0.012256-0.0091651j -0.0176726+0.0205051j 0.0090415-0.00039458j -0.0196307+0.0102058j 0.0145929-0.00728725j -0.0161655+0.00155124j 0.016835+0.0105755j -0.00820823+0.0097833j -0.00751159-0.00571946j 0.00577969+0.00270582j 0.0104922-0.0149895j -0.00323054-0.000800137j -0.0062331-0.0049988j 0.00614935+0.00389416j -0.00438265+0.00340364j 0.0177348+0.0115176j 0.00537723+0.00326356j -0.000118808-0.00542563j 0.00970156+0.0119279j 0.0115574-9.09152e-05j -0.0070119-0.00530651j -0.00632852-0.00544997j 0.00360527+0.00788432j -0.00316201-0.00966764j -0.00419567-0.010196j 
0.00919474-0.00947133j 0.00021142+0.0169785j -0.00876168+0.0222448j -0.0034808-0.00489682j 0.00644469-0.00899125j -0.00230082-0.00939707j -0.0125517+0.0188248j -0.0141628+0.0083984j 0.00425331+0.00130799j -0.018186+0.0137576j 0.00331001-0.00121135j -0.00431305+0.00830889j 0.0063705+0.0175902j 0.0153004+0.00734192j -0.0091399-0.00619029j -0.0035448+0.00993324j -0.0173209+0.00149611j -0.0124854+0.0141174j 0.00531206-0.0127061j 0.00430781+0.0056803j -0.0112019+0.000617664j 0.0154779-0.00865785j -0.000384828+0.00293074j 0.00578163-0.00513134j -0.0013906-0.00118817j 0.0138776-0.0036098j 
-0.00609108-0.00387614j 0.00171913-0.0083168j -0.00434628+0.00315812j -0.00293098-0.00761976j -0.00713091-0.00675395j 0.00294251+0.0025952j -0.00170383+0.000846454j 4.70397e-05+0.00607492j -0.00391755+0.00376316j 0.00246927-0.0101018j 0.00394451-0.00556292j -0.000545024+0.00501801j 0.00275499-0.012622j -0.000974755+0.00454838j -0.00923137-0.00916758j -0.0107757-0.00898377j -0.0317451-0.0270481j 0.00216348-0.00313915j 0.00564188+0.0118396j 0.00659852-0.00716085j 0.0140788+0.00422444j 0.00714985+0.0158997j 0.000714453+0.00164937j 2.59514e-05+0.0105417j -0.00547667+0.000988414j -0.00601368-0.00300621j 
-0.0035423-0.00101258j -0.00323611+0.00278456j -0.00329628-0.00741817j 0.0159526+0.00976463j -0.0172592+0.00760612j 0.0133807+0.00451919j -0.00804384-0.00766267j -0.00107538-0.0255553j 0.00074907+0.024208j -0.000410996+0.010884j 0.00526991+0.0117873j 0.000704049+0.00598111j -0.00434314+0.0137145j -0.00742686-0.0113906j 0.00539125+0.00137893j 0.0017499-0.0166808j 0.00591864-0.0132006j 0.00708119-0.00539046j -0.00674971+0.00697124j 0.00727088+0.0158767j 0.00794012-0.00239126j 0.00966882-0.00850647j 0.00426628+0.0032481j 0.00753055-0.000936976j -0.000953744-0.00165418j -0.00301919-0.0034346j 
-0.00727545-0.00847638j 0.00365677-0.0100621j -0.00904147-0.00654651j 0.00124108-0.00749617j -0.00614413-4.90617e-05j 0.000114896-0.00273021j 0.00132-0.00116199j -0.00813782-0.00593987j -0.0149078+0.00330107j 0.00156566-0.00384737j -0.0121453-0.00020122j -0.0108268+0.00708927j -0.0270084-0.00120524j 0.0170496-0.00665239j -0.00596672-0.000751957j 0.0123006-0.00175393j 0.0192679+0.0109082j -0.00143883+0.00456381j -0.00344857-0.00729549j -0.00437286-0.0051386j 0.0147956+0.00433261j 0.0120176-0.000889652j -0.006056-6.22674e-05j 0.01168+0.000944024j -0.00387288-0.00101993j -0.00261259-0.00364698j 
0.00927038+0.0246822j 0.00769709+0.0129277j 0.0115828+0.0204198j 0.0103067+0.00299244j -0.00605502+0.0142502j -0.00751944-0.0027532j 0.0150515+0.00962452j 0.0221452+0.00518736j 0.0141867+0.00694717j -0.00917912+0.00963899j -0.0150777+0.00198401j 0.00714684-0.00915749j -0.0100166+0.0110994j 0.00495636+0.00663829j 0.00832531+0.00215169j 0.0128202-0.00216066j 0.0268975+0.00386232j 0.00176092-0.00710108j -0.00525631+0.00694802j -0.00877873-0.00508969j -0.00634415-0.00907023j -0.00172022+0.00438794j -0.00339242+0.00222299j 0.00335272-0.00103417j -7.22048e-05+0.00747458j 0.00378019+0.00956578j 
-0.0125905+0.0173899j 0.00672759+0.0115881j -0.00668108+0.00168637j 0.00344304-0.00746377j 0.00232219+0.020332j -0.000423514-0.00682145j 0.00618008-0.000692151j -0.0292111-0.000974586j 0.00304234-0.00738288j 0.0166955+0.00441956j -0.00534239+0.00123477j 0.00236557-0.0165585j -0.0172599+0.000312676j -0.00628666+0.00852188j -0.010216+0.000758758j -0.00860107-0.000751536j -0.0316963+0.0178522j -0.00135728-0.0113338j 0.0107595+0.00287164j -0.0125483-0.0117423j 0.0115485-0.00288018j 0.012309+0.00157859j 0.00685407-0.0070846j -0.00147292+0.000902203j 0.00941851-0.00220098j -0.00398015+0.000395969j 
0.00427988-0.00439886j -0.00118665-0.000133616j 0.0105797-0.00629763j 0.000916839-0.00549477j -0.0113351+0.00440194j 0.00306525+0.00161267j 0.00285535-0.00291526j 0.0355719+0.000774542j 0.00805813-0.00807688j -0.00194242-0.0114675j -0.00142844-0.0149935j 0.000329208+0.0076588j -0.00177953-0.0141128j 0.00218157+0.0200741j 0.00241744-0.00230038j -0.00247768+0.0129092j -0.00787584+0.0296592j 0.00226952-0.00507559j 0.00670824+0.00145514j -4.69111e-05-0.00998095j 0.00460713-0.0105619j 0.00788689-0.00334816j 0.00235326-0.00735566j 0.00395492+0.00782887j 0.00234585+0.000195008j -0.000521918+0.00328866j 
0.00533573+0.0107768j 0.0116825+0.000675615j 0.004611+0.00135803j -0.0108678-0.0087692j 0.0059863+0.0101996j 0.0031285+0.00410692j -0.004179-0.00867024j 0.00365896+0.00240223j 0.00780671-0.00325317j 0.00124715-0.0128342j 0.00716002+0.00486697j 0.0115788+0.00469342j 0.0171762+0.0135491j -0.00030341+0.00956416j -0.00647413-0.010999j -0.0166048-0.0157146j -0.0199427-0.0348365j -0.0019135-0.0123165j 0.0101031+0.0183161j -0.00488349+0.0057321j -0.00300769-0.00935222j -0.00423468+0.00293788j -0.00164023-0.00509394j -0.00449954+0.00653317j -0.000629567-0.00649861j -0.0031371+0.00187948j 
0.00566445+0.0150262j -0.0017302+0.00607952j 0.00196077+0.020965j 0.00772516+0.0113621j 0.00580617-0.00671169j -0.00466642-0.00469965j 0.00509157+0.011602j -0.0134918+0.0303556j -0.000534588+0.00627589j 0.00767321+0.00911631j 0.00573688-0.000666583j -0.0153054-0.0211766j -0.000917382-0.00610737j -0.0140232+0.00266703j 0.00103859+0.0146666j -0.00472778+0.0142522j -0.0274265+0.0347233j -0.00329176+0.00501401j 0.00158998-0.0107372j 0.00205318+0.000354802j 0.0047924+0.00327646j 0.0107831+0.0040802j 0.00658691+0.00226406j -0.00343479+0.0010022j 0.000939966+0.00290451j 0.000425039+0.000988922j 
0.013884-0.0125035j 0.00506298+0.0153997j 0.0103154-0.00406623j 0.0203335+0.00770214j -0.00165316-0.0055317j 0.00782658+0.00247949j -0.011466+0.00402126j 0.00573892-0.0180244j 0.00402975+0.0071535j 0.00486778+0.0177102j 0.0109459+0.000293891j -0.023141+0.00630426j 0.0017738+0.00123832j -0.00103906+0.0105091j 0.00948186-0.00843717j 0.0112544-0.00329354j 0.00516592-0.00529813j 0.00207626+0.00160419j -0.00816294-0.00268235j 0.0168535+0.0134391j 0.0018113+0.0141246j 0.00845544+0.00168294j 0.00222832+0.0021558j 0.00356542+0.00658747j -0.000889745-0.00350306j 0.00344716-0.00745959j 
0.0118699-0.0140225j -0.0254017-0.0244701j 0.00476697-0.0149398j -6.03635e-05-0.00868625j 0.00789832-0.00503449j 0.000696502+0.00479042j 0.00224945-0.015617j 0.00884971-0.00766602j 0.0066571-0.0106206j 0.00227006-0.0217785j 0.00704641+0.00445323j -0.0230173+0.00153778j 0.00106958+0.0030977j -0.023712-0.0102256j 0.0161103-0.000864804j -0.00507676+0.000440976j 0.0095732-0.0100647j -0.00721946+0.00488217j 0.00737347-0.00405827j 0.00284208-0.00292669j 0.00475218-0.00533393j 0.00511642+0.00726331j 0.00389641+0.00614381j -0.000352414-0.00701573j 0.00475977+0.00499658j 0.00352761+0.00549259j 
0.00817676+0.0215441j 0.0388781-0.00743336j 0.00806945-0.0053585j 0.0165866-0.00607646j 0.0030631-0.00436787j -0.000215185+0.00615081j 0.00772361+0.00329205j -0.00552162+0.011291j 0.00842713-0.00289876j 0.016961+0.00144565j -0.00236191+0.00364906j 0.0084099-0.00575312j -0.000376836+0.0050098j 0.0193224-0.00120018j -0.00652271+0.00554696j -0.00696417-0.0081887j 0.00378463+0.0112672j -0.00838231-0.00784117j 0.00828373+0.00978988j 0.003478+0.00361061j 0.00621666+0.00362914j -0.00365954+0.000784469j -0.010028-0.0019497j 0.00849236+0.00378588j -0.00653806-0.00496327j -0.00768242+0.00895334j 
