-0.33515+0.0218615j -0.127806+0.0500878j -0.125066+0.0267163j 0.0141299-0.0169193j 0.00942115+0.0208186j 0.00491577+0.0167185j -0.000218585-0.0225802j -0.0120778-0.0113687j 0.00774126+0.0225465j -0.00494054+0.0100244j 0.0319372+0.0140468j 0.0170759+0.00848267j -0.00624796+0.00205862j -0.00390445+0.00121005j 0.0129804+0.00807092j -0.00115059-0.00411654j 0.007164+0.00399674j -0.00184849-7.16376e-05j -0.00282893+0.00254273j -0.0125331-0.0059219j -0.00446065+0.00422035j 0.0110979-0.00765422j 0.000837271+0.000524856j 0.00502821-0.00393691j -0.00926078-0.00638079j -0.00031292+0.0028806j -0.0233654-0.00391564j -0.00257841+0.00175304j 0.00181971-0.00462471j 0.00502913+0.00107521j 0.00150686-0.00494113j -0.000817352-0.00545508j 0.0173432+0.0146179j -0.00443022-0.00793406j -0.00743223-0.0026643j 0.00378358-0.000474371j 0.0117515+0.0108597j -0.0186402-0.00562958j -0.00640473-0.00100794j 0.0202962+0.0123477j 
-0.162901-0.0350531j -0.0060785-0.171765j -0.101648+0.000803718j -0.0176477-0.015113j -0.0129039-0.0380332j 6.6628e-05+0.00230352j -0.0294698+0.0134225j -0.00382878+0.0118472j -0.0390162-0.00734399j 0.0207982+0.00117103j 0.021959-0.00228373j -0.0156142+0.00522913j 0.0171458+0.000598827j -0.00849313-0.000502281j 0.00979933+0.00242276j -0.0114355-0.0170969j -0.00108463-0.0115697j 1.6443e-05-2.39394e-05j 0.00277639+0.00100847j -0.00329136-0.00184062j 0.0146534-0.00320345j 0.00156977+0.00873454j -0.00410971+0.000960531j -0.0129011-0.0108909j 0.00547518-0.00758228j -0.0151043-0.0110983j -0.00721182-0.000415229j 0.00269874-0.00257454j 0.00231441-0.00539285j 0.00573631+0.00246481j 0.00620504+0.00222595j -0.000543009-0.00225394j 0.00644242-0.00386429j -0.00275727-0.00918789j 0.00270517+9.72976e-05j -0.00479686+0.000475903j 0.00332695+0.00363771j -0.00279279-0.00597704j -0.00656823+2.62729e-06j 0.00202935+0.00209157j 
-0.0459107-0.104158j -0.106355+0.0654501j -0.0147587-0.0577778j 0.00226168+0.00204574j -0.005534-0.0212323j -0.00365267-0.0250141j -0.0185832-0.0323814j 0.00757754+0.0148167j -0.00191858-0.0214209j 0.011076-0.00981563j 0.00524483+0.0325412j -0.00584217-0.00468224j -0.00427392-0.00663498j -0.0169201+0.00887279j 0.00136208-0.0056968j -0.00170074-0.00527478j 0.000989066-0.00223393j 0.00499075+0.00280377j 0.0026007+0.00456586j -0.00122504-0.0058895j 0.00526308-0.00571166j -0.0110372+0.0128855j 0.00267798+0.00421949j -0.00697482+0.0040826j 0.0137197-0.00118593j 0.0068156-0.00521472j 0.0157262-0.00412425j -0.00456527-0.00340742j 0.000798311+0.00134826j 0.000686444-0.00680632j -0.00490932+0.00786039j -0.00118172-0.000830758j -0.00244317+0.000104726j 0.00532024+0.00626988j -0.00142338-0.00558938j -0.00423756-0.000291934j 0.00436346+0.00178798j 0.004695+0.00505323j 0.00636052+0.00044298j -0.000390525+0.000591142j 
-0.0313868-0.0350409j 0.0725559+0.146492j -0.027234-0.017302j 0.0200371-0.0105964j -0.00583032-0.00912944j -0.00183694-0.010139j 0.011117-0.0414845j -0.00629156-0.0238444j -0.0204748-0.00663536j 0.0237968-0.022075j -0.00899362-0.00443454j 0.00702878+0.011242j -0.00474835-0.00949827j 0.00798958+0.00886208j -0.00673685-0.00631091j -0.00648178+0.0211603j -0.00159398-0.00663848j 0.0168319+0.00465253j 0.0122124-0.00622365j -0.000134709+0.00769404j 0.00842281+0.0122544j 0.00392432-0.00604437j 0.00402821+0.00119139j -0.00260588-0.0188972j -0.00369826+0.00350666j -0.00583273-0.0106122j -0.0148934+0.0169619j 0.00441816-0.000360451j -0.00170771-0.0038212j -0.0137447+0.00903431j 0.0061715+0.00152643j -0.00459082+0.00747127j 0.00609166-0.00461734j -0.000329976+0.000120373j -0.0129253-0.00226031j 0.00677963+0.00539182j 0.00434281+0.00231171j 0.00285726-0.00702477j -0.000917161-0.0143136j 0.00540973-0.00175188j 
0.0190197+0.0618841j 0.250848+0.0627448j 0.00250775+0.0278556j -0.0142088+0.0223188j -0.0240267-0.00199609j 0.00363302+0.0144442j -0.0103693+0.0183467j 0.0230958+0.0325995j 0.00549537-0.00487589j -0.0180297+0.00377913j -0.0173616+0.00869467j -0.00255825-0.00621596j -0.0157639+0.00956276j 0.00148674-0.00235281j 0.00129821+0.00237469j 0.0088284+0.00416357j 0.00885251-0.0389095j -0.00768464-0.00400228j 0.00457154-0.000294803j -0.000904625-0.0032247j 0.00613066-0.00132078j 0.00999392-0.000990735j -0.00610115-0.00284343j -0.00928937-0.00138535j 0.000725725+0.00609866j -0.00591081-0.00757142j -0.0102002-0.00244602j 0.00187272-0.00244304j -0.00120179+0.00477332j -0.00749644+0.00316578j -0.00283653-0.00120126j 0.00492891-0.00119717j 0.000313058-0.00822818j -0.00194085-0.00526672j -0.0115649-0.00506703j 0.00536891+0.00385604j -0.00243108+0.0069947j 0.000686463-0.000260501j 0.00287741+0.00260144j -0.000517007-0.000429052j 
0.163585+0.0128548j 0.00399775-0.0344266j 0.0860878-0.00967814j 0.00265482-0.0258752j 0.0065613+0.00324177j 0.0237698+0.00529801j 0.0354255-0.0341378j -0.0347088-0.00698929j 0.0192077-0.011487j 0.0108789-0.0161747j -0.0132363+0.00396476j -0.00149095+0.000775265j 0.0030983+0.000712029j 7.56569e-05-0.00733908j -0.00530673+0.0213553j 0.00420054-0.0102271j 1.70279e-07-0.0157893j -0.0162442-0.00340235j 4.54749e-05+0.00933109j 0.00642944-0.00181239j 0.0158071-0.0115701j 0.00182793+0.00433873j -0.00146463+0.0115815j -0.0244097+0.000123912j 0.0180181+0.0037196j -0.00973522-0.00192979j -0.0013594-0.0026152j 0.00323105-0.00601115j 0.00210526+0.00565362j 0.00333102-0.00877124j -0.00518675+0.00418621j 0.00533257-0.000899695j -0.00981178+0.00265114j 0.00499281+0.00250411j 0.00402308-0.00303454j -0.0105076-0.00165962j -0.00593304-0.00337261j 0.00324602+0.00840967j 0.00217834+0.00507796j -0.0111821+0.00262373j 
0.013167+0.0769698j 0.112028-0.0336423j 0.0027102+0.0350832j -0.00222388-0.0175595j 0.00393362+0.00102364j -0.0446504-0.000728313j 0.010056-0.0306063j -0.00632381-0.00228294j 0.00341368-0.000781877j -0.00147777+0.0197835j -0.00935573-0.0267591j -0.00177956+0.0160697j -0.000464303-0.0124005j -0.00848379+0.00830434j -0.00920064+0.00492285j -0.00128496-0.00657668j 0.00679055+0.00807656j -0.012602-0.01067j -0.00203607+0.00484647j -0.000406129+0.003772j 0.00105775-0.00267953j -0.0150867+0.00884291j -0.00715708+0.00245676j -0.00344586+4.75252e-05j 0.00444822-0.00384522j 0.0156279-0.00787352j 0.0114457+0.000907553j 0.005263-0.00260414j -0.00209884+0.00227608j 0.000281699+0.0159365j -0.00666702+0.00135914j -0.00356905-0.0117629j -0.00022438-0.00428804j -0.0155974-0.0131575j -0.00248982+0.00739911j 0.0194197-0.00347919j -0.00142171+0.0191566j 0.00184956+0.00475176j 0.0056742+0.00117852j -0.00387621+0.00176948j 
-0.16011+0.101487j -0.251928+0.193954j -0.0608807+0.053084j -0.00630211-0.0102226j 0.00194077-0.0190242j -0.020066+0.00408347j 0.00963877+0.00606118j -0.0082601+0.0101489j -0.00301338+0.00888962j -0.0182011+0.00327128j -0.00471199-0.0193917j 0.00831863-0.000632607j -0.00803709-0.00444381j 0.000251359-0.00609249j 0.0178469-0.00452103j 0.003887+0.00370262j -0.0147191-0.0186958j -0.0118695+0.00174833j 0.000851729-0.00329858j 0.000589501+0.00188693j -0.000633014+0.00590813j 0.00831908-0.0068991j -0.00150392+0.00750134j -0.00455954+0.00186057j -0.010916+0.00954282j 0.000161919-0.00125449j -0.02082+0.0189953j 0.0091526-0.00844107j -0.00279751+0.00833191j -0.00183432-0.00526402j -0.00674926-0.00234401j -0.00695785+0.00443699j 0.0138777-0.0104698j 0.0028893+0.00866967j 0.00109358+0.00219481j -0.0026926+0.00389221j 0.00655405-0.0132604j -0.00177969+0.0075975j 0.00627917-0.0002451j 0.00542444-0.0069542j 
-0.0794858+0.0726841j 0.077507-0.159157j -0.0329043+0.0691452j -0.00362986+0.00805379j -0.00977396+0.00617326j 0.0215202-0.00714031j 0.0130452-0.0020659j 0.00961564+0.0162546j -0.00635794+0.0120286j -0.0213565-0.0207368j -0.00350656-0.00134892j 1.2493e-05+0.00996266j -0.00142473+0.00960446j 0.00398225-0.0177909j -0.00491153+0.00137765j -0.00475477-0.0162091j 0.00556551+0.0243383j -0.0172776-0.00648204j 0.00988259-0.0136719j -0.00364639+0.0132983j -0.00381663+0.00940137j 0.00679724+0.00174094j 0.00414302+0.00301073j 0.0203662-0.00687863j -0.00574611+0.00532703j 0.00106938-0.0048219j 0.00119482-0.000848204j -0.00750366-0.00125444j -0.00208192-0.00672147j -0.0032121+0.00102038j 0.000770403+0.00620423j -0.000325712+0.00208063j -0.00488668-0.00579749j 0.00714157+0.00148427j -0.00271227+0.000924635j -0.00261892-0.0012432j 0.000956229-0.00387077j 0.00201154+0.00215732j 0.00257989+0.000846032j 0.00156602-0.00222545j 
-0.0690914-0.122448j -0.00113503+0.14738j -0.0305235-0.0476466j -0.00892792-0.0190258j -0.00916778+0.0467375j -0.0137203+0.0189113j 0.00846893+0.0179997j -0.0041067+0.00553545j 0.00466498-0.000681306j 0.00346091-0.0141353j 0.00656543-0.0129992j -0.0184185+0.0232357j 0.00441124+0.000923541j -0.00896583+0.00477154j 0.0127067+0.00390926j -0.00640323-0.0112125j -0.00114822-0.00495197j -0.00752857-0.00336234j 0.00712905-0.0124714j -0.00154411+0.010524j 0.0142723+0.00438088j -0.00461705+0.000795944j -0.002365+0.0105469j -0.00435467-0.00869605j 0.00826546+0.00123948j -0.000886502-0.012468j -0.00204665+0.000203045j -0.00168353-0.00887831j -0.00177721-0.000783079j -0.00539058+0.00130578j -0.0015762+0.0107117j -0.00660103+0.00586863j 0.00365884-0.00250108j 0.00538303+0.00569651j -0.00392417-0.000747829j 0.00345442+0.000124186j 0.00557812-0.00482529j 0.0110438-0.00492782j 0.00375348-0.00929484j 0.00527909+0.00524445j 
0.0549272-0.00457207j 0.0481193-0.00653719j 0.0113439-0.0275814j -0.0167476-0.0291834j 0.0207445+0.0220109j 0.0115137+0.00650917j -0.0438587-0.0285722j -0.0180615+0.00926646j -0.00433981-0.0234576j -0.020344-0.00713823j -0.0421637-0.0209499j -0.00511811-0.00388311j 0.0101894+0.00623549j -0.00122943-0.00697136j 0.00126629-0.0147338j -0.0125118-0.0106592j -0.00247022-0.000507111j 0.010756-0.00342979j -0.00198682+0.0101421j -0.00371397-0.0210991j -0.00192414+0.0170005j -0.000930259-0.00728155j -0.0010357-0.0073867j 0.00653136-0.00751249j -0.0114936+4.82293e-05j -0.00514093-0.0116224j 0.00690526+0.00270362j -0.000838532-0.00670928j -0.000105307-0.000359703j 0.000457827-0.00292128j -0.00599427-0.00400424j 0.0054729-0.0065722j -0.00110806-0.00599585j -0.00335507-0.00679863j -0.000602307+0.00384259j -0.00633864+0.000456444j -0.00396613-0.00145859j -0.00124389+0.00837162j -0.00315395+0.0111315j -0.00435464-0.00269203j 
0.0332575-0.255392j -0.00189057+0.0813937j 0.0124675-0.114574j -0.0275475+0.0235519j 0.0385017-0.0250689j 0.0033537-0.0100263j -0.017501+0.00436922j -0.0170563+0.0400404j 0.0227001+0.0031858j 0.00660884+0.0169167j 0.00373362+0.01487j -0.00113151-0.0041314j 0.010044-0.0107556j 0.00134774-0.0115451j 0.00898774+0.0223353j 0.00302416-4.14599e-05j 0.00048118+0.00370992j -0.00778084-0.00541505j -8.25023e-05-0.0099314j 0.00235762+0.00951285j -0.00906215+0.00107595j 0.00808871+0.00251388j 0.000110308+0.00812092j 0.00751732+0.00430429j -0.0184218-0.00608203j -0.0150716-0.000176624j -0.000443505-0.0173827j -0.00314128+0.00233039j -0.00419583+0.00158884j -0.00229173+0.00977274j 0.00862962-0.00731061j 0.00365974+0.00172399j -0.00169741+0.0130748j 0.0030874+0.000983037j -0.0028095-0.00179415j 0.00952912+0.00211781j -0.00259653+0.00882713j 0.00478279-0.0150834j -0.00161447-0.00708142j 0.00270043+0.0113542j 
0.0743161+0.0781291j -0.118125-0.0358943j 0.0151187+0.041622j -0.0043191-0.0211695j -0.00403642+0.0495866j 0.00601453+0.0164784j -0.030728-0.01803j -0.0409809+0.0141148j 0.00807242+0.023977j 0.0101315+0.00734889j -0.0100308+0.00860422j -0.0231304+0.00154722j 0.0124527-0.000437536j -0.0176197+0.00922763j 0.00288162-0.00285689j -0.00499197-0.00909877j -0.00266471-0.00100455j -0.00234041-0.00101728j -0.00393557-0.00314776j 0.00354467+0.00695196j 0.0035986+0.00435671j 0.000715256-0.0109593j -0.00313029+0.0121605j 0.00470825-0.00644176j 0.00645186-0.00502553j -0.00167466+0.0022844j -0.00461057-1.92484e-05j 0.00312145+0.000222041j 0.000993225-0.00475341j 0.00567984+0.00197518j 0.00414569+0.00126672j 0.0049496+0.00398085j -0.00417238+0.0131987j 0.00602541+0.00213359j -0.00106777-0.00186322j 0.0061115-0.00286295j 9.31175e-05+0.0015346j 0.0052812-0.00839227j -0.00726171-0.0123553j -0.00321183+0.0082476j 
0.180999+0.00141269j -0.0874419+0.0830093j 0.12208+0.0636267j -0.0358324+0.00294864j 0.0327912-0.000623739j 0.00477895-6.9293e-05j -0.0136507+0.00122106j 0.0177931+0.00901737j 0.000666846+0.0395949j 0.0137143-0.00263862j 0.00667254-0.000139257j 0.0126379+0.0207989j 0.0136651+0.0113496j 0.00626985-0.000775204j -0.00182858-0.00457044j 0.00281518-0.0165467j -0.00107935-0.00823087j 0.0104433-0.0018866j 0.00117291-0.00276224j 0.00952828-0.0108943j 0.00582752+0.00796417j 0.000888258+0.00102273j -0.0154505+0.000395693j 0.00991359+0.00431153j 0.000508462+0.00360231j -0.00576517-0.00192333j 0.00224001-0.00392864j 0.000294399-0.00142867j 0.00619972-0.00106375j -0.000861867-0.00235275j -0.00433711+0.00555697j 0.00172692-0.00280848j -0.00783292+0.00180384j 0.00334374-0.000383511j 0.00310594-0.000383464j 3.13784e-05+0.000116508j -0.00567385+0.000141116j 0.00302562-0.000198538j -0.00306727+0.00181079j -0.00618358+0.00467238j 
-0.238921-0.276688j 0.0235652+0.00762086j -0.0527024-0.132163j -0.00450867-0.0277332j 0.0261555+0.0104318j 0.00659969-0.000508571j 0.0090384-0.0124387j -0.00153638-0.0129959j 0.0255269-0.0203365j -0.00813671+0.00438161j 0.0335616+0.022898j 0.0324742+0.0125126j -0.0155778+0.00504293j 0.00973096+0.00251851j 0.0136556+0.021506j 0.00276798-0.00168646j 0.00317549+0.00480878j -0.00353494+0.00345278j 0.000350563+0.00342927j -0.0110197-0.013399j 0.00359654+0.00586422j 0.00734313+0.00315018j 0.00572351-0.00285772j -0.000947771+0.00071381j -0.00755906-0.00192442j -0.00321166-0.00453353j -0.013986-0.017203j -0.00850177-0.000250432j 0.0050153+0.00279599j -0.000993873-0.00086591j -0.00538426+0.00272063j -0.00530156-0.00759978j 0.0171511+0.0133445j -0.00061804-0.00428642j -0.00366266-0.00359297j -0.00135787-0.00101457j 0.0088361+0.0113391j -0.011659-0.00527213j -0.00206495+0.00113509j 0.0202004+0.0142198j 
