0.00946746+0.00875837j -0.00497256-0.0243429j 0.00351234-0.00183564j 0.00324054-0.00255462j -0.000190207-0.0129147j -0.00418111-0.0227466j -4.30802e-05-0.00291596j -0.00424412-0.0278309j 0.00236196+0.0148573j -0.00176615+0.00534056j 0.00490003-0.00641399j -0.0112966+0.0110489j -0.00310846-0.0114704j -0.0107801+0.0185153j 0.00110854+0.00846561j 
0.00766685-0.00205208j 0.00112571+0.00104217j 0.00493085+0.0101581j -0.0102222-0.000547253j 0.0135381-0.0105513j 0.0110918+0.00297493j 0.0120668-0.00933256j 0.0102262+0.00704569j 0.0182341+0.00842237j -0.0154501-0.00951553j 0.00384111+0.00169497j 0.00526462+0.013494j -0.00753214+0.0109083j 0.00493858-0.00133573j 0.00381837-0.00722913j 
-0.00382505+0.00371806j -0.00315151+0.000539334j -0.00115027-0.00123445j 0.00118354-0.00195486j -0.00419096+0.00766917j -0.0154511-0.0245399j -0.00811884-0.0202458j 0.000234232+0.0215016j -0.00900766-0.00313436j 0.0102755+0.0019736j -0.00860769+0.0249996j -0.0120499+0.00664583j 0.000809574+0.00593232j -0.00277433+0.00537119j 0.000541072+0.00269395j 
0.0142248+0.00212977j 0.0149631+0.006834j -0.000604205-0.00172239j 0.000858489+0.0027381j 0.0111566-0.0119457j 0.00245886-0.0244635j 0.0171489-0.00602314j 0.00927628+0.0101807j 0.0267692-0.0179172j -0.0141107-0.0101325j -0.00264068+0.0108842j 0.0154199+0.00720239j 0.000866929-0.00152747j -0.00170236+0.00666153j -0.00529863-0.000835031j 
0.00530079+0.0125108j 0.0126957+0.0188567j -0.00928425-0.00457597j 0.000578832+0.010951j -0.0159955-0.0145679j -0.0102762+0.000591057j -0.0127565+0.0111715j -0.0050158-0.00290336j -0.0106996-0.0118516j 0.00728222-0.00871272j 0.00425874-0.0121912j -0.00318262-0.00329639j 0.00318284-0.0126827j -0.00287124+0.00840919j 0.00246857-0.00265074j 
-0.0287874+0.0160208j 0.00188236+0.00781512j -0.0133382+0.00405491j 0.0320831-0.0111629j 0.00401432+0.00452316j 0.00907778-0.000503474j 0.0007998-0.0011203j 0.00753429+0.000849308j 0.0283738-0.00327778j -0.0180393+0.00695836j 0.00328789+0.00273767j 0.00285537-0.00415123j -0.00341749-0.00921665j 0.0129066+0.00757679j 0.0108778+0.00331299j 
-0.00277376-0.00486168j 0.00117281+0.0094548j 0.00784952+0.0053537j -0.00833536+0.015752j -0.00191059+0.0286753j -0.00564509-0.013044j 0.00151387+0.0286273j -0.000176332-0.0167156j -0.00420799-0.00291339j 0.00751626+0.0174643j -0.00313169+0.0131761j -0.003952+0.00579092j 0.00220263-0.00452409j -0.00104129-0.0037607j 0.00126176-0.00712345j 
-0.00104462-0.0196507j 0.00582521-0.00439664j -0.000874924+0.00331774j 0.00476884+0.00614497j -0.00655452+0.0164404j -0.0120814+0.00293536j 0.00351406+0.0141702j 0.00703721-0.00630507j -0.00519883+0.0028645j -0.00899782-0.00361305j 0.00374154+0.00977981j 0.000866897-0.00138363j -0.000547205-0.0112997j 0.00200215+0.00806026j 0.00245707+0.0081066j 
-0.00413403+0.00229761j 0.000830461+0.00208056j -0.00430652+0.00141283j 0.00899549+0.000683206j -0.00302918+0.00199869j 0.025206-0.00093893j 0.0136595+0.00736779j -0.0128596+0.0010013j 0.0116702+0.00586655j -0.00518076+0.00148053j -0.019568-0.0100428j -0.00366058-0.00366413j -0.00420395-0.00217472j -0.00150933-0.000718957j -0.00113225-0.00100789j 
0.000952137-0.00164328j -9.01175e-05-0.00233431j -0.000189355+0.000886171j -0.00267562+0.000469932j 0.000613056-0.00152125j -0.0198086+0.0110173j -0.0191089-0.000558747j 0.019535-0.00759697j -0.00379071-0.00155693j -0.00801064+1.51557e-05j 0.0212926+0.000486436j 0.0073674+0.00192878j 0.00364706+0.000156311j 0.00711758+0.000370526j 0.00402969-0.000832166j 
-0.0109289+0.010317j -0.00373827+0.00409316j 0.00602214-0.0113784j 0.00517203+0.00154535j 0.0308156-0.00684389j -0.00849998+0.005698j 0.0118271-0.00530358j -0.0112907-0.00208656j 0.00357178+0.000263698j 0.0182078-0.00197215j 0.016986+0.00148314j 0.00628399+0.000988008j 0.00211266+0.00079185j -0.00556248-0.00288313j -0.00374794-9.86491e-05j 
-0.00982272-0.00259859j -0.0228151+0.0196135j 0.00339811-0.0066241j -0.0119272+0.00728698j -0.00229149-0.0049573j 0.0131324-0.00738874j -0.0247722+0.00622982j 0.00668961-0.0060427j 0.0182306+0.00667387j 0.00561392-0.000451666j -0.00168065+0.000984356j 0.00188799+0.00126149j 0.0226994-5.06966e-05j -0.0128691-0.00184625j -0.000440532+0.00426588j 
0.0130665+0.00663727j 0.0102385+0.00359837j -0.00521564-0.00175224j -0.00999579+0.00319364j -0.0140235-0.00992821j -0.000796088-0.00528206j -0.00476946+0.00120369j -0.000705232+0.00600172j -0.00699922-0.00876275j -0.00417097-0.00842882j -0.00572278-0.00627118j -0.00165753-0.00202814j -0.00348243-0.0033985j 6.53919e-05+0.00407285j 0.00109747-0.00137633j 
0.0077802-0.00962025j -0.0084469-0.0113239j 0.00275092+0.00298688j -0.00790489-0.00785533j -0.0153992+0.00150985j 0.0043301+0.00284496j -0.0169997-0.00775247j 0.00895235+0.00394131j -0.00486205+0.0067754j -0.00727606+0.000729185j -0.00665021-0.00160594j -0.00338516-0.000859254j 0.0040433+0.00765848j 4.01531e-05-0.00381641j -0.000993542+0.00268611j 
