-0.193439-0.0419115j 0.0243931-0.339709j 0.472348-0.0150321j -0.196038+0.159135j 0.167011+0.123915j -0.243174-0.155757j 0.0439672+0.0902053j -0.38032-0.080818j 0.436822+0.338513j -0.149152-0.299547j 0.530576-0.212274j -0.441883+0.120549j -0.2975-0.0526188j -0.60159-0.0875732j -0.13902-0.169243j -1.2517+0.19049j 0.943094-0.207898j 0.107318-0.0444834j -0.260132+0.184148j -0.35992+0.39157j -0.213901+0.101732j -1.15794+0.53722j 0.05242+0.278872j -0.718342+0.290448j 0.127782+0.00571293j 0.247337+0.194372j 0.305363+0.245984j 0.0976471+0.0776902j 0.52957-0.0119637j -0.043825+0.358073j -0.718531-0.308659j -0.118977+0.0435983j -0.00530098-0.17244j 0.316148+0.321116j 0.0246264+0.0710929j 0.739433-0.227571j -1.48849-0.170501j -0.259237-0.150413j -0.551932+0.275106j -0.414543+0.1231j -0.434177+0.127811j -0.233525+0.57989j 0.412554+0.0575094j 0.0492058-0.703668j 0.392384-0.452437j 0.296869-0.333641j 0.711505+0.367458j -0.282916+0.799052j -0.43739+0.500617j 1.13553+0.503023j -2.15867-0.885885j -0.330616-2.15663j 
-0.14369+0.215071j 0.582469-0.0738505j -0.0110416+0.431013j 0.209617+0.721676j -1.19527+0.170917j 2.53444+0.529936j -0.0379101+0.497791j 2.30322+0.690613j -2.44041-0.310896j 0.079699-0.466573j -3.40347-0.702221j 2.4452+0.520484j 1.69609-0.694283j 3.6586-0.316032j 3.27249-0.759083j 8.41779+1.10543j -4.97016+0.417274j -0.477764+0.311856j 1.2718+0.498164j 1.70087+0.190349j 1.47631-0.226052j 8.11185+0.752324j -1.25934-0.10493j 6.53747+1.1993j 0.149653+0.623659j -3.58165-4.99618j -1.4216-2.9902j -1.04474+0.0460434j -6.35623+0.424763j 0.0856429-0.909013j 9.4253+0.383224j 1.30217-0.0497719j -1.94323-0.482142j -1.93444-0.44887j 0.582163-0.288559j -4.9324+0.101123j 7.63056+0.0311936j -1.14944-0.297769j 3.51665-0.0634152j 1.8971+0.708663j 2.43204+0.271419j 3.81339-0.0920172j -0.527255-0.122535j 2.40056-0.3061j 2.52234-0.203597j 0.118859-0.266127j -2.07482-0.273364j -0.417826-0.574977j 0.93049-0.212535j 0.664692-0.464566j -0.371981+0.0337337j -0.396299-0.223321j 
-0.168129+0.161373j 0.774266+0.00218338j -1.22019-0.553076j 1.3378+0.22515j -0.287539-0.331942j 3.85195+0.962515j -1.37412-0.326035j 4.17028+0.522133j -4.42887+0.790522j 1.57492-0.242533j -8.01115-0.951299j 3.02394+0.304113j 4.89669-0.361718j 7.13069+0.104643j 3.3794-0.291065j 16.236+0.994572j -8.90543-0.969093j -1.12445+0.438626j 4.14865+0.268559j 2.84859-0.641796j 2.57357+0.978164j 17.7157+0.19209j -0.415161-0.104702j 13.0795+0.184371j 1.07649-0.292222j -10.1277-9.16084j -1.16706-5.92159j 0.185736+0.04254j -14.0153-1.27536j 0.942412+1.28836j 17.5304+0.512007j 2.96382-0.349484j -2.81174-1.10833j -5.046-0.391409j -0.165463+0.505062j -11.2113+0.012761j 15.6004-0.293673j -3.07945+0.0810983j 7.65573-0.00139145j 4.42288-0.447414j 4.0489-0.101233j 7.56134+0.379543j 1.03889-0.296451j 4.94136+0.191789j 4.98898+0.453427j 0.910877+0.291578j -4.0016+0.256979j -1.70436-0.234962j 1.82571-0.325551j 1.29023+0.183318j -0.795917-0.293344j 0.0317841-0.308736j 
-0.400527+0.113657j 1.90014+0.181225j -2.67321-0.372323j 3.23735+0.352209j -3.27438-0.252061j 8.6158+0.518209j -1.59013-0.164773j 11.7691-1.22477j -10.2537-1.46148j 2.69624-0.0835325j -17.0389-1.05117j 8.07719+0.169326j 9.21078+0.55357j 15.6521+0.564401j 5.69653-0.16854j 33.6387+2.28019j -21.4291-0.562076j -2.72802+1.22015j 6.94574+0.0242894j 7.54407-0.816141j 7.3135+1.67614j 37.2077+1.9313j -0.47681-0.018567j 26.6851+2.3231j 1.69365+0.116375j -20.4281-16.9955j -1.29233-11.8517j 1.48044+1.35015j -27.6016-1.01746j 1.10459-0.884309j 37.0289+1.25356j 6.10307+0.322611j -7.44324+0.057564j -8.75466-0.38675j 1.46319-0.255215j -21.5114+0.164577j 33.181+0.623024j -5.77233-0.242781j 16.16+1.39029j 9.52022-0.0670079j 8.81798+0.312004j 16.693+0.753055j 2.97244+0.151217j 10.8528-0.321673j 10.6108+0.0820027j 1.32328-0.0897679j -8.29695+0.0933428j -3.18822+0.361104j 3.81328+0.198589j 2.55689+0.0958846j -1.48421-0.318614j 0.0536623-0.0969299j 
0.947412-0.0127953j -2.97595-0.755188j 4.16586+0.527569j -5.40893-0.676288j 6.19951+0.521841j -12.9192+0.212007j 1.39315+0.98592j -15.8203-1.09018j 16.9263+1.41785j -4.45419-0.301127j 26.5631+1.46452j -13.4233+0.102919j -15.861-0.727768j -25.4026-2.20771j -10.1098-0.261079j -51.9983-3.55168j 33.5029+2.69419j 3.7389+0.498461j -13.2152+0.266231j -11.153-0.582472j -10.3978-0.331069j -57.9713-3.22072j 1.07676+0.680556j -44.1459-2.78409j -1.74319-0.961361j 31.712+27.8866j 3.39397+17.7799j -3.1156+0.426664j 43.2886+1.47765j -1.5863+0.606327j -58.0754-0.856027j -9.24487-0.832548j 11.3607+0.311145j 13.9156+0.0613022j -3.20792+0.26598j 34.0564+2.11949j -52.5814-1.75698j 9.52132+0.306726j -24.2835-1.00983j -15.533-0.226321j -13.2728-0.944297j -26.6234-0.479565j -4.02302+0.536504j -16.9852+0.410764j -16.7208-0.0378135j -2.09697+0.1662j 13.375+0.124108j 5.44835-0.316169j -5.66244+0.259752j -4.37584+0.0559867j 2.08387+0.229333j -0.0145631+0.301725j 
0.180272-0.061545j 0.387795+0.355685j -0.367629-0.585044j -0.898996-0.10132j 1.37832+0.704886j 0.331957+0.340757j 1.68877-0.00530744j -0.26961-0.072899j -0.534077-0.533421j 0.798904+0.405196j -0.699496+0.491875j 1.0311-0.206878j 0.29305+0.466725j 0.759606+0.470161j -0.747045+0.941992j 0.945199+0.56605j -1.45721-0.468394j -0.167211-0.0581702j -0.75402+0.97894j 0.96467-1.11607j 0.332177+0.157126j 1.08293+0.401185j -0.0564447-0.311851j 1.0898+0.521008j -0.404627-0.643743j -1.59279-0.659477j -0.702954-0.682905j -0.209806+0.356899j -0.416044-0.0265603j 0.615449+0.608123j 0.118382+0.331977j 0.0357528-0.109854j 0.242616-0.313716j 0.587122-0.672453j 0.0236283+0.359389j -0.630821-0.806466j 1.08519+1.2235j -0.509176+0.284814j 0.988797+0.187958j 0.427201+0.216258j 0.590726-0.0501714j 0.383058+0.0466525j -0.0792051-0.181726j 0.632514+0.179027j 0.171772+0.151604j 0.0442667-0.0635845j -0.317089-0.429109j 0.0806819-0.420082j 0.682166-0.0583485j 0.15747-0.0452881j 0.274848-0.132465j 0.106857-0.0104218j 
0.407632+0.12414j -1.67346-0.702109j 1.70979+0.791188j -2.80013-0.0377399j 3.06391+0.323074j -6.04689-2.0345j -0.161214+0.521036j -9.64666-1.23061j 9.24684-0.416734j -2.06418-1.70472j 14.9768+2.50748j -6.8593-1.31232j -6.83905-0.133276j -12.7245+0.964283j -5.08752-0.873063j -27.7775-2.29808j 17.6542+1.10203j 0.431705+0.0868635j -6.9472-0.432304j -5.7845+0.00847923j -6.70286+0.382835j -29.8496-1.90584j 0.69041+0.129967j -22.3321-0.0093093j -1.13185+0.421116j 15.7819+14.2952j 1.01805+8.70952j -0.861192+0.690589j 21.9913+1.55363j -1.41208+0.168464j -30.3049-1.3921j -5.0351-0.213516j 5.57095+0.0611386j 7.14309+0.122322j -1.53516+0.303193j 17.034+0.993323j -26.4995-1.17444j 5.00356+0.353196j -12.7004-1.20179j -7.80122-0.321544j -6.97128-0.234608j -13.8371-0.59484j -2.13333-0.266976j -8.87788+0.344469j -8.54587+0.0223555j -0.976122-0.292141j 6.76307+0.384092j 2.9835-0.0806125j -2.98751-0.106659j -2.21479-0.148111j 0.872747+0.169808j -0.135743+0.17448j 
-0.176071-0.321686j 0.68468-0.869507j 0.653469+0.19367j 1.39858+0.057588j 0.317993-0.533045j 1.11702-0.766133j 1.09889-1.99467j 2.23641-1.05234j -2.04982-0.849313j -0.499622-0.672986j -2.86339+0.235458j 0.282074+0.153981j 1.93326+0.256227j 2.84258-1.48298j 0.704372+1.08662j 4.26626-1.23052j -3.72854+0.116811j -0.599297-0.795081j 0.947123-0.764173j 1.0374+0.164177j 1.11243+0.40057j 5.23445+0.076416j -1.13093-0.340582j 3.64427+0.348107j 0.272575+0.155899j -3.08164-2.4163j -0.242657-1.19323j 0.454813+0.172787j -4.61094-0.138787j 0.0521398+0.461023j 5.20791-0.349751j 1.302-0.0574559j -1.36296+0.522155j -1.85321+0.716978j 0.243173+0.550346j -3.10118+0.0863604j 4.64551-0.862789j -1.18966+0.333079j 2.32669+5.88593e-05j 1.26351-0.37273j 1.04962-0.242145j 2.19565-0.129543j 0.525603+0.637184j 1.43614-0.434053j 1.3789-0.15386j -0.158237+0.0489574j -1.16641+0.178107j -0.552393-0.343632j 0.2587-0.191237j 0.388562-0.155034j -0.470519+0.13446j -0.477673-0.137778j 
0.507522+0.158544j -1.02416-1.04062j 1.60277-0.0139827j -1.99332-0.723388j 1.69305+2.98075j -5.84251-0.742858j 0.469617-1.06632j -6.96554-0.234213j 7.85459+1.36757j -0.433473-0.114013j 11.6265+0.723893j -5.50402-0.234553j -6.42981-1.23204j -10.1507-0.769319j -3.9505+0.326674j -22.9581-1.54062j 13.0714+1.03529j 1.93143-0.518703j -6.1128-1.19585j -5.65094-0.76268j -4.28436+0.119224j -23.6314-1.66263j 1.5157+1.16768j -17.6039-1.93671j -1.5677-0.139982j 11.9781+12.144j 0.649433+7.19758j -1.35961+0.364073j 17.7624+1.95772j -1.06597-0.175352j -24.6265-2.20917j -4.04326-0.671131j 4.37626+0.27398j 5.58835+0.472491j -1.94926-0.156939j 13.9335+1.38869j -21.5783-1.75177j 4.14631-0.0254905j -9.7626-0.881748j -6.34107-0.474122j -5.71373-0.796662j -11.4857-0.771757j -1.85654-0.0918676j -7.37389-0.435431j -7.3077-0.310267j -1.04814-0.30666j 5.14749+0.367671j 2.24144+0.397906j -2.6981-0.415777j -1.49168-0.499846j 0.593604+0.356746j -0.569593+0.167664j 
-1.04236-0.14507j 0.948094+0.431571j -1.06006+1.91417j 1.74265-0.574676j -0.135419+1.59631j 1.28493+0.968349j 0.196092-0.21614j 0.612118-0.13136j -1.94641+0.665962j 0.088445-0.462497j -3.47914-1.27275j 2.63653-0.530159j 1.81567+0.798302j 2.62195+0.0136771j 1.14055+0.863898j 5.64361+0.426065j -3.65003-1.07499j -0.311862+0.357407j 0.910327+1.12095j 1.24759+0.642454j 1.38984+0.0613341j 5.56813+1.79982j -0.711306+0.190956j 4.93542+1.26939j -0.139818+0.662221j -3.47643-4.30935j -0.1879-1.59937j 0.358566-0.105841j -5.22229-1.20441j 0.531958-0.13881j 7.3011+0.874901j 1.0578+0.422855j -1.58017-0.437492j -1.52238-0.0179589j 0.225802+0.514212j -3.89909-0.63092j 5.87538+0.807804j -1.18413-0.129032j 2.83056+0.430021j 1.76645+0.0908122j 1.36364+0.61626j 3.30221+1.00973j 0.341724-0.255728j 2.32836+0.24737j 2.19185+0.445659j 0.136618+0.334197j -1.74478-0.119982j -0.54778+0.0742783j 0.688101+0.278721j 0.344869+0.438195j -0.0443192-0.0860742j 0.493283-0.124011j 
1.42487+1.42007j 0.876546+0.0874557j 1.60699+1.56044j 0.448216-1.32497j -0.749493+0.461658j 1.28828+0.105271j -0.995063-0.449227j 0.599548-1.34503j -1.09042-0.428834j -0.899743+0.692247j 0.55495+0.306897j 0.478612+0.00971107j 0.227516+0.216985j 0.736955-0.877849j 0.0205402-0.193269j 1.917-0.282688j -1.50567+0.977469j -0.0780385-0.718135j 0.301366-0.801336j -0.317605-0.997519j 0.352697-0.239471j 1.69678-0.557312j 0.182806-0.411069j 1.14656-0.6394j 0.184195-0.0840893j -0.93019-0.214993j -0.522525-0.223086j -0.252689+0.432779j -1.16701+0.76477j -0.56923+0.124708j 1.17154-0.807092j 0.366965-0.10232j -0.610844-0.16479j -0.569304+0.03499j 0.0786742-0.202696j -0.512717+0.448331j 0.99129-0.52895j 0.224919-0.199156j 0.374361-0.0235171j 0.0819678-0.0158288j 0.611904-0.240679j 0.69398-0.340315j -0.34433+0.0389386j 0.337125+0.336632j 0.367588-0.0247711j 0.477869+0.0592499j -0.261353-0.247152j -0.0947824+0.0818688j 0.6289-0.557379j -0.0910459-0.086017j 0.211842-1.00896j 0.862781-0.0302721j 
0.0791436+0.0531833j 0.176058-0.40015j 0.349545-0.38129j -0.502808+0.47111j 0.168637-0.18946j -0.255191+0.101576j 0.181271-0.135611j -0.525172+0.150972j 0.644303-0.369895j -0.338122+0.0512088j 0.625282-0.294363j -0.524155+0.714977j -0.372937+0.109433j -0.653515+0.221288j -0.466234-0.0472763j -1.21742+0.791735j 0.862436-0.596695j 0.101464-0.263626j -0.191086+0.225993j 0.0267+0.353172j -0.234364+0.191467j -1.1584+0.809966j 0.0769421+0.407979j -1.08651+0.515433j 0.198067-0.338938j 0.713697+0.686892j 0.0802957+0.300623j 0.0275447+0.0940735j 1.19362-0.10073j 0.16159+0.320903j -2.13035-0.0488787j -0.277818+0.068662j 0.370613+0.159269j 1.0441-0.0604534j 0.0669166+0.132196j 1.49398-0.868739j -2.75029+1.13206j -0.425196+0.0760224j -0.936152+1.1914j -0.56413+0.665771j -0.663049+0.159205j -0.117565+1.14357j 0.554729+0.378357j -0.537554-0.616952j 0.218506-0.427053j -0.590685+0.191771j 1.43827+0.0917117j -0.647256-0.232017j -1.26944+1.83209j 0.542835-1.35522j 0.140947+1.79647j -4.3644-1.28873j 
1.50575-2.52912j 2.0894-0.110853j -1.42507+0.0870983j -0.741281-0.962713j -0.396536-0.681903j -1.02802+0.553279j -0.065464-0.193956j 0.492713+0.687739j 0.00162008-1.00018j 0.628418-0.172358j -0.0920817+0.720084j -0.43123-0.170108j -0.413178-0.197519j -0.560965-0.450151j 0.436734-0.0285174j -1.669-0.0373234j 0.821393+0.340164j -0.0784434+0.151072j -0.545775+0.424363j 0.0242052+0.0287954j -0.100488-0.0363311j -0.858101+0.496321j -0.0903177+0.351788j -0.51323+0.09518j 0.147463-0.052136j 0.177989+0.0890592j 0.203165+0.293902j 0.205076+0.047692j 0.588924+0.225416j -0.0624811+0.307389j -0.864001-0.543268j -0.179554-0.104082j 0.205283+0.4774j 0.215896+0.196491j -0.0962911-0.0755438j 0.80681+0.332739j -1.09348-0.323178j 0.19775-0.140468j -0.60389+0.0281312j -0.275907+0.0299239j -0.537928-0.215387j -0.390793-0.204952j -0.180354+0.239432j -0.575937+0.245088j -0.372935+0.0480812j -0.16085+0.182019j 0.255543-0.11776j 0.178021-0.0362623j -0.451419-0.19353j -0.717973-0.268822j -0.0615564-0.69858j 0.343313+0.098373j 
0.226093+0.16862j 0.122778+0.397507j 0.660726+0.0551251j -1.17279-0.213257j 0.840752+0.3053j -1.53472+0.0375033j 0.627968-0.200867j -2.0952-0.0674423j 2.28062+0.186756j -0.0395001-0.563727j 3.18953-0.164453j -2.01696-0.191187j -1.57196-0.206113j -2.70205-0.032282j -0.655654-0.103078j -6.31973-0.472181j 4.04405+0.358265j 0.365173+0.198351j -2.07247+0.0980195j -2.11305+0.50961j -1.37995+0.183941j -7.57737-0.535559j -0.299182+0.292453j -5.81285-0.0209743j 0.162628+0.36228j 4.00558+3.1541j 0.580272+2.76474j -0.518355+0.140533j 5.57535-0.278732j -0.616782+0.139675j -7.38403+0.808934j -1.39812-0.0383934j 1.09431+0.932072j 1.31312+0.268207j -0.349058+0.818802j 5.06002-0.00694347j -6.93751+0.712604j 1.19306-0.376456j -3.6376-0.30827j -1.45252+0.364599j -2.63205+0.405266j -1.93781-0.12872j -0.0126412+1.36661j -3.0309+1.09357j -2.2544-0.571828j -0.252507+0.259002j 3.34774-0.62628j 0.562431+0.38932j -2.43908+1.57353j -1.29421-2.6427j 0.704197-2.86621j -0.292693-1.06019j 
0.308293-0.338743j 0.508355-0.310767j -0.70595-0.482229j 0.605279+1.00059j -0.426616-0.200097j 1.12185+0.785682j -0.734145-0.361962j 1.42012+1.32739j -1.43178-1.30609j 0.19534-0.249074j -2.65236-2.07028j 1.78442+1.11069j 1.33351+0.666134j 2.48445+1.36902j 0.551716+0.525945j 5.09848+2.68056j -3.38356-1.83764j -0.523662-0.502372j 1.51542+0.559305j 1.21455+1.34474j 1.12238+0.727086j 4.83911+3.18328j 0.481046-0.022992j 4.10893+2.40438j -0.0333326+0.186564j -1.30191-4.15489j 0.398998-1.24936j 0.55751+0.427114j -4.27871-2.30599j -0.354757-0.72768j 6.39353+2.41743j 0.711932+0.287386j -0.857777-0.967668j -1.20271-1.43962j 0.276249-0.610686j -4.3733-1.62698j 4.73993+1.26886j -1.152-1.41921j 1.40861+1.06142j 1.20181+0.828906j 0.604873+0.638469j 1.08485+1.36624j -1.00235-1.01607j 0.946439-0.401992j 2.48262+1.14945j 0.117747-0.143362j -1.93267+0.247033j -0.695465+1.17918j -1.14484+1.20037j -1.23635-0.3888j -1.67572-2.38207j -0.328466+2.91288j 
0.385193+0.486135j -0.72026+0.452001j 1.06004-0.590827j -2.52851+0.257328j 1.95319-0.581308j -5.25402+0.637989j 1.13241-0.0112288j -7.0629+1.0349j 7.80433-0.432075j -1.60716+0.53653j 10.7194-2.60346j -5.68366+1.31747j -6.16426+1.24545j -9.76225+2.11615j -4.76006+0.266781j -21.2438+5.08629j 14.4413-3.89457j 1.51325-0.855879j -5.38005+1.22897j -5.56081+0.67108j -4.16211+1.43297j -23.8945+6.37377j 1.04976+0.158647j -17.5718+5.911j -1.30112+0.0256985j 16.086+6.62588j 3.19948+7.17633j -1.27754+0.98457j 16.8734-5.87631j -1.84284+1.19111j -22.918+7.43958j -4.29103+1.52686j 4.89737-2.75069j 4.82785-2.4549j -2.1999+0.677932j 13.9772-4.50875j -22.6076+6.25104j 3.56062-2.4402j -10.8169+3.55379j -6.49067+3.02149j -5.71962+0.892774j -12.0652+5.01617j -0.656551+0.490358j -8.68879+5.3356j -6.53203+1.89811j -0.25434+0.0209026j 6.69644-4.39266j 1.17539-0.873973j -2.60936+1.9215j -1.03722+0.530813j 1.94823-1.34803j -0.949345+0.344586j 
-0.286616+0.0135912j 0.248009-0.214531j -0.486388+0.412412j 0.833446-0.452975j -1.07906-0.130661j 2.18635-0.272217j -0.97622+0.31124j 3.16661-0.931902j -3.06439+0.52634j 0.914899+0.455876j -4.68491+1.94602j 2.02895-1.23983j 2.17298-1.1j 3.57367-0.78068j 1.13011-0.558099j 8.30407-3.44771j -5.53492+2.15362j -1.30582-0.117038j 2.02387-1.2634j 2.04118-0.690369j 1.30473-0.900094j 9.88148-4.03747j -0.335372-0.688046j 6.42144-2.94401j 0.901263-0.0157731j -6.4298-1.25213j -1.74255-2.60228j 0.774134-0.340268j -6.68008+2.99908j 0.00877839-0.312461j 8.83876-3.18739j 1.58747-0.182322j -2.30168+0.554961j -2.70763+1.04207j 1.34874+0.0715516j -4.83773+1.83728j 9.36832-4.20234j -2.59464+0.0360127j 2.47408-3.09689j 3.04551-1.41175j 1.00057-0.254552j 3.5335-2.86395j 0.0489684+2.0354j 4.2965-0.939557j 3.16399-1.02086j 1.06869-0.526582j -2.54031+2.33122j 0.374063+3.16113j 1.09876+0.993246j 2.8287-1.15364j -0.00630382+0.142676j 0.418068-0.230598j 
-0.568101-0.473051j 1.58886-0.217798j -2.73726+1.29756j 5.63661-0.0137958j -5.34184+0.0828396j 11.165-1.3754j -2.73814-0.315607j 14.6094-1.12464j -16.5522-0.0222244j 3.8605+0.0377219j -21.7903+4.21473j 12.0261-1.40283j 12.3906-2.26317j 20.9298-3.79099j 8.42081-1.04367j 43.4215-7.77458j -29.3928+5.1051j -2.70593-0.00506357j 10.8752-2.06906j 11.3607-0.644005j 7.92861-1.62201j 49.5166-9.65839j -2.71445-0.220869j 35.3799-8.22965j 2.7472+0.549275j -31.4196-15.3588j -5.97737-14.8183j 3.00323-0.422375j -36.0763+7.87673j 3.00494-1.04737j 47.6219-11.8029j 9.94682-1.67684j -11.6485+2.65779j -12.0796+3.42323j 2.12884+0.168603j -28.8492+8.02696j 43.96-13.9415j -8.45919+2.91082j 21.8164-4.69257j 11.1123-4.9053j 12.1134-4.65356j 21.0971-7.30399j 2.91042-2.18163j 16.71-5.62822j 15.1215-5.98972j 2.4733-0.801587j -9.39067+1.99325j -4.37528+3.40618j 3.93589-2.21325j 1.74015+0.533805j -1.24031+1.59002j 0.447313-0.293097j 
0.201104+0.39255j 0.310559+0.250819j 0.549791-0.456174j -0.793063+0.627278j -0.257742-0.522327j -0.391765+1.275j 0.529217+0.00790695j -0.518181+1.01759j 1.01653-1.23775j 0.421318-0.426257j 1.06107-1.92601j -0.834663+1.31763j -0.618754+1.68973j -0.902294+1.98587j -0.416308+0.514133j -1.86373+5.74642j 1.17012-3.56274j 0.265595+0.0679597j 0.378904+2.19833j -0.449161+1.80057j -0.209312+0.797997j -2.03244+5.018j 0.49148+0.416246j -1.26347+3.13066j 0.220245+0.625699j 4.29487-0.803293j 1.66896+1.20402j -0.478037-0.505209j 2.17116-4.52058j 0.649656+0.0362344j -2.70282+6.05464j -0.767176+0.652169j 2.3176-0.731884j 0.0557585-2.85647j 0.204281+0.160392j 0.859569-3.36786j -2.62581+5.73295j -0.236634-0.824194j -0.825552+3.67603j 0.490699+1.22345j -2.43427+0.321883j -1.4503+1.08452j -1.12092+1.65651j -1.07601+1.29535j 1.04419+1.20495j -0.143437-1.88766j 0.973275-2.55639j 0.930749+0.368171j 1.77995-0.485862j 0.0906103+1.37961j -0.751681-1.07139j -0.208782-0.584299j 
-0.197678-0.118803j 0.885979-0.101354j -1.1232+0.271671j 2.56375-0.0301591j -2.23087-0.442677j 5.20537+0.0556864j -1.52818-0.261875j 6.75075+0.00220651j -7.5085-0.489235j 2.26398-0.237893j -10.033+0.838529j 5.24372+0.0426926j 5.86517-0.369292j 9.9197-0.725147j 4.4067-0.0601215j 20.0364-1.2993j -13.4694+1.01514j -0.947646-0.363834j 5.40283-0.294777j 5.77609-0.179754j 3.91534-0.487098j 22.7796-1.73096j -0.735419-0.586654j 16.5517-2.07776j 0.109028-0.315153j -13.2817-8.12591j -2.4862-6.66147j 1.1646-0.492011j -15.2471+1.12789j 0.414316-0.306925j 22.7065-3.16705j 5.38043+0.00278789j -5.75702+1.52345j -4.70378+0.65703j 1.17683-0.0320076j -13.5233+2.71758j 20.0892-4.19812j -4.58782+1.04028j 10.1122-1.19626j 3.47234+2.86491j 4.27395-0.244356j 9.53814-3.44843j 1.68472-1.34881j 8.32236-3.68501j 6.52296+0.945815j 1.5687-0.659411j -3.8523+2.49268j -2.61544+1.36181j 2.57978-1.34358j 0.523528-0.0236928j -0.913138+0.501975j 0.283245-0.259232j 
0.493835+0.246695j -2.33185+0.0859046j 3.42962-1.27347j -7.63119-1.09138j 7.08622+0.356205j -15.1837+0.479273j 4.22685+1.29049j -18.7291+0.963529j 21.212+0.577353j -5.38164-0.222569j 27.7066-2.93992j -15.385+0.767616j -16.6295+1.66241j -27.2779+1.90793j -11.3399+0.413925j -56.9592+6.1101j 38.4048-4.3902j 3.59642-0.063324j -14.3446+1.70158j -13.5812+0.0883417j -9.99236+1.41401j -63.1721+6.49454j 3.30254+0.134319j -46.5126+7.04834j -3.83477-0.478666j 38.8337+23.9475j 6.34008+20.1308j -1.73718+0.557489j 47.0421-8.27858j -2.69333+0.520843j -62.5424+11.7555j -11.4456+1.92744j 14.6714-1.95613j 13.3884-2.49992j -4.77445+2.4985j 36.434-8.80442j -56.2028+11.4734j 10.3662-2.86973j -27.7758+6.35128j -16.3617+1.90982j -15.2551+2.76636j -27.8046+7.07485j -5.56328+1.20737j -22.001+4.97028j -18.6285+2.68229j -2.33953+1.38692j 15.5463-2.65193j 6.2712-3.25268j -8.02664+2.83599j -2.08897+0.898242j 2.44048-1.63003j -0.362445+0.991232j 
-0.441361-0.349223j 1.34371-0.58274j -1.61922+0.729962j 4.06834+0.281898j -3.42723-0.0887292j 8.35322+0.303054j -2.60714-0.0861246j 10.1044-0.507535j -11.4703-0.439217j 2.94305+0.00655437j -15.0852+1.6437j 8.84328-0.669267j 9.29171-0.411565j 15.3326-1.41964j 6.16402-0.0737342j 31.465-2.83669j -22.266+2.16896j -0.530073-0.365717j 8.12137-1.60702j 6.79696-0.732616j 6.00125-0.288466j 34.3232-4.18835j -1.32766-0.0782875j 25.6489-5.36495j 0.630798-0.276706j -22.3109-13.0412j -3.33667-10.1532j 0.547596-0.826458j -24.8854+3.98651j 1.26213-2.82016j 34.3258-6.64443j 5.96586-2.81101j -7.31272+1.45691j -6.86793+2.44387j 1.04491+0.342399j -20.0976+3.06599j 30.8404-5.99492j -6.52731+0.568257j 13.9743-4.10884j 8.45639-1.47005j 8.23285-3.52839j 14.7713-2.2029j 3.60161-2.05883j 13.1644-2.74476j 11.2195-2.9018j 2.11056-2.88545j -6.97533+3.09281j -2.4147-0.287884j 4.48461-0.981808j 0.324108-0.586076j -2.06824+0.5414j 0.817831-0.461268j 
0.653218+0.333357j -3.46651+0.160671j 4.28371-0.721164j -10.0503-0.811545j 8.6623+1.47727j -20.2813-0.366797j 5.67128+1.76746j -26.2185-0.427024j 29.7023+2.19655j -7.36664-0.601214j 38.3764-2.36307j -21.0361+0.499855j -22.4497+0.88718j -38.0257+1.75434j -15.3997+0.344839j -78.1689+3.47755j 52.9648-2.53541j 4.60697+0.614699j -19.152+0.685224j -20.8174-0.667674j -14.1495+1.05837j -86.9061+4.96067j 3.20085+2.09307j -63.8692+5.01952j -3.93983+0.211752j 50.6565+35.7434j 8.62803+25.9346j -4.65029+1.5316j 63.1049-7.7007j -3.15498+1.23852j -86.9892+10.8574j -15.9038+3.52783j 20.707-3.40829j 19.0154-0.520279j -5.55474+1.61925j 52.5609-7.1946j -77.3283+10.6995j 15.0627-2.10793j -39.0481+6.33937j -23.0347+4.37403j -21.3924+3.32025j -39.8491+4.96571j -7.14889+1.28758j -27.9781+5.97367j -27.0592+5.76429j -5.20392+2.52221j 20.0527-5.85883j 10.4188-3.22481j -9.65639+3.05957j -3.63527+0.871315j 3.6112-1.8469j -1.16716+0.753178j 
0.00907701+0.188664j 0.594511+0.0477167j -0.282412+0.188907j 0.378803-0.124259j -1.17471-0.515379j 1.81684+0.473465j -0.914041+0.160585j 1.94068+0.896778j -2.65269-0.315054j 1.03557+0.432972j -3.59978-0.0891025j 1.74354+0.159188j 2.82692+0.139641j 3.4391+0.329262j 0.90597+0.0461058j 6.76523-0.142226j -4.20416+0.766266j -0.598579+0.522791j 1.33279+0.685275j 1.7216+0.0340676j 1.57228-0.0752371j 6.68583-0.103396j -0.89359+0.0709131j 4.46198+0.446999j 0.913614-0.619179j -4.25178-3.9328j 1.03064-1.45332j 1.41393+0.633203j -4.8884-0.406669j 0.477626+0.00812088j 8.97477+0.177774j 0.907807-0.432312j 0.260184+1.46414j -1.75354+0.898817j 0.601322+0.297846j -4.08977+0.339513j 5.29802-0.172865j -1.08678-0.2401j 3.44917+0.933936j 1.58154-0.596473j 3.6378+1.13573j 3.87507+0.298684j -1.70666-1.74931j 2.71604-1.03591j 2.37053-0.051372j -0.169101-1.21157j -1.84102+0.266936j -0.328338+0.237998j -0.0588398-0.866807j 1.52219-0.218095j -0.252916-0.511044j -0.00380696-0.301806j 
