-0.0998963-0.0392721j 0.0926774-0.0190954j 0.0411296+0.0060517j 0.0500107-0.00342269j -0.0485931+0.0162758j 0.0474961-0.0143187j -0.0655481+0.00252036j 0.0254394-0.000250744j -0.00573633+0.0283289j -0.00733661-0.0201895j -0.222318-0.0128364j 0.0173779-0.120878j 0.13173-0.10308j 0.165307-0.0167279j -0.0639118-0.17554j 0.20576+0.0777287j 0.0801748-0.280482j -0.107922-0.250577j -0.142262+0.0627411j 0.0172367-0.122022j 0.133556+0.180438j 0.049563-0.0548819j -0.058694-0.206857j 0.269981-0.134064j 0.101504-0.119879j 0.127398+0.0960068j -0.0436344-0.0271229j 0.00971587+0.207463j 0.221206-0.0212571j 0.0484422+0.00262215j 0.105672-0.000813944j -0.101358+0.0164005j 0.0207612-0.0450052j 0.0743381+0.0575278j 0.0566945-0.0400701j -0.00991147+0.0322032j 0.00583347+0.00126746j 0.0304904-0.0170391j 0.00420318-0.000921527j -0.0149433+0.00427364j -0.017973+0.00970806j 0.0195046+0.0139341j 0.015438+0.0126205j 0.0348122+0.0219717j -0.0118175+0.0391509j -0.0411667-0.0142033j 0.0283457-0.0757962j 0.085669+0.0316818j 0.102561-0.015013j 0.0463492+0.00472134j -0.00953843+0.0431809j -0.0127092-0.00930607j -0.0183162-0.00731263j -0.0071287-0.00169344j 0.000305437-0.00180796j -0.0247495-0.000681557j -0.00455657+0.00834257j 0.0223992+0.00503053j 0.00341868-0.0148081j 0.00365433+0.0146009j -0.00506537-0.0208932j 0.0166848-0.00793536j -0.0114286-0.0117694j 0.0143021-0.00333719j 0.0282566+0.00302516j 0.00652728-0.00337604j 0.0198512+0.000217723j 0.00857149-0.00632484j -0.00010425-0.019744j -0.0071575+8.15524e-05j -0.0088854-0.0160114j 0.0297173-0.0137336j 0.0170135+0.017181j -0.0341871-0.0072355j 0.0391388+0.0269358j 0.0388735-0.0450402j 0.049664-0.00812933j -0.0476569-0.00845257j -0.0118914+0.0049308j 0.0143128+0.00248781j -0.00305294-0.00547487j 0.00772589+0.00130491j 0.00523376+0.00324647j -0.00596017+0.00768683j 0.00610825-0.0138804j 0.0173964+0.0120117j 0.0141107-0.00128994j -0.0179348-0.016237j 0.0163327+0.0104435j 0.0140761-0.00320116j -0.0377265-0.000636583j 0.0572708-0.0110313j 0.0172178+0.0045904j -0.0170953-0.00212707j -0.0132627+0.00374067j 
-0.00232172-0.00765474j 0.029732+0.00922945j 0.00853754-0.00165742j 0.00494765-0.00874101j 0.000121213+0.0063247j 0.00269868+0.00351099j -0.00852709-0.00377856j 0.00464127-0.00262177j -0.022691-7.38291e-05j 0.0010175+0.000919305j -0.0489595-0.00266127j 0.0146245+0.0109469j -0.010398-0.00580466j 0.0118141-0.00276025j -0.0462482-0.00420729j 0.0580916-0.0114649j 0.00850198-0.00557502j -0.0159069-0.00265679j -0.0716285+0.00310191j 0.00902394+0.00353117j 0.0312048+0.00318475j 0.03035+0.010609j 0.0100815+0.000535318j 0.0718144+0.0121153j 0.0635627-4.93069e-06j 0.0210348-0.00697171j 0.0397773-0.00292277j 0.0319617-0.0136884j -0.0446981-0.00805208j -0.00905438-0.0103272j 0.00466849+0.000692196j -0.0219113+0.00714425j -0.0130417-0.0618079j -0.00410009+0.0465699j 0.0194597-0.0154537j 0.00334551-0.0211776j 0.00162323+0.0145331j -0.0118989+0.0282881j 0.000604367-0.00247966j -0.0255685-0.00163815j -0.0152663-0.00940962j 0.00610791-0.0167168j 0.00958579+0.0545532j 0.000889821+0.0239138j -0.0156473-0.0218511j -0.0111049+0.0189114j 0.00121017+0.0027671j 0.0480455+0.0154208j 0.035238-0.0272567j 0.0735636+0.00425361j -0.00228811+0.0456151j -0.00516351-0.0128778j -0.0130359-0.0024215j -0.0112144-0.00430278j -0.000277261+0.0102286j -0.032133-0.00357747j -0.00374125+0.0102129j 0.0216517+0.0135295j 0.012188+0.00030891j 0.0171056-0.0140953j -0.00717165+0.0305755j 0.014746-0.0375119j -0.018758-0.0253902j -0.00885567-0.0149504j -0.0223385-0.0740656j 0.0306524+0.0101983j 0.00336223-0.00269944j 0.0228155-0.00981421j 0.00498872-0.0363981j 0.0293575+0.0614133j 0.0460013+0.0191885j -0.0165208+0.0207796j 0.0362299-0.034384j -0.0381927+0.0302962j -0.0676572-0.229434j -0.0117759+0.267137j -0.270728+0.0501902j 0.275136-0.00572042j 0.0457048+0.00711126j -0.0281437+0.0106211j -0.0255224-0.00478621j 0.0106121+0.0262525j -0.00309749+0.00587998j -0.0185386-0.0184641j 0.0337757+0.0626901j -0.0621301-0.0829878j -0.0190955-0.0285108j 0.0665733+0.0894684j -0.0421417-0.0511352j -0.108084+0.027429j 0.159466+0.00203502j -0.255563+0.0494946j -0.0867753-0.0117907j 0.0961395+0.0220629j 0.0885578-0.0209029j 
0.0206661-0.00859489j 0.01928+0.00277646j 0.0162596-0.00499064j 0.00868496-0.0131992j -0.0031238+7.71776e-05j 0.023175-0.0154496j -0.0107288-0.0164019j 0.00373456-0.00271199j 0.025007-0.00213808j 0.0476916-0.00478629j -0.0152948-0.00555044j 0.016399+0.00681706j -0.0151565-0.00702378j -0.00700044-0.00105117j -0.019761-0.00278497j 0.0117442-0.0066512j 0.00863616-0.00193335j -0.00146021+0.00137047j 0.0126904+0.00160503j -0.000283139+0.00644764j -0.0124131+0.00563154j 0.0146136+0.00454334j 0.00133717-0.00388536j 0.0133459+0.00435012j -0.000592242-0.0028006j -0.00901394-0.00377081j 0.0221091-0.0052534j 0.0240617-0.00399194j -0.0221808-0.00433668j -0.00349707-0.00356991j -0.00429069-0.00331272j 0.00775894+0.00823059j -0.00168498-0.0377437j -0.0042014+0.0440556j 0.00904932-0.0227926j -0.00601583-0.0204712j -0.00544979+0.0187724j -0.00714238-0.0142229j -0.0117347-0.0157537j 0.0382551-0.0329435j 0.0126912-0.00977711j 0.00951946+0.0324554j 0.000685101-0.101248j -0.00405631-0.0342327j 0.00637236-0.0429238j -0.0067698+0.0147415j 0.00962394+0.0647912j -0.00034434+0.00531793j -0.0331289-0.00227205j 0.00677311+0.00234349j 0.00213176+0.00347122j 0.0059569+0.000289712j 0.0431919-0.000281182j -0.030976-0.00328076j 0.00464063+0.0332099j 0.0166197+0.0112593j -0.00891739+0.0184877j 0.0333064+0.0146017j 0.00568064+0.0152193j 0.0259446-0.0118177j 0.0283828+0.050021j -0.019533-0.05923j 0.0170683-0.00296415j 0.00114622+0.0114401j -0.0761895-0.0312941j -0.00244833-0.0363227j -0.0426885+0.029151j -0.0281055-0.0113017j -0.0264925+0.0302199j 0.0615076+0.0208655j 0.0468011-0.0753574j -0.0171136-0.0566653j -0.0167093+0.0791187j -0.145237-0.0294557j 0.112946-0.0696556j 0.0932425+0.0724248j -0.0829469+0.00933468j 0.0416889-0.0079434j -0.00328023+0.022012j 0.00361531+0.00740683j -0.0116138-0.00746702j 0.01181+0.00397242j 0.0109906+0.00356349j -0.0094533+0.00101156j 0.0319006+0.0198704j -0.00914716-0.0392573j 0.0198913+0.00508919j -0.00296675+0.0374059j -0.0546885-0.0148115j -0.0304738+0.0206659j 0.048708-0.0221056j -0.096997-0.00045911j 0.035528-0.00578449j 0.0307823+0.0204781j 0.0668536-0.0105008j 
-0.0108667+0.0118768j -0.0046936-0.00611399j 0.00182741-0.000945149j 0.00314989+0.00414349j 0.0230832-0.00178817j -0.0162208+0.01725j -0.00256751-0.0112861j 0.0252541+0.00140441j 0.0386992-0.00234501j -0.0112013+0.0149328j -0.0163494-0.00752182j -0.00870721-0.0121756j -0.0554893-0.00229368j -0.00889217-0.00624758j -0.00497893+0.00270255j -0.0195218-0.00620123j -0.00805213-0.00111709j 0.0325254+0.00696926j -0.0205309+0.00275131j 0.042032+0.00245222j 0.0116103+0.000570395j -0.00435457+0.00816311j 0.0381911+0.00216407j 0.0207366+0.00203211j -0.00772933-0.00280572j 0.0230778-0.005555j -0.0618927+0.000382829j 0.0259729-0.00879183j -0.0116656+0.00538139j -0.00631917+0.00377372j -0.00272316+0.00230993j 0.00401715+0.000789937j 0.0258391-0.00223821j 0.0142956-0.00150769j -0.014106+0.00171658j 0.000164048-0.0540371j 0.0139431-0.00669687j 0.0182924+0.0194108j 0.00924551+0.0149475j 0.0208239-0.0277759j 0.0118848+0.0328197j 0.00107991+0.0172382j -0.0108123+0.0455286j 0.00977107+0.014984j -0.0369727+0.0159622j 0.00245983+0.00356072j -0.0177929-0.0106034j -0.0121416+0.0179885j 0.0406135+0.00083071j 6.0258e-05+0.000921727j -0.00275569-0.0111085j -0.0629361-0.0403592j -0.0183877-0.0187539j -0.0177373-0.026582j -0.0234331+0.0531209j 0.000697542+0.0152089j 0.00222424+0.0502454j -0.0547858-0.0277537j -0.018172-0.0410391j 0.0248575+0.0337395j -0.00295907-0.0199464j 0.00432766+0.0370008j -0.0554806-0.0874855j 0.045054-0.0200823j 0.0171438-0.00608221j 0.0442974-0.0320547j -0.0458555-0.0883552j 0.0647818+0.0452453j -0.00372556+0.00840709j -0.068043+0.208192j -0.074666-0.0992157j 0.071688+0.151892j -0.13887-0.0880559j -0.255966+0.0839483j -0.174743+0.0568418j -0.117325-0.0499386j 0.042012-0.0140308j -0.087277+0.00946308j -0.0115969-0.000384018j 0.0159522+0.00406253j 0.00243128-0.0064337j 0.000521376-0.002008j 0.019795+0.0134678j 0.0151901-0.00442471j 0.0349156+0.0306358j -0.0211968-0.0735732j 0.00255441-0.00600803j -0.0188291+0.00364961j -0.0357717+0.00462513j -0.116043+0.00970422j -0.00267058+0.0244204j -0.0391508+0.021779j -0.061151+0.00343094j 0.0449075+0.0115548j 0.0395281-0.00875323j 
-0.0208442+0.014314j -0.0066421+0.0118041j 0.000713298+0.00785212j 0.00258794+0.0250325j 0.00680406-0.019944j 0.0117711+0.0188172j -0.0129085+0.0318569j 0.000663425+0.0097458j 0.0201877+0.0126585j 0.0269753+0.0317354j -0.0020671+0.0113538j -0.0362488-0.0108715j -0.0221445+0.00309392j 0.0110965+0.00230862j 0.00853691-0.00308221j 0.00797313+0.0155607j 0.0206118-0.00241105j 0.00304214+0.000386533j -0.0086334-0.00173175j 0.00181993-0.0117301j 0.0226767-0.00384712j -0.0248863-0.00523183j 0.00126913+0.00141147j -0.00263906-0.00877791j 0.0347895+0.0008253j 0.00597474+0.00799303j -0.00465231-0.00818508j -0.0109758+0.00715086j -0.0384675-0.00188054j -0.0145745-0.00163605j -0.00603147+0.00583026j -0.0182904-0.00990336j 0.00107815+0.0215878j -0.00401194-0.034245j -0.020047+0.0110673j 0.00440045+0.0279296j -0.0205714-0.0346847j -0.000887486-0.000920957j -0.00660976+0.0578581j -0.0257815+0.0506795j -0.000777344-0.0645523j -0.0129555-0.0314793j 2.36367e-05-0.0397936j 0.0354466-0.00955424j -0.022955+0.0121676j -0.00953783-0.0102548j 0.0137949-0.00533989j 0.0350081+0.0195168j 0.0253367-0.00681144j 0.0013045-0.00120997j -0.00831247-0.0037943j -0.0393718-0.0243847j -0.0389859-0.00801387j -0.0611337-0.0272586j -0.0289226+0.0150084j 0.0300751+0.0233672j -0.0362287+0.0710649j -0.0220174-0.00123208j -0.0182628+0.0450078j -0.00331733+0.0407773j -0.00494961-0.0631168j 0.0200029+0.0472931j 0.0071953-0.0313008j 0.0545349-0.0804975j 0.0697179+0.0575267j -0.0701294+0.0365419j -0.0477731-0.0248063j 0.0424855+0.03625j -0.0551422-0.19201j -0.147951-0.0154719j -0.015688+0.151361j 0.195732+0.0317842j 0.184703-0.122246j 0.0918726+0.055943j -0.135648-0.0281189j -0.0685815+0.0653877j 0.00271357+0.0188804j 0.0649939+0.00563925j 0.0246927-0.0268945j -0.0246584-0.00128227j -0.0178138+0.00655643j 0.0033849+0.0267446j 0.0101766+0.00715595j 0.0073428-0.0195835j 0.0173411+0.0171179j 0.00406345-0.00571256j -0.0292991-0.0408164j 0.0583366+0.0297892j 0.0713185-0.0299213j -0.017501+0.00448449j 0.0581165+0.0162603j -0.0604469+0.0303776j -0.0553572-0.000508131j 0.0232335-0.00473531j -0.00338471-0.00571778j 
0.0189921-0.0158089j 0.0139311+0.00979647j 0.00535081+0.00931184j 0.00133794-0.00330912j 0.0011625+0.00345655j 0.0107671-0.00683354j -0.0294033+0.0136255j -0.0285873+0.00535594j -0.0126114+0.0116082j 0.0120263-0.000177807j -0.029977-0.00425136j 0.022816-0.0012649j -0.0120625-0.00899452j -0.0145666-0.00271139j -0.0232594-0.00325376j -0.00474299-0.00699559j -0.00908248-0.00686744j 0.0171348-0.0106232j 0.0142706+0.00163482j 0.0225279-0.00217286j -0.023713-0.00609534j 0.0242815-0.0029362j 0.0097128+0.00456686j 0.00287327-0.00054278j -0.0274551-0.000715093j 0.0217143-0.00110176j -0.0287181-0.00684647j 0.0221049-0.00568408j 0.0220763+0.0104658j 0.0191063+0.00714851j -0.00388044-0.00840441j -0.0043415+0.0079945j -0.00608966-0.0407806j -0.00596256+0.0362079j 0.00219076-0.0100019j 0.00472231-0.0333426j 0.00651812+0.0306651j -0.0268057+0.00483005j 0.0125737-0.0342989j -0.0363247-0.0300967j -0.00588731+0.00435721j -0.0379207+0.00698552j 0.00843773-0.0335466j 0.00152169-0.00277252j 0.0181404-0.00669043j -0.0364759-0.0014626j 0.0252454+0.00385237j 0.0375063+0.00699773j 0.0784728+0.00107317j -0.040764+0.00588092j -0.00520077-0.0399051j -0.0377548-0.00214389j 0.0256015-0.00627274j -0.0536519-0.00789067j -0.0119995+0.0438554j 0.034577+0.0352296j -0.0202754+0.0485778j 0.00418518-0.0121124j -0.0013465+0.0625767j 0.0487599+0.0155341j 0.03275+0.0466199j -0.00304979+0.0214297j 0.0259815+0.0366188j 0.0346471+0.00237185j 0.00833127+0.012883j -0.0146212-0.0275139j -0.077771+0.0129151j -0.0267353+0.0168109j 0.0448706+0.171124j -0.0418912-0.00443522j -0.054706+0.0813826j -0.134378+0.18832j -0.158763-0.144801j 0.12493+0.0583223j -0.193368+0.107963j -0.143599-0.0913969j 0.0488088-0.0304582j -0.154419+0.00484364j -0.0316845+0.0231402j 0.0042791-0.00454491j 0.00608613+0.00401321j -0.00513996+0.00139066j 0.00210469-0.00359786j 0.0111061-0.00995337j -0.00211447+0.0205858j -0.00715585-0.0231793j -0.019647-0.0231166j 0.0104174+0.00150203j 0.0182998-0.00293353j -0.0541194+0.0234328j -0.00822449-0.0256748j -0.0271927-0.0309517j 0.0742978-0.00238678j 0.00439495+0.0186281j 0.0494595-0.00302644j 
-0.00978446+0.0144038j -0.0160108-0.0145694j 0.00945928-0.00172297j 0.000917833+0.00846803j -0.0205563-0.011092j 0.00452859-0.00489637j 0.010483-0.00773609j 0.00956828-0.00176621j 7.1697e-05-0.0047154j 0.0120264+0.00409436j -0.010111+0.0116227j -0.0663678-0.0119593j 0.0112833+0.0147634j -0.0277649+0.00370058j 0.0388772+0.00679142j -0.0101361+0.00998523j 0.0103387+0.00268395j -0.0343666-0.00415876j -0.0623674+0.00149533j -0.0382908-0.00722967j 0.010542-0.00403392j 0.0126273-0.00369199j 0.0233828-0.00118936j 0.00887984-0.00191014j 0.0232328-0.000184186j 0.00948786+0.0157609j -0.0302957-0.00115189j -0.00541138+0.029321j -0.02805+0.000605602j -0.00764859-0.00669458j -0.00411791+0.00798487j -0.0275589-0.0148504j -0.00578979+0.0269987j -0.00286217-0.0247006j -0.00782864+0.0111674j -0.00968175+0.0789874j 0.0273584+0.0110688j 0.0123668-0.00896797j 0.0138943-0.0315889j 0.0273334-0.000990514j 0.0464798+0.0283959j -0.0258677+0.0125626j -0.00983218-0.0181315j -0.00368884+0.00112966j -0.0204768+0.0180548j -0.0217712+0.0189167j 0.00995048-0.00498207j 0.0403871+0.0122724j -0.0355102-0.00764139j 0.0092035-0.0173628j 0.00190948-0.012386j -0.0623665-0.0196908j -0.0557296-0.0162389j 0.114073+0.0171529j -0.00201201+0.0302823j -0.063604-0.0294153j -0.0061441-0.111043j 0.0775902+0.0206099j 0.00516521-0.0643307j -0.109066+0.0585813j -0.0952269-0.18803j 0.104699+0.0376368j 0.0704605+0.141223j -0.179672+0.00503021j 0.131213-0.104911j -0.104497+0.155734j 0.0224698-0.0662797j -0.0490909+0.023871j 0.0636312+0.0576236j -0.00650328+0.039561j -0.0614901+0.0617476j -0.0265286+0.167986j -0.0648887-0.137841j -0.00843781+0.0873456j -0.216343-0.0266225j -0.142674+0.0740325j 0.00200913+0.0208122j 0.094363+0.0328291j 0.0435889-0.0458756j 0.0321717+0.0187126j -0.00397589-0.0247745j 0.0239803-0.00372696j -0.0015438-0.000966473j -0.0323818+0.0179709j 0.0210113+0.0126386j -0.0186325-0.0394867j 0.0174869-0.00452608j -0.0211897-0.0104959j -0.00672272+0.0101397j -0.0670569+0.0067743j -0.0203138+0.0313882j -0.00192378+0.0315949j -0.0528099-0.00112556j 0.0163908-0.00657766j -0.00644336-0.00721511j 
0.025277-0.0109478j 0.0113756+0.0302491j -0.0145391+0.00642359j -0.0300834+0.00746983j -0.00905716+0.00175556j 0.0160641+0.0108133j -0.0118125+0.0317077j 0.00677282+0.00721866j 0.00895062+0.0198268j -0.00820662+0.0129149j 0.00637843+0.0019071j 0.0368467+0.0118182j -0.00122138-0.00523987j -0.0361227+0.00431721j 0.02184+0.00363676j -0.00363683-0.0128465j -0.0104975+0.0214133j -0.0240163-0.0145722j -0.00252211-0.0069578j -0.0628804-0.00483267j -0.0378668-0.00498605j 0.0592197-0.0114792j 0.0218983+0.0100322j 0.00538264-0.0135883j 0.0109981+0.00369125j 0.0269516+0.00531328j -0.00856015+0.000808318j 0.0275051+0.00167734j 0.0125291+0.00663134j 0.0150743-0.000378047j 0.0206668-0.0142048j 0.00749772-0.00311205j 0.0207604-0.0539801j 0.0206655+0.0338575j 0.000108193-0.0226012j 0.0100426-0.0239577j -0.00608198-0.0109223j 0.0147066+0.000197163j 0.0114852+0.0286709j -0.0349577+0.0037083j -0.000851366-0.0263543j -0.020307+0.00544476j -0.015227-0.0272976j 0.0438351+0.00784473j 0.000874329+0.0168034j -0.0201999-0.00967578j -0.00618043-0.0408661j -0.00989532+0.0204068j 0.120761+0.0178284j -0.0787777-0.00504165j -0.00778076-0.0249962j 0.0147223+0.0162082j -0.0684962-0.0101986j 0.00888953+0.0271245j -0.00598364-0.0772092j 0.0903268-0.00988057j -0.0488542-0.0291915j 0.0761341+0.0649432j -0.00648368+0.0810487j 0.00436129+0.0483035j -0.00110111+0.00390195j 0.0470946-0.0457776j 0.0990399+0.118339j 0.000347026-0.0224632j 0.0441834-0.092976j -0.109352+0.035548j 0.0365601+0.141985j -0.116304-0.0480669j -0.00193491-0.0359781j 0.136411-0.094033j 0.107411+0.0389658j -0.0294166+0.204711j 0.0350884-0.210379j 0.107793+0.0748032j -0.186576+0.0849892j -0.144553-0.0766888j -0.00822489-0.0291999j -0.11771+0.00865295j -0.0206923+0.0331472j 0.0136192+0.00428912j -0.0138639-0.0124381j 0.0149359+0.00902261j -0.00143483+0.000924268j -0.017186+0.00976919j 0.00540807+0.00310753j -0.00397648-0.0137067j -0.00362517-0.0332872j -0.00621977-0.0304654j 0.0493298+0.012892j -0.0618413+0.0148339j -0.0386818+0.00615201j 0.0136028-0.0258345j 0.0218071+0.00136675j 0.00322144+0.00907743j 0.0174634+0.00107006j 
0.0144948+0.0022512j 0.00998245+0.00453186j 0.00644008-0.00383037j -0.0201802+0.00882725j -0.0164692-0.00353453j 0.0119169+0.00599551j 0.00112067-0.00161624j 0.0251159-0.00293915j 0.000998651-0.00158225j -6.28588e-05+0.0121806j -0.00812247-0.0124333j 0.0604918-0.00529183j 0.0332066-0.0123671j 0.0377623-0.0088836j 0.0107156-0.00679884j 0.0281653-0.00392251j -0.0509889-0.0181215j 0.0317152-0.00117674j 0.0394369+0.00472691j 0.00635749-0.00464924j 0.03559+0.0108595j -0.0472989+0.015129j -0.0370853-0.00488917j 0.0038327+0.00372895j 0.0135886-0.00745775j -0.0403455-0.0147763j 0.0558017-0.0040025j -0.020506-0.0158854j 0.0290465+0.00312837j 0.00306967+0.00945357j -0.00199475-0.00437227j -0.00057518+0.0165094j 0.00663013-0.0163424j 0.00698685+0.0239715j -0.00584523-0.0102338j -0.00420805-0.0331823j 0.00600114-0.0106686j -0.0204234-0.0155228j 0.00495469+0.00995072j 0.00613521-0.00317076j 0.0243285-0.00375058j -0.0180389-0.00216495j -0.0111226-0.0123522j 0.0237507-0.01266j 0.0284897-0.016023j -0.0246212-0.011158j 0.0130561+0.00339319j -0.0211635-0.00130282j 0.0354828+0.00986101j -0.0534272+0.0089763j 0.00376306-0.0284544j 0.0556934+0.0461893j 0.125552+0.0443315j -0.0622531-0.0033719j 0.02598+0.0437024j 0.00561748+0.00559238j 0.0319786+0.00594578j -0.0317184+0.0177918j -0.0183028-0.0302407j -0.0906289-0.261658j 0.021692+0.108171j -0.0739459-0.00965808j -0.0498411+0.0935586j -0.267672+0.0624474j -0.141285+0.200804j 0.0479365+0.118285j -0.11321-0.101848j 0.0862358+0.0754446j 0.0377515-0.0500823j -0.173731-0.0351801j -0.0642156+0.155133j 0.0041362-0.0536513j 0.0653627-0.0175714j 0.176966-0.0215563j 0.0197832+0.0122018j 0.00760971+0.00233573j -0.0524874-0.00730318j -0.00930935-0.0156159j -0.0183501+0.0365518j -0.00774596-0.00902159j -0.0178299+0.00249838j 0.00290107+0.00375631j 2.81483e-05+0.00067538j -0.000308888+0.010581j -0.00656435-0.0285304j 0.0202231+0.0405056j 0.00187383-0.000885289j 0.00643452-0.0149492j 0.0190169+0.00148037j 0.0576627+0.00263648j -0.0171905-0.0399159j 0.0239268-0.0462634j 0.0949515-0.00529648j -0.0349854+0.00490307j 0.000204556+0.00886033j 
-0.0214533+0.0118189j -0.0105745-0.00963135j 0.00283035+0.0124921j 0.00549834-0.0045011j 0.0115865-0.00632408j -0.0058519+0.0156586j -0.00067441+0.00148044j -0.00125399+0.0100267j 5.55431e-05-0.000237419j -0.00570805+0.016043j 0.0053667+0.00114341j -0.0198139-0.010569j -0.0177206-0.000309812j 0.0195451+0.00250934j 0.0135123+0.00128325j -0.00225562+0.00238514j -0.000503252-0.024583j 0.0157413-0.0236279j -0.00969595+0.00888149j 0.0130982+0.00245595j 0.0178753-0.0169016j -0.0299724-0.0205995j -0.0177946+0.0243661j -0.000568538+0.0173104j 0.013177+0.000631074j 0.00312087-0.00379976j -0.000284888-0.00114821j -0.0163233+0.00804601j -0.00179535+0.000419658j -0.0105673-0.00260952j -0.00924869+0.00389156j 0.00163995+0.00325769j -0.00469941+0.0219167j -0.0107042-0.0223423j 0.000646389+0.0132523j 0.00489551-0.022188j -0.0124448+0.00291245j -0.0298368+0.00386908j -0.0128442-0.0101408j -0.00738352+0.00279378j -0.0245332-0.00435285j 0.0188102-0.0210645j 0.022329+0.0270267j 0.0115888+0.0258714j 0.0195709+0.012675j -0.00593333+0.000847885j 0.0281743-0.0313768j 0.0502588+0.00283274j 0.0138473-0.012236j 0.0180733+0.00218327j -0.00493001+0.022449j -0.0436069-0.0237001j 0.0378057-0.00216492j -0.0090646-0.0045873j 0.00145949+0.062395j -0.104936-0.025777j 0.0266782+0.0456894j 0.0236039-0.00951626j 0.0347651-0.148888j 0.0217139+0.0560757j -0.0132639-0.0655213j 0.0191539-0.0680823j -0.145664-0.215763j 0.102898-0.00911938j 0.079627+0.0883423j 0.173943-0.0858554j 0.181597-0.0134902j 0.12668-0.168267j 0.0936085+0.191958j -0.0525867-0.217082j -0.0493502+0.373454j -0.133157+0.0118802j 0.0217176-0.0896927j 0.36549-0.0105772j -0.0619455-0.0348006j -0.0356289+0.0979127j -0.0523734+0.0185034j 0.0869793+0.00692023j 0.0182941-0.0109006j 0.0158681+0.00575447j 0.0227989-0.00685276j -0.00625615-0.0210761j -0.0234084-0.02206j -0.00936211-0.0079171j -0.0297091+0.0231864j -0.0265892+0.000801948j -0.024399-0.0184482j 0.0205103-0.00914807j 0.0183011-0.00707489j -0.0216017+0.00100366j 0.00383093+0.0135926j -0.00884247+0.0157166j -0.0297835-0.00133374j 0.00971421-0.00121958j -0.000539883-0.00275282j 
-0.0191088+0.0272646j -0.0231454-0.00710854j -0.00596222+0.00713593j -0.0270412+0.0227101j 0.00252454-0.0180815j 0.000941044+0.0246491j -0.014112+0.00139564j -0.0101644+0.00999111j -0.000582174+0.0106011j 0.00330415+0.0387362j -0.00712407-0.00063136j -0.0340985-0.018455j -0.0524284+0.00644071j -0.00453449-0.000337617j 0.0762984+0.0109197j -0.0146869-0.000163399j 0.0105542+0.0149379j 0.00666194+0.0108257j 0.00702207-0.00161769j -0.0638071-0.00180189j 0.00126953-0.000438692j -0.0258407-0.000478384j -0.00806258-0.00558012j -0.00470716-0.0067527j 0.0457744+0.0085955j -0.00302597+0.00318682j -0.00782442+0.0114748j 0.00270931+0.0125603j -0.0328769+0.00183125j -0.0194211-0.0036999j -0.0105751+0.00141628j -0.014831-0.0139318j 0.0531758+0.0343667j 0.0333843-0.0425859j -0.0545064+0.0137612j -0.0146077-0.0179681j -0.0301861-0.0181092j -0.00938129-0.00173063j -0.034624+0.00754886j 0.0331997-0.0233345j -0.00327531+0.0290878j -0.0122441+0.03374j 0.00124795-0.0294195j 0.00918418-0.0167089j 0.00857544+0.006901j 0.043666+0.0274256j 0.0156964+0.00589952j 0.0133763+0.0159201j 0.0162224+0.0229097j -0.0910884-0.01225j 0.00271897-0.0588048j -0.0666034-0.0202252j 0.0247938-0.0166833j 0.0146197-0.00686163j -0.0193578+0.0530228j -0.0187074-0.0234156j -0.00965114+0.0304539j 0.0441322+0.0338537j 0.00564755-0.0726j -0.0306014+0.0378657j -0.0399228-0.0786348j 0.0442907+0.0189801j -0.0331317-0.0544826j 0.0620547-0.0555385j 0.0437109-0.0382073j -0.0275502+0.0282233j 0.126579+0.0793833j 0.0452846-0.0704979j -0.0700956-0.403993j 0.043041-0.0447037j 0.106358-0.0557384j 0.253886-0.0841908j 0.258878-0.0301247j -0.0462936+0.0152435j 0.00929592-0.0179629j 0.0295279-0.0115573j -0.0148737+0.00535532j 0.0180939+0.00268239j 0.0120979+0.00128293j 0.0678842+0.0273403j -0.00341315-0.0424657j 0.0387019-0.00225616j 0.00402537+0.00540971j -0.0431091+0.0312873j 0.0352162+0.00461025j -0.00980834-0.0444333j 0.0211341-0.0281286j -0.0294651-0.0390359j 0.0337004+0.0242276j -0.0985442+0.0111526j -0.0621612+0.0309154j 0.0267466+0.00897859j -0.0256006+0.00393205j 0.0217814+0.00843695j 0.0254103-0.0075976j 
