0.199306-0j -0.00819928-0j -0.000245404-0j 0.025101-0j -0.0205318-0j 0.140747-0j -0.00169819-0j -0.0118403-0j 0.00104002-0j -0.00712943-0j -1.99015e-05-0j 0.0568046-0j 0.0573932-0j 0.000933977-0j 0.0204012-0j 0.00170016-0j -0.00014968-0j -0.000151231-0j 0.00171778-0j 0.0206126-0j -0.00103341-0j -0.00104412-0j -0.00720527-0j -0.00727993-0j -0.00448081-0j -0.00452724-0j 4.99253e-05-0j 5.04427e-05-0j -9.89528e-07-0j -0.00129584-0j -9.99783e-07-0j -0.00128255-0j 0.000599103-0j 0.000605312-0j 
0.00569937-0j 0.141996-0j 0.00207267-0j 0.00146127-0j 6.24066e-06-0j -8.64649e-05-0j -0.68094-0j -0.00105445-0j 6.11457e-05-0j -0.000847179-0j 0.000224663-0j -0.0100605-0j 0.0103305-0j 5.49111e-05-0j -0.000285534-0j -0.000146851-0j 0.120225-0j -0.123452-0j 0.000150791-0j 0.000293196-0j -0.00279765-0j 0.00287273-0j -4.33224e-06-0j 4.44849e-06-0j 0.000523906-0j -0.000537965-0j 0.000844729-0j -0.000867397-0j -1.37583e-05-0j 2.6213e-07-0j 1.41275e-05-0j -2.5528e-07-0j -3.46579e-05-0j 3.55879e-05-0j 
-0.00575843-0j -0.143467-0j -0.00209415-0j 0.00143438-0j -6.30533e-06-0j -8.48739e-05-0j -0.668411-0j -0.00103505-0j -6.17794e-05-0j -0.000831591-0j 0.00022053-0j -0.0103305-0j 0.0104333-0j 5.39007e-05-0j -0.000293196-0j -0.000150791-0j 0.123452-0j -0.12468-0j 0.000152292-0j 0.000296115-0j -0.00287273-0j 0.00290132-0j -4.44849e-06-0j 4.49277e-06-0j 0.000537965-0j -0.00054332-0j 0.000867397-0j -0.000876031-0j -1.41275e-05-0j 2.64739e-07-0j 1.42681e-05-0j -2.6213e-07-0j -3.55879e-05-0j 3.59422e-05-0j 
0.000849149-0j 0.01029-0j -5.20055e-07-0j 7.10479e-05-0j 0.00836316-0j 0.00121199-0j 0.00105445-0j -0.702888-0j -0.00042363-0j -6.13924e-05-0j -3.37048e-08-0j 0.0701454-0j -0.0720277-0j -0.000380435-0j -8.55256e-05-0j -3.54514e-06-0j -6.07547e-05-0j 6.2385e-05-0j 3.64028e-06-0j 8.78206e-05-0j 4.33224e-06-0j -4.44849e-06-0j -0.00288783-0j 0.00296532-0j 3.79658e-05-0j -3.89846e-05-0j -0.00585246-0j 0.0060095-0j 1.37319e-09-0j 0.000527832-0j -1.41003e-09-0j -0.000514038-0j 0.000240117-0j -0.000246561-0j 
-0.000857948-0j -0.0103966-0j 5.25444e-07-0j 6.97406e-05-0j -0.00844983-0j 0.00118969-0j 0.00103505-0j -0.689956-0j 0.00042802-0j -6.02628e-05-0j -3.30847e-08-0j 0.0720277-0j -0.0727446-0j -0.000373435-0j -8.78206e-05-0j -3.64028e-06-0j -6.2385e-05-0j 6.30059e-05-0j 3.67651e-06-0j 8.86948e-05-0j 4.44849e-06-0j -4.49277e-06-0j -0.00296532-0j 0.00299484-0j 3.89846e-05-0j -3.93727e-05-0j -0.0060095-0j 0.00606932-0j 1.41003e-09-0j 0.000533086-0j -1.42407e-09-0j -0.000527832-0j 0.000246561-0j -0.000249015-0j 
-0.173278-0j -0.000151231-0j -0.0202902-0j -0.651989-0j -0.000124478-0j -0.00252209-0j -0.00143438-0j 6.97406e-05-0j 6.30533e-06-0j 0.000127755-0j 0.00322771-0j 0.00104773-0j -0.00105816-0j -5.50122e-06-0j -0.0177369-0j 0.140571-0j -0.0040018-0j 0.00404163-0j -0.14197-0j 0.0179134-0j 0.00089845-0j -0.000907393-0j -4.36833e-05-0j 4.41181e-05-0j -8.26459e-05-0j 8.34685e-05-0j 3.02682e-07-0j -3.05694e-07-0j -0.000276565-0j 7.85309e-06-0j 0.000279318-0j -7.7757e-06-0j 3.63218e-06-0j -3.66833e-06-0j 
0.00103341-0j 0.0040904-0j 0.000122425-0j 0.000130149-0j -5.29538e-05-0j 0.000363002-0j 0.000847179-0j -6.13924e-05-0j 0.101634-0j -0.696706-0j 9.92833e-06-0j -0.000289809-0j 0.000297586-0j -0.000465936-0j -5.1773e-05-0j -8.67396e-06-0j -7.34734e-05-0j 7.5445e-05-0j 8.90672e-06-0j 5.31623e-05-0j 0.0993674-0j -0.102034-0j -0.00720085-0j 0.00739408-0j -0.0021995-0j 0.00225852-0j 2.45068e-05-0j -2.51645e-05-0j -4.8573e-07-0j -2.22425e-06-0j 4.98765e-07-0j 2.16612e-06-0j 0.000294082-0j -0.000301974-0j 
-0.00104412-0j -0.00413279-0j -0.000123694-0j 0.000127755-0j 5.35025e-05-0j 0.000356323-0j 0.000831591-0j -6.02628e-05-0j -0.102687-0j -0.683887-0j 9.74565e-06-0j -0.000297586-0j 0.000300548-0j -0.000457363-0j -5.31623e-05-0j -8.90672e-06-0j -7.5445e-05-0j 7.61959e-05-0j 8.99538e-06-0j 5.36915e-05-0j 0.102034-0j -0.103049-0j -0.00739408-0j 0.00746767-0j -0.00225852-0j 0.002281-0j 2.51645e-05-0j -2.5415e-05-0j -4.98765e-07-0j -2.24639e-06-0j 5.03729e-07-0j 2.22425e-06-0j 0.000301974-0j -0.000304979-0j 
0.00027405-0j -1.14182e-05-0j 0.219059-0j -0.00328821-0j 2.9072e-08-0j -1.01331e-06-0j 0.000224663-0j 3.37048e-08-0j 2.84846e-07-0j -9.92833e-06-0j -0.642569-0j 8.0899e-07-0j -8.30699e-07-0j 2.55802e-07-0j -1.37297e-05-0j -0.0155206-0j 0.00185629-0j -0.00190611-0j 0.0159371-0j 1.40981e-05-0j -0.000134523-0j 0.000138133-0j -2.01816e-08-0j 2.07232e-08-0j 6.1398e-06-0j -6.30456e-06-0j -1.34544e-08-0j 1.38155e-08-0j 0.165875-0j 1.22113e-09-0j -0.170326-0j -1.18921e-09-0j -1.61453e-07-0j 1.65786e-07-0j 
-0.00027689-0j 1.15365e-05-0j -0.22133-0j -0.00322771-0j -2.93732e-08-0j -9.94661e-07-0j 0.00022053-0j 3.30847e-08-0j -2.87798e-07-0j -9.74565e-06-0j -0.630746-0j 8.30699e-07-0j -8.38967e-07-0j 2.51095e-07-0j -1.40981e-05-0j -0.0159371-0j 0.00190611-0j -0.00192508-0j 0.0160957-0j 1.42384e-05-0j -0.000138133-0j 0.000139508-0j -2.07232e-08-0j 2.09295e-08-0j 6.30456e-06-0j -6.36731e-06-0j -1.38155e-08-0j 1.3953e-08-0j 0.170326-0j 1.23328e-09-0j -0.172021-0j -1.22113e-09-0j -1.65786e-07-0j 1.67436e-07-0j 
6.69818e-05-0j 0.000535854-0j 3.94694e-06-0j 5.60434e-06-0j 0.000328142-0j 4.75544e-05-0j 5.49111e-05-0j 0.000380435-0j 0.00321513-0j 0.000465936-0j 2.55802e-07-0j -3.79658e-05-0j 3.89846e-05-0j -0.71218-0j -3.35574e-06-0j -2.79645e-07-0j -3.16382e-06-0j 3.24872e-06-0j 2.87149e-07-0j 3.44579e-06-0j -3.28794e-05-0j 3.37617e-05-0j -0.000227795-0j 0.000233908-0j 0.0710726-0j -0.0729798-0j -0.000151863-0j 0.000155939-0j -1.04217e-08-0j 1.37832e-05-0j 1.07014e-08-0j -1.3423e-05-0j -0.00182236-0j 0.00187126-0j 
-6.76759e-05-0j -0.000541407-0j -3.98784e-06-0j 5.50122e-06-0j -0.000331543-0j 4.66794e-05-0j 5.39007e-05-0j 0.000373435-0j -0.00324844-0j 0.000457363-0j 2.51095e-07-0j -3.89846e-05-0j 3.93727e-05-0j -0.699076-0j -3.44579e-06-0j -2.87149e-07-0j -3.24872e-06-0j 3.28106e-06-0j 2.90007e-07-0j 3.48009e-06-0j -3.37617e-05-0j 3.40977e-05-0j -0.000233908-0j 0.000236236-0j 0.0729798-0j -0.0737062-0j -0.000155939-0j 0.000157491-0j -1.07014e-08-0j 1.39203e-05-0j 1.08079e-08-0j -1.37832e-05-0j -0.00187126-0j 0.00188989-0j 
