-0.0846917-0.159318j 0.139524-0.0232779j -0.174002+0.0935876j 0.194205+0.0421833j -0.0713145-0.134934j 0.108589+0.0593958j 0.0212982+0.0890547j -0.244454+0.104497j 0.116419+0.0231069j -0.0272054-0.191789j -0.0169538+0.267596j -0.0365174+0.00655393j 0.0401451+0.0804368j -0.119752-0.124678j -0.238222+0.027833j -0.0708141+0.0215686j 0.0398458+0.201879j -0.163366-0.115771j 
0.0165534-0.0315895j 0.0406237+0.018157j -0.0357186+0.0424226j 0.0183781-0.000503486j 0.00593312+0.000630273j 0.00791653-0.0358248j -0.0217179-0.00158938j 0.00308419+0.0157682j -0.0220086-0.0087157j 0.00570719-0.00409713j -0.0381276+0.0304382j -0.00582284+0.00718788j -0.03204+0.0222938j 0.0235128+0.0211539j -0.0346544-0.0192498j -0.00423286-0.0105389j -0.0605191-0.0261422j 0.0154508-0.0432058j 
-0.0602003+0.0121969j -0.00175163-0.0794657j 0.0141074-0.0168048j -0.0515791-0.00101969j -0.0446228+0.0242482j -0.011211+0.123471j 0.0237368-0.00404312j -0.0385253-0.038962j 0.080461-0.0303598j 0.0287345-0.0217233j -0.00688263-0.00154696j 0.0376537-0.0441842j -0.0083843-0.0303351j 0.0328348-0.0755544j 0.04345+0.0393182j -0.00556559+0.0588529j 0.0762227+0.0432432j -0.0661691+0.0827158j 
0.0662202-0.00195149j -0.0111198+0.081501j -0.00379626+0.00544608j 0.00472783-0.0208978j -0.00225902-0.016855j 0.0122944-0.0604046j -0.0382256+0.0159553j -0.00483629+0.0194574j -0.0515762+0.0141463j -0.0323642+0.0104773j 0.00472676+0.00756283j -0.0383123+0.0105239j 0.0101175+0.0257394j -0.05997+0.0574624j -0.0325849-0.0325747j 0.00137422-0.0344515j -0.0454626-0.0240293j 0.0460474-0.0624515j 
-0.0386582+0.0325866j -0.0519463-0.0738808j 0.0406746-0.0522909j -0.0226313-0.00121984j 0.0025139+0.0238197j -0.0612951+0.0664654j 0.0367874-0.0195933j -0.0233034+0.00752695j 0.0320525+0.0150782j -0.00326118+0.023402j -0.0212137+0.00484444j 0.07426-0.0113608j 0.0162402-0.0265443j -0.00396083-0.0612046j 0.0185453-0.00720151j -0.0284845+0.042982j 0.058412+0.0334494j -0.0245494+0.0689292j 
0.0113006+0.00061972j -0.00509196+0.0387807j 0.019829+0.0206019j 0.012861+0.00195928j -0.00526146-0.00493345j -0.00139921-0.0252539j 0.0164401-0.00736884j -0.0107312+0.00524807j -0.026705-0.00169425j 0.0177343-0.00382734j -0.00467794-0.0160879j 0.0387828+0.00957687j 0.0402127+0.0248019j -0.0476212-0.0281058j 0.024107-0.026052j -0.013181-0.0239974j -0.00754779+0.00171129j 0.0207755-0.00321321j 
-0.0309196+0.0150657j 0.0122708-0.0478798j -0.00770843-0.0510837j 0.0416306+0.0157604j 0.0153194+0.000734482j -0.0139907+0.0119919j 0.0201615-0.0104376j 0.00387328+0.00112414j -0.00241404-0.0064492j -0.0252205-0.00562588j 0.022622-0.0165302j -0.00864315+0.0178005j -0.00142233-0.0472062j -0.0116682-0.0138767j 0.0135028+0.0106349j -0.00647418+0.00469037j 0.00164751-0.0138148j 0.0136776+0.0167461j 
0.0244935-0.0434867j 0.0575442+0.0152405j -0.00830082+0.00822761j -0.0193-0.0215292j -0.0168359+0.0025855j -0.024647-0.0452621j -0.0468787+0.0187906j 0.0470034-0.0253662j -0.0297793-0.0370038j 0.00872956-0.0181598j 0.0114086-0.0162155j -0.0767892+0.0524094j -0.0160185+0.00237692j 0.0117123-0.0100274j -0.00389957-0.0311389j 0.0405653-0.0176631j -0.0771429-0.0185315j 0.0233897-0.0289877j 
0.00892594+0.0291062j -0.0205677+0.00492987j 0.00816474+0.00645117j -0.0120276-0.0323847j -0.000754033+0.0197402j 0.0340452-0.0260623j 0.0174775-0.0165222j -0.00996751+0.0214936j -0.00412613+0.0177514j -0.00405044+0.0303468j 0.00868455-0.0614653j 0.0174923-0.0230187j 0.00482025+0.0180153j 0.0127119+0.0229762j 0.0168245-0.0203763j 0.000663118+0.00489936j 0.0198242-0.00624918j -0.0101217+0.0182023j 
0.0219898-0.0638805j 0.088071-0.0463904j -0.0525277+0.0168171j 0.00838149-0.0372738j 0.00220085-0.0144034j 0.00970235+0.00746108j -0.0202943+0.0349225j 0.0159323-0.00268916j -0.0101732+0.00173806j -0.0238023-0.0642447j 0.0190862-0.0117086j -0.0638806+0.00342619j -0.0256206-0.0421839j 0.00928983-0.0328862j 0.00340126-0.00483594j 0.0285958+0.00496033j -0.00676809+0.0398563j 0.007683+0.0121468j 
-0.067429-0.000255037j 0.0556836-0.103191j 0.0165306-0.0098994j -0.0416095-0.0245636j -0.0314686+0.0230985j -0.0756683+0.0800059j 0.00347203+0.0226341j 0.0118536-0.0361676j -0.00334005+0.033431j 0.0332241-0.0294241j 0.00410216-0.009565j -0.0104587+0.00103949j 0.00796268-0.0517965j 0.0236678+0.0375169j -0.0154377+0.00289122j 0.0328141+0.00672381j -0.0103341+0.0435534j -0.0120511+0.0135261j 
-0.101233+0.0641962j -0.0311513-0.0599559j 0.033637-0.016326j -0.0294961+0.0109334j -0.0136851-0.000163051j -0.0706168+0.0563164j 0.0583091-0.0132837j -0.0352707+0.0298884j -0.00147115-0.00401565j 0.0649157+0.0552493j -0.00431117-0.0069213j 0.0386439-0.0644236j 0.0542505+0.0325561j -0.0267224+0.00765582j 0.00997487-0.00723153j 0.0211117+0.0361865j -0.00073395-0.0390407j 0.00972652+0.0520025j 
