-0.301269+0.050357j 0.249148+0.0367282j 0.0159562+0.100938j -0.182539-0.00426826j 0.0955074-0.0845173j -0.595818-0.0127089j -0.36147+0.0235372j 0.211196+0.0219546j -0.0288476-0.0452852j -0.106598+0.0156402j 0.0894499-0.0109668j 0.0570445+0.0467764j -0.0562766+0.0304083j -0.0187453+0.00298908j 0.106716+0.0734682j 0.0552917+0.0167963j -0.0979578-0.0646769j 0.0524221+0.0591362j -0.0765345+0.063106j 0.022814+0.0373117j 0.00551172+0.0787809j 0.0643726+0.018226j -0.00566809-0.0262512j -0.0244724-0.00180109j 0.0254917-0.0459967j -0.00718601+0.0209883j 0.0448071+0.00683962j 0.0791687+0.0332886j -0.00710012+0.0493531j -0.00110278-0.0434941j -0.0998481-0.0465771j 0.0205855+0.0249234j -0.00858219-0.0189786j 0.0418869-0.0622638j -0.0110532+0.126611j -0.160263+0.0385412j 
0.0167458+0.0371195j 0.0439171+0.00612686j 0.0268803+0.0029201j -0.0416468+0.0199835j -0.0032329-0.0777497j -0.0220286-0.0765077j 0.0430849-0.00977135j -0.0784191-0.0225537j 0.0303602-0.0451971j -0.0644001+0.00617839j -0.00928214+0.0699135j -0.0460937-0.0104278j 0.159951-0.266211j -0.0249191+0.00583036j 0.0328717-0.034738j -0.107876-0.0248416j 0.0574824+0.0814032j 0.0549562-0.115219j 0.07539-0.120165j -0.132496-0.128498j -0.0535943+0.0584776j 0.0154634-0.0452751j -0.13922+0.0797705j 0.159513-0.0333576j -0.134265+0.0706713j -0.0517915-0.0746218j -0.0974441-0.0175j -0.183039-0.11712j 0.0995407-0.0803531j -0.0482795+0.00827592j 0.126879+0.203981j 0.0013027-0.0788747j 0.119864-0.0168899j -0.173595-0.0213353j -0.103758+0.0378488j 0.0141189-0.101267j 
-0.0130932+0.0322802j 0.00853529+0.0323468j -0.0100888-0.00169885j -0.0283659+0.0248823j -0.0493117-0.0901085j 0.016519-0.0210637j 0.00682342+0.0244347j -0.066474+0.0345039j 0.0406342+0.0169396j -0.0445208-0.0122433j -0.0158667+0.0509439j -0.0155258+0.0591513j -0.0186032-0.0242759j -0.0275062+0.036985j 0.023964-0.145339j 0.0284819-0.0416407j -0.0332932-0.0779898j 0.0710084+0.00398437j -0.0141496-0.0126798j -0.0173743+0.0622868j -0.0936121+0.104005j 0.0725755-0.0697623j -0.0016991+0.0433085j 0.0374344-0.0314133j -0.0305514-0.00858057j -0.0940323-0.02155j 0.0562872-0.0471948j -0.0373164+0.0590795j 0.0818921+0.0185019j -0.075634+0.0694063j 0.00788492+0.0199799j 0.0455034+0.0463118j 0.0941055-0.0208177j -0.0577085-0.0373417j -0.00984528+0.168766j -0.159746-0.0308534j 
-0.0297501-0.106797j -0.0977725+0.0236647j -0.0155205-0.0110809j 0.0539294-0.0709266j 0.0946375+0.0221851j 0.0509329-0.000598208j -0.0686884+0.0835742j 0.0210093-0.0207824j 0.0548719+0.0680518j -0.0457921-0.0246811j 0.023571-0.0650566j -0.0506124+0.0335207j 0.00429292+0.00487717j -0.0894025+0.0317263j 0.0667816-0.0250644j 0.0603003+0.0155523j -0.0492063-0.0154599j 0.0187562+0.0269363j 0.00191431-0.0124361j 0.0242139-0.000518743j -0.0764916+0.0279275j -0.0204479-0.0200033j 0.0986163-0.0491204j -0.100959-0.135528j -0.0306541-0.176765j 0.09262+0.0141343j 0.0781286+0.00202072j -0.0589577+0.00810358j 0.0809648+0.0180554j 0.154444-0.00445307j -0.0629017+0.0238995j 0.0159375+0.0590864j 0.0355852-0.0347602j 0.0418349-0.0562981j -0.0416315-0.0495129j -0.00577981-0.0910765j 
0.0701355-0.0421696j -0.0614499-0.000630727j 0.0232295-0.0305416j 0.0796556+0.00325034j -0.118225+0.0636127j -0.023687+0.0163601j 0.0478187+0.0638725j 0.0662906+0.0920041j 0.121425-0.0529336j -0.128166-0.0468164j -0.020994-0.0421048j 0.0107648+0.0727078j -0.0430798+0.0986601j 0.0639822+0.147459j -0.0570228-0.0378666j 0.0173875-0.0722444j -0.0541761-0.0114156j 0.0572215-0.00126144j -0.00422849-0.100618j -0.00264191+0.00485569j -0.0672464-0.0012649j -0.098843-0.0952888j 0.0724768-0.212528j -0.0472498-0.038607j -0.0387575+0.0655074j -0.0143238+0.108664j -0.12121+0.0980311j -0.0393025+0.108897j -0.190462-0.102823j 0.0271353+0.0127079j -0.0520043+0.0698727j 0.110467-0.00732729j 0.138769+0.0640235j -0.0735237+0.052015j -0.0176949+0.112708j -0.0897989+0.0205665j 
-0.0378734+0.00188925j -0.00185877+0.00249892j 0.00219749-0.00205245j -0.0293905-0.00691846j 0.0628811-0.0382493j -0.0171326-0.0284577j 0.0505113-0.00119805j -0.020288-0.0343486j -0.0196161+0.00604144j 0.0685513-0.0191943j -0.0326174-0.0208076j 0.0297086-0.0650494j 0.040567-0.0913449j -0.0317591+0.0232215j 0.0178046-0.0465738j -0.0135697+0.0412029j 0.0747875+0.000890794j -0.0676291+0.0201327j 0.0537012+0.0211722j -0.0377381-0.0439835j -0.0569367+0.0119986j -0.0728587+0.0923163j -0.132854+0.137056j -0.0265071+0.0240606j 0.0758138-0.0415363j -0.0483802+0.166602j -0.119191-0.111726j 0.0841134-0.000745163j 0.194519+0.129862j 0.0435628+0.029006j 0.03145-0.0304998j 0.00885234-0.0306692j -0.0422613-0.0733638j 0.111696+0.0221228j 0.0425335+0.0512809j -0.0758567-0.00496265j 
0.0184051-0.00719482j -0.00834972-0.000841999j 0.00136285+0.0293227j 0.0579286+0.0114069j -0.0215055-0.00451191j -0.00337783+0.0256432j -0.0156184-0.00196917j -0.0321114+0.0384697j 0.0249224+0.0316613j -0.0689819-0.0257016j 0.00451243+0.00981713j -0.0264524+0.0361796j -0.0537825+0.05292j -0.0116593+0.00895803j 0.000989074-0.0643634j 0.0375042-0.0405722j -0.0756408-0.0353469j 0.0516844-0.0119068j -0.0539098-0.00991992j 0.0544548+0.0850184j -0.0643622+0.0381356j 0.161696+0.00655997j 0.0557112-0.00820391j 0.0827486-0.210349j -0.0295972-0.013814j 0.161043-0.369637j 0.250771+0.295091j -0.197812-0.0822897j -0.0980438-0.00351634j -0.0928791+0.00980354j 0.0870203-0.0106398j -0.214636+0.0528537j 0.0451121-0.031228j -0.00057103+0.0342698j 0.00884622+0.0486324j -0.0322332-0.0116445j 
-0.0673679+0.018891j 0.0656359+0.0586675j -0.0253666-0.00668217j -0.0853238-0.00717664j 0.00693564-0.0845143j 0.0108113-0.0354587j 0.0367933+0.0441767j -0.0269444-0.0262818j -0.0157558+0.0052051j -0.00472903+0.00229588j -0.0314939-0.010517j -0.0249035-0.0549662j 0.0371852-0.019035j -0.0432028+0.069258j -0.0490056-0.0990335j -0.0314589-0.0186948j -0.0579448+0.0174771j 0.0797201-0.048585j 0.0432435+0.0405236j -0.0395996+0.0248636j 0.115037+0.114462j -0.158319+0.0538665j -0.0443654-0.12654j -0.208712-0.0902115j -0.178184-0.0236369j 0.0451079-0.0965521j 0.156636-0.191509j -0.0771487+0.0463405j 0.0943817-0.109386j 0.0676921-0.123462j 0.184194+0.0659023j -0.0149311-0.0553756j -0.0381213-0.203711j -0.0954651+0.0854989j -0.00230632-0.164004j 0.0774261-0.0648707j 
-0.00337706-0.0017234j -0.00994132+0.0125612j -0.00141708+0.000606415j -0.0165253+0.0123145j 0.0151594+0.00638526j 0.0073282-0.0221466j -0.0145845-0.0176182j -0.00320149-0.00482072j 0.0114381-0.0374083j 0.0119243+0.00128336j 0.0118398-0.0138809j 0.110154-0.0674047j 0.0230362-0.0321397j 0.0166902-0.0791235j -0.0260627-0.0106862j -0.0485975-0.0289175j 0.0310662+0.0403448j 0.00572224-0.012156j -0.0592529+0.0350297j 0.00454596-0.11023j -0.0109908+0.0193524j 0.0587285-0.0921821j -0.00585835+0.013311j 0.115295-0.0402541j 0.0255036+0.0176386j 0.0125037-0.0221479j 0.0699498+0.103804j -0.0387537-0.0294678j -0.0454979+0.119783j -0.000232466+0.0656822j -0.094194+0.109911j 0.0235302+0.0225171j 0.107717+0.031599j -0.0654115-0.0265026j 0.0802553+0.0449501j 0.0503391+0.0795102j 
-0.0287818-0.01142j -0.00100211+0.0128034j 0.00314349-0.00501326j -0.0261707+0.00839428j 0.00529713+0.0247762j -0.0134095+0.015887j -0.0133995+0.0143433j -0.000738612-0.0278319j -0.00417757-0.0267566j -0.00751924+0.0141017j -0.00802181+0.0440669j 0.0132824+0.0288147j -0.0318229+0.0395242j 0.00705819-0.0148934j -0.0354032+0.149148j -0.0123339+0.0172236j -0.00437598-0.0465784j 0.0425725+0.00991967j 0.03097-0.0581148j -0.0376113+0.0104048j 0.138405-0.0643803j 0.00153398-0.1096j 0.143384-0.155843j 0.0190366-0.0408878j -0.0558057+0.109495j 0.0372857-0.0927603j 0.016892+0.0558586j -0.0489232+0.0478221j -0.202889-0.244225j -0.0575197-0.122289j -0.0657141+0.0928652j 0.0428922+0.0295172j -0.0168569+0.0938496j -0.192935+0.0164213j -0.00906114-0.14398j 0.127316+0.0395504j 
-0.0421791-0.0103863j -0.0298546+0.0384505j -0.0123961+0.00832148j -0.00188562-0.0442389j 0.0372606-0.0148011j 0.0292703-0.00547716j -0.0164536+0.0479071j -0.0119477-0.000224446j 0.0428734+0.0224274j -0.0750852-0.0102184j -0.0127899-0.0361748j 0.0190181-0.0308421j 0.001414+0.00299573j -0.0534358+0.00340162j -0.0368679-0.0319202j -0.013141-0.0320538j -0.0358535-0.0179107j 0.001863-0.0131549j -0.017425+0.0153142j -0.0545991-0.0165261j 0.00784955-0.00853664j 0.0109261-0.0124803j 0.00357634-0.0151813j -0.0226867-0.0333914j -0.027629-0.0183391j 0.0323555-0.0138084j 0.0179744+0.0240682j -0.0242073+0.00464146j 0.0234418-0.0161644j 0.032556-0.0368738j -0.0362276+0.0358359j 0.0105317+0.0208129j -0.00324488-0.00506213j -0.00214614-0.0372249j -0.034774-0.00061102j -0.0137721-0.0331597j 
-0.0380729+0.0275468j -0.00211457+0.0241411j -0.00800854-0.00779681j -0.0352972-0.00296162j 0.0147179-0.0133838j 0.0176662-0.0230125j -0.00414696+0.00520889j -0.0198853+0.000769154j 0.0331306+0.0255653j 0.0507946-0.0115252j 0.0141607-0.0187649j -0.0226405-0.0486391j 0.0138616-0.0439091j 0.00938981-0.00672961j -0.0273906-0.0434083j -0.0101234+0.0444259j 0.0581161+0.0425339j -0.0199494-0.00726357j 0.00189034+0.00953196j 0.0765539-0.0227183j -0.0103368-0.0254524j 0.0140099+0.00174401j -0.0191515+0.0575641j 0.0192616-0.0362228j -0.00271445+0.0203021j 0.0497919-0.0442122j 0.00218101+0.0299591j -0.0372883-0.0283708j 0.0452338+0.00805751j 0.000609723+0.0176449j 0.038667+0.0463734j -0.0387325-0.00547013j 0.0226165-0.0280593j -0.0263778+0.0264938j 0.00572234+0.0101625j -0.0164106-0.0171668j 
0.0131191-0.0169851j -0.0056559+0.00691984j 0.00457794-0.00779869j -0.00107653+0.0142106j -0.0385295-0.025157j 0.00832237-3.10367e-05j 0.0142269+0.0179048j -0.0140272+0.0601817j 0.1046+0.0190915j -0.0759315-0.0506383j 0.00832539-0.0183178j -0.0122217+0.0586965j -0.0199098-0.0294494j -0.0483329+0.0510271j -0.03525-0.051441j 0.0138503-0.0266771j -0.0466419-0.0139611j 0.0239463-0.0114723j -0.0159034-0.0744476j 0.0365531+0.0118591j -0.0803989-0.0242021j -0.0134529-0.08292j 0.00451109-0.0191861j 0.0116501-0.0309906j -0.0884592+0.0253339j 0.00331323+0.00300312j 0.0191644+0.0488198j -0.0555132+0.0025375j -0.017489-0.0180181j 0.00058189+0.0158496j 0.0300062+0.0656234j 0.0337184-0.0195246j 0.0808817+0.0510192j -0.0814193+0.0354946j 0.0393525+0.0807444j -0.104235+0.00188367j 
-0.00121507-0.0210474j -0.00385502+0.0116869j 0.0174807+0.00463082j -0.00308208+0.00182551j 0.0201481-0.0106784j 0.00358622+0.00653397j -0.00674558-0.0147758j -0.00580453-0.00596412j 0.0157313+0.00640583j -0.0185111-0.00396507j 0.00813973-0.0155685j 0.0203284-0.0139367j 0.0129252-0.0180367j -0.0157874+0.00292713j -0.0314744+0.0113076j 0.00641115+0.00139717j -0.00600387+0.0121779j -0.0053481-0.0130038j -0.00477989-0.00729594j -0.0201664-0.00758329j 0.0153561-0.00518296j -0.0147198-0.0298755j -0.0112634+0.0122645j -0.00650827-0.00340783j -0.0326745-0.000750362j -0.0260496-0.00758672j 0.0411141-0.00137415j -0.00567146-0.00726942j -0.00833735-0.000303613j 0.0224803-0.0139041j 0.0146273-0.0116337j -0.00196183-0.0102757j -0.0151924+0.0106927j 0.00244835-0.00901753j 0.00170186-0.0101178j 0.00515944+0.00116176j 
-0.0256765-0.0143527j -0.00233761-0.00707543j 0.00703905-0.00616198j -0.0152955+0.00555323j 0.00684284-0.0153305j -0.0200221-0.00901389j 0.0324897+0.0132243j 0.00820844+0.00493101j 0.00826409-0.0143226j -0.00053618+0.00243204j -0.0150516-0.0100858j 0.0300115+0.00173154j -0.00016418-0.00207713j 0.00171676-0.0087686j 0.0046101-0.00473854j -0.029387-0.000979812j 0.00579727-0.00145569j -0.0228445-0.00122969j 0.00872716-0.0114832j 0.0157642-0.0388114j 0.0265574+0.0134779j 0.00812664+0.025602j -0.0214535+0.0238135j -0.00810977+0.0335015j 0.00496635+0.00815901j 0.0113987+0.01518j -0.013985-0.0243276j 0.0231762+0.0190481j 0.00149927+0.0101615j -0.00386061-0.0041684j -0.00276805-0.00179315j 0.0141221-0.00736139j -0.00533558-0.0252188j -0.000893254+0.0124507j -0.00422767+0.00620808j -0.00831954-0.00198397j 
0.00977756+0.0365753j 0.00471098+0.0170534j 0.00170425-0.00302369j -0.00470055+0.00737391j -0.0108829+0.0166764j 0.00266309+0.00304566j -0.000518935-0.0135584j -0.00504418+0.00728284j -0.0389283+0.00730909j -0.000679541+0.00264652j 0.0189653+0.0204818j -0.0279934+0.0096738j -0.0290634+0.000643899j 0.00193014-0.0252188j 0.0099046+0.00883092j -0.00671122+0.00037208j -0.023776-0.0197234j -0.00277836-0.00896873j -0.018943+0.0135453j -0.0224512-0.00354679j -0.0116173+0.00800986j -0.0421513+0.00423249j -0.0147955-0.0418293j -0.0122588-0.015471j 0.0100285+0.0232349j -0.003481-0.0062795j 0.00138937+0.00990163j 0.0134446-0.0167166j -0.000344181+0.00261766j -0.0124695-0.0107037j 0.0169629+0.0172326j -0.0112811-0.0135426j 0.00404759-0.0163796j 0.000514546+0.0210704j 0.010023+0.00283203j -0.00386252+0.0117277j 
-0.0168035+0.0139902j 0.0277061+0.00310752j -0.00781929+0.0167238j -0.00546279-0.0156911j 0.0219458-0.0295619j -0.0368103+0.00114609j -0.0124867+0.00941692j -0.00661391+0.0225896j 0.00941574-0.0081515j 0.017104-0.00867077j 0.01449+0.00420299j -0.0119249+0.00654566j -0.0228664-0.03066j -0.0064448-0.00030749j 0.00381924+0.0213162j -0.0188047+0.0199821j 0.0132858+0.0111456j 0.0123485+0.00302328j -0.00118132+0.000770113j 0.0135271-0.029171j -0.00786822-0.0052589j -0.0720505-0.038478j -0.00584386-0.0257166j -0.0287845-0.00893708j -0.00499216+0.0267204j -0.0613003+0.0471211j -0.019267-0.0241959j 0.0172358-0.0053292j -0.00029352-0.0129684j 0.0162537+0.00201807j 0.00833484+0.0235193j 0.026779-0.0172279j 0.0176895+0.0156201j -0.0225741+0.00429441j -0.0119135+0.028718j -0.0305085-0.00497579j 
-0.0332382+0.0334383j 0.0244617+0.0446228j 0.00207578+0.0107619j -0.0549238+0.0196559j -0.0079349-0.1083j 0.00585436-0.0572766j 0.0104074+0.0115426j -0.107079+0.00857101j 0.0168064+0.0195235j 0.0429327+0.0284807j 0.0250743+0.00992221j -0.00379378+0.0408263j -0.00547001-0.0821459j -0.0705351-0.0272239j 0.0587431-0.0625301j 0.000894346-0.00808988j -0.000445767+0.0110493j 0.0186474-0.0150456j -0.0141897+0.021615j -0.0152517-0.0285975j -0.116946+0.0284457j 0.0327283+0.000692899j -0.0180494+0.0234605j 0.0407435-0.00554235j -0.0072243-0.0356468j -0.00544502-0.0316055j 0.024058-0.00533557j -0.0585865-0.0391234j 0.146629+0.0532113j 0.0277021+0.055805j 0.065643+0.0357248j -0.0181997-0.00407406j 0.0525231-0.0185642j -0.0286845+0.00107761j 0.0415664+0.112277j -0.1298-0.0161495j 
-0.0373563-0.017427j 0.0135142+0.036699j 0.00310798-0.00026852j 0.0143361-0.0252396j 0.028789-0.0340911j 0.0156287-0.0136446j 0.00528736+0.0288567j 0.0438654-0.0234259j 0.00231498-0.0137172j -0.0328907+0.00368088j -0.018259+0.019955j -0.0194443-0.033627j 0.0298884-0.0275848j -0.00430311+0.00497063j -0.0353957-0.0402079j -0.0211873+0.00927384j -0.0248189-0.000114738j 0.0315147-0.00372959j 0.00610862+0.02308j -0.038863-0.0380888j 0.0596841+0.016408j -0.0420745+0.000160432j 0.0237604+0.00737672j -0.0521849-0.0453378j -0.0383012-0.0322863j 0.00101322-0.0136676j 0.041618-0.075985j -0.0186926-0.0140862j 0.00519024-0.000385967j 0.0207656+2.17938e-05j 0.0352316+0.0420976j 0.00253336-0.0183295j -0.0470349-0.105604j -0.0669405+0.00385672j 0.0269121+0.028665j 0.0036627+0.0196325j 
