-0.448006-0j -0.045438-0j -0.0459089-0j -0.0260693-0j -0.00376278-0j -0.0322591-0j -0.0188178-0j -0.00465621-0j -0.00271612-0j -0.0183183-0j -0.00323826-0j -0.0213714-0j -0.000269855-0j -0.0130873-0j -0.0187-0j -0.00377796-0j -0.00231352-0j -0.00771334-0j -0.00031483-0j -0.00330572-0j -0.000192793-0j -0.00136354-0j -0.000275477-0j -0.000113628-0j 0.0571671-0j 0.00952785-0j -0.0159282-0j 0.00583459-0j 0.00119098-0j -0.0130053-0j 7.01793e-05-0j -0.00265469-0j -0.0131401-0j -0.0113796-0j -0.00162566-0j -0.00216755-0j -0.00938771-0j -0.000331836-0j -0.00132735-0j -0.00219001-0j -0.00299942-0j -1.95537e-05-0j -0.0013411-0j -0.0018966-0j -0.000270943-0j -0.00116143-0j -0.00156462-0j -0.000273751-0j -1.59655e-05-0j -0.000237075-0j -0.000958129-0j -0.000499903-0j -1.61309e-05-0j -0.000195577-0j -0.000306127-0j -1.39698e-05-0j -6.24879e-05-0j -1.15245e-05-0j -3.68213e-06-0j 
-0.0503833-0j -0.248799-0j 0.251276-0j 0.00301769-0j -0.0416424-0j -0.0036279-0j 0.0019949-0j 0.0500629-0j -0.0275285-0j -0.00639977-0j 0.0535148-0j -0.00240345-0j 0.0135673-0j 0.00151493-0j -0.00216377-0j 0.0200976-0j -0.0126679-0j 0.00426318-0j 0.00509522-0j 0.0180934-0j -0.0032116-0j -0.0356486-0j 0.0045871-0j -0.00903776-0j 0.00163222-0j -0.012868-0j 0.00540631-0j 0.000166588-0j -0.00325101-0j 0.00150545-0j -0.000385139-0j -0.042622-0j -0.00152043-0j -0.00127977-0j 0.000551779-0j -0.0118686-0j 0.000995203-0j -0.0107681-0j 0.000153649-0j 0.0119867-0j 0.00367237-0j -0.00127567-0j -0.000155178-0j 0.0100894-0j -0.00299851-0j -0.000130616-0j -0.00784594-0j 0.00302835-0j -0.000355225-0j 0.002549-0j 0.000101572-0j -0.0289521-0j 0.000358761-0j -0.00198222-0j 0.00037481-0j 0.000301974-0j -0.00731453-0j -0.000234828-0j -0.000866534-0j 
0.000852354-0j 0.28268-0j 0.282003-0j -0.00695058-0j 0.0959139-0j -6.03902e-05-0j -0.00492313-0j 0.000833349-0j 0.0679363-0j 0.0024485-0j -0.0204744-0j -8.11047e-05-0j -0.00519073-0j -0.00519177-0j 0.00238941-0j 0.000678197-0j 0.0434135-0j -0.00303429-0j 0.000171939-0j -0.0199802-0j 0.0110063-0j 0.0253727-0j -0.00506544-0j 0.00643258-0j 0.00188472-0j -0.0148587-0j 3.03041e-05-0j 0.000192359-0j -0.00375394-0j 0.00341184-0j -0.00044472-0j -0.00023891-0j 0.00340366-0j -6.42564e-05-0j 3.0929e-06-0j -0.0268981-0j 0.00241662-0j -6.0359e-05-0j 0.000348219-0j -0.0268336-0j -0.00157513-0j -7.15057e-06-0j 0.000347384-0j 0.000506582-0j -0.0067956-0j -6.55814e-06-0j -0.019052-0j -0.00677931-0j -0.000805058-0j 0.000127984-0j 0.000246645-0j 0.0124179-0j -0.000803128-0j -0.00481336-0j -0.000160761-0j 1.5162e-05-0j 0.00313729-0j -0.000570226-0j 0.000371667-0j 
0.0211716-0j 0.502971-0j -0.102624-0j 0.00123197-0j -0.0170004-0j -0.00754905-0j 0.000889282-0j 0.104172-0j -0.0122716-0j 0.000865677-0j -0.00723878-0j 0.00100996-0j -0.0018352-0j 0.00786248-0j -0.00437603-0j -0.00844524-0j -0.065746-0j 0.000364513-0j -0.00214107-0j 0.0365923-0j -0.0166681-0j -0.00304805-0j 0.00927701-0j -0.000772752-0j 0.000666351-0j -0.00525335-0j 0.000752723-0j 6.80091e-05-0j -0.00132722-0j -0.0030434-0j -0.000157232-0j -0.00593429-0j 0.000620965-0j 0.00683658-0j 7.68245e-05-0j 0.0239934-0j -0.00219684-0j -0.00149925-0j -0.000310616-0j -0.00489554-0j 0.000141745-0j -0.000177613-0j 6.3377e-05-0j -0.0538979-0j 0.00606177-0j 0.000697756-0j 0.0173194-0j -0.00123682-0j 0.000718122-0j -0.0136169-0j -0.000224214-0j -0.00111748-0j -0.000146523-0j 0.00437561-0j 1.44668e-05-0j -0.00161316-0j -0.000282323-0j 0.000518368-0j -3.34461e-05-0j 
0.0683711-0j 0.167585-0j 0.155067-0j 0.00405451-0j -0.0559498-0j 0.00492313-0j -0.00568103-0j -0.0679363-0j 0.0783948-0j -0.00142829-0j 0.0119434-0j -0.00650576-0j 0.00302793-0j -0.00102042-0j -0.0013353-0j 0.0544011-0j 0.00853276-0j -0.000699796-0j 0.013792-0j 0.0111658-0j 0.00216326-0j 0.00585168-0j 0.00283078-0j 0.00148354-0j -0.00109942-0j 0.00866758-0j 0.00243083-0j -0.000112209-0j 0.0021898-0j 0.00202268-0j 0.00025942-0j -0.0191641-0j 0.0018716-0j 0.00173667-0j 0.000248095-0j -0.0159463-0j -0.00283411-0j -0.00484166-0j 0.000206439-0j -0.0147552-0j 0.00303012-0j -0.000573579-0j 0.000191019-0j -0.0136915-0j -0.00402873-0j 0.000177248-0j 0.0223434-0j -0.00372779-0j -0.000477273-0j -0.00345905-0j -0.000289255-0j -0.0238887-0j -0.000441622-0j 0.0056449-0j 0.00030926-0j -0.000409784-0j -0.00603531-0j 0.000668738-0j -0.000714988-0j 
0.0359955-0j -0.52755-0j -0.17952-0j -0.00215595-0j 0.0297508-0j -0.00769254-0j -0.00142523-0j 0.106153-0j 0.0196673-0j -0.00151493-0j 0.0126679-0j 0.00171711-0j 0.0032116-0j -0.00101343-0j -0.00458801-0j -0.0143584-0j 0.00847431-0j -0.00304576-0j -0.0036402-0j 0.0383649-0j 0.00214843-0j 0.0254686-0j 0.0097264-0j 0.00645689-0j -0.00116611-0j 0.00919336-0j 0.00127977-0j -0.000119016-0j 0.00232263-0j 0.00319212-0j 0.000275156-0j -0.0100894-0j 0.00108625-0j 0.000856113-0j 0.000130616-0j -0.0251659-0j 0.00211021-0j -0.002549-0j 0.000325795-0j -0.00856372-0j -0.00262367-0j -0.000301974-0j 0.000110865-0j -0.00674939-0j -0.00635798-0j 8.73767e-05-0j -0.0166364-0j -0.00216356-0j -0.000753214-0j -0.00170518-0j 0.000215373-0j 0.0206844-0j -0.000256311-0j -0.00420306-0j -0.000267777-0j -0.000202009-0j 0.00522575-0j -0.000497926-0j 0.000619082-0j 
-0.0636075-0j 0.102025-0j -0.500208-0j 0.00125763-0j -0.0173546-0j 0.00450666-0j 0.00105631-0j -0.0621892-0j -0.0145764-0j 0.000883712-0j -0.00738959-0j -0.00303429-0j -0.00187343-0j -0.00187381-0j -0.00423826-0j 0.0253727-0j 0.0156688-0j -0.00524805-0j 0.00643258-0j 0.0354403-0j 0.0039724-0j 0.0438841-0j 0.00898494-0j 0.0111257-0j 0.000680233-0j -0.00536279-0j -0.00226147-0j 6.9426e-05-0j -0.00135487-0j -0.000617336-0j -0.000160508-0j 0.0178288-0j 0.00302668-0j 0.00479517-0j -0.00023081-0j 0.00486692-0j -0.000518511-0j 0.00450432-0j -6.30066e-05-0j -0.0238616-0j -0.00270465-0j 0.000533616-0j 0.00030891-0j -0.037804-0j 0.00122959-0j 0.000489405-0j 0.00408782-0j -0.00602847-0j 0.000145667-0j -0.00955089-0j -5.29203e-05-0j 0.0213228-0j -0.000714177-0j 0.00103276-0j -0.000276042-0j -0.00113147-0j 0.00538704-0j 0.000122348-0j 0.000638189-0j 
0.0277095-0j 0.0270496-0j 0.500761-0j -0.000328085-0j 0.00452738-0j 0.00199525-0j 0.0104762-0j -0.0275333-0j -0.144565-0j -0.000230538-0j 0.00192776-0j 0.00132184-0j 0.000488731-0j -0.000164704-0j -0.00431212-0j -0.0110532-0j 0.00137726-0j -0.00314488-0j -0.00280224-0j 0.0360579-0j 0.000349167-0j 0.0262975-0j 0.00914151-0j 0.00666702-0j -0.000177455-0j 0.00139902-0j 0.000985167-0j -1.81115e-05-0j 0.000353451-0j -0.000163673-0j 4.18724e-05-0j -0.00776682-0j -0.00303003-0j 0.000703837-0j 0.000100548-0j 0.00129036-0j 0.00522628-0j -0.00196223-0j -1.67048e-05-0j 0.023888-0j -0.0053961-0j -0.00023246-0j -0.000309251-0j -0.00554888-0j 0.000325999-0j 7.18351e-05-0j -0.0412027-0j 0.00603513-0j 3.86203e-05-0j -0.00140188-0j 0.000533405-0j 0.0425416-0j 0.000714966-0j -0.0104096-0j -0.000550738-0j -0.000166078-0j 0.0107478-0j -0.00123319-0j 0.00127327-0j 
0.0381616-0j 0.00387046-0j 0.00391056-0j -0.213654-0j 0.000320518-0j -0.264383-0j -0.154224-0j 0.00039662-0j 0.000231362-0j 0.00156037-0j -0.0265395-0j 0.00182044-0j 2.29865e-05-0j 0.00111479-0j 0.00159288-0j -0.0309627-0j -0.0189607-0j 0.000657031-0j 2.68176e-05-0j -0.0270924-0j 1.64223e-05-0j -0.011175-0j 2.34654e-05-0j 9.67897e-06-0j 0.00120109-0j 0.000200182-0j 0.00135678-0j -0.0237115-0j -0.00240754-0j 0.0011078-0j 1.47448e-06-0j 0.000226129-0j 0.00111928-0j 0.000969328-0j -0.026785-0j 0.000184634-0j 0.000799655-0j -0.0027196-0j -0.0218699-0j 0.000186547-0j 0.000255494-0j 1.6656e-06-0j -0.0220965-0j 0.000161555-0j -0.00222054-0j -0.0191361-0j 0.000133276-0j -0.00224356-0j 1.35996e-06-0j -0.00194298-0j -0.0157865-0j 4.25823e-05-0j 1.37405e-06-0j -0.00160287-0j -0.00504387-0j 1.18996e-06-0j -0.000512126-0j 9.81669e-07-0j 3.13648e-07-0j 
-0.00550815-0j 0.05341-0j 0.0539635-0j -0.000320518-0j -0.206982-0j -0.00039662-0j -0.000231362-0j -0.256128-0j -0.149408-0j -0.000225221-0j 0.0038064-0j -0.000262757-0j -0.0454872-0j -0.000160905-0j -0.000229913-0j 0.0044408-0j 0.00271942-0j -9.48342e-05-0j -0.0530684-0j 0.0038857-0j -0.0324976-0j 0.00160277-0j -0.0464349-0j -0.0191534-0j -0.000173363-0j 0.00276239-0j -0.000195834-0j -1.76937e-05-0j -0.0161591-0j -0.000159898-0j -0.0058765-0j 0.00312045-0j -0.000161555-0j -0.00013991-0j -1.99872e-05-0j 0.00254784-0j -0.00011542-0j -0.0182536-0j -1.63195e-05-0j 0.00257424-0j -3.68773e-05-0j -0.00663821-0j -1.64886e-05-0j 0.00222936-0j -0.014904-0j -1.42795e-05-0j 0.00183913-0j -0.0150584-0j -0.00542008-0j -0.013041-0j -1.178e-05-0j 0.00058761-0j -0.00547625-0j -0.0107583-0j -3.76377e-06-0j -0.00474257-0j -0.00343732-0j -0.00391242-0j -0.00125004-0j 
-0.000592787-0j -0.00422389-0j 0.00414617-0j 0.233164-0j -0.000349786-0j 0.00410683-0j -0.329427-0j -6.16095e-06-0j 0.000494197-0j -0.00170286-0j 0.028963-0j -2.8278e-05-0j -2.50855e-05-0j -0.00121658-0j 0.00168885-0j 0.000480963-0j 0.0206921-0j 0.00211026-0j -4.16574e-07-0j -0.0287247-0j -1.7922e-05-0j -0.0358921-0j 2.48792e-05-0j 3.10871e-05-0j -0.00131077-0j -0.000218462-0j -2.10756e-05-0j 0.0258768-0j 0.00262738-0j -0.00120896-0j -1.60912e-06-0j -3.51261e-06-0j 0.00118672-0j -1.50572e-05-0j 0.000416068-0j -0.000201494-0j 0.00170809-0j 4.22452e-05-0j 0.023867-0j 0.000197787-0j 0.00109545-0j -2.58728e-08-0j -0.0234278-0j -2.50953e-06-0j 0.00242332-0j 0.000297253-0j 0.000284681-0j -0.00237873-0j -1.48414e-06-0j 3.01815e-05-0j -0.0337205-0j 0.000182576-0j 1.45684e-06-0j -0.00342379-0j -0.0216261-0j -1.84844e-08-0j -0.00219579-0j 2.09688e-06-0j 1.3448e-06-0j 
8.55615e-05-0j -0.0582872-0j 0.0572147-0j 0.000349786-0j 0.225883-0j 6.16095e-06-0j -0.000494197-0j 0.00397859-0j -0.31914-0j 0.000245787-0j -0.00415399-0j 4.08157e-06-0j 0.049641-0j 0.000175599-0j -0.000243765-0j -6.89817e-05-0j -0.00296775-0j -0.00030459-0j 0.000824345-0j 0.00411981-0j 0.0354652-0j 0.0051478-0j -0.0492326-0j -0.0615172-0j 0.000189193-0j -0.00301464-0j 3.04201e-06-0j 1.93095e-05-0j 0.0176346-0j 0.000174499-0j 0.00641312-0j -4.84719e-05-0j -0.000171288-0j 2.17331e-06-0j 3.10474e-07-0j -0.0027805-0j -0.000246541-0j 0.000283544-0j 1.78097e-05-0j 0.00272934-0j -0.000158115-0j 0.000103115-0j -1.7482e-05-0j -3.463e-05-0j 0.016265-0j 2.21813e-07-0j 0.00392843-0j -0.0159657-0j 0.00591502-0j 0.000202574-0j -2.51625e-05-0j 0.00251943-0j -0.00580619-0j -0.02298-0j -1.61376e-05-0j 7.36693e-05-0j -0.0147378-0j -0.00835706-0j -0.00535966-0j 
-0.0322591-0j 0.00321933-0j -0.00330572-0j 0.180608-0j -0.000270943-0j -0.219906-0j 0.13037-0j 0.000329897-0j -0.000195577-0j -0.00131903-0j 0.0224346-0j -0.00153887-0j -1.94312e-05-0j 0.00279685-0j 0.00132491-0j 0.0261737-0j -0.04757-0j -0.000555408-0j -2.26697e-05-0j -0.0225346-0j 4.12015e-05-0j 0.00944659-0j 1.95178e-05-0j -8.18193e-06-0j 0.00411638-0j 0.000686063-0j -0.00114692-0j -0.0812642-0j -0.00825111-0j 0.000921438-0j 5.05333e-06-0j -0.000191154-0j -0.000946164-0j 0.00243192-0j 0.0226422-0j 0.000153573-0j 0.000665129-0j 0.00229896-0j -0.0181907-0j -0.000157694-0j -0.000215976-0j -1.40798e-06-0j 0.0186788-0j 0.00040532-0j -0.00184698-0j -0.0480101-0j 0.000110855-0j 0.00189655-0j 1.13117e-06-0j -0.00487468-0j -0.0131307-0j -3.59961e-05-0j -1.16153e-06-0j -0.00133322-0j 0.00426373-0j 2.98546e-06-0j 0.000432916-0j 8.16523e-07-0j -2.65136e-07-0j 
-0.0316656-0j 0.00330572-0j -0.00333862-0j -0.18248-0j 0.000273751-0j 0.219379-0j -0.120632-0j -0.000329106-0j 0.000180968-0j 0.0013327-0j -0.0226671-0j -0.00151056-0j 1.96325e-05-0j 0.000952128-0j -0.00135991-0j 0.0256921-0j -0.0161942-0j 0.00267938-0j -2.22526e-05-0j 0.02313-0j 1.40262e-05-0j -0.045572-0j -2.00334e-05-0j 3.9471e-05-0j -0.00415904-0j -0.000693173-0j -0.00112582-0j 0.0821063-0j 0.00833662-0j 0.000946164-0j -5.1057e-06-0j -0.000187637-0j -0.000955582-0j -0.000804325-0j 0.0222256-0j 0.000157694-0j 0.000625479-0j 0.00225666-0j -0.0186788-0j -0.000159264-0j 0.00230806-0j -1.38208e-06-0j 0.0188648-0j -0.000134054-0j -0.00189655-0j 0.0158787-0j 0.000104247-0j 0.00191542-0j 1.16153e-06-0j 0.00161224-0j -0.012348-0j 0.000384677-0j -1.17309e-06-0j -0.00125375-0j -0.045565-0j -9.87403e-07-0j -0.00462642-0j 7.67848e-07-0j 2.83342e-06-0j 
