0.020675-0j 0.0231154-0j 0.00871736-0j -0.0445837-0j 0.0141552-0j -0.0528698-0j -0.0610488-0j -0.0591103-0j 0.0193828-0j -0.072395-0j -0.014561-0j 0.00304356-0j -0.0229381-0j -0.0626959-0j 0.00192492-0j 0.0011478-0j 0.00181483-0j -0.0136776-0j -0.0086505-0j -0.0145073-0j 0.0026358-0j -0.019865-0j 0.00255211-0j -0.0192342-0j 0.00322819-0j -0.0243295-0j 0.0017014-0j -0.0128228-0j 0.00030608-0j -0.00810984-0j -0.0023068-0j 0.00107606-0j 0.00285334-0j -0.0215045-0j 
-5.12153e-05-0j 3.65399e-06-0j -6.75388e-05-0j 0.00120433-0j 3.95399e-05-0j -4.41591e-05-0j 0.000799055-0j -0.000872424-0j 5.41422e-05-0j -6.04673e-05-0j 0.000798829-0j 4.81114e-07-0j 0.000547447-0j -0.000925346-0j -4.76832e-06-0j -8.89271e-06-0j -9.27812e-06-0j -0.0105573-0j -0.0101188-0j -0.00542574-0j -6.5293e-06-0j -0.0074295-0j 7.12882e-06-0j 0.00811168-0j 5.10299e-07-0j 0.000580655-0j 4.75254e-06-0j 0.00540779-0j -3.98457e-06-0j 0.00342019-0j -0.00453394-0j 3.00577e-06-0j 7.97026e-06-0j 0.00906914-0j 
0.00279352-0j 0.00278761-0j -0.0048994-0j 0.00412069-0j -0.00192492-0j -0.00637585-0j -0.00824864-0j 0.00803819-0j -0.0026358-0j -0.00873049-0j 0.0185462-0j -0.0107834-0j -0.00276622-0j 0.00852579-0j -0.00764117-0j 0.0189525-0j 0.00492801-0j 0.00126417-0j 0.00486183-0j -0.00196016-0j -0.0104631-0j -0.00268406-0j 0.0101962-0j 0.00261559-0j -0.0114375-0j -0.00293402-0j 0.00679744-0j 0.00174372-0j 0.0200299-0j 0.00110283-0j 0.00513821-0j 0.00429908-0j 0.0113997-0j 0.00292432-0j 
-0.00244651-0j 0.00304356-0j 0.0011478-0j 0.00527567-0j -0.00521382-0j 0.0194736-0j -0.00803819-0j 0.00699462-0j 0.00255211-0j -0.00953212-0j -0.00191722-0j 0.010581-0j 0.0027143-0j -0.00825506-0j 0.0208302-0j 0.00399034-0j -0.00702037-0j -0.00180091-0j 0.00102363-0j 0.00534351-0j -0.0101962-0j -0.00261559-0j 0.00887242-0j 0.00227601-0j -0.0124877-0j -0.00320343-0j -0.00658159-0j -0.00168835-0j -0.00118402-0j 0.00501457-0j -0.000303732-0j 0.019548-0j -0.0110377-0j -0.00283146-0j 
-0.00936974-0j -0.00934991-0j 0.0164331-0j 0.000980607-0j 0.00645637-0j -0.00151727-0j -0.00196294-0j 0.00191286-0j 0.00884075-0j -0.00207761-0j 0.00441348-0j 0.0361686-0j -0.000317865-0j 0.0020289-0j 0.0256293-0j -0.0635687-0j -0.0165291-0j 0.000145265-0j 0.00055867-0j -0.000225241-0j 0.0350943-0j -0.000308424-0j -0.034199-0j 0.000300556-0j 0.0383626-0j -0.000337147-0j -0.0227993-0j 0.00020037-0j -0.0671824-0j 0.000126725-0j 0.000590429-0j -0.0144196-0j -0.0382356-0j 0.000336031-0j 
-0.0118519-0j -0.0118268-0j 0.0207864-0j -0.0174826-0j 0.00816674-0j 0.0270504-0j 0.034996-0j -0.0341032-0j 0.0111828-0j 0.0370403-0j -0.078685-0j -0.00155722-0j 0.0117361-0j -0.0361719-0j -0.00110345-0j 0.00273691-0j 0.000711649-0j -0.00536341-0j -0.020627-0j 0.00831627-0j -0.00151096-0j 0.0113875-0j 0.00147242-0j -0.011097-0j -0.00165168-0j 0.012448-0j 0.000981611-0j -0.007398-0j 0.0028925-0j -0.0046789-0j -0.0217996-0j 0.000620825-0j 0.00164621-0j -0.0124068-0j 
0.00241926-0j 0.00241414-0j -0.00424301-0j 0.00739044-0j -0.00166703-0j -0.0114351-0j -0.0147939-0j 0.0144165-0j -0.00228267-0j -0.0156581-0j 0.0332626-0j 0.000317865-0j 0.0325263-0j 0.015291-0j 0.000225241-0j -0.00055867-0j -0.000145265-0j -0.0148646-0j -0.0571672-0j 0.0230484-0j 0.000308424-0j 0.0315603-0j -0.000300556-0j -0.0307551-0j 0.000337147-0j 0.0344994-0j -0.00020037-0j -0.0205034-0j -0.000590429-0j -0.0129675-0j -0.060417-0j -0.000126725-0j -0.000336031-0j -0.0343852-0j 
-0.000441694-0j -0.000440759-0j 0.000774664-0j -0.0013493-0j 0.000304356-0j 0.00208775-0j 0.00270098-0j -0.00263207-0j 0.000416757-0j 0.00285876-0j -0.00607289-0j 0.00346804-0j -0.00593847-0j -0.00279174-0j 0.00245747-0j -0.00609531-0j -0.0015849-0j 0.00271389-0j 0.0104373-0j -0.00420804-0j 0.00336503-0j -0.00576209-0j -0.00327918-0j 0.00561508-0j 0.00367841-0j -0.0062987-0j -0.00218612-0j 0.00374339-0j -0.00644181-0j 0.00236753-0j 0.0110306-0j -0.00138263-0j -0.00366624-0j 0.00627786-0j 
-0.000416433-0j -0.000415552-0j 0.00073036-0j -0.00192999-0j 0.00028695-0j 0.00298623-0j 0.00386339-0j -0.00376482-0j 0.000392922-0j 0.00408907-0j -0.00868643-0j -5.4715e-05-0j -0.0180477-0j -0.0039932-0j -3.87714e-05-0j 9.61653e-05-0j 2.50048e-05-0j 0.00824784-0j 0.0317201-0j -0.0127887-0j -5.30899e-05-0j -0.0175117-0j 5.17354e-05-0j 0.0170649-0j -5.8034e-05-0j -0.0191425-0j 3.44903e-05-0j 0.0113766-0j 0.000101632-0j 0.00719521-0j 0.0335233-0j 2.18136e-05-0j 5.7842e-05-0j 0.0190792-0j 
6.58438e-05-0j 6.57045e-05-0j -0.00011548-0j 0.000409175-0j -4.53708e-05-0j -0.000633108-0j -0.000819071-0j 0.000798175-0j -6.21265e-05-0j -0.000866918-0j 0.0018416-0j -0.000254167-0j 0.00583983-0j 0.000846592-0j -0.000180104-0j 0.000446715-0j 0.000116154-0j -0.00266881-0j -0.0102639-0j 0.00413814-0j -0.000246618-0j 0.00566638-0j 0.000240326-0j -0.00552182-0j -0.000269585-0j 0.00619408-0j 0.000160217-0j -0.00368121-0j 0.00047211-0j -0.0023282-0j -0.0108474-0j 0.00010133-0j 0.000268692-0j -0.00617358-0j 
0.00820585-0j -0.0102084-0j -0.00384984-0j 0.00125546-0j 0.0174877-0j 0.00463417-0j -0.00191286-0j 0.00166452-0j -0.00856002-0j -0.00226838-0j -0.000456244-0j -0.0354897-0j 0.000311899-0j -0.00196447-0j -0.0698667-0j -0.013384-0j 0.023547-0j -0.000206942-0j 0.000117625-0j 0.000614019-0j 0.034199-0j -0.000300556-0j -0.029759-0j 0.000261535-0j 0.041885-0j -0.000368104-0j 0.0220753-0j -0.000194008-0j 0.00397132-0j 0.000576222-0j -3.49017e-05-0j -0.0655658-0j 0.0370215-0j -0.000325361-0j 
0.0103797-0j -0.0129127-0j -0.0048697-0j -0.0223828-0j 0.0221204-0j -0.0826196-0j 0.0341032-0j -0.0296756-0j -0.0108277-0j 0.0404414-0j 0.00813408-0j 0.00152799-0j -0.0115158-0j 0.0350233-0j 0.00300807-0j 0.00057624-0j -0.0010138-0j 0.00764062-0j -0.00434289-0j -0.0226706-0j -0.00147242-0j 0.011097-0j 0.00128126-0j -0.0096563-0j -0.00180333-0j 0.013591-0j -0.00095044-0j 0.00716308-0j -0.000170983-0j -0.021275-0j 0.00128863-0j 0.0028229-0j -0.00159394-0j 0.0120129-0j 
-0.00211874-0j 0.0026358-0j 0.000994024-0j 0.00946189-0j -0.0045153-0j 0.0349259-0j -0.0144165-0j 0.0125448-0j 0.00221019-0j -0.0170958-0j -0.00343853-0j -0.000311899-0j -0.0319158-0j -0.0148054-0j -0.000614019-0j -0.000117625-0j 0.000206942-0j 0.0211758-0j -0.0120362-0j -0.062831-0j 0.000300556-0j 0.0307551-0j -0.000261535-0j -0.0267622-0j 0.000368104-0j 0.0376671-0j 0.000194008-0j 0.0198523-0j 3.49017e-05-0j -0.0589633-0j 0.0035714-0j -0.000576222-0j 0.000325361-0j 0.0332934-0j 
0.000386827-0j -0.00048123-0j -0.000181483-0j -0.0017275-0j 0.000824377-0j -0.00637656-0j 0.00263207-0j -0.00229036-0j -0.000403523-0j 0.00312125-0j 0.000627786-0j -0.00340295-0j 0.00582701-0j 0.00270309-0j -0.0066992-0j -0.00128333-0j 0.00225782-0j -0.00386616-0j 0.0021975-0j 0.0114713-0j 0.00327918-0j -0.00561508-0j -0.00285346-0j 0.00488609-0j 0.00401616-0j -0.00687705-0j 0.0021167-0j -0.00362452-0j 0.000380792-0j 0.0107652-0j -0.000652046-0j -0.00628681-0j 0.00354982-0j -0.00607851-0j 
0.000364704-0j -0.000453708-0j -0.000171104-0j -0.00247095-0j 0.00077723-0j -0.0091208-0j 0.00376482-0j -0.00327605-0j -0.000380445-0j 0.00446453-0j 0.000897962-0j 5.3688e-05-0j 0.017709-0j 0.0038664-0j 0.000105693-0j 2.0247e-05-0j -3.56214e-05-0j -0.0117497-0j 0.00667848-0j 0.0348628-0j -5.17354e-05-0j -0.0170649-0j 4.50188e-05-0j 0.0148494-0j -6.33627e-05-0j -0.0209002-0j -3.33951e-05-0j -0.0110154-0j -6.00772e-06-0j 0.0327167-0j -0.00198165-0j 9.91865e-05-0j -5.60052e-05-0j -0.0184733-0j 
-5.76648e-05-0j 7.17375e-05-0j 2.70539e-05-0j 0.000523862-0j -0.000122891-0j 0.00193369-0j -0.000798175-0j 0.00069455-0j 6.01537e-05-0j -0.000946519-0j -0.000190376-0j 0.000249396-0j -0.00573022-0j -0.000819709-0j 0.000490973-0j 9.40532e-05-0j -0.000165472-0j 0.00380194-0j -0.002161-0j -0.0112808-0j -0.000240326-0j 0.00552182-0j 0.000209125-0j -0.00480494-0j -0.000294338-0j 0.00676282-0j -0.00015513-0j 0.00356432-0j -2.79076e-05-0j -0.0105864-0j 0.000641216-0j 0.00046075-0j -0.00026016-0j 0.00597755-0j 
-0.000864972-0j 0.00107606-0j 0.000405809-0j -0.000132337-0j -0.00184336-0j -0.000488485-0j 0.000201633-0j -0.000175456-0j 0.000902306-0j 0.000239108-0j 4.80924e-05-0j 0.0114775-0j -3.28771e-05-0j 0.000207073-0j 0.0225951-0j 0.00432843-0j -0.00761519-0j 2.18136e-05-0j -1.23987e-05-0j -6.47233e-05-0j -0.0110601-0j 3.16813e-05-0j 0.00962417-0j -2.75682e-05-0j -0.0135458-0j 3.88016e-05-0j -0.00713924-0j 2.04502e-05-0j -0.00128434-0j -6.07391e-05-0j 3.67896e-06-0j 0.0212042-0j -0.0119729-0j 3.42961e-05-0j 
0.0419027-0j 0.0418141-0j -0.0734911-0j -0.00438541-0j -0.0288738-0j 0.00678544-0j 0.00877854-0j -0.00855458-0j -0.0395371-0j 0.00929135-0j -0.0197377-0j 0.00550559-0j 0.00142154-0j -0.0090735-0j 0.00390129-0j -0.00967644-0j -0.00251606-0j -0.000649644-0j -0.00249845-0j 0.00100731-0j 0.00534207-0j 0.00137932-0j -0.00520578-0j -0.00134413-0j 0.00583956-0j 0.00150777-0j -0.00347052-0j -0.000896084-0j -0.0102265-0j -0.000566733-0j -0.00264048-0j -0.00219495-0j -0.00582024-0j -0.00150278-0j 
-0.00624649-0j -0.00623328-0j 0.0109554-0j 0.000653738-0j 0.00430425-0j -0.00101151-0j -0.00130863-0j 0.00127524-0j 0.00589384-0j -0.00138507-0j 0.00294232-0j -0.000820725-0j -0.00021191-0j 0.0013526-0j -0.000581571-0j 0.00144248-0j 0.000375072-0j 9.68431e-05-0j 0.000372447-0j -0.000150161-0j -0.000796348-0j -0.000205616-0j 0.000776031-0j 0.00020037-0j -0.00087051-0j -0.000224765-0j 0.000517354-0j 0.00013358-0j 0.00152448-0j 8.44836e-05-0j 0.000393619-0j 0.000327204-0j 0.000867629-0j 0.000224021-0j 
-4.38959e-06-0j -4.3803e-06-0j 7.69867e-06-0j -4.11472e-05-0j 3.02472e-06-0j 6.36662e-05-0j 8.23669e-05-0j -8.02656e-05-0j 4.14177e-06-0j 8.71785e-05-0j -0.000185194-0j -5.76747e-07-0j -0.000991065-0j -8.51345e-05-0j -4.08686e-07-0j 1.01367e-06-0j 2.63574e-07-0j 0.000452917-0j 0.00174186-0j -0.000702274-0j -5.59616e-07-0j -0.000961629-0j 5.45339e-07-0j 0.000937095-0j -6.11732e-07-0j -0.00105118-0j 3.6356e-07-0j 0.00062473-0j 1.0713e-06-0j 0.000395114-0j 0.00184088-0j 2.29935e-07-0j 6.09708e-07-0j 0.0010477-0j 
-0.0366977-0j 0.0456535-0j 0.017217-0j -0.00561459-0j -0.0782073-0j -0.0207246-0j 0.00855458-0j -0.00744396-0j 0.0382816-0j 0.0101445-0j 0.00204039-0j -0.00540225-0j -0.00139486-0j 0.00878538-0j -0.0106351-0j -0.00203732-0j 0.00358434-0j 0.000925471-0j -0.000526033-0j -0.00274598-0j 0.00520578-0j 0.00134413-0j -0.00452993-0j -0.00116962-0j 0.00637575-0j 0.00164621-0j 0.00336031-0j 0.000867629-0j 0.000604515-0j -0.00257694-0j 0.000156085-0j -0.00998045-0j 0.00563542-0j 0.00145506-0j 
0.00547057-0j -0.00680562-0j -0.00256656-0j 0.000836973-0j 0.0116585-0j 0.00308945-0j -0.00127524-0j 0.00110968-0j -0.00570668-0j -0.00151225-0j -0.000304163-0j 0.00080532-0j 0.000207933-0j -0.00130965-0j 0.00158539-0j 0.000303705-0j -0.000534321-0j -0.000137961-0j 7.84164e-05-0j 0.000409346-0j -0.000776031-0j -0.00020037-0j 0.000675281-0j 0.000174357-0j -0.00095044-0j -0.000245403-0j -0.000500926-0j -0.000129339-0j -9.01158e-05-0j 0.000384148-0j -2.32678e-05-0j 0.0014878-0j -0.000840079-0j -0.000216907-0j 
0.000987657-0j 0.000985567-0j -0.0017322-0j -0.000103365-0j -0.000680562-0j 0.000159934-0j 0.000206912-0j -0.000201633-0j -0.000931897-0j 0.000218999-0j -0.000465221-0j -0.011697-0j 3.35059e-05-0j -0.000213864-0j -0.00828859-0j 0.0205583-0j 0.00534556-0j -1.53122e-05-0j -5.8889e-05-0j 2.37425e-05-0j -0.0113496-0j 3.25108e-05-0j 0.0110601-0j -3.16813e-05-0j -0.0124066-0j 3.55384e-05-0j 0.00737338-0j -2.11209e-05-0j 0.021727-0j -1.3358e-05-0j -6.22366e-05-0j 0.00466333-0j 0.0123655-0j -3.54208e-05-0j 
3.84432e-06-0j -4.7825e-06-0j -1.80359e-06-0j -5.26803e-05-0j 8.19273e-06-0j -0.000194454-0j 8.02656e-05-0j -6.98449e-05-0j -4.01025e-06-0j 9.51832e-05-0j 1.91445e-05-0j 5.65921e-07-0j 0.000972463-0j 8.24311e-05-0j 1.1141e-06-0j 2.13422e-07-0j -3.75483e-07-0j -0.000645219-0j 0.000366739-0j 0.00191444-0j -5.45339e-07-0j -0.000937095-0j 4.74539e-07-0j 0.000815435-0j -6.67901e-07-0j -0.0011477-0j -3.52015e-07-0j -0.000604892-0j -6.3327e-08-0j 0.00179659-0j -0.000108819-0j 1.04552e-06-0j -5.90347e-07-0j -0.00101444-0j 
