-0.0485828-4.16334e-17j 0.15854+0.00533241j 0.0291937-0.0811922j 0.0201496+0.0134904j -0.0468628-0.0381124j -0.0526741-0.0573889j 0.00590138+0.0816342j 0.0372514+0.0829374j 0.014141-0.020441j 0.00545869+0.0121416j 0.0200279+0.0406757j 0.0566251+0.0403804j 0.0575697+0.0132021j 0.0147751+0.078409j -0.022537+0.0114355j 0.054623-0.0786113j 0.0922939+0.00392131j -0.0236513+0.0197864j 0.056306-0.12915j -0.026983-0.110265j -0.0965822-0.0166072j 0.0710404+0.0398079j 0.00164802+0.0463408j 0.0358938-0.0477985j -0.074663-0.0361185j 0.0241797+0.0755308j 0.0645502+0.000196406j -0.0350904-0.0358516j 0.0714725+0.00716984j 0.0737812+0.0156498j -0.025537+0.00729551j -0.0243482+0.108714j -0.0252376+0.0152209j -0.0468605-0.0407934j -0.0692487-0.0364444j -0.0246109+0.02853j -0.0738123-0.0357596j -0.000474662+0.0974731j 0.0104728+0.050545j -0.0220918+0.0222134j 0.00488041+0.0460058j -0.0152204-0.0106413j 0.0272677+0.00875743j 0.0537527+0.0441491j -0.0295672+0.0190369j 0.0458051+0.019615j 0.0153876-0.00416559j 0.016021-0.0309471j -0.0153443+0.0397323j -0.0394524+0.0201j -0.00919417+0.0582403j 0.00885245+0.0349985j 0.0054108-0.00193764j -0.0019758-0.0628966j -0.0165823+0.0127426j -0.0582902+0.0163261j 0.0175255-0.0211753j 0.0143357-0.018271j -0.0133027-0.00620019j 0.0693291+0.0171053j -0.0202735-0.0684776j -0.0799444-0.0593855j -0.0174149-0.0241396j 0.017385-0.0679901j 0.013588+0.00505003j -0.0527072+0.0140265j 0.0582775-0.0267955j 0.0335025-0.0170094j -0.020067-0.0160389j -0.0109636+0.0342402j 0.0372463-0.0198105j -0.00133821+0.0338269j 0.01254-0.0674848j -0.0312468+0.0349519j 0.0222379-0.0441569j 0.000373779-0.0480194j -0.0266189+0.0106424j 0.0170401+0.0438394j 0.00231512+0.0256906j -0.0199709+0.013386j -0.00902726-0.0028642j -0.0414578+0.0597103j 0.100406+0.0625609j -0.0135212+0.216475j 0.109461+0.174464j 0.13061-0.104468j -0.141813-0.00618276j -0.000775024-0.0130102j -0.014921-0.0280796j 0.00400203+0.0688093j 0.0473714-0.0278647j -0.028442+0.0545306j 0.0814323+0.0735471j 0.113193+0.019503j 0.137642+0.114633j 
-0.074663+0.0361185j -0.0183448-0.0532284j 0.0560769+0.0126108j -0.0367483+0.0767483j 0.0208097-0.00524422j -0.0679071-0.0535076j -0.0132109-0.050414j 0.00629593-0.0942283j 0.113138+0.145531j -0.0434029+0.135919j -0.108185+0.11422j -0.0699238-0.0892386j -0.0972789+0.160937j -0.0448289-0.124239j 0.0413569-0.0947077j 0.0403418+0.0232793j -0.0892571-0.0735959j -0.0275998+0.123432j 0.0925221-0.0531518j -0.0153471-0.0271338j 0.00985704+0.0232576j 0.036866-0.00557932j 0.0136043+0.0378665j 0.0857946+0.0721561j -0.0717501+6.55725e-16j 0.127921+0.0181051j -0.139198+0.0198975j 0.0313571-0.00863729j 0.0805187+0.0379653j -0.0574405+0.0794966j -0.00415021+0.0380608j -0.108166-0.00888789j -0.0365561-0.0576531j -0.0323815+0.0657335j -0.0822551-0.033177j 0.0513396-0.0524998j -0.0641405+0.00147586j 0.0133471-0.169296j 0.0467897-0.0578686j -0.102538+0.0210801j 0.0552353+0.0358644j -0.00719522+0.00548925j -0.0191967+0.00748168j 0.0119559+0.00134793j 0.00669586+0.0285719j -0.0216342-0.00736641j -0.0242299-0.0454608j 0.0285278-0.0786085j -0.0101523+0.105406j 0.00135542-0.0521145j -0.0624176+0.01307j 0.0539037+0.0106814j 0.00324555+0.0344661j -0.0442874+0.0432661j -0.0367877+0.0613015j -0.0161144-0.0394561j 0.0370954+0.0317302j -0.00895546+0.0186806j -0.0128287-0.0302242j -0.00789322+0.0529186j -0.0219689+0.0260384j -0.0467756-0.0329134j -0.0260684+0.0339423j -0.00846013-0.00281845j 0.000437931+0.013522j -0.0114423+0.00278849j 0.0227339-0.0127622j -0.0149001-0.0241711j 0.00541528-0.013994j 0.00150309+0.0176585j 0.0177539-0.0175799j -0.031881+0.0188599j 0.00272958+0.0102853j -0.0345705+0.0136073j 0.0321462+0.0029825j -0.0333646+0.0229943j 0.00701144-0.0503438j 0.0177372+0.0587188j 0.0182515+0.00431929j 0.0351147+0.0551855j 0.00965911+0.0663157j -0.0503651-0.0104977j 0.00808238-0.0405874j 0.0230092+0.0272304j -0.0162288+0.049584j 0.0856733+0.0544323j -0.0268371+0.0251666j -0.0156684-0.00498741j -0.0724158+0.0232214j -0.0239223+0.0419576j -0.0112422-0.00990391j -0.000219894+0.0223441j -0.00435782+0.0148123j -0.000907809+0.065152j 0.112596+0.00110831j 
0.0241797-0.0755308j 0.0372222+0.0635991j -0.00568324-0.0650856j 0.0166307+0.0108657j -0.0219169-0.0281355j 0.0243494+0.0817393j 0.00669146+0.0295338j 0.0277561-0.0354404j -0.0174623-0.103101j -0.0280435+0.024944j 0.0184939+0.0104935j 0.0791837+0.0170405j 0.0261662+0.100517j 0.0329254-0.135667j 0.00113502-0.00603041j 0.00550862-0.04351j 0.0179053-0.0637719j -0.0522359-0.170658j 0.0222308+0.120257j -0.00150144+0.105089j -0.128286-0.14566j 0.00518369-0.125334j -0.175427+0.0508826j 0.08116+0.0389104j 0.127921-0.0181051j -0.0106474-3.03924e-15j 0.0749868+0.0276292j -0.0102014-0.00379426j 0.0822939-0.0112498j -0.222765+0.144578j -0.0811936+0.0200016j -0.000171337-0.1855j 0.059502-0.056891j 0.016988-0.0068337j -0.0379576-0.0106664j 0.0122811-0.0332636j 0.0715727+0.0104605j -0.0224773+0.0746467j -0.127708-0.021336j -0.0057279-0.00180473j -0.0289499-0.00187256j 0.00415607+0.00706398j 0.0146964+0.00155917j 0.00143763-0.074123j 0.00161128+0.0197021j -0.0114224+0.0280479j 0.0180141-0.0552612j 0.0153943-0.130792j -0.00908005+0.0757599j -0.00258011+0.0782736j 0.0272669+0.0809936j 0.0160116+0.0460878j 0.0325524+0.0267365j 0.0547729+0.0313826j 0.0350104+0.0946784j -0.0130525+0.0193057j -0.000802465-0.0111982j 0.00945342+0.00467554j 0.0135265+0.0309062j 0.00845118+0.00382647j 0.0387554+0.0177494j 0.0340571+0.0568262j 0.0152892-0.029803j -0.00457711-0.0101815j 0.0313298+0.0482271j -0.0101559-0.00475358j -0.0195382-0.0267093j -0.0140418-0.0312084j -0.0183884-0.00365655j -0.00406542-0.0197109j -0.000711846+0.0179774j 0.0419312+0.00274261j 0.0157042-0.00502722j -0.0223623+0.00365917j -0.0203285-0.0156415j 0.00200367-0.00681137j -0.0192852+0.0198108j -0.00740799-0.046791j -0.0144071-0.0130943j -0.00784019-0.00366376j -0.00417603-0.0235896j 0.021269-0.00248158j -0.010875+0.0666275j -0.0385967+0.0434318j 0.0347744-0.0373409j -0.00552642-0.0457643j -0.0234489-0.0439181j 0.00525011+0.00689318j -0.0146218+0.0308242j -0.00712262+0.00423565j 0.0230658-0.0215796j -0.0239968+0.0257128j -0.0144748+0.0428336j -0.00626889-0.0214807j -0.01181+0.0559368j 
0.0645502-0.000196406j -0.0360982-0.0170571j -0.0722631-0.0032461j 0.0849168+0.0713931j -0.0871574-0.0640581j 0.120139-0.0826746j -0.0396604-0.113532j 0.0220178-0.0109897j 0.0191767-0.0213822j -0.0844301-0.0162203j -0.0770039+0.035877j 0.0302883-0.0565922j -0.0803413-0.0226093j 0.0353854+0.0493268j -0.00283164-0.0103982j 0.000193041-0.00831394j 0.0235998+0.105059j -0.0104975+0.00433467j 0.00285699-0.0413463j -0.024564+0.0467501j -0.0294681+0.112797j 0.0145302-0.0608613j 0.038576+0.0459711j 0.111549+0.0195372j -0.139198-0.0198975j 0.0749868-0.0276292j 0.104845+1.57253e-15j 0.314424+0.00798996j -0.187294-0.00213475j -0.0396964+0.114757j 0.109531-0.00420201j 0.0692921-0.107826j 0.0731156-0.0593768j -0.00747473-0.0168382j -0.151111+0.0730932j -0.0261789-0.0362723j 0.0642781+0.0699161j 0.134672+0.0184917j 0.0517136+0.0107503j -0.0571803-0.0479712j 0.0556346-0.0396689j -0.0258984+0.00355599j 0.00414832-0.0167116j -0.0164705+0.00218691j -0.00897665-0.0248335j 0.0904178+0.0314446j 0.0186653+0.0109687j -0.0188956-0.0191699j 0.00480422+0.0165327j -0.00834775+0.00340491j -0.00318681+0.0419152j -0.00451871-0.0169233j -0.0126665+0.020706j -0.00530371+0.0309482j 0.0135772+0.0321641j -0.0245291+0.00641184j -0.00931907-0.00819279j -0.0105846-0.0112285j -0.00760089+0.033067j 0.0312363+0.0504435j 0.0359602-0.0288146j -0.0111189+0.0193059j 0.0347187-0.00421767j 0.00877334+0.005896j 0.0274079+0.00680824j 0.0159723+0.0181357j 0.00159247+0.0089197j -0.0045377+0.0140597j -0.0061948+0.00253609j -0.0300363-0.00858984j -0.0119341+0.0230282j -0.00406312+0.0180667j -0.028488+0.0212644j 0.0215831+0.0176614j -0.0488698-0.0276096j -0.03079+0.00527561j -0.0127394-0.00354105j -0.0256692-0.0637911j -0.0100167-0.00580226j 0.00879872-0.0073496j -0.0332956+0.00271718j 0.0428067-0.00642425j -0.0177713+0.0239225j -0.0232135+0.0155244j 0.0389751-0.0142981j -0.0700712-0.0198003j 0.00910049-0.0440446j -0.00105898-0.00143044j -0.0389893-0.0175149j 0.0150819-0.0213735j 3.34004e-05+0.012788j 0.00469844-0.0167422j -0.0143975-0.0279887j -0.0600177-0.00777971j -0.00544761+0.00636679j 
-0.0350904+0.0358516j 0.0294619+0.0274481j -0.0695576+0.0361244j 0.0177593+0.0902781j 0.0850496+0.0645446j -0.0800557+0.0480092j -0.117419-0.0619134j 0.148476+0.0811444j 0.0455022-0.00644103j -0.0220028-0.00112316j 0.0863094+0.0786378j 0.0179322+0.06766j -0.0472014-0.0283799j -0.0460009-0.0321096j 0.00268682+0.0223826j 0.0295189+0.0543861j -0.0321357-0.00727519j -0.0390803-0.052862j 0.0824873+0.03665j -0.0963027+0.0329686j 0.0339349-0.133853j -0.00681111+0.100952j 0.00542072+0.0252014j 0.0212117+0.060059j 0.0313571+0.00863729j -0.0102014+0.00379426j 0.314424-0.00798996j 0.45885+2.23432e-15j -0.29574-0.00785831j -0.050458-0.0612543j 0.168931+0.0218876j 0.0955092+0.011184j 0.00152899-0.0192651j -0.0200268-0.0227471j 0.0738332-0.0251386j 0.0484458-0.0294707j 0.0755438-0.0278186j -0.0366793+0.035004j 0.00204319+0.0337423j -0.011771+0.0798833j -0.0370781-0.0150867j 0.00161824-0.000770682j -0.0145538+0.0133194j 0.0261575+0.00622841j -0.00136858+0.0082776j 0.0265278-0.0400508j -0.0025101-0.02598j 0.0270775+0.0539738j -0.000968091-0.0656631j -0.0065289-0.00257079j -0.0323659-0.0821339j -0.0111297-0.0240374j 0.0345428-0.0115288j 0.0356497-0.00542499j 0.0289382-0.047292j 0.00304802+0.0083234j 0.0164008+0.000914952j -0.00555516+0.014535j 0.00363223-0.0138267j -0.0209854-0.0181691j 0.0125956+0.0115985j 0.0154048-0.0274331j -0.0129418+0.00670534j 0.00138572-0.0222542j -0.00512258-0.0165526j 0.0315349-0.00375395j 0.00854273+0.00761222j -0.0106206+0.00317608j -0.0192612-0.0266181j 0.0260073+0.0161539j -0.0110387-0.0149005j -0.00303549+0.0235355j -0.00634035+0.00791424j -0.0222528+0.0139652j -0.0102007+0.00829093j -0.0114392+0.0257653j 0.0198588+0.0206558j 0.00642487+0.0353851j 0.0348557+0.0016008j 0.0435718-0.0264134j 0.0267377+0.0481132j -0.027077-0.0261448j -0.0292493+0.00607814j 0.0339183+0.0207379j 0.00222788+0.0237856j 0.0666786+0.00196639j -0.0156117-0.0108116j 0.0143005-0.0137178j 0.017342-0.0170663j -0.0143701-0.011794j -0.00398345-0.0172899j -0.000194028+0.0117884j -0.0011034+0.00634371j 0.0351963+0.019136j 0.0269214+0.0106321j 
0.0714725-0.00716984j -0.0395107+0.0301837j 0.0336388-0.0433909j -0.0351615+0.0214049j -0.0622088+0.00755706j -0.0187683+0.134829j 0.0291808+0.0482932j 0.0305485-0.0378439j -0.0272342+0.040918j -0.0360065+0.0155423j -0.0796218-0.0304684j -0.000555012+0.00205499j -0.0276572-0.0156473j -0.0246314+0.0355458j 0.0663095+0.0434688j 0.109274-0.157024j -0.0334083-0.0239117j -0.0545804-0.00104503j 0.0328014+0.102723j -0.115692+0.115899j 0.0925018-0.0846353j 0.0381369+0.119731j 0.015582-0.07089j 0.0774785+0.0346152j 0.0805187-0.0379653j 0.0822939+0.0112498j -0.187294+0.00213475j -0.29574+0.00785831j 0.0117221+2.11983e-15j -0.0445502+0.0267422j -0.0197609-0.10972j 0.0715307-0.00897335j 0.0446545-0.100414j -0.00791125-0.0419263j 0.0896952+0.0487452j -0.118192-0.0565334j 0.210856+0.0440076j 0.077809+0.159062j 0.0263048+0.0700544j -0.0545882+0.0509315j 0.00179269-0.0614911j 0.010745+0.0337727j 0.0101249+0.00364368j 0.0181199-0.00714209j -0.0399781-0.000259479j 0.0757018-0.0545358j -0.0383708-0.0140586j -0.0332327+0.0728508j -0.00278459-0.0782952j -0.0179796+0.00838881j -0.0454328-0.0920113j 0.0102224-0.0571361j 0.00684939-0.0187387j -0.00581485+0.0326037j 0.0322491-0.0552644j -0.0490888+0.0133379j 0.0290232-0.0125217j -0.0299837+0.0398113j 0.0008761-0.00435792j -0.0316789+0.0368872j 0.079573-0.0113414j 0.00453916-0.0247723j -0.0106382+0.0142921j -0.0200432+0.0276818j -0.0247944-0.00452301j 0.029058-0.0249742j -0.0414324+0.043451j -0.0172965+0.00369103j 0.0191268-0.0244093j 0.0258121+0.0404559j -0.000107197-0.0177232j -0.00159345+0.0226821j -0.0217549-0.0208765j 0.00231956+0.0392182j -0.0163458+0.000332471j -0.0199083+0.0236196j -0.0203132+0.0310784j 0.0203002+0.0278745j 0.044027-0.0354759j 0.02792-0.0184298j 0.0281222+0.00973395j -0.0239109-0.0249028j -0.0461043+0.0376773j 0.0670122+0.0245671j 0.0344841+0.0309152j 0.0499179-0.00416446j -0.0447734-0.00545606j -0.00301142-0.0127141j -0.0110882-0.0256921j -0.0175301+0.00178209j 0.00638331-0.0308742j -0.0344202-0.0143488j -0.0346771-0.000427864j -0.0134128+0.00755238j 0.0451741+0.0242829j 
0.0737812-0.0156498j 0.0227663+0.00910785j -0.000341299+0.023222j 0.000519889+0.0193059j 0.0258686+0.223318j -0.0117354-0.00883793j 0.10411+0.0285606j 0.0621792+0.119608j -0.00840948-0.0885022j -0.00859748+0.16555j -0.00531608+0.162169j 0.00820696+0.0280718j 0.0610879+0.14375j -0.0548939-0.106766j 0.0216073-0.00186545j 0.0930738+0.0629867j -0.0878533-0.0546758j -0.0259756-0.0285123j 0.0231564+0.0388105j -0.0954626-0.0484866j -0.0940655+0.125978j 0.0255506+0.0745227j 0.0674641-0.0472858j -0.0251155-0.0758535j -0.0574405-0.0794966j -0.222765-0.144578j -0.0396964-0.114757j -0.050458+0.0612543j -0.0445502-0.0267422j 0.216662-9.24261e-15j 0.0483978+0.0190488j 0.0514072+0.0986958j 0.0461505+0.0141429j 0.00831301+0.00582906j 0.101659+0.0998886j 0.0588856+0.0399243j 0.0115083-0.0744611j 0.012304+0.0549252j 0.0537651+0.0694482j 0.0741933+0.075527j 0.0400494-0.093076j 0.0156706+0.048464j 0.035638-0.00588209j 0.004048-0.0619121j -0.0312092-0.0026409j 0.0387059+0.0429117j 0.0238134-0.0573879j -0.00477282-0.0881643j 0.0368963+0.0537267j -0.0586239+0.00135426j 0.00356285-0.00652029j 0.0443108-0.0119178j -0.0161358-0.0117677j -0.0537556+0.0210755j 0.0358949+0.048219j -0.00966141-0.0141043j 0.00329789-0.00443322j 0.00682808+0.014659j 0.0140864-0.025602j 0.00511207-0.020675j 0.0267005-0.0301543j 0.0133101-0.0224654j -0.0194321-0.0213911j -0.0088889+0.0129834j 0.00357169+0.0148336j -0.0120291-0.0249985j -0.011465-0.00392266j -0.00217552-0.00806835j -0.0141451-0.00339929j 0.0155217-0.0121521j 0.0161233+0.0053396j 0.0192517-0.0103261j -0.0229946+0.0137701j -0.0114196-0.0269988j -0.0162555+0.0263803j -0.0177444+0.0313924j -0.0138594+0.0182133j 0.0022857+0.00570325j 0.0184044-0.00202375j 0.009753-0.0118674j 0.00781904+0.00501196j -0.00562817-0.0169188j -0.0136912+0.0067765j 0.0278334-0.00127158j -0.0165236-0.00397747j 0.0307778+0.0161187j -0.00995097+0.000262351j 0.00994757-0.00716373j 0.025756+0.0272385j -0.0179134-0.00316374j 0.00743599-0.00748799j -0.00921648+0.00314145j 0.00995938-0.0013546j 0.0106158+0.0232146j 0.0163407-0.0237297j 
-0.025537-0.00729551j 0.0411429+0.0194048j -0.0136639-0.0458769j 0.0129012+0.0144873j -0.072067-0.0596489j 0.0670515-0.0154085j 0.0335169-0.0112548j -0.0701517+0.0460062j -0.0290795+0.0223927j -0.00253068-0.0532866j 0.0225712-0.0303567j 0.0353167-0.00319345j 0.0856397-0.120094j -0.0604089+0.0215855j 0.0107242-0.00747575j -0.0109828+0.0585695j -0.0433695-0.0055212j -0.0748565+0.057716j -0.00750632-0.109798j 0.0131888-0.0601735j -0.103819-0.00299589j -0.118558+0.0280141j 0.117925-0.0751652j 0.0719201+0.00165196j -0.00415021-0.0380608j -0.0811936-0.0200016j 0.109531+0.00420201j 0.168931-0.0218876j -0.0197609+0.10972j 0.0483978-0.0190488j 0.059373+7.58421e-15j -0.186402+0.0559114j -0.0377811+0.0841455j 0.00314354+0.0183777j 0.111996-0.135726j -0.0305148+0.00128839j 0.109193+0.0420485j 0.00756827-0.000381099j 0.0232513-0.0589317j 0.0358214-0.0325054j 0.00359277+0.0477488j -0.0234038-0.0595818j 0.0450067+0.00992327j -0.000936583-0.0184453j 0.0259309+0.0386394j -0.0372235+0.0459744j -0.00769323+0.0343617j 0.0259756-0.0597985j -0.048702+0.106259j 0.0303224-0.0866522j -0.0657758+0.0984784j 0.0547598+0.026057j -0.0305301+0.0736374j -0.0840241+0.0752841j -0.0064141+0.0615664j -0.0308547-0.0346063j -0.017425-0.00576332j 0.000779315+0.0173372j 0.00720539+0.0147917j -0.0446998+0.0847332j 0.0328383+0.0285841j 0.0350706+0.0112287j -0.0460701+0.0397178j -0.0497308+0.0279127j -0.0182267+0.024319j 0.0514921-0.0152731j -0.0396586+0.0323302j -0.0438502+0.0268226j 0.0208444+0.0156349j -0.00315565-0.0262141j -0.0602123-0.025688j 0.0279158-0.0332562j 0.0542176-0.0790198j 0.0237986+0.029273j 0.00735077-0.0213866j -0.00232273+0.00742336j 0.024759-0.0310451j 0.0531372+0.0225525j -0.0101044-0.0457566j -0.0163207+0.0199556j 0.0334201-0.059961j -0.0745041+0.0829277j 0.0138503-0.0247949j 0.0713874-0.025052j -0.0665122+0.0192174j 0.0127469-0.0239031j -0.0773543+0.133724j -0.0284971+0.0498673j -0.0276066+0.100156j 0.0250133+0.00875385j -0.0274325+0.00347666j -0.0428867-0.0179872j -0.0503545+0.0308187j -0.023123-0.0946016j -0.00273172-0.0233858j 
-0.0243482-0.108714j 0.0939518+0.0227186j -0.0477667-0.025317j -0.000786042+0.0229898j -0.0756267-0.186751j -0.0709985+0.0812355j -0.125707+0.01435j -0.0357687+0.0581986j 0.0879564+0.0290388j -0.0265793+0.00824236j -0.0278799-0.0291434j -0.0638625+0.0129035j -0.0574338-0.00460891j -0.0340485-0.0690947j -0.00727462-0.0103908j -0.0366818+0.125277j -0.00766107-0.0957929j 0.0107726+0.0393705j 0.0213384+0.00970572j 0.0142135-0.074911j 0.00571325+0.0878322j -0.0916376-0.0328105j -0.169339-0.0527653j 0.0037292-0.198162j -0.108166+0.00888789j -0.000171337+0.1855j 0.0692921+0.107826j 0.0955092-0.011184j 0.0715307+0.00897335j 0.0514072-0.0986958j -0.186402-0.0559114j 0.20231+4.63518e-15j -0.00490147-0.0441729j -0.0323562-0.0593671j -0.0857612+0.0545235j 0.0455597+0.0825732j -0.0494994-0.0400565j -0.106225+0.105466j -0.0689039+0.0542814j -0.0692366-0.0232835j 0.00566792+0.0496956j -0.0385972-0.0094438j 0.00829819-0.0146274j 0.016029-0.0218208j -0.0250129+0.0623131j 0.0712607+0.04725j 0.0439109-0.0601172j -0.0319557-0.104254j 0.00926472+0.0676923j -0.0295393+0.068749j 0.062508+0.0398643j 0.0181209+0.0195684j 0.0793986-0.0285298j 0.0794625-0.0744811j 0.0651292-0.0342278j 0.0497021-0.00197619j -0.000817625+0.0125737j 0.0429684-0.0489058j -0.0114259-0.0381009j 0.023392-0.0586502j -0.0337817-0.021432j -0.0164887+0.0469907j -0.0120366+0.00217082j -0.0274857-0.00680867j 0.016169+0.0181028j 0.00320265-0.0041601j 0.0240182-0.0156669j -0.00967313-0.0223694j -0.00207092+0.032257j 0.0212112-0.0317853j 0.000611198-0.00790719j -0.00466545-0.0306944j 0.00381707+0.0318498j -0.00455944-0.0394292j 0.0123414+0.0391074j -0.00804611+0.0202572j -0.00631878-0.00498997j 0.0219303+0.0100096j -0.0123404+0.0249949j -0.00704951-0.000605192j -0.00203918-0.0282783j -0.0206007+0.011216j -0.00481319-0.013799j -0.039446-0.0403201j -0.0146402-0.0129735j 0.0387082+0.00640993j 0.0738787-0.0037561j 0.013449-0.00330163j 0.0468586-0.0473828j -0.0069271+0.0135611j 0.0148002+0.0171524j 0.00511777+0.017764j 0.0430214+0.00141329j -0.0010586+0.0492675j -0.0321097-0.00269479j 
-0.0252376-0.0152209j -0.000691618+0.104085j -0.00855038-0.0470308j 0.0390926+0.00937255j -0.104564-0.0763442j 0.00758279-0.0171807j -0.0520276-0.0262713j -0.0473073+0.0217306j -0.0213044-0.0306705j 0.000435372+0.00304266j 0.0365308+0.0194982j 0.00957069-0.0165158j -0.00225574-0.00552658j 0.0352274+0.00592819j -0.029457+0.0103906j -0.00545236-0.0260856j 0.0976423+0.0067041j 0.00132479-0.0521655j -0.0233947-0.0680106j 0.0409845-0.0595002j 0.0701074+0.0670951j -0.0779095-0.0784763j -0.0205758-0.00365619j 0.00337924-0.0297655j -0.0365561+0.0576531j 0.059502+0.056891j 0.0731156+0.0593768j 0.00152899+0.0192651j 0.0446545+0.100414j 0.0461505-0.0141429j -0.0377811-0.0841455j -0.00490147+0.0441729j -0.0790614+2.35922e-16j 0.000577412-0.0162899j -0.0851729-0.0310218j 0.0152874+0.0309777j 0.0884169+0.00623791j -0.0548968-0.0418303j 0.00959412+0.00316215j 0.0121172-0.0205015j -0.0207806+0.00238191j 0.0303822+0.00634479j -0.0483824+0.0414528j -0.00789157-0.00865335j 0.000657169-0.0597061j -0.00177983-0.157907j 0.00805859-0.0417099j -0.00513006-0.0571503j 0.0450754-0.00422762j 0.0321771-0.00966167j 0.00263861-0.0265202j -0.0585696-0.0141442j -0.00122276-0.0264529j -0.0300322+0.00276284j 0.0516775+0.0362834j -0.0233149+0.0137424j -0.0172206+0.0092831j -0.0422945+0.0820788j 0.0186474-0.0267206j 0.00647031-0.00238331j -0.0284707-0.0444809j -0.020216-0.0359679j 0.0479417+0.00112392j 0.0586424+0.00592299j 0.0345946+0.00211549j -0.0143705-0.0301025j -0.0147599-0.0130725j 0.028625-0.0119181j -0.00407544-0.00642245j -0.00117857+0.0299626j 0.023045+0.0418316j -0.0129461-0.015095j 0.0196237+0.00692675j -0.0426887+0.0924639j -0.0215407-0.0218346j 0.0876017-0.0778385j 0.0596331+0.0283043j -0.102057+0.0517163j 0.057062+0.00423884j 0.073653+0.0283401j -0.00713808+0.186025j 0.105787-0.135015j 0.0206659+0.0289964j 0.0199629+0.0187299j -0.00923551+0.0216627j -0.0242433+0.0383488j -0.103273+0.0178895j 0.00831315-0.0387159j -0.057429+0.0457438j -0.0330739-0.0708838j -0.015597-0.0610948j 0.0279176-0.00211851j -0.018545+0.0363665j 0.0663888+0.0233249j 0.0432821-0.01431j 
-0.0468605+0.0407934j 0.00278272+0.0211405j -0.0153887-0.0189612j 0.0138425-0.0225103j 0.00472557-0.0104568j 0.020881+0.0124322j -0.0162382+0.0113442j 0.0131184+0.0191488j 0.0223247+0.0242974j -0.00804766+0.0206142j -0.0311611-0.0232695j -0.0239242+0.0112861j -0.0147983+0.0367126j -0.0328541-0.00777373j -0.00468689-0.0137788j -0.0172518+0.00353666j -0.0820979+0.0150881j 0.0430624+0.0135188j 0.0606362+0.112898j -0.0259625-0.013493j 0.0261433+0.0306156j -0.0886688+0.0331725j 0.036103-0.0789026j 0.0383033-0.0150756j -0.0323815-0.0657335j 0.016988+0.0068337j -0.00747473+0.0168382j -0.0200268+0.0227471j -0.00791125+0.0419263j 0.00831301-0.00582906j 0.00314354-0.0183777j -0.0323562+0.0593671j 0.000577412+0.0162899j 0.127666+7.16094e-15j 0.017647-0.0394235j -0.0261291-0.0137716j 0.104853+0.00209024j -0.0479292-0.0543221j -0.00843155-0.0139914j 0.0167485+0.0436988j 0.024052+0.0398428j 0.0518459+0.120381j -0.0346596-0.0703096j -0.0252626-0.0329994j 0.00834224-0.0303954j -0.0259786-0.0208793j -0.028689-0.000752045j 0.0214715+0.0779805j 0.00547522+0.0580754j 0.0197547+0.0304417j 0.00812295-0.0187402j 0.0264748-0.045536j -0.1127+0.0705161j 0.0538437+0.000164537j 0.0226855+0.0343329j 0.0122015-0.00626547j 0.0579005-0.00783452j -0.0184849-0.124927j -0.0898744+0.115453j 0.00120922-0.0654197j 0.0462911-0.0839515j 0.0343516-0.0532664j 0.0299539-0.00126263j -0.00717102+0.000449081j -0.00775874+0.0193384j 0.0607202+0.0396612j -0.0425485+0.0580604j 0.0149966-0.038736j -0.0504728+0.0274648j -0.0193556-0.0509909j 0.00837001+0.0742207j 0.0154982+0.0509369j -0.0016768+0.090425j -0.00727177+0.0765355j 0.0314648-0.0722617j -0.0584979-0.00530832j -0.0784601+0.0508878j -0.0677695-0.276511j -0.0359885+0.101215j -0.0921566-0.0180852j -0.0912586-0.0867904j 0.0620184+0.0110026j 0.0012247-0.0184192j 0.00382539+0.0195997j 0.0499987+0.114347j -0.0652623-0.104492j -0.0763655-0.0831665j 0.00859812+0.0262445j -0.0176365+0.00710229j 0.0505222-0.0480921j 0.105726+0.0705324j 0.0245037+0.0286515j -0.0246869+0.0131163j -0.00462566+0.00528364j 0.0498807-0.00905821j 
