0.9632-0j -0.0191217-0j -0.015117-0j -0.010078-0j -0.00717064-0j -0.00827995-0j -0.0029274-0j -0.00226756-0j -0.00240511-0j -0.000658666-0j -8.06697e-05-0j -0.0375903-0j 0.504094-0j -0.0149182-0j -0.00707631-0j -0.0136184-0j -0.00791155-0j -0.00527437-0j -0.00216667-0j -0.00456774-0j -0.00306413-0j -0.00153207-0j -0.000593367-0j -0.000726723-0j -0.000154161-0j -1.59572e-05-0j 
0.0375903-0j 0.0195325-0j 0.0154418-0j 0.0102945-0j 0.00732468-0j 0.00845781-0j 0.00299029-0j 0.00231627-0j 0.00245677-0j 0.000672814-0j 8.24026e-05-0j -0.214204-0j 0.00356287-0j 0.00275979-0j 0.00130908-0j 0.00251933-0j 0.0014636-0j 0.000975733-0j 0.000400823-0j 0.00084501-0j 0.00056685-0j 0.000283425-0j 0.00010977-0j 0.00013444-0j 2.85191e-05-0j 2.952e-06-0j 
0.504094-0j 0.0346099-0j -0.00791155-0j -0.00527437-0j 0.0297102-0j 0.0149865-0j -0.00153207-0j 0.0146862-0j 0.00996511-0j 0.00580283-0j 0.00108716-0j -0.00356287-0j -0.16524-0j -0.00141397-0j 0.00530988-0j -0.00129077-0j 0.00259338-0j 0.00172892-0j 0.0025414-0j -0.000432939-0j 0.00229925-0j 0.000502205-0j 0.000946734-0j 0.000852411-0j 0.000311114-0j 4.56897e-05-0j 
-0.0149182-0j 0.167236-0j 0.0486885-0j -0.00408551-0j -0.00290689-0j 0.0266678-0j 0.030659-0j -0.00091924-0j 0.0164676-0j 0.00212141-0j -3.27025e-05-0j -0.00275979-0j -0.00141397-0j -0.187731-0j 0.0112083-0j -0.000999829-0j 0.00461479-0j -0.000387232-0j -0.000159072-0j 0.00566405-0j 0.0017873-0j 0.00290591-0j -4.35636e-05-0j 0.000901145-0j 8.99218e-05-0j -1.17154e-06-0j 
0.00707631-0j 0.628019-0j 0.00290689-0j 0.00193793-0j 0.0316055-0j -0.012605-0j 0.000562917-0j 0.0407757-0j 0.0106008-0j 0.0258206-0j 0.00843593-0j 0.00130908-0j -0.00530988-0j -0.0112083-0j -0.121863-0j 0.00047426-0j -0.00218126-0j -0.00145417-0j 0.00705611-0j 0.000159072-0j 0.00244592-0j -0.000422398-0j 0.00421264-0j 0.00236669-0j 0.00190034-0j 0.000429809-0j 
-0.0136184-0j -0.00707631-0j 0.0951178-0j 0.0966667-0j 0.0451183-0j 0.0381778-0j -0.00108333-0j 0.0104554-0j -0.00089005-0j -0.00024375-0j -2.98532e-05-0j -0.00251933-0j -0.00129077-0j -0.000999829-0j -0.00047426-0j -0.193354-0j 0.00901544-0j 0.00916225-0j 0.00246898-0j 0.0038143-0j 0.00255871-0j -0.00010268-0j 0.000495492-0j -4.87056e-05-0j -1.0332e-05-0j -1.06947e-06-0j 
0.00791155-0j -0.0142175-0j 0.439024-0j 0.00216667-0j 0.207512-0j 0.0489117-0j -0.0162594-0j -0.00603296-0j 0.06914-0j 0.0189387-0j -0.000446596-0j 0.0014636-0j -0.00259338-0j -0.00461479-0j -0.00218126-0j -0.00901544-0j -0.14391-0j -0.000710226-0j 0.0177505-0j -0.00300382-0j 0.00750406-0j 0.00532976-0j -0.000388911-0j 0.0059142-0j 0.00101538-0j -1.87689e-05-0j 
0.00527437-0j -0.00947832-0j 0.00216667-0j 0.447031-0j -0.00813648-0j 0.106378-0j 0.000419574-0j 0.104246-0j -0.00272906-0j -0.00158917-0j -0.00029773-0j 0.000975733-0j -0.00172892-0j 0.000387232-0j -0.00145417-0j -0.00916225-0j -0.000710226-0j -0.146535-0j -0.000695991-0j -0.00307311-0j 0.0163206-0j -0.000137535-0j 0.00672017-0j -0.000233442-0j -8.52021e-05-0j -1.25126e-05-0j 
-0.00216667-0j 0.0139325-0j 0.0151332-0j -0.000593367-0j 0.671277-0j 0.00603296-0j -0.000172357-0j 0.0284459-0j -0.0132423-0j 0.0567689-0j 0.0423903-0j -0.000400823-0j 0.0025414-0j -0.000159072-0j -0.00705611-0j 0.00246898-0j -0.0177505-0j 0.000695991-0j -0.083695-0j -4.87056e-05-0j -0.00305539-0j 0.000202167-0j 0.00926188-0j 0.00165105-0j 0.00688855-0j 0.00275625-0j 
0.00456774-0j 0.00237347-0j -0.0316919-0j -0.032423-0j 0.00089005-0j 0.216278-0j 0.1553-0j -0.00350686-0j 0.0373891-0j -0.00138085-0j 1.00131e-05-0j 0.00084501-0j 0.000432939-0j -0.00566405-0j 0.000159072-0j -0.0038143-0j -0.00300382-0j -0.00307311-0j 4.87056e-05-0j -0.160231-0j 0.0144952-0j 0.0147197-0j -0.000166193-0j 0.00204602-0j -5.85311e-05-0j 3.5871e-07-0j 
-0.00306413-0j 0.012605-0j 0.0100004-0j 0.02175-0j -0.0136856-0j 0.540301-0j 0.00629722-0j 0.219991-0j 0.0775291-0j 0.0888294-0j -0.00365286-0j -0.00056685-0j 0.00229925-0j 0.0017873-0j -0.00244592-0j 0.00255871-0j -0.00750406-0j -0.0163206-0j -0.00305539-0j -0.0144952-0j -0.104842-0j -0.00472528-0j 0.0227279-0j 0.0173088-0j 0.00653763-0j -0.000186113-0j 
-0.00153207-0j 0.0027532-0j 0.0162594-0j -0.000419574-0j 0.00236343-0j -0.0307995-0j 0.357517-0j 0.00116828-0j 0.338808-0j -0.0119256-0j 8.64829e-05-0j -0.000283425-0j 0.000502205-0j 0.00290591-0j 0.000422398-0j -0.00010268-0j -0.00532976-0j 0.000137535-0j 0.000202167-0j -0.0147197-0j -0.00472528-0j -0.117193-0j 7.53123e-05-0j 0.0289815-0j -0.000639383-0j 3.63459e-06-0j 
0.000593367-0j -0.00519021-0j 0.00024375-0j -0.00421187-0j 0.0235709-0j 0.028002-0j 4.7202e-05-0j 0.666866-0j 0.00790592-0j 0.0248084-0j 0.134204-0j 0.00010977-0j -0.000946734-0j 4.35636e-05-0j 0.00421264-0j -0.000495492-0j -0.000388911-0j 0.00672017-0j -0.00926188-0j -0.000166193-0j -0.0227279-0j -7.53123e-05-0j -0.0504302-0j -0.00310653-0j 0.0128039-0j 0.0122245-0j 
0.000726723-0j -0.00467311-0j -0.00504215-0j 0.000199021-0j 0.0132423-0j 0.0341768-0j 0.0247082-0j -0.00954105-0j 0.556281-0j 0.321597-0j -0.0142181-0j 0.00013444-0j -0.000852411-0j -0.000901145-0j 0.00236669-0j 4.87056e-05-0j 0.0059142-0j -0.000233442-0j -0.00165105-0j 0.00204602-0j -0.0173088-0j -0.0289815-0j -0.00310653-0j -0.0693572-0j 0.0390238-0j -0.000924473-0j 
-0.000154161-0j 0.0017056-0j 0.000503137-0j -4.22188e-05-0j -0.0106329-0j -0.00586768-0j 0.000316823-0j 0.0398074-0j 0.0602356-0j 0.623509-0j 0.222251-0j -2.85191e-05-0j 0.000311114-0j 8.99218e-05-0j -0.00190034-0j -1.0332e-05-0j -0.00101538-0j 8.52021e-05-0j 0.00688855-0j 5.85311e-05-0j 0.00653763-0j -0.000639383-0j -0.0128039-0j -0.0390238-0j -0.0219582-0j 0.0358069-0j 
1.59572e-05-0j -0.000250481-0j 6.55509e-06-0j 4.37006e-06-0j 0.0024049-0j -0.000108461-0j 1.26939e-06-0j -0.0159277-0j 0.000806628-0j 0.074928-0j 0.614507-0j 2.952e-06-0j -4.56897e-05-0j 1.17154e-06-0j 0.000429809-0j 1.06947e-06-0j -1.87689e-05-0j -1.25126e-05-0j -0.00275625-0j 3.5871e-07-0j 0.000186113-0j -3.63459e-06-0j 0.0122245-0j -0.000924473-0j -0.0358069-0j 0.0230128-0j 
