0.0411901+0.0161512j -0.0312711+0.0297284j 0.0215809-0.0864127j -0.0521484-0.0355615j -0.0180361+0.0930035j -0.00373656+0.0438095j 0.000927674-0.0577484j 0.125959-0.0153827j -0.0477553+0.00643945j 0.0131553+0.0516651j -0.0241322-0.0270716j 0.0409643+0.0576333j 0.0050273-0.0812032j 0.00601275+0.059626j -0.0323921-0.00659178j -0.0454007-0.00768826j 0.0852543-0.0274673j -0.0839579+0.105864j -0.035971+0.0806503j -0.0337969+0.0451942j -0.0190618-0.0287925j -0.0331635+0.00427918j 0.0246586-0.00668779j -0.0705049-0.0372058j 0.00379019-0.105834j -0.0871557-0.105461j -0.00043075+0.0713483j 0.0190122+0.0187812j 0.0162407-0.00790098j 0.0229915-0.0687197j -0.0845002+0.116151j 0.0800774+0.0865324j 0.0889623-0.0413025j -0.144108-0.0789128j -0.0565462-0.0544548j 0.0027406+0.00954805j 0.0621734-0.00658537j 0.0556116-0.147569j -0.000127309+0.0800208j -0.0883016-0.106997j -0.0325214-0.00216412j 0.00706532+0.120565j -0.108218-0.11721j -0.0550612+0.130308j -0.00717336+0.0515639j 0.0230359+0.0119616j 0.18521-0.0694689j 0.262173+0.0351593j 0.0480094+0.00213408j 0.00647217+0.0950422j 0.0852593+0.112448j 0.000936299+0.031328j -0.126594-0.0323515j -0.0863602-0.0621622j -0.132072+0.0728842j 0.00914836-0.301608j 0.0942069+0.00746512j -0.0211524-0.0797917j 0.0517979-0.0125845j 0.0365356+0.00224682j -0.0973985-0.0406893j -0.0265178-0.040282j 0.0288746-0.00717521j -0.00585935-0.0619923j 0.0274582-0.0252216j 0.104734-0.00405507j -0.0288322+0.059134j 0.0112759+0.047726j 0.0449491-0.0361426j 
0.00321625+0.00237586j 0.00382601+0.0239156j -0.0209186+0.0103703j 0.0144508-0.0377198j 0.00306463-0.00103627j 0.000342317+0.0213362j 0.00252298+0.0281079j -0.00433517+0.00555279j -0.0076604+0.0270518j 0.000485096+0.00365378j -0.021849-0.000268478j 0.00220424+0.0287989j -0.0328255-0.0142109j -0.0493112+0.00814967j 0.000579418-0.0116964j 0.0119575-0.00440936j -0.0136885+0.0256028j 0.0100955-0.00663917j -0.0343624+0.000996455j -0.0105315-0.00499462j 0.00504841+0.0180049j 0.013852-0.0194312j -0.0363737-0.0026927j -0.00528164-0.00522322j -0.0264272+0.00388333j 0.0124109-0.00343422j 0.0175636-0.00895359j -0.00319246+0.0052543j -0.00476253+0.0155216j -0.00333267+0.00705168j -0.0062342-0.00947605j 0.019509+0.0174267j -0.00270644-0.00716804j -0.0136819-0.00212351j -0.00724861+0.0114922j -0.0132448-0.00580821j 0.00481116-0.0083877j -0.0283557-0.00306548j -0.0021254+0.024798j 0.00882024-0.0184403j -0.0196837-0.00249493j 0.0140118+0.0155847j 0.00628602+0.015321j 0.000244901-0.000932005j 0.0106082-0.00188343j 0.0031993+0.00459844j -0.00533873-0.0136623j 0.0122805-0.0245808j 0.00021348+0.0177117j -0.0120501+0.00880589j 0.0201508-0.00461441j 0.00888322+0.0012261j -0.00154286+0.0130263j 0.00580991+0.0030594j 0.00333465-0.0109977j 0.014447+0.00907319j -0.0137691-0.0128919j 0.0130449+0.00231286j 0.0128816-0.0025374j -0.00211622+0.00956875j -0.00995391+0.0188689j -0.0448384+0.00470306j 0.013038-0.0246155j 0.0259891-0.0194311j 0.0521029+0.039859j 0.020682-0.00631339j 0.00846314-0.00761259j 0.00229455+0.00659535j -0.00419369-0.00221539j 
0.00140901+0.00123169j 0.00447811+0.00122335j 0.0111867-0.00688208j 0.00050943+0.0110475j 0.00681105+0.0275203j 0.0143638-0.0272384j 0.0132435+0.00436585j -0.00407318-0.00522207j 0.00590076-0.0121667j -0.00426918-0.0037273j 0.0189081-0.00913555j -0.0155842+0.00157335j -0.00581064-0.0195256j 0.00661271+0.0226915j -0.00431588+0.0212266j -0.00421183-0.0441447j 0.000191005+0.00280167j -0.00511927+0.017758j 0.0129452+0.0140355j 0.00437873-0.00627053j 0.00650384-0.0181139j -0.00847869+0.0198447j 0.00918061-0.0243587j -0.0110005+0.00631292j 0.00351098+0.0240372j -0.0110981-0.000968229j -0.00608071-0.0227906j 0.00573058+0.00954985j 0.00206433-0.00760351j -0.00816683+0.00645354j -0.00321215+0.00640491j 0.00474548-6.37286e-06j -0.00631789+0.00171863j 0.0149337-0.00708979j -0.0138974-0.0135851j 0.00141116+0.00578859j -0.0190534+0.00346985j 0.0385741+0.00363025j 0.0215151-0.00430291j -0.00395997-0.0057084j 0.0197622-0.0103176j 0.00874989-0.0424263j -0.00507933-0.000383932j 0.0100075+0.0144759j -0.000526348+0.0117314j -0.000599021-0.00757832j 0.00491218+0.0118903j -0.00353034+0.00231356j 0.00348349-0.00941305j -0.0100116+0.00955619j -0.0324151-0.0061506j -0.00975349+0.00921842j 0.02611+0.00501434j 0.00118027-0.00961826j -0.00759998-0.0162085j -0.0191164-0.0082814j -0.00374243+0.00262446j -0.0176358-0.00299773j -0.00682455-0.00142947j 0.0094469-0.00391778j 0.000804143-0.00661435j 0.0730048-0.0143804j 0.0104675+0.0238454j -0.027857+0.0207606j -0.0345036-0.0272219j -0.00216495-0.0152688j 0.00585234-0.00515401j 0.00603719-0.00161841j -0.00857377+0.00110824j 
-0.00348849+0.00610578j -0.00681848+0.0226316j -0.0107779+0.00683729j 0.0249142+0.00187806j -0.011122+0.0181608j 0.00853584+0.0201628j -0.00693129-0.00780607j 0.0155463+0.00928489j 0.00696361+0.0150435j -0.000942969-0.00526917j 0.000307257-0.0008546j 0.0126316-0.0182417j -0.0181925-0.0220132j -0.0216016-0.00969044j 0.00361215-0.0113263j 0.0056676+0.0034881j 0.00416603+0.00785976j 0.0175421-0.00733407j -0.0111971+0.00163838j 0.00172134-0.00419352j -0.00482557-0.000309208j 0.0196321-0.00728717j -0.0145935+0.0285486j 0.0170954+0.00140352j -0.0143973+0.00490992j 0.000896781-0.00995136j 0.00665835+0.00524169j 0.0117389+0.00478143j -0.00906571+0.0102898j 0.0158495-0.00506711j -0.0148811-0.00308089j 0.0145525+0.00846423j -0.000908888+0.0113901j -0.00452106-0.00862009j -0.0127843+0.0352469j -0.00962852-0.00957072j 0.00370145+0.00928367j -0.0166401-0.0169835j -0.0085014+0.0155251j -0.00369545-0.0231158j -0.0237743-0.0022563j 0.00439632+0.00269218j 6.40143e-05+0.00699251j 0.00277747-0.00102068j 0.0157766+0.00595934j 0.00909489-0.0215143j 0.00193967-0.0115293j 0.0036181-0.00750911j 0.0056563+0.0204549j -0.00858741+0.00353439j 0.0261763-0.00268824j 0.00707696-0.000622231j -0.00080595+0.0124276j 0.00218297-0.00611032j -0.00614676+0.00606739j 0.00985579+0.00041809j -0.0158795-0.00947703j 0.00410703+0.0101231j -0.00438486+0.00727454j 0.00104579+0.0112837j -0.0305157+0.0196654j -0.0432154+0.00261084j 0.000300586-0.0281759j 0.0265085-0.025965j 0.0536303+0.0359794j 0.0133943-0.0122024j 0.00554963-0.00449879j -0.000162831+0.00603119j -0.0145258-0.00572107j 
0.00124302-0.00098415j 0.00413868-0.0036325j -0.00231119+0.00490074j 0.00569206+0.0165277j -0.00165206-0.0124977j -0.00706074-0.00166411j -0.00892218-0.0107588j -0.00144991+0.000531239j -0.0101102-0.00825292j 0.0031668+0.000985417j -0.00151674+0.0274254j -0.021741+0.000768249j 0.00986773-0.0189362j 0.000908581-0.0112868j -0.00127187+0.0466017j 0.00942572+0.00304034j 0.00233211-0.0101655j -0.0207272-0.0225926j 0.0049394+0.0103125j -0.00855575-0.00813886j -0.0136325-0.00879264j -0.0208514+0.0107205j 0.0235079+0.0121584j -0.00556435-0.00477626j -0.00638227+0.011666j -0.000379689-0.0106996j 0.00884154-0.000607988j -0.00143657-0.000161716j 0.00437265-0.0132811j 0.00547939-0.00332141j -0.00197434+0.0102847j 0.00291917+0.00611004j -0.00703873-0.0119996j 0.00990471+0.0110757j -0.053065+0.011797j -0.0179075-0.0114197j -0.0310953-0.0359152j 0.0268024-0.0429635j 0.0107003-0.00531538j 0.00198536-0.00566501j -0.0153341-0.0143227j 0.0192926-0.0230526j 0.0149305-0.0102293j 0.01568+0.0290378j 0.00985168+0.00456665j -0.0140409-0.0131024j 0.0167485+0.0196075j 0.00727657-0.0133464j 0.0193085-0.00915365j -0.000305759+0.00871507j -0.00985153-0.00162155j -0.0160674-0.0109643j 0.0262054-0.000945859j 0.0193429-0.00494469j 0.00333365+0.0104684j 0.0136428+0.0209683j -0.00702708+0.00681924j -0.00331819-0.0092664j 0.00948911-0.0203054j 0.00674001+0.00683523j 0.012739-0.00914434j -0.0325062+0.0119883j 0.0153572-0.00637593j 0.0226745-0.0242721j 0.0167467+0.014595j 0.0104145+0.010858j 0.0253602-0.0132466j 0.0245141+0.00291594j 0.0381346+0.00734768j 
0.00235047-0.0022411j 0.014861-0.0250693j 0.00276452-0.00289611j -0.000528763-0.0097135j 0.0020925-0.00858659j 0.0135849-0.00279641j 0.00514126+0.00246306j 0.000559482+0.00285159j 0.0138594+0.00283945j 0.00498107-0.00400735j 0.00846068+0.0112616j 0.0237295-0.0244043j -0.00764349-0.0122177j -0.00374525-0.00491155j 0.00904771+0.0071028j 0.0144522-0.00985664j 0.00118084+0.0123135j -0.00290031-0.0129569j 0.0235774-0.0234629j -0.0105597-0.000329062j 0.00666337-0.00209253j 0.0308471-0.0170622j -0.0152995+0.0116219j -0.00844954+0.00662853j 0.0267202-0.0165507j -0.0143959-0.00341383j -0.0232505+0.0168425j 0.0126559+0.0119202j -0.00050539+0.00620629j 0.0169816-0.0146054j 0.0104077-0.0214867j 0.00409699+0.00733257j 0.00634984-0.0108446j -0.00896169+0.00851752j 0.00424931-0.000762216j 0.029244-0.0105414j -0.0151226+0.029504j -0.001279+0.0410433j 0.00932408+0.00329517j -0.0140504+0.00453301j 0.0338704-0.016794j 0.00585811+0.036934j 0.0119092+0.0137364j -0.0323798-0.00983031j 0.000149387+0.0194526j 0.0203577+0.0139181j -0.00841005-0.00663206j -0.00731272+0.0164736j -0.00606554+0.00527942j -0.0234204-0.0124964j -0.00593233-0.0221937j 0.0139684+0.0134387j 0.0134982+0.00483952j -0.00742854+0.0118567j -0.00914264+0.00262221j -0.0399308+0.0156269j 0.0155126-0.00963861j -0.0046423+0.0229088j 0.0159432+0.030372j -0.0229114-0.0140227j -0.0481402+0.00735455j 0.016736-0.0184125j -0.0128325+0.00262309j -0.000740254-0.0404258j 0.00299184+0.0323132j 0.0195855-0.051654j -0.00813562-0.0189303j -0.0185141+0.000442558j -0.0724878+0.00533362j 
-0.00524177-0.0031392j -0.0215739-0.0107563j -0.00771134+0.00969708j -0.00670454-0.0185156j 0.00831768-0.00348785j 0.00119799+0.000461238j 0.00176383+0.0103566j 0.00390981+0.00284727j 0.00400904+0.00873541j -0.0112679-0.000787341j -0.0042223+0.0114282j -0.00290788-0.0353698j -0.0350142+0.0309553j 0.0159817-0.00211514j 0.00858955+0.024027j -0.0195769-0.0115953j 0.00628345+0.0358125j -0.00688181-0.0160362j -0.00877648-0.016157j -0.00503738+0.00850311j -0.0208353-0.00606031j 0.0149484+0.0121485j -0.00629748-0.0129519j -0.0150247-0.0100062j -0.00861413+0.0125854j -0.0285619-0.00637114j -0.00116254-0.0162122j -0.0353723-0.000724593j -0.00529653-0.0019157j 0.0172902+0.0150221j 0.00752501-0.00733111j 0.00991802-0.0121547j -0.00874082-0.00712529j -0.0136582+0.0015327j -0.0103761+0.0257231j 0.0369157-0.0478505j 0.0381425+0.0296754j -0.0295903+0.027176j -0.0172223+0.00772087j -0.00496182-0.0199465j 0.0261456+0.000168662j -0.0115369+0.015637j -0.0174311+0.0264585j 0.00631564-0.034541j -0.0115306+0.00623148j -0.00100939+0.0127609j -0.00983092+0.0110887j 0.0172587+0.0101058j -0.0292374+0.00246455j 0.0156378-0.0184574j -0.00349472+0.00965526j -0.0259732+0.00734857j 0.00722907-0.0308903j -0.0252858-0.0130408j 0.00554623-0.0180942j -0.00479541-0.00605006j 0.00694854-0.0355262j 0.0364547-0.00211251j -0.0246421+0.0151205j 0.0007468-0.038921j -0.059489+0.0368294j 0.0251636-0.00566578j -0.0588509-0.0177495j 0.0219188+0.0344444j -0.0100083-0.0201827j -0.0123021-0.0122413j -0.0468047+0.0176903j -0.0625479+0.000624611j -0.136149-0.0338047j 
-0.000180418-0.00434763j 0.00266778-0.00258351j -0.00109486-0.000367869j 0.00359898-0.00232501j 0.00811255-0.000578371j 0.000832398+0.00180035j -0.000705943+0.000119389j 0.00255423-0.00459875j -0.000804985+0.00521666j -9.07214e-06-0.00372654j 0.00706485-0.00279009j 0.00731289+0.00266846j -0.00345707-0.0161285j -0.0107727+0.00408342j 0.00717305-0.0168941j -0.00609042+0.00261581j 0.00854761+0.00355991j -0.00347882+0.00568815j -0.00688074-0.00187676j -0.00347677+0.00213682j -0.000905258+0.0166026j 0.00107227-0.00426498j 0.0025005-0.00469399j 0.00240552+0.00136855j 0.00327623+0.00784187j -0.00189593+0.00651139j -0.00914928+0.00223491j 0.00368806+0.00466187j 0.00362262+0.00598835j -0.00282321+0.00120964j -0.0151273-0.00575873j -0.00793351+0.00563926j -0.0012762-0.00351091j 0.00402719-0.00808324j 0.0201651-0.00431537j -0.000431757-0.000618606j -0.000175274-0.0061424j 0.00519875-0.000415794j 0.00389404-0.0131924j 0.000735322-0.00436098j -0.0130935-0.0071391j 0.00219208+0.00400889j 0.0165546+0.0084399j -0.0113552+0.00593992j 0.0026587+0.00298644j 0.00849271-0.000388838j -0.00225573-0.00537478j 0.00473304-0.0131345j -5.90177e-05-0.00802067j -0.0150009+0.00022772j 0.017053+0.000413084j -0.000170453+0.00263643j -0.00115597-0.0106259j 0.00453872-0.00873353j 0.00454182+0.0044418j 0.0139929-0.00912977j -0.00403033-0.0044311j -0.0106681+0.0119669j 0.00572791+0.000840014j -0.00988581+0.00154524j -0.0147703+0.0103688j -0.018141-0.000129784j -0.00888684+0.0165562j 0.00147105-0.0157206j 0.0128399-0.00246278j -0.00413389-0.00562281j 0.0280732+0.0223642j 0.0187807-0.00459931j -0.0293908+0.000384846j 
-0.00572748+0.000879515j -0.0038776-9.21236e-05j -0.00895231-0.00698907j 0.00939221+0.0237868j -0.00191035-0.00134804j 0.00782437-0.00445731j -0.00756248-0.0165913j -0.00638215-0.00342473j 0.00987966-0.00991962j -0.00808305+0.00330528j 0.0102199-0.00290544j 0.00235162+0.00610785j 0.00988392+0.012606j 0.000227058+0.0029533j -0.018654+0.00405552j 0.00537542+0.0092013j 0.00280149-0.00297405j 0.0140481+0.00388288j 0.00345203-0.0029543j 0.00399229-0.00321538j 0.0246076+0.0100819j -0.0130251-0.00499201j 0.00687363+0.00582384j 0.00814488-0.00240501j 0.0115443+0.00435347j 0.00739744+0.00535593j 0.00321567+0.00520675j -0.00847946-0.000484357j 0.0129265-0.0106833j -0.00602154+0.0251627j -0.00602903-0.00411936j 0.0108291+0.0225791j -0.00295095+0.0164523j -0.0055119-0.0232423j 0.0144514-0.001872j -0.0142594+0.0125753j 0.0118424-0.0117654j 0.0214034-0.0180288j 0.0069828+0.0363389j 0.027209+0.0097386j -0.00679069+0.0165496j -0.00134639+0.00598202j 0.000995972+0.00903315j 0.0169175-0.00616123j -0.00863868+0.0115567j -0.0117292+0.00388849j 0.00336757-0.0019026j -0.00572662+0.00998916j 0.0141332+0.0169496j -0.00424934+0.00142308j 0.0118494-0.0066655j -0.0126766+0.0127452j -0.0103653+0.0124885j 0.000276017+0.00251051j -0.00841137-0.0159115j 0.0256395+0.0126372j 0.00447879+0.0069291j -0.0150335+0.00382032j 0.00273047-0.0190616j -0.0111046-0.0102455j 0.0176057+0.00364337j -0.00974003-0.0212272j 0.0322768-0.0109348j 0.00522835+0.00697713j 0.0226404+0.00536241j -0.0225968-0.00737967j 0.0324186+0.000190032j 0.0251216-0.0147112j 0.042961+0.0140346j 
0.00562281+0.000920454j -0.00116747+0.00321655j -0.00911913-0.0026685j 0.00409379+0.0137032j -0.0117367+0.000601024j 0.00142987-0.00559787j -0.00347605-0.00981485j 0.00594658-0.00467367j 0.00938847-0.0169628j 0.004948-0.00846734j 0.00224935+0.00712638j -0.00484288+0.0073044j 0.00240937+0.0181386j 0.00534895-0.00983591j -0.00608189+0.00251801j 0.000899017+0.0205196j -0.00288433+0.00580976j -0.00165568-0.0049763j -0.00766953+0.00941081j 0.00649117-0.00146545j 0.00219964+0.012611j -0.00410155-0.00327388j 0.0101349-0.00193096j 0.00502387+0.00354285j -0.00669866+0.00762833j 0.00109353+0.00150521j 0.000123498-0.00693257j 0.00652022+0.00618663j 0.00781518+0.00635684j 0.00329746+0.00892537j 0.00882662-0.0112797j 0.000720707+0.0129255j 0.00248261+0.00658289j -0.00804037-0.0211785j -0.0103658-0.0055659j -0.00406474-0.0104766j -0.0119255-0.0124466j 0.00924703-0.0231877j 0.00307103+0.0157723j -0.0111735-0.00232795j -0.00683324+0.0150487j 0.00482651+0.00532353j 5.73331e-05-0.00753184j 0.0122564+0.000880451j -0.00667758+0.0149379j -0.00428837+0.0055877j 0.00163755-0.00797693j -0.0030673+0.00491531j 0.0129434+0.00587601j -0.00794703-0.00341802j -0.0111502+0.00331722j -0.00461863+0.0206632j -0.0310466+0.00700246j 0.0138602+0.0154191j 0.0101627-0.00462544j 0.0247364+0.00866492j 0.0137453+0.00739105j -0.00428764+0.0126768j -0.00598513-0.0193225j -0.00132775+0.00262818j 0.0236212+0.0207214j 0.00674778-0.0142625j 0.024839-0.00797039j -0.00848327+0.0150931j 0.0103125-0.0120581j -0.00639935-0.00571084j -0.0055952-0.000941477j 0.0601401+0.00455314j 0.0229942-0.0213528j 
0.00436194+0.0042793j 0.00932156+0.00309658j 0.0101144+0.00549113j 0.00532333+0.0165284j 0.00304137+0.0077493j 0.00561637-0.00987845j -0.00179515-0.0106436j -0.00945117-0.00291442j 0.00567554-0.0216448j 0.00253653+0.000585096j 0.00370608-0.00295255j 0.0123216+0.0128803j 0.00570596-0.00961291j 0.00432791+0.0067793j -0.0106025-0.0112578j -0.00231059-0.0128799j -0.00543024-0.00951869j 0.00715518-0.000370855j 0.00449744+0.0114638j -0.0022587+0.00569737j -0.00943987+0.00431916j -0.00903523+0.00293746j 0.0140952+0.00263664j 0.00077096+0.000483401j -0.00969729-0.00354302j -0.00287141-0.00355416j 0.00490176-0.000799503j -0.00486983-0.00723882j 0.00568559+0.00148091j -0.0133432-0.00772708j 0.00352005+0.000536944j -0.0139001+0.000482407j 0.0132972+0.00434866j 0.0105491+0.0044507j -0.0123656+0.00500813j -0.0131554+0.0181311j -0.00302612-0.0143652j 0.0128848-0.00175456j 0.000164703-0.0116854j 0.00122781+0.0163314j 0.00837024+0.0054172j 0.0198575-0.0199018j 0.00449963-0.0157961j 0.0170693+0.0241563j -0.0107013-0.0144028j -0.00764019+0.00481308j 0.00048061+0.0115998j 0.00246749-0.00344948j 0.0222531+0.00607795j 0.00682273-0.0169917j -0.000465318-0.0114285j -0.00926657-0.000428505j -0.0153698-0.00278845j 0.0106986+0.000388542j 0.0136072+0.0136046j 0.00655944+0.0433164j -0.00126179+0.0179339j -0.00487554-0.00289573j -0.00800353-0.0234908j -0.00220529-0.00650558j 0.0405744-0.00276322j 0.0210021+0.000653051j 0.0270593-0.00305853j -0.0231589-0.00851926j -0.0138915-0.00976952j 0.00604258+0.000967785j 0.0229085-0.00089611j 0.0225656-0.00642843j 0.0404728+0.0125758j 
-2.5483e-06+0.00480593j -0.00683028+0.00741476j 0.000314693-0.00552693j 0.00205374-0.00603753j -0.00846919-0.00318028j 0.00529477+0.0152915j -0.00479241+0.00268971j -0.0053536+0.00332602j 0.00237034+0.0182084j -0.00130386-0.00480901j 0.00419747-0.0108024j -0.0033709-0.00221923j -0.00649535+0.013892j 0.00130707-0.000227028j -0.00157396+0.0180054j 0.0116683+0.00556647j -0.0110508-0.00969182j 0.00180999-0.00261775j 0.00218589-0.00873099j 0.00465392-0.00558962j 0.0224717-0.0149423j 0.00445842-0.00838965j -0.00564356+0.0155825j 0.0124033+0.000235252j 0.00484235-0.00305959j 0.013+0.0012961j 0.00466422+0.00245719j -0.000594863+0.00248904j -0.000621237-0.0147638j -0.00919963-0.00579422j 0.00619372-0.00738194j 0.00945499-0.0166994j -0.00179691+0.00936972j 0.00767053-2.64115e-05j 0.00796585+0.00538748j 0.000420886-0.00107369j -0.00394455+0.0182412j -0.00961238-0.000473552j -0.0102106+0.0157521j 0.00830851+0.00265719j 0.00111586+0.00339263j -0.00474026+0.0163601j -0.0173206+0.0076335j -0.0149855-0.00174398j -0.000579076+0.0109032j 0.00864104+0.0214898j -0.00371681-0.0118207j 0.00386683+0.0199487j -0.00840609-0.0106956j -3.26052e-05-0.0256259j 0.00528728+0.0011071j 0.0136721+0.0137907j -0.00137697+0.00699812j 0.0103624-0.000233077j -0.00267411+0.00247292j -0.0139829-0.00399502j -0.00664037+0.00428541j 0.00908168-0.0120294j -0.0178526-0.00829792j 0.00704072-0.00398357j 0.0198546-0.00571545j -0.041664-0.00889444j 0.00893532+0.0147559j 0.0322385+0.0142929j 0.0315355-0.0028875j 0.00897624-0.00739983j -0.0121706-0.00352853j 0.00278368-0.00171933j 0.0158138-0.00463101j 
-0.00366069+0.00464952j 0.00434198+0.0055416j 0.00121822+0.00653822j 0.00122507+0.00721657j -0.00793351+0.00409412j 0.002365-0.00719577j -0.00496464-0.00542054j -0.00462629-0.00252679j 0.00234263-0.0102431j 0.00307269+0.00397888j -0.00186861-0.00976787j -0.00137003+0.00835317j 0.0121911-0.000489317j -0.006956+0.0114103j 0.00248808-0.00705166j 0.00918368+0.00370631j -0.000611561-0.00764723j 0.00832894+0.000316709j -0.00128954+0.00162707j -0.00213242+0.00101967j -0.00159055+0.0117816j -0.00087121-0.00194236j 0.000170615+0.00496177j 0.0051798+0.000609401j 0.00155262+0.0037388j 0.0092181+0.00221777j 0.0062119+0.00858217j -0.010787+0.00248923j -0.000785316-0.00801288j -0.00666853-0.00546496j 0.00865663+0.00859442j 0.00592827+0.00554455j 7.76822e-05-0.00631711j 0.00435084+0.00990244j -0.000431487+0.0079571j -0.0115974+0.0165298j -0.00401641-0.00813015j 0.0132386-0.000139464j 0.003337-0.0129519j -0.0146856+0.00380231j 0.00592066+0.00392301j 0.00322024-0.0134032j -0.020478-0.0204274j -0.00420961-0.0110571j -0.00304932-0.025071j 0.00612094+0.00230391j 0.00943422-0.00731446j -0.0137251-0.0081884j 0.00218373+0.00462655j -0.0327953-0.00282791j -0.0207166-0.00182457j -0.00475161-0.0255877j 0.00902816-0.0089073j -0.00859416+0.0043057j -0.0117098+0.00857432j 0.00706507+0.0193002j -0.0145731-0.00508694j -0.00333231+0.00780376j 0.011286-0.00398402j 0.00841455+0.0067371j 0.024746+0.00335247j 0.0328969+0.0124832j 0.00964539-0.0128522j -0.0282552-0.0143531j -0.0278601+0.00774321j 0.000669756+0.00711256j 0.0161364+0.00450995j 0.0126451-0.00418298j 0.0216693+0.0145599j 
-0.00143385+0.000837289j 0.00999318+0.00419649j 0.00235841-0.00497782j 0.00429405+0.00573889j -0.00223903+0.00524031j -0.010774-0.00134273j 0.00145111-0.000528543j 0.0140114-0.00590409j -0.00757144+0.00287747j -0.00477545+0.00717451j 0.00317119+0.00117787j 0.00131754+0.00203683j 0.0126833-0.00524718j -0.00137611-0.000736266j -0.00282687-0.00196046j -0.00193731-0.00337338j 0.00637771-0.00736624j -0.0030258+0.0045301j 0.0019718+0.0062659j -0.00194319-0.00354432j 0.00868632-0.00735783j -0.0130207+0.00867417j -0.0061313+0.00389931j -0.0095295+0.0047393j -0.0147514-0.000599708j 0.00841377+0.00488614j 0.0121411+0.0036344j 0.0159525-0.00502796j -0.000592874-0.00223873j -0.0177941+0.00186951j -0.0110026+0.00974168j -0.00590797-0.0139291j -0.00221037+0.00834219j 0.00331277-0.00813875j 0.00736939-0.00638608j -0.00419957+0.0126432j -0.00421183-0.01458j 0.00689204-0.00159616j 0.000930992-0.007835j 0.00815307+0.00493433j -0.0233266-0.0151275j 0.00683316-0.00742784j -0.00967467-0.0156741j -0.005257-0.00086208j -0.00614844-0.00442005j -0.0021544+0.00606287j 0.00690398+0.000497758j -0.00384916-0.00839161j 0.0012378+0.000969206j 0.0026692-0.00449401j 0.00704703-0.00887346j 0.00112843-0.00190171j -0.00688498-0.00652692j 0.0190501-0.00948603j 0.0105825+0.00879238j 0.0159255+0.00459476j -0.00366323+0.0067425j -0.0163182+0.00193462j -0.00244406-0.00278247j -0.00751711+0.00418388j 0.0314696+0.000716824j -0.00861949+0.00277551j 0.0137157+0.00408936j -0.0188212-0.00860091j 2.9659e-05+0.00410568j -0.0150508+0.00409396j 0.0120682+0.00839061j 0.0299918-0.00730725j 0.0219634+0.0042246j 
0.0161377-0.0019745j -0.00862914+0.00362583j 0.00351182+0.00374377j 7.27793e-05-0.00766661j -0.00744033-0.000747138j 0.00821178-0.0153062j -0.00330616-0.0132839j -0.0256439+0.00496105j -0.0034775+0.0180117j 0.0213595-0.00268658j -0.00217707+0.00191794j -0.00268181+0.0115767j -0.000712414+0.00543998j -0.00171884+0.000564091j 0.00596451+0.00435832j -0.00460668+0.00541344j 0.00338041-0.00429477j -0.00221421+0.00607902j -0.00177873-0.00552307j 0.0105889-0.00209221j -0.00186348-0.0109928j -0.00666918-0.0128638j -0.00467141-0.0099612j 0.00850767-0.0172703j -0.00316519+0.00398001j -0.00150109-0.00891147j 0.00634186-0.00263757j 0.00129909+0.0010036j 0.00139302-0.00282654j -0.00418342-0.00555748j 0.00136646-0.00648667j -0.000816221-0.0113734j 0.00490426-0.00170925j 0.00540622-0.00188842j 0.0080249-0.00818781j 0.000328009+0.00389244j -0.00386747-0.00384147j 0.00498117-0.00134502j 0.00446839+0.000554797j 0.00877918+0.00396165j -0.00749976-0.00214535j 0.00152107-0.00237819j -0.00507672-0.00050204j -0.00696233-0.00207061j 0.00600234+0.0060227j -0.00301237+0.00459865j 0.00353654-0.00124367j -0.00841032-0.0031069j 0.00514977-0.00940252j 0.0147791-0.00334186j 0.00383876-0.00442996j -0.0035753-0.00191009j 0.00234413+0.00232842j 0.00749166-0.00102795j 0.00446601+0.00585525j 0.00730377+0.00491225j 0.000576052+0.00746748j -0.012023+0.00437999j -0.00537659+0.000104938j -0.00772302+0.00849319j 0.0151453+0.00133884j -0.00759132+0.00124641j 0.0008683+0.00576242j -0.00628756+0.00547345j 0.00787112+0.000726283j -0.0117-0.00392075j 0.00805877-0.000275059j 0.0164926-0.00710805j 0.00489056+0.00327839j 
