0.101123+0.0595101j 0.167472+0.122301j 0.200141+0.281181j 0.116658+0.191829j 0.155611-0.204765j 0.302946-0.392415j -0.0623472-0.290203j 0.160477-0.0250439j -0.131373-0.291412j -0.328782-0.548419j -0.492786+0.016539j -0.00956719-0.546087j 0.937898-0.0265569j -1.71258+0.777952j -0.73419-2.26783j 0.082027-0.187404j 0.148294-0.190901j 0.0874867-0.437054j 0.120675-0.272859j 0.444712-0.30366j -0.620397+0.406077j -0.0572041-0.115663j -0.186497-0.521784j 0.358477-0.0292715j -0.299888-0.384964j 0.522465+0.374397j -0.312651-0.0475724j -0.400033+0.00638191j 0.591954-0.220984j -0.18356+0.116303j 0.519562-0.00311126j 0.143707-0.183028j 0.152909-0.596614j -1.06207-0.40884j 0.94235-1.14931j -1.5795-3.06407j 2.3719-1.44543j 0.13692+0.0286929j 0.0255901+0.0761047j 0.124088-0.22734j -0.0302005-0.266175j -0.0240921+0.0364215j 0.0373862-0.0057507j -0.367716-0.244471j 0.0276247-0.00526021j 0.328455-0.182576j -0.135328+0.145214j 0.252499+0.0250323j 0.329828+0.377188j 0.0245237-0.143012j 0.495934-0.0630088j -0.348447+0.462523j -0.14313-0.3434j 0.191987+0.381561j 0.106366-0.469876j -0.160323+0.0296176j 0.246992+0.111565j -0.288597-0.137468j -0.0135072+0.698331j -0.238402-0.491239j 0.133276-0.194307j -0.659829-0.587301j 0.150385-0.231895j -0.639953-0.428218j 0.0223234+0.0530876j -0.684973-0.0123207j -0.562529-0.0313635j 0.250698-0.0191866j 0.453136-0.0233726j 0.523918-0.557906j -0.227681+0.211283j 0.0572602-0.188295j -0.255503+0.755585j 0.182675-0.149702j -0.289946+0.278847j -0.0724885-0.692555j -0.451987-0.00390192j -0.0495333-0.13919j 0.259449+0.739042j 0.0640788+0.211167j 0.157762+0.222268j 0.206518-0.0237905j 0.314993+0.488323j -0.300039-0.314593j 0.11981-0.207669j 0.629576-0.0559734j 0.88151+0.2801j -0.468751+0.448203j 0.359662-1.72853j -0.589801+0.281905j -1.6121-1.23361j -0.973497+1.16947j 3.49424-0.323179j -1.15356+0.0183099j 0.194679+4.11428j 
-0.322491-0.11742j 0.902974-0.0358665j -0.130628-0.265152j -0.0300133+0.741647j 0.0983971-0.133085j -0.244619+0.126752j 0.877876+1.54168j -0.603486+0.991872j 0.87281+0.727745j 0.528085-1.59821j -0.64326-1.00511j -0.46996+0.800053j 0.278896+0.0160832j -0.786603+0.0262629j 0.390932-0.861959j 0.449065+0.488356j -0.854687-0.399428j 0.227309-0.0960676j 0.357806-1.14415j -0.743493-0.683606j 0.905577-0.288522j 0.0175744-0.359202j 0.878551+0.984079j 0.285082+0.940149j 0.126419+0.956429j -0.0754287+0.515973j 1.47016+0.614849j 1.63791-0.815383j -0.349613+1.73782j -0.330162-0.849223j 0.0727747+0.216311j 0.204549+0.755517j 0.749093-0.0672156j -0.562384+0.363466j 0.0885688-1.55636j 1.66117-0.669183j 0.0655961+0.59662j -0.308543+0.946742j 0.531921+0.395518j 0.795326+0.228926j 0.388188-0.277043j 0.0882939+0.204124j 0.262881-0.100023j 0.511425+0.746335j -0.319445+0.995567j -0.541335+0.0224803j -0.264298-0.136289j -0.310728-1.92382j -0.120407-0.184591j -0.710665-0.514844j -0.366946-0.177639j 1.59882+1.01041j -0.329252+0.444734j -0.0417395-0.744271j -1.45749-0.388733j -0.430686-0.000340677j -0.617547-0.297833j -0.617987+0.809634j 0.855913-1.10687j -0.0913926-0.17705j 0.281647-0.355864j 0.588665+0.925825j -0.158889-0.905758j 0.811373-1.39076j 0.00391366+0.338342j -0.553059-1.26576j 0.928404-0.615543j 0.240299+0.378827j -0.95522+0.095228j -0.889192+1.7563j -1.49876+0.589552j 1.26381-0.461157j 0.890076-2.09346j -0.815986+0.0430463j 0.219174-0.748409j -0.221767-1.82452j 0.0297028-1.60471j 0.646238-0.264256j -0.144022-1.50445j 0.975631-0.298586j 0.413358-0.589136j -0.362703-2.05561j 1.31437-0.9334j 0.720004-0.101433j -0.733792-0.693739j 0.961084-1.38909j 0.873454-0.0784585j -0.318338-0.655869j 0.578884-0.962498j 0.0954948+0.873653j -0.158026-0.268886j -1.14761-0.79164j -0.451527+0.900147j 0.290568+0.346448j -6.05175e-05-0.548794j 
-0.155575-0.166352j -0.0262974+0.277214j 0.787826-0.323532j 0.217153+0.536569j 0.991669+0.406762j -0.510322+0.38109j -0.0708791-1.13041j 0.463277-0.357502j 0.526483-0.1018j 0.458242+0.194032j 0.575583+0.833175j 0.976434-0.8368j 0.32374-1.01338j -0.11173+0.153273j 0.690942+0.0590967j 0.204049+0.40894j 0.483836-0.358453j -0.892237-0.446459j 0.0108239-0.729673j 0.788253-0.180955j 1.02917-0.0246839j 1.25758-0.587407j 0.99543-1.3346j 0.718026+0.117784j 0.488202-0.756112j -0.72116-0.382421j 0.740943+2.37767j 1.02566-1.40871j 1.02269-0.156553j -0.817005-0.985497j -0.659429+0.597115j -1.16985+0.619231j -2.13318+0.740547j 0.657255-1.5009j -0.760682-1.40241j 0.491006-0.388023j -0.441273+0.193873j -0.478797+0.234854j 0.0785634+0.364598j -0.0176082-0.766095j -0.42763-0.118875j -0.193346+0.0217138j 0.308898+0.127547j -0.125475+0.806693j -0.884146+0.438783j 0.498862-0.575717j -0.0393399-0.592532j 0.355362-1.34187j -0.796472-1.01214j 0.845678-0.56312j -1.06949-0.174395j -0.402528+2.41551j 0.630513-0.785782j -0.0654191+3.6805j 0.104157-1.26402j -0.188566+0.544135j 0.780031+1.242j 0.728572-0.378688j 0.169593+0.700882j -1.25785-0.728344j 0.242484-0.868182j 0.08-0.0558219j -0.0621009-1.43211j 1.78792-1.7417j 0.477775+1.02689j 0.720984-2.94248j -0.400286-3.12101j 1.08281+0.850376j -0.643487+1.25556j 1.31239+2.02339j 1.19781-0.0418276j 1.18071-0.0988532j 0.591399-3.52362j 0.613813-1.11275j 0.462867+0.437935j -0.763928+1.67341j 0.801466-2.15395j -0.745543+1.13613j 1.74605-0.701234j -0.0098924-1.67972j 0.649675+0.698712j 0.383124-1.8658j -0.266316-0.934684j 0.147877+0.0199059j 1.63536-1.45281j 0.0246429+0.826001j -0.737762-0.715994j -0.365511+0.120335j -0.307367+0.417346j 0.581442-2.17619j -0.845826+0.319174j -0.963106+0.83784j 0.328506+0.486235j 0.724792+0.487253j 0.279969-0.734708j 
0.038391-0.140247j 0.0234824+0.268156j 1.14315+0.457096j -0.50763+0.163505j -0.754331-0.0469357j -0.536454+0.433467j -0.887836+0.322506j 0.464712+0.637908j 0.0354173-1.61412j -0.701124-0.363008j 0.498188+0.730998j -0.53044-0.275971j 1.2708+0.930483j -0.238277-0.986392j 0.547077+0.477587j 0.0502083+0.472619j 0.610993-0.302141j -1.08982-1.16225j 0.546689-0.0671817j 0.670728-0.556241j 0.63511-0.16804j -0.478294+0.279982j -0.0909902+0.933878j 1.35794+1.0966j -0.285238-0.76181j -0.40879+0.227472j -0.150753-1.63174j -0.511877+1.14883j 1.31365+1.01918j -1.10697+0.920154j 1.2353+2.0537j -0.232967+0.327193j -1.00173+0.111705j 0.405025+0.216371j 1.13077-0.0162146j 0.986906+0.310863j -0.486348-0.027016j -0.607863+0.12505j -0.0604002+0.390919j 0.146222-0.692892j -0.370434-0.19016j -0.161563+0.581146j 0.60642+0.437755j -0.463157+0.268192j -1.08537-0.101122j 0.773886-0.691974j 0.523057-0.53159j 0.654885-1.48064j 0.0992342-0.853537j 0.436254-0.771115j -0.383065-0.756398j 1.16776+2.42456j 0.402191-0.710093j 1.18974+0.566636j -0.585535+0.568732j -0.331293-0.424302j -1.22635-0.701094j 0.582855+0.595512j -0.86786+1.03031j -0.21624-3.73492j 0.871821-0.0687817j -0.132914-1.26537j 0.81507+0.226069j -0.813129-3.22383j 1.38052-0.948338j -0.23011-2.25376j 0.471723-1.44797j -0.372593-1.20838j 0.840673+2.0636j -0.536908+2.72968j 0.707359-0.169323j 0.294655+0.428017j -1.41672-2.05738j -0.689633+0.341333j 0.488411+0.0472516j -0.566029+1.77987j 1.01796-1.18993j -1.21339+0.0479624j 1.00865-2.20411j -1.22618-1.41703j -0.964064+0.832588j 0.030329-1.11038j 0.0802336+0.652736j -0.550134-0.0693225j 0.84339+0.462184j 1.37287+1.01432j -0.571737+0.487949j -0.178902+0.442996j 0.331656+0.808819j -0.0314661-1.23187j 0.0814692-0.0590321j -0.361468-0.0982944j -0.317107+0.475146j 0.290376+0.71015j 0.504349-0.489802j 
0.0557936+0.0448548j 0.0311453+0.34668j 0.5029-0.17843j 0.19131-0.595068j 0.61045-0.637895j 0.196585+0.889716j 1.58512+0.0575272j 0.0745002-0.687118j -1.77264+0.239494j -0.219576+0.958767j -0.622407-1.24819j 0.106672-0.896306j 0.597149-0.0719231j 0.25154-0.269013j 0.0131887+0.127041j 0.0155742-0.0449888j 0.127337-0.287816j -0.506902+0.164011j 0.0487232+0.520996j 0.801818-0.555456j -0.334914-0.0745743j 0.352945-0.874638j 2.20574+0.614501j 0.0946967-0.693335j -1.94178+1.43267j -0.0615236-0.146233j -0.0505603-0.905111j 1.75296+1.31463j 1.39191-0.819853j -1.934+0.0551808j -0.125885-0.270977j 0.208254+1.04194j 1.24108+0.664907j 0.159319-0.471149j 0.361713-0.276273j 0.118223+0.238829j -0.0305091-0.128216j -0.142377-0.11702j -0.0604981+0.043485j -0.122849+0.00427942j -0.0895347+0.125905j 0.121429+0.183042j 0.249663+0.0427597j -0.545838+0.337762j -0.0591193-0.287982j 0.0964847-0.533308j -0.184985+0.134907j 0.919517-0.24705j -0.170191-0.142413j 0.380372-0.788545j -0.0282205-0.166019j -0.539807-0.689689j 0.974663-0.389317j -1.0714-0.314856j -1.62795-0.267958j 0.0315358+0.483075j -0.142807-0.263203j -1.12762+1.2119j 0.306975+0.0801469j 0.883473-0.3068j -0.440777-0.117206j -0.3378-0.301716j -0.649077+2.3386j -0.445592-0.167582j -1.74825+2.42724j 1.94851+0.88497j -1.35171+0.568184j 1.52054+2.46345j 0.163766+1.60467j -0.194998-1.07708j 0.166395-0.407855j 0.180914-0.176157j -1.32398-0.75624j -0.489186-1.29367j -0.624787+0.47955j 0.20448+0.125954j -0.200456-0.30186j 0.435211-0.539164j 1.38228-0.20501j -0.723818-0.358488j -0.0117438-0.75948j -0.0958037+0.156581j 0.0381881+0.573298j 0.320884+0.253578j -0.770478-0.185826j 0.0832739+0.227323j -0.0616822+0.49402j 0.33804-0.224361j 0.420903+0.0991279j -0.463874+0.071869j 0.0498904-0.24582j 0.0283307-0.11026j -0.0450159+0.0158229j -0.00681503+0.161352j 0.183493+0.00509216j 
0.322558+0.131524j -0.332408+0.690157j 0.948098-0.596846j 0.432296-0.0967825j -0.423991+0.715136j 0.715196-0.615977j -0.356423-1.54827j -0.399659+0.815818j 1.14354+0.945656j 0.691086+0.547878j 0.208098+0.0905783j 0.0791323+0.690135j 1.59176-0.342177j 0.0614211-0.104017j -0.106427+0.53497j -0.222745-0.0754522j 1.0791-0.247749j -0.91113-0.03638j 0.276905+0.0270785j -1.01917-0.199212j -1.33797+1.97587j 0.18188-0.220283j 1.48597-0.309832j -0.772936+1.32261j 0.338729+0.941174j 0.578591+0.423075j -0.0738243-1.39812j 0.420007-0.613944j -1.47209+0.0590739j -0.323603+1.32543j -1.05057+0.0635713j -0.060188-0.119478j 1.52136+0.347458j 0.67703+0.488137j 0.898783-1.5064j 0.485613+0.232776j -0.0608445-0.6047j -0.577898-0.624795j -0.404868+0.145819j -0.475487-0.715536j -0.623951+0.12706j 0.0132162+0.161263j 0.366415+0.190939j 0.453555+2.12755j 0.0404941+0.415975j -0.685274-0.581311j 0.524643+0.192532j -0.701008-0.938249j 1.60413-1.09949j 0.616334+0.100212j 0.252866-1.9224j -0.412395+1.5801j 2.02922-0.76349j 0.357666+1.98543j -0.484651-2.1084j 1.04973+0.833231j 0.29128-0.367016j -0.786606-0.0792939j 0.91726+1.42379j 0.493604-2.57466j -0.971724+0.0483796j -1.18162-0.0818771j -0.940501+0.0475422j -0.391993-4.21667j 0.538094-1.94636j -1.49506-1.89926j 0.0249212-2.3116j -1.59411-0.489233j -1.06728+0.881512j 0.0179944+2.56948j 0.361956-1.12973j -0.42692-0.443194j 0.60884-3.73882j 0.467527+0.130851j -1.49832+0.13439j 0.542425+1.54445j -0.146005-0.0678248j -0.796458+0.049537j 0.205858+0.442107j 0.0296438-0.257215j -0.545345-0.68757j 1.26216-2.34008j 0.447897-0.525936j 0.372515+0.970677j -0.248005-0.912956j 0.428635+1.77602j 0.732651+0.0447376j 1.39017-0.0671976j 0.425056+0.257594j -0.11378-0.160569j -0.0114679-0.454483j -0.451659+0.0873036j 0.321989+0.3845j 0.0631221+0.704012j 0.726349+0.0161349j 
0.185451+0.147744j -0.0882057+0.0345401j 0.0442837+0.72944j -0.777325-0.91469j -0.612122+0.273152j -0.343934+0.0932315j -0.583876+0.153988j -0.12608-0.543866j 0.27655-1.4678j 0.286844+0.876136j -1.43813-0.0280595j -0.910075+0.677233j 0.536563+0.673926j -0.0372483-0.183508j -0.342929+0.294182j -0.291267+0.0283874j 0.655473+0.4542j 0.93418-1.21257j 0.16774+1.33554j -1.57304-0.624507j 0.50294+0.00194693j -0.00555419-0.341352j 0.927329-0.592152j -0.187823-0.825232j -1.2683-0.843995j 0.843313-0.647044j -0.501673+3.06576j -0.694273-1.52386j 0.219919+1.0677j -0.936488-1.66042j -1.34339-0.264559j 1.21755+0.459936j 0.857872+0.0509753j -0.17686+0.914194j 0.549446-0.299381j 0.331234+0.222519j 0.0789996-0.421912j -0.339799-0.642533j -0.409552+0.0338134j 0.423884-0.712018j -0.320458-0.433101j -1.42479-0.329214j -0.534347+0.848718j 1.44586+2.45145j 0.150395-0.143507j -0.980892-0.110208j 0.77955+1.17685j -1.59493-2.27393j 0.143981-0.255716j -0.802025+0.196064j 0.0983202-0.277965j 0.153331+2.98699j 0.656504-0.837907j 0.634331+2.90373j -1.66084-0.427164j 0.331424+1.62603j 0.150334-0.17852j 0.818145+1.28922j 0.370736+1.40519j -1.33641-3.25185j -1.05546-0.774479j -1.42028-0.225333j 1.32349-0.212093j -0.639265-2.35085j -1.2379+0.283128j 0.525075-2.64297j -0.249794-3.33778j -0.35852+2.15271j 1.50099+0.285137j 1.51011+2.90818j -0.440449-0.00467149j 0.233505-0.44748j 1.21552-0.847957j 0.803315+0.0369805j 0.907757-1.61279j -0.655147+0.466244j -0.228886-0.785158j -0.402035+1.98092j -0.0354748-1.20962j -0.446795-2.38286j -0.910656-0.845974j -0.384889-2.09571j -0.500786-1.14409j 0.0622654+0.61344j -0.350534-0.269289j -0.406405+1.82686j 0.215466+0.094303j 0.893129+0.37725j 0.00144572+0.346574j -0.111736-0.725739j 0.00609168+0.129825j -0.448954+0.256675j 0.162453+0.429511j -0.0697242+0.594668j 0.528978+0.128097j 
0.00122398+0.525266j -0.44797-0.0401873j 0.0199624-0.0160861j 0.422798+0.946571j 0.636209-0.929848j -0.717622-1.25954j -1.04478+1.24417j 0.701148+1.06326j -0.767797+1.61683j 0.162525-0.03263j 0.143359-0.387483j -0.214106+0.794162j -0.212693+0.111241j 1.44335+0.552662j -0.788578+0.428892j 0.0844144-0.27431j 1.27663+0.540144j -0.124869-0.993538j -0.404112-0.251031j 0.759348-0.697386j 0.335988+0.531336j -0.161848-0.789376j -0.460095-1.13644j 0.637114+0.905382j -1.6688-0.0754664j -0.200994-0.266736j -0.928444+1.34637j 0.457338+1.29891j -0.329459+0.406459j -0.552336+1.40453j -1.0137+0.124893j -0.37108+0.778939j -0.778479+1.07404j 0.261096+1.26369j -0.328952-0.187293j -1.14797+0.392886j 0.270723-0.766717j 0.0197846-0.694347j -0.355644-0.158776j -0.888914-1.10407j -0.787197+0.107072j -0.654071+0.597594j 0.276892+0.562607j 0.372504-1.07719j 0.25429-1.07715j 1.243+0.235537j 0.309693+0.706575j 1.05742+0.179956j 0.119669+1.30997j 0.438728-0.804113j 1.47475+0.0672779j 0.641849+2.75246j -1.34073-0.547046j 0.404162+0.90856j -0.0690939-1.44439j -0.549765+1.48651j -0.151151+0.631518j -0.827014-0.783469j 0.412043-1.59261j -0.933-1.9199j -1.49232-1.11943j 1.30288+0.546698j 0.817059-0.641204j -1.13401-1.39159j -0.144453+0.348087j -1.16112-0.371715j 0.663909-1.05049j 0.391147+0.239992j 0.419695+0.162121j 0.23953+1.65333j -0.960129+0.628686j -0.181642-0.322305j 0.0189949-0.352259j -0.865688-0.827196j -0.531744+0.378759j -0.641525-0.873522j -0.310169+0.457393j 0.471266-0.441183j 1.58542-0.388055j 0.235475+0.695681j 0.593521-0.168239j 1.75156-0.510007j 0.404056-0.100722j -0.721497+0.196325j 0.292536-1.06581j -0.27865+0.949498j -0.271583-0.472518j 0.502177+0.806035j -0.0734991+0.577331j 0.433613-1.09026j -0.0821627-0.240523j 0.373926+0.492617j 0.612393-0.481699j -0.253228+0.268569j 0.499069+0.627743j 
-0.206884+0.274643j -0.888444+1.69903j -0.19823-0.265614j 0.641484+0.857934j 0.246718+0.332616j 0.196194+0.546321j -0.0636593+0.291178j 0.194507+1.05293j 0.390484+0.285189j -0.487679-0.456844j 0.0607077+0.177755j -1.87028-0.103051j 0.950089-0.670052j 0.533543+0.448828j -0.0164773-0.156578j 0.689443+0.214124j 1.16991-0.451578j 0.39619+2.27235j 1.5123+0.0604489j 0.602196+0.507107j -0.1603-0.461539j -0.458696+0.307884j 0.0245236-0.745183j -0.624806-2.02052j -0.384517-0.41862j 0.343285-0.921428j -0.178913+0.35461j -0.257157-0.147339j 0.529837-0.965717j -0.0322436-1.86386j 1.88496+1.05695j -0.244952-0.09561j 0.648541+0.0387309j -0.667115+1.52058j 0.0276112-0.314641j -0.156511+0.899222j 0.220456+0.270281j -0.018306+0.223606j 0.201113+0.0233718j -0.171366-0.452193j -0.753026+0.212319j 0.630649-0.553671j 0.10441-0.698645j 1.06034+1.7071j -0.97289-2.01477j -1.11971+0.204141j 1.37728-0.0364507j 0.728952-0.19847j -1.21916+0.0898673j 0.134497-0.470512j -0.182051+0.813289j 0.841669+0.859705j -0.365226+0.0451672j -0.0665163-0.229203j 0.639578+0.290829j -0.55645+1.91251j -0.786348+0.153522j 0.272083+0.177216j -0.622651+1.32737j -0.102708-1.79373j -0.808505-0.922558j -1.32856-1.0632j 0.225509-0.357885j -1.48723-1.42908j 0.0625311+0.450894j -1.0042-0.0895809j -0.159977+0.260729j 0.575496+0.109981j -0.0670707+0.352903j -0.744789+0.25044j 0.194422+0.16305j 1.70346-1.36577j 0.335285-0.963493j -0.244262-0.394833j -0.667956-0.0986635j -0.544593+0.108043j -0.969953-2.08167j 0.311702-0.841076j 0.434931+0.0805999j 0.364468-0.891628j 0.247199-0.210761j -0.873197-1.3289j -0.227309-0.234541j -0.317774+0.299132j -0.304083-0.553696j 0.576356-0.225188j -0.118036-0.0862993j 0.183761+0.597393j -0.484357+0.248819j -0.0463088+0.301299j 0.0976263+0.492983j 0.395155+0.134912j -0.12839-0.340986j -0.116661-0.0644041j 0.0649322+0.15701j 
-0.319027-0.115638j -0.637668+0.445204j 0.556415+0.819869j 0.351769+0.337438j 0.893992+0.840955j -1.5199+0.468185j -0.0867794+0.209589j -0.563613-0.446709j 1.27029-0.796087j -0.110387+1.33322j -0.508728+0.0197654j 0.0727893+0.00189106j -0.00997302-0.608298j 0.323176+0.473135j -0.442057-0.0491843j 0.147112-0.0327213j 0.511873-0.202694j 0.142074+0.142787j -2.19519-0.460025j 0.970118+1.41741j 0.748302+0.371745j -0.393368+0.378568j 0.00691511+1.06519j 1.01597+0.31271j -0.524494+2.06501j 2.1299+0.531106j 1.75696-0.569409j -0.556299+1.97147j -0.609554+0.857311j 0.977689-1.43315j -0.437489-1.10147j 0.182375+0.52902j -0.198729-0.342704j 0.115811+0.0410512j -0.0698786-0.413482j -0.516378+0.0101955j 0.28539-0.29263j 0.138863-0.593218j -0.244009-0.068296j -0.0674876-0.190529j -0.23744-0.133814j -0.210905-2.04735j -1.31241-0.376201j 0.695183-0.230771j 1.3359+0.828626j 0.382825+0.870232j -0.53082+0.436631j 0.00797648-0.250387j 1.67757-1.5794j 0.0786148-0.291376j -0.77228-1.59171j 0.577864+1.67611j -0.407763-0.838293j 0.647951-0.0757375j 0.49775+1.16526j -0.172454-0.358985j -1.17891-0.0502033j 0.887746+0.0544673j -0.099568+1.18624j -1.09-0.21318j 0.483013-0.366077j -0.993425-0.55491j -0.428182-1.67576j 0.0644606-0.795574j 1.52059+0.532126j -0.930595-1.17509j -0.61833-0.0577374j 1.23708-1.02737j -0.0132971+0.333961j -1.08273+0.169539j -0.927707-1.01041j -0.44751-0.169709j 0.394844-1.26255j 1.30464-0.27186j 0.672159+0.598142j 1.14713-0.947443j -0.191275+0.287619j -0.996195+1.60977j 1.18196+0.594323j 0.478905-0.847582j -0.0621114-0.391426j -0.0650076-1.09609j 0.359099-0.692812j 0.201767+0.0736906j -0.31031-0.325344j -0.409352+0.0641874j -0.154662-0.297086j 0.0811758+0.012254j -0.00941021+0.253293j 0.555209-0.617922j -0.13863-0.227245j -0.0913747+0.12312j 0.34025-0.0644706j -0.23827+0.0886262j 0.157509+0.407999j 
-0.254007+0.318403j 0.269472-0.0122324j -0.0149584-0.0458747j 0.225438+0.40838j 0.109927-0.28988j -0.286702+0.914889j 0.0181787-0.780573j 0.2438+0.871898j -0.12477+0.0479366j -1.04406+0.634845j 0.352155-0.127805j -0.77205+0.240402j -0.0726337+0.36729j 0.0479698-0.100003j -0.19968-0.0275189j 0.0973418-0.132868j -0.197971+0.385205j 0.594396-0.128327j -0.515175-0.0187772j -0.582415-0.923474j -1.10002-1.05115j 4.15697-0.125537j -1.64053+0.62061j 1.04498+0.186357j 0.0347622+2.03246j 0.335421-1.27478j -0.49614-0.946468j -1.27557-2.45834j 0.875662+0.529703j -0.0486981+0.572528j -0.228972-0.887442j -0.0204763+0.156206j -0.333715+0.454529j -0.559267+0.724136j 0.140111-0.1469j 0.173478+0.220267j 0.164793-0.150368j 0.111933-0.397451j -0.111367-0.122186j 0.701918-0.265739j 0.0922489-0.457436j -0.79055-0.803616j -0.649572+0.323069j 0.500048+1.96583j 0.386122+1.12009j -0.898516-0.888749j -1.33377-0.838762j 1.94893+0.851396j 0.157559+0.0140468j 2.85193-1.45914j 0.224084-0.0105585j 2.00657+1.61355j -0.230699+0.903712j 0.944937+1.00712j -0.314831+0.750676j -0.462099-0.396337j -0.0833288+0.556007j 0.881904+0.619209j -0.676173+0.0138799j -1.12229-2.18399j 0.637273-0.231999j 0.324989-0.695474j -0.531379-0.53856j -1.52767-1.87284j 0.0967046-0.469768j -0.476831-0.544501j -1.62968-0.279662j -0.313975+0.140458j -0.225357+2.40305j -0.791852+0.217196j -0.612668+0.117784j 0.038958+0.65404j -0.876247-2.49183j 0.507801+1.05631j -0.320641-1.2373j -0.588057+0.0531473j 0.936809-0.235848j -0.759951+0.703133j -1.35291-0.408259j -0.827551-0.974097j -0.214026-0.342458j 0.16429-0.948491j 0.0650616-0.27299j -0.412769+0.50386j -0.0198128-0.471792j -0.306706+0.827914j 0.202349-0.0579377j 0.583186+0.780057j -0.221433+0.127323j 0.0121671-0.629258j -0.0995647+0.347704j -0.381928+0.262106j 0.0153712+0.278141j -0.164289+0.308566j 0.220466+0.181792j 
1.13652+0.0176501j 0.00916979-0.65732j -0.283423-0.300887j 0.280011-0.486416j 1.78311+0.220812j -1.51046+0.317444j -0.0230466+0.0454011j -1.09016-0.383865j -0.419663-0.353893j 0.616817-1.39567j -0.919683-1.3091j 0.39875+0.706852j 0.768063+0.284882j -0.419647+0.103423j 0.258525+0.357303j -0.45635-0.568128j 0.0784801-0.503675j -1.58706+0.602427j 0.185473+0.710172j 0.556016+1.37j -0.00129751+0.404952j 2.03695+1.27312j -1.36472-0.850904j -0.00142507-0.548172j 0.601281-1.42133j 0.0282972-0.684211j -0.503086-0.130819j -0.64358+0.784577j -1.28992+1.06593j -0.499444-0.0985261j 0.870203+0.91171j 0.286366+0.423884j 1.48352+0.502349j 1.03762+0.00418076j 0.264115-0.127881j 0.194461-0.734302j -0.4939-0.0542103j -0.198935+0.0104232j -0.0625436-0.0322604j -1.11842+0.390292j -0.228844+0.696244j 1.89795+1.61523j 1.34283-0.406667j -0.267485-0.885698j 2.01322-0.80348j -0.587148+0.909352j -0.333333+0.838652j 1.6435+2.60815j 2.04741-0.655701j 0.0775099-0.0879078j -0.252803-1.77271j -1.72195-3.62685j -0.143526+0.0800317j -2.01217-1.88053j 0.816469+1.91788j -0.608508-0.918492j -0.358435+0.54741j 0.643625-0.114619j -0.510631-2.17445j 0.304831+3.05628j 0.114853+0.0481916j 1.4903+1.0673j 0.341419-1.27818j 0.229764+2.59716j 0.110593+0.906016j -1.62021+2.0691j 0.96591+2.54923j 1.26288-0.64162j 0.338504-1.17682j -0.257154-2.04914j 1.11963+1.05443j -0.94163+0.342469j -0.690401+3.53407j 0.497959-0.379201j 0.278407+0.811942j -0.786557+0.312725j 0.0299994+1.86658j 0.849855-0.327469j -0.245505+1.74035j 1.07208+1.02978j 0.625944+0.293477j -0.553033+1.48656j -0.457371+0.922021j -0.00634504-0.00229542j -0.374045+0.661994j 0.800561-1.11301j -0.0616169+0.245102j 0.114777-0.504131j 0.517603-0.406362j -0.368622+1.68895j 0.651146-0.905316j 0.471984-0.312545j 0.157174-0.265584j 0.59097-0.221777j -0.0820307-0.54016j 
0.292495-0.487512j -0.48967-0.676173j -1.21057+0.200686j 1.27728+1.13049j 1.8838+1.40848j 0.10759-0.124513j -0.291984-1.3292j 0.921035+0.9731j -0.628661+0.243683j -0.185336-0.227015j -0.631832+0.113505j 0.495306-0.29798j -0.205707+0.720418j -0.514226-0.519946j 0.550214-0.31698j -0.780737+0.818235j -0.0120109+0.535747j 1.28282-0.306315j -0.31543-0.433621j -0.735405+1.40844j 0.160458-0.799604j -1.12325+0.157666j 2.52773+0.213758j -0.328831+1.49726j -1.57198-0.465456j -0.273478+0.445567j -0.827248-1.06865j -0.982023-0.339519j 1.71409+0.722191j 0.593799+0.0278325j -0.125157+0.0805114j 0.401834+0.41591j 0.417867-0.168983j 0.123492-0.102489j 0.304719+0.640499j 0.474858+0.100017j 0.00132857+0.636104j -0.928062+0.215089j -0.173905+0.558117j 0.658475+0.362389j 0.418826-0.307257j 0.574419-0.0654362j -0.108437-0.546804j 3.37238+1.21018j 0.296168-1.01434j -1.77501+2.195j 0.675532+0.245028j 0.808933+0.499338j 0.432686+0.965517j 0.222893-0.964665j 1.01618-0.0684514j 1.29131-0.0420563j 0.41106+1.77593j 0.668642-0.229116j 1.28259-1.22265j 0.982106-0.0833477j 0.648672-0.0290623j -0.513681-2.13807j 0.352481-0.735993j 0.271597-0.063144j -0.474188+0.985762j 1.07871+0.65269j 0.81222+0.254227j 1.52116-0.695715j 0.289839-0.011356j 0.382298-2.06968j 0.36511-1.03777j 0.11613+0.0995787j 0.174325+1.12657j 0.397338+0.945582j 0.0369343-0.0394226j -0.00646407+0.433785j -1.30512-0.527197j 0.344084-0.153292j -0.290185-0.219432j 0.366005+0.299891j 0.587391-0.18697j 0.185713+0.166267j -0.381068+0.403967j -0.0848398-0.511461j 0.249882-0.536728j -0.703-0.349598j -0.0507987+0.252211j 0.43939+0.348005j -0.721998-0.321816j 0.359079-0.360584j -0.29609-0.138434j 0.242234-0.431098j -0.238261+0.29462j 0.0230857+0.134312j 0.380917+0.353031j -0.0827517-0.178475j -0.408859+0.387922j -0.0999577-0.241412j -0.425442-0.145914j 
