-0.193019+0.115222j 0.481475+0.0766969j 0.169506+0.403788j 0.190437-0.402304j 0.289689-0.0114386j 0.00733019-0.0524311j 0.0490138+0.0266363j -0.016605+0.0120352j 0.0307641-0.0284266j -0.0424667+0.00319573j 0.00324417+0.0447022j 0.056553+0.0191618j 0.0120327-0.0186893j -0.032845-0.00094408j 0.00489327-0.0183493j -0.00400739-0.0245771j -0.0226593-0.0217779j -0.00301617-0.0559571j 0.0280996-0.0162577j 0.088863-0.0145573j 0.0697976-0.0725087j -0.0237429-0.0163164j -0.0302975-0.00750584j -0.0184707+0.0175465j 0.015613+0.0138097j 0.0147055+0.0137029j 0.00597698+0.00168219j 0.0201193-0.0230964j 0.00335148-0.0159721j -0.00168296+0.0108966j 0.0327944-0.0323442j -0.0284496+0.0152485j -0.0223662+0.00466723j -0.0173208-0.0352519j 0.0130926+0.0052725j 0.00995631-0.00747894j 0.00616407-0.0351809j -0.0178651-0.0179168j 0.00913173+0.0302104j -0.0040649-0.00970456j 0.0234411-0.0216878j 0.00640962+0.00893442j 0.038597+0.00953984j 0.00481682-0.041859j 0.0219701+0.00441613j -0.0236473-0.00625008j -0.0274866+0.0243051j -0.0147773-0.0197684j -0.0180252+0.00204213j -0.0222836+0.0059926j 0.0107545-0.0323702j 0.026528-0.0213339j 0.0215319+0.0369202j 0.0205808-0.0142496j -0.0200751-0.0118542j 0.0197948+0.0305303j -0.0191822-0.0151878j 0.0559608-0.00226712j 0.0362397-0.019575j 0.0102448-0.0144268j -0.0086356+0.0247757j -0.00329703+0.00400172j -0.00512675+0.0138982j 0.00315543-0.00552622j 0.00237336-0.014985j -0.00168235-0.00302423j 0.000732146+0.0128602j 0.0134893+0.0129702j -0.00598321+0.0133395j 0.0083227-0.00491843j -0.0127065+0.0190815j 0.000419296+0.00547088j 0.00190331-0.0023696j -0.000884762+0.00058329j 0.0161092+0.00724428j 0.0194295-0.0379305j 0.00998428+0.0110011j -0.00520777+0.000162534j -0.00221843-0.00250651j 0.0217556+0.00300879j 0.00391222+0.00454661j -0.0355059+0.0263578j 0.00291128-0.0057194j 0.019258-0.00727338j -0.00694985-0.000150545j -0.00350316-0.013232j 0.00146759-0.00588437j 0.00620482-0.0116119j -0.00358535-0.00475883j -0.00772572+0.0212048j 0.0190178-0.00484918j -0.00609356+0.0136154j 
-0.0465446+0.153654j 0.0831581+0.0519853j -0.0187929-0.0525981j -0.0415976-0.0435371j -0.04818-0.0156608j -0.00475549+0.00718625j -0.0609687-0.0169069j -0.00705943+0.0417729j -0.0126781-0.0135513j -0.0579033-0.0460942j -0.0395352+0.00191024j 0.0754855+0.0271177j 0.0659729-0.0935831j -0.0849415-0.00189349j -0.0126072-0.0358679j -0.0840393-0.0399051j -0.101066+0.0428954j 0.0721129-0.0103344j -0.0151502-0.0162679j -0.0944067-0.0728837j 0.00373434-0.00669089j 0.110294-0.0642907j -0.00957506-0.0749779j 0.0280879-0.036113j -0.00244015+0.0146232j 0.00530836+0.00351856j -0.0173059-0.0800218j 0.0385633+0.0264411j 0.0286442+0.0361163j 0.0174527-0.0210704j 0.014199+0.0359487j 0.0103876-0.0278569j -0.00212466-0.062446j -0.0264344-0.0034898j -0.047395-0.0347259j -0.0438189-0.0266834j -0.0124899+0.0138979j 0.0157043-0.0929149j -0.0288287+0.0329216j -0.00489587+0.0910253j -0.0560707+0.0228923j 0.0047764-0.00583276j -0.0272093-0.00240874j -0.0637491-0.0356864j -0.0876971-0.00310171j -0.039328-0.0150584j -0.0040392+0.0915517j 0.0486739+0.00784699j 0.120041+0.0237849j -0.0530439-0.00911575j 0.112427-0.0245319j 0.00563652-0.0311017j 0.00311053-0.071622j 0.0684816+0.0566395j 0.031289-0.155935j -0.0333057-0.0954122j -0.00289599+0.0437947j 0.0214225-0.0182787j -0.130793+0.073542j 0.00931837-0.0485612j -0.030186+0.0319373j 0.00361618+0.00708019j 0.0206913+0.010507j -0.0149994+0.0124968j -0.0108548-0.0113491j 0.0353935+0.0644265j 0.0284304+0.0227723j -0.0253975-0.013048j -0.0452356-0.106102j -0.037742-0.00628993j 0.0492397-0.0664616j 0.0163816-0.0109535j 0.0159974+0.00328257j -0.0266859+0.033945j -0.0896325+0.0205266j -0.0585762+0.0073782j -0.0393286-0.0572641j -0.0368148+0.0575756j -0.0514858-0.00549397j -0.127357+0.0720493j 0.0355729-0.0146816j -0.0291184-0.0511799j -0.0605032+0.0251919j -0.0446955+0.0114735j 0.0580591+0.00634599j 0.0746215+0.0915945j -0.0353274-0.0077242j 0.0259886-0.00106749j 0.0304184+0.0520599j -0.0685681-0.0471208j -0.0963505-0.0327674j -0.0211481-0.0356452j 
-0.00220621-0.0504064j 0.0323248-0.0157037j 0.00948609-0.00679806j -0.00354773+0.00134892j -0.011807+0.0139046j -0.0144244-0.0182345j -0.0194725-0.00477272j -0.022728+0.0181467j -0.0512518-0.0501768j 0.0611152-0.00931248j 0.0528386-0.074283j 0.00604112-0.00886134j 0.012953-0.0455739j -0.0154811-0.0347576j -0.0279903+0.0679723j -0.00757592+0.0374564j -0.00706425-0.0174917j 0.0255097+0.00338801j 0.106084-0.0609568j -0.0624645-0.00387949j -0.0426024-0.0235696j -0.0387886-0.018001j 0.0232578-0.000110357j 0.0417816-0.0464343j 0.00180386-0.0367915j -0.0178396-0.0112124j -0.00398392+0.0643736j 0.0487438-0.0236325j -0.0138751+0.00839851j -0.0745405-0.017674j -0.0245332+0.0308923j -0.0225956+0.0462492j 0.0295001-0.00462397j 0.0141797-0.0225515j 0.0477317+0.109232j 0.0164569-0.0194511j 0.0548122+0.0213073j 0.0555002-0.00785281j -0.0239548+0.0645249j 0.0139541-0.0929253j 0.0355224+0.0957985j -0.0317447+0.0389822j 0.0236623-0.0130637j 0.00911539+0.0522529j 0.0102772-0.04444j 0.0387914-0.0223106j -0.0602744-0.00606779j 0.0597544+0.0198578j -0.000789372+0.0113352j 0.10853-0.0818772j -0.119075+0.0843963j 0.0189635-0.108049j -0.00652007-0.0622164j 0.0487984-0.0381918j -0.0869751-0.000973295j 0.0340663-0.0632543j -0.0815293+0.0865545j 0.0661361-0.0309237j 0.128422-0.0721844j -0.00268218-0.0420361j -0.0737166-0.0389903j -0.00658104-0.0188711j -0.0414837-0.076413j -0.0468426+0.0236076j 0.0176474-0.0226265j 0.025334+0.0462195j -0.0445315+0.0218967j 0.119829+0.103207j -0.0179263-0.0703947j 0.0722259-0.0613563j 0.0300176+0.0705805j 0.0287043+0.0396021j 0.0410016-0.0381086j -0.0394271+0.0583977j 0.0767758-0.0927914j 0.0406296-0.129555j 0.0193266-0.0674852j 0.0708888-0.0339899j -0.0399182-0.0913026j -0.0897917+0.19595j 0.0179932+0.0109992j -0.12958+0.128159j -0.107625+0.137056j 0.0982567-0.139664j -0.0413956+0.00469287j 0.0346911+0.0318262j -0.0619433-0.09683j 0.0764384-0.137106j 0.0549922-0.0327483j -0.0231668-0.0711866j 0.0179317-0.0405376j -0.0364326-0.0362835j 
-0.00133509-0.0138935j 0.0022132-0.00501378j 0.00468911-0.0167256j 0.0227783+0.00823101j -0.0335975-0.00706936j 0.0696298+0.00708069j -0.0691689-0.0289073j -0.126531-0.0472966j -0.0627721-0.0575678j 0.0323291+0.0449544j 0.0154564-0.0125303j 0.0509033+0.0801188j 0.0108407-0.0623514j -0.00136496-0.0227505j -0.0290354+0.058431j 0.080957+0.0379118j -0.0803233+0.0829928j -0.0279643+0.0215667j 0.111055-0.0176825j -0.0300982-0.00609879j -0.0647569-0.0171973j -0.00123822+0.0116716j 0.0324181+0.0502762j 0.109476+0.00690916j 0.0250105+0.00128578j -0.0562711+0.00156493j 0.0490401+0.0643759j 0.0180133-0.0994495j -0.016111+0.0452196j 0.0146629-0.0629575j -0.000528741+0.0604955j 0.0272364-0.0188939j -0.0205673-0.021823j 0.00354228+0.0474847j -0.00883402+0.000592532j 0.0235512+0.0619873j 0.0536578+0.0157588j 0.0351192+0.118619j -0.0512195+0.0424383j 0.0250417-0.0787608j 0.0991155-0.00635418j -0.0264461-0.15366j 0.0873923-0.0307212j 0.0712008-0.0261032j 0.0419647-0.0683296j 0.0405138-0.00769576j 0.0689034+0.00976801j -0.0865279-0.122618j -0.0687208+0.0466419j 0.0637524+0.0896552j -0.0012011-0.109185j 0.00327258+0.127495j -0.0921415+0.0657796j -0.0184637+0.0368837j -0.10358-0.0244577j 0.0241658+0.044067j 0.0415961+0.00904534j -0.0788631-0.0547997j 0.0899512-0.160988j 0.0218754+0.0113832j -0.0159456+0.0838614j 0.00902789+0.00863148j 0.00860233+0.0225601j -0.021568+0.0255284j 0.067754+0.00293251j 0.0676658-0.00338433j -0.0256956-0.00444275j -0.0486683+0.0316463j -0.0446109-0.020405j -0.0428042+0.0360809j -0.110503-0.0859385j -0.0314606-0.0230555j 0.033934-0.0639312j -0.0087937-0.00780427j 0.110192-0.00136721j 0.0347721-0.135831j -0.0132402-0.0398988j 0.0400589+0.0306833j -0.0431794-0.0277095j 0.078137-0.113555j -0.0393145-0.138099j -0.0627494+0.0165545j 0.0214008-0.0850309j 0.0218269+0.0117001j 0.0683708+0.0339523j 0.021339+0.0126652j 0.0152855+0.03133j -0.0242645-0.0522809j 0.0328192+0.132425j -0.0417632+0.0420579j 0.0151926-0.097204j -0.0496985-0.0197171j 
-0.0334991+0.0209223j 0.0077993+0.0205085j -0.0301528+0.014654j -0.005923-0.0575267j -0.0272328-0.0475739j -0.00457615+0.00548467j 0.0327383+0.0778402j 0.0174685+0.00790029j -0.00821343-0.00347777j -0.00353994-0.0554887j -0.0663846-0.0833657j -0.053573-0.00249383j -0.057918-0.0608747j -0.0269166-0.0310547j -0.0322546-0.0772929j -0.0589458-0.00477965j -0.0276651-0.0566233j 0.0293147-0.0143436j -0.0818154+0.0541009j -0.0369892+0.0763344j 0.0187492+0.0415093j 0.0376517+0.0648847j 0.0426407-0.043319j -0.00863443-0.0271428j -0.061543-0.0639748j 0.0109648-0.0342246j 0.0454783-0.13057j 0.0173476-0.0102663j -0.00406717-0.0406866j -0.00466829+0.00121165j 0.0396329-0.0148448j -0.0081475+0.0313433j -0.0183005+0.0360459j -0.0503606-0.037565j 0.0761082-0.0137323j -0.012998-0.0447865j -0.0593947+0.047333j 0.0515018-0.0281761j 0.117431+0.0355552j 0.0229525-0.0406879j 0.0401446-0.0264573j 0.0782362+0.0115998j -0.0102231+0.0186449j 4.89129e-05-0.105271j -0.0255789-0.0212537j -0.138384-0.0708029j -0.141051-0.0334j 0.0484012+0.0224461j -0.0337091-0.0322043j 0.00983858+0.0722868j -0.097742-0.0200269j -0.11688+0.0996857j 0.0159065+0.0315612j -0.0795955-0.00361975j 0.0450182-0.0369493j 0.0802326+0.0423625j 0.033348-0.0491209j -0.0159558-0.026578j 0.00505825-0.0161752j 0.0452728+0.0107617j 0.0101942-0.047297j 0.00391259-0.0254475j -0.0322118-0.0403856j -0.0337101-0.112312j 0.0239244+0.0453013j -0.0430977+0.0141201j 0.0103595-0.148078j 0.0686546+0.0983634j 0.0832306-0.03236j 0.0551295-0.00411337j 0.0212192-0.00744979j 0.0150662-0.127723j -0.00604488-0.0819818j 0.0327182+0.136257j 0.0461383-0.0761079j 0.0566697+0.122912j 0.0681573-0.0439929j -0.0484271+0.0756104j -0.0684302+0.123594j -0.0135809-0.0502083j 0.0358221-0.0333543j 0.0171989+0.0818962j -0.00967668+0.015493j 0.0173039+0.00854671j -0.0343639-0.089062j -0.0293032-0.0657982j 0.0580051+0.0617266j -0.101145+0.0546914j -0.0921571-0.0434567j 0.0393532+0.0324316j -0.000954955+0.0784929j 0.0630002+0.0138611j 
0.00610632-0.00549978j 0.00294207+0.00142892j 0.0135808-0.00472654j -0.0081896-0.0479921j 0.00285185+0.0295416j -0.0569217+0.0105704j -0.0107461+0.0266895j 0.0302358+0.0154622j -0.00251139+0.0221622j 0.102123+0.00555697j 0.0188191-0.0411682j 0.100161+0.0126882j 0.0278766+0.0391771j 0.014563+0.0592631j -0.0154873+0.0142046j -0.0275723+0.078499j 0.0742564+0.0382545j 0.0602082-0.00404009j -0.166468+0.0188964j -0.064049-0.0161704j 0.0127723-0.0266163j 0.000702824-0.012144j 0.0321546-0.0312012j 0.0334603-0.0246907j 0.000616005-0.0254937j -0.0442921-0.0161088j 0.0227175-0.0382021j 0.0735238+0.0113977j 0.0113364+0.0123878j 0.0213389+0.0645007j 0.0193807+0.0245913j 0.00352051-0.0401153j -0.0179006-0.0436684j -0.0448985+0.035041j -0.093128-0.0488519j 0.00587752-0.12355j -0.0238644+0.0999508j 0.0138098+0.0703466j 0.000300043-0.111732j -0.0228787-0.0418922j 0.103682+0.0326987j -0.0950592+0.0827239j -0.0161791-0.00312431j 0.0628149-0.0318055j -0.0196859-0.0118891j -0.141608+0.101233j 0.0722256+0.0146935j -0.0767947-0.0411995j -0.0657448+0.0366465j -0.00551226+0.0944132j 0.0344806-0.0715707j -0.115937-0.0323599j -0.0340064+0.0870194j -0.151838+0.18723j -0.0462459-0.136921j -0.0896648+0.0957547j 0.0995925-0.112409j -0.0415713+0.101772j -0.0673111+0.020054j -0.0304577-0.0605852j -0.0226701+0.0103803j -0.0155122+0.0531005j -0.0261717+0.0409335j 0.0821379-0.014686j -0.00412407+0.029912j 0.058096-0.0223538j 0.0395516-0.047999j -0.0257396-0.0922538j -0.050705-0.0479543j 0.0558106-0.036765j -0.00776263+0.0452859j 0.0141394-0.0641106j -0.0885557-0.04022j 0.0200218+0.0206359j 0.0131486-0.0717131j -0.0692844+0.107418j -0.0650559+0.0240218j -0.0154583+0.0788532j -0.0656464-0.0100784j 0.0697717+0.0079628j -0.0355232-0.00928103j -0.00822238-0.0674954j -0.0232997-0.0242146j 0.0450668-0.00969953j -0.0261817+0.00838353j -0.0180332+0.0812548j 0.0157024-0.0356099j -0.0280357+0.00616942j 0.0190905+0.0546268j -0.0108547-0.0690116j 0.0205456-0.02424j -0.0292135-0.0555051j 
-0.00307348-0.0257359j -0.0692468-0.0234697j -0.00551208-0.00877249j 0.0331422-0.0139445j 0.0319981+0.0100007j 0.0192791-0.0466721j 0.0461556-0.029222j 0.0420585-0.00779104j -0.0150786-0.00354592j -0.0914122-0.0510577j -0.0509049+0.00594378j -0.0899004+0.0623838j -0.105456-0.00557766j -0.0321656+0.0447838j -0.0138988-0.0184561j -0.0537673-0.095649j -0.123445+0.0322689j -0.0074674+0.022401j -0.0438054-0.0198988j -0.00700049+0.0674659j -0.0243632+0.0157149j 0.00432774-0.00109132j -0.0123394+0.00938024j 0.00634731+0.0242337j 0.0373564-0.0232975j 0.00058137+0.0730714j 0.000785192+0.0851048j -9.2121e-05-0.0456155j 0.00310999-0.0432399j 0.0314058+0.0560835j -0.0472403-0.0171737j -0.0138139+0.0467029j -0.0260391+0.0207785j 0.0390327+0.0390025j 0.0718463-0.04621j -0.0665743+0.0473357j 0.0503308+0.0213055j -0.0227274-0.0293344j -0.0451323-0.102741j 0.00614272-0.0385893j -0.170817-0.0360115j -0.0857025-0.0393242j -0.0161029+0.0253537j -0.0203172-0.0361708j 0.0194929-0.0584842j -0.0644801+0.13282j 0.188942+0.0201081j -0.0307875-0.0148939j 0.0225845-0.0783182j -0.0238453+0.0262817j 0.0641132+0.0292893j -0.0753107+0.0744278j 0.0182996-0.0109888j 0.0263581+0.0577662j 0.037502+0.0550773j -0.0248269-0.0130492j 0.0270036-0.0666215j -0.0594857+0.136736j 0.00702627-0.0635791j 0.0042859+0.0233817j 0.0138604-0.121896j -0.0382044-0.0145615j -0.0107591-0.0422696j -0.0229067-0.00125951j 0.0790652-0.0352114j -0.143036-0.00777007j -0.0527364+0.0141888j 0.0236222-0.0174529j -0.0480753+0.0377026j 0.0482435+0.00381274j 0.0333042+0.0684647j -0.0443338-0.00694924j -0.00411767-0.0239402j 0.00956101-0.0145482j -0.0489663-0.000706118j 0.0755235-0.0396888j 0.0615192+0.0923287j -0.00829253+0.015699j 0.0670418-0.0432497j -0.0702726-0.0163962j 0.0139175-0.0305927j 0.0111313+0.028785j -0.00655569+0.0286851j -0.00459295-0.104524j 0.0119089+0.0369825j 0.0382035-0.0396998j 0.0117641-0.0298644j 0.0488355-0.0495834j -0.0465687-0.0576945j -0.0382623+0.0172104j -0.0390112-0.0078682j 0.0191297+0.0480167j 
0.00790833-0.0418451j -0.00470332+0.0164932j -0.002517-0.00845035j 0.0203677-0.0584217j -0.0159724-0.000705904j 0.0173681-0.0112351j -0.0658379-0.00260804j -0.0231921-0.0576266j -0.0132217-0.0567941j 0.0188943-0.0463576j 0.0390717-0.0116167j -0.0480666-0.0528483j 0.0388986+0.0233131j -0.0578245+0.0569055j -0.0697795+0.0206212j 0.0306095+0.0453814j 0.0401065-0.0146507j -0.0211146+0.04142j 0.0669605-0.0147122j -0.0893834+0.0111551j -0.0309179-0.0493669j 0.00121689-0.0102331j 0.0152704+3.59942e-05j 0.00629536-0.0662954j 0.00861232+0.0339947j 0.082707-0.0787483j -0.07648+0.0542231j 0.00968106-0.0340353j -0.0744452-0.0246867j 0.0289093-0.096329j 0.00891279+0.00399936j -0.00330228+0.0128669j 0.0897849+0.104642j -0.0623505-0.0303377j 0.0940781-0.0624335j -0.0170619+0.00373015j -0.0985071+0.0445744j 0.10752-0.0584423j 0.013914-0.0867585j -0.0321391+0.0708779j 0.0246676-0.0149761j -0.00907719+0.0291182j -0.0894812+0.106873j 0.0333179-0.0216902j 0.108298-0.083015j -0.0120334-0.0163924j 0.00111097-0.177999j 0.0270119-0.136242j 0.0345392+0.0380536j 0.00742594-0.0137148j -0.0133586+0.0150181j -0.045483-0.0059655j 0.00966276+0.0112754j 0.0735532-0.120356j 0.0671746+0.00995768j 0.0353617+0.0374817j 0.0501573-0.0736999j -0.0854373-0.00240312j 0.0673336-0.0903216j -0.0423965-0.0355147j -0.0689677+0.056719j 0.0176183+0.0343131j 0.020395-0.0348611j 0.00530445+0.0414474j -0.0306204-0.146399j -0.0762829+0.151927j 0.0271044-0.0754758j 0.0104871-0.0696134j -0.0209945-0.0267678j 0.0534465-0.0447757j -0.0329791+0.0421517j -0.0239276-0.149396j -0.0756871+0.0895474j 0.00934876-0.0395208j -0.0314302+0.03821j 0.0231052+0.0464901j 0.033195-0.0797794j -0.118815+0.00701397j -0.00501588+0.0648403j -0.00689022+0.00285338j 0.00550691+0.0288064j -0.0648662+0.0748346j -0.0344506+0.00364954j 0.0140801+0.0280679j -0.0157683-0.0202673j 0.0437147+0.0325799j -0.0248898+0.016838j 0.0149977-0.0119434j 0.0186365+0.0342527j -0.00274016+0.0133916j -0.00575-0.0152128j -0.0115347-0.0164076j 
-0.0108085-0.0131294j -0.00706231+0.00963894j -0.000481073+0.0348992j 0.0259347+0.0150997j 0.0197038+0.0193688j -0.0228986+0.00625589j 0.00404947+0.00326324j -0.0277829-0.0159898j 0.0272378-0.0156203j 0.0026643+0.00127534j -0.0201458+0.0153979j 0.121263-0.0429295j -0.159158-0.0496364j -0.0227624-0.0101651j 0.0528847+0.0650928j 0.115061+0.00448782j 0.0830462-0.0486133j -0.0578197-0.0842446j 0.158843-0.0359163j -0.0135961-0.00673618j -0.0316826+0.00565744j 0.00485537+0.00291461j -0.0303256-0.000468212j -0.0225641-0.0550528j -0.00118632+0.0167643j -0.00222755+0.0251646j 0.024885+0.0769381j 0.0620122-0.0499629j -0.00720948+0.0243232j 0.0844576-0.0899995j 0.0202812+0.0699211j -0.0274868-0.034167j -0.106767-0.0337018j 0.0805944+0.0606664j 0.0428037-0.0132985j -0.0162172+0.0884478j 0.0167935+0.074827j 0.062892-0.0651198j 0.127344-0.106395j -0.0775345-0.00455148j -0.0484191-0.0975543j 0.0326308-0.10324j -0.0616708-0.0170843j 0.0522823-0.0529612j -0.0270408+0.0394076j -0.063416+0.0826667j 0.0352098+0.0726113j 0.0670543-0.0381588j 0.043991+0.0758134j -0.067936-0.0572931j 0.0148054-0.0197718j -0.147387+0.0489369j -0.0257873-0.049326j -0.127534-0.0144882j -0.055684-0.0468334j 0.00902997-0.0951568j 0.0584899-0.0027412j 0.0334403-0.00829189j -0.00961483+0.00944701j 0.0252159-0.0214515j 0.00082175+0.0280895j -0.00366703+0.0124475j 0.0332629+0.0261572j -0.0632898+0.00849179j 0.0318639-0.0630309j 0.0119485+0.000637123j -0.00583815+0.0313102j -0.036261-0.0492201j 0.00421513-0.0625882j 0.0690818-0.0405085j 0.0114083-0.0737061j -0.00118684-0.0439434j -0.0384692-0.0299355j 0.00569637-0.0369156j 0.0267909-0.00775499j 0.0838182-0.0459172j -0.0760566+0.0173487j 0.0368121+0.054377j -0.0075956+0.0277248j -0.031013+0.0796562j 0.0227898-0.0117234j 0.0132298-0.035942j 0.0290147+0.0139965j -0.0339736+0.0354449j -0.0660555+0.0219323j -0.0118187+0.0320686j 0.0161138+0.0103356j 0.0135103-0.00435264j 0.0427533+0.0228646j 0.0185767-0.0377357j 0.00816357+6.61919e-05j -0.00445206-0.0376094j 
0.0117106+0.00401509j -0.0215901-0.0320623j 0.0238773+0.0119357j -0.011439-0.0552304j 0.00365915-0.00918467j 0.0168158+0.00234031j -0.0359292-0.0616283j -0.0119986+0.00699054j 0.096699-0.0258042j -0.182972-0.0195286j -0.0185465-0.00295312j 0.0796276-0.0591251j -0.186989-0.01598j -0.00837826+0.0264491j 0.138381-0.0728883j -0.0973997+0.0462807j -0.0722423-0.00749378j 0.215295-0.0722176j -0.223408+0.066406j -0.152987+0.151899j -0.0359711+0.0381417j -0.0614161+0.0187288j 0.0479573+0.0472086j 0.0209884-0.0497915j 0.0687255-0.0623253j -0.0276753+0.0254724j -0.000952225+0.0824439j 0.0157438+0.0109731j -0.0803684+0.0475031j 0.00393993-0.0212684j -0.0241208+0.0448817j -0.0481767+0.0473042j -0.00293825-0.073719j 0.0600191+0.0132236j 0.0879014-0.0509604j 0.0103678+0.106111j -0.0391392-0.0386918j 0.0432899+0.0110606j 0.0417705+0.134035j 0.0290459-0.0239943j -0.126111+0.0407891j -0.0462348+0.0734214j -0.0105852+0.17368j -0.0544281-0.125068j 0.103825-0.113742j -0.0930756+0.0624189j -0.0165093-0.0242515j 0.0246656+0.0982248j 0.0187035+0.0158092j 0.0550238-0.041877j -0.0307945-0.0156322j -0.0392426+0.0375406j 0.0294309-0.0659879j 0.015379+0.0912695j -0.0262418-0.0330103j -0.00753415-0.0357761j -0.0235976-0.0572668j -0.0358711+0.00591702j 0.0545728-0.00554812j 0.0285327+0.0554433j 0.0215474-0.0177392j -0.0206862-0.00252588j 0.00873244-6.94412e-06j -0.0314521+0.0401124j 0.0456936-0.0800381j 0.0170661+0.00895543j 0.0874914+0.0310682j -0.000802628+0.0416125j 0.0467757-0.00822058j -0.0433841-0.0118692j 0.00484513-0.0524163j 0.0953946+0.00457729j 0.0431642+0.00593708j 0.0237169-0.0666161j 0.0350095+0.0276111j -0.0223881-0.0710743j 0.0275002-0.0149669j -0.026508-0.00793609j -0.0244486-0.0193483j -0.0110262-0.0384856j 0.0111843-0.0230634j -0.00556628+0.016936j 0.018913-0.0112521j -0.00754043-0.0138163j 0.0180335+0.0114693j 0.0155907-0.0225919j -0.016764-0.00374828j 0.0246527-0.0398057j 0.0148132+0.0213597j -0.0100348+0.0403431j 0.00481877-0.0389628j -0.0121331+0.0176219j 
-0.0218785-0.0570252j -0.0409941-0.0372708j -0.00168072-0.0386266j 0.0463516-0.0458349j 0.0268221+0.0172527j 0.0247574+0.00356324j -0.0221785-0.0157206j -0.0219618-0.0600809j -0.0570568-0.0241167j 0.0810938-0.0175394j 0.00505771+0.0459187j -0.163399-0.0336115j 0.0290872-0.130458j -0.0562964-0.0251015j -0.0685442+0.000333556j -0.0210102-0.0597446j -0.0962949-0.0398493j -0.118577+0.0326281j 0.0439838-0.00152996j 0.0377027+0.132027j -0.0166066-0.0308844j 0.0201808-0.0128863j 0.0215486-0.00790099j 0.0134309+0.000122073j 0.0663089+0.0227165j 0.0105341+0.0824891j -0.0222842+0.121492j 0.0224623-0.113805j 0.0416258-0.0213936j 0.0149741+0.020471j 0.0615911+0.0330702j 0.0326475+0.0751246j 0.024384-0.00516497j 0.0403059+0.0429351j 0.0950597+0.0771274j -0.00403658+0.000378965j -0.016067-0.0971095j -0.070709+0.0534888j 0.0190246+0.0371594j 0.0662836+0.0224234j -0.0093804-0.000200515j 0.136176-0.0103162j -0.00318049-0.0323511j -0.0245019+0.0883722j -0.0525765-0.0387636j -0.0491604-0.0831108j -0.156737+0.0634939j 0.0745911+0.00787388j 0.0309535+0.0375125j 0.0221788+0.0573271j -0.0064686-0.0831292j 0.0109241-0.0566436j 0.0290498+0.0912001j 0.0517701-0.0118904j -0.00228605+0.00293846j -0.0624115+0.0454785j -0.0693334+0.0535949j -0.00112862-0.0704827j -0.0506999-0.0500269j 0.0503193-0.0511362j -0.0500014-0.0478481j 0.0134967+0.110268j 0.0138929+0.0851317j -0.00181166+0.00438547j -0.0012406-0.0477615j -0.0808993+0.00333488j -0.0212704-0.00772264j -0.0509791-0.0785812j -0.00156351+0.03832j 0.00962111-0.0634787j 0.00576965+0.0382651j -0.0768013-0.0993178j -0.0600345+0.0420934j 0.0320515-0.0938694j -0.0210658+0.0809373j 0.00700275+0.0260601j -0.0233572+0.0539896j -0.175049+0.0386635j 0.00770354-0.00422144j -0.0600851-0.153493j 0.0347909-0.0088951j 0.0304543+0.00216728j 0.0230806-0.0838139j -0.0100666-0.0533065j 0.0145675+0.025758j 0.0317748+0.0266734j 0.0545624+0.0137041j 0.0351235-0.0257328j -0.00242707+0.0627263j -0.0360686+0.0397991j -0.025481-0.0789488j -0.0147745+0.0152062j 
