-0.351162-0.143467j -4.33758-0.168927j -15.057-0.888408j -1.56994-0.233391j -1.46059-0.0783429j -32.8332-0.891997j 5.92079+0.202847j 23.0555+0.933126j -35.4692-0.941975j 49.4955+1.40116j -8.74567-0.0880321j -67.2582-2.47366j 23.5536+1.28291j 2.11138+0.0722077j -22.4795-0.676098j -80.9984-3.16818j 75.2781+3.00892j -87.5683-3.39104j -66.8012-2.8206j -3.46217-0.226401j -27.3885-1.10447j -109.539-4.48199j -86.5509-3.54319j -47.8179-2.14452j -73.1618-2.98782j 166.269+6.92377j 24.7324+0.769555j 35.9057+1.26803j -5.02198-0.520203j 88.3957+3.78073j 51.0309+2.48296j -108.374-4.69792j 103.416+4.36986j -48.3115-2.08768j -101.781-4.89186j -1.27152+0.061665j 48.6153+2.30752j -103.494-4.8143j 108.272+5.14593j -50.771-2.50259j -88.1332-4.51314j -5.05528-0.217376j 35.8192+1.90343j -24.5342-1.32035j 166.156+8.65922j -73.2967-3.84756j 48.0117+2.88412j -86.7529-4.59195j 110.08+5.69518j -27.42-1.37282j 3.3663-0.102369j -67.3099-3.80318j 87.8654+4.33886j -75.842-4.01643j 82.0871+3.79752j -22.5822-1.4217j 2.88494+0.3735j -23.6766-0.390119j 67.5134+3.34706j -8.50424-0.820878j 48.5951+2.54097j -35.5854-2.95071j 22.8389+1.19337j 6.56976+0.882192j 33.3062+2.0467j -0.476822-0.0368415j 0.83936+0.579059j 14.1111+1.32653j 3.77241+0.748203j -1.85173-2.46882j 
-5.1142-1.27933j -163.986+1.89979j -565.212-1.69678j -42.0149-5.51694j -50.854-0.279795j -1223.25+3.29224j 232.89-4.76624j 865.91+2.85575j -1324.01+6.4647j 1847.8-5.3539j -322.896+3.89017j -2531.06-0.811488j 885.907+9.26676j 80.6108-1.53231j -840.497+2.30077j -3047.03-4.26066j 2817.14+7.55814j -3279.42-8.99768j -2502.29-7.58762j -132.284-3.95478j -1025.34-4.73698j -4103.07-14.4213j -3242.6-10.6631j -1794.86-7.9187j -2742.82-9.87504j 6229.85+26.0356j 928.555+2.55715j 1344.09+2.73255j -188.237-4.40375j 3306.61+17.542j 1905.31+14.2399j -4060.24-22.143j 3884.28+19.5964j -1822.35-7.92374j -3811.23-24.2964j -57.2855+1.89888j 1824.36+15.7104j -3884.66-28.9422j 4060.07+28.6911j -1905.24-10.5935j -3307.31-24.7623j -187.307+2.80617j 1344.22+13.8876j -928.676-8.82123j 6230.43+52.7096j -2743.05-24.4978j 1794.97+14.9471j -3243.27-28.6471j 4103.31+36.5494j -1024.29-8.37587j 132.429-2.64317j -2502.58-23.4889j 3280.35+33.2089j -2818.93-27.2801j 3047.7+34.128j -840.743-11.053j 80.4882+0.780809j -884.608-3.02031j 2531.35+30.1768j -322.867-7.99882j 1849.37+28.1515j -1324.77-22.1576j 865.785+7.51966j 234.042+6.57063j 1224.32+17.6103j -50.5669-0.562843j 41.1481-4.76548j 564.845+5.20157j 164.535+3.29638j 4.82479-1.21621j 
5.90857+1.19236j 185.511-2.41618j 639.445-0.965581j 47.0841+5.2833j 57.5632-0.0140276j 1383.56-9.1081j -263.482+5.53512j -979.325+1.13099j 1497.75-12.3219j -2089.52+14.3697j 365.47-5.56748j 2862.43-10.4916j -1001.2-5.43351j -90.6873+1.54695j 950.419-5.92397j 3445.72-9.22088j -3186.12+4.93008j 3708.69-5.66342j 2830.43-3.04081j 149.086+3.79239j 1159.18+0.10952j 4640.15-3.76959j 3667.27-3.61105j 2029.47-0.090603j 3101.32-2.26667j -7045.32+1.3905j -1050.52+1.78529j -1520.44+2.97869j 212.419+4.3172j -3739.83-3.48847j -2154.68-5.49399j 4590.87+5.19619j -4391.46-2.90432j 2061+0.400403j 4308.78+8.47351j 65.2983-2.61901j -2061.54-7.98846j 4391.84+12.3574j -4591.08-12.0919j 2154.65+1.85524j 3739.43+10.7567j 212.024-2.17966j -1520.51-7.56322j 1050.97+4.50928j -7045.73-27.0215j 3101.15+11.2422j -2030.19-7.10325j 3667.51+16.299j -4640.98-20.7356j 1159.11+4.29794j -149.16+3.11773j 2829.28+13.8382j -3709.01-19.7089j 3186.24+16.6175j -3446.36-20.9618j 950.966+10.1673j -91.4345-2.14842j 1000.64-1.43841j -2863.05-21.2234j 363.908+8.04076j -2090.54-19.9822j 1498.42+16.6428j -979.09-3.74009j -263.65-6.10973j -1384.29-14.1571j 57.6855+0.489012j -47.0225+4.7344j -639.402-3.24338j -185.882-3.00132j -5.64856+1.2363j 
9.76202+2.09917j 301.651-3.39017j 1039.38+1.32471j 76.771+9.29026j 93.3098-0.0900496j 2249.37-9.4353j -428.229+8.84272j -1591.73-2.28307j 2434.24-14.9615j -3396.59+14.7948j 593.933-7.9897j 4652.98-5.30239j -1627.75-14.2217j -147.601+2.55108j 1544.99-6.20549j 5600.87-0.00678703j -5178.72-6.1328j 6028.29+6.84891j 4600.59+8.03694j 243.352+6.57308j 1884.8+4.82034j 7542.49+14.7079j 5961.54+10.5991j 3299.93+9.98212j 5041.68+10.5904j -11452.3-30.2164j -1707.06-1.87175j -2471.17-1.87362j 345.974+7.62878j -6079.31-22.6769j -3502.71-19.6969j 7462.66+28.5388j -7139.8-25.5445j 3350.74+8.12663j 7005.96+32.9098j 104.926-4.08067j -3352.19-24.0563j 7140.51+41.7498j -7462.39-41.4918j 3502.94+12.7243j 6079.3+34.1938j 345.286-3.11815j -2471.54-21.221j 1708.49+14.7608j -11452.5-77.8704j 5042.19+37.4983j -3300.14-20.5387j 5961.48+45.7873j -7544-55.8517j 1884.63+12.4137j -243.199+4.12939j 4601.28+35.9417j -6029.58-49.4107j 5178.94+41.766j -5603-52.1037j 1545.64+21.2093j -147.903-3.67445j 1626.68+1.61923j -4654.98-49.2915j 594.788+12.6206j -3398.47-45.6604j 2436.09+36.0889j -1591.2-12.3739j -428.512-12.091j -2249.43-30.8496j 94.0457+0.780611j -76.2091+7.94111j -1039.35-7.89971j -302.083-6.01065j -9.02458+2.03205j 
-3.43344-0.757141j -110.167+1.16179j -380.607-0.925586j -28.1943-4.03835j -34.0898-0.323835j -823.04+3.25758j 156.388-3.40444j 582.557+1.01569j -891.14+5.48755j 1243.09-4.35957j -217.357+2.92461j -1703.48+1.4165j 595.929+6.08279j 54.1041-1.06896j -565.292+2.21378j -2050.11-0.970162j 1895.32+3.24509j -2206.76-3.91141j -1683.93-3.91507j -88.717-2.94732j -689.859-2.77836j -2760.84-7.68973j -2182.26-6.07713j -1207.71-4.46128j -1845.84-5.56937j 4193.02+14.7832j 625.337+1.50466j 905.009+1.52546j -126.393-3.1313j 2225.64+10.4682j 1282.12+8.37243j -2732.65-12.9896j 2613.44+11.3253j -1227.14-3.76102j -2564.32-14.7261j -38.4748+1.70414j 1227.03+10.4748j -2615.04-16.6857j 2731.74+18.7264j -1282.1-6.05191j -2225.32-14.8336j -125.815+1.90361j 905.384+9.18505j -625.533-5.86699j 4193.32+31.9255j -1846.82-15.4224j 1207.37+8.6828j -2182.95-19.3374j 2761.66+23.6598j -690.372-5.36427j 89.6067-1.40479j -1684.36-14.5871j 2208.12+21.2593j -1896.55-16.8437j 2050.46+21.4067j -565.98-8.8645j 53.648+0.939909j -594.962+0.00523145j 1704.1+19.5706j -217.23-5.87476j 1243.01+19.618j -892.971-15.3182j 583.015+5.48918j 157.17+5.25791j 824.34+12.541j -34.6041-0.693168j 27.9679-3.2382j 379.929+3.39448j 111.012+2.58935j 3.22769-0.782416j 
-20.2877-4.3051j -634.302+8.50445j -2185.63+1.69709j -161.07-18.4837j -196.61+0.377962j -4729.68+28.6892j 900.502-19.291j 3347.88-1.75169j -5119.92+40.7205j 7143.32-44.3303j -1249.33+18.2292j -9785.03+31.0182j 3422.82+21.522j 310.825-5.59219j -3249.06+19.4308j -11779.4+25.0858j 10891.4-10.2612j -12677.8+12.0693j -9675.37+3.8183j -511.344-12.9645j -3963.78-2.14103j -15862.7+2.41696j -12535.8+4.32898j -6938.85-5.23381j -10602.4+0.498909j 24084.4+11.5139j 3591.28-3.03434j 5196.61-6.84192j -726.977-13.9161j 12783.3+19.2418j 7365.15+25.6713j -15693.9-24.709j 15014.2+21.8802j -7047.02-2.47365j -14731.7-36.719j -221.362+7.16524j 7047.17+32.4077j -15014-54.2345j 15695.4+52.9039j -7364.09-10.7184j -12784.1-44.9486j -726.159+9.25042j 5196.56+33.3312j -3591.55-21.1113j 24084.7+109.597j -10604.6-52.3437j 6939.23+30.0539j -12536.9-67.582j 15863.3+80.799j -3963.7-17.0759j 510.679-10.9004j -9676.7-51.0175j 12680.2+75.5426j -10893.3-64.1153j 11781.5+83.6061j -3249.95-35.4355j 312.052+7.1662j -3422.92+3.09171j 9787.08+78.432j -1250.32-23.3193j 7145.66+78.1154j -5121.63-64.3118j 3348.24+20.0537j 901.662+23.2881j 4730.55+51.7609j -196.546-1.75688j 160.633-16.1672j 2185.89+12.9049j 635.141+10.9863j 19.5331-4.50362j 
13.1544+2.95266j 411.094-5.94833j 1416.89-0.771783j 104.073+12.6164j 127.325-0.262583j 3066.22-19.8784j -583.831+13.3105j -2170.45+1.0026j 3318.83-27.7526j -4630.94+30.1033j 809.843-12.3115j 6343.89-21.2121j -2218.84-14.9113j -201.119+4.26637j 2106.31-13.5431j 7635.84-16.599j -7060.95+6.47674j 8219.31-8.54715j 6273.22-2.75866j 331.695+8.64926j 2570.19+1.70536j 10283.8-1.54028j 8127.41-2.99596j 4498.8+2.79865j 6873.61+0.138893j -15613.6-6.90404j -2328.17+1.91476j -3369.64+4.51172j 470.389+9.64831j -8287.81-13.0705j -4773.86-18.0864j 10174.5+17.4343j -9733.31-14.6775j 4568.2+1.8966j 9550.98+24.8498j 144.958-5.61832j -4569.3-21.7319j 9734.31+36.9692j -10175.2-36.4307j 4775.16+7.26938j 8287.63+29.943j 470.464-7.27494j -3369.96-22.0983j 2327.75+14.103j -15615.4-74.1363j 6873.47+36.8213j -4499.23-19.7401j 8128.95+45.9747j -10284.6-56.2473j 2569.01+12.4954j -330.384+7.99199j 6273.93+36.0423j -8219.32-52.155j 7061.64+43.2803j -7639.16-56.6533j 2107.56+23.7463j -201.393-4.76936j 2217.88-2.90782j -6345.48-54.6508j 810.901+15.6418j -4632.49-53.5857j 3320.49+43.6078j -2169.73-12.6444j -584.214-15.2327j -3066.73-35.0053j 127.885+1.57287j -104.062+10.5294j -1416.71-9.16121j -411.795-7.95587j -12.5844+3.21424j 
1.21318+0.309208j 38.198-0.281023j 131.881+0.581379j 9.61507+1.41067j 11.9328-0.25182j 285.189-0.233694j -53.9142+0.824456j -202.311-0.901595j 308.893-1.07747j -430.937-0.00871277j 75.3004-0.55125j 590.227+1.31552j -206.531-2.20691j -18.6142+0.280149j 196.435+0.0486238j 710.954+2.14476j -657.091-2.42869j 765.103+3.2936j 583.803+2.49908j 30.7003+0.96349j 239.396+1.31115j 957.423+4.5511j 757.227+3.60924j 418.708+2.65544j 639.907+3.24233j -1453.31-8.66044j -216.61-0.488154j -313.506-1.70303j 44.3829+1.57806j -770.689-3.95446j -443.822-3.45469j 947.136+6.68234j -905.631-4.73255j 426.054+1.83226j 889.391+6.04538j 14.0563-0.593753j -426.007-4.2606j 906.055+8.10635j -947.824-7.92474j 443.514+3.15193j 770.937+5.5748j 44.6505-0.001149j -315.409-3.44992j 217.26+2.32761j -1453.97-14.0209j 640.13+6.45983j -418.645-3.22838j 755.954+6.87962j -956.961-9.01002j 239.938+2.16199j -29.5089+1.20121j 584.477+5.64537j -765.6-9.08274j 657.62+7.89166j -710.815-8.3218j 195.996+2.34567j -19.1062+0.0364909j 206.255+1.85929j -590.658-8.29868j 75.5003+1.95701j -431.529-7.29481j 309.5+5.65484j -202.057-1.698j -54.1306-1.53443j -284.925-4.61726j 11.5649+0.433658j -9.56708+0.953239j -131.984-1.48834j -38.6357-0.979449j -1.21237+0.108311j 
-5.17794-1.00774j -166.224+2.36713j -572.075+1.52761j -42.3026-4.35081j -51.6303+0.256978j -1238.26+8.47682j 235.783-4.86681j 876.505-1.55639j -1340.6+11.729j 1870.6-13.5654j -327.486+5.1301j -2561.91+11.064j 896.135+4.29464j 81.291-1.50218j -850.495+6.16794j -3084.16+10.3478j 2851.77-6.67325j -3319.46+7.31216j -2533.41+4.01846j -133.872-2.87351j -1037.54+0.682475j -4153.47+6.5507j -3282.4+5.54966j -1816.54+1.35292j -2775.34+4.08116j 6305.03-5.8446j 940.867-1.80425j 1360.34-3.07069j -190.353-2.98457j 3346.71-0.335445j 1928.06+3.22808j -4108.84-1.48782j 3930.45-0.352342j -1843.98+2.72495j -3858.85-4.24315j -57.3653+2.4178j 1844.7+5.33027j -3930.42-7.2024j 4109.31+6.6959j -1928.19-0.102727j -3346.35-6.51848j -189.876+2.76343j 1361.41+5.60976j -940.258-4.16655j 6305.84+18.6641j -2776.29-9.72682j 1817.25+4.63688j -3282.77-11.2823j 4152.89+13.976j -1038.94-4.06624j 134.286-2.4651j -2532.76-9.56948j 3319.99+13.7747j -2851.82-10.5927j 3085.54+16.6715j -850.638-6.73353j 82.1427+2.17579j -895.817+2.01366j 2561.7+15.7103j -327.03-5.46972j 1870.48+16.5255j -1340.78-14.4092j 875.741+3.27052j 235.432+5.47265j 1238.43+11.5797j -51.1877+0.00813134j 41.9257-4.39962j 572.349+2.2868j 166.161+2.16624j 5.25752-1.34917j 
-4.47435-1.04383j -134.554+2.06879j -463.42-1.79948j -34.3882-5.36895j -41.5919+0.345172j -1003.54+3.61866j 191.067-5.19984j 710.564+2.74374j -1086.23+6.77531j 1515.16-5.08032j -265.223+3.94308j -2076.55-0.191413j 726.122+9.4486j 65.515-1.74689j -689.246+2.23705j -2499.39-2.96264j 2311+7.21064j -2690.42-7.0744j -2053.33-6.97085j -108.727-4.3204j -840.888-4.4248j -3366.08-12.4385j -2659.44-9.12347j -1472.32-7.83856j -2249.61-9.40851j 5110.47+23.4897j 762.804+1.83924j 1102.94+1.70382j -154.054-4.4904j 2712.96+15.553j 1563.69+13.2501j -3330.67-20.6953j 3186.03+18.9721j -1495.29-6.63899j -3125.96-21.912j -47.4218+0.705635j 1495.97+15.3811j -3185.78-26.2775j 3329.86+27.504j -1562.92-9.21584j -2712.23-23.2001j -153.602+2.55037j 1103.94+13.8036j -762.209-8.28472j 5111.35+49.6814j -2250.68-23.2114j 1471.39+14.1313j -2660.63-28.0388j 3366.52+34.7271j -840.818-8.18759j 107.772-1.99346j -2053.6-21.9822j 2691.92+31.2018j -2311.12-26.142j 2500.25+32.6325j -689.337-12.2804j 66.5027+2.63771j -726.083-2.09725j 2077.12+29.8841j -265.55-7.77517j 1515.99+26.9304j -1086.17-22.2897j 711.078+6.94888j 191.733+6.77663j 1004.54+17.3986j -41.7875-0.712625j 33.754-3.61672j 464.1+5.19344j 134.753+3.12857j 4.45205-1.21989j 
-3.90864-0.815993j -121.837+1.78483j -419.451+0.744051j -30.7582-3.53993j -37.7392+0.151204j -907.873+6.16284j 172.686-3.9241j 642.849-0.824657j -982.928+8.13326j 1370.9-9.28404j -239.851+3.5738j -1878.35+7.3573j 657.132+3.7667j 59.5775-1.50463j -623.732+4.04612j -2261.46+6.21142j 2091-3.94181j -2433.56+3.92013j -1856.91+2.34327j -98.0972-2.14971j -760.763-0.413131j -3044.42+2.48769j -2406.62+2.1392j -1331.77-0.715519j -2034.41+1.45275j 4622.77-1.35911j 689-1.00092j 996.921-1.3515j -139.75-2.97875j 2454.03+1.50952j 1413.87+4.34117j -3012.84-2.03412j 2881.16+2.23368j -1352.19+0.938899j -2826.84-4.68089j -42.0944+1.32456j 1352.89+5.34772j -2881.99-9.17226j 3013.63+8.32916j -1414.87-2.16223j -2452.49-6.28759j -138.328+2.82449j 997.386+5.51582j -689.214-3.64683j 4621.98+17.1861j -2034.41-7.90614j 1332+5.26232j -2407.3-11.658j 3045.39+14.386j -760.006-2.85694j 98.7703-2.24199j -1857.13-7.89029j 2432.82+13.179j -2089.87-11.4987j 2260.9+14.1649j -624.188-6.3244j 60.0811+1.85241j -656.938+0.25666j 1878.44+14.3458j -240.416-4.68396j 1371.03+14.3717j -982.709-12.0734j 642.522+3.35941j 172.638+4.61888j 907.706+9.58951j -37.7472-0.1375j 30.7605-3.17276j 419.596+2.13031j 121.917+1.99227j 3.91918-0.840416j 
-22.3673-4.7571j -697.877+10.0815j -2404.05+3.72581j -177.203-19.8665j -216.293+0.884579j -5202.89+36.253j 990.236-22.2015j 3682.48-5.3384j -5631.88+49.9032j 7857.72-55.0244j -1374.21+20.8949j -10763.9+44.0523j 3764.29+19.4519j 341.326-6.40954j -3574.48+24.4693j -12957.9+38.8704j 11981.3-22.0673j -13946.3+25.19j -10643.1+14.0855j -562.036-14.3531j -4360.07+1.66959j -17449.3+17.5834j -13789.6+18.4894j -7633.08+1.47947j -11663.4+10.6788j 26491.3-11.4205j 3951.35-6.47855j 5716.16-12.9709j -798.912-13.8166j 14061.5+9.08291j 8101.99+20.7166j -17262.7-13.3332j 16515.5+8.25128j -7752.06+3.85281j -16205.1-26.038j -243.662+8.75269j 7753.36+29.4256j -16515.8-46.1532j 17263.9+43.1211j -8102.4-5.77638j -14061.5-37.0878j -798.153+11.2647j 5717.31+31.7353j -3950.37-19.0327j 26493.1+96.2575j -11664.1-47.807j 7633.84+24.9876j -13791.2-62.2397j 17450.2+73.8724j -4360.74-14.7426j 561.243-11.2328j -10644.1-48.9639j 13947.8+70.1339j -11981.5-60.0195j 12958.2+80.3096j -3574.46-34.9614j 342.337+8.13599j -3763.66+6.99461j 10766+77.876j -1374.87-25.0095j 7859.48+79.9529j -5633.92-66.5284j 3682.63+16.9535j 991.195+24.3026j 5203.54+51.4172j -215.67-1.57121j 176.498-17.8483j 2404.27+12.5857j 698.819+11.7602j 22.1255-4.84969j 
-0.730116-0.167919j -15.0375-0.384631j -52.8217-1.76711j -3.81408-1.15862j -4.25486-0.00915553j -113.746-1.83898j 21.5607-0.28008j 80.4479+2.30836j -123.086-1.60982j 170.718+2.96554j -29.6416-0.254388j -234.774-5.71881j 82.3011+3.74375j 7.4587+0.225699j -77.9668-1.68425j -282.893-7.59851j 261.514+7.72606j -304.763-9.44481j -232.765-6.62043j -12.4021-1.14592j -95.161-3.18942j -381.936-11.0996j -301.278-9.12412j -166.451-5.42173j -254.313-8.01139j 578.733+18.3533j 85.0169+2.66677j 124.84+3.41704j -17.397-0.27053j 307.344+9.75283j 176.882+6.26037j -377.36-12.7587j 361.654+12.5872j -168.859-4.63399j -353.269-12.6986j -5.75146+0.634757j 170.335+5.9311j -360.041-12.9735j 376.981+14.3928j -176.407-5.5868j -307.126-12.7688j -17.6955+0.298193j 124.137+5.31589j -85.8901-3.7665j 579.033+22.2155j -255.542-10.6594j 167.449+6.32589j -301.544-11.5213j 380.818+15.3081j -94.4085-3.8699j 10.6476-0.181209j -232.452-10.1092j 305.409+12.7514j -261.909-10.6286j 282.92+13.3913j -78.48-4.64424j 7.17814+0.764221j -81.4041-1.71875j 235.304+10.4078j -30.2153-2.01634j 171.976+8.5903j -123.146-6.8053j 80.264+3.35387j 21.9706+1.66883j 113.835+5.97102j -4.61891-0.306518j 4.067-0.0887809j 52.43+2.29054j 15.4671+1.10374j 0.459477-0.0370614j 
-16.8988-3.56953j -530.973+8.26436j -1827.9+6.00681j -134.341-14.2837j -164.22+0.741952j -3956.47+32.7915j 752.795-17.1755j 2800.4-8.40335j -4282.5+42.9079j 5975.27-49.9308j -1045.14+17.0445j -8185.12+44.8791j 2862.36+9.91927j 260.465-5.31803j -2718.53+22.1422j -9853.22+43.5728j 9110.75-29.8295j -10603.8+34.7387j -8092.32+22.4313j -426.855-9.35549j -3315.52+6.25142j -13266.3+33.4127j -10485.3+28.9886j -5804.06+10.5428j -8867.33+21.2129j 20143.2-38.8276j 3004.39-9.75927j 4346.68-15.9328j -608.053-9.71881j 10692.3-9.01442j 6159.98+6.63683j -13126.9+9.91925j 12556.7-12.5744j -5894.38+12.6821j -12321-1.84444j -186.752+6.92153j 5894.28+12.8826j -12556.6-14.1479j 13125.3+10.8582j -6159.74+6.82677j -10692.6-11.4361j -607.275+9.52994j 4346.48+18.4789j -3003.66-9.62131j 20143.2+40.8248j -8868.41-22.5604j 5803.81+10.9364j -10484.6-29.5654j 13268.1+35.5415j -3315.31-6.1833j 426.633-9.75279j -8092.31-22.5973j 10603.7+35.8257j -9109.03-30.6603j 9852.55+44.9536j -2718.58-22.6377j 259.782+5.58305j -2863.14+9.12824j 8185.71+45.6626j -1045.12-17.4108j 5975.75+50.5283j -4283.4-43.7159j 2799.99+8.50405j 753.268+17.2196j 3956.22+32.8292j -164.458-0.877384j 134.402-14.1108j 1827.95+6.31379j 531.207+8.06508j 16.9888-3.67201j 
1.11346+0.222457j 26.6612+0.0114716j 91.4429+1.38234j 7.03111+1.30886j 8.26277-0.294653j 197.666+1.16578j -37.9856+0.507878j -140.074-1.90654j 214.004+0.318847j -298.919-1.40436j 51.9276-0.0231287j 409.394+3.68411j -143.651-2.36924j -12.9399+0.147183j 135.486+0.220896j 491.896+5.60505j -455.672-5.70875j 529.642+7.01268j 403.915+4.76784j 21.2881+0.755191j 165.511+2.54877j 663.06+9.91276j 524.879+5.95288j 290.236+5.51509j 443.185+6.24024j -1007.6-15.7691j -150.274-1.61765j -217.508-3.05318j 29.0707+1.14168j -535.331-8.33267j -307.516-6.60548j 656.36+10.7672j -627.918-10.2307j 294.466+3.91909j 616.574+10.9011j 9.81787+0.170058j -293.783-4.83955j 628.459+11.6313j -655.663-12.0513j 307.789+4.71587j 534.626+10.4447j 29.8219-0.0292617j -217.113-5.0166j 150.228+2.50136j -1008.21-19.8335j 443.261+8.65913j -290.553-5.7605j 524.658+10.6329j -663.37-13.1661j 167.069+2.69639j -21.3323+0.554042j 405.185+8.45792j -529.541-11.6379j 455.516+9.97802j -492.976-12.2029j 136.476+3.57611j -13.1834+0.534507j 142.554+2.11356j -409.964-9.46982j 52.4168+1.752j -298.929-7.96366j 213.623+6.10712j -140.384-2.80066j -37.1359-2.02096j -198.161-5.44475j 8.14703+0.24672j -6.75447+0.867675j -91.2046-2.01002j -26.6179-0.993652j -0.742497+0.208902j 
-0.934613-0.439659j -29.225+0.170284j -99.7537-0.833671j -7.28945-0.517664j -9.08318+0.0667482j -216.476-0.277319j 41.5656-0.578792j 152.765+1.12768j -234.319-0.138466j 326.836+0.0893618j -57.8517+0.612264j -446.693-2.04761j 156.156+1.3537j 14.1619+0.212764j -149.045-0.515319j -538.007-3.1298j 497.783+2.83469j -579.527-3.23398j -442.709-2.09729j -22.7243-1.20648j -180.312-1.00825j -724.294-4.30572j -572.32-3.86727j -317.897-1.8628j -485.274-4.47431j 1099.62+8.0084j 164.029+0.724106j 237.349+2.34731j -32.285-0.309214j 583.565+4.59706j 336.048+3.93152j -716.287-5.04509j 685.284+4.9202j -321.3-2.3702j -672.128-6.33343j -9.96769+0.39466j 321.736+3.66005j -684.633-6.36816j 715.675+6.2308j -336.024-3.28231j -582.869-5.83112j -34.0268+0.836448j 237.018+4.0918j -163.712-1.69196j 1097.99+12.599j -482.391-7.05685j 315.31+3.004j -571.481-7.10491j 723.061+8.1513j -181.21-1.68347j 24.0525+0.133303j -440.151-4.76575j 577.26+7.25502j -496.083-6.3044j 536.918+8.08577j -147.546-3.04548j 14.216+0.846277j -156.044-0.302314j 446.311+7.13692j -56.1535-1.31425j 324.996+5.71869j -232.965-4.96133j 152.768+2.07093j 40.606+1.39688j 215.17+3.92756j -8.85166+0.00684848j 7.37411-1.01507j 99.6988+1.49868j 28.7055+0.742804j 0.942515+0.0540681j 
-17.7301-3.66835j -553.312+8.52203j -1904.93+6.39255j -140.331-14.6238j -171.405+0.473239j -4122.88+34.442j 784.837-18.4974j 2918.23-9.09861j -4463.04+45.6505j 6226.21-53.1716j -1089.06+17.7144j -8529.4+48.712j 2982.58+10.0503j 270.727-6.10405j -2832.6+23.6414j -10266.9+47.1935j 9493.19-32.6807j -11049.4+37.7464j -8433.38+24.6042j -446.457-9.66217j -3453.49+6.89965j -13825.2+36.5551j -10925.2+30.8727j -6048.62+9.94569j -9241.79+23.7688j 20991-43.7217j 3130.77-9.17849j 4530.19-16.6993j -633.922-10.2299j 11141.7-11.7725j 6419.08+6.02494j -13678.6+11.3682j 13085.7-13.8581j -6142.13+12.6661j -12839.9+0.216451j -193.759+7.76057j 6142.11+12.3505j -13085.8-13.2674j 13678.7+10.7781j -6419.08+6.4024j -11141.7-11.2269j -633.83+10.2024j 4530.21+16.3624j -3130.79-9.05207j 20991.1+42.6434j -9241.94-23.1654j 6048.75+9.69104j -10925.2-30.2986j 13825.3+35.9033j -3453.44-6.75881j 446.388-9.73228j -8433.52-24.245j 11049.5+37.1976j -9493.28-32.2025j 10267+46.6067j -2832.68-23.4551j 270.724+6.04863j -2982.59+10.137j 8529.42+48.2315j -1089.15-17.6777j 6226.31+52.8677j -4463.11-45.3836j 2918.23+8.93124j 784.888+18.4546j 4122.94+34.2219j -171.417-0.47709j 140.327-14.5978j 1904.93+6.27051j 553.339+8.49208j 17.7297-3.69418j 
-0.742497-0.208902j -26.6179+0.993652j -91.2046+2.01002j -6.75447-0.867675j -8.14703+0.24672j -198.161+5.44475j 37.1359-2.02096j 140.384-2.80066j -213.623+6.10712j 298.929-7.96366j -52.4168+1.752j -409.964+9.46982j 142.554-2.11356j 13.1834+0.534507j -136.476+3.57611j -492.976+12.2029j 455.516-9.97802j -529.541+11.6379j -405.185+8.45792j -21.3323-0.554042j -167.069+2.69639j -663.37+13.1661j -524.658+10.6329j -290.553+5.7605j -443.261+8.65913j 1008.21-19.8335j 150.228-2.50136j 217.113-5.0166j -29.8219-0.0292617j 534.626-10.4447j 307.789-4.71587j -655.663+12.0513j 628.459-11.6313j -293.783+4.83955j -616.591+10.8926j -8.69816+0.740263j 294.466-3.91909j -627.918+10.2307j 656.36-10.7672j -307.516+6.60548j -535.331+8.33267j -29.0707+1.14168j 217.508-3.05318j -150.274+1.61765j 1007.6-15.7691j -443.185+6.24024j 290.236-5.51509j -524.879+5.95288j 663.06-9.91276j -165.511+2.54877j 21.2881-0.755191j -403.915+4.76784j 529.642-7.01268j -455.672+5.70875j 491.896-5.60505j -135.486+0.220896j 12.9399+0.147183j -143.651+2.36924j 409.394-3.68411j -51.9276-0.0231287j 298.919-1.40436j -214.004+0.318847j 140.074-1.90654j 37.9856+0.507878j 197.666-1.16578j -8.26277-0.294653j 7.03111-1.30886j 91.4429-1.38234j 26.6612-0.0114716j 1.11346-0.222457j 
