-0.0228847-0.0272225j -0.0169526-0.0507432j 0.0661701-0.0494476j 0.0134873-0.0265065j 0.031972+0.0054775j -0.0555398+0.0321236j -0.094678+0.054495j -0.0340321+0.0573672j 0.119628-0.025721j -0.0640092+0.0133091j -0.120577-0.120499j -0.0218487+0.040955j 0.00596541+0.0509632j 0.0413383+0.101972j -0.0829553+0.0597222j 0.0917267+0.191317j -0.125428-0.135597j 0.0121403-0.0233672j 0.00494482-0.00206014j 0.15177+0.0837835j 0.0472527+0.0351893j 0.106811+0.231535j -0.017077-0.0879235j 0.0903542+0.121961j 0.0250353+0.0782265j 0.0976347-0.117869j -0.00756844-0.105992j -0.0147787-0.0171821j -0.0940311-0.113011j -0.00145869-0.0317126j 0.0871937+0.0484549j -0.000996375+0.0522937j 0.0264856-0.033954j -0.0102942-0.0668006j 0.00863284+0.022049j -0.0464388+0.186829j -0.00210222-0.0351567j 0.0650845+0.0763613j -0.067171-0.0120064j -0.0309666-0.00891538j -0.0341202-0.0205287j -0.151857+0.223023j -0.0639621-0.165389j -0.269324+0.292382j -0.166297+0.236042j 0.0697481+0.194055j -0.001821-0.217559j -0.158281+0.168962j 0.335494+0.195137j 0.407632+0.0288841j 0.344328+0.504523j -0.0779754-0.513658j 
0.0308358+0.579353j 0.0825742-4.28531j -0.21149+7.66254j -0.0797123-10.4917j 0.0998909+10.3407j 0.0411631-26.2132j 0.088419+4.04099j 0.150804-33.1972j 0.152605+34.2007j -0.164262-7.49208j -0.576636+52.9926j 0.00385974-26.3377j 0.11556-29.8149j 0.288439-48.4495j 0.0030992-17.849j 0.73258-101.969j -0.365173+66.2774j 0.0115612+6.14703j 0.24059-26.7481j 0.172995-21.6892j 0.266103-19.6986j 0.891021-112.528j 0.00866217+2.36888j 0.68176-85.5552j 0.13874-4.40949j -52.9868+62.5777j -34.9653+6.14434j 0.0722855-4.24394j -0.584042+85.5822j 0.0553124-2.34846j 1.08044-112.455j 0.443767-19.6108j -0.641351+21.6777j -0.290566+26.5811j 0.283561-6.34415j -0.610861+66.2438j 0.856363-101.962j -0.379723+17.6945j 0.705447-49.0454j 0.325787-29.7218j 0.592906-26.1689j 0.745408-53.0343j 0.506903-7.78056j 0.684974-34.3529j -0.0287551-33.0905j 0.707169-4.46342j 0.0322806+26.1723j 0.0447994+10.1163j 0.0160478-10.9373j -0.189814-7.42905j -0.216336+4.17664j -0.0597615-0.481406j 
0.097168+0.217973j -0.0414186-1.53786j -0.0513907+2.58814j -0.0764532-3.68569j 0.111775+3.66811j -0.027393-9.16807j 0.0667567+1.35557j -0.176456-11.4865j 0.182454+11.8842j -0.173479-2.48916j 0.0945876+18.2146j -0.103275-9.26512j -0.0657096-10.3069j -0.23919-16.7813j -0.262644-6.0395j -0.275041-35.3367j 0.0542173+22.7252j 0.0719577+2.02605j -0.0192644-9.42591j -0.115351-7.46851j -0.0980086-6.85569j 0.0219638-38.6727j 0.0204707+0.760721j -0.0476479-29.6985j 0.136878-1.48779j -18.0315+21.6913j -12.0031+2.12051j 0.142644-1.34774j 0.0727055+29.7306j -0.0326981-0.761137j 0.0255982-38.7j 0.111566-6.85375j -0.428028+7.64848j -0.130148+9.06777j 0.345905-2.26432j 0.0566118+22.5765j -0.0837669-35.5526j 0.12602+6.03969j -0.10707-16.574j 0.165649-10.2987j 0.515032-9.06061j -0.515531-18.5331j 0.179705-2.38568j 0.248238-11.9127j 0.387572-11.1488j 0.150927-1.08702j 0.229324+8.86914j 0.0933288+3.76235j -0.117295-3.68125j -0.0223079-2.29366j 0.0646506+1.34968j -0.0808998-0.176281j 
-0.00907925-0.0692539j 0.00412763-0.13743j -0.103509+0.244017j 0.0396918-0.309607j 0.00194455+0.262776j -0.0196946-0.910107j 0.0637102+0.0495142j -0.0911014-1.22566j -0.149449+0.937235j -0.0557818-0.131274j 0.0395543+1.80844j 0.0422103-0.865427j -0.109539-0.762764j 0.0823553-1.517j 0.0574989-0.613404j -0.0934355-3.40778j -0.203369+2.1053j -0.0776229+0.204343j 0.042554-0.7582j 0.359217-0.834967j 0.0850077-0.689766j -0.00553619-3.50662j 0.0374928-0.0111672j -0.0306185-2.71464j 0.0737358-0.133442j -1.90271+1.97171j -1.23467+0.269001j -0.274846-0.0446143j -0.094347+2.72052j -0.0289903+0.17086j 0.322134-3.6944j -0.0520408-0.852165j 0.00516345+0.753741j 0.218397+1.00199j -0.198189-0.377276j -0.202913+2.2313j 0.116512-3.69584j 0.0360457+0.45435j -0.139192-1.30533j 0.0778236-1.11366j -0.251094-1.16548j 0.0612453-1.47392j -0.374915+0.220127j 0.24044-1.32938j -0.0636253-0.903236j 0.25326-0.368154j -0.0932678+0.790583j -0.304876+0.321227j -0.106353-0.456179j -0.602832-0.294897j -0.0200082+0.191683j 0.0863054-0.316456j 
-0.0788007+0.268605j 0.0343068-1.46526j 0.0099222+2.61739j -0.0241757-3.49448j -0.0528351+3.41398j 0.0346196-8.78149j -0.00393785+1.2529j 0.170137-11.1141j -0.078019+11.585j 0.0411146-2.6225j -0.242126+17.7024j 0.0427993-8.91549j -0.0045328-9.9878j 0.0114612-16.3111j -0.0581761-5.87083j 0.293602-34.1325j -0.409255+22.1289j -0.0239541+2.20932j 0.0500964-8.80293j -0.111791-7.17868j 0.042472-6.45388j 0.331501-37.6412j 0.0229584+0.707859j 0.315292-28.7051j -0.0449999-1.33679j -17.6831+20.9879j -11.7287+2.03511j 0.00420857-1.56047j -0.185891+28.7073j -0.0212085-0.520183j 0.321264-37.2879j -0.0509098-6.72681j -0.341058+7.31107j 0.164152+8.92921j 0.0259298-1.84691j -0.00576138+22.1868j 0.588977-34.3129j -0.137211+5.78117j 0.732873-16.566j 0.574323-10.3191j -0.519701-8.40197j 0.0275701-17.9031j -0.0389873-2.89422j 0.423181-11.6529j 0.484813-11.0385j 0.0454095-1.29782j -0.157235+8.5166j -0.24994+3.23736j 0.244225-3.40588j 0.232643-2.6339j 0.176469+1.51582j -0.0388536-0.214799j 
0.0977406+0.709605j 0.0827977-5.18765j -0.219085+9.15231j -0.257025-12.6579j 0.156602+12.4045j 0.0369779-31.6041j 0.333721+4.837j 0.212227-39.8591j 0.0516603+41.0299j 0.0620243-9.01661j -0.652596+63.7404j 0.0209458-31.825j 0.170198-36.032j 0.059649-58.5089j 0.100081-21.3376j 0.555303-123.122j -0.446482+79.6776j 0.0410202+7.27084j 0.0364415-32.3174j 0.457857-26.1j -0.0188613-23.6592j 0.711307-135.378j 0.0958808+3.06775j 0.43495-103.107j -0.158426-5.06954j -63.2829+75.2538j -42.1017+7.51966j 0.321504-5.27225j -0.569685+102.806j 0.498501-3.15328j 1.05391-135.137j 0.115644-23.5345j -0.504217+26.1158j -0.285125+32.4561j 0.190379-7.45084j -0.671275+79.9434j 1.08598-123.072j -0.521882+21.2165j 0.349348-58.8631j 0.181516-35.8402j 0.500325-32.0513j 0.426746-64.0488j 0.205218-8.71368j 0.510689-41.2115j 0.451694-39.942j 0.0750818-4.79978j -0.352112+31.4489j 0.0221533+12.4343j 0.437653-13.0833j -0.237237-8.78199j -0.140558+5.09656j -0.329291-1.07753j 
-0.0491366-0.791893j 0.0226161+4.81206j 0.120668-8.45808j 0.0880214+11.7818j -0.0536607-11.5684j -0.0646121+29.3911j -0.263256-4.42083j 0.111079+36.923j -0.336473-38.0206j 0.0696318+8.4455j 0.315055-58.9192j -0.0245073+29.379j -0.109395+33.3427j -0.187256+53.948j -0.106465+19.7091j -0.237654+113.725j 0.317833-73.4838j 0.0976664-7.00114j -0.204135+29.8795j -0.050241+24.0235j -0.169654+22.0726j -0.47893+125.084j -0.188605-2.72954j -0.382454+95.3011j -0.130372+4.68486j 58.4393-69.8237j 38.9917-7.09541j -0.217569+4.82433j 0.369501-94.6083j -0.104384+2.71373j -0.64356+124.978j -0.607254+21.5926j 0.370873-23.9976j -0.197186-29.5727j -0.296671+7.1622j 0.256721-73.5206j -0.862038+114.021j 0.179494-19.9382j -0.0587252+53.9234j -0.24148+33.2002j -0.373891+29.6328j -0.571894+58.3898j -0.054637+8.31452j -0.787724+38.2498j -0.315511+37.088j -0.197106+4.82813j -0.10306-29.0845j 0.236759-11.7641j -0.111729+11.7284j 0.193299+7.9725j -0.0778733-4.65694j -0.0219698+0.844231j 
-0.0144083+0.879259j -0.104771-5.57966j -0.232815+9.83734j -0.341063-13.7451j 0.0530431+13.4424j -0.0120863-33.9632j 0.327723+5.28858j -0.166302-43.0819j 0.148527+44.3303j -0.0706214-9.80465j -0.293857+68.747j -0.195644-34.1794j 0.18856-38.7295j 0.0675148-62.9636j -0.00948269-23.0653j 0.272088-132.602j -0.305584+86.0572j 0.053529+7.98623j 0.128973-34.6399j -0.0125781-28.2489j -0.0629729-25.526j 0.208236-145.802j 0.0218824+2.95877j 0.334432-110.788j -0.137817-5.24142j -67.9088+81.2881j -45.3085+7.991j 0.415167-5.35954j -0.183454+110.563j 0.198733-3.35228j 0.708588-146.03j 0.309467-25.3555j -0.561038+28.5406j -0.224113+34.9885j 0.470497-8.36883j -1.01426+85.3864j 1.09615-132.817j 0.044566+22.9491j 0.525782-62.7528j 0.631011-38.8452j 0.651636-34.2222j 0.135446-68.5189j 0.409972-9.33847j 0.596053-44.0977j -0.0587255-42.7524j 0.0749354-5.249j -0.0678909+34.079j -0.137056+13.6897j 0.20192-13.6333j -0.375045-9.86184j 0.0535392+5.75335j -0.145809-1.06024j 
-0.0672864-0.642899j -0.0304506+4.22433j 0.198333-7.57518j 0.116451+10.5072j -0.0617121-10.2299j -0.000869026+25.8954j -0.215969-3.91659j -0.0454223+32.8514j -0.269026-33.8207j 0.182893+7.51895j 0.0067415-52.3894j -0.215259+25.9705j -0.0724783+29.6349j 0.0935229+47.9723j -0.027771+17.5667j -0.182375+100.942j 0.0918995-65.5889j 0.0753838-6.04434j 0.248912+26.4866j -0.210552+21.6191j -0.311663+19.4163j -0.229967+111.048j -0.0632711-2.56855j -0.273295+84.4725j -0.134876+4.00688j 51.7932-62.2071j 34.5805-6.06082j -0.0171638+4.30427j -0.100551-84.2871j -0.406077+2.47161j -0.815671+111.354j 0.159545+19.2247j 0.35095-21.3647j 0.0482393-26.3243j -0.0938054+6.31741j 0.627924-65.562j -0.120558+101.171j 0.370109-17.6153j -0.677741+47.9773j -0.633037+29.1436j -0.504682+26.0444j -0.513693+52.3467j 0.125603+7.56864j -0.656864+33.7173j 0.253417+32.6413j -0.189451+4.1223j 0.371387-26.0537j 0.170042-9.95815j -0.157211+10.5732j 0.111474+7.31315j 0.00750551-4.092j -0.116427+0.864812j 
-0.0235398-0.0988305j 0.0369096+0.328097j -0.0851358-0.34656j 0.126981+0.480309j 0.0118812-0.644362j 0.071374+1.15438j -0.0542575-0.377905j -0.0964618+1.56413j -0.0935616-1.77206j -0.0160827+0.442904j 0.0255261-2.44708j 0.0668415+1.25215j 0.10229+1.31657j -0.0136649+2.5023j 0.12185+0.607718j -0.0280451+5.24956j -0.0836477-3.44267j -0.113374-0.336238j -0.00247967+1.33019j 0.14053+1.14718j 0.0973944+0.966515j 0.218203+5.50969j -0.0663111+0.0693849j 0.0339065+4.13977j -0.0926051+0.156989j 2.72477-3.32463j 1.82288-0.629912j 0.143987+0.293303j -0.134422-4.06824j -0.0700301-0.324981j -0.183826+5.5967j 0.174841+1.24395j -0.00971298-1.2491j -0.0968552-1.22852j 0.456792-0.350678j -0.354625-3.0096j 0.314278+4.9847j -0.168611-1.2562j 0.121709+2.72264j 0.0816324+1.38259j 0.23501+1.45757j 0.111212+2.5295j -0.232377+0.812967j -0.266085+1.82076j -0.0595491+1.5141j -0.145235+0.045341j -0.234336-1.28405j -0.0380307-0.449361j -0.374515+0.576615j 0.0704988+0.523214j 0.0759844-0.582091j 0.100362+0.000363811j 
0.00338163+0.354505j -0.0319506-1.83119j 0.0398341+3.09926j -0.0650979-4.21885j -0.0477801+4.09843j 0.22031-10.7607j 0.142224+1.83749j -0.00157119-13.3153j 0.0580986+13.8149j -0.127765-3.01216j -0.0590587+21.3626j -0.240636-10.54j -0.0388662-11.8946j 0.15591-19.8249j -0.196792-7.01273j 0.150292-41.1895j -0.131526+26.8561j 0.0526838+2.53336j 0.0811578-10.7004j -0.0604715-8.6864j -0.0450529-7.90879j 0.138577-45.3641j -0.0120773+0.947164j 0.143561-34.3794j 0.0362859-1.8213j -20.9847+25.082j -14.0267+2.45949j -0.22391-2.2408j -0.0948427+34.5226j 0.19372-0.729121j -0.139754-45.3811j 0.053844-7.65636j -0.182012+8.85737j -0.486749+11.3869j 0.0158673-2.77255j -0.36343+26.7364j 0.0573663-41.1696j -0.0309478+7.44404j 0.06197-19.161j 0.106399-11.9361j 0.286051-10.1213j 0.059242-21.5139j 0.379516-3.24722j 0.00988979-13.8352j -0.0161729-13.1444j 0.319233-1.6043j -0.0533799+10.7157j -0.355516+4.61891j 0.100091-4.35261j 0.0601389-3.10914j 0.204582+1.98458j -0.0825556-0.293747j 
-0.0582133-1.09351j 0.0450601+7.02985j 0.230611-12.3926j 0.228587+17.2231j -0.0652166-16.829j 0.0631221+42.5974j -0.389892-6.53177j -0.0478112+53.9189j -0.331644-55.4513j 0.0620255+12.3586j 0.235662-86.081j 0.080557+42.9505j -0.167622+48.357j 0.100077+78.8967j 0.00316764+28.7585j -0.250588+165.758j 0.238904-107.479j -0.224578-10.1088j -0.228434+43.5286j -0.0622929+35.2472j -0.143784+31.8809j -0.267362+182.388j -0.102631-4.18457j -0.454656+138.476j 0.377677+6.48888j 84.8701-101.86j 56.645-9.97231j -0.155663+6.6301j 0.703287-138.659j -0.141301+3.84529j -0.9783+182.551j -0.462018+32.113j 0.286606-35.2478j 0.283759-43.3933j -0.0483346+9.95269j 1.00944-107.466j -0.914037+165.112j 0.573159-28.8084j -0.692198+78.7928j -0.206265+48.6123j -0.166633+42.5915j -0.128986+85.7033j -0.089101+12.2483j -0.727183+55.0394j -0.428212+53.8409j -0.23171+6.44558j 0.186319-42.5134j 0.327791-16.6879j -0.398836+17.1558j 0.153342+12.3253j -0.0146855-7.05225j -0.0302557+1.38661j 
