-0.0815081-0.174968j 0.0254168-0.380368j -0.307554+0.256362j -0.0859504+0.147071j -0.0828217-0.0995979j -0.176653+0.0154162j 0.028546-0.0453356j -0.334785+0.0864376j -0.231146+0.0661773j -0.00473859+0.946536j 0.440359+0.416988j 1.44782+0.439684j -1.40008+1.20275j -0.424833+1.44176j 1.97927+0.226899j 0.175834-0.251801j -0.455944+0.281155j -0.716942-0.158173j -0.271371+0.094195j 0.15888+0.370163j -0.556747-0.396676j -0.0126942+0.0112663j 0.17231-0.277634j 0.0770179-0.0163105j -0.399913-0.283741j -0.672362+0.325779j 0.21084+0.0730071j -0.268662-0.503612j 0.137883-0.249994j -1.15522-1.57633j 2.1159-0.665241j 0.940601-0.320106j -0.0559917+1.72508j 0.0781236-0.0674762j 0.0345-1.02488j -3.56587-0.0385951j 1.32498-2.45131j 0.069011-0.0949411j -0.128494-0.118592j 0.390491-0.0614115j 0.00912626+0.334275j -0.0398485-0.606362j 0.402175+0.104457j -0.539243+0.0995068j -0.300242-0.266379j -0.0203039+0.339737j 0.212524-0.185174j -0.0435302+0.466205j -0.511864+0.789342j -0.182429-0.106133j 0.488146+0.658584j -0.479168-0.50025j -0.360652+0.0549758j -0.398495+0.180313j -0.530538+0.237421j -0.243996-0.311518j 0.0458313+0.284812j 0.0939642+0.166806j -0.292134+0.995534j 0.157681-0.690496j 0.411622+0.0400519j -0.564665-0.684602j 0.171627+0.140795j 0.475909+0.544581j 0.113907+0.0304595j 0.20878-0.00883832j 1.15896+0.0741453j 0.135232-0.106639j -0.383269+0.556532j 0.72886-1.27422j -0.713523-0.78472j 0.679049-0.565849j 0.388479+1.15465j -0.205978-0.445367j -0.470377-0.824762j -1.2186+0.335592j -0.814861-0.947039j -0.809072-0.020062j 0.371188+0.0161595j -1.48495+0.134804j 0.0385202-1.03527j -0.552652+1.29933j 0.736399-1.34904j -0.192484-0.503017j 1.05192+0.461815j -0.774427-0.447743j 0.477936-0.591876j -1.12342-0.287707j 1.15832+0.973289j 0.415503+0.444915j -2.22355-0.623094j 1.44457+1.78997j 2.861-3.00157j 0.151992+0.0923062j -1.90358-1.95458j 
-0.475085+0.214557j 0.433042+0.252347j -0.222007-0.898503j -0.54113+0.10426j -0.283919+0.630668j -0.165071+1.42362j -1.72316+0.467111j 0.54402-0.0444433j 0.997169-0.378809j -0.964989+0.964941j -0.584729-2.51441j -0.947893-2.01567j -1.29147-0.928671j 2.39961+0.21907j 0.333778+1.59902j -0.228964+0.0321822j -0.116581-0.0848012j -0.0579499-0.446699j -0.127703-0.00501016j 0.0452113+0.0123555j -0.218933+0.231055j 0.0478312+0.0412751j -0.310269+0.204027j -0.234127+0.171227j 0.286806+0.0514366j 0.222411+0.77067j -0.617026-0.0335877j -0.579805-0.00464688j 0.215936-0.414824j 0.568578+0.211332j 0.825333+0.120879j -0.469232+0.850056j -0.113056-0.240394j -0.034673+0.564828j -0.0925842+0.235819j 0.335967+0.590042j 0.394543-0.337128j -0.413647+0.202463j -0.594851-0.379155j -0.113505+0.0587958j 0.171675+0.0863534j -0.672353-0.252023j -0.00766869+1.02416j -0.0850588-0.387591j -0.17091+0.112521j -0.129071+0.767064j 0.249888+0.618226j -0.401037-0.0750037j -0.215514-0.523071j 0.318311+0.232453j 0.631718-0.226766j 0.594588+0.0869352j 1.8233+0.0266824j 1.20198+0.826282j 0.605946+0.259056j 0.298547+0.427498j -0.0481892-0.7414j 0.48156+0.218226j -0.402545+0.120369j -0.84966-1.68192j 0.839765-0.488368j -0.595625+1.18682j -0.595396-1.07095j -0.0914198+1.21423j 0.311291+0.757372j -0.3358-0.0643001j -0.127237+0.984923j -1.22446-0.106952j 0.918414-0.991261j 0.639878-0.126556j 0.187011+1.36487j 0.43444+0.070217j -1.76105+1.12389j -1.28904+0.658993j 0.088256+0.816068j -0.689546-0.419706j -0.225316+0.699273j 0.409821-1.88754j -0.482501-1.06805j -0.690785+1.82308j 0.203422-0.783394j -0.102938-1.53651j -0.306255-0.140637j -0.0386132+0.644271j 1.03518-0.027059j 2.11624+0.81137j -1.22456-0.867295j -0.658188-0.100193j -2.18653+2.01535j -0.180662+1.0715j 0.123518+1.9001j 0.274569+0.78193j -0.0897625-0.0816169j 0.164101-0.639122j 0.268647+0.305457j 
0.0762962-0.31214j -0.0129388+0.133245j 0.440538+0.232625j 0.866154+0.145352j -0.249676-0.37612j -0.325859+0.979398j 0.139697+0.0172347j -0.263956-1.02673j -0.180598+0.0398177j 0.221104+1.2111j 0.0444757+1.30407j 0.549349-1.29121j -1.90171-0.597116j -0.846605+0.664498j 0.583704-1.40864j 0.540281+0.0451968j -0.0435809-0.325859j 0.12061+0.21892j 0.213665+0.722818j 0.123668+0.30693j -1.16253+0.531176j -0.465417-0.218779j 0.722409-0.546939j -0.60749+0.892029j -0.333601-0.509389j -0.876303-0.449204j 0.123925+0.0213264j -0.173361-1.00522j -0.651838-1.18769j 0.207617-0.171895j 1.87044-0.729867j 0.0159464+0.152892j -1.24581-1.12635j -1.5687+0.719298j 2.24407-0.0422222j -2.13253-0.36955j -0.187992-1.36096j 0.141453+0.399078j -0.0435525-0.0766477j -0.463026+0.388595j 0.0652178-0.00159349j 0.57295+0.0860738j -0.064771+0.0110259j -0.183921+0.179055j 0.377766+0.66597j 0.0435133-0.00665504j -0.292303-0.358384j 0.197213+0.676245j -0.00447452+0.111915j 0.0237266-0.125629j -0.0108766-0.0655175j -0.877589-0.230164j 0.147172-0.311273j -0.78993+0.471236j 0.130047+0.302083j -0.757289+1.10962j -0.0868885+0.0822522j 0.0428545-0.24214j 0.121909+1.03065j 0.100931-0.912666j 0.245741-0.612734j 0.00276571-0.509134j -0.237684+0.0495061j 0.279669+0.581838j 0.130916-0.453317j 0.238067+0.351401j 0.139715+0.0374807j 0.121843-0.111703j -0.22213+1.12706j 0.112561-0.176459j -0.47517+0.170207j 1.65218+0.0888553j -0.483801+0.767807j 1.34406+0.0502083j -0.855119-0.140947j -0.981209-0.0731325j 1.34846-0.0886344j 0.297751-0.17446j 1.35224+0.388111j -0.540989+0.541293j 0.0503345+0.506702j -0.487433+0.396963j -0.298085-0.728641j -1.89065+0.600373j -0.0396175-0.743183j -0.778714-0.226505j 0.141629+0.48792j -2.53272+0.435173j -0.235999+0.539561j -0.0856663-1.0242j -0.463646-1.1086j 1.73411-0.643993j 1.42416+0.207696j -1.1332-0.745562j -0.638024-0.527693j 
0.454527+0.091328j -0.279146-0.297928j -0.3865+0.447873j 0.633237+0.632959j 0.811152-0.28654j 1.03033-0.300111j 0.319366+0.721583j -0.274494-1.16539j 0.0596315+0.0137968j 1.10028+0.191873j -1.78178+0.347559j -1.443+0.572576j -0.0833161+0.92313j -0.585629-0.829878j 1.32202-1.0527j -0.0510621+0.352701j -0.290875-0.0154703j -0.62202-0.23042j 0.123295+0.484885j -0.197394+0.0495794j 0.377083+0.583101j 0.322627-0.211772j -1.00923+1.02602j -0.25799+0.786147j -0.0985506-0.286035j 0.365402+0.804708j -0.401781+0.9835j -0.92184+0.34001j 1.14412-0.711001j 2.20398-0.177486j 1.17417-0.602609j -0.138502+1.61499j 0.161439-1.07442j 0.45171+1.21404j -0.684633+0.797695j 0.0757447+0.769188j -0.129816-0.170236j -0.265055-0.425014j 0.385234+0.202587j 0.0562913+0.00912352j 0.0862717-0.131758j 0.283779-0.966771j -0.0806462+0.07267j -0.139666+0.391428j 0.230006-0.438741j -0.193343+0.156254j -0.0150899-0.0335068j -0.0867495-0.242057j 0.543145-0.0693979j -0.32301+0.201569j 0.304299+0.0208905j 0.916956+0.957404j 0.00990795+0.614964j -0.0617557-0.260938j 0.000725304+0.243353j -0.508275-0.639216j 0.0662723-0.185934j -0.396985-0.187123j 0.922514-0.457859j 0.330132+0.203429j -0.526887-0.223159j -0.18557+0.104555j -0.442606+0.743988j -1.14148-0.437854j -0.802578-0.723189j -1.09827+0.265593j 0.803058-0.894504j -0.799517-0.747362j -1.52367+0.797318j 1.28482+0.534573j -0.379414-0.66667j -0.600123+0.114531j -1.32351-0.226666j 0.700379-0.961922j 0.0339449-0.142272j -0.315746+0.209567j -0.130867-0.223434j 0.108279-0.581755j 0.671121-1.03106j -0.0867727-1.31169j 0.124166+0.499588j 0.433566-0.384346j 0.308131+1.38113j -0.44606-0.371186j 0.111696+0.747878j 0.633574+0.926905j 2.01192-0.107586j -0.296676-0.603677j -0.210665-1.50009j -2.80852-0.131543j -0.82117+0.488257j -0.616535+0.81058j -0.235598+0.0297915j 0.0448509+0.508668j -0.260562+0.455718j 
-0.550564+0.243574j 0.511954-0.186781j -0.560276-0.319651j -0.989884-0.923949j -0.806453-0.0669378j -0.194598-0.131792j 0.777718+0.934387j -0.269262+0.80876j -1.0802-0.815926j -0.663231+0.951211j 0.263669+2.37373j 0.699172+0.850181j -0.433013-0.280703j 0.529364-2.0077j -0.431327+0.860344j -0.371435+0.258897j -0.248259-0.00680557j -0.368574-0.409655j -0.346412-0.267429j 0.402778-0.181162j -0.0191619+0.0577876j 0.161767+0.00911896j -0.232698+0.247949j -0.651094-0.375946j -0.138198-0.214065j 0.376371+0.666545j -0.110252+0.599603j -0.151055+0.818378j -0.118417-1.26186j -0.678545-0.0720718j 0.85553-0.518993j -0.0748815+0.405391j -0.473914+0.178939j 0.771646-0.00987837j -0.336213+0.185974j 0.629146-0.456586j 0.755146-0.281729j -0.707379+0.111273j -0.648053-0.461244j -0.383224-0.0895204j 0.0736622+0.474209j 0.0666638-0.447956j -0.107113-0.0297773j -0.451893-0.34945j -0.084528+0.370915j 0.114922-0.273033j 0.514547+0.664113j -0.0158633-0.182752j 0.241704-0.151362j 0.657466-0.181551j -0.0852891+0.481299j 1.20632+0.956431j 0.462675+0.768498j 1.06772+0.820178j 0.73815+0.220817j -0.532728+1.0345j 0.352002+1.0024j 0.474747+0.794462j 0.496772-0.177842j 0.134395-0.769388j 1.89666+0.634577j -0.908473+0.140078j 1.07097-0.294877j 0.510599+0.208697j -0.172056-0.504096j 0.941738-0.212132j 0.653458+2.32878j 0.15204+0.537508j -0.784316-0.902785j -1.48515-0.465815j -0.550139+0.5215j 0.215598+0.201689j -0.951157+0.0733901j 1.41896-0.61654j 0.62666+0.228071j -0.245325-0.650827j 0.0549821+0.768772j -0.251356+1.27676j -0.381451-0.311323j 0.600418+0.629639j -0.914679-0.514696j 1.51538+0.516235j 1.00548+0.272679j -0.350366-0.0920359j -0.788164+1.37341j 0.388602+1.68187j 0.402005+1.88244j -0.333914-0.588449j 0.262183+0.424238j 0.870391+1.26775j -0.997863+1.65622j 0.0702894-0.47397j 0.825099+0.917969j -0.30798-0.7736j -0.035895+0.262311j 
0.152499+0.109714j 0.151594-0.314168j 0.0751086+0.0178288j 0.592617+0.213924j 0.546873+0.463647j 0.198702+0.151103j 0.445597-0.222954j 0.884225+0.700846j -1.38545-2.06992j 1.90295+0.326469j -0.152984-1.10681j -0.239405+0.852533j -1.32276-0.672053j 0.400912-1.19936j 0.704438-0.0621608j -0.0019945+0.127363j -0.190768+0.110993j -0.15654-0.0557077j 0.301224+0.0636563j -0.360183-0.21086j 0.302915+0.223265j 0.122007-0.0340603j -0.343578+0.0681953j -0.700364+0.00360298j -0.686817-0.658839j 0.332363-0.0157659j 0.756712-0.0717502j -0.159421+0.313777j 0.750051+0.0236821j 0.551283+0.0307402j 0.481774-0.540813j -2.12706-0.113036j -0.539655+0.524606j 0.379011+0.0706745j 0.173335+0.0236739j 0.286824+0.183976j 0.00358726-0.162161j -0.0144622+0.0595949j -0.0368871+0.217758j 0.120187-0.211306j -0.338721-0.0356963j 0.0279464+0.0350817j 0.377166-0.0764579j -0.106786+0.120171j 0.325015-0.358411j 0.304304-0.406467j -0.511314-0.423759j -0.250528+0.169127j -0.0624489+0.260757j 0.102688+0.0311503j -0.611569-0.506673j 0.052058-0.348356j -0.118633+0.0379092j -0.167856-0.613869j 0.35963-0.369052j -0.0922178+0.235033j 0.346372+0.319941j 0.0803847+0.936688j 0.304754-0.0200605j 0.0617329+1.33378j 0.717511+0.134307j -0.0682469-0.251116j 1.05316+0.321972j 0.908133-0.0147875j 0.0103186-0.587317j -0.90023-0.225693j -0.0163529-1.09917j 0.434832+0.388732j -0.282477+0.759403j 0.561506-0.0727178j 0.361065-0.647741j 0.126509+0.417782j -0.0287953-0.291076j -0.669034-1.06676j -1.86891-1.57047j 0.179464+0.738939j -0.128647-0.0356808j 3.21887-2.01793j -0.448121+0.869463j 2.19397-1.30227j 2.01468+0.416002j -1.33141+1.42361j -0.616412-0.75693j 0.490551-1.0568j 1.71284-2.44138j 0.381219-0.72793j -0.5232+0.731221j 0.574421+0.648071j 0.664107+0.804144j -0.223035+1.02843j 0.351864-0.49056j 0.272333+0.409094j -0.517443-0.0670388j -0.0646971+0.19362j 0.00889251-0.132985j 
-0.304961-0.351988j 0.434319+0.413812j 0.341772-0.452486j 0.382846-1.14324j -0.204173-0.551071j -0.00254833-0.328696j 0.0017491+0.295015j -0.838381+0.429426j -0.00227791-0.721034j -1.15542-0.658242j -1.51138+1.42782j -0.114413+1.07771j 0.504957+0.0137638j 1.3281-0.00196209j -1.21147-0.377206j 0.400324-0.710588j 0.22739-0.0755741j 0.655282+0.24697j 1.02887+0.098264j -0.353818+0.65808j 0.147631+0.151872j -0.227785+0.0542657j 0.563646+0.361143j 1.46974+0.382899j 0.799847-0.41463j -0.227479-0.476852j -0.163746-0.467355j -0.907391-1.39607j 1.32255+1.32513j 2.88625-1.02891j -0.710969+0.677443j 0.0813548-0.266941j 0.733283-0.556738j -1.44506+0.702174j 0.304128+0.418779j -1.47777+1.27583j -0.283246+0.273045j 0.785867+0.576542j -0.22334+0.00490453j 0.0018539+0.400793j -0.208615-0.0543586j -0.000253671+0.171384j 0.113416-0.0602074j -0.309687+0.43232j 0.478336+0.267141j -0.00638955-0.103699j -0.190289-0.297971j 0.691823+0.402998j 0.163689-0.217879j -0.135984-0.204275j -0.100609-0.129119j -0.655461-1.53703j -0.194288-0.156566j 0.00996759-1.23364j -0.245811-0.910821j 1.09694+1.51586j 0.233961-0.532471j 0.209333+0.14608j -0.859338-0.512005j 1.23777+0.801371j -0.350985-0.547257j 0.15295+0.442316j 0.502564+0.122064j -0.856504-0.742637j 0.15896-0.282128j -0.835432-0.909929j 0.643543+1.4949j 0.224962-0.411373j 0.436643+0.431779j 0.720324+0.638846j -0.197808+0.253832j 0.1261-0.675637j 0.157153+0.278162j 0.862873-0.471335j 0.819607-0.36451j -0.181372+0.366264j -0.171679-0.355319j 0.64335-0.308576j 0.0876528+0.052932j -0.215923-0.586337j -0.852541-0.241813j -0.307192-1.64579j 1.1683-0.0993476j -0.409449+0.326279j 0.791005-0.450864j 0.590101-1.3607j 0.392067+1.2468j -0.131987+0.409552j -0.515693-0.500845j 0.389952-1.74204j 0.671578+0.389357j 0.550915-0.779309j 0.0538-1.23745j -0.00767684+0.363846j 0.60071-0.349392j 
0.399542+0.357754j 0.417631-0.969163j 0.894997-0.187225j 0.0112826+0.670876j 0.511849+1.56904j 0.964082+0.0398203j 0.907493-1.32212j 0.652498-0.889269j 0.917399+0.699798j -0.954707-0.479077j -1.20532+1.99956j 0.533166-0.732607j 0.935517+1.85362j -0.583868+0.672092j 0.512264+0.713138j 0.124263+0.250762j -0.349023+0.472017j -0.0266403-0.194199j 0.0908641+0.314842j -0.687015-0.873342j 0.779679-0.129319j 0.144059-0.00409878j -0.492957-0.115101j -0.760543+0.169588j -0.14653-0.638646j -0.988265+0.715041j 0.461592-0.165902j 0.751194+0.182808j 0.327038-0.550331j 0.396185+0.163007j -1.20593-0.292974j -0.429484-0.476809j -1.43318+0.676458j 0.510318-0.752458j -0.545732+1.1205j -0.293123+0.0988132j 0.137959-0.205403j 0.0404157+0.412145j -0.281066+0.639534j 0.387403-0.461239j -0.788119-0.184593j -0.0769279+0.342733j 0.532003-0.0472147j -0.306431+0.215269j 0.683678-0.0850969j 0.549739-1.05648j -0.209207-1.43684j -0.308347+0.177974j -0.303248+0.592932j 0.0237277-0.0958647j -0.791729-0.652601j -0.0558019-1.75111j 0.40696+0.192915j -0.161574-1.52762j 0.391194-0.171621j -0.00252556-0.532177j 0.839259-0.058958j -0.596052+1.28313j -0.912661-0.200416j -0.424463+2.20776j 0.269337-0.0274355j -0.533248+1.22638j 1.07633+1.52484j 0.754572-0.540498j -0.865601-0.289431j -0.951256-0.444227j -1.21573-2.42367j 1.19063-1.85454j 0.645579+1.84246j 1.30419-1.83609j 0.541719-0.709861j 0.0453841-0.541034j -1.01029+0.917053j 0.624331+0.245784j 1.06258+0.171629j 0.0234992+0.918052j 0.220364+0.418519j -1.1962+0.982981j 1.09085+0.827289j -2.00965-0.615225j -1.37685-0.425586j -0.637134-2.09425j -0.350813+0.540109j -0.189495-0.0496977j -1.41147-0.0570058j 1.16294-1.66725j -0.297471+0.400318j 0.086189+0.796585j 0.126126+1.13306j 0.386928+0.636335j 1.33345+0.134466j 0.0318792+1.04455j -0.798239-0.852215j -0.241742+0.455069j 0.29931-0.448495j 
-0.0297433-0.0867147j -0.221353+0.0834283j -0.260305-0.011519j -0.013836-0.533834j 0.151012-0.535643j 0.12592+0.0301624j -0.410029+0.0188285j 0.559807-0.705232j -1.47171+1.16446j -0.0115902-1.32387j -0.960098-0.575493j 0.562677-0.147416j -0.786471+0.872072j -0.819261-0.350975j -0.120429-0.434199j 0.0632172+0.00184366j -0.0059943+0.167722j 0.069489+0.0575126j 0.389598-0.336198j -0.266619+0.0826088j 0.128994+0.0362828j -0.00595036-0.00236191j 0.136065-0.063076j -0.873916-0.0244048j -1.12478-0.522974j 0.746019-0.653812j 0.966064-0.849027j -0.298443+0.44352j 0.727989+0.800033j -0.0430219+0.210804j 1.06631-0.469677j -4.52362-0.261682j -1.48615+1.67032j 0.420166-0.0404595j 0.840746+0.312778j 0.176386+0.280583j 0.0929252-0.00386908j -0.120443+0.031866j 0.0505873-0.125069j 0.222492+0.121826j 0.153335+0.0389325j -0.282314-0.184876j -0.0731802+0.025122j 0.347897-0.0186968j 0.252325+0.391554j -0.0384627+0.310742j 0.0797878+0.155833j -0.179787-0.240111j -0.172641-0.746437j -0.0197588-0.0326794j 0.0983801-0.0206014j 0.213087+0.0174154j -0.0952916-0.387775j 0.275855+0.189793j -0.0745567+0.769372j -0.590811-0.33222j -0.15863-0.057103j 0.00743098-0.391492j -0.169992+0.424636j -1.01188-1.37196j 0.0216999+0.0805864j 0.237249-0.403642j 0.351317+0.236614j -0.152414+0.129321j 0.160777+0.980745j -0.0179387-0.276746j 0.299401+0.694876j -0.285125+0.675809j 0.100573-0.739204j -0.313866+0.22271j -0.401514+0.770074j -0.430815-0.206048j 0.750683-0.125535j 1.82812+0.645988j 3.23936+0.550131j -0.161244+0.249688j -0.131455-0.133314j 3.10405+0.620297j -1.17342-0.0719944j -0.992735+1.12604j -1.59971-0.144324j -0.771307+0.327272j 1.77405-0.396181j -0.181871+0.80668j 1.9026+0.155399j -0.177134+0.323323j 1.17073-1.05381j -0.244568+0.342113j -0.702501-0.141j -0.282509+0.55615j 0.157509+0.303365j 0.130585-0.323078j 0.0772568-0.0572842j 0.193222-0.0384504j 0.0694172-0.00391397j 
0.249739-0.158137j -0.7341-0.378511j -1.25132+0.365465j -0.020157+1.16585j -0.733027+0.564813j -0.734432+0.623166j -0.736261-0.163582j -2.52663+0.438556j -1.01768-0.614845j -0.54643-0.832062j 0.000445483+0.978329j -2.47793-0.479469j -0.19776-1.64288j -0.454765+1.06187j 0.947351+0.080126j 0.0924281-0.141493j 0.405258+0.150888j -0.416851+0.511259j 0.193351+0.602371j 0.231723+0.145123j -0.72257-0.0801227j 0.473032+0.0633934j -0.4268+0.166172j 0.321009-0.0556893j -0.296896-0.141414j -0.714973+1.02257j -0.00445102-0.233155j 0.134555+0.22192j 0.225641-0.20701j -0.0928454+0.0665976j -0.45098+0.893859j 0.24612+0.362959j -0.239712+0.248749j 0.382902+0.537345j -0.431659-1.22067j -1.08037+0.513076j -0.526433-0.307734j 0.231553-0.208496j 0.449162+0.090588j -0.224021+0.328938j 0.740257-0.00207494j -0.261765+0.104162j 0.393278+0.370102j 0.870144+0.187468j 0.542899-0.173902j 0.127656+1.38216j -0.276777-0.970862j -0.0451165-0.142353j 0.593928-0.551795j 0.379792-0.0146678j 1.73262+0.505286j 0.47497+0.784325j -0.806629+0.457904j -0.717288+0.836348j 0.203364+0.12905j 0.631469-0.0489944j -1.08657-0.812668j 0.346857+0.829485j -0.210352+0.197894j 0.0523422+0.291028j -0.231157-1.9351j -0.104623+0.723025j 1.188+0.143745j -0.108173+0.217667j 0.0351073-0.378688j 0.938601-1.98592j -0.0222222+0.675283j 1.04853+0.370548j -0.459594-0.0798115j -0.920231-1.08068j -0.483133+0.293249j 0.847348-0.856158j -0.128433-0.724716j 0.281438+0.164885j -0.573922-0.0110926j 0.0557584-1.32346j 0.54698+2.00938j 0.531388-0.341344j -0.975755+0.619881j -0.226339+0.0768835j -0.454092+0.375322j 0.195441+0.161032j -0.475502+1.11639j -0.688431+0.588415j 0.281965+0.044006j -0.707698-1.44374j -1.12172+0.304034j 0.548055-1.27739j -0.561546-0.258963j 0.0765252+1.9047j -1.26181-0.0679667j -2.05992-0.746275j 1.07068-0.708405j -0.224253+0.897185j -0.644864+0.189512j 
-0.0706263+0.291192j 0.737082-0.0504867j 0.601273+0.527954j -0.556488+0.419373j -1.20254+0.745971j 0.0529473+0.745699j 1.14102+0.33621j 0.69546+0.136305j 0.404892+0.357282j 0.462358-0.758884j -2.23925-0.27231j 0.398369+0.154627j -0.849109+1.33863j -0.953225+0.213807j -0.511233+0.570448j -0.443441+0.00201371j 0.0258316-0.672972j -0.212269-0.0613881j -0.862698-0.187675j 1.16095+0.698811j -0.372967+0.504321j -0.0445306-0.00267643j -0.219813-0.00127433j 0.451357-0.097662j 0.0486711+1.65945j 0.556035-1.62674j -0.044996+0.560441j -0.400063+0.485078j -0.121451+0.77044j -0.832145+0.341285j 2.20537+0.309074j -0.426133+0.526389j 2.51656-0.476549j -0.697907+0.86341j 0.913926-1.39658j 1.27777-0.184479j -0.235664-0.148367j 0.358219-0.457423j -0.0342096+0.192544j -0.50014-0.326372j -0.203803-0.0112978j 0.503517+0.190098j -0.0579591-0.0382065j -0.689468+0.422739j 0.143477-1.29876j -0.022498-0.369901j -0.114952+0.0381303j 0.195929+0.16053j 0.322445+0.636167j 0.0806258+0.308604j -0.00784671-0.00702415j -0.238014+0.21111j 0.458353+0.765151j -0.865633+0.205538j 0.917956-1.04864j 0.0768569-0.319293j 0.124056+0.33731j 0.643009-0.110379j -0.683148+0.96549j 0.130226+1.81162j 0.0700827+0.330524j 0.162639-0.246084j 0.0930235-0.796339j 0.35725+0.603875j -2.10486+0.102442j 0.378461+0.981943j -1.26842-0.275229j -0.972469-0.147701j 0.688495+0.733833j -0.631387+0.189512j 0.585311-1.27802j 0.0889466-0.79589j 0.0104791+0.122252j 0.832838-0.377837j 1.2652+0.988258j 0.563578-0.363264j 0.408465-0.342431j 1.03194+0.643854j -0.0709809-0.851406j -0.525775+0.512525j -1.78699-0.255794j -0.464756+0.402596j -0.767212-0.241688j 0.38805-0.444638j 0.983245+0.974698j -0.690079-0.0323715j -0.435721+1.28756j 0.372936-0.366257j 0.453873+0.472832j 0.457643-0.820233j -0.0701216-1.01753j -0.56418+0.416326j -0.658198+0.731693j -0.154354-0.222168j -0.561694+0.0303999j 
0.0878498-0.185857j -0.266035+0.692565j 0.413113-0.31318j 0.475107-0.220816j -0.625658+1.04145j -1.30174-1.79091j -1.8983+1.91543j 0.312899-0.87489j 0.0309693-0.348805j 1.08472-0.705694j -0.36205+0.714558j -0.146469-0.567856j -1.24725-0.375714j 0.744168+0.176665j 0.196208-0.131403j -0.0159012-0.152898j 0.134088-0.387748j 0.336824-0.32647j 0.332261-0.383865j 0.240342-0.266304j -0.584874-0.269434j 0.506381-0.252278j -0.125353+1.16845j 0.419304+0.230741j 0.324349-1.14641j 0.00361621-1.28714j -0.873076-0.64513j 0.290409-0.378436j -0.0533318+0.671546j -0.295082+0.30408j -0.748339-0.88473j 0.0923755-0.162426j -0.999073+0.767512j -0.389689+0.390616j -0.0142018-0.707762j 0.732525+0.429625j 0.024345-0.094696j -0.0312771-0.502916j 0.436886-0.428099j 0.0903066+0.227762j 0.333278+0.0163175j -0.0693401-0.198841j -0.0653667+0.207603j 0.200281-0.943922j -0.119998-0.392715j 0.606095-0.10957j -0.401797+0.43205j -0.606224+0.132709j 0.326278-0.465327j 1.23723+0.636481j 0.181291+0.402654j -0.138058+0.775542j 0.823841-1.41012j -0.476275+0.393377j 0.951649+0.919883j 0.237824-0.158332j -1.76751-0.943502j -0.491918+2.12292j 0.620139+0.87723j 0.199167-1.63779j 0.208731-0.204895j -0.183432-1.34322j -0.568502-0.887349j -0.811823+1.31249j -0.192083-1.02709j -0.943651-0.610607j 0.248915+0.487178j 2.61016+0.175337j 0.582693-0.585969j 0.178428+1.90686j -0.616699-0.318946j -0.123677+0.0433478j -0.803038+0.985892j 0.126219+0.312885j 0.539689-0.494234j 1.56102-0.469652j 0.588268-0.558676j 0.277085+1.2457j -1.6648-2.08726j 0.171991+0.376j -1.16422-0.492844j 0.972245+1.74977j -1.20528-0.693711j 0.800294+0.276447j -0.766099+0.98947j 0.821683-0.546131j -0.403654+0.610851j -0.694474+1.42487j 0.158478+0.400903j 0.268549+1.57422j -0.546324-0.186926j 0.0340371-0.168845j -0.262985+0.576122j 0.4685-0.0417409j -0.467337+0.117058j 
0.23737+0.00168289j -0.0131364-0.911972j -1.01403-0.786444j -0.797628+0.501301j -0.375304-0.523628j -0.856532-0.210309j 0.161839-0.714323j -0.870317-1.63218j 0.35014-0.806019j 0.279794-0.70922j -0.666794+0.113612j -0.234852-2.02973j 1.37368-1.00606j -1.45196-0.219486j 0.33823+0.751069j -0.0876927+0.298845j -0.527793+0.450249j 0.0352562-1.07334j -0.894216-0.52552j -0.592293-0.346132j 1.07138-0.714331j -1.01687+0.131216j 0.824245+0.114571j 0.229764+0.176066j 0.602737-0.100391j 0.731697-1.5622j 0.159761+0.411032j -0.249935-0.508175j -0.34091+0.203788j 0.15586-0.497807j 0.829579-1.51395j -0.539772-0.590987j 0.437089-0.231258j -0.581557-0.627812j 0.262988+2.41425j 1.39834+0.113051j 0.37015+0.337867j -0.379599-0.195629j 0.110599-0.00347677j 0.880528+0.126319j 0.109759+0.078726j 0.177536+0.164267j 0.131102+0.0571359j 0.260791-1.61472j -0.458307-0.706904j -0.0754747+0.22021j -0.196471-0.231367j 0.239675-0.170539j -1.35716-0.993961j -0.204529-0.231679j 0.0730696-0.134408j 1.24966-0.32479j -0.0713507-0.629484j 0.346606+1.05352j 0.11415-0.16356j 1.08731-1.37848j -0.0141531+0.391326j 0.229508-0.60815j -0.648799+0.925251j 0.692247+0.218707j -0.53535+0.385277j 0.270924+0.0259925j 1.15545-0.546023j -1.39405+0.23106j -0.0740166-0.749212j -0.875742-0.328652j 0.0114627+1.37241j -0.179132-0.208302j -0.367457+0.646471j -0.201669+0.460033j -0.735483+0.648222j 1.08224-1.7963j -0.243518+0.332011j 0.455089-0.171313j -1.15961-0.132642j -1.01514+0.272392j 1.03887-0.788825j -0.220225-0.378645j 0.667264+0.554444j -0.446898+0.245929j 0.107015+0.511437j -0.186808+0.486052j 0.096709+0.937908j -0.949781+0.47059j 0.144021-0.572518j -0.50448+0.604855j -0.890617+1.01493j -1.11798-0.272326j -0.367135-1.55211j 1.0906+0.108652j 1.13139+1.11921j -0.715968+0.40203j -0.453181-0.258907j 0.693345+0.426866j 0.198116+0.196649j 
