-0.0728251-0j -0.0105114-0j -0.0600399-0j -0.0106137-0j -0.000884471-0j 0.0353345-0j -0.0371245-0j 0.00588908-0j 0.00360631-0j -0.00618741-0j -0.003789-0j 0.000736135-0j -0.000773426-0j 4.33772e-05-0j -4.55746e-05-0j -0.0268169-0j 0.0319116-0j -0.0193575-0j -0.00432757-0j -0.00353344-0j 0.00514971-0j -0.000510008-0j -0.0031238-0j 0.00420472-0j -0.00044168-0j 0.000606899-0j -0.00255057-0j -5.20525e-05-0j 0.00052559-0j -2.37586e-06-0j -0.000368144-0j 6.19413e-05-0j -0.000318822-0j -3.75735e-05-0j 2.82722e-06-0j -1.71499e-06-0j 
-0.5097-0j 0.000773426-0j -0.00424285-0j 0.071344-0j -6.2503e-05-0j -0.0025999-0j -0.00272947-0j -0.000433317-0j 0.0507462-0j -0.000454912-0j 0.0532751-0j 0.00515218-0j 0.00540894-0j -3.19168e-06-0j -3.35074e-06-0j 0.00197318-0j 0.0022551-0j 0.00125852-0j 0.000318421-0j -0.0247304-0j 0.000363915-0j 3.75263e-05-0j 0.000203093-0j -0.0282637-0j -0.0062151-0j 4.28878e-05-0j -0.0157734-0j -0.000364314-0j -0.00710307-0j 1.74815e-07-0j 2.39348e-05-0j -0.000416364-0j -0.00396407-0j -0.000232364-0j 1.99792e-07-0j 1.115e-07-0j 
-0.000773426-0j -0.493723-0j 0.000612402-0j -0.0102911-0j 0.12228-0j 0.000375264-0j 0.000393965-0j -0.00594545-0j 3.83002e-05-0j -0.00624174-0j 4.02089e-05-0j 0.0345764-0j 0.0362996-0j 0.0125763-0j 0.0132031-0j -0.000284805-0j -0.000325495-0j -0.000181652-0j 0.00436899-0j -3.75263e-05-0j 0.0049932-0j -0.0239552-0j 0.0027866-0j -4.28878e-05-0j 0.000445908-0j -0.0273778-0j -2.39348e-05-0j -0.00749296-0j 0.000509616-0j -0.00115208-0j -0.0152789-0j -0.0085635-0j 0.000284406-0j -0.00477911-0j -0.00131668-0j -0.00073481-0j 
0.210241-0j -0.000319022-0j 0.00532239-0j -0.0894966-0j 7.84062e-05-0j -0.00111517-0j -0.00528214-0j -0.000185862-0j 0.0217665-0j -0.000880357-0j 0.103099-0j 0.00220992-0j 0.0104675-0j -1.36901e-06-0j -6.48444e-06-0j -0.000813897-0j 0.0029417-0j -0.000718863-0j -0.000131342-0j 0.0102008-0j 0.000474715-0j -1.54788e-05-0j -0.000116006-0j -0.0368691-0j 0.0025636-0j 5.59457e-05-0j 0.0090097-0j 0.000150272-0j -0.00926573-0j -7.21077e-08-0j -1.36714e-05-0j -0.000543133-0j 0.00226426-0j 0.000132725-0j 2.60622e-07-0j -6.36881e-08-0j 
0.000319022-0j 0.20365-0j -0.000768221-0j 0.0129095-0j -0.153392-0j 0.000160962-0j 0.000762411-0j -0.00255018-0j 1.64281e-05-0j -0.0120792-0j 7.78133e-05-0j 0.0148308-0j 0.0702478-0j 0.00539436-0j 0.0255509-0j 0.000117476-0j -0.000424598-0j 0.000103759-0j -0.00180212-0j 1.54788e-05-0j 0.00651346-0j 0.00988102-0j -0.00159169-0j -5.59457e-05-0j -0.000183928-0j -0.0357134-0j 1.36714e-05-0j 0.00309069-0j 0.000664778-0j 0.000475208-0j 0.00872728-0j -0.0111708-0j -0.000162452-0j 0.00272981-0j -0.00171756-0j 0.000419721-0j 
0.00383099-0j 0.000552956-0j -0.452512-0j 0.000558335-0j 4.65279e-05-0j 0.00193292-0j 0.00195295-0j -0.0461553-0j 0.000197277-0j -0.0466336-0j 0.000199322-0j 4.02691e-05-0j 4.06864e-05-0j 2.37288e-06-0j 2.39747e-06-0j 0.00141072-0j 0.00174567-0j 0.00101831-0j 0.000227653-0j -0.0266311-0j 0.000281706-0j -0.00384386-0j 0.000164329-0j -0.0329543-0j 2.32348e-05-0j -0.00475654-0j -0.0192233-0j 2.73824e-06-0j 2.87515e-05-0j 1.24983e-07-0j -0.00277465-0j 3.3884e-06-0j 1.67717e-05-0j 1.97657e-06-0j 1.54659e-07-0j 9.02176e-08-0j 
0.0644186-0j 0.00929212-0j -0.000558335-0j -0.441542-0j 0.00117693-0j -0.000341694-0j -0.000345235-0j 0.00267832-0j 0.00666936-0j 0.00270608-0j 0.00673848-0j -0.0643682-0j -0.0650352-0j 8.01693e-05-0j 8.10001e-05-0j -0.000249382-0j -0.000308594-0j -0.000180013-0j 0.00189267-0j 0.00312556-0j 0.00234206-0j 0.00045085-0j 0.0013662-0j 0.00386769-0j -0.0369421-0j 0.000557898-0j 0.00225615-0j -0.00658844-0j -0.0457135-0j 5.28382e-06-0j 0.000325441-0j -0.00815278-0j -0.0266662-0j -0.00475579-0j 6.5384e-06-0j 3.81406e-06-0j 
5.64358e-05-0j 0.11041-0j 4.65279e-05-0j -0.00117693-0j -0.427505-0j 2.84745e-05-0j 2.87696e-05-0j -0.000679073-0j 2.90617e-06-0j -0.00068611-0j 2.93629e-06-0j 0.00804062-0j 0.00812394-0j -0.0900721-0j -0.0910055-0j 2.07818e-05-0j 2.57162e-05-0j 1.50011e-05-0j -0.000479875-0j 2.73824e-06-0j -0.000593815-0j 0.00535704-0j -0.000346392-0j 3.3884e-06-0j -4.89771e-05-0j 0.006629-0j 1.97657e-06-0j -0.0251593-0j -6.0606e-05-0j -0.0119867-0j 0.00386692-0j -0.0311331-0j -3.53535e-05-0j -0.018161-0j -0.0148328-0j -0.00865245-0j 
-0.00432757-0j -0.00062463-0j 0.0101173-0j -1.24832e-05-0j -1.04027e-06-0j -0.00218346-0j 0.00211876-0j 0.052138-0j -0.000222848-0j -0.050593-0j 0.000216245-0j -4.54888e-05-0j 4.41408e-05-0j -2.68045e-06-0j 2.60102e-06-0j -0.00159357-0j -3.90297e-05-0j 0.0022323-0j -0.000257162-0j 0.030083-0j -6.29839e-06-0j 0.0043421-0j 0.000360236-0j 0.000736791-0j -2.62464e-05-0j 0.000106347-0j -0.0421407-0j -3.09317e-06-0j -6.42826e-07-0j -1.41183e-07-0j -0.00608249-0j -7.57578e-08-0j 3.67664e-05-0j 4.33297e-06-0j -3.45786e-09-0j 1.97772e-07-0j 
-0.00353344-0j -0.000510008-0j 0.417366-0j -0.00051497-0j -4.29142e-05-0j 0.00171441-0j -0.00180126-0j -0.0409378-0j 0.000174977-0j 0.0430117-0j -0.000183841-0j 3.57169e-05-0j -3.75263e-05-0j 2.10464e-06-0j -2.21126e-06-0j 0.00252985-0j 0.00154834-0j -0.000939217-0j 0.000408252-0j -0.0477577-0j 0.000249862-0j -0.00689322-0j -0.000151566-0j -0.029229-0j 4.1667e-05-0j -0.00421884-0j 0.0177303-0j 4.91051e-06-0j 2.55014e-05-0j 2.24133e-07-0j 0.00255914-0j 3.00537e-06-0j -1.54691e-05-0j -1.82305e-06-0j 1.37176e-07-0j -8.32105e-08-0j 
-0.0727685-0j -0.0104966-0j 1.24832e-05-0j 0.00987198-0j -2.63137e-05-0j 0.000385985-0j -0.000374547-0j -0.00302549-0j -0.00753384-0j 0.00293584-0j 0.0073106-0j 0.0727116-0j -0.070557-0j -9.05608e-05-0j 8.78773e-05-0j 0.000281706-0j 6.89954e-06-0j -0.000394619-0j -0.002138-0j -0.0035307-0j -5.23638e-05-0j -0.000509289-0j 0.00299494-0j -8.64736e-05-0j 0.0417305-0j -1.24735e-05-0j 0.00494586-0j 0.00744244-0j 0.00102206-0j -5.96871e-06-0j 0.00071342-0j 0.00018228-0j -0.0584568-0j -0.0104255-0j -1.46185e-07-0j 8.36106e-06-0j 
0.00357006-0j 0.000515294-0j 0.404999-0j -0.00049971-0j -4.16425e-05-0j 0.00180126-0j -0.0018185-0j -0.0430117-0j 0.000183841-0j 0.0434233-0j -0.0001856-0j 3.75263e-05-0j -3.78855e-05-0j 2.21126e-06-0j -2.23242e-06-0j -0.00255606-0j -0.00156238-0j 0.000838488-0j -0.000412483-0j 0.0482526-0j -0.000252127-0j 0.00696466-0j 0.00013531-0j 0.0294941-0j -4.20988e-05-0j 0.0042571-0j -0.0158287-0j -4.9614e-06-0j -2.57326e-05-0j -2.26456e-07-0j -0.00228468-0j -3.03262e-06-0j 1.38101e-05-0j 1.62753e-06-0j -1.3842e-07-0j 7.42863e-08-0j 
-6.37511e-05-0j -0.124721-0j -1.04027e-06-0j 2.63137e-05-0j 0.00955814-0j -3.21654e-05-0j 3.12123e-05-0j 0.000767094-0j -3.28287e-06-0j -0.000744363-0j 3.18559e-06-0j -0.00908284-0j 0.0088137-0j 0.101747-0j -0.0987322-0j -2.34755e-05-0j -5.74961e-07-0j 3.28849e-05-0j 0.000542077-0j -3.09317e-06-0j 1.32765e-05-0j -0.00605142-0j -0.000759349-0j -7.57578e-08-0j 5.53255e-05-0j -0.000148211-0j 4.33297e-06-0j 0.0284205-0j 1.35503e-06-0j 0.0135404-0j 0.00847693-0j 0.000696073-0j -7.75008e-05-0j -0.0398119-0j 0.000331631-0j -0.0189676-0j 
-0.0594153-0j -0.00857041-0j 0.00051497-0j 0.407248-0j -0.00108552-0j -0.000303068-0j 0.000318421-0j 0.00237556-0j 0.00591544-0j -0.0024959-0j -0.0062151-0j -0.0570918-0j 0.059984-0j 7.11067e-05-0j -7.47089e-05-0j -0.000447218-0j -0.00027371-0j 0.000166032-0j 0.00339414-0j 0.00560509-0j 0.00207731-0j 0.000808512-0j -0.00126009-0j 0.00343047-0j -0.0662485-0j 0.000494832-0j -0.00208092-0j -0.0118151-0j -0.0405459-0j 9.47551e-06-0j -0.000300164-0j -0.00723117-0j 0.0245951-0j 0.00438641-0j 5.79928e-06-0j -3.51783e-06-0j 
0.00309176-0j 0.000446257-0j -0.00722812-0j 8.91846e-06-0j 7.43205e-07-0j -0.00456016-0j -0.00151371-0j 0.10889-0j -0.00046542-0j 0.0361454-0j -0.000154493-0j -9.50034e-05-0j -3.15357e-05-0j -5.59813e-06-0j -1.85826e-06-0j 0.0011385-0j -8.15136e-05-0j -0.00159483-0j 0.000183725-0j -0.0214923-0j -1.31542e-05-0j -0.00310215-0j -0.000257365-0j 0.00153879-0j 1.87514e-05-0j 0.000222105-0j 0.0301068-0j 2.20987e-06-0j -1.34254e-06-0j 1.00866e-07-0j 0.00434554-0j -1.5822e-07-0j -2.62672e-05-0j -3.09562e-06-0j -7.22174e-09-0j -1.41295e-07-0j 
0.060031-0j 0.00865923-0j 0.00049971-0j 0.39518-0j -0.00105335-0j -0.000318421-0j 0.000321469-0j 0.0024959-0j 0.0062151-0j -0.00251979-0j -0.00627459-0j -0.059984-0j 0.0605581-0j 7.47089e-05-0j -7.5424e-05-0j 0.000451852-0j 0.000276192-0j -0.000148225-0j -0.00342931-0j -0.00566318-0j -0.00209615-0j -0.000816891-0j 0.00112495-0j -0.00346158-0j 0.0669351-0j -0.000499319-0j 0.00185774-0j 0.0119375-0j 0.0409136-0j -9.57371e-06-0j 0.000267972-0j 0.00729674-0j -0.0219573-0j -0.00391598-0j -5.85187e-06-0j 3.14055e-06-0j 
-5.20525e-05-0j -0.101835-0j -4.29142e-05-0j 0.00108552-0j 0.394301-0j 2.52557e-05-0j -2.65351e-05-0j -0.000602308-0j 2.57765e-06-0j 0.00063282-0j -2.70823e-06-0j 0.00713168-0j -0.00749296-0j -0.0798901-0j 0.0839372-0j 3.72681e-05-0j 2.28091e-05-0j -1.3836e-05-0j -0.000860563-0j 4.91051e-06-0j -0.000526689-0j 0.00960682-0j 0.000319488-0j 3.00537e-06-0j -8.78309e-05-0j 0.00587964-0j -1.82305e-06-0j -0.0451184-0j -5.37549e-05-0j -0.0214958-0j -0.00356658-0j -0.0276137-0j 3.26076e-05-0j 0.0167504-0j -0.013156-0j 0.00798042-0j 
-0.00255057-0j -0.000368144-0j -0.584653-0j 0.000721378-0j 6.01148e-05-0j 0.00123753-0j -0.00114887-0j -0.0295505-0j 0.000126305-0j 0.0274334-0j -0.000117256-0j 2.57818e-05-0j -2.39348e-05-0j 1.51921e-06-0j -1.41037e-06-0j -0.000939217-0j -0.00216893-0j -0.00259112-0j -0.000151566-0j 0.0177303-0j -0.00035001-0j 0.00255914-0j -0.000418139-0j 0.0409444-0j -1.54691e-05-0j 0.00590982-0j 0.0489143-0j -1.82305e-06-0j -3.57227e-05-0j -8.32105e-08-0j 0.00706017-0j -4.20996e-06-0j -4.26762e-05-0j -5.02944e-06-0j -1.92158e-07-0j -2.29561e-07-0j 
0.0519884-0j 0.00749911-0j -8.91846e-06-0j -0.00705288-0j 1.87994e-05-0j 0.00080613-0j 0.00026759-0j -0.00631874-0j -0.0157345-0j -0.00209746-0j -0.00522295-0j 0.151858-0j 0.0504083-0j -0.000189137-0j -6.27826e-05-0j -0.000201261-0j 1.44097e-05-0j 0.000281929-0j 0.00152746-0j 0.00252245-0j -0.000109362-0j 0.000363854-0j -0.00213969-0j -0.0001806-0j -0.0298137-0j -2.60509e-05-0j -0.00353349-0j -0.00531713-0j 0.00213458-0j 4.26425e-06-0j -0.000509692-0j 0.000380692-0j 0.0417636-0j 0.00744832-0j -3.05308e-07-0j -5.97343e-06-0j 
5.25919e-05-0j 0.10289-0j -4.16425e-05-0j 0.00105335-0j 0.382617-0j 2.65351e-05-0j -2.67891e-05-0j -0.00063282-0j 2.70823e-06-0j 0.000638877-0j -2.73415e-06-0j 0.00749296-0j -0.00756468-0j -0.0839372-0j 0.0847406-0j -3.76543e-05-0j -2.3016e-05-0j 1.23521e-05-0j 0.000869481-0j -4.9614e-06-0j 0.000531465-0j -0.00970638-0j -0.000285224-0j -3.03262e-06-0j 8.87411e-05-0j -0.00593296-0j 1.62753e-06-0j 0.045586-0j 5.42424e-05-0j 0.0217186-0j 0.00318407-0j 0.0278641-0j -2.91105e-05-0j -0.014954-0j 0.0132753-0j -0.00712454-0j 
0.000814921-0j 0.000117624-0j 0.375504-0j -0.000463318-0j -3.86098e-05-0j 0.000411166-0j 0.00432628-0j -0.00981807-0j 4.19644e-05-0j -0.103306-0j 0.000441549-0j 8.56595e-06-0j 9.01308e-05-0j 5.04754e-07-0j 5.31101e-06-0j 0.000300084-0j -0.00144859-0j -0.00272111-0j 4.84259e-05-0j -0.0056649-0j -0.000233766-0j -0.000817658-0j -0.000439117-0j 0.0273461-0j 4.94245e-06-0j 0.00394707-0j 0.0513683-0j 5.82473e-07-0j -2.38586e-05-0j 2.65861e-08-0j 0.00741437-0j -2.81177e-06-0j -4.48172e-05-0j -5.28176e-06-0j -1.28339e-07-0j -2.41078e-07-0j 
4.5546e-05-0j 0.0891052-0j 7.43205e-07-0j -1.87994e-05-0j -0.00682867-0j -6.71775e-05-0j -2.22991e-05-0j 0.00160208-0j -6.85628e-06-0j 0.000531799-0j -2.2759e-06-0j -0.0189695-0j -0.00629681-0j 0.212499-0j 0.0705377-0j 1.67717e-05-0j -1.20081e-06-0j -2.34941e-05-0j -0.000387278-0j 2.20987e-06-0j 2.7728e-05-0j 0.00432335-0j 0.000542505-0j -1.5822e-07-0j -3.95264e-05-0j -0.000309539-0j -3.09562e-06-0j -0.0203046-0j 2.82998e-06-0j -0.00967373-0j -0.00605621-0j 0.00145375-0j 5.53692e-05-0j 0.028443-0j 0.000692611-0j 0.0135511-0j 
-0.0428882-0j -0.00618645-0j -0.000721378-0j -0.570479-0j 0.00152061-0j -0.000218766-0j 0.000203093-0j 0.00171477-0j 0.00426999-0j -0.00159192-0j -0.00396407-0j -0.041211-0j 0.0382586-0j 5.13275e-05-0j -4.76503e-05-0j 0.000166032-0j 0.000383417-0j 0.000458049-0j -0.00126009-0j -0.00208092-0j -0.00290993-0j -0.000300164-0j -0.00347634-0j -0.00480546-0j 0.0245951-0j -0.000693168-0j -0.00574084-0j 0.00438641-0j 0.0567974-0j -3.51783e-06-0j -0.000828093-0j 0.0101295-0j 0.067853-0j 0.0121012-0j -8.12372e-06-0j -9.705e-06-0j 
0.013703-0j 0.0019766-0j 0.000463318-0j 0.3664-0j -0.000976639-0j -7.26845e-05-0j -0.000764785-0j 0.000569728-0j 0.00141869-0j 0.00599466-0j 0.0149275-0j -0.0136923-0j -0.14407-0j 1.70534e-05-0j 0.000179436-0j -5.30479e-05-0j 0.000256078-0j 0.000481028-0j 0.000402605-0j 0.000664863-0j -0.00194349-0j 9.59038e-05-0j -0.00365075-0j -0.00320949-0j -0.00785825-0j -0.000462955-0j -0.00602885-0j -0.00140148-0j 0.037934-0j 1.12396e-06-0j -0.000869638-0j 0.00676535-0j 0.0712571-0j 0.0127084-0j -5.4257e-06-0j -1.01919e-05-0j 
-3.75735e-05-0j -0.0735081-0j 6.01148e-05-0j -0.00152061-0j -0.552343-0j 1.82305e-05-0j -1.69244e-05-0j -0.000434769-0j 1.86064e-06-0j 0.000403621-0j -1.72734e-06-0j 0.00514792-0j -0.00477911-0j -0.0576677-0j 0.0535362-0j -1.3836e-05-0j -3.19514e-05-0j -3.81707e-05-0j 0.000319488-0j -1.82305e-06-0j 0.000737794-0j -0.00356658-0j 0.000881405-0j -4.20996e-06-0j 3.26076e-05-0j -0.00823629-0j -5.02944e-06-0j 0.0167504-0j 7.53007e-05-0j 0.00798042-0j -0.00983949-0j 0.0386817-0j 8.99581e-05-0j 0.0462111-0j 0.0184292-0j 0.0220164-0j 
1.20049e-05-0j 0.0234862-0j -3.86098e-05-0j 0.000976639-0j 0.354752-0j 6.05704e-06-0j 6.37321e-05-0j -0.000144451-0j 6.18194e-07-0j -0.00151991-0j 6.50463e-06-0j 0.00171038-0j 0.0179966-0j -0.0191599-0j -0.201601-0j 4.42066e-06-0j -2.13398e-05-0j -4.00857e-05-0j -0.000102078-0j 5.82473e-07-0j 0.00049276-0j 0.00113954-0j 0.000925624-0j -2.81177e-06-0j -1.04183e-05-0j -0.00550088-0j -5.28176e-06-0j -0.00535184-0j 5.02921e-05-0j -0.00254978-0j -0.0103331-0j 0.0258349-0j 9.44711e-05-0j 0.0485295-0j 0.0123085-0j 0.0231209-0j 
