-0.00366899-0j -0.000566137-0j -0.000432395-0j -6.24108e-05-0j -0.000386745-0j 0.101669-0j -6.83676e-05-0j -5.6973e-06-0j 0.0119506-0j 0.00731823-0j -3.60329e-05-0j 0.00149383-0j -5.2009e-06-0j 8.80246e-05-0j -6.36977e-06-0j -1.59244e-06-0j -7.50685e-07-0j -4.59699e-07-0j -3.42639e-08-0j -4.69178e-08-0j -2.47279e-09-0j -6.74508e-11-0j 
2.93567e-07-0j -1.08332e-05-0j 3.45973e-08-0j 0.000228005-0j 3.09447e-08-0j 2.11864e-08-0j -1.30823e-06-0j -0.0029678-0j -1.19424e-06-0j 3.05799e-09-0j 2.88311e-09-0j 2.85006e-05-0j 1.90004e-05-0j 0.0225215-0j -1.21887e-07-0j 1.27416e-10-0j -0.000391042-0j 1.67941e-06-0j -0.0755182-0j 0.00229859-0j -0.0345434-0j -0.00903092-0j 
0.00213756-0j 0.000329832-0j -0.0725732-0j -0.010475-0j 0.000225318-0j 0.000154265-0j 3.9831e-05-0j 3.31925e-06-0j 3.63606e-05-0j 2.22662e-05-0j 2.09928e-05-0j 4.54507e-06-0j 3.03005e-06-0j 2.67821e-07-0j 3.71104e-06-0j 9.27759e-07-0j 4.3735e-07-0j 2.67821e-07-0j 1.99622e-08-0j 2.73344e-08-0j 1.44065e-09-0j 3.92969e-11-0j 
-0.00215971-0j -0.00033325-0j 0.0733253-0j 0.0105836-0j -0.000227653-0j -0.000155863-0j -4.02438e-05-0j -3.35365e-06-0j -3.67374e-05-0j -2.2497e-05-0j -2.12103e-05-0j -4.59217e-06-0j -3.06145e-06-0j -2.70596e-07-0j -3.74949e-06-0j -9.37373e-07-0j -4.41882e-07-0j -2.70596e-07-0j -2.01691e-08-0j -2.76176e-08-0j -1.45558e-09-0j -3.97041e-11-0j 
-0.000337977-0j 0.00245267-0j -3.9831e-05-0j 0.000546512-0j 0.0085415-0j -2.43914e-05-0j -0.0710127-0j -0.0180048-0j 0.000270382-0j -3.5206e-06-0j -3.31925e-06-0j 6.83141e-05-0j 4.55427e-05-0j 8.09323e-06-0j 2.75957e-05-0j -1.46692e-07-0j 9.89486e-06-0j 4.02544e-06-0j 7.54832e-07-0j 8.26012e-07-0j 6.54159e-08-0j 2.38122e-09-0j 
0.00034148-0j -0.00247809-0j 4.02438e-05-0j -0.000552176-0j -0.00863002-0j 2.46442e-05-0j 0.0717486-0j 0.0181914-0j -0.000273184-0j 3.55708e-06-0j 3.35365e-06-0j -6.9022e-05-0j -4.60147e-05-0j -8.1771e-06-0j -2.78817e-05-0j 1.48212e-07-0j -9.9974e-06-0j -4.06716e-06-0j -7.62654e-07-0j -8.34572e-07-0j -6.60938e-08-0j -2.4059e-09-0j 
-0.000267195-0j -4.1229e-05-0j 0.00299527-0j -4.54507e-06-0j -2.81648e-05-0j 0.00740406-0j 0.000473594-0j -4.14906e-07-0j 0.000870305-0j -0.101922-0j 0.000249606-0j -0.010348-0j -3.78756e-07-0j 6.4104e-06-0j 8.8713e-05-0j 4.44724e-05-0j 5.20013e-06-0j 9.6202e-06-0j -2.49527e-09-0j 6.53433e-07-0j 1.71294e-08-0j -4.91211e-12-0j 
-0.00017813-0j -2.7486e-05-0j -2.09928e-05-0j -3.03005e-06-0j 0.00539906-0j -1.28554e-05-0j -3.31925e-06-0j -2.76604e-07-0j 0.00087127-0j -1.85552e-06-0j -0.0718173-0j -3.78756e-07-0j -0.0103659-0j -2.23184e-08-0j 8.89236e-05-0j -7.73132e-08-0j 1.04798e-05-0j -2.23184e-08-0j 4.78333e-07-0j -2.27786e-09-0j -1.20054e-10-0j -3.27474e-12-0j 
3.85662e-05-0j -0.000565694-0j 4.54507e-06-0j 0.00290138-0j 4.06524e-06-0j -0.00106868-0j -6.83141e-05-0j 0.000811715-0j 0.0119413-0j -7.69248e-05-0j 3.78756e-07-0j -0.0694457-0j 0.000241782-0j -0.0252592-0j -6.36479e-06-0j 1.67388e-08-0j 0.000106953-0j 2.13707e-05-0j 1.64445e-05-0j 1.34634e-05-0j 1.7839e-06-0j 9.10491e-08-0j 
0.000269963-0j 4.16563e-05-0j -0.00302631-0j 4.59217e-06-0j 2.84566e-05-0j -0.00748079-0j -0.000478502-0j 4.19206e-07-0j -0.000879324-0j 0.102978-0j -0.000252193-0j 0.0104552-0j 3.82681e-07-0j -6.47683e-06-0j -8.96323e-05-0j -4.49333e-05-0j -5.25402e-06-0j -9.71989e-06-0j 2.52113e-09-0j -6.60204e-07-0j -1.73069e-08-0j 4.96301e-12-0j 
0.000179976-0j 2.77708e-05-0j 2.12103e-05-0j 3.06145e-06-0j -0.00545501-0j 1.29886e-05-0j 3.35365e-06-0j 2.79471e-07-0j -0.000880299-0j 1.87475e-06-0j 0.0725615-0j 3.82681e-07-0j 0.0104734-0j 2.25497e-08-0j -8.98451e-05-0j 7.81144e-08-0j -1.05884e-05-0j 2.25497e-08-0j -4.8329e-07-0j 2.30147e-09-0j 1.21298e-10-0j 3.30868e-12-0j 
-3.89659e-05-0j 0.000571556-0j -4.59217e-06-0j -0.00293145-0j -4.10736e-06-0j 0.00107976-0j 6.9022e-05-0j -0.000820126-0j -0.012065-0j 7.7722e-05-0j -3.82681e-07-0j 0.0701654-0j -0.000244287-0j 0.025521-0j 6.43074e-06-0j -1.69123e-08-0j -0.000108061-0j -2.15922e-05-0j -1.66149e-05-0j -1.36029e-05-0j -1.80239e-06-0j -9.19927e-08-0j 
4.45324e-05-0j -0.000323168-0j -0.000499212-0j -7.20093e-05-0j -0.000672536-0j 3.21385e-06-0j 0.0037122-0j -9.89486e-06-0j 0.00510418-0j -8.8713e-05-0j 0.0119621-0j 0.000856197-0j 0.00172548-0j -1.06638e-06-0j -0.099626-0j -7.41207e-06-0j -0.0177678-0j 0.000152417-0j 1.42495e-05-0j 2.08141e-05-0j 8.19874e-07-0j -3.13754e-10-0j 
1.57446e-05-0j 2.42944e-06-0j -0.000533206-0j 2.67821e-07-0j 1.65963e-06-0j 1.13627e-06-0j -8.43072e-05-0j 2.44486e-08-0j 2.67821e-07-0j 0.00899728-0j -4.44338e-05-0j -9.6202e-06-0j 2.23184e-08-0j 1.97269e-09-0j 0.00149955-0j -0.143385-0j -9.25704e-07-0j -0.010185-0j 1.47035e-10-0j 1.10452e-05-0j -3.04931e-09-0j 2.89449e-13-0j 
-3.71104e-06-0j 8.19372e-05-0j -4.3735e-07-0j -0.000855622-0j 5.60447e-05-0j -2.67821e-07-0j 9.89486e-06-0j 0.00359419-0j -0.00129413-0j -3.86566e-08-0j 1.04798e-05-0j -0.000106953-0j 0.0205024-0j 0.0011981-0j -0.000132082-0j -1.61069e-09-0j -0.0678501-0j -6.30225e-06-0j -0.0323259-0j 0.000122281-0j 3.2738e-05-0j 2.51354e-06-0j 
-4.49939e-05-0j 0.000326517-0j 0.000504386-0j 7.27556e-05-0j 0.000679505-0j -3.24716e-06-0j -0.00375067-0j 9.9974e-06-0j -0.00515708-0j 8.96323e-05-0j -0.0120861-0j -0.00086507-0j -0.00174337-0j 1.07743e-06-0j 0.100658-0j 7.48889e-06-0j 0.0179519-0j -0.000153996-0j -1.43972e-05-0j -2.10298e-05-0j -8.2837e-07-0j 3.17005e-10-0j 
-3.93615e-06-0j 5.77359e-05-0j 8.8713e-05-0j -0.000296121-0j -4.14906e-07-0j -2.84067e-07-0j -0.00133339-0j -8.28453e-05-0j 6.36479e-06-0j -0.000741919-0j 7.39275e-06-0j 0.00707883-0j -2.46768e-05-0j -1.34634e-05-0j 0.0117545-0j -0.000188099-0j 0.00208756-0j -0.119656-0j -1.67836e-06-0j -0.0248642-0j 3.48191e-05-0j -9.29266e-09-0j 
-1.59077e-05-0j -2.45462e-06-0j 0.000538731-0j -2.70596e-07-0j -1.67682e-06-0j -1.14804e-06-0j 8.51809e-05-0j -2.4702e-08-0j -2.70596e-07-0j -0.00909052-0j 4.48943e-05-0j 9.71989e-06-0j -2.25497e-08-0j -1.99313e-09-0j -0.00151509-0j 0.144871-0j 9.35297e-07-0j 0.0102906-0j -1.48559e-10-0j -1.11597e-05-0j 3.08091e-09-0j -2.92448e-13-0j 
3.74949e-06-0j -8.27863e-05-0j 4.41882e-07-0j 0.000864489-0j -5.66254e-05-0j 2.70596e-07-0j -9.9974e-06-0j -0.00363144-0j 0.00130755-0j 3.90572e-08-0j -1.05884e-05-0j 0.000108061-0j -0.0207148-0j -0.00121052-0j 0.000133451-0j 1.62738e-09-0j 0.0685532-0j 6.36756e-06-0j 0.0326609-0j -0.000123548-0j -3.30773e-05-0j -2.53959e-06-0j 
3.97694e-06-0j -5.83342e-05-0j -8.96323e-05-0j 0.00029919-0j 4.19206e-07-0j 2.87011e-07-0j 0.00134721-0j 8.37038e-05-0j -6.43074e-06-0j 0.000749607-0j -7.46936e-06-0j -0.00715219-0j 2.49325e-05-0j 1.36029e-05-0j -0.0118763-0j 0.000190048-0j -0.00210919-0j 0.120896-0j 1.69575e-06-0j 0.0251218-0j -3.51799e-05-0j 9.38896e-09-0j 
3.28012e-07-0j -9.67327e-06-0j -3.67705e-06-0j 0.00015232-0j 3.45755e-08-0j 2.36722e-08-0j 0.000111116-0j -0.00131245-0j -1.06638e-06-0j -6.53433e-07-0j -3.0642e-07-0j -0.0018111-0j 1.26934e-05-0j 0.00481874-0j 2.08141e-05-0j -5.45951e-08-0j 0.0164493-0j -0.000322405-0j 0.00187561-0j -0.0940546-0j -0.0391773-0j 5.302e-05-0j 
-1.22243e-08-0j 5.41695e-07-0j -1.44065e-09-0j -1.42712e-05-0j -1.28855e-09-0j -8.82213e-10-0j 6.54159e-08-0j 0.000248464-0j 5.97163e-08-0j -1.27336e-10-0j -1.20054e-10-0j -1.7839e-06-0j -1.18927e-06-0j -0.00285351-0j 6.09477e-09-0j -5.30568e-12-0j 3.2738e-05-0j -1.05117e-07-0j 0.0199311-0j -0.000291235-0j -0.0639623-0j -0.053335-0j 
-3.31411e-07-0j 9.77351e-06-0j 3.71515e-06-0j -0.000153899-0j -3.49338e-08-0j -2.39176e-08-0j -0.000112267-0j 0.00132605-0j 1.07743e-06-0j 6.60204e-07-0j 3.09596e-07-0j 0.00182987-0j -1.28249e-05-0j -0.00486868-0j -2.10298e-05-0j 5.51609e-08-0j -0.0166198-0j 0.000325746-0j -0.00189505-0j 0.0950293-0j 0.0395833-0j -5.35695e-05-0j 
1.2351e-08-0j -5.47309e-07-0j 1.45558e-09-0j 1.44191e-05-0j 1.30191e-09-0j 8.91355e-10-0j -6.60938e-08-0j -0.000251039-0j -6.03351e-08-0j 1.28656e-10-0j 1.21298e-10-0j 1.80239e-06-0j 1.20159e-06-0j 0.00288308-0j -6.15793e-09-0j 5.36067e-12-0j -3.30773e-05-0j 1.06207e-07-0j -0.0201377-0j 0.000294253-0j 0.0646251-0j 0.0538877-0j 
