-0.0640008-0j -0.045438-0j -0.00655841-0j -0.0260693-0j -0.0263395-0j -0.00460845-0j -0.000384037-0j -0.00465621-0j -0.000388017-0j -0.0183183-0j -0.0226678-0j -0.00305306-0j -0.0132229-0j -0.00186961-0j -0.000381632-0j -0.00377796-0j -0.00231352-0j -2.24879e-05-0j -0.00220381-0j -0.000472246-0j -0.00134955-0j -2.78273e-05-0j -0.000275477-0j -1.62326e-05-0j -0.0141004-0j -0.0164505-0j -0.00227545-0j -0.0100738-0j -0.0143942-0j -0.0018579-0j -0.00593731-0j -0.00265469-0j -0.000268164-0j -0.000232237-0j -0.00162566-0j -0.00216755-0j -2.73694e-05-0j -0.00232286-0j -0.00132735-0j -0.000312858-0j -1.24924e-06-0j -0.000958129-0j -0.000191586-0j -0.000270943-0j -0.0018966-0j -0.000165918-0j -3.1931e-05-0j -0.000273751-0j -0.000782309-0j -0.000237075-0j -1.95537e-05-0j -1.45744e-06-0j -0.000112917-0j -2.79396e-05-0j -8.92498e-07-0j -9.77886e-05-0j -1.27526e-06-0j -1.15245e-05-0j -5.26019e-07-0j 
-0.350441-0j -0.00511001-0j 0.0705151-0j 0.00301769-0j -0.00304773-0j -0.0252339-0j -0.00639739-0j 0.0254851-0j 0.00646107-0j 0.00212047-0j -0.00254925-0j -0.0167172-0j 0.00140177-0j 0.000216419-0j -0.00422349-0j 0.0200976-0j -0.000260181-0j -0.000500346-0j -0.0110512-0j 0.00507752-0j 0.000143068-0j 0.000601521-0j -0.00279202-0j -0.000330763-0j -0.00492619-0j -0.00185005-0j 0.0376037-0j 0.00116611-0j -0.00166555-0j -0.000649083-0j 0.00328156-0j 0.0141222-0j 0.00895696-0j 0.00383791-0j -0.00890143-0j -0.000243765-0j 0.00137603-0j 0.0127138-0j 0.000153649-0j 0.00336381-0j 0.000104969-0j -0.0250495-0j -0.00212026-0j 0.00144134-0j -0.000219455-0j -0.000908498-0j 0.000516772-0j 0.00302835-0j 0.000432383-0j 0.0012976-0j -0.00032573-0j 3.94214e-05-0j -0.00596663-0j 0.000465236-0j -2.4848e-05-0j -0.0025566-0j 3.54901e-05-0j -0.000916635-0j -6.99246e-05-0j 
-0.404655-0j 8.64482e-05-0j -0.00119293-0j -0.00342864-0j -0.00342042-0j 0.0286702-0j 0.00726857-0j 0.0286015-0j 0.00725115-0j -0.00488402-0j -4.24348e-05-0j 0.0385044-0j -0.00345938-0j -0.000498473-0j 0.00972786-0j 0.000334546-0j -4.33099e-06-0j 0.00115243-0j 0.0272729-0j 8.45206e-05-0j -0.000353071-0j 1.00129e-05-0j 0.00689029-0j 0.000816275-0j 0.00188472-0j -6.24299e-05-0j -0.0143869-0j -0.00399634-0j 0.00183923-0j 0.000248334-0j -0.00233563-0j 0.000476554-0j -0.00342686-0j -0.00146835-0j 0.0305057-0j -8.22587e-06-0j -0.000526458-0j -0.0140396-0j -0.000526564-0j 0.000113512-0j -4.01604e-05-0j 0.0178288-0j 0.00726626-0j 4.86381e-05-0j 0.00024234-0j 0.00311347-0j 1.74385e-05-0j -0.00334415-0j -0.000307746-0j -0.00143291-0j 0.00111629-0j 1.33028e-06-0j 0.00424672-0j -0.000513752-0j 8.51554e-05-0j 0.00181965-0j -3.9191e-05-0j 0.00065241-0j 4.97685e-05-0j 
-0.143067-0j 0.00214728-0j -0.0296312-0j -0.00610056-0j 0.00124474-0j 0.0510128-0j 0.0129329-0j -0.0104085-0j -0.00263879-0j 0.000865677-0j -0.00530455-0j -0.00682479-0j 0.000624879-0j 8.83528e-05-0j -0.00172423-0j 0.0418198-0j -0.000541394-0j -0.000204265-0j -0.00492639-0j 0.0105655-0j 6.37764e-05-0j 0.00125166-0j -0.00124462-0j -0.000147447-0j 0.000666351-0j 0.000777409-0j -0.00508653-0j 0.00605211-0j -0.00336843-0j 8.77994e-05-0j 0.000280582-0j -0.00593429-0j -0.00121158-0j -0.000519142-0j -0.0461982-0j 0.000102433-0j -0.000186131-0j 0.0257126-0j 0.000797435-0j -0.00141351-0j -1.41988e-05-0j -0.0021418-0j -0.0110041-0j -0.000605666-0j -0.00044383-0j -0.00471509-0j -0.000217153-0j 0.00612458-0j 3.69699e-05-0j 0.00262428-0j -0.00169053-0j -1.65653e-05-0j -0.000510163-0j 0.000940901-0j -0.00012896-0j -0.000218596-0j 7.17757e-05-0j -7.83747e-05-0j -5.97874e-06-0j 
0.236049-0j 0.00693438-0j -0.0956904-0j -0.00203264-0j -0.00188081-0j 0.0169969-0j 0.00430912-0j 0.0157273-0j 0.00398725-0j 0.00284901-0j 0.00345938-0j -0.0224609-0j -0.00399193-0j 0.000290776-0j -0.00567458-0j -0.0272729-0j 0.000353071-0j -0.000672254-0j 0.0314714-0j -0.00689029-0j -0.000407425-0j -0.000816275-0j 0.00795102-0j 0.000941937-0j -0.00109942-0j -0.00500778-0j 0.00839235-0j -0.000785465-0j -0.00102784-0j -0.000144862-0j -0.000538664-0j 0.0382264-0j 0.001999-0j 0.00085654-0j 0.00599578-0j -0.000659833-0j 0.000307101-0j 0.00784594-0j -0.000103494-0j 0.0091053-0j 2.34269e-05-0j 0.00411185-0j 0.00142816-0j 0.00390147-0j -0.00013543-0j 0.000611942-0j 0.00139882-0j 0.00186885-0j -7.09752e-05-0j 0.000800773-0j 0.000219403-0j 0.000106708-0j 0.000979416-0j 0.000287106-0j 1.6737e-05-0j 0.000419664-0j 2.19016e-05-0j 0.000150465-0j 1.1478e-05-0j 
0.250367-0j 0.00365077-0j -0.0503784-0j 0.00639867-0j 0.0021774-0j -0.0535056-0j -0.0135649-0j -0.0182074-0j -0.00461601-0j -0.00151493-0j -0.00540538-0j 0.0119434-0j -0.00100148-0j -0.000154617-0j 0.00301741-0j 0.0426147-0j -0.000551684-0j 0.000357464-0j 0.00789539-0j 0.0107663-0j -0.000102213-0j 0.00127545-0j 0.00199471-0j 0.000236308-0j -0.00116611-0j 0.00132174-0j 0.00890143-0j -0.000780084-0j -0.0035316-0j -0.000153649-0j -0.00234446-0j -0.0100894-0j 0.00212026-0j 0.000908498-0j 0.00595471-0j 0.000174154-0j 0.00032573-0j 0.0269582-0j -0.000102785-0j -0.00240322-0j 2.4848e-05-0j 0.0178962-0j 0.00141837-0j -0.00102974-0j -0.000465329-0j 0.00060775-0j -0.0003692-0j 0.00642127-0j -0.00030891-0j 0.00275141-0j 0.0002179-0j -2.8164e-05-0j 0.00426277-0j 0.000986479-0j 1.66223e-05-0j 0.00182653-0j 7.52526e-05-0j 0.000654876-0j 4.99566e-05-0j 
-0.146048-0j -0.00645125-0j 0.0890234-0j -0.00123746-0j 0.00606704-0j 0.0103476-0j 0.00262337-0j -0.0507325-0j -0.0128619-0j 0.000883712-0j 0.00316673-0j -0.00696697-0j 0.000742245-0j 9.01935e-05-0j -0.00176015-0j -0.0249657-0j 0.000323203-0j -0.000208521-0j -0.00585168-0j -0.0063074-0j 7.57551e-05-0j -0.000747222-0j -0.00147838-0j -0.00017514-0j 0.000680233-0j -0.00233563-0j -0.0051925-0j -0.00144235-0j -0.00326238-0j 8.96286e-05-0j -0.00403966-0j 0.0178288-0j -0.00123682-0j -0.000529957-0j 0.0110101-0j -0.000307746-0j -0.000190009-0j 0.0249031-0j -0.000190047-0j 0.00424672-0j -1.44946e-05-0j 0.0308364-0j 0.00262253-0j 0.00181965-0j -0.000429856-0j 0.00112371-0j 0.00065241-0j 0.00593176-0j -0.000532272-0j 0.00254166-0j 0.000402892-0j 4.97685e-05-0j 0.00734504-0j 0.000911278-0j 3.07342e-05-0j 0.00314723-0j 6.9516e-05-0j 0.0011284-0j 8.60785e-05-0j 
0.0381001-0j 0.00281037-0j -0.0387814-0j -0.000328085-0j -0.00607375-0j 0.00274344-0j 0.000695527-0j 0.0507886-0j 0.0128761-0j -0.000230538-0j 0.00140202-0j 0.00181751-0j 0.00736137-0j -2.35292e-05-0j 0.000459179-0j -0.0110532-0j 0.000143093-0j 5.43978e-05-0j -0.0580353-0j -0.0027925-0j 0.000751317-0j -0.000330821-0j -0.0146622-0j -0.00173699-0j -0.000177455-0j 0.00101748-0j 0.00135459-0j -0.00012678-0j -0.00331923-0j -2.33818e-05-0j -0.00242076-0j -0.00776682-0j 0.000322655-0j 0.000138252-0j 0.000967767-0j 0.000134064-0j 4.95685e-05-0j 0.0253371-0j -1.67048e-05-0j -0.00185001-0j 3.78128e-06-0j 0.0184786-0j 0.000230516-0j -0.000792697-0j -0.000437347-0j 9.87723e-05-0j -0.000284211-0j 0.00603513-0j -0.000318963-0j 0.00258595-0j 3.54134e-05-0j -2.16807e-05-0j 0.0044015-0j 0.000927158-0j 2.70148e-06-0j 0.00188597-0j 7.07273e-05-0j 0.000676188-0j 5.15823e-05-0j 
0.00545166-0j -0.372392-0j 0.000558652-0j 0.00222061-0j 0.00224362-0j -0.037769-0j 3.27127e-05-0j -0.0381604-0j 3.30517e-05-0j 0.00156037-0j 0.00193087-0j 0.000260062-0j 0.00112634-0j -0.0308044-0j -0.00312771-0j 0.000321811-0j -0.0381185-0j 1.91554e-06-0j 0.000187723-0j -0.00387034-0j -0.0222358-0j 2.37036e-06-0j -0.0022577-0j 1.38271e-06-0j 0.00120109-0j 0.00140127-0j 0.000193825-0j 0.000858101-0j 0.00122611-0j -0.0152266-0j 0.000505746-0j 0.000226129-0j 2.28425e-05-0j -0.00382643-0j 0.000138475-0j -0.0177644-0j -0.000224309-0j 0.000197863-0j -0.0108784-0j 2.66496e-05-0j 1.06411e-07-0j 8.16144e-05-0j 1.63195e-05-0j -0.00446417-0j -0.0155438-0j -0.00273373-0j -0.000261694-0j 2.33184e-05-0j -0.0064115-0j -0.00390615-0j -0.000160254-0j 1.24147e-07-0j 9.61835e-06-0j -0.000228982-0j 7.60239e-08-0j -0.0016112-0j 1.08628e-07-0j -9.44503e-05-0j 4.48068e-08-0j 
0.0752296-0j -0.000558652-0j -0.360764-0j -0.000320518-0j -0.000323839-0j 0.00541699-0j -0.0647341-0j 0.00547313-0j -0.065405-0j -0.000225221-0j -0.000278696-0j 0.00358871-0j -0.000162573-0j -2.29865e-05-0j -0.0209927-0j 0.0044408-0j -2.84443e-05-0j -0.00763435-0j 0.00259047-0j -0.0259772-0j -1.65925e-05-0j -0.00944702-0j -0.0151534-0j -0.00551076-0j -0.000173363-0j -0.000202256-0j 0.00267467-0j -0.000123856-0j -0.000176974-0j -2.28425e-05-0j -7.29981e-05-0j 0.00312045-0j -0.0147511-0j 0.000272983-0j 0.00191088-0j -2.66496e-05-0j -0.00461344-0j 0.00273039-0j -1.63195e-05-0j -0.0172096-0j -0.000709296-0j 0.00112623-0j -0.0105387-0j 0.00031848-0j -2.33184e-05-0j 0.000195028-0j -0.00538235-0j -0.0150584-0j -9.61835e-06-0j 0.00027867-0j -0.003296-0j -0.000827512-0j -0.00621129-0j -0.00470956-0j -0.000506746-0j 0.000114945-0j -0.000724073-0j -0.00194259-0j -0.000298665-0j 
-0.00594948-0j 0.00578459-0j -8.67789e-06-0j -0.00242339-0j 0.0023788-0j 0.041218-0j -3.56999e-05-0j -0.0404596-0j 3.50431e-05-0j -0.00170286-0j -2.99933e-05-0j -0.000283811-0j 0.0024059-0j 0.0336173-0j 0.00341332-0j -4.99889e-06-0j 0.000592118-0j -2.09046e-06-0j 0.000400983-0j 6.01204e-05-0j -0.0474964-0j -3.68203e-08-0j -0.00482252-0j 2.95352e-06-0j -0.00131077-0j -2.17668e-05-0j -0.000211525-0j -0.00093646-0j 0.00129999-0j 0.016617-0j 0.00162436-0j -3.51261e-06-0j -2.49284e-05-0j 0.00417585-0j -0.000151121-0j 0.000275945-0j 0.000244792-0j 0.000209784-0j 0.0118718-0j -4.13965e-07-0j -1.16128e-07-0j 0.00026213-0j -1.78097e-05-0j 6.93447e-05-0j -0.0164803-0j 0.00298337-0j 4.06505e-06-0j 2.47233e-05-0j -0.0205925-0j -0.00414149-0j 0.000174888-0j -1.92844e-09-0j 3.08924e-05-0j -0.000242778-0j -8.29662e-08-0j -0.00517489-0j 1.15173e-07-0j -0.000303357-0j 1.43911e-07-0j 
-0.0820993-0j 8.67789e-06-0j 0.00560396-0j 0.000349786-0j -0.00034335-0j -0.00591165-0j 0.0706454-0j 0.00580288-0j -0.0693456-0j 0.000245787-0j 4.32916e-06-0j -0.00391642-0j -0.000347261-0j 2.50855e-05-0j 0.0229097-0j -6.89817e-05-0j 4.41843e-07-0j 0.00833149-0j 0.00553332-0j 0.00040352-0j -3.54422e-05-0j 0.000146746-0j -0.0323681-0j -0.0117712-0j 0.000189193-0j 3.14177e-06-0j -0.00291891-0j 0.000135166-0j -0.000187637-0j 2.49284e-05-0j -0.000234457-0j -4.84719e-05-0j 0.0160982-0j -0.00029791-0j -0.00208537-0j 4.13965e-07-0j 0.00503473-0j 0.0028949-0j 1.78097e-05-0j 0.000267328-0j 0.000774067-0j 0.00361724-0j 0.0115011-0j -4.94714e-06-0j -2.47233e-05-0j -0.000212838-0j 8.36074e-05-0j -0.0159657-0j -3.08924e-05-0j 0.000295459-0j 0.00359698-0j 1.28543e-05-0j -0.0199495-0j -0.0049933-0j 0.00055302-0j 0.000369183-0j -0.000767698-0j -0.00623925-0j -0.000959256-0j 
-0.00460845-0j 0.314794-0j -0.000472246-0j 0.00184704-0j -0.0018966-0j -0.0314152-0j 2.72095e-05-0j 0.0322582-0j -2.79396e-05-0j -0.00131903-0j 0.00160604-0j -0.000219839-0j -0.000952128-0j 0.0260399-0j 0.00264394-0j 0.000267673-0j -0.0317058-0j -1.61926e-06-0j -0.000158688-0j -0.00321923-0j 0.0187966-0j 1.9716e-06-0j 0.0019085-0j -1.16885e-06-0j -0.00101532-0j -0.00118454-0j -0.000163846-0j 0.00215286-0j 0.00101984-0j 0.0128715-0j -0.000427522-0j -0.000191154-0j -1.93095e-05-0j 0.0032346-0j 0.000347417-0j 0.0150168-0j 0.000189615-0j 0.000164577-0j -0.0272925-0j -2.25277e-05-0j -8.99527e-08-0j -6.89911e-05-0j 4.09435e-05-0j 0.0037737-0j -0.0129289-0j -0.00685859-0j 0.000221218-0j 1.93956e-05-0j 0.00541983-0j -0.00324902-0j -0.000402057-0j -1.04945e-07-0j -8.13068e-06-0j -0.00019046-0j 1.90734e-07-0j 0.001362-0j 9.03537e-08-0j 7.98417e-05-0j -3.78766e-08-0j 
-0.0635939-0j 0.000472246-0j 0.304964-0j -0.000266597-0j 0.000273751-0j 0.00450569-0j -0.0538439-0j -0.0046266-0j 0.0552888-0j 0.000190386-0j -0.000231811-0j -0.00303364-0j 0.000137428-0j 1.94312e-05-0j 0.0177458-0j 0.00369372-0j -2.36591e-05-0j 0.00645355-0j -0.0021898-0j -0.021607-0j 1.40262e-05-0j -0.00785775-0j 0.0128096-0j 0.00465842-0j 0.000146549-0j 0.000170973-0j -0.00226098-0j -0.000310739-0j -0.000147202-0j 1.93095e-05-0j 6.17075e-05-0j -0.00263781-0j 0.0124696-0j -0.00023076-0j 0.00479415-0j 2.25277e-05-0j 0.00389988-0j 0.00227106-0j -4.09435e-05-0j 0.0145478-0j 0.000599589-0j -0.000952037-0j -0.0264403-0j -0.000269221-0j -1.93956e-05-0j 0.000489301-0j 0.00454986-0j -0.0125252-0j 8.13068e-06-0j 0.000231789-0j -0.00826924-0j 0.000699521-0j 0.00525059-0j -0.00391727-0j -0.00127136-0j -9.71668e-05-0j -0.000602262-0j 0.00164213-0j 0.00025247-0j 
