-0.00453195-0j -0.000706541-0j -0.000547284-0j -7.89937e-05-0j 0.0715786-0j -8.83177e-05-0j 0.0169301-0j -7.3598e-06-0j 0.00730546-0j 0.00149122-0j -5.20417e-06-0j 8.7871e-05-0j -7.51157e-07-0j -4.8487e-08-0j -1.5272e-09-0j 
0.000408403-0j -0.00299446-0j 4.93193e-05-0j -0.0006767-0j -0.00862099-0j 0.0716735-0j -0.000249538-0j 0.0181724-0j 4.59506e-06-0j -8.9163e-05-0j -2.20563e-05-0j -1.05632e-05-0j -9.68603e-06-0j -1.04496e-06-0j -4.61336e-08-0j 
-0.000330039-0j -5.14539e-05-0j 0.00379114-0j -5.75272e-06-0j 0.00521271-0j 0.000611792-0j 0.00123294-0j -5.35978e-07-0j -0.101744-0j -0.0103299-0j 0.000108909-0j 6.39921e-06-0j 1.04615e-05-0j 3.35878e-07-0j -1.11218e-10-0j 
4.76371e-05-0j -0.000705988-0j 5.75272e-06-0j 0.0036723-0j -0.000752391-0j -8.82485e-05-0j 0.0169168-0j 0.00104858-0j -7.67905e-05-0j -0.0693245-0j -5.20009e-06-0j -0.0252151-0j 0.00010702-0j 2.32706e-05-0j 1.54459e-06-0j 
0.00033346-0j 5.19871e-05-0j -0.00383042-0j 5.81234e-06-0j -0.00526673-0j -0.000618132-0j -0.00124571-0j 5.41533e-07-0j 0.102799-0j 0.010437-0j -0.000110037-0j -6.46553e-06-0j -1.05699e-05-0j -3.39358e-07-0j 1.12371e-10-0j 
4.12549e-05-0j -0.000302486-0j -0.000952766-0j -6.8357e-05-0j 4.54793e-06-0j 0.00723098-0j -2.52072e-05-0j -9.58668e-06-0j 0.00839913-0j 0.00172248-0j -0.122228-0j -1.06705e-06-0j -0.0177047-0j 2.01869e-05-0j -4.6602e-09-0j 
-4.81307e-05-0j 0.000713304-0j -5.81234e-06-0j -0.00371035-0j 0.000760188-0j 8.9163e-05-0j -0.0170922-0j -0.00105944-0j 7.75863e-05-0j 0.0700429-0j 5.25398e-06-0j 0.0254764-0j -0.000108129-0j -2.35118e-05-0j -1.56059e-06-0j 
-4.16824e-05-0j 0.000305621-0j 0.000962639-0j 6.90654e-05-0j -4.59506e-06-0j -0.00730591-0j 2.54684e-05-0j 9.68603e-06-0j -0.00848617-0j -0.00174033-0j 0.123494-0j 1.07811e-06-0j 0.0178882-0j -2.03961e-05-0j 4.70849e-09-0j 
-4.86194e-06-0j 0.000108461-0j 5.58487e-05-0j -0.00114866-0j -5.35978e-07-0j -0.00128961-0j 9.03841e-06-0j 0.00492464-0j 1.04615e-05-0j 0.0143964-0j -0.000229571-0j 0.00169543-0j -0.0961216-0j -0.0322128-0j 3.76479e-05-0j 
2.21916e-07-0j -8.27396e-06-0j 2.67989e-08-0j 0.000176612-0j 2.4464e-08-0j -1.03425e-06-0j -6.89497e-07-0j -0.00234625-0j 2.49684e-09-0j 2.32706e-05-0j -6.09435e-08-0j 0.0183887-0j -0.000239463-0j -0.0654007-0j -0.0465151-0j 
4.91232e-06-0j -0.000109585-0j -5.64275e-05-0j 0.00116056-0j 5.41533e-07-0j 0.00130297-0j -9.13207e-06-0j -0.00497567-0j -1.05699e-05-0j -0.0145456-0j 0.00023195-0j -0.001713-0j 0.0971177-0j 0.0325467-0j -3.80381e-05-0j 
-2.24216e-07-0j 8.35971e-06-0j -2.70766e-08-0j -0.000178442-0j -2.47175e-08-0j 1.04496e-06-0j 6.96642e-07-0j 0.00237057-0j -2.52272e-09-0j -2.35118e-05-0j 6.15751e-08-0j -0.0185793-0j 0.000241945-0j 0.0660784-0j 0.0469971-0j 
