-0.024959+0.00766018j -0.0108801-0.0287382j 0.00119468+0.00798507j -0.00895892-0.00383881j -0.00670468+0.010388j 0.001333+0.00757368j 0.00595365-0.00881279j -0.00444216+0.00886097j -0.00988888+0.00495047j 0.00608749-0.0370211j 0.028538+0.00520523j -0.0237326+0.00788549j 0.0449487+0.00355558j -0.0185895-0.0187846j 0.026153-0.0012203j 0.00505522+0.0475828j -0.018759-0.021381j 0.00113493-0.00410388j 0.0144786+0.00343183j -0.0182073+0.026892j 0.0136709-0.0184018j 0.00801987-0.00938234j -0.0216059+0.0336215j 0.0400944-0.0172874j 0.0172639-0.0132022j -0.00118125-0.0115282j -0.00139766+0.00742815j 0.0251908-0.00110682j -0.0282263-0.00347188j 0.0127732-0.014747j -0.0352944-0.0486661j 0.00158185-0.0114085j -0.0400451+1.5858e-05j -0.000189267-0.0444296j 
-0.0107198+0.0096169j -0.00968963-0.0132755j -0.00846116-0.00549497j -0.00317478-0.00391919j -0.00188851+0.014844j 0.00529078-0.000839223j -0.00246037+0.012736j -9.87925e-05+2.86019e-05j -0.0134312-0.00835901j 0.00465604-0.0038789j -0.00411334+0.000512439j 0.00537746-0.00238742j 0.0104864+0.0133131j -0.00069924+0.00299757j 0.00560256-0.00761843j -0.00504019+0.00309196j 0.00358555-0.00101797j 0.00874668-0.00510178j -0.0115511+0.000320577j -0.00492877-0.00331918j 0.0127164-0.000678477j 0.00443905-0.00164123j 0.0136137+0.00728681j -0.00190342-0.00150259j -0.00913302-0.000172464j 0.000531966-0.00341217j 0.00133299-0.0142008j -0.00496593+0.0149904j -0.00161214-3.36237e-05j 0.000753056-0.00737227j -0.00387415+0.0134797j 0.00510148+0.00211635j 0.00884402-0.000479194j -0.000340167+0.00516232j 
-0.00104264-0.000121687j 0.00028543-0.0015361j -0.00167794-0.00506365j 0.00330173+0.00153979j 0.0114304-0.00979108j -0.00258044+0.00402705j 0.00546701-0.0106124j 0.00468225+0.00580195j 0.00822281+0.00179305j -0.0015708-0.0016679j 0.00170855-0.0131041j -0.0133804-0.00262745j 0.00343376+0.0101969j -0.000355955+0.00963884j -0.0036377+0.00298776j -0.0012685+0.0110503j -0.000667921+0.00760196j 0.00859714+0.00681838j -0.0190601+0.0144864j -0.00315633+0.00194613j 0.0189394+0.00305231j -0.0015883+0.00186915j 0.011453+0.00239915j 0.00225401-0.00790637j -0.00182353+0.003823j -0.00116256-0.00517337j -0.00397868-0.0174338j -0.000232567+0.0058619j 0.00810559+0.00367173j -0.00371177+0.00388384j -0.00594932+0.00788695j 0.0115211-0.00508069j -0.00713856-0.00590827j 0.00186515-0.00772356j 
0.00346614+0.00555483j -0.00357834+0.00392138j 0.00411515+0.00719885j -0.0065826+0.00116672j 0.000735547-0.00933056j 0.00384943+0.0023896j 0.00283726-0.0192824j 0.00223066+0.00737494j 0.00923694+0.0093291j 0.0147286+0.0108683j -0.0025677+0.00214977j 0.00444577+2.31649e-05j 0.00747742+0.0131981j -0.012111-0.00501963j 0.00624392+0.0119798j -0.0034103+0.0151595j 0.00499196+0.00579774j 0.0129818-0.00740547j 0.000604662-0.00579527j -0.0102771+0.00420306j 0.00967124-0.00564395j 0.0161532+0.00144025j 0.016064-0.0011329j -0.0117922-0.012189j -0.00815419+0.0013574j 0.000617941+0.00034816j -0.0017815-0.0117946j -0.00869029+0.0161018j -0.00337777-0.00681137j -0.00284498-0.00352283j 0.00210695+0.0166865j -0.0104616-0.000396595j 0.00764039+0.000420185j 0.000337918+0.00988828j 
-0.00268615-0.00840435j 0.00886126+0.00104255j -0.00439838-0.0078508j 0.00269946+0.00478143j 0.00427076-0.0032293j 0.00895564+0.000233283j -0.00139321+0.00307738j 0.000341406-0.00148791j -0.00392067-0.0111333j -0.0120464-0.00572951j 0.00175086+0.000329971j -0.0146014+0.00637401j -0.00345395-0.000750116j -0.000738448-0.00759974j -0.0136786-0.0031492j 0.0083086+0.00666157j -0.00596307+0.0191571j -0.00541787-0.011031j -2.24328e-05-0.000500553j -0.0126409+0.015864j 0.0200757-0.000388303j 0.0132436+0.00128728j -0.000638696-0.00130403j -0.00901847-0.00556458j 0.00728557-0.00156959j -0.00618806-0.00123878j -0.0100138-0.00500136j -0.00613889-0.00280619j -0.00633982-0.0161545j -0.00528322+0.0104312j 2.97151e-05+0.00128149j -0.00534276+0.00101499j 0.000662807-0.00760028j 0.00421776+0.00357326j 
-0.00247964-0.00219846j -0.00590621+0.00288869j -0.00327558+0.0059369j 5.74066e-05+0.000801005j 0.00181655+0.00702839j -0.00626684-0.00871759j 0.000447626-0.00418706j -0.00790137-0.00929406j 0.00174702-0.00762363j -0.000621732+0.001762j -0.0140514+0.000369291j -0.00778705+0.00446275j -0.0207654-0.00132105j 0.00702846+0.00601925j -0.00863172+0.00514818j 0.0119365-0.0107905j 9.06433e-05+0.0133004j -0.00448322-0.0072101j -0.0100097-0.00221417j 0.00321618+0.00379869j 0.0028649+0.00515808j -0.00067892+0.0117456j -0.00251185+0.00433701j 0.0172265-0.00519915j 0.0083366-0.00109285j -0.00925409+0.0102925j 0.000867098+0.00302727j -0.000916463-0.00139969j -0.0056338+0.0110933j -0.000627768+0.00675523j -0.00187533-0.015811j -0.0125228-0.0176709j 0.00126418-0.00934269j 0.00476835+0.00548999j 
0.00701681-0.00858997j 0.0129957+0.00374564j 0.00202716-0.00364509j 0.0103162+0.000594596j -0.00295884-0.0327217j -0.0033115+0.00921148j -0.00252226-0.00985613j 0.00901311+0.00590401j 0.0155279+0.00388127j -0.00399451-9.61899e-05j 0.00469554-0.00191648j -0.0114989+0.0059811j -0.0074787-0.00423148j -0.0115865-0.00480769j -0.00619836+0.0121509j -0.00352979+0.00173276j -0.00703012+0.00747766j -0.0127583+0.00228898j 0.0112203-0.0190102j -0.00537955+0.00639109j -0.00341445+0.0023862j 0.00852286-0.000538629j -0.0104386+6.42812e-05j -0.00776092-0.00107217j 0.000127034-0.00213207j 0.0022043-0.0026365j 0.0106301+0.00675095j -0.00468805-0.00935853j -0.00995105-0.0084727j -0.00300122-0.000257892j 6.06252e-05-0.00561659j -0.00647855+0.00683832j 0.00287645-0.000383466j -1.77954e-05+0.00782243j 
-0.00557915+0.00648463j -0.0101147-0.00713492j -0.00467693-0.00181733j 0.00479703-0.00679732j 0.00444475-0.00241241j -0.0105324+0.00692304j 0.00425586+0.00226462j -0.000674736+0.000322399j 0.0018654-0.00204169j 0.000207789-0.00602557j -0.00529786-0.00164893j -0.00718478-0.00131588j 0.00408449+0.00291125j 0.00244838+0.00772567j -0.00383911-0.0014886j -0.000390992-0.000875442j -0.00214522-0.000598097j -0.00223108-0.00708224j -0.0047623+0.00502884j 0.000980677+0.000605438j 0.00766665-0.00297144j 8.11201e-06+0.00372294j -0.000992787+0.000541759j 0.00160719-0.00107448j -0.000204623+0.000882j -0.0037002+0.00205074j -0.00456975-0.00310666j 0.0011557+0.000743858j 0.000903156+0.000290468j 5.20326e-05+0.00245693j -0.000182646+0.00159939j -0.000264501-0.00606493j 2.37266e-05-0.00141424j -0.00223414+0.00174916j 
-0.000904658-0.0128845j -0.00104985+0.00392437j 0.0235928+0.00960853j 0.00716084-0.0112753j -0.0139679+0.015647j -0.0233336+0.0123809j 0.0142451+0.000473266j -0.0147547-0.0139959j 0.0208103+0.00957797j -0.0101949+0.00185575j 0.00952994-0.00275088j 0.00641082-0.00302501j 0.00626546-0.00286536j 0.00084243-0.00495497j 0.00245757-0.00445814j 0.000881477+0.00593315j 0.00426209+0.00355061j 0.0074275+0.00170512j 0.00277594+0.00439358j 0.00257225+0.00383287j 0.00247603-0.00174503j 0.00326863-0.0034111j 0.00417078-0.000172764j -0.00558924+0.00285167j 0.00360034+0.000481182j 0.000706261-0.0024946j -0.00736352-0.00458305j -0.00539876+0.00068242j 0.00278189-0.00619335j 0.00124281+0.00118327j 9.62159e-05+0.0082489j 0.00450995+0.00476268j -0.00125746+0.00238618j 0.00131705-0.00222798j 
4.65529e-07+0.00439659j -0.00681692-0.0110063j -0.00601188-0.0107551j 0.0127093-0.0156105j -0.00628695-0.00323478j -0.0157665+0.0190787j 0.00747474+0.0170589j 0.00495021+0.00255452j 0.00186686+0.000537842j -0.0035188-0.00864981j -0.00430278-0.00367045j -0.00299695-0.00274598j 0.000542468-0.000295986j -0.00191607+0.00408759j -0.00323548-0.00342167j 0.00374175-0.00644273j -0.00317287+0.00669486j -0.000691427-0.0100367j 0.00117617-0.00301232j -0.00127578+0.00562962j 0.00622625-0.00235956j 0.00555139+0.00110112j -0.00148977+0.000991399j 0.00490773-0.00331471j 0.0022262-0.00150808j -0.00747088+0.00131059j -0.00349999-0.00238981j -0.00102184-0.00257269j -0.00470818-0.00137746j -0.00282329+0.00402572j -0.00216177-0.00153501j -0.00524714-0.00806232j -0.00646352-0.0113185j 0.00593725-0.00147921j 
-0.0249172+0.00124034j -0.00843413-0.00974353j -0.00256616+0.0115243j 0.00451118-0.00527656j 0.00712699-0.00628676j -0.0112111-0.000966992j -0.00449145-0.00393103j -0.0133892-0.010024j 0.00382311-0.00872574j -0.005285+0.00178553j -0.0135508+0.0142393j -0.00253407+0.0138216j 0.00944333-0.000340165j -0.0025696+0.00406536j -0.00470347-0.00632533j -0.00794352+0.00429665j -0.00556911-0.0101896j -0.0117355-0.00921772j -0.00376606-0.0100292j 0.000194332-0.005254j 0.00287145-0.00405018j 0.0058794-0.00107676j 0.00245161-0.00502225j 0.00207694-0.00945886j -0.0124311+0.00229789j -0.00411049+0.00143303j 0.00495876-0.00213573j 0.00666854+0.00752792j -0.00186084+0.00719499j -0.0130909-0.00582768j 0.00554609+0.00494665j -0.00772322-0.00654604j 0.000618672-0.00858596j 0.00349828+0.00375037j 
-0.0121966-0.0172203j 0.0136077+0.00540944j 0.00764509+0.00708838j -8.26962e-05+0.0105722j 0.00737906-0.00132095j 0.00410444-0.011633j -0.00620674-0.00890149j -0.0122815-0.0109665j 0.00447901-0.00758098j -0.0148467+0.00433905j 0.000666488+0.00301685j -0.0070416+0.0110574j 0.0027846-0.00415513j -0.0008413-0.00761525j -0.00594548-0.00415017j -0.00497508+0.00826605j -0.00109525-0.00371928j -0.00594615+0.00664977j -0.000553509-0.00415655j 0.000914687-0.00247183j 0.000888889+0.0010415j 0.000891527-0.00441012j 0.00341404-0.0044574j 0.000510913-0.00291185j -0.0051457-0.000485207j 0.00236648-0.00337411j 0.00414763+0.00132155j 0.00161867+0.00317996j -0.00012372+0.00107385j -0.00791262-0.00460411j 0.0042178+0.00346337j 0.00366969+0.00181884j 0.00148612-0.000159279j -0.000768951-0.000476472j 
