0.0820112+0.0834589j -0.0986674+0.0916842j 0.0250451+0.0507907j 0.00891032+0.0251866j -0.00528273+0.0491587j 0.0132667-0.0426527j 0.00590631+0.00591997j 0.0228093-0.0286602j -0.0197457-0.0595628j -0.0176722-0.0159516j -0.00473232+0.0185194j 0.0627219-0.0217567j 0.10381+0.0184123j 0.0755047+0.0297414j 0.0200762-0.100071j 
0.00446386-0.0172866j 0.00334307-0.000128989j -0.00722814-0.00511947j 0.021602+0.0149625j 0.0277484+0.00211816j -0.00100207-0.00134708j 0.0204699-0.0262793j -0.00831393-0.0149019j 0.0260218-0.00436623j -0.0235216-0.0171315j -0.0128749-0.00244832j -0.00712961+0.00925474j 0.0102347+0.00900434j -0.0110594+0.001441j 0.0106185-0.00137711j 
-0.00446463-0.00401713j -0.0038208+0.00222556j 0.00355782+0.0188451j -0.00193385+0.00859609j -0.000156062-0.0102539j -0.0177891-0.0035408j 0.00104431+0.00528838j -0.00412528+0.00135095j -0.00925267-0.00149213j -0.00913582-0.00941284j -0.0110048+0.0120139j 0.00783167-0.0186198j -0.00383512-0.00512656j -0.00482524+0.0146439j 0.00368885+0.0193125j 
0.000316773+0.00601222j 0.00207233+0.00587502j 0.0047833-0.00528013j 0.00327296-0.000919521j -0.000680457-0.0059252j -0.000618182+0.00644887j 0.00341323+0.000549864j 0.00559973+0.00905503j 0.00310179+0.00697865j -0.000596515+0.00212298j 0.000272503+0.00029047j -0.0066713-0.000223614j 0.00175431+0.000666072j 0.00128812+0.00176959j 0.00396741-0.00446443j 
0.00487623-0.00159948j -0.00326384-0.00648571j -0.00750828+0.00340758j -0.00463685-0.00179475j 0.00218712+0.00769375j 0.00544697-0.010415j -0.000508413-0.00599953j 0.00145913-0.0118396j 0.00103325-0.00915108j 0.00693483+0.00282761j -0.0016031-0.000881051j 0.00628659-0.00085409j 0.0016758-0.0031j -0.00191677+0.000687787j -0.00923165+0.00373696j 
-0.00353601+0.00563409j -0.00621075+0.00058426j 0.00248952-0.00219646j 0.00800664+0.000271818j 0.00724526+0.00541289j -0.002536+0.00372784j 0.00187107-0.00185601j 0.00193272+0.00316809j -0.00231725+0.00302907j 0.00586114+0.0081396j -0.000300064-0.00158651j 0.000362167-0.00666879j 0.000960596-0.000176662j -0.00622948+0.00186605j -0.00301774+0.00304038j 
-0.00403263-0.000818739j 0.0003354-0.00137834j 0.00238137-0.00563669j 0.00571564+0.00200312j 0.013182-0.004567j 0.00236607-0.00166087j 0.00430207-0.00532686j 0.000552507+0.00760406j 0.00636515+0.00198949j 0.0102249+0.00865231j -0.00304297-0.00600763j -0.00476052-0.0077446j 0.00141544+0.00232073j -0.00899784+0.00348232j -0.00303172+0.00554985j 
0.00774457+0.00245097j 0.000953497-0.00104475j -0.0108189-0.00540686j -0.0118508-8.80067e-05j 0.00589069+0.000725426j 0.00443552-0.00740715j -0.00619998+0.00165842j 0.00124534+0.00149466j 0.00376149-0.00795076j 0.00318094-0.00328683j -0.00385527-0.00387206j 0.00352379-0.00207315j 0.00792759-0.0057321j -0.00423034+0.00509208j -0.0052759+0.0007542j 
0.00722032+0.000556659j 0.0043397+0.00256551j 9.3633e-05-0.00029245j -0.0152527+0.00794007j -0.0011915-0.0151697j 0.00498933-0.00363912j -0.00197696+0.00485897j -0.00221908+0.00658808j 0.00620979-0.00337045j -0.00944987-0.00714506j 0.00204968-2.90553e-05j -0.00334471+0.00520021j -0.000680444-0.00865213j 0.00182841+0.00414115j 0.00314924-0.000550359j 
0.00161969+0.00842766j -0.00477534+0.00399651j -0.00543796-0.00436071j -0.000183464-0.00290502j 0.00803366+0.000980559j -0.00263247-0.00077688j -0.00168303+0.00146409j 0.000903931+0.00692258j -0.000871015+0.00257769j 0.00451907+0.0018322j -0.00615683-0.00150062j 0.000443242-0.00549271j 0.00793084+0.00013923j -0.0017547+0.00254285j -0.00201526-0.0037917j 
0.00112064-0.00251548j 0.00217665-0.000890814j -0.0041266+0.00400635j 0.000283573+0.00106702j -0.00827482-0.0040914j -0.00356748+0.00599098j -0.0041708+0.00436115j 0.00217909-0.0102807j -0.00304503-0.00190634j -0.00788041-0.0112671j -0.00200068+0.00702459j -0.00238452+0.0103781j -0.00374109-0.00553234j 0.0068085-0.00252589j 0.00263034-0.00147448j 
0.00976764+0.00871673j -0.00240533+0.00843286j 0.00468354+0.00315061j -0.0193499+0.000682272j -0.0112516-0.00272623j -0.000471526-0.00504117j -0.0115016+0.00707228j 0.000881105-0.0072381j -0.00645785-0.00686532j -0.0110851-0.0169464j 0.00239866+0.00385477j 0.00673399+0.0130852j 0.00742724-0.0112754j 0.00900768+0.00326159j 0.00602435-0.00849547j 
-0.00160362-0.00672063j 0.000751008-0.00853054j -0.00211031+0.00462231j 0.0094413+0.00214811j -0.00607709+0.00785871j -0.00090742+0.00246144j 0.00567055-0.00496976j 0.00448059-0.0118578j -0.000662015-0.00264377j 0.00127294+0.00802632j 0.000291607+0.00626191j -0.0023893-0.0033774j -0.00693268+0.00186453j 0.00355062-0.00110768j -0.00189625+0.00473387j 
-0.00726895-0.00211982j -0.0118947+0.000134804j 0.00414413+0.00166816j -0.000887345+0.00244384j 0.0143072+0.00450865j -0.00544496-0.00444647j -0.0087995-0.00057205j -0.0168066+0.000501847j -0.0100828+0.00125063j 0.0086445-0.00449835j 0.00597579-0.00652816j -0.00686665+0.00242009j -0.000678086+0.00349377j 0.00326435-0.00560969j 0.00746446+0.000304888j 
0.00177967-0.00533016j 0.00175408+0.00271272j 0.00322779+0.00663256j -0.00829649+0.00459707j 0.00887741-0.013694j 0.0132913+8.55368e-05j 0.00217527+0.00655476j -0.0141062+0.0139229j 0.0101323+0.00391666j 0.00157921+0.00707808j 0.00901209-0.00261181j 5.42014e-05-0.00032014j -0.00618575+0.00548268j -0.00293258-0.00376944j -0.000799645+0.000153966j 
0.00673044-0.00398887j -0.00064868+0.000502736j -0.00409431-9.30989e-06j -0.00267656+0.00784819j 0.000990165-0.00908189j 0.00134079-0.00791455j -0.00224763-9.13676e-05j 0.00205062+0.00127707j -0.000668129-0.00756826j 0.00552087-0.00189223j 0.000200361-0.00229j -0.00861531-0.000443649j -0.00462469-0.00417124j 0.00653045+0.00717758j 0.0047005+0.00431427j 
-0.00447937+0.00827319j -0.004353+0.00534836j 0.00438524-0.00422221j 0.00360805-0.00573972j -0.000567439+0.00294708j -0.0103669-0.00018972j -0.00299756-0.00237252j 0.00417366-0.000416399j -0.00808694+0.00370781j -0.000345137-0.008511j -0.00559337-0.00218774j -9.9476e-05+0.00238075j 0.00740659-0.00108457j 0.00075132+2.80797e-05j 0.00313256-0.00425591j 
-0.00228235-0.00909483j 0.00199422-0.00455589j -0.0146464-0.000642152j 0.014687+0.00663604j -0.00178892+0.00192533j -0.00768176+0.00708367j 0.00161821+0.00627563j 0.00101025+0.00204456j -0.00362567+0.00400032j 0.000346771+0.0050042j -0.0057282+0.00207673j -0.0021256+0.00423598j -0.00990309+0.00466543j 0.001393-0.00620987j -0.000400606-0.00117634j 
-0.00230552+0.00860067j 0.00138539-0.00493802j -0.00197981-0.0166401j 0.000349121+0.0027604j 0.00290537+0.00654096j -0.00541036-0.00370806j -0.00037794-0.00286284j 0.0095385+0.0047928j -0.000801448-0.00200086j 0.000804926+0.0104286j -0.0117713-0.00534945j -0.000686598-0.0130434j 0.00832327-0.00441792j -0.0069323+0.00807698j -0.00415221+0.00213619j 
0.0148177+0.00221322j -0.0095549+0.00275399j -0.0234102+0.00264251j -0.00026764+0.016944j 0.0142646-0.00604484j 0.00854672+0.00509147j 0.000257135+0.0171638j -0.0132286+0.015744j 0.00543243+0.000759362j 0.000612373+0.0160012j 0.0029823+0.00540594j 0.00260667-0.00140816j -0.00743626-0.00148561j 0.00324158+0.000452276j -0.00323317-0.0081882j 
0.00120116+0.00676634j -0.00289214+0.00249326j -0.00774153+0.00911362j 0.00298449-0.0161233j 0.00597557+0.00488793j 0.00109345+0.0179542j 0.00191977+0.00305477j -0.00440967-0.0112369j 0.00204571+0.013012j -0.00116781-0.00273253j -0.00170147+0.0165307j 0.00514339+0.00133366j -0.000373094-0.000560048j -0.00396418-0.00264057j -0.00458701+0.00100044j 
-0.00735379-0.0149553j 0.0147377-0.00502814j 0.0174053+0.0115927j -0.00836836-0.0110593j -0.00594149-0.00786352j 0.0130349+0.00160288j 0.00459227-0.00703527j -0.00360879-0.00822007j 0.0112465+0.00179417j 0.000925043-0.00431823j 0.0103441+0.000739917j -0.00255242+0.000844984j -0.00705723+0.00702024j -0.0051542-0.00498325j -0.000845518+0.0128083j 
0.0107022+0.00349381j 0.00249891-0.00580175j -0.00689167-0.0008859j -0.0080975-0.000470847j -0.00422151+0.00813879j 0.00700787-0.00306528j 0.00314247-0.00410833j 0.00715961-0.00840855j 0.00627101-0.00824624j -0.00234788+0.0105531j -0.00154553+0.00853865j 0.00207199-0.0112549j 0.00439149-0.00522393j 0.00206628+0.00995312j -0.00426179+0.00259444j 
0.00625537+0.000345346j 0.0106027-0.00383798j -0.00400012-0.00103211j -0.00326413-0.00617968j -0.0111523+0.00198529j 0.00713655+0.00157942j 0.00655641-0.00247163j 0.0107731-0.00626238j 0.00873779-0.00294212j -0.00616794+0.0051857j -0.00361192+0.0072463j 0.00583892-0.00576784j 0.00175896-0.00188224j -0.00198947+0.0056435j -0.00617774+0.00212541j 
-0.00692367-0.00669183j 0.00420404+0.0021219j 0.000498135+0.000183963j 0.00468611-0.00239086j 0.00029079-0.00577031j -0.00369494+0.00282847j -0.00175481+0.00364443j -0.00318102+0.00554832j -0.00191128+0.00625837j 0.000684434-0.00773308j -0.00106406-0.00577142j 0.000349737+0.00915122j -0.00433894+0.00522764j -0.00408901-0.00800014j 0.000986956-0.000258181j 
