-0.0147444-0j -0.102152-0j -0.000210716-0j -1.75597e-05-0j -0.00119199-0j -0.00106169-0j 0.00104215-0j -0.00849351-0j 0.00833723-0j -1.26441e-06-0j -0.00520119-0j 0.00510549-0j -1.07288e-05-0j 6.14095e-05-0j -6.25606e-05-0j -1.23886e-05-0j -8.58307e-05-0j -0.0509611-0j 0.0500234-0j -0.000105121-0j 0.000101424-0j -0.000703359-0j -7.17863e-05-0j 0.000993743-0j -0.00487302-0j -0.000609127-0j 0.00688486-0j -5.7712e-08-0j 0.000860607-0j -0.0059682-0j 0.00843219-0j -0.000651409-0j 4.62933e-06-0j -0.0369836-0j -3.27658e-06-0j 0.0522524-0j 
-0.142056-0j -7.17863e-05-0j 2.13096e-05-0j 0.00783107-0j -8.37658e-07-0j -0.0102289-0j 0.0100407-0j 0.000858943-0j -0.000843138-0j 0.000563885-0j -3.65507e-06-0j 3.58782e-06-0j 1.085e-06-0j -0.113122-0j 0.115242-0j -0.000119358-0j -6.03165e-08-0j -3.58123e-05-0j 3.51533e-05-0j 1.06308e-05-0j -0.0452316-0j 0.0135171-0j -0.063859-0j 0.00957425-0j 6.83074e-06-0j -0.000122874-0j 4.83825e-06-0j 0.000268585-0j -8.70326e-05-0j -0.00120392-0j -0.000852741-0j -4.5777e-07-0j -0.0215444-0j 5.18417e-05-0j -0.0304168-0j 3.67197e-05-0j 
0.0101891-0j 0.0710419-0j -0.486998-0j 0.00128324-0j -0.000605312-0j -0.0705901-0j -0.0713217-0j 0.00290402-0j 0.00293411-0j -0.00889026-0j 0.00727193-0j 0.00734729-0j -0.0498497-0j 8.78178e-05-0j 8.69171e-05-0j 0.000601463-0j 0.0041936-0j -0.000368355-0j -0.000372172-0j 0.0025251-0j -0.00518598-0j 0.000486055-0j -0.00718441-0j 0.000350853-0j 0.00338894-0j -0.0402846-0j 0.00244627-0j 7.04871e-06-0j -0.029079-0j 0.00204059-0j 0.00147298-0j -0.000330796-0j 4.11175e-06-0j -0.000267323-0j 5.69622e-06-0j -0.000192964-0j 
-0.00727946-0j -0.0507548-0j 0.347928-0j -0.000916789-0j 0.000432456-0j -0.149678-0j 0.0509547-0j 0.00615763-0j -0.00209623-0j -0.0188507-0j 0.0154193-0j -0.00524916-0j -0.1057-0j -6.274e-05-0j 0.000184297-0j 0.00127533-0j 0.00889203-0j -0.000781053-0j 0.000265892-0j 0.00535418-0j 0.00370505-0j -0.000347255-0j 0.00513279-0j -0.000250662-0j -0.00242117-0j 0.0287807-0j -0.0017477-0j 1.4946e-05-0j 0.020775-0j -0.00145787-0j -0.00105234-0j -0.000701413-0j -2.93757e-06-0j 0.000190985-0j -4.06958e-06-0j 0.00013786-0j 
0.124299-0j 6.2813e-05-0j 0.00127268-0j 0.467697-0j -5.00276e-05-0j -0.00880669-0j -0.00903935-0j 0.000739519-0j 0.000759056-0j -0.0331368-0j -3.14689e-06-0j -3.23002e-06-0j -6.37603e-05-0j 0.10184-0j 0.0992192-0j 0.00701412-0j 3.54451e-06-0j -3.08331e-05-0j -3.16476e-05-0j -0.000624721-0j -0.0185183-0j 0.00592947-0j -0.0280126-0j 0.00391979-0j 2.9964e-06-0j -5.39005e-05-0j 1.98082e-06-0j -0.0157835-0j -3.56319e-05-0j -0.000528115-0j -0.00034912-0j 2.69009e-05-0j -0.00882047-0j 2.2741e-05-0j -0.0133428-0j 1.50334e-05-0j 
-0.00429035-0j -0.0299138-0j -0.603508-0j 0.00159024-0j -0.000750129-0j 0.0297236-0j 0.143391-0j -0.0012228-0j -0.005899-0j -0.0110172-0j -0.00306201-0j -0.0147716-0j -0.0617759-0j -0.000176557-0j -3.65984e-05-0j 0.000745359-0j 0.00519689-0j 0.000155104-0j 0.000748248-0j 0.00312921-0j 0.00254088-0j -0.000204664-0j 0.00302516-0j -0.000171901-0j -0.00142699-0j 0.0169627-0j -0.00119855-0j 8.73507e-06-0j 0.0142473-0j -0.000859236-0j -0.000721687-0j -0.000409936-0j -2.01456e-06-0j 0.000112562-0j -2.39852e-06-0j 9.45431e-05-0j 
-0.000703359-0j -0.00487302-0j -1.00519e-05-0j -8.37658e-07-0j 0.00828708-0j -5.06462e-05-0j 4.97143e-05-0j 0.0590494-0j -0.0579629-0j -6.03165e-08-0j -0.000248115-0j 0.000243549-0j -5.11802e-07-0j 2.92944e-06-0j -2.98435e-06-0j 8.61292e-05-0j 0.000596721-0j -0.00243102-0j 0.00238629-0j -5.01462e-06-0j 4.83825e-06-0j -0.00975399-0j 6.83074e-06-0j -0.0069088-0j -0.0675776-0j 5.79607e-05-0j -0.0478656-0j -2.75306e-09-0j 4.10539e-05-0j 0.000567897-0j 0.000402244-0j -3.10744e-05-0j 2.20835e-07-0j 0.00351913-0j 3.11779e-07-0j 0.00249262-0j 
0.00061544-0j 0.00426389-0j -0.000600332-0j -5.00276e-05-0j 0.494932-0j -4.36045e-05-0j -4.47565e-05-0j 0.0508394-0j 0.0521825-0j 3.54451e-06-0j -0.000213618-0j -0.000219261-0j 3.00762e-05-0j -2.6373e-06-0j -2.56942e-06-0j -0.0050614-0j -0.0350664-0j -0.00209302-0j -0.00214831-0j 0.000294685-0j 1.98082e-06-0j -0.00427872-0j 2.9964e-06-0j -0.00282853-0j -0.0296438-0j 2.54253e-05-0j -0.0195966-0j 1.61784e-07-0j 1.68078e-05-0j 0.000249116-0j 0.000164682-0j 0.0018261-0j 9.04118e-08-0j 0.00154371-0j 1.36766e-07-0j 0.0010205-0j 
0.121762-0j 6.15311e-05-0j -0.00128324-0j -0.471577-0j 5.04427e-05-0j 0.00876761-0j 0.00885846-0j -0.000736237-0j -0.000743866-0j -0.0339564-0j 3.13292e-06-0j 3.16539e-06-0j -6.53373e-05-0j -0.0998025-0j -0.0987788-0j 0.0071876-0j 3.63218e-06-0j 3.06962e-05-0j 3.10143e-05-0j -0.000640172-0j -0.0198079-0j 0.00580846-0j -0.0274409-0j 0.00419277-0j 2.93524e-06-0j -5.28005e-05-0j 2.11877e-06-0j -0.0161739-0j -3.81134e-05-0j -0.000517337-0j -0.000373434-0j 2.75663e-05-0j -0.00943475-0j 2.22769e-05-0j -0.0130705-0j 1.60803e-05-0j 
0.00060288-0j 0.00417687-0j 0.000605312-0j 5.04427e-05-0j -0.499038-0j 4.3411e-05-0j 4.38609e-05-0j -0.0506138-0j -0.0511383-0j 3.63218e-06-0j 0.00021267-0j 0.000214874-0j 3.08201e-05-0j 2.58453e-06-0j 2.55802e-06-0j -0.00518659-0j -0.0359337-0j 0.00208373-0j 0.00210532-0j 0.000301974-0j 2.11877e-06-0j -0.0041914-0j 2.93524e-06-0j -0.00302551-0j -0.0290389-0j 2.49064e-05-0j -0.0209614-0j 1.65786e-07-0j 1.79784e-05-0j 0.000244032-0j 0.000176151-0j 0.00187126-0j 9.67082e-08-0j 0.00151221-0j 1.33975e-07-0j 0.00109157-0j 
-0.000430718-0j -0.0029841-0j -0.000432456-0j -3.6038e-05-0j 0.35653-0j 9.2048e-05-0j -3.13357e-05-0j -0.107321-0j 0.036535-0j 7.70161e-06-0j 0.000450941-0j -0.000153513-0j 6.53503e-05-0j -1.84648e-06-0j 5.42398e-06-0j -0.0109976-0j -0.0761933-0j 0.0044183-0j -0.00150411-0j 0.0006403-0j -1.51372e-06-0j 0.00299448-0j -2.09704e-06-0j 0.00216153-0j 0.0207464-0j -1.7794e-05-0j 0.0149755-0j 3.51529e-07-0j -1.28444e-05-0j -0.000174345-0j -0.000125849-0j 0.00396779-0j -6.90917e-08-0j -0.00108037-0j -9.57163e-08-0j -0.000779855-0j 
-0.086991-0j -4.396e-05-0j 0.000916789-0j 0.336911-0j -3.6038e-05-0j 0.0185907-0j -0.00632879-0j -0.0015611-0j 0.000531444-0j -0.0720006-0j 6.64299e-06-0j -2.26146e-06-0j -0.00013854-0j 0.0713023-0j -0.209449-0j 0.0152405-0j 7.70161e-06-0j 6.50877e-05-0j -2.21577e-05-0j -0.00135741-0j 0.0141515-0j -0.00414976-0j 0.0196047-0j -0.00299546-0j -2.09704e-06-0j 3.77225e-05-0j -1.51372e-06-0j -0.0342948-0j 2.72295e-05-0j 0.000369604-0j 0.000266794-0j 5.84511e-05-0j 0.00674051-0j -1.59154e-05-0j 0.00933798-0j -1.14884e-05-0j 
-0.0512706-0j -2.59091e-05-0j -0.00159024-0j -0.584398-0j 6.25107e-05-0j -0.0036918-0j -0.0178098-0j 0.000310009-0j 0.00149554-0j -0.0420802-0j -1.31919e-06-0j -6.36398e-06-0j -8.09688e-05-0j 0.200652-0j 0.041593-0j 0.00890719-0j 4.50115e-06-0j -1.29253e-05-0j -6.2354e-05-0j -0.000793329-0j 0.00970492-0j -0.00244578-0j 0.0115546-0j -0.00205425-0j -1.23595e-06-0j 2.22328e-05-0j -1.0381e-06-0j -0.0200433-0j 1.86737e-05-0j 0.000217836-0j 0.000182965-0j 3.41613e-05-0j 0.00462257-0j -9.3802e-06-0j 0.0055036-0j -7.87859e-06-0j 
-0.000253856-0j -0.00175877-0j 0.000750129-0j 6.25107e-05-0j -0.618429-0j -1.82792e-05-0j -8.81818e-05-0j 0.0213121-0j 0.102813-0j 4.50115e-06-0j -8.95493e-05-0j -0.000432001-0j 3.81935e-05-0j -5.19616e-06-0j -1.07711e-06-0j -0.00642744-0j -0.0445306-0j -0.0008774-0j -0.00423273-0j 0.000374219-0j -1.0381e-06-0j 0.00176488-0j -1.23595e-06-0j 0.00148235-0j 0.0122275-0j -1.04874e-05-0j 0.0102701-0j 2.05449e-07-0j -8.80854e-06-0j -0.000102755-0j -8.63057e-05-0j 0.00231895-0j -4.73824e-08-0j -0.000636749-0j -5.64131e-08-0j -0.000534817-0j 
