0.000270919-0.0387389j -0.00716532-0.0482104j -0.00915774+0.00981106j 0.00998846-0.0389614j 0.0081792+0.0285717j 0.00546963+0.0140674j -0.0392077+0.0545261j -0.00787448+0.0372224j -0.0084388+0.0163393j 0.00713257-0.0653438j -0.0419432-0.0157919j 0.0147691-0.0608854j 0.00733407-0.00868349j -0.0121129+0.00722302j -0.0162898+0.038497j -0.0463193+0.0574363j -0.0047148-0.000786482j 0.0137129-0.0234524j -0.0159763+0.0314867j -0.0099274-0.00668794j 0.011965-0.0165949j -0.000389763-0.0244275j -0.0122314-0.0272443j -0.000787843+0.00577969j 0.00824439+0.00303728j -0.0254781+0.0339775j -0.0131114-0.0080687j -0.0195233+0.0379259j 0.0341593-0.0378496j -0.0229415+0.0206006j 0.00724471-0.00225926j 0.000244744+0.0136334j -0.0353358-0.00285166j 0.0114544+0.00829j 0.0224118-0.00552121j 0.0414077-0.000763726j -0.0326784-0.0511205j -0.0307963+0.0283618j 0.0231164-0.00441399j 0.0168374+0.0241016j -0.0229865-0.0157995j 0.00820353+0.0227035j -0.00305951-0.0362309j 0.0106832+0.0055594j 0.0294971-0.0450762j 0.0360568-0.010517j -0.0308636-0.00353928j 0.00633917+0.0351994j -0.00811885-0.0302103j -0.0751914+0.0753719j 0.0877409-0.0373639j -0.109468-0.0243583j -0.0248089+0.0860221j 0.0175188+0.0195301j 0.0377223-0.0488812j -0.0258392+0.00222451j 0.0237542-0.0657418j -0.154911+0.145635j 0.14525-0.115092j -0.113633+0.168025j -0.111907-0.0135691j -0.179144+0.121795j 0.132773-0.151932j -0.0148222-0.0148256j 0.0137088+0.0235984j -0.0585544+0.0710201j -0.0389103+0.0601086j -0.00255148-0.012058j 0.101505-0.179996j -0.118941-0.0413573j 0.134529-0.164745j -0.0629658+0.0428697j 
-0.0250719-0.0110068j 0.0545841-0.0256795j -0.0256289+0.0285664j -0.00209163+0.00106222j -0.0127589-0.00665748j -0.0281604+0.0185376j 0.0152212-0.00715925j 0.0148626-0.0428165j -0.0103402+0.00903274j 0.0939945-0.0507339j 0.00621099+0.0232489j 0.0458288+0.00462953j -0.0338098-0.0250729j 0.0294449+0.0147289j -0.0230604+0.0562582j -0.0321424+0.0347946j 0.00961571+0.00402998j 0.0273966+0.0264266j 0.0500236-0.0289307j -0.046358-0.0270365j -0.0188766-0.0452482j 0.00373954+0.0327476j -0.0035159+0.0323607j 0.0248113-0.044645j -0.0746903+0.0464801j -0.00643923+0.0151136j 0.0181565+0.0661596j -0.00540116-0.0195901j -0.0238843-0.062911j -0.00616083-0.0438361j -0.0236221-0.00847903j -0.0703851-0.0255665j 0.0087656+0.00481823j -0.0109915+0.00356912j -0.134528+0.0213572j -0.107659-0.0125568j -0.00633229-0.0255179j 0.0189404+0.0477532j -0.0725344+0.127394j 0.0515828-0.0327112j -0.0932008-0.18787j 0.0647523+0.0253652j 0.0712+0.022175j -0.0515401-0.00475833j -0.0491507+0.0452858j 0.0155326+0.0491741j 0.0366785-0.000232453j 0.0650353+0.12279j -0.0124352+0.116503j 0.0507257+0.00668017j -0.0260482-0.0147073j 0.10559-0.000789108j -0.0902002+0.0369857j -0.00784669+0.0238281j -0.0636589+0.00695153j 0.0126065-0.0935036j 0.00606068-0.030045j 0.0724574+0.0769171j -0.0295165-0.0352481j 0.0473458+0.187677j 0.0237087-0.0609346j 0.151636+0.0643571j -0.0760793+0.00670214j 0.0319182-0.0443545j 0.00341974+0.0682198j 0.0337974+0.010059j 0.0151698-0.0601073j 0.0313113-0.00778419j 0.0158978-0.0798902j 0.0904576+0.0235257j -0.0729627-0.0471389j 0.043519-0.0303462j 
-0.0228366+0.0286365j -0.000128829+0.00939542j 0.00984548-0.000137289j 0.0275837-0.00294876j 0.0400345-0.00614949j -0.0208261+0.0350644j 0.017544-0.0289429j 0.0407807+0.0126202j 0.0118717-0.0566615j 0.0346338+0.0126283j -0.0115494+0.00517649j -0.0316482+0.0661116j -0.0318855+0.0392265j 0.0751672-0.0155332j -0.0149304-0.00738294j -0.0177736+0.000733827j -0.0179153-0.0214048j 0.0282912+0.0111312j -0.050146-0.0107287j -0.0333886-0.0236244j 0.00332195-0.0442301j 0.0631055-0.0139052j -0.00812489-0.0229922j 0.0421752+0.00796936j 0.0349615+0.0528704j -0.0625412+0.0313218j -0.00695958-0.0661425j -0.0634657-0.0435636j 0.0631828-0.0177229j -0.0522399-0.000241221j 0.0153683-0.00290119j 0.131645-0.0977708j 0.0482874-0.0155072j 0.0202562-0.02817j 0.0248215-0.0928686j -0.0559766+0.040386j -0.0173904-0.0900451j 0.00983246+0.0846122j -0.114107-0.0877451j 0.0938949+0.0304205j 0.0853897+0.0543761j -0.00299543+0.0304869j -0.0913877+0.0236583j -0.00125855+0.0224549j -0.0459848-0.102649j -0.152457-0.00888614j 0.0300393-0.0739661j -0.0826959-0.115464j 0.0218893-0.12668j -0.00745904+0.0028847j -0.0387706+0.0403937j -0.0732579+0.00551947j 0.111223-0.0705447j -0.0093495-0.0382158j 0.089217-0.00932579j -0.00931625+0.119681j -0.0300372-0.0250431j 0.0617246-0.0113068j 0.00644896+0.00988911j -0.0966291-0.034759j -0.0822046+0.0613343j -0.0491427+0.0297688j -0.00946938+0.00951195j 0.0237818-0.000801703j -0.0402781-0.0260231j -0.0294089+0.0535465j 0.0645394+0.0313155j -0.0145776-0.0336404j -0.0489159+0.040308j -0.0206772-0.0189026j 0.0293618+0.00950896j -0.0330944+0.0395369j 
-0.0178503+0.00967301j -0.0281256+0.0196331j 0.0610718-0.0303789j 0.0317889-0.00578276j 0.0257355+0.0144368j -0.0673408+0.0263172j 0.00996062-0.0225571j 0.0297028+0.0146288j 0.0259074-0.0390993j -0.0413179+0.0102344j 0.00200614-0.0128016j -0.0883684+0.0172731j 0.0628263-0.00904983j 0.0711517-0.00784917j 0.0160547-0.00932268j -0.0109518-0.0525621j 0.0168306+0.0361546j -0.00662755+0.00396713j -0.0691937+0.0188611j -0.110483+0.0415527j -0.0710637-0.0141334j 0.0575086-0.013734j 0.0334188-0.0682519j 0.0325731-0.0214141j -0.052978-0.0485464j 0.033338+0.0511978j -0.0739967-0.0476106j -0.0756626-0.00485621j -0.00862118-0.0533751j -0.0115381-0.0982609j -0.0319629-0.0673697j 0.0329965-0.00486604j 0.165943+0.00305854j -0.00346681-0.0727554j -0.0276281+0.0117385j 0.0887223-0.0597643j -0.0978183+0.072553j -0.0454472-0.110198j 0.0192598+0.094586j 0.043964+0.0183217j -0.074362+0.02481j -0.0833815+0.0445063j 0.0377924-0.149248j 0.0244597-0.0356836j -0.0212317-0.0605885j 0.0244481+0.0402785j -0.00710318-0.132498j 0.138095+0.133248j 0.0707335-0.0545276j 0.00667332+0.0955234j 0.0680778-0.0335176j -0.0213555+0.121701j -0.0983198-0.0205076j -0.0239102-0.0543617j 0.0805651-0.151537j -0.0240464-0.00375207j 0.00970251+0.0659405j -0.081912-0.0532131j 0.0727997-0.0105219j -0.0423513-0.0782381j -0.00677566+8.06131e-05j -0.0392727-0.0292015j 0.0913293+0.0198233j -0.0262329+0.0499396j 0.0253329+0.0441908j -0.022261+0.0166459j -0.035144+0.0602033j 0.0713447+0.0279636j -0.000388724+0.00164252j -0.00972172+0.010391j 0.038987+0.0256781j -0.0250489+0.0155498j 
0.00441397-0.012796j 0.00328819-0.0172604j 0.0125669+0.0197537j -0.00350229+0.0239575j -0.018759+0.0193442j -0.0128934-0.00848077j -0.0304175-0.0350573j 0.00734917+0.0267595j 0.00619688+0.0359836j -0.034501-0.0453138j 0.0272576-0.0269221j 0.00232078+0.0379379j 0.0199298+0.0421599j 0.0385293+0.0412203j 0.00713173+0.0212151j -0.0291311-0.00201926j 0.0728263-0.0060165j 0.0129903+0.054635j -0.0208137-0.048984j 0.0006943-0.0133369j -0.0513944-0.082115j 0.0387115-0.0228366j 0.0345106-0.0689254j -0.00671141-0.0354354j 0.00861115-0.0308733j -0.0126115-0.0673413j 0.0360202-0.00118672j -0.0685636-0.0854595j -0.0242688-0.162962j -0.0284584-0.0524443j -0.0827837+0.0308805j 0.0446466-0.0762218j -0.0452121-0.00360524j -0.0250434-0.0436793j 0.0262928-0.0236549j -0.0940881+0.0180932j -0.0290573-0.0462732j 0.0616127-0.0515618j -0.0967318+0.0139173j 0.0828892+0.0563775j -0.0745239-0.0125955j -0.0226745+0.0585405j 0.0532056-0.0672717j -0.0304186+0.0230044j -0.105055-0.00422323j -0.176072+0.0869473j 0.0397958-0.075873j 0.114198+0.070822j 0.0800016-0.0388174j -0.0450972+0.0406533j 0.00970375-0.00566691j 0.026253+0.0594734j -0.0333375-0.0688628j -0.0850745-0.072112j -0.0663653-0.0562712j 0.00902727+0.0247629j 0.0848663-0.00380819j -0.0472452+0.0269154j 0.0942956-0.0717323j -0.0794294+0.00288211j 0.00356263+0.0721232j 0.0520635+0.0378846j 0.0568256+0.00817268j -0.00267715-0.000814509j -0.0360056+0.0520021j -0.00961538+0.103046j 0.0739121-0.0179801j 0.0211392+0.00544293j 0.0439165-0.00965808j 0.0265677+0.0215009j 0.0428559-0.0102996j 0.00968404+0.0420626j 
-0.00998376+0.013452j -0.00287678+0.00214935j -0.00222201-0.013396j -0.0201595+0.002525j 0.0148444+0.025925j 0.0200099+0.0115195j 0.0231036-0.015605j 0.0278175+0.0697365j -0.0105878+0.00390798j 0.0626163-0.00331651j -0.00477544+0.00823293j -0.0425225+0.0481652j 0.00282564+0.0299265j -0.0567877-0.00728718j -0.00142915-0.0423737j -0.0124131-0.0622285j -0.0380623-0.0203581j -0.0107029+0.018123j -0.0186255-0.0631429j 0.031359+0.0153693j -0.00273932-0.0582078j -0.0570574-0.0597729j -0.0179257-0.129355j -0.0183492-0.035433j -0.00709948+0.0195997j 0.00282097-0.0309314j -0.0433372-0.0985354j 0.0471768-0.0252913j 0.103345-0.0318268j 0.0182892-0.0739146j 0.0142956+0.0330729j 0.0100294-0.00294894j 0.0339715+0.00515777j -6.46501e-05-0.0234911j -0.0921749+0.0264095j -0.0838867-0.0125342j 0.0428138-0.0497551j -0.0696742+0.048436j -0.0182926-0.056873j -0.0139626-0.030025j 0.0344764-0.0564903j 0.0921167-0.0383399j -0.0998595+0.0747071j 0.0373631-0.0238447j 0.0180676-0.00208406j -0.00705203-0.0900248j -0.0956123-0.0683556j 0.0556215-0.0768176j 0.0031634+0.0905857j 0.0312489-0.0162697j -0.0473741-0.0225977j 0.0814532-0.0717277j 0.0398858-0.0193061j 0.0607559+0.00538858j 0.0626447+0.0879004j -0.0806203-0.00619968j 0.000131816-0.0404403j 0.0429319+0.091029j 0.0090877+0.00277574j -0.0627976-0.0592167j -0.0306514-0.00675592j 0.00846572+0.0036829j 0.0130618+0.0462225j 0.0690778+0.00471486j 0.083773-0.0249901j -0.0567436-0.0188035j 0.017596+0.0600174j -0.0112775-0.0700895j -0.028079-0.000842646j 0.0440632+0.00463441j 0.028773+0.00238531j -0.00901673+0.00434297j 
-0.00774448+0.00911372j 0.00429261+0.0371663j -0.00665811-0.00226921j 0.0246821-0.000838771j 0.00184344+0.0080032j -0.026218-0.00560435j -0.00182355+0.0210179j -0.00607892+0.0217405j 0.0479881-0.0291877j 0.0116295+0.0380329j -0.063335+0.0507802j -9.88186e-05+0.016676j -0.0168882-0.0938031j 0.011878+0.00925715j -0.0388976+0.0230363j 0.00348883+0.0217086j -0.00188127+0.0121213j 0.00475457-0.0102802j 0.0706681-0.0210876j -0.0178415+0.0350119j -0.0504151+0.0221477j 0.0744973+0.0195997j 0.0209712-0.00230929j 0.00924015+0.0275259j -0.0587245+0.0288233j -0.0743825-0.0756094j 0.0559213+0.0582038j -0.115228+0.0181186j 0.101809+0.00923848j -0.0423969+0.019059j 0.031566+0.0697159j -0.0298604+0.195046j -0.0228518-0.0401815j -0.0151453-0.0470842j 0.0218858+0.0390376j -0.0512305-0.132311j 0.144295+0.0199369j -0.0515746+0.0821403j 0.138463+0.00892264j 0.0996741-0.00306744j -0.0925114+0.138733j 0.0062442-0.0277909j 0.0648528-0.0998278j -0.0814338-0.0406732j 0.0863003-0.00857426j 0.0460148-0.076627j 0.262433+0.00167955j -0.00412983+0.0636019j 0.0876609-0.101022j -0.0380335-0.0559539j 0.00786248-0.0366299j -0.0263879+0.0414039j 0.0280794+0.00905292j 0.0409142-0.0168632j -0.00406813-0.0730665j -0.0486946+0.00276105j -0.0209796+0.0365664j -0.0473674-0.0156942j -0.0545829-0.0173726j -0.0295961+0.0772029j -0.0235214-0.000272334j 0.0100188-0.0175321j -0.0250367-0.0684495j -0.0520141-0.0719538j -0.0910577-0.0226233j -0.0216164+0.0299874j -0.0419815+0.0379747j 0.0136029+0.0375117j -0.0219083+0.0107328j -0.0188544-0.0170431j 0.00295592-0.0460659j 0.0229492-0.00188041j 
0.00186952-0.0131188j 0.0277305-0.0186564j -0.0231079-0.00402155j -0.0379059-0.00559811j -0.011349+0.000627686j -0.0189867+0.000534857j 0.0329771+0.0235087j 0.0207355-0.0170445j -0.0494118+0.0336126j 0.012524-0.0344957j 0.0445584+0.00381469j -0.00293569-0.0057175j -0.0417832-0.0377339j 0.00335612-0.0180651j -0.0204256-0.0240856j -0.0676301-0.000922518j 0.0316181+0.0236631j -0.0369405-0.0259081j 0.0171305+0.014327j -0.00216299+0.0178493j 0.0494884-0.00127039j -0.0104726+0.00608091j -0.059509+0.0197724j -0.00888026-0.00283578j -0.0410678+0.0662629j 0.0722938-0.057974j 0.0267915+0.0336304j 0.0392182+0.0139614j 0.0431705+0.0622837j 0.0792583-0.0207763j 0.081349-0.00745861j 0.115111+0.131103j 0.0419037-0.10014j -0.0775398-0.0143072j -0.0191165+0.0811737j -0.108433-0.0144626j 0.0281272-0.11206j 0.0917352+0.0955761j 0.00553474-0.061013j -0.0037019-0.0785341j -0.222457+0.151373j -0.0961484-0.0804525j -0.0443057+0.0461058j -0.206689-0.0254145j -0.0161541-0.065043j -0.0865801-0.0246036j -0.0620226+0.00872657j 0.077448-0.116652j 0.026229-0.104389j -0.0492187+0.0276455j -0.0576517-0.0803004j 0.0910888+0.0822693j -0.071999+0.0995289j -0.00201388+0.0486902j -0.043952+0.0206546j 0.0428985+0.00626649j 0.0145713+0.0346546j 0.0346527+0.116223j -0.00447338+0.0402335j 0.0128627+0.00156982j 0.00428693-0.00511191j 0.0576576-0.0333633j 0.0315947+0.0139552j -0.0100994+0.0208184j 0.0058752-0.00719985j -0.0146149+0.0217548j 0.0250034+0.0338983j 0.016802+0.00198785j 0.0476301-0.0465179j 0.0620454+0.0504777j -0.0209241-0.00841962j 0.0148164-0.0272082j 
0.00977432-0.0168543j -0.00793072+0.0044315j 0.0322134-0.00170439j -0.0283442-0.0106106j -0.0559956+0.0201322j -0.0643605-0.0735115j 0.00537389+0.0421455j -0.018985+0.0277715j 0.004625-0.0152351j -0.0558427-0.0269705j 0.00475581+0.0107236j -0.00303114-0.0484037j -0.000429436-0.00239034j -0.0122483+0.0266481j 0.102092-0.0163448j 0.0411633-0.0765478j 0.0786181-0.00044244j -0.085737-0.00336773j -0.0119553-0.056406j -0.100458-0.09943j 0.0695636+0.037623j -0.0409516-0.0640809j 0.0629267-0.0249392j -0.0418848-0.0302656j 0.00631924-0.0893653j -0.0267599+0.00488102j 0.121132+0.0187651j 0.0428911-0.0537311j -0.0400851+0.0141257j 0.0576348+0.00545046j -0.0121499-0.016842j 0.0616489+0.0923223j 0.0331807+0.109384j 0.0239478+0.0521544j 0.0470959-0.0329757j -0.0508675-0.0894947j 0.0466993-0.000705472j -0.0184695+0.0147581j 0.0465233-0.106018j -0.00553219+0.115135j -0.0949909-0.093789j 0.0478913+0.0766007j -0.0852047-0.0245479j -0.012518-0.0155072j -0.0171968-0.0925169j -0.0268228-0.0620005j -0.0067831-0.0709704j 0.078411+0.172429j 0.0440208+0.0550942j -0.072075-0.00433653j -0.0215681+0.00393582j 0.0321031+0.00677575j 0.041892-0.0790499j -0.0180955+0.00494291j -0.031135+0.0321662j -0.0363167-0.0231968j 0.0146396-0.0173436j -0.0493823-0.0164443j -0.0811052+0.00690162j -0.0431076-0.000219755j 0.0564531-0.0313879j 0.0799096+0.0499847j -0.00385963-0.0222755j 0.0835236+0.0364444j 0.0253051-0.00346782j 0.0190546-0.0457996j -0.010103-0.0297625j 0.0155322+0.013213j -0.00737077-0.00675531j 0.00214794+0.0229298j 0.0104331-0.0202005j 0.0491055-0.0102549j 
0.0121741-0.0114573j -0.007318-0.01196j 0.0475385+0.0139761j -0.0146943+0.0153848j -0.0156071+0.0302068j 0.0360568-0.026319j -0.0147367+0.00932899j 0.057143+0.0444921j -0.0172398+0.0646348j 0.0260872+0.00275578j 0.0215567-0.019347j 0.0123441-0.0051585j 0.069042+0.0150681j -0.0365858-0.0660176j 0.0327731+0.0147174j 0.0235487+0.0225038j -0.0293339-0.0580631j -0.000945473-0.00801385j -0.0380915-0.0588365j -0.00728959+0.0102878j -0.115668-0.0164564j -0.0909419-0.0804375j 0.00420336+0.0134221j -0.0350795+0.00275213j 0.00858067+0.0535377j 0.029384-0.0796006j -0.0521444-0.0497037j -0.0647231+0.0108552j 0.0216594+0.0928159j -0.0717014+0.0784358j -0.0248252+0.120378j -0.0752849+0.0741968j -0.0863527-0.0349943j 0.00785643-0.031539j -0.0536861-0.0224628j -0.0764084+0.026326j 0.128569-0.0415236j -0.0179775+0.0780636j 0.0256924+0.028559j 0.111628-0.051142j 0.116535+0.130217j 0.124976-0.0613934j 0.0388054+0.0347776j -0.0136536+0.0338407j -0.0196907+0.0766411j 0.0293971+0.0203866j 0.0906841-0.0129164j -0.158854+0.00892763j -0.0489161-0.130299j 0.00491462-0.0939983j -0.00515056+0.0842119j 0.0160086+0.0271731j 0.0273363-0.122353j 0.00850692-0.0301941j 0.0683449+0.0133861j 0.0229203+0.029689j -0.0301099+0.0405622j 0.00278668-0.103038j -0.0456194+0.0219013j -0.0560465+0.0090176j 0.0334358+0.0774342j 0.0327084-0.00976269j -0.0592452+0.0222078j 0.00782239-0.0948591j -0.0347584-0.015693j 0.0334523+0.0144747j -0.0119627-0.0328433j -0.0603213+0.0130637j -0.000709577+0.0603106j -0.0143298-0.0108503j 0.0129938+0.00812479j 0.014169+0.00922139j 
0.00864831+0.0129281j -0.0111852+0.0197236j -0.0238172+0.00328955j 0.0210502+0.0276585j 0.0142147+0.0256183j -0.0401062-0.021724j -0.00667901+0.0038448j -0.0361083+0.0286894j 0.0325343-0.0219349j -0.00629336+0.0246811j 0.0167507+0.0226055j 0.0266967+0.00644242j 0.0136842-0.00880965j -0.00514457+0.00298351j -0.0559364-0.0355434j -0.0862658+0.0155935j -0.0376281-0.037166j 0.0579724+0.00523809j -0.0180051-0.0615753j -0.0153915+0.00840917j 0.0528016+0.0267161j -0.0578081-0.054808j -0.0378176+0.0191876j 0.020878+0.0214203j 0.0355658-0.024519j -0.0638741-0.0457951j 0.049398-0.0491779j 0.0851375-0.00251167j -0.0959478-0.0102065j -0.0175762+0.0450303j 0.0447681-0.0497786j 0.0704943+0.0327714j -0.0694245+0.00803832j 0.0305152+0.0451752j 0.0788463+0.00492103j -0.0994606+0.0739485j -0.00572942-0.0928303j 0.0644705-0.0204848j 0.0300146-0.11263j -0.0475203-0.0343529j 0.028978+0.211911j -0.0258364+0.00661005j 0.158017+0.0711248j -0.075542+0.163638j -0.0672711+0.0373384j 0.0456655-0.00794873j -0.0247315-0.00320584j -0.0644325+0.0108384j -0.036644-0.0132506j -0.0630543+0.0306873j 0.0470808+0.0111254j 0.0296346-0.0608615j -0.00270109+0.0250915j 0.0823688+0.00851711j 0.0612395+0.0429557j -0.0388125-0.0568393j -0.00733085-0.019835j -0.0104924+0.0332045j 0.0131788-0.0164821j 0.00438308+0.0322588j 0.0183187+0.0628638j -0.0203417+0.00281551j 0.0182488-0.0416097j 0.0148726+0.0290964j -0.00141905-0.0034087j 0.0129041-0.0485135j -0.0476441-0.00531153j -0.0109801+0.00640536j 0.00959855-0.0163307j -0.000944387-0.000781126j 0.02143-0.0177804j -0.00904349+0.0300874j 
-0.00096667-0.0321784j -0.0161521+0.0131087j -0.0198773+0.0409374j -0.0231662-0.0152147j -0.0287156-0.0325204j 0.0393973-0.0646878j 0.0157417-0.00129007j -0.00396868+0.0377791j 0.0457245+0.00757281j -0.0345331+0.074525j -0.0154035-0.0234553j 0.000692844-0.0230133j 0.0184646+0.0224046j 0.00558851+0.0219375j -0.035892+0.0521607j 0.0646167+0.0165826j 0.0207645+0.0478623j -0.0482737-0.00494455j 0.131429-0.0300957j 0.0614402-0.0340588j -0.0300167+0.0071561j -0.00240929-0.0316107j -0.00812801+0.0815264j 0.0327773-0.0534084j 0.0141389-0.0293938j 0.00181145-0.108593j 0.0497087-0.00292903j 0.0924108+0.0453588j -0.05365+0.0785764j 0.0484635+0.10741j 0.0225372+0.0768058j -0.0106803-0.0631856j -0.0455106-0.00541877j 0.0051472-0.0675826j -0.0840028-0.0682477j -0.0672405+0.0368198j -0.0941034-0.0450703j 0.0363116-0.065548j -0.0821387-0.130969j -0.0553638+0.0435176j -0.105766-0.0405112j -0.120443+0.0543097j 0.113815-0.0954281j -0.0231794+0.0361044j -0.0654728+0.0316888j -0.0582388+0.0584583j 0.105102+0.0255215j 0.0128299+0.0187696j 0.0357216-0.031648j -0.0504022+0.0671191j 0.054484-0.0632286j -0.0672169+0.114008j -0.00924091+0.0310524j -0.0493116+0.0457344j -0.0268069+0.0497777j 0.0384569+0.0147687j 0.0181293+0.0222482j -0.00844319+0.0927326j 0.00805038+0.0268251j -0.0182772-0.0926512j 0.00872552-0.0433417j 0.0611707-0.0222336j -0.0181669+0.0355039j 0.0231796-3.9875e-05j -0.0490279+0.00654226j -0.0240185+0.0162715j 0.0294214-0.0152996j -0.00182319+0.007093j 0.0265684-0.0128118j -0.0279565+0.0518944j -0.0147629+0.0260237j 0.0130959-0.03033j 
0.0116567-0.0227904j 0.0367375-0.026384j -0.0267463+0.0343412j -0.0121946-0.00646714j 0.0115032+0.011629j -0.00934014+0.00803275j 0.0322781-0.00879738j 0.0453274-0.00516549j -0.0399001+0.0288728j 0.0320574-0.0107051j 0.0835454+0.0487076j 0.0488208-0.064945j -0.02246+0.0541027j 0.00347647+0.0352606j -0.0334059+0.0716909j -0.0590687-0.0248816j 0.00200138+0.00281929j 0.0120237+0.0526083j 0.028253-0.0640656j -0.026804+0.0186957j 0.0210414-0.0413174j -0.117972+0.0326595j -0.0915654+0.0833633j 0.0398475+0.0233708j -0.11456+0.075156j 0.0344531+0.0734531j -0.0273361-0.0343314j 0.0837233-0.0134131j -0.0614892-0.0659635j -0.0189341-0.0597765j -0.0149428-0.0949869j -0.0108866+0.00881361j -0.0519168+0.0721617j 0.0692028-0.00329374j 0.102655+0.0193267j 0.0142848+0.0142428j -0.00651213+0.0237797j -0.0446207-0.0217454j -0.0798419-0.0104128j -0.0414222+0.0386785j -0.0656778+0.160285j -0.0392925+0.0405186j 0.111945-0.0606949j -0.0581281+0.0860258j -0.042304-0.108717j -0.00279923-0.0601051j -0.0180417-0.0432878j 0.00602127+0.0653859j -0.0154744-0.0296357j 0.0713937+0.0817365j 0.00758011-0.0165396j 0.0328792+0.0577422j -0.0909948-0.0869772j -0.0626835-0.0887361j -0.0673669-0.0470773j 0.0299312+0.0367593j 0.0240796+0.0191078j -0.0245019-0.0231101j 0.00625571+0.0559711j 0.0402515+0.0535379j -0.0073725-0.0325738j -0.0189025-0.00787843j 0.00138466-0.0168221j -0.000959223-0.0277628j -0.0459313+0.0020436j -0.0309962+0.0411466j 0.0142144+0.043512j 0.0131724+0.0461626j 0.0473288+0.0107119j 0.0247737+0.0123857j -0.0254813-0.0169429j 0.0110306-0.0187602j 
-0.00250661-0.00706654j -0.00245628-0.00838609j 0.0056126+0.0183415j 0.00955945+0.0283065j 0.00253633+0.0269263j 0.0259303+0.00460056j -0.0456164-0.0119878j 0.000913664+0.0146178j 0.0217512+0.0333709j 0.00479621-0.0105737j 0.0172516+0.0439337j -0.0622688-0.0237639j 0.0245257-0.0139841j 0.0176454+0.0196233j 0.0036731+0.00881144j -0.0177974-0.0378286j 0.0331549-0.0427453j 0.00108109+0.0191607j -0.0439792-0.0740339j 0.104801-0.00787652j -0.0252951-0.0464129j 0.0250668-0.0772149j 0.0477343-0.0791156j 0.0828233+0.058641j -0.014894-0.0620238j 0.106274+0.129156j -0.0542064-0.00564424j -0.00159897+0.0569372j -0.0623692-0.0862019j 0.0176843-0.11607j -0.0771065-0.0441222j 0.0235388+0.04193j 0.0246979-0.0947505j -0.0647958+0.0831067j 0.0205059+0.223338j 0.0906983+0.0583218j -0.00446548+0.133188j -0.0405805-0.0540061j 0.0900444+0.189286j -0.0127534-0.0130032j 0.0390411+0.0534054j -0.0934337-0.0608204j 0.0690091+0.0331459j -0.0267705-0.152753j 0.13436+0.0268304j -0.0451043+0.0263779j 0.0580711-0.0181727j -0.00344607-0.159363j 0.125172-0.0466525j 0.00731863-0.0230187j -0.0327532-0.0103979j -0.0855325-0.0191177j 0.0222496-0.0513146j -0.0305825-0.00837006j 0.0504052-0.0248433j -0.0712498+0.0491964j -0.0179095-0.0119375j 0.00831248-0.0208687j -0.0208726-0.0465734j 0.0227199+0.038232j 0.0248995+0.0408119j 0.00792954+0.0415102j 0.0137191+0.0470054j -0.0332679-0.0271094j 0.0129929-0.0196406j -0.0408397+0.0538846j 0.0106105+0.00177421j -0.0230249-0.0251796j -0.000314386+0.0116087j -0.0114319-0.00949769j 0.00153753-0.0113311j 0.00300077+0.0205604j 
0.000917677+0.000418635j 0.00166515+0.000538651j 0.0306828-0.0111652j 0.00618738-0.000755238j -0.0208318+0.0360998j -0.0286329+0.0570467j -0.00628925+0.0436421j 0.0121947-0.0337815j 0.0342402-0.0406333j -0.0360921+0.00111232j 0.0240276+0.00340836j -0.0415657-0.0206379j -0.0544089+0.00907172j 0.0757459-0.0121377j 0.0296496+0.012253j 0.0360741+0.0218085j 0.0619807-0.0953463j 0.0292986+0.0340223j 0.0484852+0.0642261j -0.0210648+0.0421853j -0.0971022-0.0118814j -0.0230414+0.0770986j 0.103446-0.099593j 0.06453-0.00818371j -0.0692224-0.0290701j -0.0526174+0.0882496j 0.132942-0.0445245j -0.081416-0.06888j -0.0850857-0.0252779j -0.101944+0.0824329j 0.0672-0.128378j 0.0419326+0.0142399j 0.205549-0.106836j 0.1559+0.00645213j -0.0686596+0.0181723j -0.0913782+0.0311858j 0.011799-0.0136153j -0.17685+0.0281159j -0.0606201+0.00617516j 0.0279805-0.0515238j 0.155689+0.153016j 0.0785433-0.103404j 0.0270118+0.152433j 0.122578+0.0334782j -0.117879+0.0630811j 0.136898-0.0182284j 0.127441+0.0756129j -0.00430364-0.0459069j 0.00863135-0.0112107j 0.0353196+0.00940773j 0.107147-0.0077025j -0.0267114+0.0457416j 0.0180829+0.0200964j 0.0261355+0.000494505j 0.0158836-0.0262529j -0.0468287-0.00597599j -0.00426385+0.022691j -0.0292599+0.00445783j -0.0317408+0.0544871j 0.010955-0.0134654j 0.0211233+0.0606814j -0.00496579+0.0285694j -0.0396322-0.0153202j 0.0689344-0.0138805j -0.0688878-0.0185378j -0.00264527-0.00893323j -0.039218-0.0092416j 0.0305822+0.0188919j -0.0120274+0.0071955j -0.0355815+0.0146995j 0.000949181+0.00464145j 0.0157155+0.0104712j 
