-0.145689+0.012361j -0.51322-0.481816j 0.480873-0.504452j 0.00216024+0.10119j -0.037516+0.0336689j 0.132611+0.00355214j 0.0828455-0.00104888j 0.0235869-0.0671294j -0.0108828+0.0857461j -0.00385782-0.0152184j -0.0281396-0.0125831j 0.0237801-0.0255184j -0.00261047+0.00496759j -0.0112017-0.0297922j -0.0105046+0.0177352j 0.0265677+0.0277288j 0.000247682-0.00984723j 0.043934-0.0258792j -0.0015424-0.0208252j -0.00133443-0.00245117j -0.0196024+0.015538j -0.0106189-0.0362087j -0.0240419-0.00852857j -0.0142746+0.00849842j 
0.00562679+0.0287677j 0.0095447-0.0179897j 0.0171031+0.0100295j -0.0136579-0.009913j -0.00634693+0.00136001j 0.00177523-0.00562355j 0.00684559+0.019402j 0.0154628-0.0110283j 0.0357895+0.00254887j -0.0318534-0.00492495j 0.0264141+0.00208838j 0.0223715+0.0327501j 0.0127787+0.0363097j 0.00787355+0.006095j 0.0216676+0.0459239j 0.00347639-0.0085558j -0.0222849-0.065831j 0.02982-0.0209192j -0.0272635+0.0259889j -0.0291501+0.0251543j 0.000392423-0.00769808j 0.0230363+0.00736575j -0.00211553+0.00808283j -0.0100136+0.0118992j 
0.00138356+0.00187312j 0.00721904-0.00509389j 0.00931726+0.00848657j 0.00372583+0.00304233j 0.0131821-0.0143429j -0.00236966+0.038963j -0.00879351-0.0340411j -0.0746774+0.00691525j -0.040893+0.00147537j -0.000811607+0.00164545j 0.0111328+0.00830826j -0.00174341-0.00309493j 0.00192241-0.0141233j -0.00728839-0.00325683j 0.00635379+0.0224542j -0.0131101+0.00919147j -0.0124462-0.0259367j 0.00110508-0.0091852j -0.00796325-0.000290352j -0.0229371-0.0250505j -0.00233885-0.00257914j 0.0185899-0.00245258j 0.00665983+0.00111363j -0.0112+0.0110892j 
-0.00665493-0.0128897j 0.00521187-0.018582j 0.0152818-0.00051891j -0.0316846+0.0186615j -0.0483843+0.0222365j -0.00625879-0.00654031j -0.0176482-0.0602032j -0.0186115+0.0109431j -0.0204464-0.000640138j -0.00701515+0.00498369j 0.00565482-0.0120077j -0.00334107-0.000986614j -0.00229558-0.00232116j 0.00316721-0.0128901j -0.00164655-0.00439725j 0.00200605+0.00397749j 0.0118342-0.00397795j 0.0398673+0.0383566j 0.00139676+0.0416214j 0.026401+0.124585j 0.0143064+0.017499j -0.0600871+0.0501783j -0.0386376+0.0170228j -0.0117986-0.0315464j 
-0.000312393+0.00431864j -0.0215766-0.00739401j 0.0083103-0.0203347j -0.011771-9.6186e-05j 0.000564102+0.0212584j -0.00404682+0.00385666j -0.00512013-0.00324735j -0.0101816-0.0216592j 0.00576831-0.00450926j -0.0432477+0.000902483j 0.0428215+0.00444314j -0.00115024+0.019337j 0.0377959-0.00273473j 0.000735274-0.00337189j -0.0260173+0.029562j 0.00527953-0.00161401j -0.098955+0.0122588j 0.0124277+0.0106318j -0.0179821-0.0560257j -0.0356051+0.000551136j -0.0251192+0.0187406j -0.00470255+0.041751j 0.0596228+0.000565258j -0.0612203+0.0191386j 
-0.0025231+0.0395472j -0.00615155+0.00358645j -0.00199715-0.00639663j 0.000414817+0.0101557j -0.00969404+0.00292216j -0.00653158-0.00103337j -0.00375084-0.0196088j -0.0038654+0.00117947j -0.0171544+0.000869484j -0.00195825+0.0143773j 0.0130684-0.00976254j -0.0101731-0.0222853j 0.0147151-0.0286785j 0.00526553-0.00739516j -0.00325546-0.00582159j -0.00971474+0.0154669j -0.0332113+0.0142681j -0.0126885+0.00789662j 0.0124059-0.0408936j -0.0128511-0.00197472j -0.0117285+0.0112658j -0.0237098+0.0193534j 0.0337753+0.00592986j -0.0389357-0.00727749j 
2.18678e-05-0.000717409j 0.0159765+0.0141064j -0.0150046+0.0174997j 0.00157658-0.0258696j -0.00756005+0.0553472j -0.000355208+0.00683915j 0.000668497-0.0148654j -0.00281954-0.0492387j 0.00414122-0.0336835j -0.00476099+0.00190751j -0.0130023-0.00864498j -0.00835759-0.00172202j 0.0186555-0.00585742j 0.0172044+0.00841068j 0.0169549-0.0103848j 0.00776921+0.0216931j 0.0394121+0.0049979j -0.0010176-0.017786j 0.0193604+0.00335504j -0.0252343-0.0111998j 0.0147426-0.0233455j 0.012119+0.00175667j -0.0102552+0.00655052j -0.006001+0.00141341j 
0.00372079+0.0387442j -0.0046299+0.00180633j -0.00405217-0.00318318j -0.0295888+0.00883649j 0.00553817+0.0112434j -0.00342414-0.0191234j -0.00668938-0.00329186j -0.00191018-0.00429155j 0.00129174+0.00153874j -0.0288781+0.00146328j 0.010525-0.00867465j -0.0100838+0.0126606j 0.0225362-0.00844093j -0.00210582+0.00401556j -0.0213143-0.00765204j 0.0124307+0.00402568j -0.024482+0.047002j 0.0136435+0.0238716j 0.0154843-0.0200102j -0.0024217+0.0460281j -0.00744195+0.0141913j -0.0252082+0.0328057j 0.0146951+0.0182968j -0.0271951+0.000460619j 
-0.00385297-0.0140889j -0.00508639-0.0203274j 0.0223758-0.00592567j 0.0191684-0.00919579j 0.00590443+0.0124614j 0.00387029+0.0236412j 0.00737212+0.014855j -0.0047294-0.0156269j 0.0136301-0.0236426j -0.01445-0.0239609j 0.00896466+0.0318646j 0.00159941+0.0301692j 0.0231655+0.029329j -0.00146621-0.0126461j -0.0130213+0.0387967j 0.0022041-0.0048689j -0.0478756-0.0655708j 0.0103983-0.00558832j -0.0557585-0.000435756j -0.0101428-0.0423609j 0.0134266-0.00405084j 0.0353655-0.00211937j 0.0222732-0.0371989j 0.00335466+0.0288047j 
-0.000525779+0.00137517j 0.00761191-0.00849903j 0.0084036+0.0124407j -0.0402333-0.00110207j 0.07944+0.00844022j 0.00838613-0.0384587j -0.00941643+0.0450786j -0.000497202-0.00320324j -0.00326465-5.96093e-05j 0.00233526+0.00694213j 0.00264727-0.00218992j -0.00502782-0.00694195j -0.00559365-0.0179297j -0.0128806-0.00605715j 0.0111555+0.0105189j -0.0106715+0.0137537j 0.0107943-0.0183784j 0.0111006+0.00989816j 0.0028051+0.0218732j -0.00414415+0.019838j 0.00707875-0.000846894j -0.00747239+0.00759736j -0.0148677+0.0111257j -0.00341706-0.00475377j 
0.00434576-0.0107802j 0.0125927-3.05113e-05j -0.00351499+0.0120931j -0.0168692+0.0283135j 0.00424143+0.000168257j 0.00459986-0.025023j 0.00314951+0.00759775j 0.0177138+0.0256359j 0.000743401-0.0172098j -0.0380882+0.0106152j 0.00882363+0.00773212j -0.0248565-0.0125882j 0.115101-0.00225315j 0.0174345-0.0118451j -0.00166322+0.0266367j -0.029316+0.0818633j -0.02619-0.0194755j -0.00706622+0.00822927j 0.0109348-0.0356668j -0.0265147-0.00909531j 0.0730628+0.0134917j -0.0176792+0.0175146j 0.0674069-0.00124976j -0.0394885+0.00448068j 
0.00568293-0.0273826j -0.0160426+0.0101924j -0.011438-0.0164363j -0.0191655+0.0068867j 0.0266264+0.01552j 0.00224994-0.0122878j -0.00874505+0.0174121j -0.00357544-0.00362771j 0.00669629-0.004288j -0.0153554-0.0162112j -0.014365-0.00741724j -0.031192+0.0131926j 0.0212621-0.00580191j 0.00593952+0.0084185j -0.0274507-0.0334473j 0.0233286+0.00677294j -0.0145753+0.0492612j 0.0063744+0.0217916j 0.00950664-0.0324216j -0.00115373+0.023127j -0.00694366+0.0125126j -0.0140177+0.030603j 0.020013-0.000458254j -0.021054+0.0147727j 
0.00120043-0.00828385j -0.00107271-0.0192692j 0.0088474+0.00652683j 0.00594935-0.00662678j 0.00691943+0.00404652j -0.0210159-0.0246544j -0.00377834-0.00343223j 0.0322883-0.0302894j -0.0177736+0.0246381j 0.0142301+0.0848225j -0.00716906+0.0303378j 0.0428486-0.0557107j -0.0398129-0.10062j 0.00150353-0.0103384j -0.0203758-0.00464762j -0.0771557+0.00535504j -0.00261662+0.0359809j -0.00993195+0.00289796j 0.0466256-0.00752888j -0.0049623+0.010958j -0.00974862+0.0575506j -0.0296597+0.00420356j 0.0106536+0.0397169j -0.0200431-0.0175077j 
-0.00340522+0.00286622j 0.00747226+0.00893959j -0.000756236+0.00674248j 0.046338+0.0484654j -0.000591217-0.00153443j -0.0281495+0.0428785j -0.00999058+0.00933587j -0.0159512+0.00658412j 0.0133814-0.00564876j 0.042353-0.0135523j 0.0160409+0.00208777j -0.0447107-0.0572838j 0.0226622-0.0377956j 0.00479133-0.00858141j -0.00392367-0.00435388j -0.00944122+0.0378778j -0.0044754+0.0115604j -0.00331568+0.0126733j 0.0104822-0.0242285j -0.00714258+0.0104683j 0.0166585-0.00949316j -0.0121543+0.0205424j 0.0169762-0.0131891j -0.0153463+0.0119673j 
