-0.176147+0.287569j 0.281251+0.1332j -0.335529-0.579261j -0.0551525-0.231933j -0.521545-0.133849j -0.0602789-0.00665685j -0.00784606+0.0402878j -0.063782+0.0387511j 0.0142228-0.0708671j -0.0293536-0.0293966j -0.00853442-0.00701123j -0.030374+0.00750241j 0.122309-0.0261004j 0.00955773-0.0241638j -0.00563928+0.012939j 0.0123026-0.0240127j -0.00141448-0.0247788j 0.00330668+0.0187022j 0.0172191+0.047428j 0.0168489-0.0152744j 0.0191228-0.0238903j -0.0169069-0.000246389j -0.0282964+0.00787037j -0.0208918-0.00898717j -0.0192887+0.0150323j -0.0137182-6.86475e-05j -0.00553979-0.00268239j 0.000960789+0.00661284j -0.0175242+0.00979292j -0.00882317+0.0117682j -0.0375693+0.0177604j 0.0395972+0.0152092j -0.0218836+0.0186172j 0.00369966-0.0121598j 
0.011004+0.00210914j -0.0099914-0.00388196j -0.00296387-0.00338029j -0.00737551+0.00132901j -0.00619161+0.0211936j 0.0144402-0.00927592j -0.0101522-0.0163795j -0.00586378-0.0178533j -0.0037685+0.0128863j -0.0161054+0.0143266j -0.000615153-0.0357268j -0.00862447-0.0328985j -0.0545059+0.0075895j 0.00218658+0.0244829j -0.0232576+0.0361842j -0.00851563+0.0073068j -0.00976497-0.0371585j 0.0249729-0.0285656j -0.00952244-0.000172035j -0.0183854-0.00201671j 0.0169094+0.00399036j 0.0182252+0.0106732j -0.0183858-0.0158706j 0.01046+0.0233953j -0.0210583-0.00545113j 0.00550733+0.0474045j 0.0316895-0.0186764j -0.00904224-0.0496104j 0.0239642+0.011468j -0.0218786+0.0277537j 0.0211393-0.00959162j -0.0150149-0.00630834j -0.0263268+0.0429617j -0.0491331+0.00978693j 
-0.00180855+0.0079952j -0.00207398-0.00736838j 0.00194755-0.000941126j -0.00713384+0.00299536j -0.0116241+0.0040103j -0.00404014+0.0123637j -0.00600288-0.00489253j 0.00100639-0.00152232j 0.015124-0.0130263j -0.00255103-0.0323002j -0.0141083-0.0306586j 0.0042337-0.0331608j -0.0485456-0.0152729j -0.000709855-0.0012404j -0.022575-0.0189828j -0.0112372+0.0167981j -0.0133971+0.0120144j -0.000305208-0.0499728j -0.0046079+0.0379864j 0.0211005-0.0042743j -0.0436123+0.0132928j 0.00422626-0.00609076j 0.053835+0.0379763j 0.00640875+0.0179673j -0.00779224+0.0255277j 0.0305857-0.00069563j -0.0592514+0.024657j -0.00439065-0.01034j -0.00511925+0.0517483j 0.0980586-0.045082j -0.000323586-0.0286537j 0.0432423-0.0130447j -0.0293916-0.0587086j 0.111411-0.0618414j 
-0.00465481-0.000282744j 0.0155952-0.00844867j 0.00483088+0.00150853j 0.0238885-0.0134233j -0.00750731-0.0133049j 0.00504577-0.01231j -0.0112787+0.00582028j -0.00730934+0.000902608j -0.00709475+0.00702916j -0.0200676-0.00509422j -0.0142754-0.0179851j 0.00093096-0.0118412j -0.030912-0.00924822j 0.00928009+0.0175741j -0.0074346+0.0243528j -0.0122478+0.0223749j -0.00273817-0.0218208j 0.013857-0.00143489j -0.0029385+0.012911j -0.0243492-0.00314195j 0.0131707-0.000445839j 0.0218155+0.00217703j 0.00962629-0.00349519j -0.0216346+0.0244298j 0.00641371-0.00411676j 0.00468569+0.0290877j 0.0100853+0.00666944j 0.0290345-0.0318802j 0.0105131-0.00974002j -0.0183975+0.00219336j 0.026655-0.0385563j 0.034751-0.00973925j -0.00113175+0.0236262j -0.0329944+0.0068477j 
-0.000878795-0.00547827j -0.00461097+0.00297495j -0.00217153-0.00235089j -0.0193617+0.00783471j 0.0100347+0.0099166j -0.00562315-0.0118494j 0.000556259+0.0218348j -0.00200072+0.0227633j -0.0108859-0.00591011j 0.00210388-0.00890113j -0.0126343+0.0275911j -0.0113945+0.000704178j 0.0374846-0.0114334j -0.00359769+0.00146407j 0.0166946+0.00962325j -0.0118221-0.000144062j 0.00971597+0.0136469j -0.0138424-0.0102977j 0.0112164+0.0265923j -0.00389266+0.0140981j 0.0158268+0.0173656j -0.00498895+0.00820013j 0.0330205+0.0655004j -0.00806276-0.00655444j 0.0204343-0.0222809j -0.0125994-0.00544808j 0.0983347-0.00296506j 0.0297695+2.54877e-05j -0.00828239-0.013215j -0.0447968+0.0219451j 0.0138904-0.00720706j 0.0162309+0.0100198j 0.0290988+0.000848854j -0.00467981+0.0341607j 
0.0140372-0.00648154j -0.00242777+0.00977139j -0.00490073+0.000564478j 0.0164973-0.00451184j 0.00303674+0.0142766j -0.00366524+0.0108825j 0.00508827-0.0318662j 0.00692573-0.0249153j 0.00911746-0.00452274j 0.0110058+0.00265377j 0.0239809-0.0162044j -0.0123413-0.0262296j -0.0210515+0.00457439j -0.00454518+0.00771199j -0.0200656-0.0167483j 0.00726108+0.000991739j -0.00993246+0.0105895j 0.00451362-0.0612885j 0.00532511+0.0291413j 0.0420635+0.0167614j -0.0309111+0.0330427j 0.0158401-0.0152274j 0.0137333+0.0192536j 0.0295069-0.00367251j -0.0290071-0.00485012j 0.00490624+0.0141501j 0.0144907-0.017857j -0.0487005+0.0142407j 0.00614254+0.0548221j 0.0646665-0.00161845j -0.000298221+0.0164451j -0.036945+0.0201564j -0.0468255-0.0222643j 0.070911-0.034412j 
0.0016181+0.0185516j -0.00674301-0.000761343j 0.0032807-0.00176779j 0.00847521+0.0161317j -0.0163685+0.00108803j 0.00472566+0.000650236j 0.00308978+0.00539824j 0.00552674-0.0322664j 0.00753634-0.0210894j -0.00993129-0.00497428j 0.0264116+0.0281989j 0.00436973-0.00711153j -0.00339883+0.00247475j 0.00512434+0.00254628j 0.0222686-0.0176151j -0.0322174+0.00452945j -0.000670817+0.00744784j 0.0041862-0.012588j 0.00921596+0.00756692j 0.0200162-0.00157168j 0.00691235-0.0193889j 0.00182524-0.00379558j 0.0131667+0.0137578j 0.00625404+0.00390181j 0.085503-0.0155742j 0.0370483+0.0286866j -0.0341495+0.0546215j -0.0169842+0.00736126j -0.0172499-0.0251491j -0.0107183-0.0329461j 0.0524355-0.0341739j 0.00852498+0.007582j 0.0410406-0.0677029j 0.0269436-0.000334784j 
-0.00916952+0.00252831j 0.00402226-0.0172364j -0.00339094-0.00264985j -0.0125799-0.0129583j 0.00180826+0.00548987j -0.00383826-0.00202096j 0.00325033-0.00677903j 0.00752255-0.0284903j -0.00180104-0.0102408j 0.00046064+0.00366842j 0.024613+0.011376j -0.00919622-0.0211362j -0.0235439+0.0179204j -0.00313065+0.0274852j -0.0112547-0.0059228j -0.0171532+0.0103021j -0.00217402-0.00367787j 0.00543701-0.0177832j 0.0152187+0.0155545j 0.0287797-0.0043074j 0.00714926+0.00948992j 0.032759-0.0172472j 0.0435776-0.0254087j 0.0432286+0.0136386j 0.00750198-0.00276943j 0.0140756+0.0451582j -0.00937932-0.0400191j -0.0655001+0.00725508j 0.0139656+0.0250067j 0.0297962+0.00277587j 0.0460843+0.00215001j -0.0378194+0.0339576j -0.0285769-0.0185747j 0.0257731-0.0277718j 
-0.0156808+0.0230398j 0.036517-0.0127575j 0.0036086-0.00208706j 0.011438-0.00517164j 0.000150163-0.021828j 0.010089+0.0128684j 0.00917997-0.0250787j 0.00612671-0.0148221j 0.0128458+0.000698432j -0.000144671+0.019306j 0.0192953+0.00109369j -0.00142967-0.010709j -0.0100669+0.00822624j 0.00755993-0.000558742j -0.00763817-0.0131765j 0.00790636+0.00634161j -0.0113655+0.0037696j 0.0214053-0.0466891j -0.0197084+0.00664571j 0.0154121+0.0154066j -0.0348632+0.00378458j 0.0149929-0.00250016j -0.0523928+0.00561753j -0.00642229+0.00870053j -0.0121318-0.0198211j 0.00191411+0.0141988j 0.016241+0.0671748j -0.0228548+0.0101322j 0.00130453+0.0106705j 0.0203174-0.0121948j 0.00675099+0.00800677j -0.0311143+0.0135213j -0.0170615-0.00424176j 0.016784+0.00126199j 
0.00750873+0.0109049j 0.014914+0.0153097j -0.00289986-0.0100538j -0.0350058+0.00776217j 0.000540646+0.0341629j 0.0124229+0.00715339j 0.00859191-0.0113649j 0.000256788+0.00455637j 0.00749062+0.00378812j 0.00292705-0.00117533j 0.00368287-0.00230101j 0.00939136-0.000646983j 0.00900048-0.00327799j 0.00461909-0.0115411j -0.0144214+0.00302059j 0.00990221+0.00297191j -0.0106737-0.0174497j 0.00416399+0.034711j -0.0152875-0.0235557j -0.0158337-0.0129458j -0.0150054+0.000774248j 0.00232556-0.011598j -0.042663-0.000575979j 0.0276196+0.0146954j -0.027533+0.0029465j 0.00384317-0.00818931j -0.0266484+0.0330554j -0.00132957+0.00592886j -0.00384349-0.00473203j -0.00251884-0.0183307j -0.00880289+0.00458415j 0.00257056+0.00042756j -0.0149289+0.0130834j -0.0217667-0.00772014j 
0.011575-0.0219959j 0.0107205+0.00873852j -0.00320865-0.000564203j 0.0113063-0.0208795j 0.00810804+0.018278j -0.00472472+0.0179452j -0.00235608-0.0131109j 0.00706475-0.0207525j 0.0120671-0.0161599j -0.007198-0.00751861j 0.0160233+0.00803107j 0.0102038+0.00469522j -0.00333707-0.0151736j 0.00512755-0.00414334j 0.0323313-0.0192232j -0.0117522-0.00519304j 0.00962824+0.00937158j -0.015741-0.00501211j 0.0210358+0.0088045j 0.0193311+0.0125676j 0.00983543-0.0152324j -0.0434869+0.00199884j 0.0186865+0.0253188j 0.0163365-0.0201036j 0.0691135+0.0100974j 0.0194881-0.00426041j -0.0448018+0.026j -0.00248688+0.00973577j -0.0326912-0.0140045j -0.018071-0.0323188j 0.0128615-0.00200036j 0.00634765-0.0094762j 0.0478525-0.0692604j 0.0326442-0.00212084j 
-0.00377926+0.0299778j 0.0277737+0.0182145j 0.00486322-0.010201j -0.023931+0.00346602j -0.0118397+0.0161269j -0.00796004-0.001235j -0.0104408+0.00724064j -0.00152027-0.00719969j -0.00569046+0.00339232j -0.00475205+0.00166536j 0.000900534-0.0039526j -0.00955577+0.0172197j -0.00968167-0.00384205j -0.00356296+0.00419924j 0.0227276-0.00176578j -0.00110841-0.00710475j 0.0154633+0.0193859j -0.0231525-0.0226155j 0.0147472+0.016928j 0.021042+0.0097841j 0.015112-0.00475003j -0.0187392+0.0107143j 0.039733-0.00446989j -0.034987-0.00119036j 0.0241246+0.0116667j -0.00312479+0.00497737j 0.0129834-0.041289j 0.00199715-0.0158623j 0.00557605+0.00581866j -0.00425891+0.0214521j -0.00399091+0.00133539j -0.00529708-0.0064875j 0.0195677-0.00466603j 0.0132751+0.00984316j 
0.00470558-0.0128842j -0.0186287-0.00880263j -0.00558766-0.00064465j -0.0187586-0.00714065j -6.27908e-05+0.00942006j 0.00294384+0.0179834j 0.000576349-0.0173141j 0.0106282-0.0132285j 0.00267215+0.000927878j -0.00528635+0.0126608j 0.015108-0.0103841j 0.00652255+0.0013082j -0.0160787-0.00865761j 0.0107595-0.00231294j 0.0054646-0.0102132j 0.00966291-0.000823405j -0.00732116+0.00142114j 0.0513803-0.0321406j -0.0160409-0.00110808j -0.0141037+0.0184796j -0.00966591-0.0127206j -0.00763585+0.0250773j -0.0317914-0.000117444j -0.0362809-0.0484194j -0.00346539-0.0020809j -0.0064023-0.0198298j 0.00708795+0.0497523j -0.000332491+0.00857574j -0.00588973-0.0026491j 0.00814721-0.0107062j -0.018989+0.0108037j -0.0165136-0.0132177j 0.00493701+0.000374001j 0.00681899+0.010887j 
0.011538+0.0086952j -0.00583503+0.0154973j 0.00370985-0.00218993j 0.0232597+0.00648559j -0.0112519+0.010684j -0.0009312-0.0187285j 0.017373+0.00119619j -0.00117914+0.0276979j -0.0139692-0.00135163j -0.00896786+0.00250717j -0.0100752+0.00129041j -0.0085941+0.000786893j 0.00128687+0.0064269j -0.0132487+0.0135918j -0.00521084-0.00493485j -0.00375761+0.0186858j -0.00779468+0.00263849j 0.0209517-0.007573j -0.0287682-0.00723378j -0.0035998-0.0014865j 0.00925171-0.00524081j 0.0236116+0.00186194j 0.000506627-0.0391625j -0.0103147+0.00182253j -0.0303651-0.0347118j -0.0130636+0.0336946j 0.0282809+0.0286032j -8.96533e-05+0.00445254j 0.0174234-0.0297548j 0.00703801+0.00319283j 0.0328994-0.00823788j -0.00211724+0.0193104j 0.00193162+0.0114135j -0.0158066+0.0181308j 
0.00780632-0.0225329j -0.0030262+0.00956957j -6.98734e-05+0.000546088j -0.00489271-0.00217615j 0.000987297+0.0177893j 0.0192908-0.0169903j -0.0253872+0.0419812j 0.0072033-0.0152612j -0.00226207+0.00856531j 0.0106994-0.00322615j -0.0350265+0.0363547j 0.000207231-0.0118241j 0.00308766+0.018746j 0.00743878-0.0242625j -0.047745+0.0268618j -0.00295215-0.0167467j -0.0275047-0.010031j 0.0556877+0.0211212j -0.011008-0.0214646j -0.0323729-0.0409989j 0.000331861+0.0157486j 0.0930889+0.0244862j -0.0155389+0.00962576j -0.0571921+0.01229j -0.0209201+0.0039235j 0.0222362-0.0020933j 0.0346742-0.0178342j 0.010718-0.0375605j 0.0413586+0.013918j 0.0117997+0.0302754j -0.00405571-0.0467733j 0.029986-0.0154133j -0.0488644+0.0783716j -0.0412816+0.00011072j 
0.00533484-0.0121855j -0.0085224-0.00692405j -0.00308495+0.000196194j 0.00262375-0.00204746j 0.00190619+0.00242842j 0.0254632+0.00635925j 0.00607831-0.00756295j -0.00714672+0.00134533j 0.00817287+0.02j -0.00521879+0.0104394j -0.00122068+0.0051461j -0.0275622+0.0352653j -0.00181572+0.00755643j 0.0128992-0.0126309j 0.0286169+0.0118209j 0.00775321+0.0048045j 0.00182766+0.0330836j -0.0677731-0.0147423j 0.0225663-0.00606165j 0.0430345-0.00307622j -0.00195259+0.00428784j -0.0378433-0.032646j 0.00744862-0.0023998j -0.0257016+0.0687829j 0.00958472+3.21747e-05j 0.00705436+0.0278994j 0.0120149-0.0319136j 0.0146571-0.0418806j 0.0169139+0.0089459j -0.0122019+0.0278739j -0.00814258-0.00910838j -0.000753058-0.00462453j 0.017839+0.0100703j 0.00252822+0.0115913j 
