0.00385995+0.00356869j 0.00740061+0.011122j -0.00049121-0.0017235j 0.00892891+0.0137811j -0.0186138-0.0562983j 0.0030567+0.00801546j 0.00471328-0.0113872j 0.00210561+0.0010846j -0.00736628+0.00766069j -0.000261525-0.0030489j 0.0156797-0.00967443j -0.0627505+0.0102795j 0.00635881-0.00870442j -0.00657157+0.00277972j 0.00081888+0.0093199j -0.00216432-0.00375695j -0.00698842-0.00312581j 0.00708349+0.00587918j 0.0019009+0.00584219j 0.00725143+0.000494722j 0.000822167-0.00439836j 0.00203633-0.00360257j 0.00322686+0.00395508j 0.00216456-0.00420653j 0.00870183+0.0101678j 0.00734223+0.00893652j -0.00959737+0.000560664j 0.006406-0.000358036j 0.0137713-0.00362316j 0.000607276-0.00451361j -0.0317406-0.02005j -0.0211459+0.215195j -0.0365766-0.372092j 0.695689-0.0349034j 
0.179356-0.0803424j 0.0193749-0.0130326j -0.00846116+0.00448747j 0.0200274-0.00814153j -0.0134645+0.00683016j -0.489106-0.0500912j -0.00943156-0.0114709j -0.00719717+0.00931742j -0.0157522+0.00798379j -0.000454347-0.01005j 0.0122682-0.019275j -0.027954+0.042973j -0.377004-0.0827342j 0.066993-0.663672j -0.0285184-0.0131345j 0.0170491+0.0588973j -0.0152062+0.00483821j -0.00734089-0.0174296j -0.00395022+0.00284921j -0.00473688-0.0253516j 0.000894384+0.0146801j 0.000252163+0.0203255j 0.00368842-0.00804534j 0.000783748+0.00108242j -0.000955801-0.0111275j -0.00396123-0.0247221j -0.000863463+0.0105509j 2.68016e-05+0.00668922j -0.00216745+0.00883705j -0.00195379+0.00818291j 0.00243875+0.0407065j -0.000995785-0.00335562j -0.000809899-0.00560255j 0.0126299+0.00367876j 
-0.0182319-0.015085j -0.00999636-0.0129988j 0.00110234+0.00132711j -0.00674458-0.0178308j 0.0494038-0.0194431j 0.0615583-0.00241078j -0.0666888-0.000812315j 0.000161675+0.00221753j 0.0383493+0.00336769j -0.00390743-0.00527787j -0.0673111-0.00315161j 0.0374581+0.0177186j 0.00904854+0.016291j 0.00695464+0.0758052j -0.0348104-0.0259071j -0.00413298+0.0981455j 0.00622163+0.0199607j -0.0216883-0.0235482j -0.00978512-0.0256904j -0.016876-0.0097315j -0.00665749+0.0423332j -0.00737146+0.0462983j 0.00750015-0.0133412j 0.00305078+0.00491046j -0.00511209-0.0324828j -0.00764085-0.0375284j 0.00866007-0.0079661j -0.00533798+0.00621967j -0.0205297+0.0306561j 0.000533251+0.0633146j 0.0101399+0.333792j 0.0431295-0.0446205j 0.00936452+0.0118502j 0.0447039+0.0296774j 
0.0215489-0.0107443j 0.0320274-0.0101333j -0.0108069+0.0134028j 0.0446324-0.00798147j 0.00253468-0.019284j -0.0115375-0.00598058j 0.0123567+0.00306514j 0.0119879+0.000917745j -0.00730198-0.0015015j -0.0270269-0.00157683j 0.0191338+0.00350393j 0.00338704+0.00023869j -0.00520408-0.0015904j 0.000618195-0.0281869j 0.00574191+0.00287865j 0.0047242-0.027037j -0.00170932-0.0126819j -0.00321483-0.0108035j 0.00215312+0.0277425j 0.0039292-0.00275143j 0.00210358+0.0251581j 0.00395526-0.0144671j -0.00254711+0.0276131j -0.000674718-0.0224405j -0.00122899+0.00081868j -0.00229415-0.0153023j 0.00575151-0.169076j 0.00322699-0.129779j 0.0107804-0.0180138j -0.04211-0.0541929j 0.0205965-0.0392539j 0.045634+0.0230806j 0.0129779+0.0148899j 0.0227271+0.0065036j 
-0.00647978-0.0114333j -0.0149887+0.00373066j -0.0233144+0.0141923j -0.0410186+0.0108089j -0.0332181-0.0124542j 0.0329823+0.00134717j -0.0232298-0.00455634j 0.0143346+0.00377684j 0.0131535+0.00328559j -0.00302467-0.00247195j -0.00827687-0.00502574j -0.00549192-0.000727898j 0.00217631+0.0109472j 0.0025821+0.0461768j -0.00935952-0.0136335j -9.1611e-05+0.0575609j -0.00185157-0.00658226j -0.00238509-0.0219329j 0.00556171+0.0168351j -0.00359012-0.031691j 0.000971158+0.0289794j -0.00184759+0.0453472j -0.000814747+0.012201j -0.00847827-0.0175088j -0.00189921+0.00407676j 0.0162582-0.148971j 0.0095357+0.0119059j -0.023345-0.028109j 0.0503508+0.0427132j -0.0130029+0.00370989j -0.00968834+0.0187828j -0.0250955-0.00705027j -0.0233297-0.0152837j 0.0419266+0.00942283j 
-0.00526151-0.00404822j 0.0103085-0.0100405j 0.0331849-0.0130897j 0.0148038-0.000223614j 0.0493906+0.00567527j 0.0123201+0.00120068j -0.0212437-0.00338486j -0.00897238+0.000180533j 0.00926973+0.00291151j -0.003991-0.000111175j 0.000486138-0.00463604j -0.00124282+0.00248013j -0.00134519+0.00205718j 0.0015976+0.0179622j -0.0059521-0.0118085j 0.000570942+0.0406313j -0.00441549+0.0235266j 0.00153865-0.0142554j -0.00502105-0.0330449j 0.00348476+0.01396j 0.00140319+0.0243168j 0.00175702+0.00664937j 0.007381-0.0237988j 0.000460592+0.0459692j 0.0275548-0.134267j -0.00265808-0.0125997j -0.0379877-0.0472412j 0.0567697+0.0271296j 0.022781+0.0294174j -0.0167586-0.0079002j -0.00781981+0.00998011j -0.0236796-0.00115452j -0.0165453-0.0131176j 0.0329651+0.00282071j 
-0.0186664+0.00635641j -0.0391552+0.00324394j -0.0206041+0.00253343j 0.0218704-0.00806928j 0.00184035+0.00022288j 0.00441248+0.00202218j 1.08538e-05+0.000518412j -0.0026003-0.000942291j 0.00569369-0.000253299j 0.00323599+0.0016913j 0.00240618-0.00181913j -0.000440067-0.000570737j 0.00334808+0.00138866j -0.00183428+0.0166693j -0.000842035+0.00473026j -0.00471089-0.00302792j -6.60356e-05-0.00181728j -0.00611653+0.00510384j 0.00251084-0.00689709j 0.000141287-0.00985518j -0.0028404-0.0218911j 0.0141227-0.0191254j 0.0465137-0.072033j 0.0401483+0.0781195j 0.0170718+0.00580489j 0.0203418-0.0435559j -0.0123066+0.0225391j -0.0139653+0.0210473j 0.0444736+0.0278089j 0.0478144+0.0128395j -0.00614184-0.00660347j 0.0042681+0.000471263j 0.00545872-0.00110589j -0.00271321-0.00198416j 
0.00489164-0.00599126j -0.0206198+0.00854097j 0.0441294-0.00661097j 0.0234289+0.00154592j -0.0199262-0.00904008j 0.00907995-7.29456e-05j 0.00145993-0.000764955j 0.00372205+0.00357021j 0.00181462+0.00126137j -0.00212528+0.000215725j -0.0015187+0.00116501j -0.00231501-0.00223078j 2.52889e-05+0.00445317j 0.00137351+0.0118516j -0.00083705+0.000748484j -0.00327254+0.00642939j 0.0213995-0.0258233j 0.00595211-0.0157322j 0.0197287+0.045129j 0.00160353-0.0544195j 0.00144212+0.0118339j 0.0132309+0.0174779j -0.000694956-0.0192903j 0.017207+0.00108793j -0.00864894+0.0292217j 0.00536978-0.00135845j 0.0277195-0.0103792j -0.0198991-0.0201235j -0.00406419-0.00420014j -0.0306755-0.00730025j 0.00121412+0.00481475j -0.0120702-0.00317253j -0.0080404-0.00120071j 0.00146951+0.00189639j 
-0.0123376-0.0021121j -0.00760901+0.000900137j -0.00583055+0.000719993j -0.00514019+0.00336249j 0.00386727-0.000938161j 0.0180552+0.00429655j -0.0132675-0.0041216j 0.00115336+0.00111863j 0.000920119+0.0018744j 0.00123709-0.000682956j 0.00426015-0.00219853j -0.00887986-0.00183528j 0.000693907+0.00631654j 0.00110107+0.034422j -0.000434987-0.0136725j 0.00111075+0.0521782j -0.00762526+0.0121589j 0.0125421-0.0142663j 0.0108831-0.0161641j 0.0157496-0.00742952j 0.00354096+0.0232321j 0.000427147+0.0426476j -0.0191818+0.00265708j -0.0243506-0.0139002j 0.00890795-0.0269182j 0.0110043-0.0238679j -0.0195946+0.00319689j 0.0114393+0.00627549j 0.0394534+0.0158954j 0.00688383+0.00296149j -0.0131189+0.000684398j -0.0372925-0.00332041j -0.024143-0.0105031j 0.0193747+0.0035718j 
0.0185293-0.0096641j 0.014904+0.00531856j 0.0474735+0.00181705j -0.024648-0.00121551j -0.0106351-0.00436162j 0.00554078-0.00130286j -0.00162097-0.00214892j -0.00131112+0.00206987j 8.96252e-06-0.000307462j -0.000212538-0.000104944j -0.00201159-0.000446333j -0.00577674-0.00116654j -0.00120857+0.00153039j 0.00174677+0.000788947j 0.00281911-0.00651023j 0.00172552+0.0190226j 0.0210652-0.00817391j 0.00426523-0.0045108j -0.00744096+0.0347961j -0.0246322-0.00687313j 0.00279018+0.0123109j -0.00722586-0.030471j 0.0164716+0.00506515j 0.00211708+0.0146924j 0.017223-0.0104383j 0.00733392-0.010487j 0.00927079-0.0240372j 0.024956-0.00801262j 0.0259938+0.00552387j -0.0604503-0.0147217j 0.00894912+0.00348727j -0.00297991+0.0010243j -0.00348166-0.00178987j 0.00744536+0.00191155j 
0.00238346+0.00102827j -0.0126281+0.00147807j 0.0182683+0.00132591j 0.0454644+0.00581729j -0.0119555-0.00382585j 0.00090289+0.00210557j 0.000730264-0.000102019j -0.00155721+0.00163834j 0.00598206-0.00101028j 0.00291838-0.000876833j -0.00101384+0.00205975j 0.00215265-0.00139371j -0.00115409+0.00248697j 0.00299404+0.00142767j 0.0066255-0.00409581j 0.000336566+0.00879317j 0.0343779-0.0149675j -0.0449494+0.0212575j -0.00118294+0.0469857j -0.0178022-0.0184152j -0.0242997-0.0412503j -0.0424945-0.000435168j -0.057313+0.054581j -0.0673598-0.0470819j -0.0221781-0.0061566j 0.00219604-0.00935855j 0.0102741+0.00624685j -0.0149923-0.00532653j 0.00546881-0.00211394j -0.000342756+0.0014774j -0.00174693+0.00188895j -0.00420691-0.00378693j -0.00285529+0.00225978j -0.0069008+0.000468983j 
0.0559063-0.00881602j -0.032054-0.00241819j -0.0370671-0.0103616j -0.0168816-0.00555552j -0.00345612-0.00018829j -0.00349846-0.00521246j 0.00631088+0.00193896j 0.00523962-0.00139462j 0.00721752+0.000226945j 0.00897924+0.000695791j -0.0106803-0.00024613j 0.00416954+0.00230858j -0.00055797-0.00517084j 0.00280445-0.0384886j -0.000529312+0.00464939j 0.00574727-0.0240493j -0.0188086+0.0027181j 0.0320162+0.000397502j -0.0782685+0.00900918j -0.0978894+0.0381432j 0.0187017+0.0316398j -0.0572877-0.0669643j 7.12593e-05+0.0320152j -0.0190014-0.012422j -0.00825794-0.00130023j -0.0110446+0.00321039j 0.0157292-0.00419258j 0.0105682-0.00474487j -0.021645-0.00829858j -0.035005-0.00909563j 0.0115613+0.0056854j 0.0190197+0.00279143j 0.0103675+0.00413903j -0.00272602-0.000680056j 
-0.0129268+0.000725177j 0.0374532+0.00144368j 0.019197+0.00649261j 0.00177845-0.00216944j 0.013004+0.00444409j -0.0291948-0.00892822j -0.00460586+0.00412206j 0.00274875-0.00014901j 0.0143101+7.81739e-06j -0.0110586-0.000703951j -0.0146539+0.000128948j 0.0219339+0.00580286j 0.000515488-0.0129713j -0.00234558-0.0627427j -0.00924562+0.0138222j -0.000932706-0.040077j -0.0080462-0.00496644j -0.128291+0.0257748j -0.0296336-0.00912024j -0.0171796+0.0125086j -0.0439329-0.0652181j -0.0152524-0.0249642j 0.0347364+0.00784061j 0.0226996+0.00698628j -0.0100286+0.00854115j -0.0174001+0.00795879j 0.00760023+0.00277769j -0.017386-0.00133007j -0.049635-0.0128512j 0.0202917+0.0058364j 0.00830162+0.00522927j 0.0349477+0.0026249j 0.0222765+0.0110946j -0.0177246-0.0037856j 
-0.00373632-0.00373187j -0.0471692-0.00998292j 0.015339+0.00649876j -0.0185034-0.00709045j 0.00584546+0.00480251j -0.00507303-0.00767762j 0.0209912-0.00510574j 0.0314529+0.00279348j -0.00485212+0.00190859j -0.0100784-0.000448295j 0.00613321-0.00301515j -0.00663075+0.00215969j 0.0117563-0.0120234j -0.0112135-0.0240073j 0.0381838-0.0178509j 0.0445995+0.0472941j -0.178621+0.0196302j -0.00935141+0.00604702j -0.028912-0.062793j 0.0305757+0.0431547j 0.000538706-0.00474662j 0.00696223+0.000897522j 0.0162328-0.00554547j 0.0140053+0.00530748j 0.00893819+0.00120847j -0.00310256+0.00172367j -0.0167858-0.00159451j 0.0100088+0.00182473j -0.00529341-0.000896061j 0.0128041+0.00183017j -0.00458008-0.0050118j -0.0093631+0.00215306j -0.00452445-0.00333362j 0.00595342-0.000190908j 
-0.0351275-0.0119115j 0.0243861+0.00442593j -0.0035626+0.000141482j 0.0158529+0.00147224j -0.0173621-0.00258258j -0.0257201+0.00921043j 0.100297+0.00502975j -0.000701878+0.00169184j -0.0266271-0.00108146j 0.00259145+0.00108941j 0.0363294+0.00266143j -0.0305284-0.00640911j 0.0023191+0.0156521j 0.00458954+0.0508058j 0.239545-0.00363111j 0.0318841+0.0666658j -0.000409766+0.00915609j 0.0267118+0.00479035j 0.012417+0.00075499j 0.0260014+0.00406856j 0.00956212+0.00260627j 0.0126944+0.00221551j -0.00535026-0.00290086j -0.00279643-0.00111457j 0.00768155+0.00347349j 0.010826+0.00550829j -0.0120661-0.00275762j 0.00508308+0.000872901j 0.027078+0.00425129j 0.00736042-0.00120728j -0.00690862-0.0110019j -0.0221363-0.00205627j -0.0108488-0.00607896j 0.00460468+0.00155585j 
0.0995188+0.0120769j 0.0213268+0.00366334j -0.00404706-0.000739491j 0.0159989+0.00238629j -0.0112343-0.00227237j -0.210154-0.011302j 0.0251745+0.00594284j -0.0105645-0.00120458j -0.0243736-0.00308292j -0.000443873+0.000838359j 0.0239608+0.00405719j -0.0253937-0.00578196j -0.260468-0.00277607j 0.0202278+0.0554308j 0.0326144+0.0061545j 0.0068352+0.00229866j -0.00285293+0.000972978j 0.00473004+0.00388529j 0.00486159+0.00123532j 0.0064591+0.00456273j 0.00251351-0.000808305j 0.00445723-0.00101671j 0.00131108+0.00061261j 0.00105644-0.000401968j 0.00116686+0.00168878j 0.000804275+0.00354321j -0.00328798-0.00187841j -0.000122557-0.000285875j 0.00466514+0.00142969j 0.00354369+0.000241266j 0.000400844-0.00295555j -0.00273983-0.00161884j 0.000649258-0.000742775j -0.0015075+0.000343603j 
