-0.70206+0.00507003j -0.1457+0.00562847j -0.712535-0.0156321j -0.00990972-0.0485387j -0.0399854+0.0453286j 0.0406467-0.0154721j 0.0332109+0.0479579j 0.106071-0.0593801j -0.0061491-0.00358078j -0.0474594+0.00652395j -0.000822044-0.00603806j -0.00840563+0.0469576j -0.0192897+0.0103228j 0.00227934-0.0261058j -0.0218398+0.0133423j 0.0101621+0.0154484j -0.0140499-0.00717574j -0.010871-0.0020035j 0.0224925-0.0420427j 0.0121532-0.0197993j -0.0435022-0.00663636j -0.00541454+0.00898164j 
0.00740564+0.00802668j -0.0128123+0.0020057j -0.00679055-0.00310612j -0.00219931+0.0167351j -0.00336533+0.0149446j -0.0103926-0.0211914j 0.0205633+0.0227411j -0.034373-0.0123345j -0.00623764-0.0106736j 0.0149134-0.0091411j 0.0365686+0.0088352j 0.0411336+0.0185948j 0.00598314+0.0170437j -0.0103464-0.0165678j -0.0176367-0.0179417j -0.00358021+0.00813957j -0.0215054+0.0510718j 0.0948952-0.0180156j -0.00168897+0.0282262j 0.035858+0.0444372j -0.0403536+0.0104825j -0.0844707+0.0424863j 
0.0027417+0.0143853j 0.0184923-0.003537j -0.00767691-0.0137614j -0.0113162-0.00850488j -0.000198796-0.0145767j 0.00724953+0.00558968j -0.00275207+0.012127j -0.0131791+0.00817449j 0.00850285+0.000975907j -0.00972584+0.00931845j 0.00180259-0.00588126j -0.00602254-0.00184451j 0.00246547+0.00468294j -0.000756383+0.00374932j 0.0103402-0.0159858j 0.00943837-0.00275703j -0.00446529+0.00631525j -0.00325307-0.0134116j 0.00968448-0.00948114j 0.00792473+0.00352766j 0.01333+0.00603456j -0.00230761+0.0104072j 
-0.0102785+0.00767962j 0.0218595-0.0145096j -0.00125743-0.00143787j -0.00919506+0.0135843j -0.00546629+0.000953148j -0.0159941+0.00120354j 0.0078707+0.0231343j -0.0392379-0.00930572j 0.00352441-0.0208121j 0.00585759-0.0126826j -0.0253377+0.0047632j 0.00195948-0.00731629j -0.0197617+0.00865331j -0.0142261-0.0106699j -0.00573093-0.00264332j -0.048632+0.0279793j 0.00369454-0.0160112j -0.0233753-0.0126359j -0.0229333+0.0480381j 0.00434005-0.0303161j -0.0478601+0.00596028j 0.0480092-0.00440552j 
0.00618148-0.0225831j 0.0234422+0.00807897j -0.00950678+0.0228321j -0.000581223-0.00410466j -0.00621101-0.0212712j 0.00525977+0.000312609j -0.00479324+0.022074j -0.0172733+0.0159554j 0.00649893-0.0152451j -0.0109594+0.000464189j 0.0291293+0.00791389j -0.000580356-0.00617962j -0.00470573+0.0253994j -0.00274143-0.0322602j 0.0169129-0.00969191j 0.0442076-0.0025559j -0.00199139+0.0368672j 0.0493669+0.00491924j -0.00733959-0.00900244j 0.0505581+0.0112303j 0.0221498-0.00846909j -0.0450208+0.0357796j 
-0.0185268-0.00709253j -0.001472-0.0206512j 0.0173726+0.00376558j -0.00568891-0.0202655j -0.0214183+0.0197151j 0.014154+0.00501011j 0.0122136+0.0395702j -0.000483432-0.00255407j 0.0257284-0.00731474j -0.0370906+0.00742744j -0.0111485-0.00249478j 0.00711599-0.00494262j -0.0125005+0.00135983j -0.00837025+0.0182048j 0.0804047-0.00297757j -0.00441274+0.000403825j 0.0224056+0.0351897j 0.0157714+0.0161786j 0.042827-0.0244749j 0.0425935-0.0561633j 0.0161722+0.00859483j 0.0274637+0.012045j 
-0.00703736+0.0329952j 0.0464882+0.00357476j -0.00256951-0.0339404j 0.000772947+0.00028863j 0.000595124+0.00399793j -0.000402073+0.00719288j 0.00436628-0.00212307j 0.00194465+0.000834803j -0.00988836+0.00781623j 0.00286595+0.000117253j 0.00780298+0.00187498j 0.000462497+0.0014998j 0.00902573-0.0130996j -0.00219066-0.00300868j -0.0101088+0.0115089j 0.00420642+0.00704828j 0.00572181+6.9576e-05j 0.0112728+0.0152286j 0.0027266+0.00116003j -0.00591823+0.00250147j -0.000792518+0.00131986j -0.00970824-0.00726671j 
0.0175819-0.010199j -0.00523512+0.0254355j -0.0115354-0.0041488j -0.00438163-0.00239999j -0.0145048+0.041193j 0.00292708-0.00830861j 0.0131395+0.0128712j 0.0254221-0.0329222j 0.00203047+0.0151175j -0.0076325+0.0160125j -0.0277638-0.00953482j 0.0110114+0.0168043j 0.0136713-0.0295853j -0.00762579+0.0540898j 0.0230096+0.000149404j -0.0627688-0.000887643j 0.00525888-0.00366408j -0.0154506+0.00146002j 0.0546165+0.00414513j -0.0252253-0.0279982j -0.0311457+0.0289042j 0.0357141-0.020897j 
-0.00652132-0.0208018j 0.0199633-0.00784332j 0.00252646+0.0203662j 0.00300968-0.00170188j 0.00623929+0.00531274j -0.00899109-0.0111345j -0.00132515-0.0149373j 0.00991426-0.0241272j -0.0433184+0.0134269j 0.0196561+0.0107802j -0.00405326+0.00279968j -0.00633615+0.011676j 0.0596158-0.00831871j 0.0192963+0.0214294j -0.0603963-0.00537481j -0.0337248-0.00421114j -0.022523-0.0340904j -0.0173649-0.0176465j 0.00728683+0.00213803j -0.0651106+0.0555948j -0.0198155+0.018619j -0.028343-0.020992j 
0.0047451-0.0110236j -0.0225514-0.00820032j -0.00307044+0.0119577j -0.0225797-0.00965069j 0.00673188-0.0197587j 0.0034974+0.00827055j -0.00521619+0.0061879j -0.0138087-0.000905356j -0.0169871+0.0120678j -0.00989208+0.0110665j 0.0121336+0.00519746j -0.00255318-0.000393652j 0.0245029-0.031934j -0.0166985+0.000922366j -0.00491815-0.0156941j 0.0246282+0.0315586j 0.00499363+0.00753005j 0.0052759+0.0115502j 0.0114077+0.000654344j -0.00313596-0.00377865j 0.00919823+0.00919326j -0.00965346-0.00547672j 
0.0126986+0.000595239j 0.0155023+0.00798879j -0.00936943-0.000732242j 0.0447832-0.00688639j -0.0088842+0.0331003j -0.00734919+0.0122769j 0.00251481+0.00882741j 0.00486494+0.00309185j -0.00639359+0.0169995j 0.00502921-0.0454005j 0.000690979+0.00308493j 0.00691122-0.00833779j -0.0136747-0.00917539j 0.00247235-0.0231463j 0.0271141+0.0825657j 0.000190466+0.00227999j 0.0210512-0.0336089j 0.0366413+0.0255807j -0.020612-0.00293684j -0.0150758-0.017255j 0.00168153-0.0197627j 0.0139343-0.0229506j 
0.000971502-0.0106136j 0.00965339+0.00683349j -0.00287156+0.00871613j -0.0281744+0.0346713j 0.0214141+0.0114338j 0.00893153-0.00456222j 0.0307282-0.0345921j 0.0119788+0.00616651j 0.0580612+0.0135185j 0.00863941+0.0304091j 0.0167285-0.00723359j -0.00600729+0.00838069j -0.0981067-0.0458426j -0.0391179-0.0147704j 0.0120663-0.0249603j 0.0101951+0.023013j 0.0133892+0.0274721j -0.000880646+0.00926738j -0.0078633+0.0391653j 0.051391-0.0617584j -0.0241222+0.00265138j 0.0475727+0.00835235j 
-0.00183088-0.00923351j -0.0144143-0.0129486j 0.008705+0.00953878j 0.0445339+0.022375j -0.00218832+0.052045j -0.013+0.00215708j 0.0152724-0.0232792j 0.0164384-0.0101112j -0.00346793+0.0506792j 0.00667608-0.0279822j 0.00932751-0.000760137j -0.00503823-0.0172984j -0.0360731-0.0672787j -0.00719899-0.0145466j 0.00129875+0.0884154j 0.00926848+0.020292j 0.0215083-0.0555845j 0.0361702+0.017255j -0.0166583+0.0240889j -0.0376231-0.00750005j -0.0243834+0.00164657j 0.0125858-0.0330754j 
0.00229221+0.000252186j -0.00281676-0.00831143j -0.00114194+0.00782628j 0.020002+0.0265856j -0.0251143-0.00516688j -0.00474167-0.011513j 0.00372354+0.0202882j -0.0135004+0.0233725j 0.0141504-0.0818852j 0.000481753-0.0068162j -0.00738606+0.0311346j -0.000103032-0.00578711j -0.0261936+0.115652j 0.0239959-0.0388701j 0.00825013-0.0435833j -0.0236395-0.0205093j -0.0175194+0.0445747j -0.0237705-0.0106885j -0.0305036+0.0116743j 0.0652671-0.0195608j -0.00373198-0.0144438j 0.0192432+0.0312708j 
