0.012307+0.0698281j -0.135583+0.0231128j 0.0904688+0.097554j -0.201261-0.30312j 0.398574+0.426299j 0.537433-0.440904j 0.00883897+0.0520976j 0.0656365-0.0292076j -0.00766205-0.0640067j 0.00143673+0.033483j -0.0981025+0.00884969j -0.0752532+0.0341528j 0.0870622+0.00370135j -0.00818634-0.0563523j 0.0181384+0.0811393j 0.00201525-0.0148191j -0.0197736-0.000987083j 0.00829695-0.00850434j 0.00464942+0.00616755j 0.0249131+0.0196357j -0.0117645-0.00874233j -0.00649971-0.0187342j 0.00162761-0.00641715j -0.0209987+0.0203924j -0.0381943+0.0250612j -0.000638098+0.00316708j 0.0110142+0.00469552j -0.0111917-0.0457396j -0.00418637+0.00504052j 0.0159717-0.0357685j -0.017685-0.0239477j -0.0140931-0.0369705j 0.0367812-0.000336722j -0.0272989+0.00654736j 0.0203149-0.0194797j 0.0185229-0.00981107j 0.0231018-0.00767118j -0.000905112-0.023454j 0.017367+0.0284876j 0.0245014+0.00261458j 
-0.0054802-0.00323548j 0.0202688-0.0204505j 0.0363855+0.000436534j 0.0260229-0.0415882j -0.0419114-0.0184234j 0.00133261-0.0406613j -0.000332943+0.0072226j 0.00758568+0.0116007j 0.0148617-0.0134255j -0.00885185-0.0171719j 0.0172306+0.0108797j 0.031309-0.0106839j 0.00846984+0.00860469j -0.00224982-0.0261023j 0.0180654-0.0014147j 0.0139443+0.00970575j 0.0236341-0.0350135j 0.0056581-0.0119308j -0.0509225+0.00073352j -0.518574+0.126063j -0.0227784+0.00438485j -0.0134631+0.033067j 0.014632-0.00372811j 0.0217694+0.19638j -0.0114387+0.107868j 0.276826-0.587688j 0.101971-0.109788j -0.0338928+0.00541283j -0.051118+0.00167758j 0.0154264-0.0281327j -0.223416+0.0745008j -0.179242+0.0729597j -0.0149209+0.0112087j -0.0626532-0.0469247j 0.00416423+0.0636919j 0.119314+0.249702j 0.000690056+0.0269719j -0.00414626-0.0176407j -0.0250559-0.0124558j -0.000539412-0.0069009j 
-0.0232693+0.027917j -0.0190929+0.0216822j -0.00298008-0.0105142j 0.0181268-0.0138281j -0.0185948-0.0212517j -0.00289928-0.0152539j 0.0193179-0.0149577j -0.0210139+0.0230085j -0.0750932-0.000420512j 0.0153714+0.0438926j -0.0226651-0.0383111j 0.0160727-0.0141338j -0.0156994+0.0318315j -0.012033+0.027388j 0.00272226-0.0213072j 0.116509-0.0406918j -0.438752+0.0984252j -0.213192+0.0358885j 0.00989337+0.0791367j -0.00843262+0.0057075j 0.150412+0.146223j 0.191617-0.177176j 0.0649923-0.0338839j -0.300073+0.44843j 0.147435-0.214962j -0.0476392+0.0567299j 0.122146-0.132937j -0.165913+0.0907856j 0.0592535+0.163419j 0.154494-0.0399232j 0.0340797-0.0171564j -0.017051-0.0277311j 0.0795637+0.119841j 0.126454+0.127459j 0.0211123+0.102303j -0.00204311-0.0236922j 0.0481275+0.0420885j 0.00110926+0.0543962j 0.0416605+0.0639413j 0.0149664-0.0224592j 
-0.0021843-0.0100637j 0.00543419+0.0232318j 0.00178752-0.0153433j -0.00626908-0.0129341j -0.00467039-0.0118553j -0.00369301+0.00959951j 0.065338-0.0727236j 0.113596-0.0778692j -0.0459821+0.00323569j 0.024614+0.0302321j 0.0680815+0.0513429j -0.109563-0.0739013j 0.0201164+0.0193948j 0.0538371+0.0200508j -0.0228806-0.0206725j -0.0016317-0.151844j 0.172921-0.0782816j -0.239995-0.0519773j 0.195121+0.746836j -0.0133814-0.0864261j -0.01908-0.0342017j -0.00200108+0.00891101j 0.0783778+0.0847463j 0.0610865+0.0307154j -0.0388999-0.0119474j 0.000263149-0.0204265j 0.0511973+0.0106947j 0.00246831-0.0114422j -0.316464-0.0526972j -0.0685873+0.00276729j 0.0656543+0.0187503j -0.0118895-0.0184352j 0.0546987+0.0078576j 0.0878114+0.00552484j 0.0861129-0.00175213j -0.0147194+0.00473722j 0.0605201+0.0042268j 0.0192657-0.0033j 0.0357024-0.00679769j -0.00965024+0.00303132j 
-0.00439165+0.00242529j -0.0286488-0.0058195j 0.0614853+0.0359416j 0.0140281-0.0316339j 0.0167513-0.021189j -0.00677557+0.0200379j -0.220682+0.0308847j -0.0534588-0.106574j -0.022793+0.069594j 0.0223558-0.0230862j -0.0235702-0.021305j 0.0157579+0.0481218j 0.025368-0.0175815j -0.02137-0.0148774j -0.0414113+0.0214826j -0.53207+0.139619j -0.160135-0.0582748j -0.0296202+0.278648j -0.377665+0.292433j 0.0122324-0.0206378j 0.0685104-0.032075j -0.016877+0.0081979j 0.213805-0.143452j -0.0270342-0.0261855j 0.0304157+0.00980731j 0.0110356-0.00692649j -0.0533989-0.0463993j 0.0520923-0.0217823j 0.110849+0.251627j -0.0145429+0.0463729j -0.03864-0.0353754j 0.0111391-0.00581929j -0.0490269-0.0610541j -0.0566434-0.0804945j -0.0390291-0.0755974j 0.00368466+0.00431636j -0.0282537-0.0274348j -0.00615023-0.035137j -0.0185345-0.0431705j 0.00713031+0.0228824j 
0.00169618+0.00189341j 0.0104069+0.00338739j 0.015036+0.0111614j -0.00971958-0.00785177j 0.0126571+0.0104525j 0.00618721+0.0052546j -0.0153185+0.00900037j 0.00402406+0.00442036j 0.00647049-0.00414644j -0.00928429+0.0028877j -0.0226952-0.0129252j -0.0024305-0.00380353j 0.0192386+0.0138368j -0.0268765-0.000654673j 0.0516406-0.0500136j 0.00397463+0.00100915j -0.0514249+0.030132j -0.0285262+0.0112091j -0.0102389+0.0204383j -0.0031592+0.00687322j 0.0110939+0.0450428j -0.0475239+0.025809j 0.00861339-0.0263128j -0.0249852-0.0244211j 0.00809423+0.0234961j 0.0021603+0.000413538j 0.025953+0.0181499j 0.000163815+0.0966948j 0.0235666-0.00711323j -0.0451762+0.114641j -0.00668428-0.0211436j 0.0188603+0.00830043j 0.0719125+0.0410826j -0.1043-0.0458378j 0.140664+0.082449j -0.0385842-0.0110402j -0.148671-0.148771j -0.0141721-0.0313559j -0.0452576+0.00659989j -0.208317-0.0833136j 
-0.000793897+0.00393529j 0.00719506+0.00493372j 0.0122165-0.00563788j -0.00785268+0.00389565j 0.0212361-0.00457462j -0.00351489-0.00367863j 0.0128023-0.00142406j 0.00152875+7.11727e-05j -0.0095232-0.00193097j 0.0128967+0.000472465j 0.00391937+0.00305422j 0.000745486-0.00319256j 0.0196036+0.00751528j -0.000751769+0.000945474j -0.0142683-0.0485556j 0.0344958-0.00328344j -0.0426842+0.011726j -0.0149452-0.00615604j 0.00894557-0.00725169j -0.0113215+0.00437903j -0.0321524+0.0127937j -0.0412607+0.0035562j 0.0121603-0.00197864j -0.014739+0.0221036j -0.000284891-0.00298063j 0.00971519-0.00048556j -0.00259531+0.000168277j -0.0738969+0.0157477j 0.0171086-0.00324583j -0.101757+0.0250492j -0.00342983+0.0211463j 0.0194446-0.0272328j 0.00810819+0.0358094j 0.01447-0.0927018j 0.0847045-0.0423493j 0.00207248-0.0290553j -0.174472+0.168434j -0.0103391-0.0800167j -0.0317683+0.0739512j -0.180429+0.019193j 
0.000773882-0.00759528j -0.0101288-0.0279573j 0.00121425-0.00619597j 0.00405151+0.0148266j 0.00245683-0.0131066j -0.0162397-0.00900822j 0.0282292+0.00367464j -0.00463463+0.0119966j -0.017679-0.00726378j 0.00746891+0.00438095j -0.0018462-0.00514069j 0.00500175-0.0118699j -0.0110061-0.00842882j -0.00699645+0.0314691j -0.0441866-0.00466553j 0.0587142-0.0161667j -0.0485184+0.02743j -0.0393532-0.0265982j 0.0301959+0.0346672j -0.00741125+0.00662203j 0.00516101+0.0524653j -0.0546924-0.0020254j 0.00590593-0.0152021j -0.0362264-0.0359482j 0.0166964+0.0158161j 0.00161776-0.00884609j 0.0337083+0.0427429j 0.0433124+0.0361146j 0.0111546+0.0116674j -0.0340651-0.0377389j -0.05119-0.0565581j 0.0518612+0.0714718j -0.0284791+0.0183023j 0.00109689-0.0240332j 0.0161227-0.0205967j 0.00643884-0.0029069j -0.0170912+0.0329476j 0.0308567+0.0192775j 0.0450758+0.0255789j -0.0191241-0.00035522j 
0.00446198-0.000508034j -0.00762601-0.00690485j 0.00190208+0.00900551j 0.00145199-0.00526344j -0.00372367+0.0170032j 0.00594079-0.0051848j -0.0154655+0.00913537j 0.0103358-0.0186874j 0.0248242-0.0118284j -0.0344002+0.0120684j -0.0190212+0.0321623j -0.0217253+0.0217773j -0.0211103-0.0428479j 0.0187403+0.0287642j -0.0190741-0.00029898j -0.0044322-0.00149884j -0.000982997-0.0040835j -0.00334098+0.000765835j -0.000325341-0.000267934j 0.00647618-0.000692038j 0.00166986-0.00175632j -0.00638315-0.00645619j -0.00177707-0.00327734j -0.00474377-0.00624698j 0.0025979-0.00357464j -0.00520386-0.00260987j 0.00250988+0.011318j 0.0112423+0.0112172j -0.00414215-0.00022352j 0.0193223+0.00731225j -0.0169778+0.0051358j 0.0158724-0.00373592j 0.0256626+0.0134399j -0.0489194-0.0219275j 0.0372441+0.109662j -0.0150887-0.0122701j -0.0534718-0.133126j -0.0449859+0.0391151j 0.0752653-0.0439003j -0.00696388+0.0341805j 
-0.0137144+0.000322147j 0.00165484+0.0052334j 0.00638831+0.00994163j -0.021822-0.00266618j 0.0116032+0.00286266j 0.00632405-0.0190015j -0.0256285+0.00762912j -0.00116798-0.000735057j 0.0167466-0.00894212j -0.00134155+0.0153881j 0.00211242+0.0063582j 0.0202503+0.0211955j -0.0254593-0.0284247j -0.0294734-0.0138371j -0.0246124+0.000581079j -0.0475992+0.00996115j 0.0573883-0.0150457j 0.0117942+0.0147978j -0.0274646+0.0106178j -0.00785518-0.000547761j 0.0397023-0.020903j 0.0466434+0.00666475j -0.0202021+0.000299101j 0.0442065-0.0158325j -0.0113498+0.0238732j 0.00646996+0.0238986j 0.0158732-0.0179557j -0.0147115-0.02935j 0.00846511-0.0143992j -0.0201787+0.0334042j 0.089159-0.0418828j -0.0910561+0.0389614j 0.0224133+0.0521645j -0.00671852+0.0103028j -0.00217293-0.0413072j -0.00462768+0.0183563j 0.0323046-0.0492074j -0.0689725+0.0372845j -0.0758563-0.0243706j 0.0599672-0.0120676j 
0.00557908-0.00413145j 0.00091553+0.017752j -0.00195606+0.0164104j -0.0118509+0.00434571j -0.0187058-0.00989111j 0.00161056+0.00664907j -0.000524753+0.0108864j -0.00226531+0.0188083j 0.002067-0.00858566j -0.00965603+0.0010043j -0.0150439-0.013495j 0.0128758-0.0095952j -0.0228156-0.0308489j -0.0345063+0.0340969j -0.0415247+0.0123105j 0.0120431-0.0024422j -0.0097582-0.000713488j -0.00331904-0.00197274j 0.00455146-0.00217041j -0.0266867-0.00168972j -0.00806253+0.00107329j -0.00638077-0.00303772j 0.00419927-0.00191204j -0.00179093+0.0209722j 0.0304504+0.0334462j 0.0191875+0.0583468j -0.0102983+0.0136179j 7.1958e-05-0.00917817j -0.00272603+0.00875269j 0.00873413-0.00128586j -0.0046333+0.00578327j 0.0417553-0.0439149j 0.00333083-0.0240259j -0.00632105-0.0050045j -0.00624606+0.0317916j 0.00104329-0.000944743j -0.000661409+0.00226751j 0.0237675-0.00396108j 0.0310538-0.00629938j -0.00469914+0.00564413j 
0.00226398+0.0309194j 0.00291999+0.00749125j -0.00272336-0.0087919j 0.00630337+0.00413128j -0.00106689+0.00179335j 0.000154485-0.0014578j 0.0196879+0.00739101j -0.00688145+0.0112732j -0.00187251-0.00706237j -0.0124573-0.000676863j -0.0072933+0.00727051j 0.0030621+0.000560228j 0.000323151-0.0126114j 0.0129724+0.00947401j -0.0160229+0.00132671j 0.0211851+9.94933e-05j -0.00113228-0.0024371j -0.014351-0.0273209j 0.0130849+0.0306255j -0.00586093-0.00152496j 0.0127022+0.016581j -0.000516601-0.0249947j 0.00177238-0.00359279j 0.0038091-0.0284525j 0.00236223+0.0188649j 0.00824537+0.00315794j -0.0165904+0.0129309j 0.00823803-0.0199767j -0.0103526+0.0053311j -0.00399723-0.00223267j 0.0107077+0.00531439j -0.0077084-0.00726199j -0.0123484+0.0115524j 0.00537847+0.00872684j -0.00662924-0.0169513j 0.00188564+0.00450896j 0.0192416+0.00465281j -0.0187327+0.0147186j -0.0084165-0.00690778j 0.0347243+0.00721033j 
0.00529706-0.00729462j 0.00530025+0.0201005j 0.0232945+0.00653267j -0.00104457+0.0259495j -0.00555608+0.00164107j -0.0120601-0.00488721j -0.0121174+0.0173361j 0.00797053-0.0248894j 0.0133166-0.00166657j 0.0061468-0.034475j 0.0173595-0.00176165j -0.0063491-0.0196757j 0.000497112+0.0116355j 0.00617454+0.0206102j -0.00358139+0.0331922j -0.0157732-0.0021418j 0.00857888-0.00920094j -0.00111529+0.00522141j -0.0121459+0.00268941j -0.031192-0.00456871j 0.0147469+0.00297595j 0.0032261-0.00403625j -0.00548348-0.00349338j -0.0114742-0.013268j -0.0173322+0.0229144j 0.0623882-0.0135884j 0.028433+0.00191686j 0.00757628+0.0201743j 0.0173896+2.51196e-06j -0.0144372+0.00137456j 0.0161476-0.00866915j -0.011447+0.0775251j -0.00391133+0.031854j -0.0130922-0.00977979j 0.0426495-0.00739968j 0.0407286-0.0098116j -0.00405818-0.0536121j -0.040115+0.00460657j -0.00250512-0.0153774j 0.00200957+0.00896473j 
0.00263616-0.00982328j 0.00624654+0.00401524j -0.0151297-0.000550074j -0.00136205-0.00918958j -0.00315805-0.0108698j -0.0118855+0.0112373j -0.0270649-0.00111092j 0.00251534-0.00607517j 0.0216565-0.00362589j 0.00968802-0.0119479j 0.000949648+0.0361555j 0.0311184+0.0270701j 0.00270442-0.00597473j 0.0117366-0.0101061j -0.0183353-0.0138959j -0.0107801+0.00665798j 0.0157915-0.00837093j -0.00741178-0.00300602j -0.00452239+0.020709j 0.0273297+0.00273421j -0.000183695-0.0137894j -0.00892392-0.0117174j -0.00136115-0.00825065j 0.0176082-0.0159772j 0.0122345-0.00254104j -0.06038+0.0101729j 0.00321082+0.0348305j 0.00697203+0.030733j -0.000313736-0.00607936j -0.00124279-0.000702929j -0.0182915-0.0825326j 0.0202953+0.0258694j -0.0312809+0.0215828j -0.0152561+0.00575643j 0.0236743+0.00976156j -0.0617014+0.0117264j 0.0112461-0.0336862j -0.00916919-0.000973904j 0.00430764-0.0365729j 0.0124346+0.000508582j 
0.000202759+0.00293696j -0.000209802-0.0266188j 0.013096-0.00362804j 0.0108073+0.00902075j -0.0212761+0.0165816j 0.00694193+0.0189044j -0.000185907+0.00832581j -0.0114179+0.0225507j 0.000740847-0.00871681j -0.0131942-0.0263949j -0.0282137+0.00444309j 0.0326729+0.00902448j 0.0150126-0.00134852j 0.0184692+0.014603j -0.00793329+0.00170055j 0.00204627-0.000629745j 0.0083433+0.00815982j -0.000824021+6.02864e-05j -0.00231393+0.00927661j -0.0128235-0.0143864j -0.00777365-0.0176614j 0.00946979+0.0161827j 0.0115413-0.00666845j -0.00512046+0.0439485j 0.00673009+0.00468985j 0.00053901+0.0254843j 0.013267-0.0143952j -0.00327+0.00418595j 0.0120445-0.00268792j -0.000873859-0.00915298j 0.0325672-0.0083946j -0.00893854-0.0193478j 0.0178246+0.00265435j 0.0165095-0.0061261j -0.0081779-0.00945995j -0.0106462-0.00164475j -0.00492207+0.000921126j -0.00502598+0.0035578j -0.00870925+0.0116275j -0.00466873-0.000878715j 
-0.04154+0.00135623j 0.00156098+0.00244398j -0.0105819-0.00440176j 0.00469127-0.00106971j 0.00108889-0.00604234j -0.00665599+0.000915912j 0.00920438+0.00615074j 0.00632992-0.0018414j 0.00754196+0.0115671j 0.000110396-0.0110406j 0.00550921+0.0136295j -0.0105311-0.0160906j 0.000202812-0.0059559j 0.0130321+0.00918477j -0.0115448+0.0186424j 0.0310893-0.00208616j -0.0234615-0.00759308j -0.00743479-0.0223969j 0.0316295+0.011626j -0.00739056-0.00254044j -0.00740742+0.0129665j 0.00320465-0.0236039j 0.00623464+0.00356045j -0.0510423-0.0119618j 0.020283+0.00980283j 0.00886173+0.00297846j -0.00372308+0.00121622j 0.00961952+0.0362746j 0.00286089-0.00246807j 0.00416378-0.0234081j -0.0238855-0.0178772j 0.0312365+0.0243629j -0.00931544-0.00348648j 0.0142649-0.00382062j 0.0433266+0.0206269j -0.00507584-0.00736941j 0.0122354-0.0186642j 0.00357219-0.0137643j 0.0445107-0.0184701j -0.00750332+0.0198297j 
