0.496315-0.520001j 0.513052+0.498755j 0.0757602+0.00456994j 0.00223216-0.109122j -0.0760107-0.0211258j 0.00951132-0.00239094j -0.0158005+0.0180691j 0.0086039-0.0345877j 0.0513483+0.0413346j 0.00172984+0.00231033j -0.0342657+0.021534j -0.000969602+0.00191277j 0.0311775-0.0322937j -0.0162888-0.0300034j -0.0113988-0.00723387j -0.00396137-4.29089e-05j -0.000872812+0.0102654j -0.00619145+0.00218879j -0.0108401-0.0225936j -0.0064395+0.00423308j 0.0232176-0.00941822j 0.00518989+0.0220079j -0.0305465+0.00682287j -0.0217542-0.0053734j 0.00452876-0.00413588j 0.00549146-0.0409809j 0.00153735-0.00263652j -0.00825182+0.00465329j 0.0312671+0.00825239j -0.00211105-0.0175865j -0.00193063-0.000603668j 0.0182319+0.0166388j -0.01398+0.0101965j 0.00227942+0.00208214j 0.00484035-0.00650523j -0.000792328+0.000190041j 
-0.0229652-0.00373027j 0.00251781-0.0206038j -0.0245764-0.0599793j 0.051493-0.0114845j -0.007207+0.0135998j 0.0460322+0.0738747j 0.00914037+0.0354352j -0.00693167-0.00105293j 0.0102556+0.0202118j 0.0174302+0.0442019j 0.038061+0.0396567j -0.0848178-0.00926964j 0.0156292+0.0751926j 0.00688922-0.0288156j -0.0688664+0.0773792j 0.0160894-0.0065246j 0.0792847+0.101987j -0.0592506-0.0286323j -0.0322829+0.246901j 0.0879047+0.117491j 0.0166549+0.163448j 0.101429-0.0758814j -0.221321+0.00334101j 0.04412-0.0788443j 0.150157+0.0291615j -0.0477914-0.0919137j -0.285936+0.0206875j -0.228848-0.155527j -0.189643-0.102612j -0.0336651-0.0992951j 0.161174-0.320836j -0.0931638+0.0458501j -0.0367222+0.156632j -0.0971909+0.0300565j -0.0406876+0.0617758j 0.0301235+0.0201453j 
-0.0279967-0.00181693j 0.00184755-0.0242459j 0.0419174+0.0244525j -0.00535614+0.00290444j 0.0324624+0.0242746j -0.0250901-0.0119631j -0.0516301+0.0155466j -0.0116657+0.0118812j -0.0239576-0.0314677j 0.0221101-0.0826277j -0.0700134+0.00339568j 0.0218229-0.000494449j -0.0181558-0.044845j 0.0417847+0.0492254j -0.0361141-0.0644945j 0.185301+0.0104078j 0.120236-0.101727j 0.0583601-0.293807j -0.0264929+0.0697215j -0.162924-0.125073j 0.0710682+0.0464014j 0.0758896+0.180072j -0.0380412-0.0827059j -0.0329782+0.159029j -0.275867+0.0177312j 0.00808414-0.058217j -0.0729208+0.125049j 0.0692267-0.0448854j -0.111701-0.154199j 0.00602957+0.0513481j -0.0482387+0.0426683j -0.0868566+0.12839j -0.142654-0.00172127j 0.074678-0.0397915j -0.141587-0.0167057j -0.0796476-0.00554672j 
-0.00498032-0.0187741j 0.0184431-0.00700483j -0.0121033+0.0215178j -0.0232147+0.00815907j -0.0334955-0.0153195j -0.0393549-0.0578953j 0.00756258-0.0372531j 0.00861961-0.0506051j -0.0203969-0.00321064j -0.0730526+0.0374433j 0.030312-0.0575412j 0.0657611-0.00461378j -0.00591404-0.0474484j -0.0529994-0.0241957j 0.0669002-0.0404235j -0.0856095+0.067258j -0.150926-0.30626j -0.0468652+0.0968589j 0.0411537+0.178961j -0.00197802+0.0548139j 0.256712-0.067309j 0.0246304-0.0406746j -0.149178-0.0438884j 0.0991254+0.128104j -0.282215-0.0909735j -0.0673142-0.122813j -0.162945+0.230993j 0.125131-0.197964j -0.0667943+0.167423j 0.0537805-0.0380016j -0.0470373+0.103985j 0.0133942+0.0199277j 0.225902+0.00924303j 0.0496731-0.0193858j 0.0582043-0.0187558j -0.00527075-0.00677543j 
-0.000633209-0.00717396j 0.0113384+0.000167122j -0.0276344+0.0305818j -0.023627-0.0312077j 0.00964247-0.00883965j 0.0693671+0.0125908j 0.0401655+0.0810503j 0.0583484+0.0452144j -0.0244183+0.0249595j 0.0852779-0.00779147j 0.0291282+0.0900813j -0.0267432+0.00143263j -0.0131184+0.046115j 0.0135061-0.0446164j -0.018091+0.110226j -0.10501-0.352542j -0.0148688-0.14308j -0.337067+0.0827335j -0.0131176+0.00634259j -0.305835-0.190756j -0.0864589-0.098426j 0.00937711+0.113409j 0.103965-0.107356j -0.176474+0.19662j -0.163152+0.171641j 0.0182162+0.0146546j 0.0704945-0.0966441j -0.0244127+0.0375533j -0.107196+0.114638j 0.0411466-0.0341241j 0.0455798-0.0444133j 0.118031-0.0608382j 0.0517644+0.0686936j -0.0745581+0.0257734j 0.0700721+0.0426526j 0.0539316+0.00442942j 
0.00281409-0.00128995j -0.00124593+0.00378525j 0.0104627-0.00138378j 0.0137031+0.000730019j -0.00128242+0.00735145j 0.00180577-0.00726233j 0.0043781-0.00310788j 0.00215868+0.00775441j 0.0077566-0.00104038j -0.0106763-0.0130502j -0.00084429-0.00256929j 0.0221672+0.0120099j 0.0113466-0.00672101j 0.00829325+0.00128376j 0.00127919+0.0273334j 0.0446829+0.0395811j 0.00648113+0.0126558j 0.0248487-0.0321253j 0.0264096-0.00478655j 0.0142078+0.00655497j 0.018872+0.01712j 0.00287617-0.0032336j 0.0209288+0.0582175j 0.0197639-0.00168748j 0.0157097+0.00461173j -0.0180759+0.00810952j -0.0322601-0.0305307j -0.0675775-0.066943j 0.00622314-0.0385089j 0.0546757-0.0534459j 0.158015-0.0633818j 0.0180968+0.0400285j -0.0252646-0.0146421j 0.00891121-0.0361268j -0.0674804+0.0470736j 0.0340482-0.0513951j 
0.0118947+0.00521337j -0.0178383+0.00360963j 0.00986574+0.00441669j 0.0105781+0.00525076j -0.00655501-0.00301371j 0.000583211+0.0027297j 0.0106836-0.00492249j 0.00320203-0.00252972j 0.0135989-0.00355494j -0.00663421+0.011744j 0.00287062+0.00227853j 0.0212579-0.00907005j 0.0247573+0.00289549j 0.00757098+0.0174737j 0.0258712+0.0254138j -0.0216942+0.000315886j 0.0243577+0.00226978j 0.0101444+0.0140177j 0.0211131+0.000870226j -0.00335102-0.00460566j 0.004771+0.0255393j 0.0133785-0.00786604j -0.0094691+0.0404784j 0.013192+0.0369251j 0.0128201-0.00955672j 0.0375736-0.0283218j -0.0672148-0.01623j 0.0274566-0.0186946j 0.00569174+5.48862e-05j 0.0214554+0.01221j -0.00761821-0.071304j -0.00542766-0.0133866j 0.0193414+0.00114157j 0.070555+0.0218597j -0.00157017+0.0389568j -0.00666031-0.0868151j 
0.00228253+0.00600802j -0.0115428-0.00126363j -0.00741839+0.013291j 0.0050416+0.0145192j -0.00133154-0.0111099j -0.0186893+0.00085528j -0.0150109-0.00154849j -0.00224028-0.00412108j -0.0072739-0.00101254j 0.00990493-0.00197164j 0.0111442-0.00776853j -0.0168349+0.0225771j 0.0162016-0.0162812j 0.00159097+0.00412041j -0.0151038+0.03355j -0.0085183+0.00746767j -0.0184644-0.0179864j -0.00177276-0.0224715j -0.0333832-0.0138394j -0.00886767+0.0216556j 0.00331945-0.0480981j 0.0131109-0.0110804j 0.0197744-0.0621145j 0.0159092-0.0236492j 0.00753773-0.00242716j 0.0328732-0.0141157j -0.0243885+0.0105546j 0.0181263+0.0123849j -0.00519839-0.00429643j -0.0448438-0.0229411j 0.0241521+0.105422j -0.0238261-0.0230746j 0.0163703+0.00128947j -0.0524186+0.0142825j -0.0134897-0.0523406j 0.0200433+0.0958884j 
-0.00112878-0.00614594j -0.00652034-0.00149925j 0.016421-0.0048069j 0.00868297+0.0214984j -0.0147833+0.0102903j -0.00558982+0.0102451j -0.0102514+0.00474922j -0.00756671-0.00496791j -0.00778479+0.00349934j 0.00507576-0.00205701j -0.00854527-0.000674574j -0.00449558+0.00837363j -0.0133942-0.000160078j -0.00296006+0.0079791j -0.0081618-0.0196523j -0.00442494+0.000922416j -0.00803842-0.00429846j 0.00515932+0.00164924j -0.00783362-0.00402902j 0.000815948-0.00273591j -2.15332e-05-0.00430339j 0.000836063+0.00159735j -0.00209113-0.00615805j 0.00165675-0.00595513j -0.00286313+0.00151865j -0.00148373+0.00338829j 0.0101596+0.00142978j 0.00843009+0.00644977j 0.00428414+0.00369447j 0.00160397+0.000723608j -0.0127052-0.00358179j -0.00476491-0.00838199j 0.00216393+0.00422447j -0.00306364-0.0104208j 0.0102389-0.00957591j -0.0150904+0.00137532j 
0.00143909+0.00200844j -0.0013905+0.000326223j -0.00449171-0.00848986j -0.00695977-0.0144504j 0.00492236+0.00590819j -0.000465782-0.00205517j -0.00899379-0.00436994j 0.000864592-0.000124463j 0.0111701-0.00488738j 0.00714117+0.0159007j -0.0342647+0.00154694j 0.00713901+0.0203782j 0.0409257-0.00904127j 0.0115309+0.0895697j 8.12095e-05+0.0360581j -0.00485514+0.00563121j -0.00411157+0.000592445j 0.00438969+0.00283923j 0.00510467-0.00288591j 0.000822925-0.00189039j -0.00794299+0.00712543j 0.0124185-0.00517872j -0.00647279-0.000745743j 0.0117695-0.00684065j 0.0111963+0.00550768j -0.0190932+0.00892517j 0.0197986-0.00127219j -0.0179725-0.000595785j 0.010647+0.0115157j -0.00454349+0.00449304j -0.00710243-0.0112098j 0.00259683+0.00176874j -0.00840802+0.00135121j 0.00551273-0.00162816j 0.00769905+0.00557118j -0.000636123-0.0117941j 
-0.0167252-0.00207585j 0.0141427-0.00610668j -0.0143566+0.0059351j 0.00159255+0.0118386j 0.0104154-0.00249552j -0.0133976-0.00442134j -0.0121324+0.00323206j 0.00432488+0.00250167j -0.0153843+0.00679257j -0.0163206-0.00519674j -0.00873934+0.00110604j 0.00223594+0.01852j -0.016878-0.00869356j -0.0177876+0.00535229j -0.00389494-0.00456053j -0.0167915-0.000579547j -0.00155138-0.0146649j 0.00746982+0.0357675j -0.0161288-0.0337077j 0.00656327-0.0236824j -0.000887171+0.0302533j -0.0015215+0.0058668j 0.00475679-0.0119399j 0.0222993-0.00424522j -0.00172999+0.0207832j -0.0246467-0.00927669j -0.00801592-0.0433799j 0.0189307+0.0762067j 0.00626245+0.0117133j 0.0383326-0.0100972j 0.0203844-0.0467992j -0.0561527-0.00905685j 0.0214719+0.0393212j 0.0222212-0.0331917j -0.00277131-0.0691288j -0.0350484-0.0726922j 
0.00166356-0.019158j 0.026942+0.0122418j 0.0049047+0.0034649j -0.000976892-0.0051936j -0.00832886-0.00620369j -0.0118361-0.00294738j 0.00513992-0.0085868j 0.00180205-0.00336379j 0.0131881-0.00455062j -0.000730034-0.000843595j 0.0113767-0.00707557j 0.000692721+0.00783535j 0.0170479+0.00186622j 0.00458896-0.00444808j 0.0103009+0.0215638j -0.0214569+0.00414281j 0.00633341-0.00614443j 0.0158984-2.03026e-05j -0.00318577+0.00157031j -0.0149912-0.00751032j 0.0051986+0.00104738j 0.0257095-0.011113j -0.00500661+0.00458507j 0.0079795+0.00916001j 0.0279699+0.0127714j 0.0197426-0.00261415j -0.00525877+0.00251559j -0.00169212-0.0067462j 0.0129665+0.00334747j -0.00597346-0.00486014j 0.00830135+0.00540901j -0.0244394-0.023741j 0.00454754-0.00403694j 0.014103+0.0243435j 0.00230636-0.010947j 0.0142644-0.010878j 
0.000406093+0.00134415j -0.000990385-0.00274763j 0.000167809+0.0166252j 0.0142046-0.0140751j -0.00688518-0.0140759j -0.0100645+0.00981533j 0.000459774+0.0180091j 0.015644+0.00317518j 0.0175172+0.0165262j 0.00414281-0.00503181j -0.0114093-0.000624493j 0.00351168+0.0185796j -0.0497912+0.021435j 0.00116534-0.00451377j -0.00113615-0.0152141j 0.0122366+0.0184852j -0.0226714-0.0362471j -0.00170201-0.0262397j -0.0205445-0.0436945j -0.00164565+0.0162195j 0.00400489-0.0264429j 0.00979795-0.004205j 0.014108-0.00696285j 0.0063691+0.00118729j -0.00764779-0.0166348j 0.0288565+0.00799752j 0.0272145+0.0747138j 0.0245265+0.0638283j 0.0198323+0.00332228j 0.0514653-0.0331375j 0.0148004+1.39294e-05j -0.0206952-0.057721j 0.00484923+0.0150883j -0.0794809-0.0726886j 0.00897041-0.0147992j -0.0289089+0.0404865j 
0.0106174-0.0294846j -0.0200756-0.0259695j 0.0212257+0.00549384j 0.00502551+0.0162108j -0.021678+0.000127931j 0.00274234-0.00229057j 0.00349878+0.00116657j 0.0187119-0.00348329j -0.0285508-0.00286507j -0.00687451+0.00275023j 0.00603363+0.015988j -0.0204515-0.000867771j 0.00486099-0.0093712j -0.020295-0.0070408j -0.00613267-0.000956856j -0.00645214-0.00477796j 0.0107456+0.00479786j 0.00322066+0.00692186j -0.00269911-0.00131032j -0.00370166-0.00301619j 0.00316351+0.00271724j -0.000900698-0.00240301j 0.00472798+0.00699726j -0.00316251+0.00402801j 0.0193539+0.0118931j 0.00629083+0.00476433j 0.00487647+0.00555026j -0.0125697-0.00920104j 0.00550181-0.0117517j 0.00194972-0.00218285j 0.0120741-0.00965096j -0.00143862-0.0121639j -0.0155308-0.00537452j 0.00566531+0.00522242j 0.00418817+0.00948183j 0.00993272-0.009737j 
-0.00653055+0.016247j 0.00683434+0.0124737j 0.00569672+0.00727641j 0.00820499-0.0208202j -0.00468882-0.00880873j 0.00196195+0.00441235j -0.00119413-0.00837113j 0.0166662+0.00874887j -0.0491923-0.00511108j -0.0169758-0.00199482j -0.00619636+0.0223857j -0.0132966+0.00212065j 0.0161454-0.0288619j -0.0371057+0.00669233j -0.0187426-0.00133015j 0.000684083+0.00039728j 0.0028762-0.00723448j 0.00264003+0.00193214j 0.000239017+0.00536213j 0.00215656+0.000553977j 0.0103938-0.0126625j -0.000214306-0.00256627j -0.00848729+0.000472966j 0.00388361+0.0275525j 0.0082809+0.00960058j 0.0178725+0.00146788j 0.00325855+0.0324445j 0.00571411-0.00660691j 0.0210433-0.00772489j 0.00402582+0.00329096j -9.62192e-05-0.00669916j -0.00505432-0.0226525j -0.0170465-0.0260052j -0.000856313-0.00959884j -0.00330102+0.00597405j -0.00422883+0.00169377j 
-0.00036885+0.00105565j -0.00390604-0.00260717j 0.019892+0.00490022j -0.00455645+0.0272032j -0.02027+0.00025363j -0.00214241+0.0038473j 0.00885827-0.0184145j -0.00976259+0.0187202j 0.0259055+0.00055761j 0.0129344-0.00316016j -0.0181956-0.00151482j 0.00728322+0.00152689j 0.0144595+0.0065447j 0.00692124+0.025386j 0.00034918+0.00956499j 0.00154384+0.00703928j -0.00207833-0.00437993j 0.00297088-0.00515238j -0.00621788-0.00224253j 6.97359e-06+0.00290398j 0.000732505-0.000449891j 0.00359216+0.000204967j -0.00138709-5.08885e-05j -0.0026277-0.00717194j 0.00769516-0.00760239j 0.000185275+0.00702332j 0.0110935+0.00748096j 0.00068585+0.0100837j -0.00303995+0.00372901j 0.00697815+0.000330133j -0.00299657+0.00505451j 0.00118483-0.00429976j -0.000158129+0.0105649j -0.0100034-0.0085946j 0.0041117-0.000591644j -0.0020325+0.0082681j 
0.013261-0.0136593j 0.0115387+0.0109528j 0.00114334-0.00115229j 0.00172889+0.0136109j 0.00348137+0.00145489j 0.00160747-0.00757782j -0.0131478-0.0106042j -0.00607975+0.00637949j 0.00195897+0.00087827j -0.00311422-0.00014856j 0.00133833-0.00281167j -0.00376725-0.00575534j 0.00534003-0.00576524j 1.16746e-05+0.00977649j -0.00787054-0.000679214j -0.000326771-0.0147493j 0.00575771+0.0166933j -0.00763881+0.0253898j 0.0120416+0.00336566j 0.010882-0.00891724j 0.00074214+0.00493911j -0.022734+0.00255888j 0.000466691-0.00396073j 0.00620657-0.000383626j -0.00403788+0.0286164j -0.0193673-0.0116171j -0.0167989-0.0296935j -0.0140161+0.00514272j -0.0125862-0.00888297j -0.0194759+0.0107714j -0.0036542-0.0160197j -0.00959723+0.0274057j 0.00140289-0.002611j 0.0335493+0.0167358j -0.00816063-0.0179422j -0.00192419-0.0302919j 
0.0118679+0.00572382j -0.0194844-0.00648869j -0.000420429-0.0113187j -0.00939579-0.0128763j 0.00258248+0.00407611j -0.0130964-0.00649392j 0.00354893+0.00496363j -0.0239952-0.000248001j -0.00741394-0.0062588j 0.00198607-0.023621j -0.0138839-0.00530771j -0.00659139+0.00810153j -0.00277968+0.00379995j 0.00710474-0.0140166j -0.0327549-0.0138631j -0.000721301+0.019841j -0.0192852-0.0332877j 0.010402+0.0205122j 0.00800734-0.00396501j 0.00715291-0.00402376j 0.00624631+0.00164735j 0.00127154+0.00694712j 0.000343025-0.0483493j 0.0235531+0.0601636j -0.00166164-0.006112j -0.0439564+0.0161834j 0.00192904-0.0203718j -0.0172452+0.0501681j 0.0500794+0.0382054j 0.00895263-0.0246656j 0.0153547-0.0237192j -0.0185434+0.0109718j 0.00985084-0.0467077j -0.0117771-0.0497794j -0.0303222-0.0663507j -0.0342719-0.0181664j 
-0.0125246+0.00911015j 0.00154328-0.00335376j 0.00747597+0.00689658j -0.00547594-0.00898631j -0.0044236+0.00401497j 0.0050046+0.0295575j -0.010245+0.0316649j -0.0238282-0.0384231j -0.0487802-0.0151355j -0.00305916+0.0043287j -0.00287534+0.00182631j 0.0156032+0.00617714j 0.0118617-0.0090817j -0.0055916+0.00081777j -0.00239947-0.0193425j 0.00418116+0.00403938j -0.0220965-0.00978553j -0.00195674+0.00212169j -0.0522343-0.016667j -0.000712693+0.00191128j -0.00211613+0.00322868j -0.00361694+0.00874561j -0.00342356+0.00609461j -0.0114985-0.00678258j -0.00280146+0.00630838j 0.0178862+0.0143639j 0.0771167-0.0356917j 0.0884723-0.0153629j 0.0180018-0.00798971j 0.0575255+0.0235999j -0.020486+0.0498261j 0.00245159-0.0182857j -0.00636933+0.0211252j 0.00817718-0.0319515j 0.0258277-0.00131593j -0.031106-0.0142646j 
