0.0702607-0.0273335j -0.100137-0.0396595j 0.0257215+0.0334486j 0.0651907+0.0727561j -0.0304073-0.0293941j -0.0275139-0.103583j 0.0350483-0.0644687j -0.0420239+0.0288374j -0.0755914-0.0227573j -0.0435671-0.0355389j 0.0504265+0.0505258j -0.00036549-0.00532556j 0.0108694-0.00695309j 0.00462931+0.00174459j -0.0286037-0.0653473j -0.0170421-0.0537435j 0.0070574-0.0779213j 0.0417854-0.0268099j 
0.00391907+0.00251533j 0.0253093-0.0852067j -0.0901161+0.0967242j -0.0270159-0.0613116j -0.0269236+0.00360635j -0.0386494+0.0438447j -0.0793666-0.0786843j -0.00975293+0.0330778j -0.0166916+0.0207677j -0.0173621+0.0370582j 0.0152176+0.0234808j -0.047629+0.0157331j 0.00360428-0.00125316j -0.0480903+0.00246174j 0.00613706-0.0288559j 0.0345312+0.0299626j 0.0229425+0.0162047j 0.0186925+0.0226961j 
0.0485129+0.103091j 0.0109784-0.00959004j 0.0554954+0.0412095j -0.0706841-0.0206112j -0.119801+0.0666203j -0.0624343+0.000530687j -0.0152421+0.0529775j 0.0206233+0.0392133j 0.0156532+0.00221947j 0.0615204+0.00849437j 0.0286031-0.0247931j -0.00152569+0.0454821j -0.000524792-0.00859631j 0.0108512+0.0472054j -0.0298119-0.0206898j 0.0555861-0.0134294j 0.0098666-0.00725095j 0.0194571-0.045797j 
-0.00118513-0.0654113j -0.0690415-0.047767j 0.0278087+0.0756248j -0.0273401+0.0254672j 0.0689672+0.0125955j 0.0551451+0.0591812j -0.0739677+0.0137743j 0.00787925-0.0417803j 0.0594716+0.00155905j 0.0600823+0.0315482j 0.0276449-0.0240175j 0.0630938+0.0207258j 0.00272323-0.000427316j 0.0358415+0.0670132j -0.0168256+0.0188092j -0.0300947-0.0333388j -0.0185013-0.0531755j 0.05252-0.033299j 
0.0876535-0.00277477j 0.0388638-0.0231454j -0.0198248-0.0390558j -0.016454+0.0166861j 0.00445625+0.0943912j -0.0461545+0.0405744j 0.0445138-0.028689j 0.0866782-0.0450095j -0.00445766+0.0369696j -0.0514567-0.0298184j -0.0255045-0.000105028j 0.0465777+0.0411199j -0.0111865+0.00813716j -0.00530034-0.0027901j -0.0324085+0.0372309j -0.0177378-0.102536j 0.0367861-0.0310694j -0.0395581+0.0491277j 
-0.0131741-0.00742679j -0.0231157-0.0774483j -0.0163129-0.037626j -0.020977-0.10042j 0.0744949+0.0147988j -0.0940142-0.057096j 0.066644+0.0296546j 0.010014+0.0114488j -0.0184918-0.0714947j 0.0310221-0.00300833j 0.0047893-0.0877163j -0.045087+0.0443358j -0.0676481+0.0378746j -0.0154102-0.0151119j 0.0106249-0.000624006j -0.0202999+0.0381252j -0.0369534-0.0749404j 0.0493844+0.0556214j 
-0.014393-0.0091403j -0.0830623-0.0310525j -0.0523693-0.0211709j -0.154024-0.0070942j 0.0154344-0.0629574j -0.109407+0.0799492j 0.0288257-0.075823j 0.00823091+0.0212194j -0.0496654-0.0163065j 0.0282558-0.0191778j -0.0768523+0.0216602j 0.0254202+0.0440938j 0.0529658+0.0463139j -0.0730188+0.0051634j 0.0238636+0.0387362j 0.002995+0.00539375j -0.0779634+0.0104911j 0.0198385-0.0638462j 
0.0292896+0.0430025j 0.000610433+0.0553314j 0.0302308+0.028269j 0.01502-0.106051j 0.0536446-0.0982544j -0.0301961-0.00664687j 0.111533-0.043508j -0.0210437-0.0459095j 0.00386802+0.0439474j -0.0370491+0.0142033j -0.0434125-0.0586544j 0.00095761-0.000818795j -0.0071976+0.0621882j 0.0758218-0.0563457j -0.0839444-0.0416755j 0.0509218-0.00575651j 0.0137392+0.00357782j 0.0811422-0.00275143j 
-0.0377136+0.0164811j -0.123864+0.0262606j -0.0619187+0.0437338j -0.0503997+0.103298j 0.0449319-0.0182511j -0.0182117+0.113209j 0.000409278+0.00555187j 0.0276132-0.0042091j -0.0431488+0.0147413j -0.0243843-0.0297001j 0.0440471+0.00243341j 0.0341298-0.00640833j -0.0538608-0.0259443j 0.0458721+0.0788649j 0.0467637-0.0550631j 0.0147886+0.0381944j 0.00368577+0.0358699j -0.0153094+0.0502323j 
-0.0453586-0.0140701j -0.0659102-0.0111917j -0.00795137-0.00248188j 0.0624197+0.0382702j 0.0822753+0.0454256j 0.0189599-0.0309985j 0.0229275+0.102727j 0.0162344+0.0209161j -0.0472821+0.0221402j -0.0051844+0.00288742j -0.0314444+0.0106407j 0.0430287-0.0103032j -0.0125389+0.0684597j 0.00858841+0.00404604j 0.0192875-0.0090078j 0.0360548-0.000337145j -0.0287146+0.0181337j 0.031112-0.0272735j 
0.0307415+0.0865104j 0.0171633-0.0219977j -0.0473197+0.102252j 0.0751646-0.0257256j 0.032234+0.0770098j -0.0156479+0.0377008j -0.0100158+0.0414647j -0.0223241-0.0734778j 0.0135592-0.0182584j 0.00437401-0.0545078j -0.0509128-0.0303446j -0.0404385+0.0879711j 0.0955693-0.0718789j -0.0375227+0.0140479j -0.0536926-0.000382295j -0.0303429+0.0288982j -0.0354529+0.0167457j 0.00351689-0.00720961j 
0.0250676-0.0199133j 0.0182986-0.0159342j -0.00184976-0.0255067j -0.115589-0.0116593j -0.0667506-0.0451725j -0.039462+0.0437954j -0.0282726-0.0964348j -0.00905986-0.00127358j -0.0335506+0.0168482j -0.0160221-0.00936638j -0.0472677+0.0104587j 0.0407935+0.0182171j 0.00572205+0.0221127j 0.00491104+0.0072578j -0.00628071+0.00168426j 0.0300198+0.00808969j -0.0250666+0.0278834j 0.0271507-0.0290731j 
-0.0152476+0.0135717j -0.0152295+0.0750575j -0.0118326+0.00860907j -0.0178779+0.0610478j -0.0400893-0.0615863j 0.0227116+0.0515325j -0.00459055-0.0525504j -0.00339432+0.0090666j 0.0496593-0.0211362j 0.0388289+0.0418965j -0.00904263-0.0355287j -0.0648954-0.017622j 0.0280407+0.0613752j -0.030199-0.0927683j -0.0382851+0.0311266j -0.0220148-0.0419723j 0.00541089-0.0660016j 0.0235129-0.0200744j 
-0.133442+0.0368019j -0.0116789+0.0598933j -0.124994-0.0674621j 0.0429376+0.105983j -0.0634751-0.00120967j -0.0432778-0.0224037j -0.00879853-0.00560855j 0.0468537-0.0215518j -0.00578944+0.0260584j 0.0170682-0.0137773j 0.0171979-0.0108426j -0.0273945-0.0215379j 0.0484202+0.0365867j 0.00305569+0.0105713j 0.00985855-0.0463012j -0.00691684-0.00824545j -0.0114538+0.0116193j -0.00668135+0.000269477j 
0.0058768-0.00302828j 0.0037675+0.000342687j 0.0117041-0.0171684j -0.0205568-0.046499j 0.00990693-0.0356238j -0.0265007-0.0156612j 0.0362269-0.0241397j -0.00188809+0.0126557j 0.0171332-0.00376598j 0.023657-0.0154521j -0.00892235+0.0837542j 0.00523685+0.00573381j 0.0917921-0.0657555j -0.0807181+0.0270051j 0.0298384+0.0524516j -0.037435-0.0216056j -0.0118342+0.0321201j -0.0764162-0.0556986j 
0.0264723+0.0179908j -0.0562726+0.0848879j 0.0319565+0.0701562j -0.00196385+0.0458741j 0.0308525-0.0716799j 0.0578257+0.0849032j 0.0251717-0.0214095j -0.00436989+0.000851011j -0.0344943-0.018812j -0.00190689-0.0308586j -0.0229691+0.00937793j 0.0247243+0.044182j -0.000626922-0.0304971j -0.0239148+0.0433555j 0.0223502+0.00961294j -0.00201715+0.0313995j -0.034247+0.0185507j -0.00264848-0.000967029j 
-0.0362058-0.0232059j -0.0268344+0.0156409j -0.012107-0.0346681j -0.0196073+0.0490008j -0.012621-0.0156623j 0.00365519+0.000844226j -0.00700353-0.00299135j 0.0760771-0.0558041j 0.00938785+0.032693j 0.0366483-0.0225525j 0.0290682-0.0532709j -0.0815323-0.0253524j 0.0914743+0.0651803j 0.00627254-0.00517688j -0.00917585-0.0845734j -0.023364-0.0134878j -0.0173297-0.00282928j 0.00315505+0.0136795j 
0.00879979-0.00825354j -0.0430649+0.0237904j 0.0647976-0.00564943j 0.0367193-0.104871j 0.121925-0.0727135j -0.00992489-0.0605538j 0.135053+0.0342685j 0.0073411-0.000111343j 0.0110949+0.0111362j 0.00706053-0.00966864j 0.0106692+0.0455662j 0.00190641-0.0101885j 0.0485692-0.0372281j -0.0270816+0.0224361j 0.0174009+0.0103203j -0.0173232-0.0130215j 0.00428414+0.025527j -0.047062-0.021155j 
0.00443328-0.0582475j 0.0199656-0.0555422j 0.0428135-0.0673693j -0.0269398-0.0578832j 0.0101698+0.00698846j -0.0152311-0.074428j 0.0126277+0.0130605j -0.0263169-0.0232382j -0.00252188-0.0637725j 0.0189119-0.0391708j -0.0388573-0.0315471j -0.0288082+0.0929371j 0.02638-0.0633256j -0.0597375+0.016002j -0.013164+0.0343057j -0.0376821+0.0410624j -0.0459526-0.0203624j 0.00563683+0.00948381j 
-0.0259149+0.0928712j 0.0398608+0.0415335j -0.0614967+0.0443549j 0.116078-0.01893j 0.00162415+0.0257614j -0.0179141-0.0203455j 0.027918+0.021742j 0.0247037+0.0261194j -0.0251095-0.0331027j 0.0317582-0.0105976j 0.00304246-0.000757158j -0.00725847+0.0142998j -0.00320353+0.0168607j -0.0448789+0.0194615j 0.0458889+0.013172j -0.0202944+0.0125226j -0.0375317-0.0184536j -0.0079699+0.00183086j 
0.0127713+0.0396288j -0.0172444-0.0376207j -0.0269783+0.0776894j 0.0733156+0.0207668j 0.0516982+0.100166j 0.0184414+0.0234989j -0.0289348+0.087478j -0.00217765-0.0069685j 0.0360486+0.0167986j 0.0313026+0.0282116j -0.0533937+0.00058177j -0.038523-0.0144904j 0.0969777+0.0716321j -0.0416777-0.0866622j -0.0503603+0.0307903j -0.00495307-0.0551862j -0.0136876-0.019625j 0.0217048-0.0734407j 
0.0203357-0.102981j -0.0187626-0.0323008j 0.0804733-0.0491752j -0.0643172+0.041173j -0.0095588+0.00209309j 0.0646263-0.0121853j -0.0470713+0.0141695j 0.0301778+0.0265576j -0.0294928-0.0198705j 0.0363141+6.00694e-05j -0.0196415-0.0094887j -0.00892028+0.00547967j 0.0122501+0.0667453j -0.042767-0.00837108j 0.0316558+0.00985149j -0.00656481-0.0015436j -0.0472795-0.0223111j 0.0170225-0.0198751j 
0.000314694+0.00706638j -0.0188448-0.111921j -0.0442456-0.0195263j -0.0511139-0.104527j 0.0614447+0.0425431j -0.124736-0.0257728j 0.0407944+0.0163004j 0.0152758+0.0507053j -0.0038641+0.0342255j -0.014117+0.0373728j 0.0471282+0.0546596j 0.0445035-0.0799974j -0.0534593+0.026594j 0.0333329+0.00613457j 0.0440272-0.00217955j 0.0249939-0.0293333j 0.0416292+0.0148257j -0.0291011-0.00438129j 
-0.111762-0.0398026j -0.031626+0.0071456j -0.0569543-0.0945978j 0.0205355+0.107323j -0.0292858+0.0298166j 0.000169071-0.0539139j -0.0286965+0.0457939j -0.0810021-0.00143599j -0.0129936+0.00368038j -0.0496401-0.00531657j -0.0837276+0.0432045j 0.0780576+0.0554253j -0.00770787-0.0613529j 0.00013413+0.000657461j -0.0428728+0.059319j 0.0375503+0.0138674j -0.00382077+0.0422962j 0.0207648-0.0475208j 
-0.0295025-0.0741449j -0.110566-0.0797182j -0.0198526-0.0647876j -0.15435+0.0106295j 0.0509024-0.0207559j -0.0846062+0.0327553j 0.0153972-0.00996358j -0.0198111-0.0632552j 0.0782114+0.01115j -0.00503277+0.00539588j 0.0227711-0.0383407j -0.072487-0.00348274j 0.0522409-0.0476929j 0.0248729-0.0447021j -0.0773261-0.0196695j -0.0267195-0.0201469j 0.0501873-0.0161692j -0.00862693+0.0217031j 
-0.0644027+0.0303287j -0.0933972+0.0588053j -0.0752124+0.0178553j -0.0185733+0.100426j 0.0158358-0.0370021j -0.0209736+0.0790639j 0.0131359-0.00908059j -0.0482711+0.0551179j 0.0369005-0.0759774j 0.0199587+0.038875j 0.010736+0.000383279j -0.0150646+0.015119j -0.0678605-0.0371185j -0.0455551-0.0430181j 0.00636701+0.0874985j -0.0314741-0.00455761j 0.0173895-0.0712414j -0.00973397+0.0126479j 
