-0.102635-0j -0.0104423-0j -0.0105505-0j 0.574581-0j -0.00086746-0j 0.711008-0j 0.414754-0j -0.00107343-0j -0.000626166-0j -0.00423634-0j 0.0715973-0j -0.0049424-0j -6.24072e-05-0j -0.00302659-0j -0.0043246-0j 0.0835302-0j 0.0511516-0j -0.00178381-0j -7.28084e-05-0j 0.0730889-0j -4.45859e-05-0j 0.0301477-0j -6.37073e-05-0j -2.62779e-05-0j -0.00327116-0j -0.000545194-0j -0.00369517-0j 0.0641716-0j 0.00651541-0j -0.00301709-0j -4.01573e-06-0j -0.00304836-0j -0.000615862-0j -0.00263996-0j 0.0724895-0j -0.000502849-0j -0.00217785-0j 0.00735994-0j 0.0591875-0j -0.00050806-0j -4.53625e-06-0j -0.000695835-0j 0.00600937-0j 0.0598008-0j -0.000439993-0j 0.051789-0j -3.70383e-06-0j -0.000362976-0j 0.00607164-0j 0.0052582-0j 0.0427238-0j -3.74222e-06-0j -0.000115972-0j 0.00433779-0j 0.0136504-0j -3.24085e-06-0j 0.00138594-0j -2.67357e-06-0j -8.54218e-07-0j 
0.00107343-0j 0.0101119-0j -0.010516-0j -0.00600937-0j 0.0403313-0j 0.00722452-0j -0.00433779-0j -0.0484866-0j 0.0291126-0j 4.43066e-05-0j 0.0713636-0j 5.1691e-05-0j 0.00889185-0j -9.31602e-05-0j -4.39421e-05-0j 0.0832575-0j -0.150051-0j 1.86563e-05-0j 0.0103738-0j -0.0707764-0j -0.0186962-0j 0.0300492-0j -0.00881869-0j 0.00374411-0j 3.42121e-05-0j -0.000543414-0j 3.86467e-05-0j -0.000671151-0j -0.302924-0j -3.06566e-05-0j 0.00115238-0j 3.18819e-05-0j -0.000613851-0j -8.12595e-05-0j -0.000758146-0j 0.000486939-0j -2.21291e-05-0j -0.342189-0j 0.000601401-0j -0.000506401-0j 0.00130175-0j 7.27752e-06-0j 0.271443-0j -0.000625438-0j 0.0012907-0j 0.0015941-0j -0.00103262-0j 0.000351491-0j -0.282292-0j 0.719497-0j 0.000434114-0j 0.00107389-0j -0.000115594-0j 0.195938-0j -0.000142766-0j -0.0027371-0j -0.0644374-0j -0.000745383-0j 0.000245132-0j 
0.00104697-0j 0.010516-0j -0.0106186-0j 0.00607164-0j -0.0407492-0j -0.00725292-0j 0.00393503-0j 0.0486773-0j -0.0264095-0j -4.47657e-05-0j -0.0721031-0j 5.04169e-05-0j -0.00898399-0j -3.19822e-05-0j 4.56709e-05-0j 0.0812054-0j -0.051513-0j -8.90906e-05-0j 0.0101181-0j 0.0735611-0j -0.00641848-0j -0.143496-0j 0.00916565-0j -0.0178795-0j -3.45666e-05-0j 0.000549045-0j 3.76941e-05-0j 0.000678106-0j 0.306063-0j -3.18819e-05-0j -0.00116432-0j 3.21929e-05-0j -0.000598721-0j 2.693e-05-0j -0.000739459-0j 0.000506401-0j -2.06626e-05-0j -0.333755-0j 0.000625438-0j -0.000511342-0j 0.00126967-0j -7.71046e-05-0j 0.282292-0j -0.00063154-0j -0.000427747-0j -0.000528295-0j -0.00107389-0j 0.000328198-0j -0.285046-0j -0.238446-0j 0.000405346-0j 0.00108437-0j 0.0012247-0j 0.182953-0j 0.00151259-0j 0.000907093-0j 0.682708-0j -0.000695987-0j -0.00259715-0j 
-6.32523e-05-0j -0.00119795-0j 0.00124583-0j -3.70383e-06-0j -0.0146684-0j 4.45279e-06-0j -2.67357e-06-0j 0.0176346-0j -0.0105882-0j -2.61079e-06-0j 8.84305e-05-0j -3.04592e-06-0j 0.099861-0j 5.48952e-06-0j 2.58931e-06-0j 0.000103169-0j -0.000185936-0j -1.09933e-06-0j 0.116505-0j -8.77029e-05-0j -0.209971-0j 3.72356e-05-0j -0.0990394-0j 0.0420487-0j -2.01597e-06-0j 6.43779e-05-0j -2.27728e-06-0j -2.05754e-07-0j -0.00115238-0j 1.80646e-06-0j -0.293173-0j -1.87866e-06-0j 7.27226e-05-0j 4.78826e-06-0j -2.32424e-07-0j -5.76874e-05-0j 1.30397e-06-0j -0.00130175-0j 1.84371e-07-0j 5.99931e-05-0j -0.331174-0j -4.28832e-07-0j 0.00103262-0j -1.9174e-07-0j -0.000152908-0j 4.887e-07-0j 0.262705-0j -4.1641e-05-0j -0.00107389-0j 0.0027371-0j 1.33086e-07-0j -0.273205-0j 1.36943e-05-0j 0.000745383-0j -4.37675e-08-0j 0.696336-0j -0.000245132-0j 0.189631-0j -0.0623632-0j 
-6.16933e-05-0j -0.00124583-0j 0.00125798-0j 3.74222e-06-0j 0.0148205-0j -4.47029e-06-0j 2.42533e-06-0j -0.0177039-0j 0.00960513-0j 2.63785e-06-0j -8.93469e-05-0j -2.97085e-06-0j -0.100896-0j 1.88457e-06-0j -2.69118e-06-0j 0.000100626-0j -6.38325e-05-0j 5.24971e-06-0j 0.113633-0j 9.11535e-05-0j -0.0720835-0j -0.000177814-0j 0.102936-0j -0.200798-0j 2.03686e-06-0j -6.50451e-05-0j -2.22115e-06-0j 2.07886e-07-0j 0.00116432-0j 1.87866e-06-0j 0.296211-0j -1.89699e-06-0j 7.09301e-05-0j -1.58686e-06-0j -2.26695e-07-0j -5.99931e-05-0j 1.21756e-06-0j -0.00126967-0j 1.9174e-07-0j 6.05784e-05-0j -0.323012-0j 4.54343e-06-0j 0.00107389-0j -1.9361e-07-0j 5.06749e-05-0j -1.61959e-07-0j 0.273205-0j -3.88815e-05-0j -0.00108437-0j -0.000907093-0j 1.24266e-07-0j -0.27587-0j -0.00014509-0j 0.000695987-0j 4.63712e-07-0j -0.230771-0j 0.00259715-0j 0.177064-0j 0.660732-0j 
0.0375102-0j 0.00381636-0j 0.00385591-0j -0.00431957-0j -0.000623477-0j 0.00271798-0j 0.00158549-0j 0.000392307-0j 0.000228846-0j 0.00154826-0j 0.000273697-0j -0.00355229-0j 2.28081e-05-0j 0.00110613-0j 0.00158052-0j -0.000627962-0j 0.000195538-0j 0.00065193-0j -5.23301e-05-0j 0.000279399-0j 1.62949e-05-0j 0.000115246-0j 2.32832e-05-0j 9.60384e-06-0j 0.00119552-0j 0.000199253-0j 0.00135048-0j 0.000122017-0j 2.49066e-05-0j -0.0021685-0j 1.46764e-06-0j -0.00219097-0j 0.00022508-0j 0.00096483-0j 0.000137833-0j -0.000361417-0j 0.000795944-0j 2.8135e-05-0j -0.000221322-0j -0.000365162-0j 1.65787e-06-0j 0.000254308-0j -4.51771e-05-0j -0.000223615-0j 0.000160805-0j 9.84725e-05-0j -2.66209e-06-0j 0.000132657-0j -4.56453e-05-0j 2.01006e-05-0j 8.12357e-05-0j -2.68967e-06-0j 4.23846e-05-0j 1.65822e-05-0j 2.59552e-05-0j 1.18444e-06-0j 5.29808e-06-0j 9.77113e-07-0j 3.12192e-07-0j 
-0.000804204-0j 0.00458806-0j 0.0046061-0j -0.00271798-0j -0.000392307-0j 5.66137e-05-0j 0.00382191-0j 8.17149e-06-0j 0.000551646-0j -0.00191588-0j -0.000338682-0j -3.87266e-05-0j -2.82235e-05-0j 0.00402837-0j -0.00183427-0j -6.84595e-06-0j 0.000712123-0j 0.00236426-0j -5.70496e-07-0j -0.000324257-0j 5.93436e-05-0j 0.000417946-0j -2.70214e-05-0j 3.48288e-05-0j -0.00147938-0j -0.000246563-0j -2.89538e-05-0j -0.000150988-0j -3.08204e-05-0j 0.00132563-0j -1.81611e-06-0j 0.00133084-0j -4.82563e-06-0j 6.08791e-05-0j -2.95509e-06-0j 0.000220939-0j -0.00186405-0j -6.03204e-07-0j 0.000135297-0j 0.000221807-0j -3.55442e-08-0j 0.0012315-0j 2.76173e-05-0j 0.000135829-0j 1.01465e-05-0j 6.21344e-06-0j 1.62737e-06-0j -0.000310674-0j 2.77259e-05-0j 1.26831e-06-0j -0.000190248-0j 1.63377e-06-0j 0.00020525-0j -3.88343e-05-0j 0.000125689-0j 7.47361e-08-0j 2.56562e-05-0j -2.28833e-06-0j 1.51181e-06-0j 
-0.0527452-0j 0.00275479-0j 0.00249901-0j 0.00158549-0j 0.000228846-0j -0.00382191-0j 0.00439945-0j -0.000551646-0j 0.000635006-0j 0.00111759-0j 0.000197565-0j -0.00253995-0j 1.64637e-05-0j 0.000798448-0j 0.00102433-0j -0.000449004-0j 0.000141147-0j 0.000563401-0j -3.7417e-05-0j 0.000181078-0j 1.17623e-05-0j 9.95963e-05-0j 1.50898e-05-0j 8.29969e-06-0j 0.00086297-0j 0.000143828-0j -0.00189899-0j 8.80765e-05-0j 1.79785e-05-0j 0.000795944-0j 1.0594e-06-0j 0.000722041-0j -0.000316498-0j -0.0013567-0j -0.000193815-0j 0.000132657-0j 0.0022086-0j -3.95622e-05-0j 8.12357e-05-0j 0.00012034-0j -2.33123e-06-0j -0.00233799-0j 1.65822e-05-0j 7.3693e-05-0j -0.000226117-0j -0.000138468-0j 9.77113e-07-0j 0.0003681-0j 1.50425e-05-0j -2.82646e-05-0j 0.000225414-0j 8.86389e-07-0j -0.000389664-0j 4.60125e-05-0j -0.00023862-0j -1.66551e-06-0j -4.87081e-05-0j 2.71131e-06-0j -2.87015e-06-0j 
-0.00605318-0j 0.0290385-0j 0.0293394-0j 0.000697068-0j -0.00958864-0j -0.000438613-0j -0.000255857-0j 0.00603341-0j 0.00351949-0j -0.00024985-0j 0.00208255-0j 0.000573248-0j 0.000527998-0j -0.000178501-0j -0.000255055-0j -0.00477814-0j 0.00148784-0j -0.000105205-0j -0.00121142-0j 0.00212594-0j 0.00037722-0j 0.000876903-0j 0.000538998-0j 0.000222325-0j 0.0373172-0j 0.00151611-0j 0.0421543-0j -1.96904e-05-0j 0.000383046-0j -0.0676882-0j 4.53793e-05-0j -0.0683897-0j 0.00171263-0j 0.0301165-0j -2.22427e-05-0j -0.00275001-0j 0.0248448-0j 0.000432697-0j 3.57156e-05-0j -0.00277851-0j 5.12613e-05-0j 0.00793804-0j -0.000694792-0j 3.60857e-05-0j 0.00122356-0j -1.58909e-05-0j -8.23116e-05-0j 0.00100938-0j -0.000701992-0j 0.000309134-0j -1.31094e-05-0j -8.31646e-05-0j 0.000322503-0j 0.000255022-0j -4.1885e-06-0j 3.66229e-05-0j 8.14808e-05-0j 3.02123e-05-0j 9.65298e-06-0j 
-0.0049424-0j -0.000502849-0j -0.00050806-0j -0.054414-0j 8.21503e-05-0j 0.0342387-0j 0.0199725-0j -5.1691e-05-0j -3.01531e-05-0j 0.0294504-0j 0.00344778-0j -0.0675701-0j -3.00523e-06-0j 0.0210404-0j 0.0300639-0j -0.00791048-0j 0.00246321-0j 0.0124007-0j 6.8951e-06-0j 0.00351961-0j -2.14704e-06-0j 0.00145176-0j -3.06783e-06-0j -1.26542e-06-0j -0.000157523-0j 0.0037901-0j -0.000177941-0j 0.00309019-0j 0.00031375-0j 0.000285725-0j -1.93378e-07-0j 0.000288686-0j 0.00428138-0j -0.000127127-0j 0.00349074-0j -0.00687471-0j -0.000104875-0j 0.000354419-0j -0.00560517-0j -0.00694596-0j -2.18444e-07-0j -3.3508e-05-0j -0.000569099-0j -0.00566326-0j 0.00305876-0j 0.00249391-0j 3.50761e-07-0j 0.00252335-0j -0.000574997-0j 0.000253209-0j 0.00205737-0j 3.54395e-07-0j 0.000806223-0j 0.000208887-0j 0.000657339-0j -1.56064e-07-0j 6.67403e-05-0j -1.28746e-07-0j -4.1135e-08-0j 
0.000129778-0j 0.0349104-0j 0.0350477-0j 0.000438613-0j -0.00603341-0j -9.136e-06-0j -0.000616759-0j 0.000125672-0j 0.00848393-0j 0.000309173-0j -0.00257702-0j 6.24947e-06-0j -0.000653365-0j -0.000650076-0j 0.000296004-0j -5.20906e-05-0j 0.00541852-0j -0.000381531-0j -1.32068e-05-0j -0.00246726-0j 0.00137378-0j 0.00318014-0j -0.000625535-0j 0.000806275-0j -0.0461777-0j -0.00187609-0j -0.000903773-0j 2.43656e-05-0j -0.000473996-0j 0.0413787-0j -5.6154e-05-0j 0.0415414-0j -3.67181e-05-0j 0.0019003-0j 4.76875e-07-0j 0.00168111-0j -0.0581849-0j -9.27686e-06-0j -2.18334e-05-0j 0.00168772-0j -1.09902e-06-0j 0.0384404-0j 0.000424735-0j -2.19193e-05-0j 7.72044e-05-0j -1.00269e-06-0j 5.03182e-05-0j -0.00236391-0j 0.000426405-0j 1.95058e-05-0j 3.07012e-05-0j 5.0516e-05-0j 0.00156174-0j -0.000597245-0j -2.0283e-05-0j 2.31084e-06-0j 0.000394575-0j -7.07552e-05-0j 4.67451e-05-0j 
0.000713374-0j -0.00691703-0j -0.00698871-0j -8.21503e-05-0j -0.0527112-0j 5.1691e-05-0j 3.01531e-05-0j 0.0331672-0j 0.0193476-0j -0.0042508-0j -0.000496067-0j 0.0097529-0j 0.0059093-0j -0.00303692-0j -0.00433935-0j 0.00113816-0j -0.000354407-0j -0.00178989-0j -0.0135581-0j -0.000506401-0j 0.00422181-0j -0.00020888-0j 0.00603242-0j 0.00248824-0j 2.27365e-05-0j 0.0521354-0j 2.56836e-05-0j 2.32054e-06-0j 0.0021057-0j -4.12408e-05-0j 0.000765843-0j -4.16682e-05-0j 0.0588932-0j 1.83493e-05-0j 2.62132e-06-0j -0.0945663-0j 1.51374e-05-0j 0.00237865-0j -4.20913e-06-0j -0.0955463-0j 0.000865112-0j 4.83646e-06-0j -0.00381945-0j -4.25275e-06-0j 0.0420753-0j 1.87276e-06-0j -0.00138913-0j 0.0347104-0j -0.00385903-0j 0.00169939-0j 1.54495e-06-0j -0.00140353-0j 0.0110901-0j 0.00140192-0j 4.9362e-07-0j 0.000618066-0j 0.000447921-0j 0.000509878-0j 0.000162909-0j 
0.00851172-0j 0.0209611-0j 0.0190149-0j -0.000255857-0j 0.00351949-0j 0.000616759-0j -0.000709958-0j -0.00848393-0j 0.00976594-0j -0.000180351-0j 0.00150326-0j 0.000409883-0j 0.000381129-0j -0.000128849-0j -0.000165301-0j -0.00341646-0j 0.00107398-0j -9.09185e-05-0j -0.00086619-0j 0.00137782-0j 0.000272292-0j 0.000757824-0j 0.000349325-0j 0.000192135-0j 0.026937-0j 0.00109438-0j -0.0592756-0j -1.42133e-05-0j 0.000276497-0j 0.0248448-0j 3.27565e-05-0j 0.022538-0j -0.00240822-0j -0.0423485-0j 3.12767e-05-0j 0.00100938-0j 0.0689399-0j -0.00060844-0j -1.31094e-05-0j 0.000915664-0j -7.20815e-05-0j -0.0729786-0j 0.000255022-0j -1.18922e-05-0j -0.00172052-0j 2.23451e-05-0j 3.02123e-05-0j 0.00280086-0j 0.000231343-0j -0.00043469-0j -3.63761e-05-0j 2.74071e-05-0j -0.00296494-0j 0.00070764-0j 3.85071e-05-0j -5.14975e-05-0j -0.000749096-0j 8.38337e-05-0j -8.8745e-05-0j 
